[7] ADD,HBb0dWvkmH,81650.18 
[44654] CANCEL_BUY,HBb0dWvkmH 
[44701] ADD,HBb0dWvkmH,78191.05 
[44703] BUY,HBb0dWvkmH,THH,89.43 
[44733] COMMIT_BUY,HBb0dWvkmH 
[44950] ADD,HBb0dWvkmH,89263.13 
[44955] BUY,HBb0dWvkmH,JDO,657.21 
[44993] SET_SELL_AMOUNT,HBb0dWvkmH,FDI,39.69 
[45000] SET_SELL_TRIGGER,HBb0dWvkmH,FDI,3.92 
[45042] DISPLAY_SUMMARY,HBb0dWvkmH 
[45102] BUY,HBb0dWvkmH,NOP,530.19 
[45241] COMMIT_BUY,HBb0dWvkmH 
[45419] COMMIT_SELL,HBb0dWvkmH 
[45432] BUY,HBb0dWvkmH,BDX,723.59 
[45778] COMMIT_BUY,HBb0dWvkmH 
[45788] ADD,HBb0dWvkmH,95016.56 
[45863] QUOTE,HBb0dWvkmH,HBF 
[45946] SET_BUY_AMOUNT,HBb0dWvkmH,XXQ,636.53 
[46000] SET_BUY_TRIGGER,HBb0dWvkmH,TTV,95.55 
[46175] QUOTE,HBb0dWvkmH,UUJ 
[46187] QUOTE,HBb0dWvkmH,TQE 
[46242] ADD,HBb0dWvkmH,104149.05 
[46264] QUOTE,HBb0dWvkmH,DDA 
[46268] DISPLAY_SUMMARY,HBb0dWvkmH 
[46347] QUOTE,HBb0dWvkmH,BFB 
[46403] BUY,HBb0dWvkmH,OYS,288.14 
[46617] CANCEL_SELL,HBb0dWvkmH 
[46698] ADD,HBb0dWvkmH,94887.28 
[46954] COMMIT_BUY,HBb0dWvkmH 
[46976] SET_SELL_AMOUNT,HBb0dWvkmH,CUZ,86.62 
[47060] SET_SELL_TRIGGER,HBb0dWvkmH,CUZ,71.22 
[47102] BUY,HBb0dWvkmH,LZV,694.88 
[47301] SET_BUY_AMOUNT,HBb0dWvkmH,NHG,336.53 
[47312] SET_BUY_TRIGGER,HBb0dWvkmH,QAX,102.38 
[47368] SET_SELL_AMOUNT,HBb0dWvkmH,PTP,146.13 
[47467] BUY,HBb0dWvkmH,LMO,622.32 
[47497] COMMIT_BUY,HBb0dWvkmH 
[47537] SET_BUY_TRIGGER,HBb0dWvkmH,BVN,138.12 
[47681] DISPLAY_SUMMARY,HBb0dWvkmH 
[47716] QUOTE,HBb0dWvkmH,GKD 
[47748] DISPLAY_SUMMARY,HBb0dWvkmH 
[47751] QUOTE,HBb0dWvkmH,PPY 
[47797] SET_BUY_TRIGGER,HBb0dWvkmH,OYX,17.78 
[47826] SET_BUY_AMOUNT,HBb0dWvkmH,KDA,540.47 
[47910] SET_BUY_TRIGGER,HBb0dWvkmH,UBJ,99.12 
[48170] ADD,HBb0dWvkmH,62953.69 
[48445] BUY,HBb0dWvkmH,NSW,37.30 
[48497] COMMIT_BUY,HBb0dWvkmH 
[48604] ADD,HBb0dWvkmH,96161.29 
[48612] QUOTE,HBb0dWvkmH,KMZ 
[48688] SET_BUY_TRIGGER,HBb0dWvkmH,WRJ,128.00 
[48778] CANCEL_BUY,HBb0dWvkmH 
[48890] SET_SELL_AMOUNT,HBb0dWvkmH,GYF,474.72 
[48991] SET_SELL_TRIGGER,HBb0dWvkmH,GYF,61.78 
[49109] BUY,HBb0dWvkmH,CXW,467.82 
[49249] CANCEL_SELL,HBb0dWvkmH 
[49415] DISPLAY_SUMMARY,HBb0dWvkmH 
[49579] DISPLAY_SUMMARY,HBb0dWvkmH 
[49641] SET_BUY_TRIGGER,HBb0dWvkmH,VVO,151.33 
[49741] ADD,HBb0dWvkmH,75090.73 
[49765] SELL,HBb0dWvkmH,SSF,212.20 
[49809] COMMIT_SELL,HBb0dWvkmH 
[49895] ADD,HBb0dWvkmH,78805.06 
[49953] QUOTE,HBb0dWvkmH,VMK 
[50066] CANCEL_BUY,HBb0dWvkmH 
[50129] SET_BUY_AMOUNT,HBb0dWvkmH,ZYR,632.39 
[50235] CANCEL_SET_BUY,HBb0dWvkmH,PFK 
[50256] ADD,HBb0dWvkmH,61432.93 
[50310] QUOTE,HBb0dWvkmH,WGV 
[50386] SET_SELL_AMOUNT,HBb0dWvkmH,OEY,619.93 
[50430] BUY,HBb0dWvkmH,GPC,204.60 
[50812] CANCEL_SELL,HBb0dWvkmH 
[50817] DISPLAY_SUMMARY,HBb0dWvkmH 
[50919] SELL,HBb0dWvkmH,UTV,561.29 
[50926] COMMIT_SELL,HBb0dWvkmH 
[51030] BUY,HBb0dWvkmH,QUT,237.32 
[51075] QUOTE,HBb0dWvkmH,OPN 
[51077] DISPLAY_SUMMARY,HBb0dWvkmH 
[51104] SET_SELL_AMOUNT,HBb0dWvkmH,SSF,54.74 
[51289] SET_SELL_TRIGGER,HBb0dWvkmH,SSF,14.01 
[51376] ADD,HBb0dWvkmH,76045.24 
[51449] QUOTE,HBb0dWvkmH,SKW 
[51566] BUY,HBb0dWvkmH,ZYF,566.35 
[51932] COMMIT_BUY,HBb0dWvkmH 
[51998] QUOTE,HBb0dWvkmH,KZQ 
[52045] QUOTE,HBb0dWvkmH,SAJ 
[52074] BUY,HBb0dWvkmH,CBQ,451.19 
[52101] SELL,HBb0dWvkmH,CUZ,747.86 
[52191] SET_BUY_TRIGGER,HBb0dWvkmH,ATE,47.60 
[52193] ADD,HBb0dWvkmH,56011.29 
[52197] SET_SELL_AMOUNT,HBb0dWvkmH,FQP,155.09 
[52214] SET_SELL_TRIGGER,HBb0dWvkmH,FQP,34.44 
[52398] SET_BUY_TRIGGER,HBb0dWvkmH,WKG,101.22 
[52415] BUY,HBb0dWvkmH,FGI,373.88 
[52460] COMMIT_BUY,HBb0dWvkmH 
[52508] QUOTE,HBb0dWvkmH,XQG 
[52516] CANCEL_BUY,HBb0dWvkmH 
[52554] BUY,HBb0dWvkmH,BTD,239.59 
[52574] COMMIT_BUY,HBb0dWvkmH 
[52690] CANCEL_SET_SELL,HBb0dWvkmH,ALM 
[52695] SELL,HBb0dWvkmH,JQO,557.14 
[52781] COMMIT_SELL,HBb0dWvkmH 
[52817] SELL,HBb0dWvkmH,RNK,36.13 
[53065] COMMIT_SELL,HBb0dWvkmH 
[53153] SET_BUY_AMOUNT,HBb0dWvkmH,CBO,27.30 
[53345] SET_BUY_TRIGGER,HBb0dWvkmH,OYW,0.62 
[53458] QUOTE,HBb0dWvkmH,YAV 
[53538] BUY,HBb0dWvkmH,IGI,172.65 
[53597] COMMIT_BUY,HBb0dWvkmH 
[53789] DISPLAY_SUMMARY,HBb0dWvkmH 
[53848] ADD,HBb0dWvkmH,79687.77 
[53947] DISPLAY_SUMMARY,HBb0dWvkmH 
[54591] ADD,HBb0dWvkmH,78282.07 
[54594] QUOTE,HBb0dWvkmH,LLD 
[54638] BUY,HBb0dWvkmH,YTO,692.54 
[54730] CANCEL_BUY,HBb0dWvkmH 
[54797] QUOTE,HBb0dWvkmH,EHF 
[54834] BUY,HBb0dWvkmH,SYN,536.27 
[54900] COMMIT_BUY,HBb0dWvkmH 
[54903] QUOTE,HBb0dWvkmH,OEM 
[54929] SELL,HBb0dWvkmH,LFU,333.11 
[54947] COMMIT_BUY,HBb0dWvkmH 
[54955] SET_SELL_TRIGGER,HBb0dWvkmH,CTS,111.57 
[55057] COMMIT_BUY,HBb0dWvkmH 
[55100] QUOTE,HBb0dWvkmH,HIW 
[55148] BUY,HBb0dWvkmH,KIP,222.14 
[55168] COMMIT_BUY,HBb0dWvkmH 
[55206] SET_BUY_AMOUNT,HBb0dWvkmH,FQP,509.49 
[55229] SET_BUY_TRIGGER,HBb0dWvkmH,QXW,276.32 
[55245] DISPLAY_SUMMARY,HBb0dWvkmH 
[55271] DISPLAY_SUMMARY,HBb0dWvkmH 
[55289] ADD,HBb0dWvkmH,93312.43 
[55319] BUY,HBb0dWvkmH,MMY,705.16 
[55362] COMMIT_BUY,HBb0dWvkmH 
[55390] ADD,HBb0dWvkmH,72137.27 
[55430] QUOTE,HBb0dWvkmH,OKK 
[55475] QUOTE,HBb0dWvkmH,AOC 
[55605] SET_BUY_TRIGGER,HBb0dWvkmH,DBR,58.12 
[55724] COMMIT_BUY,HBb0dWvkmH 
[55801] BUY,HBb0dWvkmH,WQC,644.69 
[55923] SET_BUY_TRIGGER,HBb0dWvkmH,HHG,192.10 
[56034] ADD,HBb0dWvkmH,57375.48 
[56087] BUY,HBb0dWvkmH,HEJ,236.80 
[56183] SET_BUY_AMOUNT,HBb0dWvkmH,YJK,115.51 
[56202] SELL,HBb0dWvkmH,CEC,334.77 
[56305] COMMIT_SELL,HBb0dWvkmH 
[56350] SET_SELL_TRIGGER,HBb0dWvkmH,IDN,144.54 
[56416] SET_SELL_AMOUNT,HBb0dWvkmH,CBO,391.38 
[56488] SET_SELL_TRIGGER,HBb0dWvkmH,CBO,158.04 
[56542] DISPLAY_SUMMARY,HBb0dWvkmH 
[56621] DISPLAY_SUMMARY,HBb0dWvkmH 
[56624] ADD,HBb0dWvkmH,74896.18 
[56848] QUOTE,HBb0dWvkmH,FIC 
[56897] BUY,HBb0dWvkmH,OPN,378.78 
[56974] COMMIT_BUY,HBb0dWvkmH 
[57025] DISPLAY_SUMMARY,HBb0dWvkmH 
[57250] SET_BUY_AMOUNT,HBb0dWvkmH,UIE,332.15 
[57345] SET_BUY_TRIGGER,HBb0dWvkmH,LTB,157.98 
[57448] DISPLAY_SUMMARY,HBb0dWvkmH 
[57595] COMMIT_SELL,HBb0dWvkmH 
[57675] SET_SELL_TRIGGER,HBb0dWvkmH,PCK,26.56 
[57700] SET_SELL_TRIGGER,HBb0dWvkmH,GUW,55.80 
[57742] BUY,HBb0dWvkmH,RQS,139.84 
[57863] SET_SELL_TRIGGER,HBb0dWvkmH,BMQ,179.88 
[58030] BUY,HBb0dWvkmH,LJM,476.75 
[58048] COMMIT_BUY,HBb0dWvkmH 
[58050] DISPLAY_SUMMARY,HBb0dWvkmH 
[58336] BUY,HBb0dWvkmH,MAX,223.87 
[58504] SELL,HBb0dWvkmH,LFU,354.69 
[58716] CANCEL_SELL,HBb0dWvkmH 
[58899] BUY,HBb0dWvkmH,AVH,297.99 
[58904] COMMIT_BUY,HBb0dWvkmH 
[58943] SET_BUY_TRIGGER,HBb0dWvkmH,HWO,28.44 
[59012] DISPLAY_SUMMARY,HBb0dWvkmH 
[59099] QUOTE,HBb0dWvkmH,JGY 
[59213] BUY,HBb0dWvkmH,MVY,365.47 
[59235] COMMIT_BUY,HBb0dWvkmH 
[59293] SET_SELL_TRIGGER,HBb0dWvkmH,UMN,4.52 
[59380] ADD,HBb0dWvkmH,69713.02 
[59507] QUOTE,HBb0dWvkmH,ZNL 
[59555] SET_BUY_AMOUNT,HBb0dWvkmH,BYA,705.49 
[59681] SET_BUY_TRIGGER,HBb0dWvkmH,QJZ,597.14 
[59775] SELL,HBb0dWvkmH,GRM,255.61 
[59789] COMMIT_SELL,HBb0dWvkmH 
[59852] DISPLAY_SUMMARY,HBb0dWvkmH 
[59938] DISPLAY_SUMMARY,HBb0dWvkmH 
[60300] SET_BUY_AMOUNT,HBb0dWvkmH,GYF,158.89 
[60618] BUY,HBb0dWvkmH,AVI,270.76 
[60632] CANCEL_BUY,HBb0dWvkmH 
[60723] ADD,HBb0dWvkmH,73087.37 
[60762] SET_BUY_AMOUNT,HBb0dWvkmH,KYX,429.81 
[60766] SELL,HBb0dWvkmH,CBO,729.06 
[60909] COMMIT_SELL,HBb0dWvkmH 
[61131] DISPLAY_SUMMARY,HBb0dWvkmH 
[61132] ADD,HBb0dWvkmH,77921.73 
[61153] QUOTE,HBb0dWvkmH,FTP 
[61171] BUY,HBb0dWvkmH,MOM,515.46 
[61248] COMMIT_BUY,HBb0dWvkmH 
[61278] CANCEL_SELL,HBb0dWvkmH 
[61446] BUY,HBb0dWvkmH,WJS,430.41 
[61471] COMMIT_BUY,HBb0dWvkmH 
[61488] SET_BUY_TRIGGER,HBb0dWvkmH,CJV,53.38 
[61723] SELL,HBb0dWvkmH,RGH,96.94 
[61789] COMMIT_SELL,HBb0dWvkmH 
[61938] QUOTE,HBb0dWvkmH,KPP 
[61952] ADD,HBb0dWvkmH,85400.07 
[62173] BUY,HBb0dWvkmH,GZU,476.43 
[62235] COMMIT_BUY,HBb0dWvkmH 
[62246] QUOTE,HBb0dWvkmH,OOV 
[62254] SET_BUY_AMOUNT,HBb0dWvkmH,SSF,617.47 
[62295] SELL,HBb0dWvkmH,CUZ,749.00 
[62346] CANCEL_SELL,HBb0dWvkmH 
[62374] ADD,HBb0dWvkmH,45503.65 
[62390] QUOTE,HBb0dWvkmH,CCH 
[62433] SELL,HBb0dWvkmH,KES,469.25 
[62448] COMMIT_SELL,HBb0dWvkmH 
[62588] SET_SELL_AMOUNT,HBb0dWvkmH,XLK,666.51 
[63213] BUY,HBb0dWvkmH,NGZ,282.48 
[63294] SET_BUY_TRIGGER,HBb0dWvkmH,YWC,9.16 
[63350] ADD,HBb0dWvkmH,80167.22 
[63357] BUY,HBb0dWvkmH,GAL,642.65 
[63442] COMMIT_BUY,HBb0dWvkmH 
[63444] SET_BUY_AMOUNT,HBb0dWvkmH,VTY,603.08 
[63457] SET_BUY_TRIGGER,HBb0dWvkmH,QVK,536.78 
[63551] QUOTE,HBb0dWvkmH,WYR 
[63686] BUY,HBb0dWvkmH,MGK,9.03 
[63918] COMMIT_SELL,HBb0dWvkmH 
[64325] QUOTE,HBb0dWvkmH,JQG 
[64333] COMMIT_SELL,HBb0dWvkmH 
[64425] DISPLAY_SUMMARY,HBb0dWvkmH 
[64439] SET_BUY_AMOUNT,HBb0dWvkmH,NHG,527.50 
[64541] CANCEL_SET_BUY,HBb0dWvkmH,DQW 
[64785] ADD,HBb0dWvkmH,69426.66 
[64823] SET_SELL_AMOUNT,HBb0dWvkmH,AVX,159.28 
[64841] DISPLAY_SUMMARY,HBb0dWvkmH 
[64927] DISPLAY_SUMMARY,HBb0dWvkmH 
[65058] ADD,HBb0dWvkmH,61321.98 
[65159] QUOTE,HBb0dWvkmH,URI 
[65162] BUY,HBb0dWvkmH,HDR,714.42 
[65489] SET_BUY_TRIGGER,HBb0dWvkmH,RUN,147.66 
[65675] QUOTE,HBb0dWvkmH,TZJ 
[65723] BUY,HBb0dWvkmH,DWX,625.25 
[66078] COMMIT_BUY,HBb0dWvkmH 
[66086] CANCEL_SET_SELL,HBb0dWvkmH,AVX 
[66118] DISPLAY_SUMMARY,HBb0dWvkmH 
[66315] QUOTE,HBb0dWvkmH,FVZ 
[66403] BUY,HBb0dWvkmH,UUJ,354.23 
[66487] COMMIT_BUY,HBb0dWvkmH 
[66496] SET_SELL_AMOUNT,HBb0dWvkmH,QJZ,292.75 
[66519] SET_SELL_TRIGGER,HBb0dWvkmH,QJZ,244.85 
[66687] ADD,HBb0dWvkmH,67140.58 
[66780] SELL,HBb0dWvkmH,YJK,182.30 
[66789] SET_SELL_AMOUNT,HBb0dWvkmH,SUS,741.70 
[66821] SET_SELL_TRIGGER,HBb0dWvkmH,SUS,45.53 
[66848] ADD,HBb0dWvkmH,76418.87 
[67039] QUOTE,HBb0dWvkmH,XWZ 
[67139] QUOTE,HBb0dWvkmH,UJC 
[67338] DISPLAY_SUMMARY,HBb0dWvkmH 
[67447] ADD,HBb0dWvkmH,57786.96 
[67483] QUOTE,HBb0dWvkmH,JNO 
[67566] SET_SELL_AMOUNT,HBb0dWvkmH,NHG,636.53 
[67727] SET_SELL_TRIGGER,HBb0dWvkmH,NHG,154.09 
[67819] DISPLAY_SUMMARY,HBb0dWvkmH 
[68038] QUOTE,HBb0dWvkmH,XBL 
[68250] SET_SELL_AMOUNT,HBb0dWvkmH,SZI,520.42 
[68325] SET_SELL_TRIGGER,HBb0dWvkmH,SZI,420.09 
[68809] SELL,HBb0dWvkmH,ZAN,258.05 
[68883] BUY,HBb0dWvkmH,OAS,615.66 
[68899] BUY,HBb0dWvkmH,BRT,564.11 
[68941] COMMIT_BUY,HBb0dWvkmH 
[68983] ADD,HBb0dWvkmH,32783.82 
[69003] QUOTE,HBb0dWvkmH,OZW 
[69623] COMMIT_SELL,HBb0dWvkmH 
[70012] DISPLAY_SUMMARY,HBb0dWvkmH 
[70014] QUOTE,HBb0dWvkmH,RJG 
[70217] BUY,HBb0dWvkmH,OBO,17.70 
[70447] COMMIT_BUY,HBb0dWvkmH 
[70450] ADD,HBb0dWvkmH,65269.79 
[70613] BUY,HBb0dWvkmH,TXB,448.00 
[70703] COMMIT_BUY,HBb0dWvkmH 
[70752] ADD,HBb0dWvkmH,78650.03 
[70762] BUY,HBb0dWvkmH,ZWC,612.44 
[70779] COMMIT_BUY,HBb0dWvkmH 
[70811] ADD,HBb0dWvkmH,54134.77 
[70836] BUY,HBb0dWvkmH,KBI,366.83 
[70861] SET_BUY_AMOUNT,HBb0dWvkmH,RNK,327.13 
[71003] CANCEL_SET_BUY,HBb0dWvkmH,IHW 
[71072] DISPLAY_SUMMARY,HBb0dWvkmH 
[71087] ADD,HBb0dWvkmH,72451.77 
[71408] QUOTE,HBb0dWvkmH,SYT 
[71419] SET_BUY_AMOUNT,HBb0dWvkmH,AJR,443.03 
[71732] SET_BUY_TRIGGER,HBb0dWvkmH,PNP,25.47 
[71739] QUOTE,HBb0dWvkmH,UEC 
[71758] COMMIT_BUY,HBb0dWvkmH 
[71968] SELL,HBb0dWvkmH,CUZ,204.12 
[72000] QUOTE,HBb0dWvkmH,RUN 
[72040] COMMIT_BUY,HBb0dWvkmH 
[72045] BUY,HBb0dWvkmH,VNO,26.94 
[72132] SET_BUY_AMOUNT,HBb0dWvkmH,BCQ,383.07 
[72212] CANCEL_SET_BUY,HBb0dWvkmH,ZWB 
[72295] SELL,HBb0dWvkmH,UBJ,61.29 
[72406] QUOTE,HBb0dWvkmH,WCR 
[72441] SET_SELL_AMOUNT,HBb0dWvkmH,JCQ,559.74 
[72638] SET_SELL_TRIGGER,HBb0dWvkmH,JCQ,132.11 
[72707] SET_BUY_AMOUNT,HBb0dWvkmH,OPN,720.27 
[72742] CANCEL_SET_BUY,HBb0dWvkmH,ZMK 
[72810] ADD,HBb0dWvkmH,73851.41 
[72889] BUY,HBb0dWvkmH,OOV,340.77 
[72982] SET_SELL_AMOUNT,HBb0dWvkmH,SUS,264.74 
[72989] SET_SELL_TRIGGER,HBb0dWvkmH,SUS,177.70 
[72991] COMMIT_SELL,HBb0dWvkmH 
[73003] SET_BUY_TRIGGER,HBb0dWvkmH,UUJ,139.33 
[73018] SET_SELL_TRIGGER,HBb0dWvkmH,OYW,189.92 
[73128] DISPLAY_SUMMARY,HBb0dWvkmH 
[73152] QUOTE,HBb0dWvkmH,JHY 
[73194] BUY,HBb0dWvkmH,HZE,428.48 
[73679] SET_SELL_AMOUNT,HBb0dWvkmH,XLK,648.54 
[73694] SET_SELL_TRIGGER,HBb0dWvkmH,XLK,295.17 
[73717] SET_SELL_TRIGGER,HBb0dWvkmH,VEX,27.03 
[73744] SET_SELL_AMOUNT,HBb0dWvkmH,VTY,642.52 
[73979] SET_SELL_TRIGGER,HBb0dWvkmH,VTY,93.40 
[73988] DISPLAY_SUMMARY,HBb0dWvkmH 
[74002] SET_SELL_TRIGGER,HBb0dWvkmH,NJI,19.29 
[74023] SET_SELL_AMOUNT,HBb0dWvkmH,SSF,168.12 
[74084] SET_SELL_TRIGGER,HBb0dWvkmH,SSF,23.99 
[74119] SET_BUY_AMOUNT,HBb0dWvkmH,DFE,660.47 
[74229] SET_BUY_TRIGGER,HBb0dWvkmH,RWY,605.43 
[74264] DISPLAY_SUMMARY,HBb0dWvkmH 
[74391] QUOTE,HBb0dWvkmH,QQI 
[74465] SET_BUY_TRIGGER,HBb0dWvkmH,ZWC,164.26 
[74602] DISPLAY_SUMMARY,HBb0dWvkmH 
[74624] SET_SELL_AMOUNT,HBb0dWvkmH,UIE,133.85 
[74806] SET_SELL_TRIGGER,HBb0dWvkmH,UIE,107.75 
[74923] DISPLAY_SUMMARY,HBb0dWvkmH 
[75000] SET_SELL_AMOUNT,HBb0dWvkmH,RGH,257.68 
[75320] DISPLAY_SUMMARY,HBb0dWvkmH 
[75419] ADD,HBb0dWvkmH,68592.30 
[75800] BUY,HBb0dWvkmH,ZSV,58.86 
[75837] COMMIT_BUY,HBb0dWvkmH 
[75943] SET_SELL_TRIGGER,HBb0dWvkmH,RGH,188.97 
[76425] QUOTE,HBb0dWvkmH,ZOT 
[76563] QUOTE,HBb0dWvkmH,JGO 
[76692] SET_SELL_TRIGGER,HBb0dWvkmH,TOL,14.68 
[76720] BUY,HBb0dWvkmH,DRP,500.99 
[76766] CANCEL_SELL,HBb0dWvkmH 
[76861] QUOTE,HBb0dWvkmH,NJB 
[76919] COMMIT_SELL,HBb0dWvkmH 
[76931] ADD,HBb0dWvkmH,86031.96 
[76965] BUY,HBb0dWvkmH,UEC,317.67 
[77020] COMMIT_BUY,HBb0dWvkmH 
[77070] QUOTE,HBb0dWvkmH,XLK 
[77077] CANCEL_SELL,HBb0dWvkmH 
[77144] ADD,HBb0dWvkmH,90236.97 
[77383] QUOTE,HBb0dWvkmH,ZER 
[77429] ADD,HBb0dWvkmH,65185.40 
[77604] BUY,HBb0dWvkmH,UIE,283.85 
[77709] COMMIT_BUY,HBb0dWvkmH 
[77729] QUOTE,HBb0dWvkmH,TFZ 
[78094] DISPLAY_SUMMARY,HBb0dWvkmH 
[78220] BUY,HBb0dWvkmH,UFX,729.27 
[78314] SET_SELL_AMOUNT,HBb0dWvkmH,TVI,596.00 
[78330] SELL,HBb0dWvkmH,JVT,269.71 
[78546] CANCEL_SET_SELL,HBb0dWvkmH,TVI 
[78777] ADD,HBb0dWvkmH,99455.82 
[78851] SET_SELL_AMOUNT,HBb0dWvkmH,SUS,258.94 
[79069] SELL,HBb0dWvkmH,JRJ,736.73 
[79147] CANCEL_SELL,HBb0dWvkmH 
[79160] ADD,HBb0dWvkmH,67682.35 
[79173] BUY,HBb0dWvkmH,AUT,199.21 
[79323] SELL,HBb0dWvkmH,NHG,202.92 
[79431] SET_BUY_TRIGGER,HBb0dWvkmH,SWJ,37.56 
[79525] BUY,HBb0dWvkmH,MWJ,232.61 
[79847] COMMIT_BUY,HBb0dWvkmH 
[79874] BUY,HBb0dWvkmH,PVH,640.22 
[79977] CANCEL_BUY,HBb0dWvkmH 
[79996] BUY,HBb0dWvkmH,STQ,162.18 
[80088] COMMIT_BUY,HBb0dWvkmH 
[80146] DISPLAY_SUMMARY,HBb0dWvkmH 
[80174] QUOTE,HBb0dWvkmH,PYM 
[80223] BUY,HBb0dWvkmH,VTY,607.48 
[80244] DISPLAY_SUMMARY,HBb0dWvkmH 
[80462] SELL,HBb0dWvkmH,RUN,53.66 
[80468] COMMIT_SELL,HBb0dWvkmH 
[80470] SET_BUY_TRIGGER,HBb0dWvkmH,OZT,101.74 
[80529] SET_BUY_AMOUNT,HBb0dWvkmH,KBN,565.81 
[80657] CANCEL_SET_BUY,HBb0dWvkmH,YPL 
[80845] SELL,HBb0dWvkmH,SQI,668.52 
[80921] CANCEL_SET_SELL,HBb0dWvkmH,SUS 
[80948] SET_BUY_TRIGGER,HBb0dWvkmH,XOL,79.02 
[81017] SET_BUY_AMOUNT,HBb0dWvkmH,RGH,330.77 
[81355] SET_BUY_TRIGGER,HBb0dWvkmH,GPC,195.85 
[81409] QUOTE,HBb0dWvkmH,XAN 
[81492] QUOTE,HBb0dWvkmH,PIC 
[81510] SET_BUY_AMOUNT,HBb0dWvkmH,JUN,245.27 
[81551] SET_BUY_TRIGGER,HBb0dWvkmH,HEJ,21.80 
[81846] ADD,HBb0dWvkmH,95168.53 
[81918] BUY,HBb0dWvkmH,MQF,575.70 
[82145] COMMIT_BUY,HBb0dWvkmH 
[82292] SET_BUY_AMOUNT,HBb0dWvkmH,CBO,354.51 
[82356] SET_BUY_TRIGGER,HBb0dWvkmH,DPG,213.54 
[82522] ADD,HBb0dWvkmH,58071.86 
[82571] SET_BUY_TRIGGER,HBb0dWvkmH,GAL,164.89 
[82697] ADD,HBb0dWvkmH,70114.39 
[82768] QUOTE,HBb0dWvkmH,WBX 
[83035] BUY,HBb0dWvkmH,PXS,27.07 
[83075] CANCEL_BUY,HBb0dWvkmH 
[83243] SET_SELL_TRIGGER,HBb0dWvkmH,MQF,53.46 
[83325] COMMIT_BUY,HBb0dWvkmH 
[83437] SELL,HBb0dWvkmH,SUS,200.09 
[83538] QUOTE,HBb0dWvkmH,AJX 
[83754] QUOTE,HBb0dWvkmH,GTX 
[83780] QUOTE,HBb0dWvkmH,HFI 
[83783] QUOTE,HBb0dWvkmH,VCN 
[83965] BUY,HBb0dWvkmH,ECI,717.82 
[83974] SELL,HBb0dWvkmH,RUN,159.09 
[84046] COMMIT_SELL,HBb0dWvkmH 
[84076] ADD,HBb0dWvkmH,65783.57 
[84334] BUY,HBb0dWvkmH,SJG,380.29 
[84365] COMMIT_BUY,HBb0dWvkmH 
[84448] SELL,HBb0dWvkmH,OZO,261.90 
[84542] CANCEL_BUY,HBb0dWvkmH 
[84553] DISPLAY_SUMMARY,HBb0dWvkmH 
[84572] SET_SELL_AMOUNT,HBb0dWvkmH,IQJ,132.57 
[84612] SET_SELL_TRIGGER,HBb0dWvkmH,IQJ,79.44 
[84731] ADD,HBb0dWvkmH,73095.35 
[84804] BUY,HBb0dWvkmH,PYM,187.02 
[84807] COMMIT_BUY,HBb0dWvkmH 
[84882] DISPLAY_SUMMARY,HBb0dWvkmH 
[84990] ADD,HBb0dWvkmH,66291.17 
[85021] QUOTE,HBb0dWvkmH,CXB 
[85089] QUOTE,HBb0dWvkmH,MMF 
[85174] QUOTE,HBb0dWvkmH,CMA 
[85212] BUY,HBb0dWvkmH,NUL,447.11 
[85250] COMMIT_SELL,HBb0dWvkmH 
[85294] SET_SELL_AMOUNT,HBb0dWvkmH,GYF,211.95 
[85487] SET_SELL_TRIGGER,HBb0dWvkmH,GYF,103.71 
[85536] DISPLAY_SUMMARY,HBb0dWvkmH 
[85622] DISPLAY_SUMMARY,HBb0dWvkmH 
[85781] SELL,HBb0dWvkmH,MXD,239.63 
[85820] CANCEL_BUY,HBb0dWvkmH 
[85897] DISPLAY_SUMMARY,HBb0dWvkmH 
[86114] DISPLAY_SUMMARY,HBb0dWvkmH 
[86188] SET_SELL_TRIGGER,HBb0dWvkmH,RYU,139.13 
[86193] ADD,HBb0dWvkmH,79386.38 
[86464] BUY,HBb0dWvkmH,NDO,526.41 
[86557] BUY,HBb0dWvkmH,PIC,433.60 
[86676] COMMIT_BUY,HBb0dWvkmH 
[86949] DISPLAY_SUMMARY,HBb0dWvkmH 
[87312] DISPLAY_SUMMARY,HBb0dWvkmH 
[87373] SELL,HBb0dWvkmH,GRM,625.75 
[87404] CANCEL_SET_SELL,HBb0dWvkmH,WPG 
[87739] ADD,HBb0dWvkmH,44301.08 
[87786] QUOTE,HBb0dWvkmH,QVK 
[87830] COMMIT_SELL,HBb0dWvkmH 
[87924] ADD,HBb0dWvkmH,75881.23 
[87934] BUY,HBb0dWvkmH,UUJ,9.70 
[88070] SET_BUY_AMOUNT,HBb0dWvkmH,KYX,721.96 
[88174] SET_BUY_TRIGGER,HBb0dWvkmH,LLO,644.31 
[88219] CANCEL_SELL,HBb0dWvkmH 
[88315] SET_BUY_TRIGGER,HBb0dWvkmH,GNY,167.98 
[88319] SET_SELL_TRIGGER,HBb0dWvkmH,PUO,125.80 
[88494] SELL,HBb0dWvkmH,VDP,179.40 
[88507] SET_SELL_TRIGGER,HBb0dWvkmH,RFI,179.25 
[88672] QUOTE,HBb0dWvkmH,GPC 
[88855] QUOTE,HBb0dWvkmH,FIW 
[88867] QUOTE,HBb0dWvkmH,GTX 
[88945] BUY,HBb0dWvkmH,WTD,105.04 
[89000] COMMIT_BUY,HBb0dWvkmH 
