[3] ADD,WUsol6wtDm,87738.46 
[48333] SELL,WUsol6wtDm,LFU,135.29 
[48534] COMMIT_BUY,WUsol6wtDm 
[48868] BUY,WUsol6wtDm,FNY,163.78 
[48928] CANCEL_SET_SELL,WUsol6wtDm,SUS 
[49119] DISPLAY_SUMMARY,WUsol6wtDm 
[49134] BUY,WUsol6wtDm,GPM,681.17 
[49181] CANCEL_BUY,WUsol6wtDm 
[49185] SET_BUY_AMOUNT,WUsol6wtDm,JZJ,482.72 
[49221] SET_BUY_TRIGGER,WUsol6wtDm,PVZ,300.87 
[49238] SET_SELL_TRIGGER,WUsol6wtDm,VOY,90.10 
[49276] SET_SELL_AMOUNT,WUsol6wtDm,FDI,73.80 
[49495] BUY,WUsol6wtDm,OTQ,606.60 
[49594] CANCEL_SELL,WUsol6wtDm 
[49658] COMMIT_SELL,WUsol6wtDm 
[49671] SELL,WUsol6wtDm,JZJ,101.75 
[49743] COMMIT_SELL,WUsol6wtDm 
[49777] CANCEL_SET_BUY,WUsol6wtDm,OAV 
[49805] DISPLAY_SUMMARY,WUsol6wtDm 
[49875] SELL,WUsol6wtDm,JVT,170.93 
[49891] CANCEL_SELL,WUsol6wtDm 
[50006] SELL,WUsol6wtDm,NHG,433.11 
[50041] CANCEL_BUY,WUsol6wtDm 
[50278] ADD,WUsol6wtDm,100353.34 
[50318] BUY,WUsol6wtDm,XUH,339.51 
[50434] SET_BUY_TRIGGER,WUsol6wtDm,UFX,196.49 
[50438] DISPLAY_SUMMARY,WUsol6wtDm 
[50721] SET_BUY_TRIGGER,WUsol6wtDm,GHL,165.30 
[50729] DISPLAY_SUMMARY,WUsol6wtDm 
[50738] DISPLAY_SUMMARY,WUsol6wtDm 
[50860] COMMIT_BUY,WUsol6wtDm 
[51001] DISPLAY_SUMMARY,WUsol6wtDm 
[51008] ADD,WUsol6wtDm,69917.85 
[51049] QUOTE,WUsol6wtDm,SPP 
[51056] BUY,WUsol6wtDm,ZNZ,707.82 
[51212] SET_SELL_TRIGGER,WUsol6wtDm,FDI,47.39 
[51233] DISPLAY_SUMMARY,WUsol6wtDm 
[51268] SET_BUY_AMOUNT,WUsol6wtDm,KES,701.43 
[51282] SET_BUY_TRIGGER,WUsol6wtDm,UZZ,573.97 
[51348] QUOTE,WUsol6wtDm,QUT 
[51558] QUOTE,WUsol6wtDm,YBB 
[51792] BUY,WUsol6wtDm,TVX,108.42 
[52158] CANCEL_BUY,WUsol6wtDm 
[52359] BUY,WUsol6wtDm,WYO,648.80 
[52465] BUY,WUsol6wtDm,WKE,54.33 
[52538] COMMIT_BUY,WUsol6wtDm 
[52595] BUY,WUsol6wtDm,CLQ,33.52 
[52620] COMMIT_BUY,WUsol6wtDm 
[52674] DISPLAY_SUMMARY,WUsol6wtDm 
[52745] SET_SELL_TRIGGER,WUsol6wtDm,ZGC,91.84 
[52746] SELL,WUsol6wtDm,KES,94.85 
[52812] COMMIT_SELL,WUsol6wtDm 
[53173] BUY,WUsol6wtDm,VIG,642.87 
[53230] COMMIT_BUY,WUsol6wtDm 
[53291] BUY,WUsol6wtDm,EBS,312.75 
[53480] COMMIT_BUY,WUsol6wtDm 
[53549] ADD,WUsol6wtDm,64572.36 
[53592] BUY,WUsol6wtDm,LZV,334.88 
[53594] CANCEL_SELL,WUsol6wtDm 
[53634] ADD,WUsol6wtDm,58377.00 
[53720] SET_SELL_AMOUNT,WUsol6wtDm,BYA,222.27 
[53920] SET_SELL_TRIGGER,WUsol6wtDm,BYA,33.94 
[53934] DISPLAY_SUMMARY,WUsol6wtDm 
[54034] BUY,WUsol6wtDm,QOQ,252.85 
[54053] COMMIT_BUY,WUsol6wtDm 
[54102] ADD,WUsol6wtDm,48168.03 
[54369] CANCEL_SET_SELL,WUsol6wtDm,MPP 
[54439] ADD,WUsol6wtDm,59781.38 
[54540] BUY,WUsol6wtDm,BYA,305.83 
[54829] BUY,WUsol6wtDm,ZNZ,361.47 
[54831] COMMIT_BUY,WUsol6wtDm 
[54911] QUOTE,WUsol6wtDm,FPV 
[54941] DISPLAY_SUMMARY,WUsol6wtDm 
[54975] BUY,WUsol6wtDm,JQO,626.45 
[55067] COMMIT_BUY,WUsol6wtDm 
[55121] BUY,WUsol6wtDm,AZN,501.30 
[55126] CANCEL_BUY,WUsol6wtDm 
[55231] SELL,WUsol6wtDm,JZJ,677.53 
[55242] COMMIT_SELL,WUsol6wtDm 
[55303] QUOTE,WUsol6wtDm,FDI 
[55505] DISPLAY_SUMMARY,WUsol6wtDm 
[55593] ADD,WUsol6wtDm,75027.84 
[55657] COMMIT_BUY,WUsol6wtDm 
[55712] SELL,WUsol6wtDm,QGE,35.90 
[55714] COMMIT_SELL,WUsol6wtDm 
[55827] QUOTE,WUsol6wtDm,MIU 
[56023] BUY,WUsol6wtDm,SDW,609.75 
[56049] CANCEL_SET_BUY,WUsol6wtDm,XXQ 
[56179] BUY,WUsol6wtDm,HVE,226.45 
[56199] CANCEL_BUY,WUsol6wtDm 
[56451] QUOTE,WUsol6wtDm,XLK 
[56615] ADD,WUsol6wtDm,80349.73 
[56634] BUY,WUsol6wtDm,EYY,559.15 
[56728] COMMIT_BUY,WUsol6wtDm 
[56790] ADD,WUsol6wtDm,55794.41 
[56878] BUY,WUsol6wtDm,TOZ,369.85 
[56930] CANCEL_BUY,WUsol6wtDm 
[57129] QUOTE,WUsol6wtDm,WZM 
[57401] SET_SELL_AMOUNT,WUsol6wtDm,RGH,478.71 
[57422] SET_SELL_TRIGGER,WUsol6wtDm,RGH,187.61 
[57547] SET_BUY_TRIGGER,WUsol6wtDm,ZER,117.98 
[57572] ADD,WUsol6wtDm,31709.09 
[57693] QUOTE,WUsol6wtDm,BFL 
[57904] ADD,WUsol6wtDm,41500.47 
[57949] BUY,WUsol6wtDm,ERF,388.55 
[57952] CANCEL_SELL,WUsol6wtDm 
[58009] BUY,WUsol6wtDm,DWK,278.80 
[58065] SELL,WUsol6wtDm,BCQ,616.12 
[58984] COMMIT_SELL,WUsol6wtDm 
[59108] SELL,WUsol6wtDm,GYF,443.07 
[59139] DISPLAY_SUMMARY,WUsol6wtDm 
[59493] SELL,WUsol6wtDm,ZTI,425.77 
[59617] COMMIT_SELL,WUsol6wtDm 
[59719] BUY,WUsol6wtDm,GRM,422.23 
[59751] BUY,WUsol6wtDm,JUJ,537.91 
[59901] COMMIT_BUY,WUsol6wtDm 
[59915] ADD,WUsol6wtDm,95584.55 
[60061] QUOTE,WUsol6wtDm,OQW 
[60190] BUY,WUsol6wtDm,PFK,516.90 
[60234] CANCEL_BUY,WUsol6wtDm 
[60474] DISPLAY_SUMMARY,WUsol6wtDm 
[60498] QUOTE,WUsol6wtDm,LGL 
[60544] CANCEL_SET_SELL,WUsol6wtDm,JRY 
[60688] ADD,WUsol6wtDm,45397.52 
[60803] QUOTE,WUsol6wtDm,CBV 
[61053] ADD,WUsol6wtDm,81654.73 
[61073] QUOTE,WUsol6wtDm,KZC 
[61183] SET_SELL_AMOUNT,WUsol6wtDm,PTP,202.41 
[61265] CANCEL_SET_SELL,WUsol6wtDm,PTP 
[61282] ADD,WUsol6wtDm,80022.30 
[61316] BUY,WUsol6wtDm,LEA,57.87 
[61354] CANCEL_BUY,WUsol6wtDm 
[61445] SELL,WUsol6wtDm,DFE,323.76 
[61474] COMMIT_SELL,WUsol6wtDm 
[61539] SET_SELL_AMOUNT,WUsol6wtDm,KBN,566.98 
[61697] SET_SELL_TRIGGER,WUsol6wtDm,KBN,218.09 
[61894] ADD,WUsol6wtDm,86693.41 
[61980] QUOTE,WUsol6wtDm,CMA 
[61986] SET_SELL_AMOUNT,WUsol6wtDm,UBJ,728.08 
[62032] SET_SELL_TRIGGER,WUsol6wtDm,UBJ,474.24 
[62140] SET_BUY_TRIGGER,WUsol6wtDm,AUT,99.92 
[62180] DISPLAY_SUMMARY,WUsol6wtDm 
[62211] ADD,WUsol6wtDm,68539.18 
[62275] SET_SELL_AMOUNT,WUsol6wtDm,CSZ,298.91 
[62485] SET_SELL_TRIGGER,WUsol6wtDm,CSZ,75.16 
[62537] SET_BUY_TRIGGER,WUsol6wtDm,FPP,80.60 
[62603] SET_BUY_AMOUNT,WUsol6wtDm,YJK,538.40 
[62610] SET_BUY_TRIGGER,WUsol6wtDm,ZTR,385.49 
[62642] SELL,WUsol6wtDm,ZYR,683.42 
[62864] SET_BUY_TRIGGER,WUsol6wtDm,KEO,194.82 
[62892] DISPLAY_SUMMARY,WUsol6wtDm 
[62910] CANCEL_BUY,WUsol6wtDm 
[63004] SET_BUY_AMOUNT,WUsol6wtDm,QGE,116.52 
[63072] SET_BUY_TRIGGER,WUsol6wtDm,RQL,80.54 
[63101] DISPLAY_SUMMARY,WUsol6wtDm 
[63185] SELL,WUsol6wtDm,KBN,510.52 
[63255] COMMIT_SELL,WUsol6wtDm 
[63280] SET_BUY_TRIGGER,WUsol6wtDm,LBC,18.95 
[63300] SELL,WUsol6wtDm,CBO,698.36 
[63339] COMMIT_SELL,WUsol6wtDm 
[63423] BUY,WUsol6wtDm,XBL,244.76 
[63428] COMMIT_BUY,WUsol6wtDm 
[63557] BUY,WUsol6wtDm,RNE,181.37 
[63628] COMMIT_SELL,WUsol6wtDm 
[63660] SET_BUY_AMOUNT,WUsol6wtDm,SSF,284.56 
[63738] SET_BUY_TRIGGER,WUsol6wtDm,RKQ,282.94 
[63769] SELL,WUsol6wtDm,OEY,673.52 
[63773] QUOTE,WUsol6wtDm,GGI 
[63845] BUY,WUsol6wtDm,POE,223.39 
[64108] COMMIT_BUY,WUsol6wtDm 
[64370] QUOTE,WUsol6wtDm,DDA 
[64392] SET_SELL_AMOUNT,WUsol6wtDm,JCQ,151.00 
[64485] CANCEL_SET_SELL,WUsol6wtDm,JCQ 
[64548] SET_SELL_AMOUNT,WUsol6wtDm,CEC,409.16 
[64757] SET_SELL_TRIGGER,WUsol6wtDm,CEC,312.73 
[64773] ADD,WUsol6wtDm,77330.69 
[64877] BUY,WUsol6wtDm,ZCG,103.68 
[64896] QUOTE,WUsol6wtDm,GLO 
[64994] SET_BUY_AMOUNT,WUsol6wtDm,JCQ,211.09 
[65027] SET_BUY_TRIGGER,WUsol6wtDm,XCL,128.60 
[65029] SELL,WUsol6wtDm,CUZ,206.29 
[65048] COMMIT_SELL,WUsol6wtDm 
[65076] QUOTE,WUsol6wtDm,IZJ 
[65380] SET_SELL_TRIGGER,WUsol6wtDm,CVP,5.36 
[65540] DISPLAY_SUMMARY,WUsol6wtDm 
[65588] QUOTE,WUsol6wtDm,NUV 
[65883] BUY,WUsol6wtDm,PNP,480.38 
[65987] COMMIT_BUY,WUsol6wtDm 
[66103] ADD,WUsol6wtDm,94011.32 
[66214] BUY,WUsol6wtDm,AUT,670.79 
[66408] COMMIT_BUY,WUsol6wtDm 
[66559] DISPLAY_SUMMARY,WUsol6wtDm 
[66657] SELL,WUsol6wtDm,EBS,325.88 
[66682] COMMIT_SELL,WUsol6wtDm 
[66785] ADD,WUsol6wtDm,59717.50 
[66889] QUOTE,WUsol6wtDm,JFF 
[66903] QUOTE,WUsol6wtDm,OBR 
[67194] CANCEL_SET_SELL,WUsol6wtDm,TOL 
[67420] SET_SELL_TRIGGER,WUsol6wtDm,IPH,151.47 
[67533] ADD,WUsol6wtDm,69568.72 
[67542] QUOTE,WUsol6wtDm,LSM 
[67646] BUY,WUsol6wtDm,QJZ,168.86 
[67747] QUOTE,WUsol6wtDm,EJW 
[67784] COMMIT_SELL,WUsol6wtDm 
[67840] SELL,WUsol6wtDm,FQP,637.46 
[67874] COMMIT_SELL,WUsol6wtDm 
[67877] SET_BUY_AMOUNT,WUsol6wtDm,CBO,3.02 
[68001] QUOTE,WUsol6wtDm,GWF 
[68020] ADD,WUsol6wtDm,80108.78 
[68067] QUOTE,WUsol6wtDm,DXL 
[68085] QUOTE,WUsol6wtDm,FPV 
[68160] CANCEL_SET_SELL,WUsol6wtDm,ZNW 
[68348] ADD,WUsol6wtDm,83328.18 
[68545] BUY,WUsol6wtDm,FXT,617.74 
[68589] COMMIT_BUY,WUsol6wtDm 
[69028] ADD,WUsol6wtDm,60396.66 
[69484] BUY,WUsol6wtDm,FVA,23.57 
[69486] BUY,WUsol6wtDm,RDK,12.57 
[69554] SET_BUY_TRIGGER,WUsol6wtDm,NHG,0.02 
[69575] QUOTE,WUsol6wtDm,LGL 
[69653] SET_BUY_AMOUNT,WUsol6wtDm,UBJ,594.53 
[69666] SET_BUY_TRIGGER,WUsol6wtDm,YOG,98.92 
[69775] QUOTE,WUsol6wtDm,LNJ 
[69842] QUOTE,WUsol6wtDm,MIR 
[69860] SELL,WUsol6wtDm,OEY,113.94 
[69919] COMMIT_SELL,WUsol6wtDm 
[70166] ADD,WUsol6wtDm,77659.56 
[70507] SET_SELL_AMOUNT,WUsol6wtDm,LZV,9.10 
[70590] QUOTE,WUsol6wtDm,DXL 
[70751] BUY,WUsol6wtDm,QAA,359.31 
[70828] SET_BUY_TRIGGER,WUsol6wtDm,FVA,189.87 
[70881] ADD,WUsol6wtDm,76013.55 
[70945] QUOTE,WUsol6wtDm,DLX 
[71031] ADD,WUsol6wtDm,91755.13 
[71434] COMMIT_BUY,WUsol6wtDm 
[71817] DISPLAY_SUMMARY,WUsol6wtDm 
[71951] DISPLAY_SUMMARY,WUsol6wtDm 
[72004] CANCEL_SET_SELL,WUsol6wtDm,LZV 
[72181] ADD,WUsol6wtDm,71338.36 
[72402] SET_BUY_TRIGGER,WUsol6wtDm,DIX,81.91 
[72629] QUOTE,WUsol6wtDm,XRK 
[72865] BUY,WUsol6wtDm,MQF,564.37 
[72942] CANCEL_BUY,WUsol6wtDm 
[72944] CANCEL_SET_SELL,WUsol6wtDm,NGB 
[73076] DISPLAY_SUMMARY,WUsol6wtDm 
[73079] SET_SELL_TRIGGER,WUsol6wtDm,LCP,162.29 
[73271] QUOTE,WUsol6wtDm,EDW 
[73399] QUOTE,WUsol6wtDm,QJZ 
[73464] QUOTE,WUsol6wtDm,IGI 
[73474] QUOTE,WUsol6wtDm,SAJ 
[73617] CANCEL_SELL,WUsol6wtDm 
[73806] SET_SELL_TRIGGER,WUsol6wtDm,XXP,187.10 
[73846] DISPLAY_SUMMARY,WUsol6wtDm 
[73917] ADD,WUsol6wtDm,61981.92 
[74016] CANCEL_SELL,WUsol6wtDm 
[74051] BUY,WUsol6wtDm,MLI,367.12 
[74087] COMMIT_BUY,WUsol6wtDm 
[74102] SELL,WUsol6wtDm,JVT,725.48 
[74266] COMMIT_SELL,WUsol6wtDm 
[74373] QUOTE,WUsol6wtDm,IPJ 
[74584] ADD,WUsol6wtDm,74253.99 
[74735] CANCEL_SET_SELL,WUsol6wtDm,FIC 
[74891] ADD,WUsol6wtDm,72549.94 
[75054] QUOTE,WUsol6wtDm,SPT 
[75176] BUY,WUsol6wtDm,FZU,372.40 
[75189] SET_BUY_AMOUNT,WUsol6wtDm,KBN,479.18 
[75235] SET_BUY_TRIGGER,WUsol6wtDm,IZU,416.56 
[75267] DISPLAY_SUMMARY,WUsol6wtDm 
[75358] BUY,WUsol6wtDm,MOM,165.80 
[75487] COMMIT_BUY,WUsol6wtDm 
[75504] SET_BUY_TRIGGER,WUsol6wtDm,JEO,59.01 
[75636] BUY,WUsol6wtDm,XME,468.70 
[75683] SET_SELL_TRIGGER,WUsol6wtDm,KNM,142.49 
[75810] BUY,WUsol6wtDm,MHR,607.98 
[75826] COMMIT_BUY,WUsol6wtDm 
[76018] DISPLAY_SUMMARY,WUsol6wtDm 
[76127] SET_SELL_AMOUNT,WUsol6wtDm,XLK,192.11 
[76613] SET_SELL_TRIGGER,WUsol6wtDm,XLK,19.31 
[76635] SET_BUY_AMOUNT,WUsol6wtDm,JQO,570.14 
[76641] SET_BUY_TRIGGER,WUsol6wtDm,KDA,60.75 
[76671] SELL,WUsol6wtDm,XQC,263.98 
[76839] CANCEL_SELL,WUsol6wtDm 
[76888] SET_BUY_TRIGGER,WUsol6wtDm,HIW,77.28 
[76889] DISPLAY_SUMMARY,WUsol6wtDm 
[76933] SET_SELL_TRIGGER,WUsol6wtDm,VYQ,131.09 
[76944] SET_BUY_AMOUNT,WUsol6wtDm,GRM,129.69 
[76955] SET_BUY_TRIGGER,WUsol6wtDm,FRB,4.40 
[76985] CANCEL_SET_SELL,WUsol6wtDm,SSW 
[76999] DISPLAY_SUMMARY,WUsol6wtDm 
[77001] BUY,WUsol6wtDm,GAL,263.48 
[77071] COMMIT_BUY,WUsol6wtDm 
[77108] ADD,WUsol6wtDm,62454.65 
[77113] CANCEL_SET_SELL,WUsol6wtDm,CLQ 
[77116] SET_SELL_TRIGGER,WUsol6wtDm,ZNW,102.99 
[77160] SET_SELL_TRIGGER,WUsol6wtDm,SKW,96.15 
[77184] ADD,WUsol6wtDm,90780.44 
[77271] BUY,WUsol6wtDm,FLD,6.04 
[77273] CANCEL_SELL,WUsol6wtDm 
[77490] ADD,WUsol6wtDm,79201.56 
[77493] QUOTE,WUsol6wtDm,GHL 
[77821] SET_BUY_TRIGGER,WUsol6wtDm,QOD,149.36 
[77836] CANCEL_SET_SELL,WUsol6wtDm,MGO 
[77947] SET_SELL_TRIGGER,WUsol6wtDm,JCL,128.28 
[78050] COMMIT_BUY,WUsol6wtDm 
[78101] QUOTE,WUsol6wtDm,FPI 
[78110] BUY,WUsol6wtDm,LEA,60.53 
[78126] CANCEL_SET_SELL,WUsol6wtDm,LZB 
[78451] BUY,WUsol6wtDm,APY,193.09 
[78789] SET_BUY_TRIGGER,WUsol6wtDm,ZCG,17.16 
[78813] QUOTE,WUsol6wtDm,DWF 
[78985] ADD,WUsol6wtDm,75312.32 
[79252] BUY,WUsol6wtDm,EBS,120.96 
[79361] ADD,WUsol6wtDm,89390.23 
[79386] QUOTE,WUsol6wtDm,VMT 
[79396] QUOTE,WUsol6wtDm,HSH 
[79424] BUY,WUsol6wtDm,GIX,148.45 
[79702] CANCEL_BUY,WUsol6wtDm 
[79719] DISPLAY_SUMMARY,WUsol6wtDm 
[79913] QUOTE,WUsol6wtDm,LSM 
[79918] ADD,WUsol6wtDm,81234.40 
[79975] QUOTE,WUsol6wtDm,OTI 
[80099] BUY,WUsol6wtDm,YBP,266.66 
[80129] COMMIT_BUY,WUsol6wtDm 
[80166] SET_SELL_AMOUNT,WUsol6wtDm,IFN,84.33 
[80329] SET_SELL_TRIGGER,WUsol6wtDm,IFN,36.01 
[80416] ADD,WUsol6wtDm,79709.98 
[80444] SET_SELL_TRIGGER,WUsol6wtDm,SDL,100.51 
[80517] ADD,WUsol6wtDm,31404.08 
[80660] BUY,WUsol6wtDm,OYW,730.19 
[80700] CANCEL_SET_SELL,WUsol6wtDm,PMG 
[80882] SELL,WUsol6wtDm,XLK,198.41 
[80961] COMMIT_SELL,WUsol6wtDm 
[81063] ADD,WUsol6wtDm,78787.53 
[81148] BUY,WUsol6wtDm,CAX,227.50 
[81370] COMMIT_BUY,WUsol6wtDm 
[81653] ADD,WUsol6wtDm,71266.80 
[81764] QUOTE,WUsol6wtDm,GZU 
[81843] BUY,WUsol6wtDm,UFX,629.73 
[82066] COMMIT_BUY,WUsol6wtDm 
[82196] SELL,WUsol6wtDm,CBO,545.86 
[82219] COMMIT_SELL,WUsol6wtDm 
[82229] SET_BUY_AMOUNT,WUsol6wtDm,QAX,706.62 
[82234] SET_BUY_TRIGGER,WUsol6wtDm,MVQ,558.78 
[82289] DISPLAY_SUMMARY,WUsol6wtDm 
[82436] DISPLAY_SUMMARY,WUsol6wtDm 
[82464] SET_BUY_TRIGGER,WUsol6wtDm,VVV,60.13 
[82477] ADD,WUsol6wtDm,57282.23 
[82687] QUOTE,WUsol6wtDm,VYQ 
[82721] DISPLAY_SUMMARY,WUsol6wtDm 
[82763] QUOTE,WUsol6wtDm,SKY 
[82875] SET_BUY_TRIGGER,WUsol6wtDm,VVW,61.07 
[82913] SELL,WUsol6wtDm,RNK,152.70 
[83049] SET_BUY_AMOUNT,WUsol6wtDm,SZI,661.36 
[83135] SET_BUY_TRIGGER,WUsol6wtDm,NBX,520.36 
[83211] SET_BUY_AMOUNT,WUsol6wtDm,KDA,154.51 
[83238] SET_BUY_TRIGGER,WUsol6wtDm,EVR,117.33 
[83268] DISPLAY_SUMMARY,WUsol6wtDm 
[83698] SELL,WUsol6wtDm,FQP,53.54 
[83855] COMMIT_SELL,WUsol6wtDm 
[83898] ADD,WUsol6wtDm,56549.13 
[83916] QUOTE,WUsol6wtDm,AOC 
[83957] QUOTE,WUsol6wtDm,STO 
[83972] QUOTE,WUsol6wtDm,FZU 
[84005] SET_BUY_TRIGGER,WUsol6wtDm,IHA,8.97 
[84059] SELL,WUsol6wtDm,XLK,663.16 
[84091] COMMIT_BUY,WUsol6wtDm 
[84140] ADD,WUsol6wtDm,77612.70 
[84193] QUOTE,WUsol6wtDm,VMK 
[84248] SET_BUY_TRIGGER,WUsol6wtDm,ECL,152.92 
[84254] SET_SELL_TRIGGER,WUsol6wtDm,OQZ,130.13 
[84342] DISPLAY_SUMMARY,WUsol6wtDm 
[84368] DISPLAY_SUMMARY,WUsol6wtDm 
[84575] SET_BUY_TRIGGER,WUsol6wtDm,AUX,38.95 
[84597] SET_BUY_TRIGGER,WUsol6wtDm,MFX,164.47 
[84598] ADD,WUsol6wtDm,105866.36 
[84768] QUOTE,WUsol6wtDm,FLY 
[84824] BUY,WUsol6wtDm,YVS,18.53 
[84928] CANCEL_BUY,WUsol6wtDm 
[85008] SET_SELL_AMOUNT,WUsol6wtDm,IFN,48.39 
[85058] SET_SELL_TRIGGER,WUsol6wtDm,IFN,21.81 
[85170] BUY,WUsol6wtDm,YIU,441.19 
[85628] COMMIT_BUY,WUsol6wtDm 
[85643] SELL,WUsol6wtDm,LFU,721.92 
[85734] COMMIT_SELL,WUsol6wtDm 
[85903] SET_SELL_AMOUNT,WUsol6wtDm,KBN,218.21 
[86002] SET_SELL_TRIGGER,WUsol6wtDm,KBN,41.45 
[86136] ADD,WUsol6wtDm,72274.15 
[86319] BUY,WUsol6wtDm,CDF,473.64 
[86525] QUOTE,WUsol6wtDm,UHO 
[86633] BUY,WUsol6wtDm,LAM,670.09 
[86929] CANCEL_SELL,WUsol6wtDm 
[86973] ADD,WUsol6wtDm,69634.81 
[87025] BUY,WUsol6wtDm,NNW,550.16 
[87026] COMMIT_BUY,WUsol6wtDm 
[87190] QUOTE,WUsol6wtDm,GUB 
[87390] BUY,WUsol6wtDm,OYS,69.37 
[87501] SET_BUY_AMOUNT,WUsol6wtDm,GRM,187.48 
[87528] DISPLAY_SUMMARY,WUsol6wtDm 
[87555] DISPLAY_SUMMARY,WUsol6wtDm 
[87606] SET_BUY_AMOUNT,WUsol6wtDm,SUS,305.07 
[87609] SET_BUY_TRIGGER,WUsol6wtDm,EIH,265.09 
[87616] SET_SELL_TRIGGER,WUsol6wtDm,PYB,158.55 
[87634] QUOTE,WUsol6wtDm,YZC 
[87726] QUOTE,WUsol6wtDm,WDC 
[87771] BUY,WUsol6wtDm,WBX,268.07 
[87772] COMMIT_BUY,WUsol6wtDm 
[87859] BUY,WUsol6wtDm,XBL,399.42 
[87990] COMMIT_BUY,WUsol6wtDm 
[88010] DISPLAY_SUMMARY,WUsol6wtDm 
[88013] ADD,WUsol6wtDm,52141.89 
[88423] QUOTE,WUsol6wtDm,DES 
[88559] COMMIT_SELL,WUsol6wtDm 
[88627] SET_SELL_AMOUNT,WUsol6wtDm,XQC,417.90 
[88683] SET_SELL_TRIGGER,WUsol6wtDm,XQC,268.15 
[88728] SET_SELL_TRIGGER,WUsol6wtDm,FXT,125.83 
[88973] QUOTE,WUsol6wtDm,TCP 
[88998] SELL,WUsol6wtDm,TVI,118.32 
[89086] COMMIT_SELL,WUsol6wtDm 
[89098] SET_SELL_TRIGGER,WUsol6wtDm,OGB,172.34 
[89153] DISPLAY_SUMMARY,WUsol6wtDm 
[89156] ADD,WUsol6wtDm,53726.36 
[89232] QUOTE,WUsol6wtDm,JCQ 
[89278] QUOTE,WUsol6wtDm,SKC 
[89382] QUOTE,WUsol6wtDm,BEG 
[89510] ADD,WUsol6wtDm,74213.77 
[89538] BUY,WUsol6wtDm,ZWC,160.16 
[89631] CANCEL_SELL,WUsol6wtDm 
[89762] SET_SELL_TRIGGER,WUsol6wtDm,WCR,76.66 
[89806] SET_SELL_AMOUNT,WUsol6wtDm,AJR,290.74 
[89833] SET_SELL_TRIGGER,WUsol6wtDm,AJR,6.18 
[89851] ADD,WUsol6wtDm,49171.04 
[90017] QUOTE,WUsol6wtDm,ALV 
[90177] CANCEL_SELL,WUsol6wtDm 
[90193] BUY,WUsol6wtDm,CLQ,263.12 
[90287] COMMIT_BUY,WUsol6wtDm 
[90475] ADD,WUsol6wtDm,72081.28 
[90486] QUOTE,WUsol6wtDm,LBC 
[90643] QUOTE,WUsol6wtDm,NFQ 
[90716] BUY,WUsol6wtDm,FWW,420.10 
[91110] COMMIT_BUY,WUsol6wtDm 
[91120] CANCEL_SELL,WUsol6wtDm 
[91121] ADD,WUsol6wtDm,62463.15 
[91404] QUOTE,WUsol6wtDm,GLJ 
[91480] ADD,WUsol6wtDm,58651.19 
[91599] QUOTE,WUsol6wtDm,EVR 
[91715] SET_BUY_TRIGGER,WUsol6wtDm,MFX,61.41 
[91817] ADD,WUsol6wtDm,73717.37 
[91833] QUOTE,WUsol6wtDm,GJR 
[91912] DISPLAY_SUMMARY,WUsol6wtDm 
[92065] BUY,WUsol6wtDm,NFO,397.44 
[92244] SET_BUY_AMOUNT,WUsol6wtDm,YJK,494.37 
[92536] SET_BUY_TRIGGER,WUsol6wtDm,URY,81.75 
[92572] BUY,WUsol6wtDm,NBX,626.74 
[92792] COMMIT_BUY,WUsol6wtDm 
[92817] SET_BUY_AMOUNT,WUsol6wtDm,VDP,660.38 
[92994] SET_BUY_TRIGGER,WUsol6wtDm,KBP,600.38 
[93208] SET_SELL_AMOUNT,WUsol6wtDm,DFE,556.71 
[93265] SET_SELL_TRIGGER,WUsol6wtDm,DFE,496.56 
[93315] SET_BUY_AMOUNT,WUsol6wtDm,GRM,709.02 
[93355] SET_BUY_TRIGGER,WUsol6wtDm,FSD,176.25 
[93365] QUOTE,WUsol6wtDm,GUB 
[93410] SET_SELL_AMOUNT,WUsol6wtDm,GRM,588.78 
[93430] SET_SELL_TRIGGER,WUsol6wtDm,GRM,361.38 
[93628] SELL,WUsol6wtDm,XQC,249.79 
[93763] COMMIT_SELL,WUsol6wtDm 
[93806] CANCEL_SELL,WUsol6wtDm 
[93951] BUY,WUsol6wtDm,WXV,510.23 
[93995] CANCEL_SET_BUY,WUsol6wtDm,WYO 
[94027] SET_BUY_AMOUNT,WUsol6wtDm,IQJ,348.70 
[94041] SELL,WUsol6wtDm,MFX,309.42 
[94070] CANCEL_BUY,WUsol6wtDm 
[94296] SET_BUY_TRIGGER,WUsol6wtDm,ZWZ,32.13 
[94473] SET_BUY_AMOUNT,WUsol6wtDm,XQC,75.80 
[94667] SET_BUY_TRIGGER,WUsol6wtDm,RFC,47.61 
[94762] DISPLAY_SUMMARY,WUsol6wtDm 
[95055] QUOTE,WUsol6wtDm,FSD 
[95075] BUY,WUsol6wtDm,MOM,18.62 
[95116] CANCEL_SET_SELL,WUsol6wtDm,BDX 
[95187] ADD,WUsol6wtDm,87541.31 
[95275] SET_SELL_TRIGGER,WUsol6wtDm,LUD,111.52 
[95375] ADD,WUsol6wtDm,75513.28 
[95446] QUOTE,WUsol6wtDm,YNH 
[95553] BUY,WUsol6wtDm,BPP,547.16 
[95624] BUY,WUsol6wtDm,ILT,600.27 
[95697] SET_BUY_AMOUNT,WUsol6wtDm,OPN,259.74 
[95730] SET_BUY_TRIGGER,WUsol6wtDm,GWS,122.99 
