[35] ADD,aMMzTGXVGg,43383.22 
[44793] SET_BUY_TRIGGER,aMMzTGXVGg,TOZ,54.69 
[44826] SET_BUY_TRIGGER,aMMzTGXVGg,UHO,90.82 
[44855] ADD,aMMzTGXVGg,93555.65 
[44887] QUOTE,aMMzTGXVGg,RDK 
[44896] CANCEL_BUY,aMMzTGXVGg 
[44907] SELL,aMMzTGXVGg,GYF,22.91 
[45521] COMMIT_SELL,aMMzTGXVGg 
[45523] SELL,aMMzTGXVGg,JCQ,386.17 
[45614] COMMIT_SELL,aMMzTGXVGg 
[45793] SET_BUY_AMOUNT,aMMzTGXVGg,JQO,325.90 
[45878] SET_BUY_TRIGGER,aMMzTGXVGg,MIU,153.05 
[45957] BUY,aMMzTGXVGg,XBE,649.90 
[46008] COMMIT_BUY,aMMzTGXVGg 
[46053] SELL,aMMzTGXVGg,LFU,211.00 
[46206] COMMIT_SELL,aMMzTGXVGg 
[46739] ADD,aMMzTGXVGg,81051.76 
[46741] QUOTE,aMMzTGXVGg,SSF 
[46754] QUOTE,aMMzTGXVGg,UTL 
[47019] BUY,aMMzTGXVGg,FYR,261.50 
[47257] CANCEL_SET_BUY,aMMzTGXVGg,WLT 
[47384] SET_BUY_AMOUNT,aMMzTGXVGg,OPN,514.85 
[47423] SET_BUY_TRIGGER,aMMzTGXVGg,WLT,482.43 
[47515] SELL,aMMzTGXVGg,OEY,67.51 
[47588] DISPLAY_SUMMARY,aMMzTGXVGg 
[47600] SET_SELL_AMOUNT,aMMzTGXVGg,XXQ,724.95 
[47623] SET_SELL_TRIGGER,aMMzTGXVGg,XXQ,82.08 
[47959] SET_BUY_TRIGGER,aMMzTGXVGg,VXY,194.82 
[48143] ADD,aMMzTGXVGg,70554.17 
[48259] BUY,aMMzTGXVGg,SCK,262.49 
[48260] CANCEL_SET_SELL,aMMzTGXVGg,ZYR 
[48279] DISPLAY_SUMMARY,aMMzTGXVGg 
[48862] SET_SELL_TRIGGER,aMMzTGXVGg,WSG,99.73 
[48919] ADD,aMMzTGXVGg,81533.47 
[49090] BUY,aMMzTGXVGg,FYR,180.29 
[49093] COMMIT_BUY,aMMzTGXVGg 
[49133] DISPLAY_SUMMARY,aMMzTGXVGg 
[49468] QUOTE,aMMzTGXVGg,SJH 
[49504] BUY,aMMzTGXVGg,DVA,27.38 
[49554] COMMIT_SELL,aMMzTGXVGg 
[49597] SELL,aMMzTGXVGg,OPN,73.86 
[49623] SET_SELL_AMOUNT,aMMzTGXVGg,QJZ,706.13 
[49784] SET_SELL_TRIGGER,aMMzTGXVGg,QJZ,403.69 
[49800] SET_SELL_AMOUNT,aMMzTGXVGg,BYA,168.43 
[49951] SET_SELL_TRIGGER,aMMzTGXVGg,BYA,101.07 
[49979] QUOTE,aMMzTGXVGg,GXT 
[50033] ADD,aMMzTGXVGg,49725.25 
[50049] BUY,aMMzTGXVGg,MHI,701.42 
[50050] COMMIT_BUY,aMMzTGXVGg 
[50108] DISPLAY_SUMMARY,aMMzTGXVGg 
[50140] DISPLAY_SUMMARY,aMMzTGXVGg 
[50348] ADD,aMMzTGXVGg,68216.19 
[50352] QUOTE,aMMzTGXVGg,SON 
[50369] DISPLAY_SUMMARY,aMMzTGXVGg 
[50698] SET_BUY_AMOUNT,aMMzTGXVGg,OEY,692.54 
[50869] SET_BUY_TRIGGER,aMMzTGXVGg,QQI,187.10 
[50879] BUY,aMMzTGXVGg,HZA,461.54 
[50997] COMMIT_BUY,aMMzTGXVGg 
[51010] ADD,aMMzTGXVGg,60034.86 
[51025] BUY,aMMzTGXVGg,IZU,312.39 
[51046] SET_SELL_TRIGGER,aMMzTGXVGg,QQW,161.90 
[51137] ADD,aMMzTGXVGg,75118.98 
[51139] BUY,aMMzTGXVGg,PIE,516.09 
[51311] COMMIT_BUY,aMMzTGXVGg 
[51374] CANCEL_SET_SELL,aMMzTGXVGg,SAN 
[51537] SELL,aMMzTGXVGg,XLK,646.65 
[51627] CANCEL_SET_SELL,aMMzTGXVGg,UGG 
[51671] SET_SELL_AMOUNT,aMMzTGXVGg,BYA,699.99 
[51687] SET_SELL_TRIGGER,aMMzTGXVGg,BYA,5.83 
[51705] SELL,aMMzTGXVGg,PTP,533.69 
[51798] COMMIT_BUY,aMMzTGXVGg 
[51859] CANCEL_SET_SELL,aMMzTGXVGg,TQE 
[52059] SET_BUY_TRIGGER,aMMzTGXVGg,EED,185.52 
[52096] SELL,aMMzTGXVGg,XXQ,25.98 
[52138] COMMIT_SELL,aMMzTGXVGg 
[52141] CANCEL_SET_SELL,aMMzTGXVGg,PHU 
[52635] SET_SELL_TRIGGER,aMMzTGXVGg,LUD,118.98 
[52813] CANCEL_SELL,aMMzTGXVGg 
[53001] ADD,aMMzTGXVGg,78572.10 
[53143] DISPLAY_SUMMARY,aMMzTGXVGg 
[53244] DISPLAY_SUMMARY,aMMzTGXVGg 
[53281] SET_SELL_TRIGGER,aMMzTGXVGg,AVH,185.29 
[53676] DISPLAY_SUMMARY,aMMzTGXVGg 
[54130] SET_BUY_AMOUNT,aMMzTGXVGg,NHG,9.45 
[54214] SET_BUY_TRIGGER,aMMzTGXVGg,OPN,2.75 
[54473] ADD,aMMzTGXVGg,75900.67 
[54716] QUOTE,aMMzTGXVGg,KYT 
[54898] CANCEL_SELL,aMMzTGXVGg 
[54917] QUOTE,aMMzTGXVGg,MFY 
[55015] SET_BUY_AMOUNT,aMMzTGXVGg,PTP,512.79 
[55094] CANCEL_SET_BUY,aMMzTGXVGg,MJU 
[55151] SET_SELL_AMOUNT,aMMzTGXVGg,QAX,545.17 
[55258] CANCEL_SET_SELL,aMMzTGXVGg,QAX 
[55276] SELL,aMMzTGXVGg,NHG,211.01 
[55380] COMMIT_SELL,aMMzTGXVGg 
[55399] DISPLAY_SUMMARY,aMMzTGXVGg 
[55513] ADD,aMMzTGXVGg,76726.25 
[55677] QUOTE,aMMzTGXVGg,MHQ 
[55691] QUOTE,aMMzTGXVGg,GWS 
[55715] SET_BUY_AMOUNT,aMMzTGXVGg,XXQ,369.10 
[56048] SET_BUY_TRIGGER,aMMzTGXVGg,FCH,26.85 
[56118] SET_BUY_AMOUNT,aMMzTGXVGg,KDA,238.27 
[56374] SET_BUY_TRIGGER,aMMzTGXVGg,RWY,116.23 
[56519] SET_SELL_TRIGGER,aMMzTGXVGg,JGO,111.27 
[56534] ADD,aMMzTGXVGg,76231.57 
[56669] QUOTE,aMMzTGXVGg,SYN 
[56686] BUY,aMMzTGXVGg,LJM,748.57 
[56788] SELL,aMMzTGXVGg,ZAN,149.35 
[57014] COMMIT_SELL,aMMzTGXVGg 
[57115] SET_BUY_AMOUNT,aMMzTGXVGg,UTV,400.17 
[57261] SET_BUY_TRIGGER,aMMzTGXVGg,KQZ,108.08 
[57423] SET_SELL_AMOUNT,aMMzTGXVGg,PTP,547.29 
[57439] SET_SELL_TRIGGER,aMMzTGXVGg,PTP,243.33 
[57484] SET_BUY_TRIGGER,aMMzTGXVGg,CVK,134.01 
[57513] DISPLAY_SUMMARY,aMMzTGXVGg 
[57581] SET_SELL_AMOUNT,aMMzTGXVGg,DFE,123.45 
[57608] SET_SELL_TRIGGER,aMMzTGXVGg,DFE,29.02 
[57619] SET_SELL_AMOUNT,aMMzTGXVGg,RUN,166.50 
[57638] SET_SELL_TRIGGER,aMMzTGXVGg,RUN,156.28 
[57640] SET_SELL_AMOUNT,aMMzTGXVGg,JCQ,547.01 
[57643] SET_SELL_TRIGGER,aMMzTGXVGg,JCQ,53.31 
[57928] ADD,aMMzTGXVGg,81359.88 
[58124] QUOTE,aMMzTGXVGg,QLM 
[58131] BUY,aMMzTGXVGg,GPL,671.06 
[58236] COMMIT_BUY,aMMzTGXVGg 
[58389] ADD,aMMzTGXVGg,103972.19 
[58454] SET_SELL_TRIGGER,aMMzTGXVGg,KBI,135.24 
[58464] DISPLAY_SUMMARY,aMMzTGXVGg 
[58614] QUOTE,aMMzTGXVGg,OYS 
[58759] SET_SELL_TRIGGER,aMMzTGXVGg,DMS,70.09 
[58820] DISPLAY_SUMMARY,aMMzTGXVGg 
[59023] QUOTE,aMMzTGXVGg,ZEG 
[59205] BUY,aMMzTGXVGg,MOF,724.51 
[59223] COMMIT_BUY,aMMzTGXVGg 
[59268] SET_SELL_AMOUNT,aMMzTGXVGg,SUS,185.95 
[59299] SET_SELL_TRIGGER,aMMzTGXVGg,SUS,159.29 
[59509] SET_BUY_TRIGGER,aMMzTGXVGg,TSS,18.49 
[59562] ADD,aMMzTGXVGg,62523.81 
[59695] QUOTE,aMMzTGXVGg,ZAV 
[59696] QUOTE,aMMzTGXVGg,TYV 
[59800] QUOTE,aMMzTGXVGg,CLH 
[59834] DISPLAY_SUMMARY,aMMzTGXVGg 
[59899] SET_SELL_TRIGGER,aMMzTGXVGg,RVU,99.90 
[59987] ADD,aMMzTGXVGg,53761.33 
[60014] QUOTE,aMMzTGXVGg,NOP 
[60184] QUOTE,aMMzTGXVGg,HFI 
[60479] ADD,aMMzTGXVGg,69781.02 
[60488] BUY,aMMzTGXVGg,ALM,591.75 
[60579] COMMIT_BUY,aMMzTGXVGg 
[60604] SELL,aMMzTGXVGg,EBS,126.36 
[60674] ADD,aMMzTGXVGg,72860.66 
[60698] COMMIT_SELL,aMMzTGXVGg 
[60963] COMMIT_BUY,aMMzTGXVGg 
[61014] CANCEL_SET_SELL,aMMzTGXVGg,UMN 
[61024] ADD,aMMzTGXVGg,68638.77 
[61141] BUY,aMMzTGXVGg,HTD,163.33 
[61210] COMMIT_BUY,aMMzTGXVGg 
[61214] SET_SELL_TRIGGER,aMMzTGXVGg,EDM,138.22 
[61277] BUY,aMMzTGXVGg,SCW,374.33 
[61324] COMMIT_BUY,aMMzTGXVGg 
[61363] ADD,aMMzTGXVGg,72625.70 
[61537] QUOTE,aMMzTGXVGg,WQC 
[61551] SET_SELL_TRIGGER,aMMzTGXVGg,BBD,86.01 
[61670] ADD,aMMzTGXVGg,50921.45 
[61732] BUY,aMMzTGXVGg,QGL,28.95 
[61769] COMMIT_BUY,aMMzTGXVGg 
[61914] BUY,aMMzTGXVGg,TVX,155.63 
[61953] CANCEL_SELL,aMMzTGXVGg 
[61995] QUOTE,aMMzTGXVGg,BDX 
[62081] SET_BUY_AMOUNT,aMMzTGXVGg,PTP,269.94 
[62119] BUY,aMMzTGXVGg,XBL,232.74 
[62193] COMMIT_BUY,aMMzTGXVGg 
[62199] ADD,aMMzTGXVGg,90910.10 
[62253] QUOTE,aMMzTGXVGg,ZQW 
[62302] BUY,aMMzTGXVGg,XDN,466.86 
[62460] COMMIT_BUY,aMMzTGXVGg 
[62506] SET_BUY_AMOUNT,aMMzTGXVGg,XXQ,178.89 
[62549] SET_BUY_TRIGGER,aMMzTGXVGg,WNH,5.32 
[62660] DISPLAY_SUMMARY,aMMzTGXVGg 
[62675] SET_SELL_TRIGGER,aMMzTGXVGg,UGT,146.34 
[62691] DISPLAY_SUMMARY,aMMzTGXVGg 
[62717] QUOTE,aMMzTGXVGg,ATE 
[62743] QUOTE,aMMzTGXVGg,HZA 
[62754] SET_BUY_TRIGGER,aMMzTGXVGg,LZB,42.79 
[62870] ADD,aMMzTGXVGg,65663.64 
[62970] QUOTE,aMMzTGXVGg,AZN 
[63068] BUY,aMMzTGXVGg,OSA,496.37 
[63335] COMMIT_BUY,aMMzTGXVGg 
[63446] ADD,aMMzTGXVGg,76450.01 
[63511] QUOTE,aMMzTGXVGg,SPP 
[63664] BUY,aMMzTGXVGg,XBE,433.59 
[63750] COMMIT_BUY,aMMzTGXVGg 
[63782] COMMIT_BUY,aMMzTGXVGg 
[63961] SELL,aMMzTGXVGg,GYF,736.00 
[64419] COMMIT_SELL,aMMzTGXVGg 
[64447] QUOTE,aMMzTGXVGg,ZWB 
[64719] QUOTE,aMMzTGXVGg,EEG 
[64832] BUY,aMMzTGXVGg,EGB,109.62 
[64870] CANCEL_SELL,aMMzTGXVGg 
[65237] BUY,aMMzTGXVGg,GGI,98.37 
[65544] CANCEL_BUY,aMMzTGXVGg 
[65610] QUOTE,aMMzTGXVGg,BHP 
[65702] SET_SELL_AMOUNT,aMMzTGXVGg,RGH,616.91 
[65894] CANCEL_SET_SELL,aMMzTGXVGg,RGH 
[66117] BUY,aMMzTGXVGg,QJC,156.40 
[66132] BUY,aMMzTGXVGg,IQZ,462.98 
[66247] COMMIT_BUY,aMMzTGXVGg 
[66290] SET_SELL_TRIGGER,aMMzTGXVGg,GPM,26.35 
[66481] ADD,aMMzTGXVGg,64248.53 
[66484] SET_SELL_AMOUNT,aMMzTGXVGg,VTY,412.24 
[66567] SET_SELL_TRIGGER,aMMzTGXVGg,VTY,315.95 
[66621] BUY,aMMzTGXVGg,KLE,5.57 
[66796] QUOTE,aMMzTGXVGg,LSW 
[66854] COMMIT_BUY,aMMzTGXVGg 
[66865] ADD,aMMzTGXVGg,67073.88 
[66873] BUY,aMMzTGXVGg,MMY,676.13 
[66892] CANCEL_SELL,aMMzTGXVGg 
[66907] BUY,aMMzTGXVGg,TTY,564.92 
[67176] COMMIT_BUY,aMMzTGXVGg 
[67333] SET_BUY_AMOUNT,aMMzTGXVGg,JZJ,337.60 
[67457] SET_BUY_TRIGGER,aMMzTGXVGg,JMG,314.28 
[67567] SET_BUY_TRIGGER,aMMzTGXVGg,AVX,84.04 
[67767] DISPLAY_SUMMARY,aMMzTGXVGg 
[67834] BUY,aMMzTGXVGg,WZM,456.14 
[67938] CANCEL_BUY,aMMzTGXVGg 
[68175] BUY,aMMzTGXVGg,ZPD,372.22 
[68207] DISPLAY_SUMMARY,aMMzTGXVGg 
[68258] BUY,aMMzTGXVGg,HHG,269.99 
[68302] COMMIT_SELL,aMMzTGXVGg 
[68385] SET_SELL_AMOUNT,aMMzTGXVGg,NHG,658.18 
[68752] SET_SELL_TRIGGER,aMMzTGXVGg,NHG,38.01 
[68802] SET_BUY_AMOUNT,aMMzTGXVGg,QAX,309.55 
[68843] SET_BUY_TRIGGER,aMMzTGXVGg,EVR,243.59 
[68973] CANCEL_SELL,aMMzTGXVGg 
[69025] ADD,aMMzTGXVGg,56487.56 
[69086] QUOTE,aMMzTGXVGg,MVI 
[69133] BUY,aMMzTGXVGg,PVH,100.02 
[69273] COMMIT_BUY,aMMzTGXVGg 
[69482] SELL,aMMzTGXVGg,FDI,565.34 
[69612] COMMIT_SELL,aMMzTGXVGg 
[69740] ADD,aMMzTGXVGg,75723.79 
[69744] QUOTE,aMMzTGXVGg,KGV 
[69980] SET_BUY_AMOUNT,aMMzTGXVGg,JRJ,728.85 
[70319] SET_BUY_TRIGGER,aMMzTGXVGg,FDI,81.33 
[70353] ADD,aMMzTGXVGg,67167.05 
[70461] BUY,aMMzTGXVGg,EGB,77.03 
[70543] COMMIT_BUY,aMMzTGXVGg 
[70578] SET_BUY_AMOUNT,aMMzTGXVGg,MFX,231.38 
[70944] CANCEL_SET_BUY,aMMzTGXVGg,FDI 
[70970] ADD,aMMzTGXVGg,51748.60 
[71239] QUOTE,aMMzTGXVGg,EED 
[71299] CANCEL_BUY,aMMzTGXVGg 
[71447] SET_BUY_TRIGGER,aMMzTGXVGg,KRX,118.89 
[71712] SELL,aMMzTGXVGg,RGH,446.53 
[71873] COMMIT_SELL,aMMzTGXVGg 
[71880] ADD,aMMzTGXVGg,71665.85 
[72342] BUY,aMMzTGXVGg,PFN,670.22 
[72378] COMMIT_BUY,aMMzTGXVGg 
[72487] ADD,aMMzTGXVGg,80548.10 
[72505] QUOTE,aMMzTGXVGg,CGW 
[72547] BUY,aMMzTGXVGg,ZLY,742.36 
[72558] SET_SELL_AMOUNT,aMMzTGXVGg,XLK,646.41 
[72592] SELL,aMMzTGXVGg,UIE,34.28 
[72785] COMMIT_SELL,aMMzTGXVGg 
[72894] DISPLAY_SUMMARY,aMMzTGXVGg 
[73109] BUY,aMMzTGXVGg,WTD,122.26 
[73379] COMMIT_SELL,aMMzTGXVGg 
[73443] BUY,aMMzTGXVGg,GZQ,430.19 
[73518] CANCEL_BUY,aMMzTGXVGg 
[73540] SET_BUY_TRIGGER,aMMzTGXVGg,VMD,103.83 
[73596] ADD,aMMzTGXVGg,83080.12 
[73886] BUY,aMMzTGXVGg,ZJG,236.02 
[74000] COMMIT_BUY,aMMzTGXVGg 
[74126] SET_BUY_TRIGGER,aMMzTGXVGg,PST,140.70 
[74160] ADD,aMMzTGXVGg,94106.65 
[74295] COMMIT_SELL,aMMzTGXVGg 
[74426] SELL,aMMzTGXVGg,QGE,530.82 
[74533] COMMIT_SELL,aMMzTGXVGg 
[74631] BUY,aMMzTGXVGg,OZT,223.96 
[74634] CANCEL_SET_SELL,aMMzTGXVGg,XLK 
[74845] SET_BUY_TRIGGER,aMMzTGXVGg,MIQ,96.89 
[74986] DISPLAY_SUMMARY,aMMzTGXVGg 
[75053] DISPLAY_SUMMARY,aMMzTGXVGg 
[75061] ADD,aMMzTGXVGg,56797.92 
[75109] QUOTE,aMMzTGXVGg,BMW 
[75162] BUY,aMMzTGXVGg,TFZ,624.75 
[75167] COMMIT_BUY,aMMzTGXVGg 
[75185] DISPLAY_SUMMARY,aMMzTGXVGg 
[75280] SELL,aMMzTGXVGg,AVX,309.75 
[75284] COMMIT_SELL,aMMzTGXVGg 
[75378] ADD,aMMzTGXVGg,52996.81 
[75383] BUY,aMMzTGXVGg,GPL,446.82 
[75533] COMMIT_BUY,aMMzTGXVGg 
[75592] SET_SELL_TRIGGER,aMMzTGXVGg,DQW,184.56 
[75676] SET_BUY_TRIGGER,aMMzTGXVGg,OTI,63.25 
[75706] BUY,aMMzTGXVGg,PFK,159.27 
[75828] CANCEL_BUY,aMMzTGXVGg 
[75924] QUOTE,aMMzTGXVGg,KDG 
[75975] SET_BUY_TRIGGER,aMMzTGXVGg,OEY,1.54 
[76021] SET_BUY_AMOUNT,aMMzTGXVGg,UIE,639.73 
[76206] SET_BUY_TRIGGER,aMMzTGXVGg,CLQ,470.80 
[76496] BUY,aMMzTGXVGg,ZGN,534.76 
[76501] CANCEL_SET_BUY,aMMzTGXVGg,ZQC 
[76841] ADD,aMMzTGXVGg,50515.84 
[76976] BUY,aMMzTGXVGg,ZNY,477.91 
[77155] COMMIT_BUY,aMMzTGXVGg 
[77536] ADD,aMMzTGXVGg,74267.28 
[77558] BUY,aMMzTGXVGg,EVR,170.57 
[77561] COMMIT_BUY,aMMzTGXVGg 
[77689] ADD,aMMzTGXVGg,65712.45 
[77758] QUOTE,aMMzTGXVGg,VOU 
[77802] BUY,aMMzTGXVGg,VVW,336.33 
[77818] CANCEL_SET_SELL,aMMzTGXVGg,LBC 
[78145] ADD,aMMzTGXVGg,79747.69 
[78289] QUOTE,aMMzTGXVGg,CBV 
[78310] BUY,aMMzTGXVGg,YQC,658.26 
[78414] COMMIT_BUY,aMMzTGXVGg 
[78979] SET_BUY_AMOUNT,aMMzTGXVGg,KDA,427.04 
[78994] SET_BUY_TRIGGER,aMMzTGXVGg,XYV,184.39 
[79389] ADD,aMMzTGXVGg,83982.58 
[79435] BUY,aMMzTGXVGg,ULL,677.71 
[79590] SET_SELL_AMOUNT,aMMzTGXVGg,UIE,335.78 
[79618] SET_SELL_TRIGGER,aMMzTGXVGg,UIE,211.19 
[79786] ADD,aMMzTGXVGg,82540.02 
[79974] QUOTE,aMMzTGXVGg,HTN 
[80000] ADD,aMMzTGXVGg,60187.77 
[80350] QUOTE,aMMzTGXVGg,MQH 
[80403] CANCEL_SET_SELL,aMMzTGXVGg,YWK 
[80467] SET_SELL_TRIGGER,aMMzTGXVGg,HVE,127.14 
[80520] SELL,aMMzTGXVGg,VTY,474.07 
[80572] COMMIT_SELL,aMMzTGXVGg 
[80587] SET_BUY_AMOUNT,aMMzTGXVGg,FQP,430.08 
[80668] SET_BUY_TRIGGER,aMMzTGXVGg,OYW,355.50 
[80734] ADD,aMMzTGXVGg,88376.57 
[80796] BUY,aMMzTGXVGg,MIY,377.90 
[80861] SET_BUY_TRIGGER,aMMzTGXVGg,FXT,14.87 
[80873] SET_SELL_TRIGGER,aMMzTGXVGg,ZGC,32.86 
[80883] DISPLAY_SUMMARY,aMMzTGXVGg 
[81164] ADD,aMMzTGXVGg,42152.90 
[81169] SET_BUY_TRIGGER,aMMzTGXVGg,LFU,59.85 
[81353] SET_BUY_TRIGGER,aMMzTGXVGg,PTP,96.58 
[81379] SELL,aMMzTGXVGg,ZTI,489.44 
[81439] COMMIT_SELL,aMMzTGXVGg 
[81456] ADD,aMMzTGXVGg,59379.37 
[81482] QUOTE,aMMzTGXVGg,SYU 
[81506] SET_BUY_TRIGGER,aMMzTGXVGg,CBY,156.13 
[81802] SET_BUY_TRIGGER,aMMzTGXVGg,XBL,186.29 
[81817] SELL,aMMzTGXVGg,LFU,676.63 
[81841] COMMIT_BUY,aMMzTGXVGg 
[81911] DISPLAY_SUMMARY,aMMzTGXVGg 
[81922] BUY,aMMzTGXVGg,WCY,28.21 
[81945] COMMIT_BUY,aMMzTGXVGg 
[82048] BUY,aMMzTGXVGg,JSM,222.41 
[82160] QUOTE,aMMzTGXVGg,OEY 
[82180] QUOTE,aMMzTGXVGg,RKY 
[82210] QUOTE,aMMzTGXVGg,HIN 
[82327] SET_SELL_AMOUNT,aMMzTGXVGg,SQI,232.12 
[82485] SET_SELL_TRIGGER,aMMzTGXVGg,SQI,42.28 
[82639] ADD,aMMzTGXVGg,44548.78 
[82648] BUY,aMMzTGXVGg,VKP,337.53 
[82861] COMMIT_BUY,aMMzTGXVGg 
[82992] ADD,aMMzTGXVGg,70877.99 
[83060] BUY,aMMzTGXVGg,YBB,530.25 
[83561] COMMIT_BUY,aMMzTGXVGg 
[83712] SELL,aMMzTGXVGg,FDI,638.65 
[83766] COMMIT_SELL,aMMzTGXVGg 
[83818] BUY,aMMzTGXVGg,ZJG,677.77 
[84323] COMMIT_BUY,aMMzTGXVGg 
[84498] ADD,aMMzTGXVGg,91812.13 
[84606] BUY,aMMzTGXVGg,HIN,256.86 
[84617] COMMIT_BUY,aMMzTGXVGg 
[84787] ADD,aMMzTGXVGg,92084.45 
[84823] BUY,aMMzTGXVGg,TZJ,8.01 
[84830] COMMIT_BUY,aMMzTGXVGg 
[84846] ADD,aMMzTGXVGg,68353.23 
[85009] QUOTE,aMMzTGXVGg,OEY 
[85169] QUOTE,aMMzTGXVGg,SSL 
[85226] BUY,aMMzTGXVGg,MGK,35.00 
[85349] COMMIT_BUY,aMMzTGXVGg 
[85353] ADD,aMMzTGXVGg,29535.06 
[85614] QUOTE,aMMzTGXVGg,ARP 
[85772] SET_BUY_TRIGGER,aMMzTGXVGg,GTX,47.31 
[85878] SET_SELL_AMOUNT,aMMzTGXVGg,KBN,82.87 
[85963] SET_SELL_TRIGGER,aMMzTGXVGg,KBN,34.93 
[86027] ADD,aMMzTGXVGg,69694.50 
[86100] QUOTE,aMMzTGXVGg,OOR 
[86232] SET_BUY_TRIGGER,aMMzTGXVGg,KJD,127.85 
[86270] DISPLAY_SUMMARY,aMMzTGXVGg 
[86582] SET_SELL_TRIGGER,aMMzTGXVGg,KGV,185.40 
[86670] ADD,aMMzTGXVGg,55711.78 
[86958] BUY,aMMzTGXVGg,KPP,227.04 
[87071] QUOTE,aMMzTGXVGg,TXB 
[87214] BUY,aMMzTGXVGg,PIE,433.26 
[87265] SELL,aMMzTGXVGg,FDI,195.43 
[87344] COMMIT_SELL,aMMzTGXVGg 
[87431] ADD,aMMzTGXVGg,75673.96 
[87465] SET_SELL_AMOUNT,aMMzTGXVGg,KYX,111.23 
[87515] SET_SELL_TRIGGER,aMMzTGXVGg,KYX,100.96 
[87735] SET_BUY_TRIGGER,aMMzTGXVGg,JMX,194.76 
[87788] SELL,aMMzTGXVGg,KYX,10.72 
[87792] COMMIT_SELL,aMMzTGXVGg 
[87863] SET_BUY_TRIGGER,aMMzTGXVGg,HYX,48.49 
[87895] SET_BUY_TRIGGER,aMMzTGXVGg,NGH,89.13 
[87903] ADD,aMMzTGXVGg,82220.99 
[87962] QUOTE,aMMzTGXVGg,WFR 
[88030] ADD,aMMzTGXVGg,78033.75 
[88116] QUOTE,aMMzTGXVGg,YOG 
[88271] BUY,aMMzTGXVGg,SOA,251.46 
[88338] BUY,aMMzTGXVGg,TQX,64.41 
[88372] COMMIT_BUY,aMMzTGXVGg 
[88636] SET_BUY_AMOUNT,aMMzTGXVGg,KBN,443.97 
[88769] SET_BUY_TRIGGER,aMMzTGXVGg,ZJQ,216.75 
[88894] SELL,aMMzTGXVGg,ZTI,327.10 
[89004] COMMIT_SELL,aMMzTGXVGg 
[89048] CANCEL_BUY,aMMzTGXVGg 
[89066] SET_SELL_TRIGGER,aMMzTGXVGg,AHE,76.75 
[89143] BUY,aMMzTGXVGg,CLH,721.30 
[89164] COMMIT_BUY,aMMzTGXVGg 
[89400] ADD,aMMzTGXVGg,56820.78 
[89475] ADD,aMMzTGXVGg,84780.65 
[89607] BUY,aMMzTGXVGg,WKL,719.80 
[89616] COMMIT_BUY,aMMzTGXVGg 
[89630] SET_BUY_AMOUNT,aMMzTGXVGg,RNK,51.45 
[89826] SET_BUY_TRIGGER,aMMzTGXVGg,FQU,50.92 
[89956] DISPLAY_SUMMARY,aMMzTGXVGg 
[89984] DISPLAY_SUMMARY,aMMzTGXVGg 
[90025] ADD,aMMzTGXVGg,76285.34 
[90089] BUY,aMMzTGXVGg,MLU,170.85 
[90145] COMMIT_BUY,aMMzTGXVGg 
[90163] DISPLAY_SUMMARY,aMMzTGXVGg 
[90312] BUY,aMMzTGXVGg,SZI,301.86 
[90363] CANCEL_BUY,aMMzTGXVGg 
[90461] ADD,aMMzTGXVGg,84341.97 
[90468] QUOTE,aMMzTGXVGg,JVT 
[90487] QUOTE,aMMzTGXVGg,LGL 
[90544] QUOTE,aMMzTGXVGg,DXQ 
[90583] QUOTE,aMMzTGXVGg,DMW 
[90670] BUY,aMMzTGXVGg,XAB,555.17 
[90672] QUOTE,aMMzTGXVGg,TFZ 
[90834] SET_BUY_TRIGGER,aMMzTGXVGg,IAV,22.82 
[90939] SET_BUY_AMOUNT,aMMzTGXVGg,RUN,419.73 
[90989] SET_BUY_TRIGGER,aMMzTGXVGg,AHE,294.74 
[91020] DISPLAY_SUMMARY,aMMzTGXVGg 
[91025] DISPLAY_SUMMARY,aMMzTGXVGg 
[91146] BUY,aMMzTGXVGg,BJL,722.07 
[91293] CANCEL_SET_SELL,aMMzTGXVGg,PFN 
[91359] CANCEL_SELL,aMMzTGXVGg 
[91447] SET_BUY_AMOUNT,aMMzTGXVGg,TVI,414.09 
[91465] SET_BUY_TRIGGER,aMMzTGXVGg,RQF,238.91 
[91499] SET_BUY_AMOUNT,aMMzTGXVGg,MXD,469.87 
[91556] SET_BUY_TRIGGER,aMMzTGXVGg,UTV,416.62 
[91621] ADD,aMMzTGXVGg,75452.75 
[91778] QUOTE,aMMzTGXVGg,IQZ 
[91830] SET_BUY_TRIGGER,aMMzTGXVGg,FQG,59.43 
[91853] CANCEL_SELL,aMMzTGXVGg 
[91997] ADD,aMMzTGXVGg,71059.53 
[92053] SET_BUY_TRIGGER,aMMzTGXVGg,AOU,65.11 
[92128] ADD,aMMzTGXVGg,50905.63 
[92402] SELL,aMMzTGXVGg,IQJ,120.66 
[92488] COMMIT_BUY,aMMzTGXVGg 
[92576] SELL,aMMzTGXVGg,JRJ,163.43 
[92610] COMMIT_SELL,aMMzTGXVGg 
[92659] ADD,aMMzTGXVGg,84920.90 
[92692] BUY,aMMzTGXVGg,BEG,123.87 
[92801] COMMIT_BUY,aMMzTGXVGg 
[92964] DISPLAY_SUMMARY,aMMzTGXVGg 
[93007] DISPLAY_SUMMARY,aMMzTGXVGg 
[93039] DISPLAY_SUMMARY,aMMzTGXVGg 
