[4] ADD,KnTBc3qwcr,73952.03 
[41202] COMMIT_BUY,KnTBc3qwcr 
[41257] SELL,KnTBc3qwcr,CSZ,64.78 
[41486] CANCEL_SELL,KnTBc3qwcr 
[41529] BUY,KnTBc3qwcr,SCK,390.96 
[41717] BUY,KnTBc3qwcr,YEH,720.11 
[41730] QUOTE,KnTBc3qwcr,BOS 
[41737] CANCEL_SET_BUY,KnTBc3qwcr,HNW 
[41824] BUY,KnTBc3qwcr,GLO,542.64 
[41875] SET_SELL_AMOUNT,KnTBc3qwcr,CSZ,706.35 
[42010] SET_SELL_TRIGGER,KnTBc3qwcr,CSZ,209.67 
[42181] BUY,KnTBc3qwcr,NUL,18.22 
[42214] COMMIT_BUY,KnTBc3qwcr 
[42273] SELL,KnTBc3qwcr,RGH,158.50 
[42297] COMMIT_SELL,KnTBc3qwcr 
[42301] DISPLAY_SUMMARY,KnTBc3qwcr 
[42404] SET_SELL_TRIGGER,KnTBc3qwcr,UGT,97.66 
[42493] ADD,KnTBc3qwcr,43358.38 
[42595] SET_BUY_TRIGGER,KnTBc3qwcr,FYR,147.28 
[42743] QUOTE,KnTBc3qwcr,XQC 
[42805] BUY,KnTBc3qwcr,HYX,0.91 
[42837] DISPLAY_SUMMARY,KnTBc3qwcr 
[42888] SET_BUY_TRIGGER,KnTBc3qwcr,EDW,166.89 
[42938] ADD,KnTBc3qwcr,63444.63 
[42976] QUOTE,KnTBc3qwcr,GIX 
[43099] QUOTE,KnTBc3qwcr,PUO 
[43335] SET_BUY_TRIGGER,KnTBc3qwcr,MXD,80.11 
[43412] SET_BUY_TRIGGER,KnTBc3qwcr,SOT,148.97 
[43425] SET_SELL_TRIGGER,KnTBc3qwcr,ZGN,36.72 
[43630] SET_BUY_TRIGGER,KnTBc3qwcr,ZZN,123.44 
[43656] SET_SELL_TRIGGER,KnTBc3qwcr,OGR,6.40 
[43740] DISPLAY_SUMMARY,KnTBc3qwcr 
[44011] SET_SELL_TRIGGER,KnTBc3qwcr,BTA,158.66 
[44136] DISPLAY_SUMMARY,KnTBc3qwcr 
[44352] SET_BUY_TRIGGER,KnTBc3qwcr,SYM,171.57 
[44355] DISPLAY_SUMMARY,KnTBc3qwcr 
[44367] QUOTE,KnTBc3qwcr,ZEU 
[44483] BUY,KnTBc3qwcr,GLJ,560.99 
[44494] CANCEL_BUY,KnTBc3qwcr 
[44634] DISPLAY_SUMMARY,KnTBc3qwcr 
[44885] SET_SELL_TRIGGER,KnTBc3qwcr,YKB,23.67 
[45071] ADD,KnTBc3qwcr,87132.39 
[45178] BUY,KnTBc3qwcr,ZGR,231.24 
[45294] COMMIT_BUY,KnTBc3qwcr 
[45336] SET_BUY_TRIGGER,KnTBc3qwcr,GUB,14.44 
[45454] CANCEL_SET_SELL,KnTBc3qwcr,VKB 
[45502] DISPLAY_SUMMARY,KnTBc3qwcr 
[45538] ADD,KnTBc3qwcr,74555.46 
[45606] SELL,KnTBc3qwcr,UBJ,487.14 
[45681] COMMIT_SELL,KnTBc3qwcr 
[45952] DISPLAY_SUMMARY,KnTBc3qwcr 
[45993] DISPLAY_SUMMARY,KnTBc3qwcr 
[46020] SET_BUY_TRIGGER,KnTBc3qwcr,OIY,46.16 
[46045] BUY,KnTBc3qwcr,FGF,749.56 
[46123] COMMIT_BUY,KnTBc3qwcr 
[46243] SET_BUY_AMOUNT,KnTBc3qwcr,JVT,326.25 
[46396] SET_BUY_TRIGGER,KnTBc3qwcr,MZT,32.10 
[46429] SET_BUY_TRIGGER,KnTBc3qwcr,IPJ,194.62 
[46434] BUY,KnTBc3qwcr,OAS,415.46 
[46450] SELL,KnTBc3qwcr,JRJ,676.28 
[46761] ADD,KnTBc3qwcr,49410.12 
[46901] BUY,KnTBc3qwcr,IDN,317.16 
[47157] SET_BUY_TRIGGER,KnTBc3qwcr,FLY,49.14 
[47307] SET_SELL_AMOUNT,KnTBc3qwcr,GYF,674.22 
[47322] SET_SELL_TRIGGER,KnTBc3qwcr,GYF,113.89 
[47400] DISPLAY_SUMMARY,KnTBc3qwcr 
[47404] QUOTE,KnTBc3qwcr,QUT 
[47413] CANCEL_SET_SELL,KnTBc3qwcr,NSN 
[47425] DISPLAY_SUMMARY,KnTBc3qwcr 
[47459] SET_BUY_AMOUNT,KnTBc3qwcr,JZJ,87.65 
[47567] SET_BUY_TRIGGER,KnTBc3qwcr,IPJ,85.76 
[47606] QUOTE,KnTBc3qwcr,FXT 
[47647] BUY,KnTBc3qwcr,IGT,107.40 
[47789] CANCEL_BUY,KnTBc3qwcr 
[48097] SET_SELL_AMOUNT,KnTBc3qwcr,EBS,310.35 
[48114] SET_SELL_TRIGGER,KnTBc3qwcr,EBS,22.61 
[48273] SET_BUY_AMOUNT,KnTBc3qwcr,PTP,725.58 
[48323] SET_BUY_TRIGGER,KnTBc3qwcr,EUM,340.97 
[48341] SELL,KnTBc3qwcr,UBJ,92.32 
[48464] COMMIT_SELL,KnTBc3qwcr 
[48542] ADD,KnTBc3qwcr,68893.48 
[48762] QUOTE,KnTBc3qwcr,IZS 
[48822] CANCEL_SET_BUY,KnTBc3qwcr,SZI 
[49018] SELL,KnTBc3qwcr,FQP,744.06 
[49021] COMMIT_SELL,KnTBc3qwcr 
[49058] DISPLAY_SUMMARY,KnTBc3qwcr 
[49100] BUY,KnTBc3qwcr,PFN,363.50 
[49195] COMMIT_BUY,KnTBc3qwcr 
[49217] ADD,KnTBc3qwcr,68253.11 
[49240] QUOTE,KnTBc3qwcr,JSM 
[49266] BUY,KnTBc3qwcr,RKY,631.87 
[49329] COMMIT_BUY,KnTBc3qwcr 
[49603] SET_SELL_AMOUNT,KnTBc3qwcr,UBJ,459.80 
[49631] SET_SELL_TRIGGER,KnTBc3qwcr,UBJ,181.40 
[49745] SET_SELL_TRIGGER,KnTBc3qwcr,IDX,113.51 
[49776] QUOTE,KnTBc3qwcr,NFL 
[49854] SELL,KnTBc3qwcr,RNK,221.81 
[50032] COMMIT_SELL,KnTBc3qwcr 
[50191] SET_SELL_TRIGGER,KnTBc3qwcr,NLT,8.38 
[50205] SET_SELL_AMOUNT,KnTBc3qwcr,GYF,273.70 
[50249] SET_SELL_TRIGGER,KnTBc3qwcr,GYF,169.76 
[50309] SET_SELL_AMOUNT,KnTBc3qwcr,CSZ,203.48 
[50426] SET_SELL_TRIGGER,KnTBc3qwcr,CSZ,4.27 
[50466] BUY,KnTBc3qwcr,MQX,749.87 
[50515] COMMIT_BUY,KnTBc3qwcr 
[50631] DISPLAY_SUMMARY,KnTBc3qwcr 
[50829] SELL,KnTBc3qwcr,XLK,219.30 
[50837] SET_SELL_TRIGGER,KnTBc3qwcr,CZQ,155.46 
[51043] QUOTE,KnTBc3qwcr,RVU 
[51181] BUY,KnTBc3qwcr,BPP,505.37 
[51249] COMMIT_BUY,KnTBc3qwcr 
[51351] SET_SELL_AMOUNT,KnTBc3qwcr,JCQ,122.80 
[51398] SET_SELL_TRIGGER,KnTBc3qwcr,JCQ,88.75 
[51487] DISPLAY_SUMMARY,KnTBc3qwcr 
[51622] BUY,KnTBc3qwcr,HDR,505.65 
[51886] COMMIT_BUY,KnTBc3qwcr 
[52166] SET_BUY_TRIGGER,KnTBc3qwcr,OLI,29.35 
[52168] SET_BUY_AMOUNT,KnTBc3qwcr,VTY,707.95 
[52283] SET_BUY_TRIGGER,KnTBc3qwcr,MRK,630.51 
[52358] QUOTE,KnTBc3qwcr,FCH 
[52376] DISPLAY_SUMMARY,KnTBc3qwcr 
[52492] ADD,KnTBc3qwcr,75491.36 
[52683] QUOTE,KnTBc3qwcr,XCL 
[52896] BUY,KnTBc3qwcr,XXN,439.88 
[53091] DISPLAY_SUMMARY,KnTBc3qwcr 
[53213] QUOTE,KnTBc3qwcr,SQS 
[53242] BUY,KnTBc3qwcr,XAB,320.42 
[53305] QUOTE,KnTBc3qwcr,EEG 
[53427] BUY,KnTBc3qwcr,LKV,503.19 
[53486] SET_SELL_AMOUNT,KnTBc3qwcr,LFU,99.42 
[53537] DISPLAY_SUMMARY,KnTBc3qwcr 
[53595] DISPLAY_SUMMARY,KnTBc3qwcr 
[53608] QUOTE,KnTBc3qwcr,RRZ 
[53936] QUOTE,KnTBc3qwcr,DES 
[53959] ADD,KnTBc3qwcr,92001.53 
[54025] CANCEL_SELL,KnTBc3qwcr 
[54151] ADD,KnTBc3qwcr,71966.87 
[54168] CANCEL_BUY,KnTBc3qwcr 
[54194] ADD,KnTBc3qwcr,68524.32 
[54358] QUOTE,KnTBc3qwcr,MRH 
[54360] COMMIT_BUY,KnTBc3qwcr 
[54371] DISPLAY_SUMMARY,KnTBc3qwcr 
[54421] SET_SELL_TRIGGER,KnTBc3qwcr,LFU,32.07 
[54910] SET_SELL_TRIGGER,KnTBc3qwcr,JCL,134.27 
[55025] QUOTE,KnTBc3qwcr,URD 
[55170] QUOTE,KnTBc3qwcr,JGO 
[55186] SET_BUY_TRIGGER,KnTBc3qwcr,CIP,42.60 
[55208] SET_SELL_TRIGGER,KnTBc3qwcr,JGG,60.37 
[55239] SELL,KnTBc3qwcr,JVT,609.48 
[55418] COMMIT_SELL,KnTBc3qwcr 
[55441] SELL,KnTBc3qwcr,JZJ,318.54 
[55459] COMMIT_SELL,KnTBc3qwcr 
[55740] DISPLAY_SUMMARY,KnTBc3qwcr 
[55921] SET_BUY_AMOUNT,KnTBc3qwcr,UTV,645.65 
[55942] SET_BUY_TRIGGER,KnTBc3qwcr,DJD,563.57 
[55950] SET_SELL_AMOUNT,KnTBc3qwcr,UIE,177.52 
[56214] SELL,KnTBc3qwcr,KDA,694.14 
[56339] COMMIT_SELL,KnTBc3qwcr 
[56356] SELL,KnTBc3qwcr,LFU,128.61 
[56513] COMMIT_SELL,KnTBc3qwcr 
[56586] SET_SELL_AMOUNT,KnTBc3qwcr,VTY,652.40 
[56622] SET_SELL_TRIGGER,KnTBc3qwcr,VTY,173.67 
[56791] ADD,KnTBc3qwcr,80510.76 
[56845] QUOTE,KnTBc3qwcr,NAW 
[57045] BUY,KnTBc3qwcr,SJG,645.96 
[57428] COMMIT_BUY,KnTBc3qwcr 
[57517] SELL,KnTBc3qwcr,KBN,293.95 
[57529] QUOTE,KnTBc3qwcr,IJO 
[57686] SET_BUY_TRIGGER,KnTBc3qwcr,FVS,50.68 
[57823] DISPLAY_SUMMARY,KnTBc3qwcr 
[58033] BUY,KnTBc3qwcr,ZFV,355.66 
[58109] SET_SELL_TRIGGER,KnTBc3qwcr,MWJ,184.58 
[58301] SELL,KnTBc3qwcr,JRJ,557.19 
[58537] ADD,KnTBc3qwcr,43300.43 
[58556] SET_BUY_TRIGGER,KnTBc3qwcr,DBC,90.42 
[58575] COMMIT_SELL,KnTBc3qwcr 
[58610] SET_BUY_AMOUNT,KnTBc3qwcr,PTP,654.53 
[58763] SET_BUY_TRIGGER,KnTBc3qwcr,MZT,520.41 
[58839] QUOTE,KnTBc3qwcr,PDX 
[58933] ADD,KnTBc3qwcr,48592.55 
[59178] BUY,KnTBc3qwcr,KAR,506.34 
[59242] COMMIT_BUY,KnTBc3qwcr 
[59266] BUY,KnTBc3qwcr,FPV,408.29 
[59389] SELL,KnTBc3qwcr,CSZ,448.79 
[59429] COMMIT_SELL,KnTBc3qwcr 
[59435] QUOTE,KnTBc3qwcr,IZS 
[59451] BUY,KnTBc3qwcr,ULL,226.30 
[59737] CANCEL_BUY,KnTBc3qwcr 
[59890] DISPLAY_SUMMARY,KnTBc3qwcr 
[60028] DISPLAY_SUMMARY,KnTBc3qwcr 
[60053] ADD,KnTBc3qwcr,74726.55 
[60092] QUOTE,KnTBc3qwcr,WSG 
[60186] BUY,KnTBc3qwcr,ONI,169.24 
[60392] COMMIT_BUY,KnTBc3qwcr 
[60449] QUOTE,KnTBc3qwcr,AZN 
[60662] ADD,KnTBc3qwcr,39917.97 
[60670] QUOTE,KnTBc3qwcr,KIP 
[60704] QUOTE,KnTBc3qwcr,GWS 
[60776] SET_BUY_AMOUNT,KnTBc3qwcr,JVT,218.75 
[60925] DISPLAY_SUMMARY,KnTBc3qwcr 
[61037] ADD,KnTBc3qwcr,59104.17 
[61138] QUOTE,KnTBc3qwcr,KHY 
[61162] QUOTE,KnTBc3qwcr,SWD 
[61165] CANCEL_BUY,KnTBc3qwcr 
[61211] BUY,KnTBc3qwcr,CXC,119.81 
[61228] DISPLAY_SUMMARY,KnTBc3qwcr 
[61251] QUOTE,KnTBc3qwcr,LSW 
[61412] BUY,KnTBc3qwcr,YDD,11.69 
[61522] COMMIT_BUY,KnTBc3qwcr 
[61624] SET_SELL_AMOUNT,KnTBc3qwcr,XQC,59.50 
[61625] SET_SELL_TRIGGER,KnTBc3qwcr,XQC,20.44 
[61713] ADD,KnTBc3qwcr,54845.38 
[61760] QUOTE,KnTBc3qwcr,MPP 
[61834] ADD,KnTBc3qwcr,73670.95 
[61893] QUOTE,KnTBc3qwcr,GLJ 
[61927] QUOTE,KnTBc3qwcr,BEG 
[61936] SET_BUY_TRIGGER,KnTBc3qwcr,CBX,6.51 
[62152] BUY,KnTBc3qwcr,XBL,509.19 
[62153] COMMIT_BUY,KnTBc3qwcr 
[62304] SELL,KnTBc3qwcr,ZYR,671.50 
[62482] COMMIT_SELL,KnTBc3qwcr 
[62541] SELL,KnTBc3qwcr,JQO,431.61 
[62546] SET_SELL_TRIGGER,KnTBc3qwcr,GHE,32.91 
[62571] ADD,KnTBc3qwcr,62020.41 
[62590] QUOTE,KnTBc3qwcr,XII 
[62652] CANCEL_BUY,KnTBc3qwcr 
[62671] SET_SELL_AMOUNT,KnTBc3qwcr,LFU,456.02 
[62796] DISPLAY_SUMMARY,KnTBc3qwcr 
[62865] SET_SELL_AMOUNT,KnTBc3qwcr,QJZ,468.23 
[63039] SET_SELL_TRIGGER,KnTBc3qwcr,QJZ,102.52 
[63103] BUY,KnTBc3qwcr,ALV,712.66 
[63162] COMMIT_BUY,KnTBc3qwcr 
[63288] SELL,KnTBc3qwcr,CEC,479.73 
[63517] COMMIT_SELL,KnTBc3qwcr 
[63553] SET_SELL_TRIGGER,KnTBc3qwcr,SAN,79.65 
[63920] ADD,KnTBc3qwcr,54038.75 
[64050] COMMIT_BUY,KnTBc3qwcr 
[64287] DISPLAY_SUMMARY,KnTBc3qwcr 
[64310] SET_SELL_TRIGGER,KnTBc3qwcr,GPM,52.14 
[64318] ADD,KnTBc3qwcr,67083.19 
[64319] BUY,KnTBc3qwcr,YBO,337.34 
[64544] COMMIT_BUY,KnTBc3qwcr 
[64574] ADD,KnTBc3qwcr,72020.62 
[64611] BUY,KnTBc3qwcr,WSR,388.25 
[64637] CANCEL_BUY,KnTBc3qwcr 
[64718] QUOTE,KnTBc3qwcr,CXC 
[64744] QUOTE,KnTBc3qwcr,IHA 
[64764] DISPLAY_SUMMARY,KnTBc3qwcr 
[64844] DISPLAY_SUMMARY,KnTBc3qwcr 
[64955] QUOTE,KnTBc3qwcr,ALG 
[65055] QUOTE,KnTBc3qwcr,SCK 
[65204] BUY,KnTBc3qwcr,CXB,741.47 
[65299] COMMIT_BUY,KnTBc3qwcr 
[65546] SET_SELL_AMOUNT,KnTBc3qwcr,XLK,88.15 
[65571] SET_SELL_TRIGGER,KnTBc3qwcr,XLK,7.96 
[65634] ADD,KnTBc3qwcr,79152.79 
[65838] BUY,KnTBc3qwcr,VIK,209.71 
[65845] BUY,KnTBc3qwcr,SKC,448.65 
[65900] COMMIT_BUY,KnTBc3qwcr 
[65952] BUY,KnTBc3qwcr,RLS,124.68 
[66001] BUY,KnTBc3qwcr,KAO,276.08 
[66028] CANCEL_SET_SELL,KnTBc3qwcr,HQU 
[66049] QUOTE,KnTBc3qwcr,QXW 
[66070] BUY,KnTBc3qwcr,JHY,649.75 
[66125] DISPLAY_SUMMARY,KnTBc3qwcr 
[66186] DISPLAY_SUMMARY,KnTBc3qwcr 
[66376] SELL,KnTBc3qwcr,CEC,74.83 
[66399] CANCEL_SELL,KnTBc3qwcr 
[66510] SET_SELL_TRIGGER,KnTBc3qwcr,BHQ,53.42 
[66518] ADD,KnTBc3qwcr,71547.59 
[66707] QUOTE,KnTBc3qwcr,IFI 
[66727] SET_BUY_TRIGGER,KnTBc3qwcr,YRO,175.85 
[66754] ADD,KnTBc3qwcr,89803.31 
[66893] QUOTE,KnTBc3qwcr,MAX 
[67020] CANCEL_BUY,KnTBc3qwcr 
[67113] ADD,KnTBc3qwcr,90283.47 
[67371] BUY,KnTBc3qwcr,FFZ,681.24 
[67467] BUY,KnTBc3qwcr,NJI,325.95 
[67492] CANCEL_BUY,KnTBc3qwcr 
[67671] SELL,KnTBc3qwcr,JCQ,350.45 
[67698] COMMIT_SELL,KnTBc3qwcr 
[67887] QUOTE,KnTBc3qwcr,CBK 
[67907] BUY,KnTBc3qwcr,UGG,281.89 
[68027] QUOTE,KnTBc3qwcr,ASJ 
[68150] CANCEL_SET_SELL,KnTBc3qwcr,NQU 
[68419] QUOTE,KnTBc3qwcr,WRN 
[68427] COMMIT_BUY,KnTBc3qwcr 
[68469] SET_SELL_AMOUNT,KnTBc3qwcr,CBO,310.70 
[68520] SET_SELL_TRIGGER,KnTBc3qwcr,CBO,113.39 
[68643] SET_BUY_AMOUNT,KnTBc3qwcr,GYF,694.02 
[68648] SET_BUY_TRIGGER,KnTBc3qwcr,MAX,4.21 
[68912] DISPLAY_SUMMARY,KnTBc3qwcr 
[69096] SET_SELL_AMOUNT,KnTBc3qwcr,CBO,641.40 
[69154] QUOTE,KnTBc3qwcr,YZH 
[69163] BUY,KnTBc3qwcr,MVI,662.10 
[69165] COMMIT_BUY,KnTBc3qwcr 
[69177] CANCEL_BUY,KnTBc3qwcr 
[69197] SELL,KnTBc3qwcr,OZO,122.17 
[69203] SET_SELL_TRIGGER,KnTBc3qwcr,CBO,360.31 
[69215] ADD,KnTBc3qwcr,71715.21 
[69230] BUY,KnTBc3qwcr,NXF,12.65 
[69299] COMMIT_BUY,KnTBc3qwcr 
[69425] ADD,KnTBc3qwcr,78031.09 
[69531] BUY,KnTBc3qwcr,IZS,596.63 
[69658] COMMIT_BUY,KnTBc3qwcr 
[69680] SET_BUY_TRIGGER,KnTBc3qwcr,FTP,119.61 
[69813] QUOTE,KnTBc3qwcr,WBX 
[69881] QUOTE,KnTBc3qwcr,VMT 
[69938] QUOTE,KnTBc3qwcr,OOT 
[70226] SET_BUY_AMOUNT,KnTBc3qwcr,UBJ,362.50 
[70318] SET_BUY_TRIGGER,KnTBc3qwcr,LSW,302.00 
[70664] DISPLAY_SUMMARY,KnTBc3qwcr 
[70669] ADD,KnTBc3qwcr,41903.87 
[70705] QUOTE,KnTBc3qwcr,BMW 
[70882] SELL,KnTBc3qwcr,TVI,563.60 
[70911] CANCEL_SELL,KnTBc3qwcr 
[71004] BUY,KnTBc3qwcr,GDO,693.40 
[71028] COMMIT_BUY,KnTBc3qwcr 
[71281] SET_BUY_TRIGGER,KnTBc3qwcr,YTT,7.54 
[71309] DISPLAY_SUMMARY,KnTBc3qwcr 
[71372] DISPLAY_SUMMARY,KnTBc3qwcr 
[71384] BUY,KnTBc3qwcr,XQC,319.16 
[71433] DISPLAY_SUMMARY,KnTBc3qwcr 
[71461] DISPLAY_SUMMARY,KnTBc3qwcr 
[71655] QUOTE,KnTBc3qwcr,ECX 
[71778] BUY,KnTBc3qwcr,YEW,663.34 
[71848] COMMIT_BUY,KnTBc3qwcr 
[71900] SET_SELL_AMOUNT,KnTBc3qwcr,SUS,532.67 
[72052] SET_SELL_TRIGGER,KnTBc3qwcr,SUS,275.00 
[72100] ADD,KnTBc3qwcr,61109.91 
[72107] QUOTE,KnTBc3qwcr,QZN 
[72114] SET_BUY_TRIGGER,KnTBc3qwcr,JDW,12.40 
[72126] ADD,KnTBc3qwcr,83325.32 
[72420] COMMIT_BUY,KnTBc3qwcr 
[72534] BUY,KnTBc3qwcr,WYD,85.77 
[72549] COMMIT_BUY,KnTBc3qwcr 
[72837] DISPLAY_SUMMARY,KnTBc3qwcr 
[73094] SET_SELL_TRIGGER,KnTBc3qwcr,DFE,90.38 
[73357] ADD,KnTBc3qwcr,105344.05 
[73468] BUY,KnTBc3qwcr,BWR,605.93 
[73484] SET_SELL_TRIGGER,KnTBc3qwcr,GPC,103.67 
[73519] SET_SELL_TRIGGER,KnTBc3qwcr,ZYF,52.04 
[73533] SELL,KnTBc3qwcr,QJZ,733.99 
[73538] COMMIT_SELL,KnTBc3qwcr 
[74256] ADD,KnTBc3qwcr,67634.93 
[74452] BUY,KnTBc3qwcr,CBO,712.43 
[74474] BUY,KnTBc3qwcr,QNK,312.45 
[74508] COMMIT_BUY,KnTBc3qwcr 
[74643] SET_SELL_TRIGGER,KnTBc3qwcr,CGW,131.38 
[74691] SELL,KnTBc3qwcr,JQO,419.74 
[74790] QUOTE,KnTBc3qwcr,CDF 
[74896] QUOTE,KnTBc3qwcr,WRN 
[74917] COMMIT_BUY,KnTBc3qwcr 
[75007] SET_SELL_AMOUNT,KnTBc3qwcr,CBO,73.16 
[75009] SET_SELL_TRIGGER,KnTBc3qwcr,CBO,19.65 
[75079] ADD,KnTBc3qwcr,54826.74 
[75222] QUOTE,KnTBc3qwcr,YQC 
[75488] SET_SELL_TRIGGER,KnTBc3qwcr,FMJ,5.64 
[75574] ADD,KnTBc3qwcr,67769.19 
[75616] QUOTE,KnTBc3qwcr,DWF 
[75621] SELL,KnTBc3qwcr,SZI,601.45 
[75671] COMMIT_SELL,KnTBc3qwcr 
[75903] SET_SELL_TRIGGER,KnTBc3qwcr,GCL,140.38 
[75981] BUY,KnTBc3qwcr,BFB,643.69 
[76103] QUOTE,KnTBc3qwcr,WYO 
[76125] CANCEL_SET_SELL,KnTBc3qwcr,PCK 
[76676] SELL,KnTBc3qwcr,JQO,347.97 
[76691] CANCEL_SET_BUY,KnTBc3qwcr,BFB 
[76821] SELL,KnTBc3qwcr,CSZ,593.63 
[76829] COMMIT_SELL,KnTBc3qwcr 
[76950] SET_SELL_AMOUNT,KnTBc3qwcr,LZV,611.96 
[76952] BUY,KnTBc3qwcr,YRO,357.96 
[77007] QUOTE,KnTBc3qwcr,LUD 
[77058] DISPLAY_SUMMARY,KnTBc3qwcr 
[77066] SET_SELL_TRIGGER,KnTBc3qwcr,LZV,148.65 
[77200] DISPLAY_SUMMARY,KnTBc3qwcr 
[77319] CANCEL_SET_SELL,KnTBc3qwcr,OBO 
[77424] QUOTE,KnTBc3qwcr,DFE 
[77528] BUY,KnTBc3qwcr,UMN,377.87 
[77720] CANCEL_BUY,KnTBc3qwcr 
[77780] ADD,KnTBc3qwcr,94563.75 
[77883] BUY,KnTBc3qwcr,TSS,733.49 
[77944] COMMIT_BUY,KnTBc3qwcr 
[77976] SET_SELL_AMOUNT,KnTBc3qwcr,RNK,403.80 
[78132] SET_SELL_TRIGGER,KnTBc3qwcr,RNK,307.54 
[78152] ADD,KnTBc3qwcr,86501.76 
[78486] BUY,KnTBc3qwcr,TKM,692.74 
[78565] COMMIT_BUY,KnTBc3qwcr 
[78658] ADD,KnTBc3qwcr,63512.78 
[78711] BUY,KnTBc3qwcr,FGF,673.41 
[78794] SELL,KnTBc3qwcr,SZI,572.04 
[78811] DISPLAY_SUMMARY,KnTBc3qwcr 
[78818] ADD,KnTBc3qwcr,93908.86 
[78846] CANCEL_BUY,KnTBc3qwcr 
[78853] SET_BUY_AMOUNT,KnTBc3qwcr,CEC,694.30 
[78867] SET_BUY_TRIGGER,KnTBc3qwcr,YZH,131.50 
[79020] SELL,KnTBc3qwcr,PTP,268.05 
[79309] COMMIT_SELL,KnTBc3qwcr 
[79321] BUY,KnTBc3qwcr,TZJ,328.04 
[79393] COMMIT_BUY,KnTBc3qwcr 
[79429] ADD,KnTBc3qwcr,78199.03 
[79516] BUY,KnTBc3qwcr,NFQ,278.05 
[79579] COMMIT_BUY,KnTBc3qwcr 
[79826] SET_SELL_AMOUNT,KnTBc3qwcr,TVI,114.95 
[80175] SET_SELL_TRIGGER,KnTBc3qwcr,TVI,37.75 
[80307] DISPLAY_SUMMARY,KnTBc3qwcr 
[80393] ADD,KnTBc3qwcr,77338.77 
[80438] SELL,KnTBc3qwcr,IQJ,202.59 
[80469] SET_BUY_AMOUNT,KnTBc3qwcr,GYF,21.48 
[80535] QUOTE,KnTBc3qwcr,OFP 
[80646] BUY,KnTBc3qwcr,FOV,413.99 
[80674] SELL,KnTBc3qwcr,GYF,16.62 
[80682] COMMIT_SELL,KnTBc3qwcr 
[80768] BUY,KnTBc3qwcr,JUE,696.42 
[80989] COMMIT_BUY,KnTBc3qwcr 
[81058] CANCEL_SET_BUY,KnTBc3qwcr,TWJ 
[81066] SET_SELL_AMOUNT,KnTBc3qwcr,SUS,280.06 
[81197] SET_SELL_TRIGGER,KnTBc3qwcr,SUS,56.06 
[81215] ADD,KnTBc3qwcr,77005.48 
[81267] BUY,KnTBc3qwcr,EIH,314.00 
[81433] COMMIT_BUY,KnTBc3qwcr 
[81503] BUY,KnTBc3qwcr,KNM,413.11 
[81562] COMMIT_BUY,KnTBc3qwcr 
[81583] QUOTE,KnTBc3qwcr,PUO 
[81625] SET_BUY_TRIGGER,KnTBc3qwcr,AHE,0.97 
[81781] BUY,KnTBc3qwcr,BFB,559.39 
[81857] CANCEL_SET_BUY,KnTBc3qwcr,XOL 
[81936] SELL,KnTBc3qwcr,CSZ,687.47 
[82013] COMMIT_SELL,KnTBc3qwcr 
[82069] SET_SELL_TRIGGER,KnTBc3qwcr,DMW,39.19 
[82135] QUOTE,KnTBc3qwcr,NQU 
[82164] BUY,KnTBc3qwcr,YPL,358.44 
[82347] COMMIT_BUY,KnTBc3qwcr 
[82544] ADD,KnTBc3qwcr,63056.54 
[82569] BUY,KnTBc3qwcr,FVZ,637.77 
[82614] SET_BUY_AMOUNT,KnTBc3qwcr,IFN,520.36 
[82736] SET_BUY_TRIGGER,KnTBc3qwcr,FTJ,468.01 
[83157] SET_SELL_AMOUNT,KnTBc3qwcr,TVI,615.41 
[83224] DISPLAY_SUMMARY,KnTBc3qwcr 
[83356] ADD,KnTBc3qwcr,68692.56 
[83496] QUOTE,KnTBc3qwcr,RWM 
[83610] QUOTE,KnTBc3qwcr,IOY 
[84015] QUOTE,KnTBc3qwcr,LSG 
[84023] QUOTE,KnTBc3qwcr,JTY 
[84115] BUY,KnTBc3qwcr,NGZ,398.13 
[84153] COMMIT_BUY,KnTBc3qwcr 
[84229] SET_BUY_AMOUNT,KnTBc3qwcr,BJL,462.67 
[84231] SET_BUY_TRIGGER,KnTBc3qwcr,NUL,279.14 
[84428] SET_SELL_TRIGGER,KnTBc3qwcr,TVI,183.69 
[84483] ADD,KnTBc3qwcr,66517.90 
[84555] SET_BUY_TRIGGER,KnTBc3qwcr,NFL,179.71 
[84730] ADD,KnTBc3qwcr,62383.98 
[84781] QUOTE,KnTBc3qwcr,OOT 
[84789] QUOTE,KnTBc3qwcr,EDV 
[84862] BUY,KnTBc3qwcr,AXK,506.14 
[84897] COMMIT_BUY,KnTBc3qwcr 
[85053] BUY,KnTBc3qwcr,WAO,188.74 
[85126] SET_BUY_AMOUNT,KnTBc3qwcr,ZYR,311.63 
[85159] CANCEL_SET_BUY,KnTBc3qwcr,QAX 
[85206] DISPLAY_SUMMARY,KnTBc3qwcr 
[85488] ADD,KnTBc3qwcr,55111.67 
[85522] QUOTE,KnTBc3qwcr,INB 
[85591] BUY,KnTBc3qwcr,AUX,69.64 
[85702] CANCEL_BUY,KnTBc3qwcr 
[85858] SET_SELL_TRIGGER,KnTBc3qwcr,SDW,154.66 
[85989] DISPLAY_SUMMARY,KnTBc3qwcr 
[86044] DISPLAY_SUMMARY,KnTBc3qwcr 
