[339] ADD,6bw5h7oAdg,66382.14 
[46958] ADD,6bw5h7oAdg,75557.17 
[47199] SET_BUY_TRIGGER,6bw5h7oAdg,OQW,144.97 
[47333] SET_SELL_TRIGGER,6bw5h7oAdg,VOY,111.05 
[47511] ADD,6bw5h7oAdg,64285.93 
[47665] SET_SELL_AMOUNT,6bw5h7oAdg,KES,364.08 
[47749] BUY,6bw5h7oAdg,SJG,736.01 
[47914] COMMIT_BUY,6bw5h7oAdg 
[48019] SET_SELL_TRIGGER,6bw5h7oAdg,KES,224.70 
[48193] DISPLAY_SUMMARY,6bw5h7oAdg 
[48268] COMMIT_SELL,6bw5h7oAdg 
[48317] DISPLAY_SUMMARY,6bw5h7oAdg 
[48327] DISPLAY_SUMMARY,6bw5h7oAdg 
[48519] QUOTE,6bw5h7oAdg,PRJ 
[48557] SET_BUY_TRIGGER,6bw5h7oAdg,HGG,8.84 
[48839] SET_BUY_TRIGGER,6bw5h7oAdg,MHR,105.46 
[48851] SELL,6bw5h7oAdg,CSZ,563.77 
[48936] CANCEL_SET_SELL,6bw5h7oAdg,XQG 
[48964] ADD,6bw5h7oAdg,55699.67 
[49025] QUOTE,6bw5h7oAdg,UMV 
[49027] SET_BUY_TRIGGER,6bw5h7oAdg,VVV,30.81 
[49091] CANCEL_SET_SELL,6bw5h7oAdg,WNX 
[49160] BUY,6bw5h7oAdg,SYT,180.58 
[49186] COMMIT_BUY,6bw5h7oAdg 
[49396] QUOTE,6bw5h7oAdg,HWO 
[49614] CANCEL_SET_SELL,6bw5h7oAdg,WSR 
[49645] SET_SELL_AMOUNT,6bw5h7oAdg,JCQ,372.40 
[49687] CANCEL_SET_SELL,6bw5h7oAdg,JCQ 
[49751] CANCEL_SET_SELL,6bw5h7oAdg,FTJ 
[49977] BUY,6bw5h7oAdg,ZCO,308.37 
[50013] COMMIT_BUY,6bw5h7oAdg 
[50225] BUY,6bw5h7oAdg,FQR,582.00 
[50287] CANCEL_SET_SELL,6bw5h7oAdg,LMB 
[50340] SELL,6bw5h7oAdg,LFU,333.99 
[50366] COMMIT_SELL,6bw5h7oAdg 
[50486] CANCEL_SET_SELL,6bw5h7oAdg,GSW 
[50505] SET_BUY_TRIGGER,6bw5h7oAdg,GPW,64.46 
[50605] CANCEL_SET_SELL,6bw5h7oAdg,FFN 
[50692] SET_BUY_AMOUNT,6bw5h7oAdg,JRJ,617.95 
[50699] QUOTE,6bw5h7oAdg,FIY 
[50795] SET_BUY_AMOUNT,6bw5h7oAdg,OPN,670.27 
[50836] SET_BUY_TRIGGER,6bw5h7oAdg,QJC,564.69 
[51288] DISPLAY_SUMMARY,6bw5h7oAdg 
[51317] SELL,6bw5h7oAdg,JVT,514.48 
[51377] COMMIT_SELL,6bw5h7oAdg 
[51505] QUOTE,6bw5h7oAdg,VZB 
[51580] BUY,6bw5h7oAdg,UDM,107.65 
[51614] CANCEL_BUY,6bw5h7oAdg 
[51656] ADD,6bw5h7oAdg,54004.11 
[51710] QUOTE,6bw5h7oAdg,PTC 
[51746] BUY,6bw5h7oAdg,SKW,271.93 
[51809] COMMIT_BUY,6bw5h7oAdg 
[51852] SET_SELL_AMOUNT,6bw5h7oAdg,ZYR,433.56 
[51889] SET_SELL_TRIGGER,6bw5h7oAdg,ZYR,430.44 
[51920] SET_BUY_TRIGGER,6bw5h7oAdg,DJD,181.76 
[51945] CANCEL_SET_BUY,6bw5h7oAdg,BBD 
[52124] DISPLAY_SUMMARY,6bw5h7oAdg 
[52185] BUY,6bw5h7oAdg,LPW,636.41 
[52522] COMMIT_BUY,6bw5h7oAdg 
[52670] ADD,6bw5h7oAdg,98995.83 
[52712] QUOTE,6bw5h7oAdg,KCT 
[52767] QUOTE,6bw5h7oAdg,CJV 
[53201] BUY,6bw5h7oAdg,ESN,653.13 
[53390] QUOTE,6bw5h7oAdg,RGM 
[53409] DISPLAY_SUMMARY,6bw5h7oAdg 
[53651] QUOTE,6bw5h7oAdg,EDV 
[53800] BUY,6bw5h7oAdg,MFX,602.24 
[53822] SELL,6bw5h7oAdg,RGH,493.27 
[53844] COMMIT_SELL,6bw5h7oAdg 
[53908] SET_SELL_AMOUNT,6bw5h7oAdg,ZYR,21.63 
[54054] SET_SELL_TRIGGER,6bw5h7oAdg,ZYR,0.59 
[54063] BUY,6bw5h7oAdg,RFI,282.50 
[54172] COMMIT_BUY,6bw5h7oAdg 
[54700] SET_BUY_AMOUNT,6bw5h7oAdg,FDI,674.60 
[54882] DISPLAY_SUMMARY,6bw5h7oAdg 
[54933] DISPLAY_SUMMARY,6bw5h7oAdg 
[54996] BUY,6bw5h7oAdg,FPP,264.23 
[55034] COMMIT_BUY,6bw5h7oAdg 
[55356] QUOTE,6bw5h7oAdg,NOP 
[55369] QUOTE,6bw5h7oAdg,IOM 
[55374] BUY,6bw5h7oAdg,LAM,122.18 
[55377] COMMIT_BUY,6bw5h7oAdg 
[55408] BUY,6bw5h7oAdg,JXR,547.54 
[55471] COMMIT_BUY,6bw5h7oAdg 
[55511] BUY,6bw5h7oAdg,LPS,729.38 
[55535] CANCEL_SET_SELL,6bw5h7oAdg,XOL 
[55540] SET_SELL_TRIGGER,6bw5h7oAdg,BRZ,197.75 
[55544] QUOTE,6bw5h7oAdg,KAF 
[55573] CANCEL_SET_BUY,6bw5h7oAdg,KQZ 
[55633] SET_BUY_AMOUNT,6bw5h7oAdg,GRM,95.27 
[55706] SET_BUY_TRIGGER,6bw5h7oAdg,RFC,6.62 
[55752] SELL,6bw5h7oAdg,KDA,305.83 
[55773] BUY,6bw5h7oAdg,OIY,352.19 
[55852] SET_BUY_TRIGGER,6bw5h7oAdg,ECX,117.55 
[55874] SET_SELL_TRIGGER,6bw5h7oAdg,BFU,7.79 
[55896] SET_BUY_AMOUNT,6bw5h7oAdg,AVX,275.76 
[55911] CANCEL_SET_BUY,6bw5h7oAdg,OHS 
[56021] QUOTE,6bw5h7oAdg,QPX 
[56126] CANCEL_SET_BUY,6bw5h7oAdg,MIU 
[56195] ADD,6bw5h7oAdg,60378.49 
[56248] QUOTE,6bw5h7oAdg,RRZ 
[56390] BUY,6bw5h7oAdg,ULL,275.88 
[56409] SET_SELL_AMOUNT,6bw5h7oAdg,FQP,558.96 
[56469] SET_SELL_TRIGGER,6bw5h7oAdg,FQP,86.11 
[56540] ADD,6bw5h7oAdg,46625.96 
[56688] BUY,6bw5h7oAdg,IOY,267.85 
[56693] COMMIT_BUY,6bw5h7oAdg 
[56772] QUOTE,6bw5h7oAdg,NJB 
[56776] BUY,6bw5h7oAdg,KGV,581.95 
[56786] CANCEL_BUY,6bw5h7oAdg 
[56898] SELL,6bw5h7oAdg,JQO,28.40 
[57067] COMMIT_SELL,6bw5h7oAdg 
[57137] ADD,6bw5h7oAdg,82249.13 
[57170] BUY,6bw5h7oAdg,MDZ,573.54 
[57225] COMMIT_BUY,6bw5h7oAdg 
[57226] SELL,6bw5h7oAdg,RNK,506.68 
[57330] COMMIT_SELL,6bw5h7oAdg 
[57580] BUY,6bw5h7oAdg,GCW,24.44 
[57585] COMMIT_BUY,6bw5h7oAdg 
[57701] SET_SELL_AMOUNT,6bw5h7oAdg,SSF,630.32 
[57735] SET_SELL_TRIGGER,6bw5h7oAdg,SSF,257.39 
[57894] BUY,6bw5h7oAdg,YWC,374.54 
[57978] CANCEL_BUY,6bw5h7oAdg 
[58020] SELL,6bw5h7oAdg,JVT,364.97 
[58112] COMMIT_SELL,6bw5h7oAdg 
[58146] QUOTE,6bw5h7oAdg,XEA 
[58224] SET_BUY_AMOUNT,6bw5h7oAdg,QAX,155.65 
[58422] SET_BUY_TRIGGER,6bw5h7oAdg,CXN,101.12 
[58495] QUOTE,6bw5h7oAdg,NFQ 
[58565] BUY,6bw5h7oAdg,XFH,699.41 
[58796] COMMIT_BUY,6bw5h7oAdg 
[58815] SET_SELL_AMOUNT,6bw5h7oAdg,PTP,178.85 
[58893] SET_SELL_TRIGGER,6bw5h7oAdg,PTP,20.91 
[58898] DISPLAY_SUMMARY,6bw5h7oAdg 
[58954] SET_SELL_TRIGGER,6bw5h7oAdg,BHJ,185.48 
[59041] CANCEL_SET_SELL,6bw5h7oAdg,BHP 
[59052] ADD,6bw5h7oAdg,89467.80 
[59098] QUOTE,6bw5h7oAdg,JGY 
[59316] SET_BUY_TRIGGER,6bw5h7oAdg,FLD,48.88 
[59518] SELL,6bw5h7oAdg,ZAN,655.19 
[59820] CANCEL_BUY,6bw5h7oAdg 
[59884] BUY,6bw5h7oAdg,SYU,352.40 
[59958] COMMIT_BUY,6bw5h7oAdg 
[59972] ADD,6bw5h7oAdg,71938.57 
[59974] BUY,6bw5h7oAdg,NUL,562.84 
[60362] COMMIT_BUY,6bw5h7oAdg 
[60503] COMMIT_BUY,6bw5h7oAdg 
[60721] QUOTE,6bw5h7oAdg,OBO 
[60957] SET_BUY_TRIGGER,6bw5h7oAdg,RWM,199.29 
[61034] SET_SELL_AMOUNT,6bw5h7oAdg,FQP,287.46 
[61077] SET_SELL_TRIGGER,6bw5h7oAdg,FQP,239.79 
[61128] SET_BUY_AMOUNT,6bw5h7oAdg,RNK,686.86 
[61181] SET_BUY_TRIGGER,6bw5h7oAdg,WJS,255.91 
[61275] SET_SELL_AMOUNT,6bw5h7oAdg,QGE,380.74 
[61387] SET_SELL_TRIGGER,6bw5h7oAdg,QGE,260.79 
[61453] SELL,6bw5h7oAdg,BCQ,437.75 
[61717] CANCEL_SET_BUY,6bw5h7oAdg,LUT 
[61829] CANCEL_SET_SELL,6bw5h7oAdg,RQT 
[61907] QUOTE,6bw5h7oAdg,DED 
[61965] SET_BUY_TRIGGER,6bw5h7oAdg,SCK,0.74 
[62248] DISPLAY_SUMMARY,6bw5h7oAdg 
[62303] SET_BUY_AMOUNT,6bw5h7oAdg,RUN,473.02 
[62344] QUOTE,6bw5h7oAdg,GWS 
[62621] SET_BUY_TRIGGER,6bw5h7oAdg,XQC,235.18 
[62826] ADD,6bw5h7oAdg,70392.08 
[62839] QUOTE,6bw5h7oAdg,LPS 
[62900] BUY,6bw5h7oAdg,JRY,35.33 
[63065] CANCEL_BUY,6bw5h7oAdg 
[63108] SET_SELL_TRIGGER,6bw5h7oAdg,KAO,63.03 
[63127] SET_BUY_TRIGGER,6bw5h7oAdg,QEO,123.11 
[63402] ADD,6bw5h7oAdg,66459.78 
[63422] CANCEL_SELL,6bw5h7oAdg 
[63520] ADD,6bw5h7oAdg,67550.08 
[63541] QUOTE,6bw5h7oAdg,LHC 
[63745] SET_SELL_TRIGGER,6bw5h7oAdg,GDF,175.55 
[63962] BUY,6bw5h7oAdg,FRB,234.17 
[64146] COMMIT_BUY,6bw5h7oAdg 
[64336] CANCEL_SET_SELL,6bw5h7oAdg,RGM 
[64357] CANCEL_BUY,6bw5h7oAdg 
[64414] DISPLAY_SUMMARY,6bw5h7oAdg 
[64443] SET_SELL_TRIGGER,6bw5h7oAdg,ISQ,18.07 
[64454] SET_BUY_AMOUNT,6bw5h7oAdg,KDA,285.02 
[64479] SET_BUY_TRIGGER,6bw5h7oAdg,NGG,249.22 
[64820] DISPLAY_SUMMARY,6bw5h7oAdg 
[65010] COMMIT_BUY,6bw5h7oAdg 
[65035] SELL,6bw5h7oAdg,JZJ,730.49 
[65067] QUOTE,6bw5h7oAdg,YEW 
[65195] BUY,6bw5h7oAdg,VTY,417.90 
[65277] SET_SELL_TRIGGER,6bw5h7oAdg,YWC,54.79 
[65530] BUY,6bw5h7oAdg,NAR,272.41 
[65531] COMMIT_BUY,6bw5h7oAdg 
[65629] DISPLAY_SUMMARY,6bw5h7oAdg 
[65749] SET_SELL_AMOUNT,6bw5h7oAdg,UBJ,598.06 
[65785] SET_SELL_TRIGGER,6bw5h7oAdg,UBJ,379.38 
[65857] SELL,6bw5h7oAdg,OEY,449.46 
[65991] COMMIT_SELL,6bw5h7oAdg 
[65994] SET_BUY_AMOUNT,6bw5h7oAdg,RNK,517.47 
[66004] SET_BUY_TRIGGER,6bw5h7oAdg,LCP,111.58 
[66074] QUOTE,6bw5h7oAdg,SCW 
[66137] DISPLAY_SUMMARY,6bw5h7oAdg 
[66151] BUY,6bw5h7oAdg,PJW,483.39 
[66287] DISPLAY_SUMMARY,6bw5h7oAdg 
[66373] DISPLAY_SUMMARY,6bw5h7oAdg 
[66475] QUOTE,6bw5h7oAdg,ZZN 
[66531] ADD,6bw5h7oAdg,82756.98 
[66619] BUY,6bw5h7oAdg,ZWC,479.99 
[66671] CANCEL_BUY,6bw5h7oAdg 
[66820] SET_BUY_AMOUNT,6bw5h7oAdg,GRM,644.15 
[66916] DISPLAY_SUMMARY,6bw5h7oAdg 
[67069] BUY,6bw5h7oAdg,DBR,276.36 
[67268] COMMIT_BUY,6bw5h7oAdg 
[67348] DISPLAY_SUMMARY,6bw5h7oAdg 
[67375] SET_SELL_AMOUNT,6bw5h7oAdg,QJZ,725.29 
[67408] SET_SELL_TRIGGER,6bw5h7oAdg,QJZ,351.75 
[67494] BUY,6bw5h7oAdg,WSG,545.57 
[67557] COMMIT_SELL,6bw5h7oAdg 
[67598] DISPLAY_SUMMARY,6bw5h7oAdg 
[67658] ADD,6bw5h7oAdg,71989.73 
[67712] SET_BUY_AMOUNT,6bw5h7oAdg,OPN,662.48 
[67740] CANCEL_SET_BUY,6bw5h7oAdg,SYN 
[67798] QUOTE,6bw5h7oAdg,LUT 
[67953] BUY,6bw5h7oAdg,HZP,156.38 
[68144] SET_SELL_AMOUNT,6bw5h7oAdg,AVX,255.34 
[68259] SET_SELL_TRIGGER,6bw5h7oAdg,AVX,44.98 
[68272] QUOTE,6bw5h7oAdg,ADY 
[68443] QUOTE,6bw5h7oAdg,QGN 
[68523] ADD,6bw5h7oAdg,75202.87 
[68697] SET_BUY_TRIGGER,6bw5h7oAdg,GCW,22.18 
[68867] ADD,6bw5h7oAdg,64415.26 
[68925] QUOTE,6bw5h7oAdg,FKI 
[68993] QUOTE,6bw5h7oAdg,EUC 
[69033] BUY,6bw5h7oAdg,SCK,389.11 
[69068] COMMIT_BUY,6bw5h7oAdg 
[69121] DISPLAY_SUMMARY,6bw5h7oAdg 
[69214] COMMIT_SELL,6bw5h7oAdg 
[69301] ADD,6bw5h7oAdg,62310.50 
[69461] SET_SELL_TRIGGER,6bw5h7oAdg,JYV,80.13 
[69566] ADD,6bw5h7oAdg,59870.71 
[69673] QUOTE,6bw5h7oAdg,ZNZ 
[69700] CANCEL_SELL,6bw5h7oAdg 
[69703] ADD,6bw5h7oAdg,74588.69 
[69844] BUY,6bw5h7oAdg,NIR,232.06 
[70292] COMMIT_BUY,6bw5h7oAdg 
[70304] ADD,6bw5h7oAdg,69748.04 
[70334] BUY,6bw5h7oAdg,YAV,256.00 
[70355] CANCEL_SET_SELL,6bw5h7oAdg,NQU 
[70371] DISPLAY_SUMMARY,6bw5h7oAdg 
[70381] SET_BUY_TRIGGER,6bw5h7oAdg,BRT,99.76 
[70439] CANCEL_BUY,6bw5h7oAdg 
[70477] ADD,6bw5h7oAdg,41325.44 
[70528] QUOTE,6bw5h7oAdg,QTH 
[70534] SET_BUY_TRIGGER,6bw5h7oAdg,PBX,42.93 
[70536] SET_BUY_TRIGGER,6bw5h7oAdg,PBX,191.80 
[70583] CANCEL_SET_SELL,6bw5h7oAdg,IHA 
[70802] SET_BUY_AMOUNT,6bw5h7oAdg,ZTI,524.64 
[70910] SET_BUY_TRIGGER,6bw5h7oAdg,WOJ,72.79 
[70952] ADD,6bw5h7oAdg,80965.31 
[70972] BUY,6bw5h7oAdg,WJS,90.92 
[71220] COMMIT_SELL,6bw5h7oAdg 
[71234] ADD,6bw5h7oAdg,80529.50 
[71294] BUY,6bw5h7oAdg,MMY,397.58 
[71313] CANCEL_SELL,6bw5h7oAdg 
[71367] BUY,6bw5h7oAdg,UHO,602.45 
[71369] CANCEL_BUY,6bw5h7oAdg 
[71432] SET_SELL_AMOUNT,6bw5h7oAdg,EBS,463.17 
[71867] SET_SELL_TRIGGER,6bw5h7oAdg,EBS,314.11 
[71888] SET_SELL_TRIGGER,6bw5h7oAdg,YDS,12.42 
[71969] SET_SELL_TRIGGER,6bw5h7oAdg,YJK,88.56 
[71980] SET_SELL_TRIGGER,6bw5h7oAdg,TVP,22.88 
[71983] BUY,6bw5h7oAdg,LUD,118.01 
[72123] COMMIT_BUY,6bw5h7oAdg 
[72178] BUY,6bw5h7oAdg,OOI,196.39 
[72253] COMMIT_BUY,6bw5h7oAdg 
[72270] SET_BUY_TRIGGER,6bw5h7oAdg,WQE,79.78 
[72298] ADD,6bw5h7oAdg,74262.17 
[72331] SET_BUY_TRIGGER,6bw5h7oAdg,GFN,136.33 
[72340] SET_BUY_AMOUNT,6bw5h7oAdg,UBJ,112.87 
[72423] SET_BUY_TRIGGER,6bw5h7oAdg,YWC,66.84 
[72540] DISPLAY_SUMMARY,6bw5h7oAdg 
[72583] CANCEL_SELL,6bw5h7oAdg 
[72628] SET_SELL_TRIGGER,6bw5h7oAdg,BRT,122.74 
[73123] SET_BUY_AMOUNT,6bw5h7oAdg,IFN,195.88 
[73282] SELL,6bw5h7oAdg,LZV,708.69 
[73461] CANCEL_SELL,6bw5h7oAdg 
[73480] ADD,6bw5h7oAdg,65401.06 
[73648] BUY,6bw5h7oAdg,RGH,558.98 
[73747] CANCEL_SET_SELL,6bw5h7oAdg,JHY 
[73786] CANCEL_BUY,6bw5h7oAdg 
[74068] ADD,6bw5h7oAdg,63765.25 
[74188] QUOTE,6bw5h7oAdg,SSL 
[74686] BUY,6bw5h7oAdg,QPE,570.75 
[74687] SET_BUY_TRIGGER,6bw5h7oAdg,FFZ,50.42 
[74884] SET_SELL_AMOUNT,6bw5h7oAdg,ZAN,118.50 
[74996] SET_SELL_TRIGGER,6bw5h7oAdg,ZAN,96.13 
[75398] SELL,6bw5h7oAdg,MXD,272.09 
[75437] SET_BUY_AMOUNT,6bw5h7oAdg,KDA,335.63 
[75649] BUY,6bw5h7oAdg,SJG,511.80 
[75772] SET_SELL_AMOUNT,6bw5h7oAdg,RUN,591.83 
[75780] CANCEL_SET_SELL,6bw5h7oAdg,RUN 
[75969] SET_BUY_AMOUNT,6bw5h7oAdg,IFN,483.48 
[75993] QUOTE,6bw5h7oAdg,ZSV 
[76382] SET_SELL_TRIGGER,6bw5h7oAdg,ATE,185.65 
[76414] DISPLAY_SUMMARY,6bw5h7oAdg 
[76598] DISPLAY_SUMMARY,6bw5h7oAdg 
[76704] SET_SELL_TRIGGER,6bw5h7oAdg,SOA,187.67 
[76754] SET_SELL_AMOUNT,6bw5h7oAdg,SSF,35.71 
[76769] SET_SELL_TRIGGER,6bw5h7oAdg,SSF,13.52 
[76850] QUOTE,6bw5h7oAdg,RDK 
[76949] BUY,6bw5h7oAdg,WSG,418.87 
[77075] SET_SELL_AMOUNT,6bw5h7oAdg,LFU,514.83 
[77092] SET_SELL_TRIGGER,6bw5h7oAdg,LFU,426.23 
[77121] DISPLAY_SUMMARY,6bw5h7oAdg 
[77127] BUY,6bw5h7oAdg,HSH,492.95 
[77286] COMMIT_BUY,6bw5h7oAdg 
[77437] ADD,6bw5h7oAdg,80279.70 
[77556] SET_SELL_TRIGGER,6bw5h7oAdg,XVK,36.49 
[77631] DISPLAY_SUMMARY,6bw5h7oAdg 
[77653] SET_SELL_AMOUNT,6bw5h7oAdg,EBS,582.24 
[77660] SET_SELL_TRIGGER,6bw5h7oAdg,EBS,55.69 
[77832] SET_SELL_TRIGGER,6bw5h7oAdg,JEA,135.09 
[77923] BUY,6bw5h7oAdg,BSG,202.25 
[78008] COMMIT_BUY,6bw5h7oAdg 
[78168] SET_SELL_TRIGGER,6bw5h7oAdg,BTD,197.68 
[78172] DISPLAY_SUMMARY,6bw5h7oAdg 
[78223] DISPLAY_SUMMARY,6bw5h7oAdg 
[78679] SET_SELL_AMOUNT,6bw5h7oAdg,ZYR,702.19 
[78745] SET_SELL_TRIGGER,6bw5h7oAdg,ZYR,543.49 
[78870] ADD,6bw5h7oAdg,59203.38 
[78928] BUY,6bw5h7oAdg,FFZ,459.81 
[79018] COMMIT_BUY,6bw5h7oAdg 
[79592] DISPLAY_SUMMARY,6bw5h7oAdg 
[79601] SET_BUY_TRIGGER,6bw5h7oAdg,UMN,331.37 
[79602] DISPLAY_SUMMARY,6bw5h7oAdg 
[79643] SET_SELL_TRIGGER,6bw5h7oAdg,BLC,33.08 
[79742] ADD,6bw5h7oAdg,68649.81 
[79957] QUOTE,6bw5h7oAdg,SEI 
[80095] COMMIT_BUY,6bw5h7oAdg 
[80686] ADD,6bw5h7oAdg,77949.97 
[80779] BUY,6bw5h7oAdg,JYV,225.42 
[81352] CANCEL_SET_SELL,6bw5h7oAdg,EHF 
[81453] BUY,6bw5h7oAdg,ZRJ,590.23 
[81542] CANCEL_SET_SELL,6bw5h7oAdg,MPP 
[81669] CANCEL_BUY,6bw5h7oAdg 
[81790] BUY,6bw5h7oAdg,INB,689.14 
[81869] COMMIT_BUY,6bw5h7oAdg 
[82090] ADD,6bw5h7oAdg,71283.63 
[82100] BUY,6bw5h7oAdg,XFH,312.08 
[82276] CANCEL_SELL,6bw5h7oAdg 
[82335] DISPLAY_SUMMARY,6bw5h7oAdg 
[82442] DISPLAY_SUMMARY,6bw5h7oAdg 
[82703] DISPLAY_SUMMARY,6bw5h7oAdg 
[82711] SET_SELL_TRIGGER,6bw5h7oAdg,JQO,87.98 
[82797] ADD,6bw5h7oAdg,78040.17 
[83440] QUOTE,6bw5h7oAdg,XER 
[83567] ADD,6bw5h7oAdg,41282.48 
[83598] BUY,6bw5h7oAdg,BFU,680.78 
[83689] CANCEL_SELL,6bw5h7oAdg 
[83912] BUY,6bw5h7oAdg,CNN,102.53 
[84006] COMMIT_BUY,6bw5h7oAdg 
[84050] QUOTE,6bw5h7oAdg,LPB 
[84072] BUY,6bw5h7oAdg,EOS,613.54 
[84141] COMMIT_BUY,6bw5h7oAdg 
[84356] DISPLAY_SUMMARY,6bw5h7oAdg 
[84497] ADD,6bw5h7oAdg,69803.13 
[84504] CANCEL_SET_SELL,6bw5h7oAdg,LZV 
[84613] SET_BUY_TRIGGER,6bw5h7oAdg,GIK,72.26 
[84679] ADD,6bw5h7oAdg,63894.54 
[84702] BUY,6bw5h7oAdg,JQO,230.26 
[84722] CANCEL_SET_BUY,6bw5h7oAdg,LJZ 
[84984] ADD,6bw5h7oAdg,80088.45 
[85078] QUOTE,6bw5h7oAdg,ZPD 
[85084] BUY,6bw5h7oAdg,MXD,295.89 
[85256] COMMIT_BUY,6bw5h7oAdg 
[85286] DISPLAY_SUMMARY,6bw5h7oAdg 
[85309] SET_SELL_AMOUNT,6bw5h7oAdg,JVT,720.59 
[85384] SET_SELL_TRIGGER,6bw5h7oAdg,JVT,538.47 
[85414] DISPLAY_SUMMARY,6bw5h7oAdg 
[85548] ADD,6bw5h7oAdg,86223.88 
[85555] COMMIT_BUY,6bw5h7oAdg 
[85664] SET_BUY_TRIGGER,6bw5h7oAdg,LAM,2.59 
[85741] BUY,6bw5h7oAdg,DQW,329.05 
[85785] COMMIT_BUY,6bw5h7oAdg 
[85859] ADD,6bw5h7oAdg,68904.86 
[85937] QUOTE,6bw5h7oAdg,QQW 
[86267] SELL,6bw5h7oAdg,PTP,288.18 
[86511] COMMIT_SELL,6bw5h7oAdg 
[86541] BUY,6bw5h7oAdg,SCK,623.64 
[86547] SET_SELL_TRIGGER,6bw5h7oAdg,XOL,80.13 
[86722] SET_BUY_AMOUNT,6bw5h7oAdg,OZO,33.73 
[86809] CANCEL_SET_BUY,6bw5h7oAdg,PMX 
[86820] ADD,6bw5h7oAdg,49335.75 
[86878] BUY,6bw5h7oAdg,FYA,136.26 
[87486] CANCEL_BUY,6bw5h7oAdg 
[87794] ADD,6bw5h7oAdg,74175.73 
[88035] QUOTE,6bw5h7oAdg,FUR 
[88051] QUOTE,6bw5h7oAdg,POE 
[88097] SET_SELL_AMOUNT,6bw5h7oAdg,EBS,493.39 
[88586] SET_SELL_TRIGGER,6bw5h7oAdg,EBS,482.95 
[88590] DISPLAY_SUMMARY,6bw5h7oAdg 
[88632] DISPLAY_SUMMARY,6bw5h7oAdg 
[89120] SELL,6bw5h7oAdg,JRJ,359.07 
[89146] DISPLAY_SUMMARY,6bw5h7oAdg 
[89217] ADD,6bw5h7oAdg,44963.59 
[89345] QUOTE,6bw5h7oAdg,RVU 
[89368] BUY,6bw5h7oAdg,ZGR,434.94 
[89527] COMMIT_BUY,6bw5h7oAdg 
[89546] SET_SELL_AMOUNT,6bw5h7oAdg,JVT,421.72 
[89625] SET_SELL_TRIGGER,6bw5h7oAdg,JVT,341.14 
[89638] SET_BUY_TRIGGER,6bw5h7oAdg,XOM,103.12 
[89768] SET_SELL_AMOUNT,6bw5h7oAdg,TVI,19.89 
[89803] CANCEL_SET_SELL,6bw5h7oAdg,TVI 
[89932] COMMIT_SELL,6bw5h7oAdg 
[89944] BUY,6bw5h7oAdg,FTJ,319.04 
[90045] SET_SELL_AMOUNT,6bw5h7oAdg,QAX,673.60 
[90110] BUY,6bw5h7oAdg,EGX,615.58 
[90151] COMMIT_BUY,6bw5h7oAdg 
[90158] DISPLAY_SUMMARY,6bw5h7oAdg 
[90273] ADD,6bw5h7oAdg,64822.95 
[90455] QUOTE,6bw5h7oAdg,KPU 
[90531] SET_BUY_TRIGGER,6bw5h7oAdg,SAN,37.87 
[90763] SELL,6bw5h7oAdg,DFE,549.63 
[90934] COMMIT_SELL,6bw5h7oAdg 
[91262] DISPLAY_SUMMARY,6bw5h7oAdg 
[91351] QUOTE,6bw5h7oAdg,XYV 
[91611] BUY,6bw5h7oAdg,MRH,111.74 
[91676] CANCEL_BUY,6bw5h7oAdg 
[91769] ADD,6bw5h7oAdg,86904.35 
[91810] BUY,6bw5h7oAdg,EHF,722.92 
[91907] CANCEL_SET_SELL,6bw5h7oAdg,QAX 
[91952] SELL,6bw5h7oAdg,XQC,320.04 
[92233] SELL,6bw5h7oAdg,GYF,419.41 
[92360] COMMIT_SELL,6bw5h7oAdg 
[92388] BUY,6bw5h7oAdg,KVJ,431.03 
[92458] COMMIT_BUY,6bw5h7oAdg 
[92551] SET_SELL_TRIGGER,6bw5h7oAdg,PWK,195.70 
[92640] QUOTE,6bw5h7oAdg,PLB 
[92791] ADD,6bw5h7oAdg,61679.31 
[92839] QUOTE,6bw5h7oAdg,TCP 
[92978] CANCEL_SET_SELL,6bw5h7oAdg,FKI 
[93118] BUY,6bw5h7oAdg,JMX,705.52 
[93180] COMMIT_BUY,6bw5h7oAdg 
[93249] ADD,6bw5h7oAdg,78986.52 
[93482] QUOTE,6bw5h7oAdg,VJV 
[93533] BUY,6bw5h7oAdg,VZB,394.26 
[93584] CANCEL_BUY,6bw5h7oAdg 
[93594] COMMIT_BUY,6bw5h7oAdg 
[93613] BUY,6bw5h7oAdg,XNZ,70.92 
[93704] COMMIT_BUY,6bw5h7oAdg 
[93717] SELL,6bw5h7oAdg,BJL,306.53 
[93769] COMMIT_SELL,6bw5h7oAdg 
[94181] QUOTE,6bw5h7oAdg,AZN 
[94232] QUOTE,6bw5h7oAdg,WGP 
[94424] QUOTE,6bw5h7oAdg,YEW 
[94466] QUOTE,6bw5h7oAdg,SAR 
[94504] BUY,6bw5h7oAdg,KJD,498.83 
[94509] COMMIT_BUY,6bw5h7oAdg 
[94795] DISPLAY_SUMMARY,6bw5h7oAdg 
[94821] SET_BUY_AMOUNT,6bw5h7oAdg,VDP,16.66 
[94908] QUOTE,6bw5h7oAdg,KAS 
[95069] SELL,6bw5h7oAdg,NHG,141.18 
[95149] CANCEL_SELL,6bw5h7oAdg 
[95180] SELL,6bw5h7oAdg,XQC,683.84 
[95555] CANCEL_SELL,6bw5h7oAdg 
