[43] ADD,x8GMbOCXJX,63971.43 
[44694] ADD,x8GMbOCXJX,60548.38 
[44699] QUOTE,x8GMbOCXJX,TYV 
[44828] SET_BUY_TRIGGER,x8GMbOCXJX,RRE,180.65 
[44919] COMMIT_SELL,x8GMbOCXJX 
[44965] DISPLAY_SUMMARY,x8GMbOCXJX 
[44989] BUY,x8GMbOCXJX,AQO,159.09 
[45022] COMMIT_BUY,x8GMbOCXJX 
[45064] ADD,x8GMbOCXJX,66977.60 
[45155] SET_BUY_TRIGGER,x8GMbOCXJX,SZI,13.48 
[45389] SET_BUY_TRIGGER,x8GMbOCXJX,CTT,12.93 
[45544] DISPLAY_SUMMARY,x8GMbOCXJX 
[45624] SET_BUY_AMOUNT,x8GMbOCXJX,JVT,340.08 
[45642] QUOTE,x8GMbOCXJX,WGP 
[45855] BUY,x8GMbOCXJX,WUL,66.91 
[45858] QUOTE,x8GMbOCXJX,VFH 
[45872] BUY,x8GMbOCXJX,TSF,607.98 
[46070] COMMIT_BUY,x8GMbOCXJX 
[46116] DISPLAY_SUMMARY,x8GMbOCXJX 
[46128] ADD,x8GMbOCXJX,73899.37 
[46177] BUY,x8GMbOCXJX,RXO,286.66 
[46185] QUOTE,x8GMbOCXJX,NGZ 
[46236] SET_BUY_TRIGGER,x8GMbOCXJX,VGW,237.65 
[46266] SET_BUY_TRIGGER,x8GMbOCXJX,ZTR,125.03 
[46284] QUOTE,x8GMbOCXJX,ZJQ 
[46315] QUOTE,x8GMbOCXJX,SIK 
[46350] BUY,x8GMbOCXJX,SKW,635.67 
[46353] COMMIT_BUY,x8GMbOCXJX 
[46518] SET_BUY_TRIGGER,x8GMbOCXJX,KTU,40.32 
[46542] ADD,x8GMbOCXJX,65932.92 
[46563] SELL,x8GMbOCXJX,QAX,394.05 
[46931] COMMIT_SELL,x8GMbOCXJX 
[46968] SET_BUY_TRIGGER,x8GMbOCXJX,HIW,124.87 
[47062] ADD,x8GMbOCXJX,77688.03 
[47166] BUY,x8GMbOCXJX,APU,630.44 
[47344] COMMIT_BUY,x8GMbOCXJX 
[47662] SELL,x8GMbOCXJX,RNK,324.89 
[47776] COMMIT_SELL,x8GMbOCXJX 
[47779] BUY,x8GMbOCXJX,WGP,52.21 
[47858] SELL,x8GMbOCXJX,JVT,468.07 
[47900] QUOTE,x8GMbOCXJX,FMJ 
[47918] SET_BUY_TRIGGER,x8GMbOCXJX,GMS,161.04 
[48021] SELL,x8GMbOCXJX,KDA,425.51 
[48034] COMMIT_SELL,x8GMbOCXJX 
[48420] SET_BUY_TRIGGER,x8GMbOCXJX,LPB,22.77 
[48446] ADD,x8GMbOCXJX,67134.65 
[48508] QUOTE,x8GMbOCXJX,AMI 
[48522] COMMIT_BUY,x8GMbOCXJX 
[48593] DISPLAY_SUMMARY,x8GMbOCXJX 
[48616] SET_BUY_AMOUNT,x8GMbOCXJX,AVX,35.37 
[48617] BUY,x8GMbOCXJX,DVA,372.70 
[48737] COMMIT_BUY,x8GMbOCXJX 
[48883] DISPLAY_SUMMARY,x8GMbOCXJX 
[48929] SET_SELL_AMOUNT,x8GMbOCXJX,CUZ,230.57 
[48990] SET_SELL_TRIGGER,x8GMbOCXJX,CUZ,107.61 
[49120] BUY,x8GMbOCXJX,ONI,650.19 
[49257] COMMIT_SELL,x8GMbOCXJX 
[49634] SET_BUY_AMOUNT,x8GMbOCXJX,BCQ,89.73 
[49711] SET_BUY_TRIGGER,x8GMbOCXJX,FLY,58.68 
[49908] COMMIT_BUY,x8GMbOCXJX 
[50247] QUOTE,x8GMbOCXJX,YRO 
[50259] QUOTE,x8GMbOCXJX,UXP 
[50297] QUOTE,x8GMbOCXJX,HYX 
[50769] QUOTE,x8GMbOCXJX,PDB 
[50874] BUY,x8GMbOCXJX,PDX,26.74 
[51028] COMMIT_BUY,x8GMbOCXJX 
[51271] SET_SELL_AMOUNT,x8GMbOCXJX,CSZ,404.06 
[51406] SELL,x8GMbOCXJX,UTV,33.10 
[51413] COMMIT_SELL,x8GMbOCXJX 
[51508] SET_BUY_AMOUNT,x8GMbOCXJX,QAX,21.12 
[51663] CANCEL_SET_BUY,x8GMbOCXJX,JVT 
[51674] SET_SELL_AMOUNT,x8GMbOCXJX,SSF,340.54 
[51759] CANCEL_SET_SELL,x8GMbOCXJX,SSF 
[52073] DISPLAY_SUMMARY,x8GMbOCXJX 
[52145] ADD,x8GMbOCXJX,68936.65 
[52181] QUOTE,x8GMbOCXJX,YDD 
[52337] SET_SELL_TRIGGER,x8GMbOCXJX,BHP,116.88 
[52490] SET_BUY_TRIGGER,x8GMbOCXJX,MWM,106.60 
[52754] DISPLAY_SUMMARY,x8GMbOCXJX 
[52784] SET_SELL_AMOUNT,x8GMbOCXJX,XLK,563.52 
[52808] SET_SELL_TRIGGER,x8GMbOCXJX,XLK,112.35 
[52900] DISPLAY_SUMMARY,x8GMbOCXJX 
[53034] QUOTE,x8GMbOCXJX,DWU 
[53058] ADD,x8GMbOCXJX,57350.36 
[53138] QUOTE,x8GMbOCXJX,QZN 
[53186] SET_BUY_AMOUNT,x8GMbOCXJX,KES,523.99 
[53197] SET_BUY_TRIGGER,x8GMbOCXJX,CTT,367.94 
[53199] SELL,x8GMbOCXJX,BYA,625.65 
[53208] CANCEL_SET_SELL,x8GMbOCXJX,MIU 
[53237] DISPLAY_SUMMARY,x8GMbOCXJX 
[53349] DISPLAY_SUMMARY,x8GMbOCXJX 
[53380] BUY,x8GMbOCXJX,VEE,224.38 
[53636] COMMIT_BUY,x8GMbOCXJX 
[53652] ADD,x8GMbOCXJX,48251.93 
[53775] QUOTE,x8GMbOCXJX,CXC 
[53827] BUY,x8GMbOCXJX,KZC,712.75 
[54030] COMMIT_BUY,x8GMbOCXJX 
[54041] SET_SELL_AMOUNT,x8GMbOCXJX,KDA,507.89 
[54045] SET_SELL_TRIGGER,x8GMbOCXJX,KDA,295.04 
[54064] BUY,x8GMbOCXJX,OYS,215.73 
[54198] CANCEL_BUY,x8GMbOCXJX 
[54427] SET_SELL_TRIGGER,x8GMbOCXJX,YVX,98.45 
[54436] ADD,x8GMbOCXJX,67355.56 
[54483] BUY,x8GMbOCXJX,LPR,419.98 
[54576] COMMIT_BUY,x8GMbOCXJX 
[54577] SET_SELL_TRIGGER,x8GMbOCXJX,SMS,80.27 
[54928] BUY,x8GMbOCXJX,NVX,327.53 
[55174] COMMIT_BUY,x8GMbOCXJX 
[55189] CANCEL_SET_SELL,x8GMbOCXJX,MER 
[55413] CANCEL_SELL,x8GMbOCXJX 
[55710] QUOTE,x8GMbOCXJX,CEC 
[55845] BUY,x8GMbOCXJX,SSF,324.03 
[56193] COMMIT_BUY,x8GMbOCXJX 
[56297] SELL,x8GMbOCXJX,JCQ,179.42 
[56303] SET_SELL_TRIGGER,x8GMbOCXJX,MIY,196.52 
[56426] ADD,x8GMbOCXJX,69631.18 
[56467] QUOTE,x8GMbOCXJX,ZCO 
[56498] SET_BUY_TRIGGER,x8GMbOCXJX,ZFJ,161.84 
[56510] DISPLAY_SUMMARY,x8GMbOCXJX 
[56716] ADD,x8GMbOCXJX,78150.59 
[56849] SET_BUY_TRIGGER,x8GMbOCXJX,RVU,169.66 
[56926] BUY,x8GMbOCXJX,JGO,328.70 
[57391] COMMIT_BUY,x8GMbOCXJX 
[57453] CANCEL_SET_SELL,x8GMbOCXJX,DBC 
[57528] QUOTE,x8GMbOCXJX,JMX 
[57571] ADD,x8GMbOCXJX,63285.90 
[57616] BUY,x8GMbOCXJX,JPD,237.00 
[57757] SET_BUY_TRIGGER,x8GMbOCXJX,KCA,150.73 
[57776] ADD,x8GMbOCXJX,57008.74 
[57854] SET_BUY_TRIGGER,x8GMbOCXJX,PFK,93.70 
[57881] ADD,x8GMbOCXJX,60319.81 
[57889] BUY,x8GMbOCXJX,QID,215.23 
[57935] COMMIT_BUY,x8GMbOCXJX 
[57965] DISPLAY_SUMMARY,x8GMbOCXJX 
[58013] CANCEL_SET_SELL,x8GMbOCXJX,HPN 
[58240] SET_SELL_AMOUNT,x8GMbOCXJX,JVT,377.56 
[58363] SET_SELL_TRIGGER,x8GMbOCXJX,JVT,307.09 
[58382] QUOTE,x8GMbOCXJX,ZAM 
[58393] BUY,x8GMbOCXJX,LFU,23.20 
[58505] CANCEL_BUY,x8GMbOCXJX 
[58507] SET_SELL_AMOUNT,x8GMbOCXJX,SSF,159.27 
[58541] SET_SELL_TRIGGER,x8GMbOCXJX,SSF,80.54 
[58731] SELL,x8GMbOCXJX,QGE,124.01 
[58785] CANCEL_SELL,x8GMbOCXJX 
[58864] ADD,x8GMbOCXJX,53756.99 
[58939] QUOTE,x8GMbOCXJX,TYV 
[58959] SET_SELL_AMOUNT,x8GMbOCXJX,RNK,679.03 
[59007] SET_SELL_TRIGGER,x8GMbOCXJX,RNK,589.77 
[59087] DISPLAY_SUMMARY,x8GMbOCXJX 
[59114] QUOTE,x8GMbOCXJX,LCP 
[59170] QUOTE,x8GMbOCXJX,EIK 
[59224] QUOTE,x8GMbOCXJX,YCH 
[59279] SET_SELL_AMOUNT,x8GMbOCXJX,CEC,229.00 
[59377] CANCEL_SET_SELL,x8GMbOCXJX,CEC 
[59531] SET_BUY_AMOUNT,x8GMbOCXJX,LFU,253.67 
[59546] SELL,x8GMbOCXJX,RGH,492.59 
[59646] COMMIT_SELL,x8GMbOCXJX 
[59664] BUY,x8GMbOCXJX,URI,166.58 
[59676] SET_SELL_TRIGGER,x8GMbOCXJX,APY,121.54 
[59722] ADD,x8GMbOCXJX,92551.54 
[60240] BUY,x8GMbOCXJX,FFI,464.49 
[60348] QUOTE,x8GMbOCXJX,GJR 
[60377] SET_SELL_TRIGGER,x8GMbOCXJX,YWC,172.53 
[60381] SET_SELL_TRIGGER,x8GMbOCXJX,AJX,91.05 
[60413] ADD,x8GMbOCXJX,83765.46 
[60515] QUOTE,x8GMbOCXJX,XME 
[60590] BUY,x8GMbOCXJX,TQE,366.57 
[60645] COMMIT_BUY,x8GMbOCXJX 
[60715] SET_SELL_TRIGGER,x8GMbOCXJX,OEN,88.11 
[60753] DISPLAY_SUMMARY,x8GMbOCXJX 
[60876] ADD,x8GMbOCXJX,56889.56 
[60886] CANCEL_SET_BUY,x8GMbOCXJX,ZFJ 
[60933] SET_BUY_AMOUNT,x8GMbOCXJX,QGE,306.21 
[60934] SET_BUY_TRIGGER,x8GMbOCXJX,IZJ,231.39 
[61193] ADD,x8GMbOCXJX,62223.39 
[61252] BUY,x8GMbOCXJX,YMG,320.97 
[61313] QUOTE,x8GMbOCXJX,NHG 
[61489] COMMIT_SELL,x8GMbOCXJX 
[61605] ADD,x8GMbOCXJX,72917.25 
[61657] BUY,x8GMbOCXJX,NRY,293.80 
[61658] COMMIT_BUY,x8GMbOCXJX 
[61799] CANCEL_SET_SELL,x8GMbOCXJX,ZKV 
[61850] SELL,x8GMbOCXJX,NHG,424.00 
[61876] CANCEL_BUY,x8GMbOCXJX 
[62047] QUOTE,x8GMbOCXJX,KGA 
[62221] BUY,x8GMbOCXJX,YWC,73.76 
[62310] COMMIT_BUY,x8GMbOCXJX 
[62510] ADD,x8GMbOCXJX,60722.89 
[62620] BUY,x8GMbOCXJX,OBO,527.94 
[62639] SET_BUY_AMOUNT,x8GMbOCXJX,FDI,322.02 
[62721] SET_BUY_TRIGGER,x8GMbOCXJX,KGA,21.73 
[62760] ADD,x8GMbOCXJX,52554.29 
[62882] CANCEL_SET_SELL,x8GMbOCXJX,QGE 
[63056] BUY,x8GMbOCXJX,FTP,411.69 
[63064] COMMIT_BUY,x8GMbOCXJX 
[63136] ADD,x8GMbOCXJX,80781.38 
[63219] BUY,x8GMbOCXJX,DHA,196.83 
[63262] COMMIT_BUY,x8GMbOCXJX 
[63455] BUY,x8GMbOCXJX,OZW,630.50 
[63481] COMMIT_BUY,x8GMbOCXJX 
[63483] SET_SELL_AMOUNT,x8GMbOCXJX,LZV,39.14 
[63558] CANCEL_SET_SELL,x8GMbOCXJX,LZV 
[63576] COMMIT_BUY,x8GMbOCXJX 
[63607] SET_SELL_TRIGGER,x8GMbOCXJX,TQE,35.91 
[63850] SELL,x8GMbOCXJX,QGE,327.88 
[64117] COMMIT_SELL,x8GMbOCXJX 
[64189] SET_BUY_AMOUNT,x8GMbOCXJX,QJZ,611.70 
[64246] SET_BUY_TRIGGER,x8GMbOCXJX,SHP,166.64 
[64267] SET_SELL_TRIGGER,x8GMbOCXJX,ZKV,98.76 
[64300] DISPLAY_SUMMARY,x8GMbOCXJX 
[64365] QUOTE,x8GMbOCXJX,GDO 
[64382] BUY,x8GMbOCXJX,YOG,674.74 
[64518] COMMIT_BUY,x8GMbOCXJX 
[64575] ADD,x8GMbOCXJX,66801.06 
[64650] BUY,x8GMbOCXJX,PMG,11.47 
[64720] CANCEL_BUY,x8GMbOCXJX 
[64787] DISPLAY_SUMMARY,x8GMbOCXJX 
[64812] SET_BUY_TRIGGER,x8GMbOCXJX,ETB,1.79 
[64959] SET_BUY_AMOUNT,x8GMbOCXJX,CSZ,729.07 
[65024] SET_BUY_TRIGGER,x8GMbOCXJX,SOT,4.13 
[65190] SELL,x8GMbOCXJX,SSF,451.57 
[65203] CANCEL_BUY,x8GMbOCXJX 
[65432] BUY,x8GMbOCXJX,YWK,538.76 
[65456] COMMIT_BUY,x8GMbOCXJX 
[65497] DISPLAY_SUMMARY,x8GMbOCXJX 
[65547] QUOTE,x8GMbOCXJX,QHF 
[65664] SET_BUY_AMOUNT,x8GMbOCXJX,NHG,230.39 
[65688] SET_BUY_TRIGGER,x8GMbOCXJX,GMS,8.28 
[65925] ADD,x8GMbOCXJX,89075.86 
[66050] BUY,x8GMbOCXJX,IWL,634.77 
[66106] COMMIT_BUY,x8GMbOCXJX 
[66209] SET_BUY_TRIGGER,x8GMbOCXJX,DBR,30.24 
[66225] DISPLAY_SUMMARY,x8GMbOCXJX 
[66275] SET_BUY_TRIGGER,x8GMbOCXJX,IWL,76.12 
[66281] SET_BUY_AMOUNT,x8GMbOCXJX,UTV,615.43 
[66305] SET_BUY_TRIGGER,x8GMbOCXJX,XAN,34.42 
[66597] SET_BUY_AMOUNT,x8GMbOCXJX,KBN,439.53 
[66613] CANCEL_SET_BUY,x8GMbOCXJX,USW 
[66767] SET_BUY_AMOUNT,x8GMbOCXJX,VTY,255.00 
[66902] SET_BUY_TRIGGER,x8GMbOCXJX,BSG,234.88 
[67005] SET_BUY_AMOUNT,x8GMbOCXJX,PTP,399.49 
[67040] SET_BUY_TRIGGER,x8GMbOCXJX,WCY,12.31 
[67049] BUY,x8GMbOCXJX,ECX,474.02 
[67152] COMMIT_BUY,x8GMbOCXJX 
[67190] SET_BUY_AMOUNT,x8GMbOCXJX,RGH,42.48 
[67246] CANCEL_SET_BUY,x8GMbOCXJX,YJK 
[67295] QUOTE,x8GMbOCXJX,PBX 
[67304] QUOTE,x8GMbOCXJX,KVK 
[67336] DISPLAY_SUMMARY,x8GMbOCXJX 
[67374] DISPLAY_SUMMARY,x8GMbOCXJX 
[67732] SET_SELL_AMOUNT,x8GMbOCXJX,QGE,386.38 
[67880] SET_SELL_TRIGGER,x8GMbOCXJX,QGE,314.12 
[68059] SET_BUY_TRIGGER,x8GMbOCXJX,KWP,16.49 
[68068] BUY,x8GMbOCXJX,IOM,475.18 
[68332] CANCEL_SET_SELL,x8GMbOCXJX,CUQ 
[68446] ADD,x8GMbOCXJX,55524.76 
[68537] BUY,x8GMbOCXJX,VJV,153.29 
[68626] SET_BUY_AMOUNT,x8GMbOCXJX,CSZ,87.03 
[68756] SET_BUY_TRIGGER,x8GMbOCXJX,WBL,22.71 
[68764] DISPLAY_SUMMARY,x8GMbOCXJX 
[68831] QUOTE,x8GMbOCXJX,OZT 
[68894] BUY,x8GMbOCXJX,DJD,325.43 
[68942] SET_BUY_AMOUNT,x8GMbOCXJX,SSF,277.41 
[68952] SET_BUY_TRIGGER,x8GMbOCXJX,OIV,0.02 
[69095] SET_SELL_TRIGGER,x8GMbOCXJX,EOS,105.19 
[69176] DISPLAY_SUMMARY,x8GMbOCXJX 
[69402] CANCEL_BUY,x8GMbOCXJX 
[69568] SELL,x8GMbOCXJX,BYA,57.83 
[69769] CANCEL_SELL,x8GMbOCXJX 
[70036] SET_SELL_AMOUNT,x8GMbOCXJX,JCQ,304.72 
[70075] SELL,x8GMbOCXJX,UBJ,503.61 
[70254] BUY,x8GMbOCXJX,ECX,343.64 
[70275] COMMIT_BUY,x8GMbOCXJX 
[70388] SELL,x8GMbOCXJX,QGE,140.58 
[70508] SET_BUY_TRIGGER,x8GMbOCXJX,AVH,144.29 
[70532] SET_SELL_TRIGGER,x8GMbOCXJX,JCQ,231.12 
[70724] DISPLAY_SUMMARY,x8GMbOCXJX 
[70795] SET_SELL_AMOUNT,x8GMbOCXJX,LFU,487.63 
[70932] SET_SELL_TRIGGER,x8GMbOCXJX,LFU,139.15 
[71002] SET_BUY_AMOUNT,x8GMbOCXJX,KDA,508.33 
[71143] SET_BUY_TRIGGER,x8GMbOCXJX,QTU,58.02 
[71339] DISPLAY_SUMMARY,x8GMbOCXJX 
[71428] CANCEL_SELL,x8GMbOCXJX 
[71483] BUY,x8GMbOCXJX,JKX,743.37 
[71568] DISPLAY_SUMMARY,x8GMbOCXJX 
[71591] QUOTE,x8GMbOCXJX,XYV 
[71810] ADD,x8GMbOCXJX,67704.95 
[71827] BUY,x8GMbOCXJX,JVE,566.79 
[71948] QUOTE,x8GMbOCXJX,MHR 
[71954] BUY,x8GMbOCXJX,MVQ,487.27 
[72090] SELL,x8GMbOCXJX,XLK,738.94 
[72099] COMMIT_SELL,x8GMbOCXJX 
[72146] QUOTE,x8GMbOCXJX,MLU 
[72324] SET_SELL_TRIGGER,x8GMbOCXJX,KXF,36.78 
[72588] ADD,x8GMbOCXJX,58737.44 
[72594] BUY,x8GMbOCXJX,GZQ,218.44 
[72720] SET_SELL_AMOUNT,x8GMbOCXJX,GYF,44.93 
[73277] SET_SELL_TRIGGER,x8GMbOCXJX,GYF,34.55 
[73649] SET_SELL_TRIGGER,x8GMbOCXJX,MUN,66.25 
[73761] CANCEL_BUY,x8GMbOCXJX 
[73803] SET_SELL_TRIGGER,x8GMbOCXJX,PPW,118.72 
[73879] BUY,x8GMbOCXJX,SEI,120.28 
[73881] COMMIT_BUY,x8GMbOCXJX 
[73948] SELL,x8GMbOCXJX,GRM,691.56 
[73973] COMMIT_SELL,x8GMbOCXJX 
[74014] SET_SELL_AMOUNT,x8GMbOCXJX,QAX,337.98 
[74450] SET_SELL_TRIGGER,x8GMbOCXJX,QAX,91.17 
[74488] QUOTE,x8GMbOCXJX,CWA 
[74621] BUY,x8GMbOCXJX,RFI,363.44 
[74644] COMMIT_BUY,x8GMbOCXJX 
[74715] BUY,x8GMbOCXJX,BHJ,445.77 
[74779] SELL,x8GMbOCXJX,YJK,248.90 
[74821] COMMIT_SELL,x8GMbOCXJX 
[74864] QUOTE,x8GMbOCXJX,HVE 
[74913] BUY,x8GMbOCXJX,SFR,693.80 
[74928] COMMIT_BUY,x8GMbOCXJX 
[74963] SET_BUY_AMOUNT,x8GMbOCXJX,XLK,122.00 
[75027] CANCEL_SET_BUY,x8GMbOCXJX,YOG 
[75094] ADD,x8GMbOCXJX,45258.31 
[75114] QUOTE,x8GMbOCXJX,JCL 
[75138] BUY,x8GMbOCXJX,RRE,369.67 
[75160] BUY,x8GMbOCXJX,TJL,381.76 
[75207] CANCEL_SET_SELL,x8GMbOCXJX,TQX 
[75275] SET_SELL_TRIGGER,x8GMbOCXJX,MGK,12.50 
[75319] SET_BUY_TRIGGER,x8GMbOCXJX,XMA,52.08 
[75447] ADD,x8GMbOCXJX,82730.18 
[75690] COMMIT_BUY,x8GMbOCXJX 
[75788] ADD,x8GMbOCXJX,64780.31 
[76046] QUOTE,x8GMbOCXJX,YDS 
[76133] BUY,x8GMbOCXJX,PZE,468.11 
[76200] COMMIT_BUY,x8GMbOCXJX 
[76391] ADD,x8GMbOCXJX,66254.07 
[76655] BUY,x8GMbOCXJX,PWK,228.11 
[76658] COMMIT_BUY,x8GMbOCXJX 
[76735] SET_BUY_TRIGGER,x8GMbOCXJX,IJO,77.02 
[76878] CANCEL_SELL,x8GMbOCXJX 
[76881] ADD,x8GMbOCXJX,65061.96 
[76902] QUOTE,x8GMbOCXJX,ZRH 
[77323] CANCEL_SELL,x8GMbOCXJX 
[77331] SET_BUY_TRIGGER,x8GMbOCXJX,FSD,106.96 
[77393] ADD,x8GMbOCXJX,64565.68 
[77476] CANCEL_SET_SELL,x8GMbOCXJX,ZAV 
[77478] BUY,x8GMbOCXJX,IGT,196.01 
[77513] COMMIT_BUY,x8GMbOCXJX 
[77567] SET_BUY_TRIGGER,x8GMbOCXJX,ALV,109.41 
[77697] SET_BUY_TRIGGER,x8GMbOCXJX,JRY,26.37 
[77824] SET_SELL_TRIGGER,x8GMbOCXJX,RQL,118.46 
[77916] SET_BUY_AMOUNT,x8GMbOCXJX,FQP,544.12 
[78053] SET_BUY_TRIGGER,x8GMbOCXJX,IEQ,450.83 
[78369] SET_SELL_TRIGGER,x8GMbOCXJX,BFB,6.01 
[78386] SET_SELL_TRIGGER,x8GMbOCXJX,MRH,105.23 
[78448] BUY,x8GMbOCXJX,WKE,638.84 
[78522] CANCEL_SET_BUY,x8GMbOCXJX,SOA 
[78600] QUOTE,x8GMbOCXJX,NLT 
[78680] CANCEL_SELL,x8GMbOCXJX 
[78693] ADD,x8GMbOCXJX,60230.74 
[78741] BUY,x8GMbOCXJX,HSJ,348.39 
[78747] DISPLAY_SUMMARY,x8GMbOCXJX 
[78759] ADD,x8GMbOCXJX,43769.17 
[78805] QUOTE,x8GMbOCXJX,IZJ 
[78950] QUOTE,x8GMbOCXJX,KBN 
[78961] DISPLAY_SUMMARY,x8GMbOCXJX 
[78996] SELL,x8GMbOCXJX,CBO,662.73 
[79094] CANCEL_SELL,x8GMbOCXJX 
[79411] SET_BUY_AMOUNT,x8GMbOCXJX,OEY,521.19 
[79493] SET_BUY_TRIGGER,x8GMbOCXJX,CLP,20.66 
[79514] ADD,x8GMbOCXJX,60043.69 
[79575] BUY,x8GMbOCXJX,XOA,81.69 
[79637] CANCEL_SET_BUY,x8GMbOCXJX,QPE 
[79870] ADD,x8GMbOCXJX,91764.60 
[79931] QUOTE,x8GMbOCXJX,AJR 
[80113] SET_BUY_AMOUNT,x8GMbOCXJX,NHG,265.47 
[80127] SET_BUY_TRIGGER,x8GMbOCXJX,SUS,11.80 
[80197] ADD,x8GMbOCXJX,89370.85 
[80227] BUY,x8GMbOCXJX,SQO,278.40 
[80331] BUY,x8GMbOCXJX,PZE,574.82 
[80568] BUY,x8GMbOCXJX,MLT,584.80 
[80852] SET_SELL_TRIGGER,x8GMbOCXJX,CNN,160.51 
[80954] DISPLAY_SUMMARY,x8GMbOCXJX 
[80962] SET_SELL_TRIGGER,x8GMbOCXJX,GFN,12.67 
[81047] CANCEL_SET_BUY,x8GMbOCXJX,JIC 
[81393] SELL,x8GMbOCXJX,MFX,309.47 
[81589] CANCEL_SELL,x8GMbOCXJX 
[81667] ADD,x8GMbOCXJX,56181.44 
[81675] BUY,x8GMbOCXJX,FTB,221.71 
[81719] SET_SELL_AMOUNT,x8GMbOCXJX,KBN,169.90 
[81883] QUOTE,x8GMbOCXJX,ENQ 
[81950] QUOTE,x8GMbOCXJX,RRZ 
[82176] COMMIT_SELL,x8GMbOCXJX 
[82315] DISPLAY_SUMMARY,x8GMbOCXJX 
[82540] CANCEL_SET_SELL,x8GMbOCXJX,KBN 
[82593] SET_BUY_AMOUNT,x8GMbOCXJX,QVK,225.00 
[82603] SET_BUY_TRIGGER,x8GMbOCXJX,DIX,204.11 
[82740] COMMIT_SELL,x8GMbOCXJX 
[82997] SET_BUY_AMOUNT,x8GMbOCXJX,KYX,6.20 
[83150] CANCEL_SET_BUY,x8GMbOCXJX,SWD 
[83322] ADD,x8GMbOCXJX,87641.58 
[83469] BUY,x8GMbOCXJX,MIY,734.77 
[83472] BUY,x8GMbOCXJX,LPR,561.28 
[83494] COMMIT_BUY,x8GMbOCXJX 
[83506] ADD,x8GMbOCXJX,69555.52 
[83718] QUOTE,x8GMbOCXJX,AJX 
[83828] SET_BUY_AMOUNT,x8GMbOCXJX,UIE,475.59 
[83835] SET_BUY_TRIGGER,x8GMbOCXJX,IJO,5.51 
[83892] SELL,x8GMbOCXJX,IQJ,618.89 
[83929] QUOTE,x8GMbOCXJX,VOU 
[83945] ADD,x8GMbOCXJX,84967.88 
[83984] BUY,x8GMbOCXJX,WNH,261.66 
[84051] QUOTE,x8GMbOCXJX,GYF 
[84212] CANCEL_BUY,x8GMbOCXJX 
[84225] ADD,x8GMbOCXJX,74484.63 
[84427] BUY,x8GMbOCXJX,VJB,48.36 
[84502] COMMIT_BUY,x8GMbOCXJX 
[84541] ADD,x8GMbOCXJX,81279.75 
[84604] BUY,x8GMbOCXJX,THH,52.63 
[84658] COMMIT_BUY,x8GMbOCXJX 
[84772] ADD,x8GMbOCXJX,59898.98 
[84861] QUOTE,x8GMbOCXJX,GAN 
[85115] CANCEL_SET_SELL,x8GMbOCXJX,LQN 
[85130] DISPLAY_SUMMARY,x8GMbOCXJX 
[85166] BUY,x8GMbOCXJX,SCK,232.83 
[85299] COMMIT_BUY,x8GMbOCXJX 
[85373] SET_BUY_TRIGGER,x8GMbOCXJX,OGR,1.04 
[85467] SET_BUY_AMOUNT,x8GMbOCXJX,RNK,355.85 
[85500] CANCEL_SET_BUY,x8GMbOCXJX,PST 
[85531] SET_SELL_AMOUNT,x8GMbOCXJX,CBO,664.50 
[85570] DISPLAY_SUMMARY,x8GMbOCXJX 
[85789] BUY,x8GMbOCXJX,IFN,636.76 
[85916] COMMIT_BUY,x8GMbOCXJX 
[85997] SELL,x8GMbOCXJX,GYF,598.41 
[86902] SET_BUY_TRIGGER,x8GMbOCXJX,UGG,76.67 
[86936] BUY,x8GMbOCXJX,AMI,700.18 
[87142] DISPLAY_SUMMARY,x8GMbOCXJX 
[87146] SET_BUY_TRIGGER,x8GMbOCXJX,XEA,108.04 
[87286] QUOTE,x8GMbOCXJX,QPE 
[87332] DISPLAY_SUMMARY,x8GMbOCXJX 
[87408] BUY,x8GMbOCXJX,IEQ,415.88 
[87418] COMMIT_BUY,x8GMbOCXJX 
[87444] DISPLAY_SUMMARY,x8GMbOCXJX 
[87561] SELL,x8GMbOCXJX,UIE,300.32 
[87581] COMMIT_SELL,x8GMbOCXJX 
[87601] BUY,x8GMbOCXJX,NJB,374.14 
[87679] COMMIT_BUY,x8GMbOCXJX 
[87709] ADD,x8GMbOCXJX,62151.23 
[87877] BUY,x8GMbOCXJX,YGK,385.03 
[87988] COMMIT_BUY,x8GMbOCXJX 
[88383] ADD,x8GMbOCXJX,70009.29 
[88516] BUY,x8GMbOCXJX,LJY,248.86 
[88530] COMMIT_SELL,x8GMbOCXJX 
[88675] SET_SELL_TRIGGER,x8GMbOCXJX,CBO,379.02 
[88689] DISPLAY_SUMMARY,x8GMbOCXJX 
[88755] SELL,x8GMbOCXJX,MXD,654.73 
[88888] SELL,x8GMbOCXJX,EBS,206.14 
[88947] COMMIT_SELL,x8GMbOCXJX 
[89172] BUY,x8GMbOCXJX,OEY,320.98 
[89182] SET_SELL_AMOUNT,x8GMbOCXJX,NHG,235.38 
[89257] CANCEL_SET_SELL,x8GMbOCXJX,NHG 
[89321] ADD,x8GMbOCXJX,52332.82 
[89329] QUOTE,x8GMbOCXJX,CTT 
[89521] BUY,x8GMbOCXJX,BRZ,575.75 
[89556] COMMIT_SELL,x8GMbOCXJX 
[89637] DISPLAY_SUMMARY,x8GMbOCXJX 
