[55] ADD,oAd3QaqYgz,97860.18 
[41472] DISPLAY_SUMMARY,oAd3QaqYgz 
[41552] SET_SELL_AMOUNT,oAd3QaqYgz,BCQ,309.01 
[41714] SELL,oAd3QaqYgz,DFE,625.39 
[41767] CANCEL_BUY,oAd3QaqYgz 
[41928] ADD,oAd3QaqYgz,68036.59 
[41965] BUY,oAd3QaqYgz,MLU,509.82 
[42058] COMMIT_BUY,oAd3QaqYgz 
[42104] DISPLAY_SUMMARY,oAd3QaqYgz 
[42211] CANCEL_SELL,oAd3QaqYgz 
[42309] SET_BUY_AMOUNT,oAd3QaqYgz,JVT,366.84 
[42337] SET_BUY_TRIGGER,oAd3QaqYgz,UDQ,92.52 
[42346] SET_SELL_TRIGGER,oAd3QaqYgz,BCQ,290.45 
[42419] SET_SELL_TRIGGER,oAd3QaqYgz,JXW,4.24 
[42430] ADD,oAd3QaqYgz,45094.38 
[42511] QUOTE,oAd3QaqYgz,RQL 
[42699] QUOTE,oAd3QaqYgz,NTT 
[42723] DISPLAY_SUMMARY,oAd3QaqYgz 
[42786] SET_SELL_AMOUNT,oAd3QaqYgz,JVT,311.95 
[42788] SET_SELL_TRIGGER,oAd3QaqYgz,JVT,245.28 
[42939] SET_BUY_TRIGGER,oAd3QaqYgz,JTX,12.44 
[43109] ADD,oAd3QaqYgz,74971.72 
[43124] QUOTE,oAd3QaqYgz,SQO 
[43227] ADD,oAd3QaqYgz,61532.53 
[43417] QUOTE,oAd3QaqYgz,FIW 
[43619] SET_BUY_TRIGGER,oAd3QaqYgz,OZW,136.46 
[43784] SET_SELL_AMOUNT,oAd3QaqYgz,ZTI,28.88 
[43867] SET_SELL_TRIGGER,oAd3QaqYgz,ZTI,21.47 
[43935] SET_SELL_AMOUNT,oAd3QaqYgz,RNK,349.28 
[44424] DISPLAY_SUMMARY,oAd3QaqYgz 
[44565] SELL,oAd3QaqYgz,BYA,456.15 
[44814] COMMIT_SELL,oAd3QaqYgz 
[44890] CANCEL_SET_BUY,oAd3QaqYgz,INB 
[44973] ADD,oAd3QaqYgz,94499.76 
[45018] QUOTE,oAd3QaqYgz,WLT 
[45356] QUOTE,oAd3QaqYgz,MLU 
[45501] QUOTE,oAd3QaqYgz,HTD 
[45586] QUOTE,oAd3QaqYgz,EJW 
[45603] BUY,oAd3QaqYgz,DTG,258.52 
[45652] SET_SELL_AMOUNT,oAd3QaqYgz,FQP,744.50 
[45794] SET_SELL_TRIGGER,oAd3QaqYgz,FQP,259.83 
[45937] ADD,oAd3QaqYgz,85806.53 
[46083] BUY,oAd3QaqYgz,ZTI,29.65 
[46325] COMMIT_BUY,oAd3QaqYgz 
[46391] ADD,oAd3QaqYgz,58342.57 
[46412] QUOTE,oAd3QaqYgz,IPH 
[46550] CANCEL_SET_BUY,oAd3QaqYgz,XMA 
[46704] COMMIT_BUY,oAd3QaqYgz 
[46729] SELL,oAd3QaqYgz,ZTI,702.87 
[46763] COMMIT_SELL,oAd3QaqYgz 
[46786] SET_SELL_AMOUNT,oAd3QaqYgz,RGH,194.69 
[46831] SET_SELL_TRIGGER,oAd3QaqYgz,RGH,108.70 
[46925] ADD,oAd3QaqYgz,61083.55 
[46994] SET_SELL_AMOUNT,oAd3QaqYgz,BYA,289.44 
[47040] SET_SELL_TRIGGER,oAd3QaqYgz,BYA,180.52 
[47149] SET_SELL_TRIGGER,oAd3QaqYgz,MRK,39.21 
[47197] QUOTE,oAd3QaqYgz,HIW 
[47228] BUY,oAd3QaqYgz,VEN,415.48 
[47279] SET_BUY_AMOUNT,oAd3QaqYgz,JRJ,599.65 
[47448] CANCEL_SET_BUY,oAd3QaqYgz,BRZ 
[47498] ADD,oAd3QaqYgz,58143.07 
[47634] QUOTE,oAd3QaqYgz,URA 
[47740] SET_BUY_TRIGGER,oAd3QaqYgz,OSC,4.82 
[47832] BUY,oAd3QaqYgz,KYX,740.03 
[47933] COMMIT_BUY,oAd3QaqYgz 
[47949] SET_SELL_TRIGGER,oAd3QaqYgz,JMG,39.51 
[47952] SELL,oAd3QaqYgz,BCQ,110.28 
[47977] COMMIT_SELL,oAd3QaqYgz 
[48418] BUY,oAd3QaqYgz,SMS,667.58 
[48423] SELL,oAd3QaqYgz,QAX,602.30 
[48428] COMMIT_BUY,oAd3QaqYgz 
[48429] SET_SELL_TRIGGER,oAd3QaqYgz,BPE,36.53 
[48512] ADD,oAd3QaqYgz,66330.72 
[48555] QUOTE,oAd3QaqYgz,YDD 
[48850] BUY,oAd3QaqYgz,DHA,405.48 
[48878] SELL,oAd3QaqYgz,JRJ,51.40 
[48909] QUOTE,oAd3QaqYgz,LBC 
[48932] ADD,oAd3QaqYgz,51334.64 
[49013] BUY,oAd3QaqYgz,WAI,698.88 
[49028] COMMIT_BUY,oAd3QaqYgz 
[49334] SET_SELL_AMOUNT,oAd3QaqYgz,OPN,100.13 
[49352] DISPLAY_SUMMARY,oAd3QaqYgz 
[49624] SET_BUY_AMOUNT,oAd3QaqYgz,KDA,63.61 
[49680] BUY,oAd3QaqYgz,RKQ,111.82 
[49844] COMMIT_BUY,oAd3QaqYgz 
[49919] DISPLAY_SUMMARY,oAd3QaqYgz 
[49956] ADD,oAd3QaqYgz,93246.50 
[50023] QUOTE,oAd3QaqYgz,SYU 
[50118] DISPLAY_SUMMARY,oAd3QaqYgz 
[50441] QUOTE,oAd3QaqYgz,MVQ 
[50516] BUY,oAd3QaqYgz,XCL,232.00 
[50688] SET_BUY_AMOUNT,oAd3QaqYgz,ZAN,397.19 
[50772] SET_BUY_TRIGGER,oAd3QaqYgz,ALG,388.47 
[50805] SET_BUY_AMOUNT,oAd3QaqYgz,NHG,41.45 
[51124] SET_BUY_TRIGGER,oAd3QaqYgz,IKK,28.60 
[51245] DISPLAY_SUMMARY,oAd3QaqYgz 
[51356] COMMIT_SELL,oAd3QaqYgz 
[51485] ADD,oAd3QaqYgz,70194.12 
[51519] QUOTE,oAd3QaqYgz,JNO 
[51542] BUY,oAd3QaqYgz,XUY,745.62 
[51555] SET_BUY_TRIGGER,oAd3QaqYgz,KQZ,129.52 
[51569] ADD,oAd3QaqYgz,76274.29 
[51588] COMMIT_BUY,oAd3QaqYgz 
[51618] COMMIT_SELL,oAd3QaqYgz 
[51678] DISPLAY_SUMMARY,oAd3QaqYgz 
[51730] BUY,oAd3QaqYgz,KWP,267.78 
[51749] COMMIT_BUY,oAd3QaqYgz 
[51841] CANCEL_SET_BUY,oAd3QaqYgz,KAO 
[51938] BUY,oAd3QaqYgz,SEW,276.44 
[52072] COMMIT_BUY,oAd3QaqYgz 
[52371] BUY,oAd3QaqYgz,STO,701.13 
[52539] CANCEL_BUY,oAd3QaqYgz 
[52660] QUOTE,oAd3QaqYgz,JYV 
[52682] QUOTE,oAd3QaqYgz,HFI 
[52721] BUY,oAd3QaqYgz,FQR,688.88 
[52764] CANCEL_BUY,oAd3QaqYgz 
[52901] QUOTE,oAd3QaqYgz,XMA 
[52910] CANCEL_BUY,oAd3QaqYgz 
[52943] DISPLAY_SUMMARY,oAd3QaqYgz 
[52945] SET_BUY_TRIGGER,oAd3QaqYgz,LBC,181.87 
[53051] SET_SELL_TRIGGER,oAd3QaqYgz,OPN,38.11 
[53283] CANCEL_SET_SELL,oAd3QaqYgz,XWZ 
[53464] SET_BUY_AMOUNT,oAd3QaqYgz,XLK,26.85 
[53674] SET_BUY_TRIGGER,oAd3QaqYgz,PPY,6.94 
[53731] SELL,oAd3QaqYgz,JQO,541.47 
[53914] CANCEL_SELL,oAd3QaqYgz 
[53990] QUOTE,oAd3QaqYgz,WGP 
[54083] SET_BUY_TRIGGER,oAd3QaqYgz,MGO,103.28 
[54088] ADD,oAd3QaqYgz,49701.75 
[54107] QUOTE,oAd3QaqYgz,KDA 
[54120] SET_BUY_AMOUNT,oAd3QaqYgz,FQP,432.03 
[54372] SET_BUY_TRIGGER,oAd3QaqYgz,ZJB,235.01 
[54466] SET_SELL_AMOUNT,oAd3QaqYgz,QJZ,407.78 
[54469] SET_SELL_TRIGGER,oAd3QaqYgz,QJZ,72.07 
[54606] QUOTE,oAd3QaqYgz,DNJ 
[54631] BUY,oAd3QaqYgz,NVX,566.21 
[54659] COMMIT_BUY,oAd3QaqYgz 
[54724] SET_BUY_AMOUNT,oAd3QaqYgz,XLK,715.75 
[54747] SET_BUY_TRIGGER,oAd3QaqYgz,PFN,247.38 
[54811] DISPLAY_SUMMARY,oAd3QaqYgz 
[54833] ADD,oAd3QaqYgz,59386.66 
[54844] QUOTE,oAd3QaqYgz,YCH 
[54846] BUY,oAd3QaqYgz,CXC,512.17 
[54866] COMMIT_BUY,oAd3QaqYgz 
[54886] BUY,oAd3QaqYgz,CTS,96.39 
[55001] SET_SELL_TRIGGER,oAd3QaqYgz,RFC,120.98 
[55147] ADD,oAd3QaqYgz,71359.13 
[55448] COMMIT_BUY,oAd3QaqYgz 
[55526] SELL,oAd3QaqYgz,JZJ,398.21 
[55799] COMMIT_SELL,oAd3QaqYgz 
[55998] QUOTE,oAd3QaqYgz,RGM 
[56143] SET_BUY_AMOUNT,oAd3QaqYgz,LFU,496.85 
[56158] SET_BUY_TRIGGER,oAd3QaqYgz,WQE,407.84 
[56460] SET_BUY_AMOUNT,oAd3QaqYgz,BYA,262.44 
[56537] SET_BUY_TRIGGER,oAd3QaqYgz,GAV,249.41 
[56608] QUOTE,oAd3QaqYgz,EUC 
[56685] BUY,oAd3QaqYgz,LBC,446.21 
[56720] COMMIT_BUY,oAd3QaqYgz 
[56830] SET_SELL_TRIGGER,oAd3QaqYgz,JYV,94.72 
[57203] QUOTE,oAd3QaqYgz,GWF 
[57244] COMMIT_SELL,oAd3QaqYgz 
[57297] SET_SELL_TRIGGER,oAd3QaqYgz,MJU,55.99 
[57385] DISPLAY_SUMMARY,oAd3QaqYgz 
[57405] QUOTE,oAd3QaqYgz,FTP 
[57447] DISPLAY_SUMMARY,oAd3QaqYgz 
[57502] SELL,oAd3QaqYgz,QAX,152.89 
[57514] COMMIT_SELL,oAd3QaqYgz 
[57690] ADD,oAd3QaqYgz,74823.48 
[57805] QUOTE,oAd3QaqYgz,WQC 
[57858] BUY,oAd3QaqYgz,VEE,424.90 
[57997] SET_BUY_TRIGGER,oAd3QaqYgz,MVD,51.55 
[58384] ADD,oAd3QaqYgz,80182.49 
[58446] QUOTE,oAd3QaqYgz,CNN 
[58640] QUOTE,oAd3QaqYgz,BPP 
[58713] BUY,oAd3QaqYgz,OSC,465.67 
[58757] COMMIT_BUY,oAd3QaqYgz 
[58769] DISPLAY_SUMMARY,oAd3QaqYgz 
[58782] SET_SELL_TRIGGER,oAd3QaqYgz,BUL,56.73 
[58838] BUY,oAd3QaqYgz,WPG,710.02 
[58880] COMMIT_BUY,oAd3QaqYgz 
[58903] ADD,oAd3QaqYgz,79254.08 
[58983] BUY,oAd3QaqYgz,LFU,561.59 
[59000] COMMIT_BUY,oAd3QaqYgz 
[59237] BUY,oAd3QaqYgz,VKP,334.80 
[59396] COMMIT_BUY,oAd3QaqYgz 
[59450] SELL,oAd3QaqYgz,DFE,4.07 
[59596] COMMIT_SELL,oAd3QaqYgz 
[59599] DISPLAY_SUMMARY,oAd3QaqYgz 
[59712] SET_SELL_TRIGGER,oAd3QaqYgz,LVT,185.99 
[59746] DISPLAY_SUMMARY,oAd3QaqYgz 
[59954] DISPLAY_SUMMARY,oAd3QaqYgz 
[60070] SET_BUY_TRIGGER,oAd3QaqYgz,QPZ,181.37 
[60075] SET_SELL_AMOUNT,oAd3QaqYgz,UTV,105.17 
[60084] CANCEL_SET_SELL,oAd3QaqYgz,UTV 
[60107] BUY,oAd3QaqYgz,IGT,742.73 
[60630] COMMIT_BUY,oAd3QaqYgz 
[60659] DISPLAY_SUMMARY,oAd3QaqYgz 
[60709] ADD,oAd3QaqYgz,57459.43 
[60720] DISPLAY_SUMMARY,oAd3QaqYgz 
[60790] SET_SELL_AMOUNT,oAd3QaqYgz,RNK,503.25 
[60828] SET_SELL_TRIGGER,oAd3QaqYgz,RNK,475.56 
[60851] ADD,oAd3QaqYgz,55360.84 
[60958] SET_SELL_AMOUNT,oAd3QaqYgz,XLK,320.93 
[60979] SET_SELL_TRIGGER,oAd3QaqYgz,XLK,314.15 
[61035] ADD,oAd3QaqYgz,81336.72 
[61213] BUY,oAd3QaqYgz,MIQ,79.55 
[61246] QUOTE,oAd3QaqYgz,IPH 
[61378] BUY,oAd3QaqYgz,LPW,211.43 
[61463] COMMIT_BUY,oAd3QaqYgz 
[61500] CANCEL_SET_SELL,oAd3QaqYgz,CBX 
[61742] SET_BUY_AMOUNT,oAd3QaqYgz,SUS,471.69 
[61851] SET_BUY_TRIGGER,oAd3QaqYgz,CMA,302.09 
[61865] SELL,oAd3QaqYgz,BCQ,539.99 
[61896] COMMIT_SELL,oAd3QaqYgz 
[62148] BUY,oAd3QaqYgz,IZS,557.96 
[62332] CANCEL_SET_BUY,oAd3QaqYgz,ZTI 
[62696] SET_SELL_TRIGGER,oAd3QaqYgz,ZUV,115.11 
[62748] QUOTE,oAd3QaqYgz,ZLY 
[62952] ADD,oAd3QaqYgz,55125.92 
[62976] QUOTE,oAd3QaqYgz,TKM 
[63126] SET_BUY_AMOUNT,oAd3QaqYgz,JZJ,125.24 
[63150] SET_BUY_TRIGGER,oAd3QaqYgz,HNW,73.72 
[63366] SET_SELL_TRIGGER,oAd3QaqYgz,UJC,136.92 
[63408] SET_BUY_TRIGGER,oAd3QaqYgz,PHZ,101.82 
[63535] SET_BUY_AMOUNT,oAd3QaqYgz,BYA,157.27 
[63539] SET_BUY_TRIGGER,oAd3QaqYgz,OLI,90.44 
[63642] ADD,oAd3QaqYgz,74840.25 
[63796] BUY,oAd3QaqYgz,IOY,349.18 
[63865] COMMIT_BUY,oAd3QaqYgz 
[64055] CANCEL_SET_SELL,oAd3QaqYgz,FCH 
[64389] SET_BUY_AMOUNT,oAd3QaqYgz,UIE,672.28 
[64390] SET_BUY_TRIGGER,oAd3QaqYgz,VUS,527.39 
[64741] SELL,oAd3QaqYgz,JVT,164.07 
[64799] COMMIT_SELL,oAd3QaqYgz 
[64922] SET_SELL_AMOUNT,oAd3QaqYgz,OEY,700.23 
[65097] SET_SELL_TRIGGER,oAd3QaqYgz,OEY,647.55 
[65146] DISPLAY_SUMMARY,oAd3QaqYgz 
[65160] DISPLAY_SUMMARY,oAd3QaqYgz 
[65219] ADD,oAd3QaqYgz,68904.22 
[65234] QUOTE,oAd3QaqYgz,RGM 
[65275] BUY,oAd3QaqYgz,BTP,350.00 
[65419] COMMIT_BUY,oAd3QaqYgz 
[65463] SET_SELL_TRIGGER,oAd3QaqYgz,YBO,36.00 
[65514] DISPLAY_SUMMARY,oAd3QaqYgz 
[65590] CANCEL_SET_BUY,oAd3QaqYgz,QAX 
[65705] QUOTE,oAd3QaqYgz,MIU 
[65781] SET_BUY_AMOUNT,oAd3QaqYgz,UTV,620.60 
[65790] SET_BUY_TRIGGER,oAd3QaqYgz,GRD,487.01 
[65820] SET_SELL_TRIGGER,oAd3QaqYgz,LMO,48.34 
[65871] SET_BUY_AMOUNT,oAd3QaqYgz,NHG,314.61 
[65937] SET_BUY_TRIGGER,oAd3QaqYgz,PIC,208.07 
[66182] CANCEL_SET_SELL,oAd3QaqYgz,SKC 
[66223] DISPLAY_SUMMARY,oAd3QaqYgz 
[66335] CANCEL_SET_SELL,oAd3QaqYgz,LKV 
[66511] SET_BUY_AMOUNT,oAd3QaqYgz,LFU,175.21 
[66516] SET_BUY_TRIGGER,oAd3QaqYgz,UMN,144.92 
[66779] BUY,oAd3QaqYgz,PXS,580.18 
[66901] SET_BUY_AMOUNT,oAd3QaqYgz,NHG,684.45 
[67138] SET_BUY_TRIGGER,oAd3QaqYgz,OOI,326.03 
[67146] DISPLAY_SUMMARY,oAd3QaqYgz 
[67332] COMMIT_BUY,oAd3QaqYgz 
[67379] SET_SELL_TRIGGER,oAd3QaqYgz,VVW,56.10 
[67543] DISPLAY_SUMMARY,oAd3QaqYgz 
[67602] SELL,oAd3QaqYgz,XLK,592.49 
[67909] COMMIT_SELL,oAd3QaqYgz 
[67933] ADD,oAd3QaqYgz,80511.44 
[68033] BUY,oAd3QaqYgz,WKL,724.00 
[68139] QUOTE,oAd3QaqYgz,EHF 
[68142] BUY,oAd3QaqYgz,NZS,738.63 
[68282] QUOTE,oAd3QaqYgz,QBD 
[68411] SET_BUY_TRIGGER,oAd3QaqYgz,WJB,147.91 
[68413] ADD,oAd3QaqYgz,72351.67 
[68487] BUY,oAd3QaqYgz,NDO,82.21 
[68559] COMMIT_BUY,oAd3QaqYgz 
[68579] QUOTE,oAd3QaqYgz,NVX 
[68875] BUY,oAd3QaqYgz,OYW,398.83 
[68882] CANCEL_SET_BUY,oAd3QaqYgz,WGV 
[68911] SELL,oAd3QaqYgz,FDI,508.70 
[69108] ADD,oAd3QaqYgz,41882.71 
[69166] BUY,oAd3QaqYgz,PCR,606.19 
[69204] BUY,oAd3QaqYgz,GPL,53.63 
[69271] COMMIT_BUY,oAd3QaqYgz 
[69410] QUOTE,oAd3QaqYgz,IZS 
[69428] BUY,oAd3QaqYgz,MWM,176.07 
[69442] COMMIT_BUY,oAd3QaqYgz 
[69495] ADD,oAd3QaqYgz,70115.51 
[69542] BUY,oAd3QaqYgz,VMT,23.41 
[69802] BUY,oAd3QaqYgz,OEY,436.60 
[70052] CANCEL_BUY,oAd3QaqYgz 
[70143] ADD,oAd3QaqYgz,91118.39 
[70222] BUY,oAd3QaqYgz,FCM,633.47 
[70224] DISPLAY_SUMMARY,oAd3QaqYgz 
[70449] QUOTE,oAd3QaqYgz,MKE 
[70624] SELL,oAd3QaqYgz,CSZ,343.87 
[70635] CANCEL_SELL,oAd3QaqYgz 
[70642] CANCEL_SET_SELL,oAd3QaqYgz,SNU 
[70682] SET_SELL_TRIGGER,oAd3QaqYgz,GTB,5.43 
[70748] BUY,oAd3QaqYgz,GHL,121.94 
[70801] COMMIT_BUY,oAd3QaqYgz 
[70987] DISPLAY_SUMMARY,oAd3QaqYgz 
[71366] ADD,oAd3QaqYgz,88196.19 
[71454] BUY,oAd3QaqYgz,RFI,406.05 
[71509] COMMIT_BUY,oAd3QaqYgz 
[71584] DISPLAY_SUMMARY,oAd3QaqYgz 
[71709] SET_SELL_AMOUNT,oAd3QaqYgz,LFU,487.69 
[71793] SET_SELL_TRIGGER,oAd3QaqYgz,LFU,280.33 
[71974] DISPLAY_SUMMARY,oAd3QaqYgz 
[71991] ADD,oAd3QaqYgz,70194.33 
[71997] BUY,oAd3QaqYgz,IZS,195.80 
[72024] COMMIT_BUY,oAd3QaqYgz 
[72225] SET_BUY_TRIGGER,oAd3QaqYgz,JYV,95.90 
[72414] CANCEL_BUY,oAd3QaqYgz 
[72520] BUY,oAd3QaqYgz,YEH,186.22 
[72522] CANCEL_BUY,oAd3QaqYgz 
[72529] SET_SELL_TRIGGER,oAd3QaqYgz,GXT,99.03 
[72533] SELL,oAd3QaqYgz,FDI,58.86 
[72597] COMMIT_SELL,oAd3QaqYgz 
[72820] DISPLAY_SUMMARY,oAd3QaqYgz 
[72868] SELL,oAd3QaqYgz,OZO,160.55 
[72929] SET_BUY_TRIGGER,oAd3QaqYgz,SKW,31.28 
[73091] CANCEL_SET_SELL,oAd3QaqYgz,KYX 
[73099] CANCEL_BUY,oAd3QaqYgz 
[73370] ADD,oAd3QaqYgz,50323.55 
[73376] QUOTE,oAd3QaqYgz,NTT 
[73552] SET_BUY_TRIGGER,oAd3QaqYgz,VNO,142.60 
[73626] QUOTE,oAd3QaqYgz,ENQ 
[73667] CANCEL_SELL,oAd3QaqYgz 
[73668] SET_BUY_AMOUNT,oAd3QaqYgz,NHG,273.98 
[73673] SET_BUY_TRIGGER,oAd3QaqYgz,RRT,69.47 
[73683] ADD,oAd3QaqYgz,74722.01 
[73776] SET_SELL_TRIGGER,oAd3QaqYgz,OZW,128.13 
[73778] SELL,oAd3QaqYgz,MXD,58.48 
[73797] COMMIT_SELL,oAd3QaqYgz 
[73849] SELL,oAd3QaqYgz,QVK,576.45 
[73853] COMMIT_SELL,oAd3QaqYgz 
[73923] DISPLAY_SUMMARY,oAd3QaqYgz 
[73925] ADD,oAd3QaqYgz,79547.98 
[73952] QUOTE,oAd3QaqYgz,QTU 
[74199] QUOTE,oAd3QaqYgz,BWL 
[74316] BUY,oAd3QaqYgz,DWX,593.39 
[74375] BUY,oAd3QaqYgz,JYV,292.78 
[74438] COMMIT_BUY,oAd3QaqYgz 
[74501] DISPLAY_SUMMARY,oAd3QaqYgz 
[74543] ADD,oAd3QaqYgz,68354.74 
[74613] BUY,oAd3QaqYgz,JMG,305.55 
[74669] DISPLAY_SUMMARY,oAd3QaqYgz 
[74756] ADD,oAd3QaqYgz,77168.52 
[74903] BUY,oAd3QaqYgz,MLT,296.07 
[75047] COMMIT_BUY,oAd3QaqYgz 
[75081] BUY,oAd3QaqYgz,HSJ,437.21 
[75105] CANCEL_SET_BUY,oAd3QaqYgz,SYL 
[75249] DISPLAY_SUMMARY,oAd3QaqYgz 
[75290] SET_BUY_TRIGGER,oAd3QaqYgz,SYT,92.21 
[75417] SET_BUY_TRIGGER,oAd3QaqYgz,ZZN,84.48 
[75423] ADD,oAd3QaqYgz,80218.55 
[75510] CANCEL_SET_BUY,oAd3QaqYgz,SCK 
[75522] QUOTE,oAd3QaqYgz,GHL 
[75543] BUY,oAd3QaqYgz,YRL,719.20 
[75634] CANCEL_SET_BUY,oAd3QaqYgz,STT 
[75644] SELL,oAd3QaqYgz,UBJ,554.34 
[75646] CANCEL_SELL,oAd3QaqYgz 
[75702] ADD,oAd3QaqYgz,76649.49 
[75836] BUY,oAd3QaqYgz,QNK,522.40 
[75916] SET_SELL_AMOUNT,oAd3QaqYgz,LFU,221.23 
[76019] BUY,oAd3QaqYgz,TVP,562.20 
[76242] CANCEL_BUY,oAd3QaqYgz 
[76246] SET_SELL_TRIGGER,oAd3QaqYgz,LFU,94.85 
[76267] ADD,oAd3QaqYgz,60924.79 
[76324] BUY,oAd3QaqYgz,IFC,362.33 
[76796] COMMIT_BUY,oAd3QaqYgz 
[76920] DISPLAY_SUMMARY,oAd3QaqYgz 
[76926] ADD,oAd3QaqYgz,102250.14 
[77051] BUY,oAd3QaqYgz,YNY,276.74 
[77117] CANCEL_BUY,oAd3QaqYgz 
[77202] SELL,oAd3QaqYgz,ZAN,206.41 
[77223] DISPLAY_SUMMARY,oAd3QaqYgz 
[77290] DISPLAY_SUMMARY,oAd3QaqYgz 
[77441] DISPLAY_SUMMARY,oAd3QaqYgz 
[77647] SET_BUY_TRIGGER,oAd3QaqYgz,WOJ,111.75 
[77664] ADD,oAd3QaqYgz,56170.58 
[77694] CANCEL_SELL,oAd3QaqYgz 
[77743] SET_BUY_TRIGGER,oAd3QaqYgz,HMR,84.49 
[77753] QUOTE,oAd3QaqYgz,RXB 
[77810] QUOTE,oAd3QaqYgz,FGI 
[77980] BUY,oAd3QaqYgz,IAV,158.06 
[78007] COMMIT_BUY,oAd3QaqYgz 
[78045] SET_SELL_AMOUNT,oAd3QaqYgz,KBN,142.05 
[78104] SET_SELL_TRIGGER,oAd3QaqYgz,KBN,44.74 
[78261] COMMIT_BUY,oAd3QaqYgz 
[78345] ADD,oAd3QaqYgz,82440.21 
[79308] BUY,oAd3QaqYgz,YGK,353.20 
[79443] COMMIT_BUY,oAd3QaqYgz 
[79527] DISPLAY_SUMMARY,oAd3QaqYgz 
[79605] ADD,oAd3QaqYgz,59726.91 
[79624] BUY,oAd3QaqYgz,XDN,466.27 
[79722] COMMIT_BUY,oAd3QaqYgz 
[79903] SET_SELL_TRIGGER,oAd3QaqYgz,ZGC,37.38 
[79908] ADD,oAd3QaqYgz,93550.99 
[80040] QUOTE,oAd3QaqYgz,LUD 
[80104] QUOTE,oAd3QaqYgz,FFZ 
[80141] DISPLAY_SUMMARY,oAd3QaqYgz 
[80198] DISPLAY_SUMMARY,oAd3QaqYgz 
[80295] SET_SELL_TRIGGER,oAd3QaqYgz,URY,16.68 
[80472] DISPLAY_SUMMARY,oAd3QaqYgz 
[80548] COMMIT_SELL,oAd3QaqYgz 
[80566] DISPLAY_SUMMARY,oAd3QaqYgz 
[80640] SELL,oAd3QaqYgz,SSF,35.91 
[80643] SET_BUY_TRIGGER,oAd3QaqYgz,NHB,123.06 
[80689] ADD,oAd3QaqYgz,56104.29 
[80722] QUOTE,oAd3QaqYgz,ESN 
[80881] COMMIT_SELL,oAd3QaqYgz 
[80966] CANCEL_BUY,oAd3QaqYgz 
[81088] CANCEL_SET_SELL,oAd3QaqYgz,TZJ 
[81139] QUOTE,oAd3QaqYgz,JNO 
[81181] COMMIT_BUY,oAd3QaqYgz 
[81509] BUY,oAd3QaqYgz,TKM,746.49 
[81538] SET_BUY_AMOUNT,oAd3QaqYgz,IQJ,54.76 
[81622] QUOTE,oAd3QaqYgz,ZOT 
[81683] BUY,oAd3QaqYgz,EEG,57.79 
[81809] COMMIT_BUY,oAd3QaqYgz 
[81842] QUOTE,oAd3QaqYgz,CBO 
[82049] BUY,oAd3QaqYgz,WCY,235.74 
[82409] QUOTE,oAd3QaqYgz,WNX 
[82459] CANCEL_SELL,oAd3QaqYgz 
[82771] QUOTE,oAd3QaqYgz,TSF 
[82856] SET_BUY_AMOUNT,oAd3QaqYgz,RUN,72.32 
[83187] SET_BUY_TRIGGER,oAd3QaqYgz,WUF,43.54 
[83309] ADD,oAd3QaqYgz,76444.05 
[83315] SET_BUY_AMOUNT,oAd3QaqYgz,BCQ,585.46 
[83442] SET_BUY_TRIGGER,oAd3QaqYgz,MMY,315.62 
[83497] SET_SELL_AMOUNT,oAd3QaqYgz,QGE,481.87 
[83612] SET_SELL_TRIGGER,oAd3QaqYgz,QGE,209.05 
[83652] SELL,oAd3QaqYgz,CSZ,230.10 
[83843] COMMIT_SELL,oAd3QaqYgz 
[84324] SET_BUY_TRIGGER,oAd3QaqYgz,ZAO,11.58 
[84374] ADD,oAd3QaqYgz,61383.40 
[84457] QUOTE,oAd3QaqYgz,AUX 
[84458] SELL,oAd3QaqYgz,AVX,143.29 
[84634] COMMIT_SELL,oAd3QaqYgz 
[84710] DISPLAY_SUMMARY,oAd3QaqYgz 
[84868] CANCEL_BUY,oAd3QaqYgz 
[84879] DISPLAY_SUMMARY,oAd3QaqYgz 
[84881] ADD,oAd3QaqYgz,67298.50 
[84923] BUY,oAd3QaqYgz,CJV,385.25 
[84943] COMMIT_BUY,oAd3QaqYgz 
[85127] SET_BUY_TRIGGER,oAd3QaqYgz,PFN,179.80 
[85304] DISPLAY_SUMMARY,oAd3QaqYgz 
[85704] SELL,oAd3QaqYgz,GYF,418.60 
[85807] SELL,oAd3QaqYgz,JRJ,298.61 
[85941] DISPLAY_SUMMARY,oAd3QaqYgz 
[85980] ADD,oAd3QaqYgz,69631.36 
[86032] QUOTE,oAd3QaqYgz,FNY 
[86225] BUY,oAd3QaqYgz,PUC,421.22 
[86447] CANCEL_BUY,oAd3QaqYgz 
[86448] SET_BUY_TRIGGER,oAd3QaqYgz,JIC,110.43 
[86472] BUY,oAd3QaqYgz,BFL,55.68 
[86506] COMMIT_BUY,oAd3QaqYgz 
[86640] SET_BUY_TRIGGER,oAd3QaqYgz,PBV,131.10 
[86739] COMMIT_BUY,oAd3QaqYgz 
[86879] CANCEL_SET_SELL,oAd3QaqYgz,IVV 
[86893] ADD,oAd3QaqYgz,69374.30 
[86970] BUY,oAd3QaqYgz,XFA,441.10 
[87073] QUOTE,oAd3QaqYgz,CUQ 
[87287] BUY,oAd3QaqYgz,MWM,368.60 
[87435] COMMIT_BUY,oAd3QaqYgz 
[87481] BUY,oAd3QaqYgz,SKY,342.73 
