[23] ADD,UuEeoiTzyl,102090.50 
[44637] SET_SELL_TRIGGER,UuEeoiTzyl,PLB,123.88 
[44794] QUOTE,UuEeoiTzyl,ZCO 
[44889] BUY,UuEeoiTzyl,GIK,212.59 
[44893] CANCEL_BUY,UuEeoiTzyl 
[45014] BUY,UuEeoiTzyl,JMG,161.48 
[45052] COMMIT_BUY,UuEeoiTzyl 
[45200] SET_BUY_AMOUNT,UuEeoiTzyl,GYF,662.61 
[45237] SET_BUY_TRIGGER,UuEeoiTzyl,DBC,437.78 
[45364] DISPLAY_SUMMARY,UuEeoiTzyl 
[45390] SET_BUY_TRIGGER,UuEeoiTzyl,WQC,181.71 
[45532] SELL,UuEeoiTzyl,BCQ,423.02 
[45900] CANCEL_SELL,UuEeoiTzyl 
[46043] DISPLAY_SUMMARY,UuEeoiTzyl 
[46137] DISPLAY_SUMMARY,UuEeoiTzyl 
[46252] DISPLAY_SUMMARY,UuEeoiTzyl 
[46301] CANCEL_SET_BUY,UuEeoiTzyl,CIP 
[46437] SET_SELL_TRIGGER,UuEeoiTzyl,NHB,117.80 
[46625] CANCEL_SET_SELL,UuEeoiTzyl,LLF 
[46854] SET_BUY_AMOUNT,UuEeoiTzyl,PTP,519.79 
[46888] SET_BUY_TRIGGER,UuEeoiTzyl,IEQ,262.94 
[46914] DISPLAY_SUMMARY,UuEeoiTzyl 
[47270] ADD,UuEeoiTzyl,79496.10 
[47306] SET_BUY_AMOUNT,UuEeoiTzyl,GYF,469.24 
[47396] CANCEL_SET_BUY,UuEeoiTzyl,MLT 
[47589] SET_BUY_AMOUNT,UuEeoiTzyl,YJK,641.23 
[47646] CANCEL_SET_BUY,UuEeoiTzyl,WBL 
[47722] ADD,UuEeoiTzyl,48371.29 
[47738] QUOTE,UuEeoiTzyl,TVI 
[47768] SET_BUY_TRIGGER,UuEeoiTzyl,DWC,6.33 
[47885] CANCEL_SET_SELL,UuEeoiTzyl,ZGR 
[47980] BUY,UuEeoiTzyl,TSF,748.44 
[48521] COMMIT_SELL,UuEeoiTzyl 
[48585] BUY,UuEeoiTzyl,SBT,712.01 
[48841] COMMIT_BUY,UuEeoiTzyl 
[49203] SELL,UuEeoiTzyl,CUZ,296.67 
[49619] SET_BUY_TRIGGER,UuEeoiTzyl,AEM,8.47 
[49639] SET_BUY_AMOUNT,UuEeoiTzyl,QAX,696.30 
[49679] SET_BUY_TRIGGER,UuEeoiTzyl,MIU,279.44 
[49756] ADD,UuEeoiTzyl,72311.58 
[50020] SET_SELL_TRIGGER,UuEeoiTzyl,XAB,166.53 
[50075] ADD,UuEeoiTzyl,72649.98 
[50132] BUY,UuEeoiTzyl,ZAN,478.94 
[50393] CANCEL_BUY,UuEeoiTzyl 
[50687] SET_BUY_AMOUNT,UuEeoiTzyl,ZYR,56.40 
[50876] DISPLAY_SUMMARY,UuEeoiTzyl 
[50929] SET_BUY_AMOUNT,UuEeoiTzyl,FQP,628.45 
[50959] SET_BUY_TRIGGER,UuEeoiTzyl,GGI,142.14 
[51050] CANCEL_SELL,UuEeoiTzyl 
[51072] DISPLAY_SUMMARY,UuEeoiTzyl 
[51298] ADD,UuEeoiTzyl,73162.20 
[51366] QUOTE,UuEeoiTzyl,YBP 
[51411] SET_BUY_AMOUNT,UuEeoiTzyl,RUN,365.33 
[51483] QUOTE,UuEeoiTzyl,WPG 
[51681] BUY,UuEeoiTzyl,OKK,363.18 
[51692] COMMIT_BUY,UuEeoiTzyl 
[51737] COMMIT_BUY,UuEeoiTzyl 
[51745] BUY,UuEeoiTzyl,PBV,219.80 
[51757] CANCEL_BUY,UuEeoiTzyl 
[51764] SET_BUY_AMOUNT,UuEeoiTzyl,BCQ,349.89 
[51861] SET_BUY_TRIGGER,UuEeoiTzyl,CMA,11.98 
[51884] ADD,UuEeoiTzyl,60638.17 
[51944] SET_BUY_TRIGGER,UuEeoiTzyl,FTB,128.97 
[51956] ADD,UuEeoiTzyl,90205.32 
[51984] DISPLAY_SUMMARY,UuEeoiTzyl 
[52277] SET_SELL_TRIGGER,UuEeoiTzyl,ZEG,48.06 
[52327] QUOTE,UuEeoiTzyl,CMA 
[52383] BUY,UuEeoiTzyl,GAN,670.74 
[52405] COMMIT_BUY,UuEeoiTzyl 
[52506] ADD,UuEeoiTzyl,55320.11 
[52844] SET_SELL_AMOUNT,UuEeoiTzyl,DFE,365.93 
[52917] CANCEL_SET_SELL,UuEeoiTzyl,DFE 
[52928] DISPLAY_SUMMARY,UuEeoiTzyl 
[53087] SET_SELL_AMOUNT,UuEeoiTzyl,KES,378.51 
[53183] CANCEL_SET_SELL,UuEeoiTzyl,KES 
[53239] SET_BUY_AMOUNT,UuEeoiTzyl,OEY,687.70 
[53255] DISPLAY_SUMMARY,UuEeoiTzyl 
[53447] SET_SELL_TRIGGER,UuEeoiTzyl,EGB,25.03 
[53507] SET_BUY_TRIGGER,UuEeoiTzyl,ZFT,201.44 
[53522] BUY,UuEeoiTzyl,DJD,65.16 
[53625] COMMIT_BUY,UuEeoiTzyl 
[53692] SET_SELL_AMOUNT,UuEeoiTzyl,LFU,534.80 
[53801] SET_SELL_TRIGGER,UuEeoiTzyl,LFU,118.39 
[53867] DISPLAY_SUMMARY,UuEeoiTzyl 
[53871] COMMIT_SELL,UuEeoiTzyl 
[53900] COMMIT_SELL,UuEeoiTzyl 
[53903] DISPLAY_SUMMARY,UuEeoiTzyl 
[53977] SET_BUY_TRIGGER,UuEeoiTzyl,YRL,105.50 
[54091] ADD,UuEeoiTzyl,76327.00 
[54138] QUOTE,UuEeoiTzyl,BMW 
[54300] ADD,UuEeoiTzyl,61373.98 
[54367] QUOTE,UuEeoiTzyl,NHG 
[54558] BUY,UuEeoiTzyl,PPY,446.62 
[54791] COMMIT_BUY,UuEeoiTzyl 
[54993] DISPLAY_SUMMARY,UuEeoiTzyl 
[55203] SET_SELL_TRIGGER,UuEeoiTzyl,KJD,138.99 
[55266] ADD,UuEeoiTzyl,52915.21 
[55346] QUOTE,UuEeoiTzyl,KXF 
[55443] BUY,UuEeoiTzyl,ZYR,483.05 
[55517] CANCEL_SELL,UuEeoiTzyl 
[55638] DISPLAY_SUMMARY,UuEeoiTzyl 
[55639] BUY,UuEeoiTzyl,MDZ,82.42 
[55708] CANCEL_SET_SELL,UuEeoiTzyl,COE 
[55951] DISPLAY_SUMMARY,UuEeoiTzyl 
[56025] SET_BUY_TRIGGER,UuEeoiTzyl,EOS,17.30 
[56077] DISPLAY_SUMMARY,UuEeoiTzyl 
[56092] DISPLAY_SUMMARY,UuEeoiTzyl 
[56173] SELL,UuEeoiTzyl,ZTI,4.54 
[56203] SET_SELL_TRIGGER,UuEeoiTzyl,KAH,199.23 
[56288] SET_SELL_TRIGGER,UuEeoiTzyl,PIE,97.91 
[56335] BUY,UuEeoiTzyl,MDZ,480.50 
[56383] CANCEL_SET_SELL,UuEeoiTzyl,RVZ 
[56626] SELL,UuEeoiTzyl,JZJ,11.05 
[56726] COMMIT_SELL,UuEeoiTzyl 
[56822] DISPLAY_SUMMARY,UuEeoiTzyl 
[56925] BUY,UuEeoiTzyl,UUJ,129.57 
[57154] COMMIT_BUY,UuEeoiTzyl 
[57181] SELL,UuEeoiTzyl,OEY,135.85 
[57273] CANCEL_SET_SELL,UuEeoiTzyl,SDL 
[57387] CANCEL_SELL,UuEeoiTzyl 
[57450] CANCEL_SET_SELL,UuEeoiTzyl,KKI 
[57687] ADD,UuEeoiTzyl,63715.83 
[57851] DISPLAY_SUMMARY,UuEeoiTzyl 
[57947] CANCEL_SET_SELL,UuEeoiTzyl,IOY 
[57960] SET_BUY_TRIGGER,UuEeoiTzyl,QUT,75.70 
[57981] ADD,UuEeoiTzyl,72604.08 
[58040] QUOTE,UuEeoiTzyl,JXR 
[58113] ADD,UuEeoiTzyl,77680.03 
[58148] QUOTE,UuEeoiTzyl,JJW 
[58149] SET_BUY_AMOUNT,UuEeoiTzyl,RUN,489.51 
[58497] SET_BUY_TRIGGER,UuEeoiTzyl,JVE,418.81 
[58530] DISPLAY_SUMMARY,UuEeoiTzyl 
[58550] ADD,UuEeoiTzyl,61003.35 
[58611] CANCEL_BUY,UuEeoiTzyl 
[58687] ADD,UuEeoiTzyl,74543.99 
[58805] BUY,UuEeoiTzyl,WAI,281.98 
[58884] ADD,UuEeoiTzyl,83833.65 
[59100] DISPLAY_SUMMARY,UuEeoiTzyl 
[59110] SET_SELL_AMOUNT,UuEeoiTzyl,FDI,267.93 
[59117] SET_SELL_TRIGGER,UuEeoiTzyl,FDI,223.06 
[59483] BUY,UuEeoiTzyl,HSJ,340.45 
[59900] COMMIT_BUY,UuEeoiTzyl 
[60008] ADD,UuEeoiTzyl,75754.76 
[60037] QUOTE,UuEeoiTzyl,LRS 
[60244] BUY,UuEeoiTzyl,XMA,263.23 
[60384] CANCEL_BUY,UuEeoiTzyl 
[60572] DISPLAY_SUMMARY,UuEeoiTzyl 
[60626] DISPLAY_SUMMARY,UuEeoiTzyl 
[60637] BUY,UuEeoiTzyl,GWF,710.78 
[60783] SET_SELL_TRIGGER,UuEeoiTzyl,URY,130.22 
[60816] SET_SELL_TRIGGER,UuEeoiTzyl,WUF,82.92 
[60859] BUY,UuEeoiTzyl,KRX,261.54 
[61148] COMMIT_BUY,UuEeoiTzyl 
[61365] CANCEL_SELL,UuEeoiTzyl 
[61385] ADD,UuEeoiTzyl,53785.97 
[61541] BUY,UuEeoiTzyl,ALV,40.46 
[61698] COMMIT_BUY,UuEeoiTzyl 
[61846] SET_SELL_AMOUNT,UuEeoiTzyl,DFE,537.80 
[61874] SET_SELL_TRIGGER,UuEeoiTzyl,DFE,303.62 
[61908] SET_BUY_AMOUNT,UuEeoiTzyl,DFE,443.92 
[62174] SET_BUY_TRIGGER,UuEeoiTzyl,HHC,270.66 
[62195] DISPLAY_SUMMARY,UuEeoiTzyl 
[62470] ADD,UuEeoiTzyl,70377.89 
[62493] CANCEL_SET_BUY,UuEeoiTzyl,DJD 
[62526] SET_BUY_AMOUNT,UuEeoiTzyl,UBJ,502.51 
[62577] SELL,UuEeoiTzyl,OEY,501.64 
[62755] COMMIT_SELL,UuEeoiTzyl 
[62794] SET_SELL_AMOUNT,UuEeoiTzyl,ZAN,140.64 
[62816] SET_SELL_TRIGGER,UuEeoiTzyl,ZAN,86.61 
[62824] ADD,UuEeoiTzyl,78440.18 
[62830] BUY,UuEeoiTzyl,LSM,500.38 
[62894] QUOTE,UuEeoiTzyl,SZI 
[62922] QUOTE,UuEeoiTzyl,MWV 
[62937] BUY,UuEeoiTzyl,NQU,372.76 
[63002] COMMIT_BUY,UuEeoiTzyl 
[63040] QUOTE,UuEeoiTzyl,HGG 
[63141] BUY,UuEeoiTzyl,JGY,442.23 
[63623] COMMIT_BUY,UuEeoiTzyl 
[63675] BUY,UuEeoiTzyl,AJR,552.65 
[63763] COMMIT_BUY,UuEeoiTzyl 
[63841] SET_SELL_TRIGGER,UuEeoiTzyl,XNZ,14.14 
[63892] ADD,UuEeoiTzyl,57997.52 
[64130] QUOTE,UuEeoiTzyl,NDD 
[64241] COMMIT_SELL,UuEeoiTzyl 
[64353] QUOTE,UuEeoiTzyl,UDQ 
[64402] ADD,UuEeoiTzyl,70351.69 
[64530] QUOTE,UuEeoiTzyl,BFB 
[64571] QUOTE,UuEeoiTzyl,YBP 
[64670] ADD,UuEeoiTzyl,63005.93 
[64761] BUY,UuEeoiTzyl,PUU,630.09 
[64809] CANCEL_BUY,UuEeoiTzyl 
[64816] BUY,UuEeoiTzyl,KJM,126.45 
[64919] SET_SELL_TRIGGER,UuEeoiTzyl,RKQ,149.03 
[64920] CANCEL_SET_SELL,UuEeoiTzyl,DBC 
[65114] SET_BUY_AMOUNT,UuEeoiTzyl,KDA,568.51 
[65239] SET_BUY_TRIGGER,UuEeoiTzyl,ZZD,223.48 
[65403] SET_BUY_AMOUNT,UuEeoiTzyl,QGE,304.44 
[65466] SET_BUY_TRIGGER,UuEeoiTzyl,FVS,281.51 
[65570] ADD,UuEeoiTzyl,54256.81 
[65639] COMMIT_SELL,UuEeoiTzyl 
[65643] DISPLAY_SUMMARY,UuEeoiTzyl 
[65708] QUOTE,UuEeoiTzyl,GMF 
[65730] BUY,UuEeoiTzyl,IDX,745.45 
[65822] COMMIT_BUY,UuEeoiTzyl 
[65893] ADD,UuEeoiTzyl,54401.89 
[65914] QUOTE,UuEeoiTzyl,VDP 
[66312] SET_SELL_AMOUNT,UuEeoiTzyl,SSF,490.60 
[66602] SELL,UuEeoiTzyl,RUN,119.98 
[67112] ADD,UuEeoiTzyl,79935.18 
[67165] QUOTE,UuEeoiTzyl,WGV 
[67225] DISPLAY_SUMMARY,UuEeoiTzyl 
[67403] ADD,UuEeoiTzyl,96354.66 
[67733] QUOTE,UuEeoiTzyl,OXV 
[67750] QUOTE,UuEeoiTzyl,CBQ 
[67983] BUY,UuEeoiTzyl,UIE,465.85 
[68010] DISPLAY_SUMMARY,UuEeoiTzyl 
[68095] BUY,UuEeoiTzyl,MHR,546.30 
[68199] COMMIT_SELL,UuEeoiTzyl 
[68231] SET_BUY_AMOUNT,UuEeoiTzyl,NHG,643.22 
[68287] SET_BUY_TRIGGER,UuEeoiTzyl,FTB,265.19 
[68308] SELL,UuEeoiTzyl,JVT,152.00 
[68320] COMMIT_SELL,UuEeoiTzyl 
[68425] QUOTE,UuEeoiTzyl,VQA 
[68595] SET_BUY_AMOUNT,UuEeoiTzyl,SSF,168.03 
[68827] SELL,UuEeoiTzyl,QAX,144.91 
[68837] DISPLAY_SUMMARY,UuEeoiTzyl 
[68888] SET_BUY_TRIGGER,UuEeoiTzyl,OSC,160.31 
[68909] ADD,UuEeoiTzyl,60771.69 
[69194] QUOTE,UuEeoiTzyl,LGL 
[69228] CANCEL_SET_BUY,UuEeoiTzyl,ULL 
[69256] SET_BUY_AMOUNT,UuEeoiTzyl,RUN,587.80 
[69290] SET_BUY_TRIGGER,UuEeoiTzyl,TVP,30.45 
[69369] ADD,UuEeoiTzyl,62362.19 
[69448] BUY,UuEeoiTzyl,DBT,24.86 
[69449] COMMIT_BUY,UuEeoiTzyl 
[69475] SET_SELL_TRIGGER,UuEeoiTzyl,SSF,397.74 
[69511] BUY,UuEeoiTzyl,JCQ,116.87 
[69528] COMMIT_BUY,UuEeoiTzyl 
[69634] SELL,UuEeoiTzyl,SSF,665.51 
[69649] CANCEL_SELL,UuEeoiTzyl 
[69660] SELL,UuEeoiTzyl,JQO,524.37 
[69710] CANCEL_SET_SELL,UuEeoiTzyl,SSL 
[69733] BUY,UuEeoiTzyl,NZS,60.86 
[69857] COMMIT_BUY,UuEeoiTzyl 
[69883] SET_SELL_TRIGGER,UuEeoiTzyl,KLY,91.03 
[69934] SELL,UuEeoiTzyl,MFX,44.31 
[70017] SET_BUY_TRIGGER,UuEeoiTzyl,RWM,66.44 
[70069] SET_SELL_TRIGGER,UuEeoiTzyl,DLQ,53.60 
[70208] DISPLAY_SUMMARY,UuEeoiTzyl 
[70291] BUY,UuEeoiTzyl,VNN,653.13 
[70378] COMMIT_BUY,UuEeoiTzyl 
[70440] SET_BUY_TRIGGER,UuEeoiTzyl,QPZ,13.20 
[70442] SET_SELL_TRIGGER,UuEeoiTzyl,NFQ,90.07 
[70472] ADD,UuEeoiTzyl,55660.13 
[70526] QUOTE,UuEeoiTzyl,UTD 
[70712] BUY,UuEeoiTzyl,FPV,304.91 
[70722] COMMIT_BUY,UuEeoiTzyl 
[70963] ADD,UuEeoiTzyl,74869.47 
[70990] BUY,UuEeoiTzyl,ERF,482.12 
[71259] SET_SELL_TRIGGER,UuEeoiTzyl,RLS,83.59 
[71273] SELL,UuEeoiTzyl,RNK,165.69 
[71632] COMMIT_SELL,UuEeoiTzyl 
[71672] ADD,UuEeoiTzyl,47301.21 
[72070] QUOTE,UuEeoiTzyl,HTN 
[72082] ADD,UuEeoiTzyl,69191.04 
[72085] BUY,UuEeoiTzyl,JRY,410.33 
[72087] COMMIT_BUY,UuEeoiTzyl 
[72116] SET_SELL_AMOUNT,UuEeoiTzyl,ZTI,673.98 
[72128] SET_SELL_TRIGGER,UuEeoiTzyl,ZTI,590.76 
[72134] SET_SELL_AMOUNT,UuEeoiTzyl,ZAN,97.62 
[72332] CANCEL_SET_SELL,UuEeoiTzyl,ZAN 
[72409] SELL,UuEeoiTzyl,ZTI,632.17 
[72434] CANCEL_SET_BUY,UuEeoiTzyl,GGI 
[72483] DISPLAY_SUMMARY,UuEeoiTzyl 
[72579] CANCEL_SET_SELL,UuEeoiTzyl,IKK 
[72727] DISPLAY_SUMMARY,UuEeoiTzyl 
[72790] BUY,UuEeoiTzyl,PJW,64.98 
[72823] COMMIT_BUY,UuEeoiTzyl 
[72974] SELL,UuEeoiTzyl,CSZ,451.11 
[72998] COMMIT_SELL,UuEeoiTzyl 
[73241] SET_BUY_TRIGGER,UuEeoiTzyl,SUS,156.33 
[73268] ADD,UuEeoiTzyl,93245.42 
[73369] QUOTE,UuEeoiTzyl,XBL 
[73607] BUY,UuEeoiTzyl,GPC,94.12 
[73640] QUOTE,UuEeoiTzyl,KEV 
[73819] DISPLAY_SUMMARY,UuEeoiTzyl 
[73971] QUOTE,UuEeoiTzyl,GWF 
[74037] CANCEL_BUY,UuEeoiTzyl 
[74053] QUOTE,UuEeoiTzyl,GTN 
[74058] SET_BUY_AMOUNT,UuEeoiTzyl,LZV,448.26 
[74112] QUOTE,UuEeoiTzyl,NAR 
[74232] BUY,UuEeoiTzyl,WTL,336.39 
[74265] ADD,UuEeoiTzyl,54873.70 
[74408] QUOTE,UuEeoiTzyl,FOV 
[74653] BUY,UuEeoiTzyl,EBS,693.13 
[74713] CANCEL_SELL,UuEeoiTzyl 
[74733] DISPLAY_SUMMARY,UuEeoiTzyl 
[74778] DISPLAY_SUMMARY,UuEeoiTzyl 
[74805] DISPLAY_SUMMARY,UuEeoiTzyl 
[74889] ADD,UuEeoiTzyl,79818.35 
[75035] QUOTE,UuEeoiTzyl,SJG 
[75098] BUY,UuEeoiTzyl,IPJ,605.09 
[75272] CANCEL_BUY,UuEeoiTzyl 
[75404] CANCEL_SET_BUY,UuEeoiTzyl,GAV 
[75497] QUOTE,UuEeoiTzyl,XXQ 
[75718] ADD,UuEeoiTzyl,79251.06 
[76174] QUOTE,UuEeoiTzyl,QOD 
[76276] QUOTE,UuEeoiTzyl,TOL 
[76334] DISPLAY_SUMMARY,UuEeoiTzyl 
[76583] DISPLAY_SUMMARY,UuEeoiTzyl 
[76633] ADD,UuEeoiTzyl,69684.90 
[76780] QUOTE,UuEeoiTzyl,WRN 
[76781] BUY,UuEeoiTzyl,AJX,180.64 
[76934] COMMIT_BUY,UuEeoiTzyl 
[77085] ADD,UuEeoiTzyl,59601.84 
[77150] CANCEL_SET_SELL,UuEeoiTzyl,YAZ 
[77154] ADD,UuEeoiTzyl,63273.05 
[77211] BUY,UuEeoiTzyl,LKV,19.72 
[77215] COMMIT_BUY,UuEeoiTzyl 
[77304] ADD,UuEeoiTzyl,58808.27 
[77415] BUY,UuEeoiTzyl,FTB,373.78 
[77485] COMMIT_BUY,UuEeoiTzyl 
[77583] SET_SELL_TRIGGER,UuEeoiTzyl,YEH,64.01 
[77877] SET_SELL_TRIGGER,UuEeoiTzyl,XBL,39.76 
[77897] SELL,UuEeoiTzyl,QAX,179.67 
[77898] COMMIT_BUY,UuEeoiTzyl 
[77922] BUY,UuEeoiTzyl,RVU,489.40 
[78175] COMMIT_BUY,UuEeoiTzyl 
[78197] DISPLAY_SUMMARY,UuEeoiTzyl 
[78214] ADD,UuEeoiTzyl,41216.11 
[78259] CANCEL_SET_SELL,UuEeoiTzyl,GED 
[78264] SET_SELL_AMOUNT,UuEeoiTzyl,MFX,695.06 
[78336] DISPLAY_SUMMARY,UuEeoiTzyl 
[78583] DISPLAY_SUMMARY,UuEeoiTzyl 
[78983] ADD,UuEeoiTzyl,64652.07 
[79096] QUOTE,UuEeoiTzyl,DBT 
[79126] BUY,UuEeoiTzyl,BHP,154.43 
[79231] COMMIT_BUY,UuEeoiTzyl 
[79273] DISPLAY_SUMMARY,UuEeoiTzyl 
[79306] ADD,UuEeoiTzyl,80197.12 
[79860] BUY,UuEeoiTzyl,KPP,479.89 
[80072] CANCEL_SET_BUY,UuEeoiTzyl,IHW 
[80096] SET_SELL_TRIGGER,UuEeoiTzyl,MFX,475.11 
[80226] SET_BUY_TRIGGER,UuEeoiTzyl,JRJ,29.92 
[80414] ADD,UuEeoiTzyl,64813.95 
[80417] BUY,UuEeoiTzyl,UMN,552.53 
[80420] CANCEL_BUY,UuEeoiTzyl 
[80455] SET_BUY_TRIGGER,UuEeoiTzyl,IKK,64.62 
[80560] ADD,UuEeoiTzyl,92426.53 
[80570] BUY,UuEeoiTzyl,FGI,589.24 
[80624] CANCEL_BUY,UuEeoiTzyl 
[80913] BUY,UuEeoiTzyl,ARP,34.59 
[80967] COMMIT_BUY,UuEeoiTzyl 
[81016] BUY,UuEeoiTzyl,FGF,671.34 
[81074] COMMIT_BUY,UuEeoiTzyl 
[81306] DISPLAY_SUMMARY,UuEeoiTzyl 
[81724] ADD,UuEeoiTzyl,72788.50 
[81886] QUOTE,UuEeoiTzyl,VTY 
[81902] BUY,UuEeoiTzyl,NIR,88.41 
[81934] COMMIT_BUY,UuEeoiTzyl 
[82072] DISPLAY_SUMMARY,UuEeoiTzyl 
[82130] SELL,UuEeoiTzyl,SUS,53.28 
[82175] COMMIT_SELL,UuEeoiTzyl 
[82286] SET_SELL_TRIGGER,UuEeoiTzyl,YWK,22.90 
[82325] BUY,UuEeoiTzyl,LCP,599.65 
[82343] SET_SELL_TRIGGER,UuEeoiTzyl,FNY,54.32 
[82359] SELL,UuEeoiTzyl,IQJ,90.32 
[82812] CANCEL_SET_SELL,UuEeoiTzyl,JUN 
[83054] SET_SELL_TRIGGER,UuEeoiTzyl,RXB,121.32 
[83736] ADD,UuEeoiTzyl,85661.71 
[83769] QUOTE,UuEeoiTzyl,ZCO 
[83922] CANCEL_SELL,UuEeoiTzyl 
[83955] ADD,UuEeoiTzyl,76871.48 
[84218] BUY,UuEeoiTzyl,PHE,154.99 
[84223] SET_BUY_AMOUNT,UuEeoiTzyl,BCQ,430.92 
[84500] SET_BUY_TRIGGER,UuEeoiTzyl,AHE,19.54 
[84698] DISPLAY_SUMMARY,UuEeoiTzyl 
[84742] QUOTE,UuEeoiTzyl,ZNY 
[84757] QUOTE,UuEeoiTzyl,HRJ 
[84834] BUY,UuEeoiTzyl,ZTI,360.73 
[84885] CANCEL_BUY,UuEeoiTzyl 
[84958] DISPLAY_SUMMARY,UuEeoiTzyl 
[85244] DISPLAY_SUMMARY,UuEeoiTzyl 
[85267] SET_SELL_TRIGGER,UuEeoiTzyl,GSW,36.53 
[85325] BUY,UuEeoiTzyl,GSW,169.55 
[85358] COMMIT_BUY,UuEeoiTzyl 
[85468] SELL,UuEeoiTzyl,SSF,397.42 
[85474] COMMIT_SELL,UuEeoiTzyl 
[85573] QUOTE,UuEeoiTzyl,ZOT 
[85592] SET_SELL_AMOUNT,UuEeoiTzyl,KES,409.59 
[85596] SET_SELL_TRIGGER,UuEeoiTzyl,KES,353.92 
[85727] SELL,UuEeoiTzyl,UTV,317.71 
[85890] CANCEL_BUY,UuEeoiTzyl 
[86138] SET_SELL_TRIGGER,UuEeoiTzyl,NQU,117.01 
[86169] DISPLAY_SUMMARY,UuEeoiTzyl 
[86210] ADD,UuEeoiTzyl,75388.79 
[86367] BUY,UuEeoiTzyl,KVK,483.58 
[86425] SELL,UuEeoiTzyl,QVK,345.54 
[86554] COMMIT_SELL,UuEeoiTzyl 
[86608] SET_SELL_AMOUNT,UuEeoiTzyl,YJK,286.70 
[86667] SET_SELL_TRIGGER,UuEeoiTzyl,YJK,192.93 
[86796] DISPLAY_SUMMARY,UuEeoiTzyl 
[86986] CANCEL_SELL,UuEeoiTzyl 
[86988] SET_SELL_AMOUNT,UuEeoiTzyl,DFE,538.19 
[87018] SET_SELL_TRIGGER,UuEeoiTzyl,DFE,510.79 
[87106] BUY,UuEeoiTzyl,NFQ,74.72 
[87197] CANCEL_SET_BUY,UuEeoiTzyl,GUW 
[87389] CANCEL_SET_SELL,UuEeoiTzyl,HFS 
[87417] ADD,UuEeoiTzyl,61328.12 
[87553] QUOTE,UuEeoiTzyl,OXK 
[87604] SET_SELL_TRIGGER,UuEeoiTzyl,OSA,164.89 
[87945] ADD,UuEeoiTzyl,56886.58 
[87994] QUOTE,UuEeoiTzyl,GJQ 
[88163] QUOTE,UuEeoiTzyl,QQI 
[88400] SELL,UuEeoiTzyl,QVK,172.51 
[88417] CANCEL_SELL,UuEeoiTzyl 
[88606] SELL,UuEeoiTzyl,ZYR,161.61 
[88655] COMMIT_SELL,UuEeoiTzyl 
[88658] BUY,UuEeoiTzyl,LZV,188.41 
[88868] CANCEL_BUY,UuEeoiTzyl 
[88873] SET_BUY_AMOUNT,UuEeoiTzyl,KYX,414.52 
[88921] SET_BUY_TRIGGER,UuEeoiTzyl,KCT,177.96 
[88974] DISPLAY_SUMMARY,UuEeoiTzyl 
[89042] SET_SELL_TRIGGER,UuEeoiTzyl,TKM,186.77 
[89113] ADD,UuEeoiTzyl,65062.54 
[89116] COMMIT_BUY,UuEeoiTzyl 
[89180] SET_SELL_TRIGGER,UuEeoiTzyl,DGA,174.73 
[89270] BUY,UuEeoiTzyl,FTB,349.63 
[89330] QUOTE,UuEeoiTzyl,ADY 
[89355] BUY,UuEeoiTzyl,AVX,179.49 
[89730] COMMIT_SELL,UuEeoiTzyl 
[89753] ADD,UuEeoiTzyl,73806.44 
[90008] BUY,UuEeoiTzyl,VYQ,460.69 
[90028] CANCEL_SET_BUY,UuEeoiTzyl,JGO 
[90066] QUOTE,UuEeoiTzyl,NFO 
[90092] QUOTE,UuEeoiTzyl,JVE 
[90093] SET_SELL_AMOUNT,UuEeoiTzyl,TKM,335.12 
[90190] CANCEL_SET_SELL,UuEeoiTzyl,TKM 
[90199] SELL,UuEeoiTzyl,IFN,255.32 
[90311] QUOTE,UuEeoiTzyl,KLY 
[90361] SELL,UuEeoiTzyl,VTY,384.22 
[90492] SET_BUY_AMOUNT,UuEeoiTzyl,GRM,456.73 
[90530] SET_BUY_TRIGGER,UuEeoiTzyl,OBO,323.46 
[90584] ADD,UuEeoiTzyl,69909.68 
[90747] SET_SELL_AMOUNT,UuEeoiTzyl,OZO,561.45 
[91044] SET_SELL_TRIGGER,UuEeoiTzyl,OZO,102.51 
[91084] SET_BUY_TRIGGER,UuEeoiTzyl,IFC,33.73 
[91096] ADD,UuEeoiTzyl,70959.67 
[91153] QUOTE,UuEeoiTzyl,HEJ 
[91415] SET_SELL_TRIGGER,UuEeoiTzyl,RJG,38.26 
[91423] ADD,UuEeoiTzyl,68343.69 
[91789] QUOTE,UuEeoiTzyl,CDF 
[91915] CANCEL_SET_SELL,UuEeoiTzyl,PST 
[91968] ADD,UuEeoiTzyl,52467.01 
[91988] SET_SELL_AMOUNT,UuEeoiTzyl,JRJ,491.88 
[92061] SET_SELL_TRIGGER,UuEeoiTzyl,JRJ,235.96 
[92287] SET_BUY_TRIGGER,UuEeoiTzyl,JXR,83.08 
[92804] SET_SELL_TRIGGER,UuEeoiTzyl,RLS,152.24 
[92858] COMMIT_SELL,UuEeoiTzyl 
[92884] ADD,UuEeoiTzyl,54370.81 
[93128] BUY,UuEeoiTzyl,IPH,680.60 
[93129] COMMIT_BUY,UuEeoiTzyl 
[93250] DISPLAY_SUMMARY,UuEeoiTzyl 
[93336] ADD,UuEeoiTzyl,58578.02 
[93471] BUY,UuEeoiTzyl,OYS,490.08 
[93529] COMMIT_BUY,UuEeoiTzyl 
