[27] ADD,xETyPXWhj9,56850.01 
[46428] SET_SELL_TRIGGER,xETyPXWhj9,PUC,72.64 
[46499] ADD,xETyPXWhj9,77732.10 
[47022] QUOTE,xETyPXWhj9,VVV 
[47063] CANCEL_SELL,xETyPXWhj9 
[47125] SET_BUY_AMOUNT,xETyPXWhj9,JCQ,191.10 
[47188] SET_BUY_TRIGGER,xETyPXWhj9,KAH,129.07 
[47229] QUOTE,xETyPXWhj9,AJR 
[47506] SET_BUY_TRIGGER,xETyPXWhj9,PUN,115.06 
[47538] CANCEL_SET_BUY,xETyPXWhj9,ZGC 
[47553] SET_SELL_TRIGGER,xETyPXWhj9,YDS,12.01 
[47601] BUY,xETyPXWhj9,CBY,527.16 
[47845] CANCEL_SET_BUY,xETyPXWhj9,FKX 
[47855] BUY,xETyPXWhj9,OYS,347.98 
[47882] CANCEL_BUY,xETyPXWhj9 
[47911] DISPLAY_SUMMARY,xETyPXWhj9 
[48119] SET_BUY_AMOUNT,xETyPXWhj9,ZTI,15.68 
[48141] SET_BUY_TRIGGER,xETyPXWhj9,WRJ,9.01 
[48218] ADD,xETyPXWhj9,71013.17 
[48430] BUY,xETyPXWhj9,SXB,697.82 
[48453] COMMIT_BUY,xETyPXWhj9 
[48556] ADD,xETyPXWhj9,72493.39 
[48697] BUY,xETyPXWhj9,XPX,348.07 
[48845] COMMIT_BUY,xETyPXWhj9 
[48847] SET_BUY_TRIGGER,xETyPXWhj9,RWY,62.02 
[48866] SET_SELL_TRIGGER,xETyPXWhj9,UEC,151.61 
[49081] QUOTE,xETyPXWhj9,WXV 
[49121] BUY,xETyPXWhj9,ZGR,724.22 
[49202] COMMIT_BUY,xETyPXWhj9 
[49387] SET_BUY_AMOUNT,xETyPXWhj9,JRJ,691.24 
[49744] SET_BUY_TRIGGER,xETyPXWhj9,NJI,97.77 
[49749] ADD,xETyPXWhj9,82593.24 
[49781] BUY,xETyPXWhj9,JVT,271.74 
[49871] COMMIT_BUY,xETyPXWhj9 
[49962] ADD,xETyPXWhj9,61760.27 
[49987] CANCEL_SET_BUY,xETyPXWhj9,OXK 
[50177] SET_SELL_TRIGGER,xETyPXWhj9,DXQ,194.09 
[50184] DISPLAY_SUMMARY,xETyPXWhj9 
[50212] ADD,xETyPXWhj9,66342.87 
[50377] BUY,xETyPXWhj9,KTU,680.26 
[50381] BUY,xETyPXWhj9,RLS,523.24 
[50502] COMMIT_BUY,xETyPXWhj9 
[50595] ADD,xETyPXWhj9,42409.41 
[50637] DISPLAY_SUMMARY,xETyPXWhj9 
[50645] DISPLAY_SUMMARY,xETyPXWhj9 
[50833] ADD,xETyPXWhj9,65892.91 
[51149] BUY,xETyPXWhj9,CUQ,276.27 
[51175] CANCEL_BUY,xETyPXWhj9 
[51253] DISPLAY_SUMMARY,xETyPXWhj9 
[51254] DISPLAY_SUMMARY,xETyPXWhj9 
[51267] SET_SELL_TRIGGER,xETyPXWhj9,PST,123.91 
[51270] SET_BUY_TRIGGER,xETyPXWhj9,SCW,83.04 
[51324] QUOTE,xETyPXWhj9,PHJ 
[51430] DISPLAY_SUMMARY,xETyPXWhj9 
[51498] SET_SELL_AMOUNT,xETyPXWhj9,RUN,420.20 
[51645] SET_SELL_TRIGGER,xETyPXWhj9,RUN,135.01 
[51688] ADD,xETyPXWhj9,72398.34 
[51758] QUOTE,xETyPXWhj9,BMW 
[51824] COMMIT_BUY,xETyPXWhj9 
[51880] DISPLAY_SUMMARY,xETyPXWhj9 
[52061] SET_BUY_AMOUNT,xETyPXWhj9,CEC,423.50 
[52507] SET_BUY_TRIGGER,xETyPXWhj9,WQC,260.56 
[52701] ADD,xETyPXWhj9,53555.05 
[53036] QUOTE,xETyPXWhj9,UTV 
[53764] BUY,xETyPXWhj9,KAR,553.37 
[53864] COMMIT_BUY,xETyPXWhj9 
[53880] DISPLAY_SUMMARY,xETyPXWhj9 
[54010] CANCEL_SELL,xETyPXWhj9 
[54066] ADD,xETyPXWhj9,72155.85 
[54122] QUOTE,xETyPXWhj9,OOR 
[54237] ADD,xETyPXWhj9,70816.89 
[54241] BUY,xETyPXWhj9,QOD,495.98 
[54430] SELL,xETyPXWhj9,BYA,243.07 
[54583] COMMIT_SELL,xETyPXWhj9 
[54642] SELL,xETyPXWhj9,XXQ,499.29 
[54762] COMMIT_SELL,xETyPXWhj9 
[54775] SET_BUY_TRIGGER,xETyPXWhj9,ZGR,12.59 
[54821] BUY,xETyPXWhj9,MSV,85.19 
[54869] DISPLAY_SUMMARY,xETyPXWhj9 
[54874] COMMIT_SELL,xETyPXWhj9 
[54983] SET_SELL_TRIGGER,xETyPXWhj9,BPP,93.28 
[55040] SET_BUY_AMOUNT,xETyPXWhj9,OEY,249.85 
[55200] SET_BUY_TRIGGER,xETyPXWhj9,APU,218.17 
[55442] QUOTE,xETyPXWhj9,FKX 
[55483] QUOTE,xETyPXWhj9,DWU 
[55488] SET_BUY_AMOUNT,xETyPXWhj9,FDI,647.69 
[55497] SET_BUY_TRIGGER,xETyPXWhj9,EJW,619.50 
[55516] ADD,xETyPXWhj9,75447.64 
[55550] BUY,xETyPXWhj9,MVI,155.35 
[55667] SET_BUY_TRIGGER,xETyPXWhj9,PHJ,135.39 
[55946] SET_BUY_AMOUNT,xETyPXWhj9,QGE,114.02 
[55956] QUOTE,xETyPXWhj9,KVJ 
[55993] SET_SELL_TRIGGER,xETyPXWhj9,NJI,78.45 
[56017] ADD,xETyPXWhj9,77817.53 
[56075] BUY,xETyPXWhj9,AIN,334.66 
[56189] CANCEL_SET_BUY,xETyPXWhj9,FVD 
[56216] BUY,xETyPXWhj9,YTO,340.14 
[56232] DISPLAY_SUMMARY,xETyPXWhj9 
[56334] SET_BUY_TRIGGER,xETyPXWhj9,OGB,98.31 
[56463] ADD,xETyPXWhj9,71012.12 
[56550] QUOTE,xETyPXWhj9,JQJ 
[56644] SET_BUY_TRIGGER,xETyPXWhj9,FVZ,100.32 
[56690] DISPLAY_SUMMARY,xETyPXWhj9 
[56859] QUOTE,xETyPXWhj9,YTO 
[56973] BUY,xETyPXWhj9,ZNW,733.28 
[57037] COMMIT_SELL,xETyPXWhj9 
[57197] SET_SELL_AMOUNT,xETyPXWhj9,QGE,390.91 
[57200] CANCEL_SET_SELL,xETyPXWhj9,QGE 
[57290] SET_BUY_TRIGGER,xETyPXWhj9,GGI,84.06 
[57331] SET_SELL_TRIGGER,xETyPXWhj9,FQG,96.92 
[57344] SELL,xETyPXWhj9,BCQ,359.62 
[57493] CANCEL_SET_SELL,xETyPXWhj9,JZJ 
[57522] DISPLAY_SUMMARY,xETyPXWhj9 
[57559] COMMIT_BUY,xETyPXWhj9 
[57577] SET_SELL_AMOUNT,xETyPXWhj9,ZTI,550.74 
[57635] DISPLAY_SUMMARY,xETyPXWhj9 
[57725] ADD,xETyPXWhj9,88592.47 
[57836] BUY,xETyPXWhj9,MQH,680.90 
[57948] CANCEL_BUY,xETyPXWhj9 
[58021] SET_SELL_AMOUNT,xETyPXWhj9,ZAN,204.21 
[58233] CANCEL_SET_SELL,xETyPXWhj9,ZAN 
[58256] COMMIT_SELL,xETyPXWhj9 
[58350] DISPLAY_SUMMARY,xETyPXWhj9 
[58442] QUOTE,xETyPXWhj9,FKZ 
[59017] QUOTE,xETyPXWhj9,XEA 
[59031] SET_BUY_AMOUNT,xETyPXWhj9,BYA,17.11 
[59176] SET_BUY_TRIGGER,xETyPXWhj9,ZCQ,8.31 
[59335] ADD,xETyPXWhj9,56512.67 
[59407] QUOTE,xETyPXWhj9,ZER 
[59489] SET_BUY_TRIGGER,xETyPXWhj9,OEX,79.38 
[59574] ADD,xETyPXWhj9,64553.45 
[59580] BUY,xETyPXWhj9,DOI,43.54 
[59698] COMMIT_BUY,xETyPXWhj9 
[59781] BUY,xETyPXWhj9,JGG,172.62 
[59855] SELL,xETyPXWhj9,VTY,602.53 
[59973] DISPLAY_SUMMARY,xETyPXWhj9 
[59999] DISPLAY_SUMMARY,xETyPXWhj9 
[60001] BUY,xETyPXWhj9,QUT,360.79 
[60027] COMMIT_BUY,xETyPXWhj9 
[60119] ADD,xETyPXWhj9,78072.97 
[60156] BUY,xETyPXWhj9,TGY,142.86 
[60256] SET_BUY_TRIGGER,xETyPXWhj9,VSE,32.41 
[60332] ADD,xETyPXWhj9,73296.59 
[60376] QUOTE,xETyPXWhj9,ZAM 
[60577] BUY,xETyPXWhj9,PMG,305.61 
[60636] COMMIT_BUY,xETyPXWhj9 
[60666] SET_BUY_AMOUNT,xETyPXWhj9,PTP,689.68 
[60917] DISPLAY_SUMMARY,xETyPXWhj9 
[60992] BUY,xETyPXWhj9,PDB,608.70 
[61028] CANCEL_SELL,xETyPXWhj9 
[61043] ADD,xETyPXWhj9,73224.24 
[61078] QUOTE,xETyPXWhj9,IZJ 
[61113] CANCEL_SET_SELL,xETyPXWhj9,NSN 
[61312] SET_BUY_TRIGGER,xETyPXWhj9,MER,18.95 
[61436] QUOTE,xETyPXWhj9,IHA 
[61691] BUY,xETyPXWhj9,PNP,699.25 
[62115] COMMIT_BUY,xETyPXWhj9 
[62225] DISPLAY_SUMMARY,xETyPXWhj9 
[62279] CANCEL_BUY,xETyPXWhj9 
[62316] QUOTE,xETyPXWhj9,QAA 
[62320] BUY,xETyPXWhj9,HTN,694.26 
[62453] COMMIT_BUY,xETyPXWhj9 
[62759] BUY,xETyPXWhj9,UEC,288.88 
[62956] COMMIT_BUY,xETyPXWhj9 
[63139] SELL,xETyPXWhj9,XXQ,359.39 
[63380] COMMIT_SELL,xETyPXWhj9 
[63387] CANCEL_SELL,xETyPXWhj9 
[63392] SET_SELL_AMOUNT,xETyPXWhj9,LZV,107.90 
[63599] SET_SELL_TRIGGER,xETyPXWhj9,LZV,48.32 
[63627] ADD,xETyPXWhj9,69096.37 
[63802] BUY,xETyPXWhj9,PHE,606.25 
[64099] COMMIT_BUY,xETyPXWhj9 
[64203] ADD,xETyPXWhj9,68947.99 
[64351] BUY,xETyPXWhj9,RQS,614.97 
[64403] COMMIT_SELL,xETyPXWhj9 
[64456] QUOTE,xETyPXWhj9,ZNL 
[64567] BUY,xETyPXWhj9,SCW,359.12 
[64627] COMMIT_BUY,xETyPXWhj9 
[64653] ADD,xETyPXWhj9,40103.91 
[64734] CANCEL_SET_BUY,xETyPXWhj9,ATW 
[64782] SELL,xETyPXWhj9,UIE,216.57 
[64936] COMMIT_SELL,xETyPXWhj9 
[64938] SET_BUY_TRIGGER,xETyPXWhj9,FQG,168.81 
[65173] DISPLAY_SUMMARY,xETyPXWhj9 
[65293] CANCEL_SET_BUY,xETyPXWhj9,YWC 
[65409] ADD,xETyPXWhj9,62761.57 
[65700] ADD,xETyPXWhj9,68610.42 
[65765] QUOTE,xETyPXWhj9,UTV 
[65837] BUY,xETyPXWhj9,LKV,197.95 
[65844] CANCEL_BUY,xETyPXWhj9 
[65862] DISPLAY_SUMMARY,xETyPXWhj9 
[65923] BUY,xETyPXWhj9,DWU,426.98 
[65995] CANCEL_BUY,xETyPXWhj9 
[66160] SET_BUY_AMOUNT,xETyPXWhj9,UTV,523.84 
[66166] SET_BUY_TRIGGER,xETyPXWhj9,FIY,260.47 
[66294] CANCEL_SET_BUY,xETyPXWhj9,QXW 
[66386] ADD,xETyPXWhj9,42314.55 
[66411] BUY,xETyPXWhj9,ECL,550.65 
[66529] COMMIT_BUY,xETyPXWhj9 
[66610] ADD,xETyPXWhj9,55321.90 
[67010] CANCEL_SET_SELL,xETyPXWhj9,APY 
[67050] SELL,xETyPXWhj9,TVI,40.03 
[67114] COMMIT_SELL,xETyPXWhj9 
[67154] QUOTE,xETyPXWhj9,XFA 
[67386] SET_SELL_AMOUNT,xETyPXWhj9,SQI,488.47 
[67399] SET_SELL_TRIGGER,xETyPXWhj9,SQI,208.63 
[67430] DISPLAY_SUMMARY,xETyPXWhj9 
[67660] SET_SELL_AMOUNT,xETyPXWhj9,GRM,104.73 
[67706] QUOTE,xETyPXWhj9,KEV 
[67722] BUY,xETyPXWhj9,IZJ,653.36 
[67790] CANCEL_SELL,xETyPXWhj9 
[67890] ADD,xETyPXWhj9,62300.37 
[68012] QUOTE,xETyPXWhj9,BZH 
[68065] ADD,xETyPXWhj9,69032.71 
[68102] QUOTE,xETyPXWhj9,NJT 
[68415] BUY,xETyPXWhj9,HZP,231.86 
[68456] CANCEL_SELL,xETyPXWhj9 
[68531] SET_BUY_TRIGGER,xETyPXWhj9,DXQ,89.44 
[68564] BUY,xETyPXWhj9,SQO,76.08 
[68672] COMMIT_BUY,xETyPXWhj9 
[69231] CANCEL_SELL,xETyPXWhj9 
[69332] ADD,xETyPXWhj9,65990.02 
[69763] BUY,xETyPXWhj9,RFC,730.40 
[69772] CANCEL_BUY,xETyPXWhj9 
[70004] COMMIT_BUY,xETyPXWhj9 
[70125] SET_BUY_TRIGGER,xETyPXWhj9,PHE,12.64 
[70184] SET_SELL_AMOUNT,xETyPXWhj9,JRJ,27.06 
[70409] CANCEL_SET_SELL,xETyPXWhj9,JRJ 
[70438] QUOTE,xETyPXWhj9,WRN 
[70658] BUY,xETyPXWhj9,GIX,473.60 
[70971] COMMIT_BUY,xETyPXWhj9 
[71021] ADD,xETyPXWhj9,83426.52 
[71109] BUY,xETyPXWhj9,FCM,703.49 
[71113] COMMIT_BUY,xETyPXWhj9 
[71147] ADD,xETyPXWhj9,63885.84 
[71393] SELL,xETyPXWhj9,OZO,32.61 
[71444] COMMIT_SELL,xETyPXWhj9 
[71470] DISPLAY_SUMMARY,xETyPXWhj9 
[71517] SELL,xETyPXWhj9,IFN,357.38 
[71650] CANCEL_SET_SELL,xETyPXWhj9,YWK 
[71675] BUY,xETyPXWhj9,VEE,355.06 
[71706] QUOTE,xETyPXWhj9,ZOT 
[71727] CANCEL_BUY,xETyPXWhj9 
[71838] SET_SELL_TRIGGER,xETyPXWhj9,XOM,136.82 
[72027] SET_BUY_AMOUNT,xETyPXWhj9,KBN,426.78 
[72319] CANCEL_SET_BUY,xETyPXWhj9,KKI 
[72576] DISPLAY_SUMMARY,xETyPXWhj9 
[72616] DISPLAY_SUMMARY,xETyPXWhj9 
[72673] DISPLAY_SUMMARY,xETyPXWhj9 
[72688] ADD,xETyPXWhj9,39807.97 
[72690] BUY,xETyPXWhj9,LHC,746.82 
[73023] CANCEL_BUY,xETyPXWhj9 
[73047] SET_BUY_TRIGGER,xETyPXWhj9,OYW,29.32 
[73084] CANCEL_SELL,xETyPXWhj9 
[73219] SET_SELL_TRIGGER,xETyPXWhj9,TKM,101.32 
[73423] DISPLAY_SUMMARY,xETyPXWhj9 
[73590] CANCEL_SET_SELL,xETyPXWhj9,CWA 
[73633] SET_SELL_AMOUNT,xETyPXWhj9,BCQ,723.65 
[73680] SET_SELL_TRIGGER,xETyPXWhj9,BCQ,709.25 
[73746] DISPLAY_SUMMARY,xETyPXWhj9 
[73787] QUOTE,xETyPXWhj9,GAL 
[73875] COMMIT_BUY,xETyPXWhj9 
[73891] DISPLAY_SUMMARY,xETyPXWhj9 
[73962] ADD,xETyPXWhj9,40726.99 
[74171] BUY,xETyPXWhj9,FFZ,74.30 
[74325] SET_SELL_AMOUNT,xETyPXWhj9,FDI,669.91 
[74418] SET_SELL_TRIGGER,xETyPXWhj9,FDI,498.86 
[74649] SET_SELL_TRIGGER,xETyPXWhj9,FFZ,34.99 
[74717] QUOTE,xETyPXWhj9,BSZ 
[74837] BUY,xETyPXWhj9,IRQ,694.40 
[74842] SELL,xETyPXWhj9,QVK,493.03 
[75017] COMMIT_SELL,xETyPXWhj9 
[75337] QUOTE,xETyPXWhj9,WOJ 
[75426] BUY,xETyPXWhj9,SBT,657.72 
[75641] COMMIT_BUY,xETyPXWhj9 
[75844] ADD,xETyPXWhj9,52004.47 
[76039] BUY,xETyPXWhj9,ILT,594.74 
[76053] COMMIT_BUY,xETyPXWhj9 
[76287] ADD,xETyPXWhj9,57614.98 
[76345] BUY,xETyPXWhj9,KAS,192.00 
[76346] CANCEL_BUY,xETyPXWhj9 
[76601] ADD,xETyPXWhj9,87798.83 
[76731] QUOTE,xETyPXWhj9,TGY 
[76779] QUOTE,xETyPXWhj9,KCS 
[77023] COMMIT_SELL,xETyPXWhj9 
[77050] SELL,xETyPXWhj9,XQC,406.67 
[77242] CANCEL_SET_BUY,xETyPXWhj9,KJH 
[77320] CANCEL_SET_SELL,xETyPXWhj9,NFV 
[77382] ADD,xETyPXWhj9,64750.72 
[77540] COMMIT_BUY,xETyPXWhj9 
[77550] SELL,xETyPXWhj9,JZJ,726.39 
[77731] CANCEL_SET_BUY,xETyPXWhj9,ZOZ 
[77745] SET_BUY_AMOUNT,xETyPXWhj9,SSF,165.05 
[77777] SET_BUY_TRIGGER,xETyPXWhj9,WGV,68.01 
[78024] DISPLAY_SUMMARY,xETyPXWhj9 
[78027] SELL,xETyPXWhj9,LZV,34.27 
[78066] BUY,xETyPXWhj9,NAR,638.75 
[78258] COMMIT_BUY,xETyPXWhj9 
[78284] BUY,xETyPXWhj9,OEX,713.70 
[78447] COMMIT_BUY,xETyPXWhj9 
[78664] ADD,xETyPXWhj9,52655.09 
[78696] BUY,xETyPXWhj9,NHG,600.95 
[78857] SET_BUY_TRIGGER,xETyPXWhj9,ZDB,103.08 
[78966] SET_SELL_TRIGGER,xETyPXWhj9,LNJ,99.05 
[79065] ADD,xETyPXWhj9,67949.10 
[79120] QUOTE,xETyPXWhj9,SNU 
[79125] CANCEL_SET_SELL,xETyPXWhj9,YUR 
[79196] SET_BUY_AMOUNT,xETyPXWhj9,YJK,230.99 
[79317] SET_BUY_TRIGGER,xETyPXWhj9,PUO,168.45 
[79342] SELL,xETyPXWhj9,GSW,591.93 
[79422] COMMIT_SELL,xETyPXWhj9 
[79456] BUY,xETyPXWhj9,ASJ,634.94 
[79547] CANCEL_BUY,xETyPXWhj9 
[79725] DISPLAY_SUMMARY,xETyPXWhj9 
[79895] SET_SELL_AMOUNT,xETyPXWhj9,MFX,452.41 
[80027] SET_SELL_TRIGGER,xETyPXWhj9,MFX,297.17 
[80235] QUOTE,xETyPXWhj9,APY 
[80285] QUOTE,xETyPXWhj9,WRJ 
[80292] BUY,xETyPXWhj9,BFB,633.20 
[80621] SET_BUY_AMOUNT,xETyPXWhj9,UIE,610.43 
[80731] SELL,xETyPXWhj9,QJZ,160.79 
[80762] COMMIT_SELL,xETyPXWhj9 
[80900] SET_BUY_TRIGGER,xETyPXWhj9,BZH,214.31 
[80975] QUOTE,xETyPXWhj9,BEG 
[81060] BUY,xETyPXWhj9,FYR,184.58 
[81078] SET_SELL_TRIGGER,xETyPXWhj9,QUT,24.69 
[81124] BUY,xETyPXWhj9,KPP,279.85 
[81364] COMMIT_BUY,xETyPXWhj9 
[81371] BUY,xETyPXWhj9,YEH,596.39 
[81373] SELL,xETyPXWhj9,EBS,654.12 
[81455] ADD,xETyPXWhj9,54751.72 
[81511] QUOTE,xETyPXWhj9,MJU 
[81550] SET_SELL_AMOUNT,xETyPXWhj9,SQI,202.13 
[81659] SET_SELL_TRIGGER,xETyPXWhj9,SQI,98.10 
[81703] SET_BUY_AMOUNT,xETyPXWhj9,VTY,428.92 
[81806] QUOTE,xETyPXWhj9,QID 
[81894] QUOTE,xETyPXWhj9,ECX 
[81981] CANCEL_BUY,xETyPXWhj9 
[82067] BUY,xETyPXWhj9,NOP,54.40 
[82080] COMMIT_BUY,xETyPXWhj9 
[82102] ADD,xETyPXWhj9,65311.72 
[82187] BUY,xETyPXWhj9,WNX,124.72 
[82256] CANCEL_BUY,xETyPXWhj9 
[82396] DISPLAY_SUMMARY,xETyPXWhj9 
[82470] QUOTE,xETyPXWhj9,JXR 
[82471] QUOTE,xETyPXWhj9,VVO 
[82592] SET_SELL_AMOUNT,xETyPXWhj9,UBJ,249.14 
[82599] SET_SELL_TRIGGER,xETyPXWhj9,UBJ,187.75 
[82629] SET_SELL_TRIGGER,xETyPXWhj9,CUQ,91.23 
[82681] SET_SELL_AMOUNT,xETyPXWhj9,GRM,527.54 
[82741] SET_SELL_TRIGGER,xETyPXWhj9,GRM,339.26 
[82757] SELL,xETyPXWhj9,UIE,719.31 
[82814] CANCEL_SELL,xETyPXWhj9 
[82947] ADD,xETyPXWhj9,59886.63 
[83004] QUOTE,xETyPXWhj9,YWC 
[83030] BUY,xETyPXWhj9,VWU,24.36 
[83064] COMMIT_BUY,xETyPXWhj9 
[83081] SET_SELL_AMOUNT,xETyPXWhj9,UIE,689.15 
[83311] QUOTE,xETyPXWhj9,LCP 
[83399] SET_BUY_TRIGGER,xETyPXWhj9,YBB,14.21 
[83468] ADD,xETyPXWhj9,50907.87 
[83474] QUOTE,xETyPXWhj9,YWK 
[83591] ADD,xETyPXWhj9,80321.85 
[83643] BUY,xETyPXWhj9,DJD,161.59 
[83653] SET_SELL_AMOUNT,xETyPXWhj9,VTY,107.35 
[83659] CANCEL_SET_SELL,xETyPXWhj9,VTY 
[83677] ADD,xETyPXWhj9,91361.79 
[83743] BUY,xETyPXWhj9,MVY,507.77 
[83755] BUY,xETyPXWhj9,OSA,604.88 
[83873] COMMIT_BUY,xETyPXWhj9 
[84077] DISPLAY_SUMMARY,xETyPXWhj9 
[84121] QUOTE,xETyPXWhj9,ZOW 
[84175] SET_SELL_AMOUNT,xETyPXWhj9,CUZ,415.88 
[84269] SET_SELL_TRIGGER,xETyPXWhj9,CUZ,260.83 
[84493] SET_BUY_TRIGGER,xETyPXWhj9,IVV,20.53 
[84676] SET_BUY_TRIGGER,xETyPXWhj9,MOS,167.05 
[84708] QUOTE,xETyPXWhj9,MIU 
[84853] SET_SELL_TRIGGER,xETyPXWhj9,KHY,32.04 
[85006] SELL,xETyPXWhj9,MFX,643.36 
[85039] CANCEL_SELL,xETyPXWhj9 
[85086] ADD,xETyPXWhj9,65446.25 
[85295] BUY,xETyPXWhj9,BTD,441.56 
[85459] COMMIT_BUY,xETyPXWhj9 
[85632] ADD,xETyPXWhj9,71606.32 
[85698] QUOTE,xETyPXWhj9,DFE 
[85714] ADD,xETyPXWhj9,76721.38 
[85717] QUOTE,xETyPXWhj9,NZS 
[85728] SET_SELL_TRIGGER,xETyPXWhj9,WZY,56.90 
[85738] DISPLAY_SUMMARY,xETyPXWhj9 
[85851] QUOTE,xETyPXWhj9,QSS 
[86121] BUY,xETyPXWhj9,XOA,636.36 
[86438] COMMIT_BUY,xETyPXWhj9 
[86480] ADD,xETyPXWhj9,92130.61 
[86737] QUOTE,xETyPXWhj9,JEO 
[86761] BUY,xETyPXWhj9,QJC,50.20 
[86870] COMMIT_BUY,xETyPXWhj9 
[86922] SELL,xETyPXWhj9,CEC,568.52 
[86940] COMMIT_SELL,xETyPXWhj9 
[86945] QUOTE,xETyPXWhj9,LVT 
[86972] SET_BUY_TRIGGER,xETyPXWhj9,NGB,25.64 
[87372] DISPLAY_SUMMARY,xETyPXWhj9 
[87385] ADD,xETyPXWhj9,78344.31 
[87562] BUY,xETyPXWhj9,FWW,68.92 
[87630] COMMIT_BUY,xETyPXWhj9 
[87693] COMMIT_BUY,xETyPXWhj9 
[87727] SET_BUY_AMOUNT,xETyPXWhj9,OZO,510.70 
[87755] SET_BUY_TRIGGER,xETyPXWhj9,PCK,201.12 
[87879] BUY,xETyPXWhj9,RUN,328.01 
[87943] COMMIT_BUY,xETyPXWhj9 
[88029] SET_BUY_TRIGGER,xETyPXWhj9,VMK,39.60 
[88100] QUOTE,xETyPXWhj9,BBC 
[88124] ADD,xETyPXWhj9,87993.81 
[88147] QUOTE,xETyPXWhj9,HYX 
[88203] SET_BUY_TRIGGER,xETyPXWhj9,TAR,48.52 
[88227] SELL,xETyPXWhj9,VTY,97.35 
[88243] CANCEL_SELL,xETyPXWhj9 
[88667] SET_BUY_TRIGGER,xETyPXWhj9,MOF,69.58 
[88741] QUOTE,xETyPXWhj9,DOI 
[88932] QUOTE,xETyPXWhj9,VMT 
[88955] QUOTE,xETyPXWhj9,NJB 
[89149] ADD,xETyPXWhj9,76974.40 
[89186] BUY,xETyPXWhj9,QEO,703.26 
[89223] DISPLAY_SUMMARY,xETyPXWhj9 
[89444] QUOTE,xETyPXWhj9,PFN 
[89525] BUY,xETyPXWhj9,DBS,586.91 
[89684] COMMIT_BUY,xETyPXWhj9 
[89866] BUY,xETyPXWhj9,WAI,522.45 
[90038] QUOTE,xETyPXWhj9,JZJ 
[90070] ADD,xETyPXWhj9,78178.86 
[90227] BUY,xETyPXWhj9,KJD,622.88 
[90410] DISPLAY_SUMMARY,xETyPXWhj9 
[90420] BUY,xETyPXWhj9,JEO,594.70 
[90633] COMMIT_BUY,xETyPXWhj9 
[90742] ADD,xETyPXWhj9,72081.71 
[90830] BUY,xETyPXWhj9,WAI,453.32 
[90849] DISPLAY_SUMMARY,xETyPXWhj9 
[90995] SELL,xETyPXWhj9,HFS,529.66 
[91088] SELL,xETyPXWhj9,ZTI,407.32 
[91179] QUOTE,xETyPXWhj9,OKK 
[91184] ADD,xETyPXWhj9,80547.76 
[91241] CANCEL_SET_SELL,xETyPXWhj9,DDH 
[91405] SET_SELL_TRIGGER,xETyPXWhj9,BPP,6.69 
[91464] SELL,xETyPXWhj9,GSW,158.62 
[91860] CANCEL_SELL,xETyPXWhj9 
[91954] BUY,xETyPXWhj9,ETB,470.76 
[92002] SET_BUY_AMOUNT,xETyPXWhj9,MXD,745.01 
[92147] SET_BUY_TRIGGER,xETyPXWhj9,VOU,490.10 
[92483] SET_SELL_TRIGGER,xETyPXWhj9,DWU,100.69 
[92549] ADD,xETyPXWhj9,80007.56 
[92647] QUOTE,xETyPXWhj9,CCH 
[92751] BUY,xETyPXWhj9,CJV,177.72 
[92992] QUOTE,xETyPXWhj9,NBX 
[93019] SET_SELL_AMOUNT,xETyPXWhj9,OEY,599.37 
[93040] SET_SELL_TRIGGER,xETyPXWhj9,OEY,516.68 
[93188] DISPLAY_SUMMARY,xETyPXWhj9 
[93281] SET_SELL_TRIGGER,xETyPXWhj9,ZHB,40.16 
[93282] ADD,xETyPXWhj9,71832.68 
[93325] SET_BUY_AMOUNT,xETyPXWhj9,SZI,299.57 
[93382] SET_BUY_TRIGGER,xETyPXWhj9,XOM,276.85 
[93431] ADD,xETyPXWhj9,85763.58 
[93445] QUOTE,xETyPXWhj9,ASJ 
[93459] BUY,xETyPXWhj9,LLF,480.51 
[93682] CANCEL_BUY,xETyPXWhj9 
[93884] SET_BUY_AMOUNT,xETyPXWhj9,KBN,683.86 
[93922] SET_BUY_TRIGGER,xETyPXWhj9,MGO,367.51 
[93953] QUOTE,xETyPXWhj9,CBQ 
[93966] BUY,xETyPXWhj9,TJL,520.81 
[93981] SELL,xETyPXWhj9,VDP,674.54 
[93999] COMMIT_SELL,xETyPXWhj9 
[94023] ADD,xETyPXWhj9,71141.09 
[94031] QUOTE,xETyPXWhj9,HIW 
[94054] DISPLAY_SUMMARY,xETyPXWhj9 
[94233] ADD,xETyPXWhj9,65960.08 
[94344] BUY,xETyPXWhj9,KBI,462.42 
[94601] COMMIT_BUY,xETyPXWhj9 
[94696] SELL,xETyPXWhj9,BYA,558.82 
[94841] COMMIT_BUY,xETyPXWhj9 
[94911] ADD,xETyPXWhj9,102662.25 
[94924] BUY,xETyPXWhj9,WYR,601.05 
[94979] COMMIT_BUY,xETyPXWhj9 
[95059] BUY,xETyPXWhj9,VMT,153.46 
[95242] CANCEL_BUY,xETyPXWhj9 
[95257] BUY,xETyPXWhj9,URA,556.95 
[95409] COMMIT_BUY,xETyPXWhj9 
[95492] ADD,xETyPXWhj9,58349.38 
[95847] ADD,xETyPXWhj9,87077.77 
[95910] BUY,xETyPXWhj9,TAR,58.33 
[95937] CANCEL_SELL,xETyPXWhj9 
[95973] ADD,xETyPXWhj9,41138.99 
