[18] ADD,8IA1PUK3hd,73742.71 
[46231] BUY,8IA1PUK3hd,PJJ,590.20 
[46275] COMMIT_BUY,8IA1PUK3hd 
[46288] DISPLAY_SUMMARY,8IA1PUK3hd 
[46410] SET_BUY_AMOUNT,8IA1PUK3hd,UTV,289.56 
[46446] SET_BUY_TRIGGER,8IA1PUK3hd,QPE,181.05 
[46752] SET_SELL_AMOUNT,8IA1PUK3hd,EBS,311.53 
[47058] QUOTE,8IA1PUK3hd,UTV 
[47206] ADD,8IA1PUK3hd,63598.75 
[47261] QUOTE,8IA1PUK3hd,OFP 
[47694] QUOTE,8IA1PUK3hd,RRE 
[47765] QUOTE,8IA1PUK3hd,TVP 
[47842] SELL,8IA1PUK3hd,DFE,333.79 
[47869] COMMIT_SELL,8IA1PUK3hd 
[47913] SET_BUY_TRIGGER,8IA1PUK3hd,DJD,146.61 
[48210] SET_SELL_TRIGGER,8IA1PUK3hd,EBS,93.24 
[48316] BUY,8IA1PUK3hd,OQZ,128.67 
[48329] COMMIT_BUY,8IA1PUK3hd 
[48358] BUY,8IA1PUK3hd,ULL,207.20 
[48487] QUOTE,8IA1PUK3hd,CXB 
[48525] CANCEL_BUY,8IA1PUK3hd 
[48715] ADD,8IA1PUK3hd,91183.69 
[48821] QUOTE,8IA1PUK3hd,JEA 
[48828] QUOTE,8IA1PUK3hd,RVU 
[48905] BUY,8IA1PUK3hd,FFI,678.36 
[48908] DISPLAY_SUMMARY,8IA1PUK3hd 
[49142] CANCEL_SET_SELL,8IA1PUK3hd,KJM 
[49158] ADD,8IA1PUK3hd,84900.06 
[49187] QUOTE,8IA1PUK3hd,FKX 
[49377] QUOTE,8IA1PUK3hd,ZPD 
[49706] QUOTE,8IA1PUK3hd,ALG 
[49842] CANCEL_SET_BUY,8IA1PUK3hd,NDD 
[49880] SELL,8IA1PUK3hd,JQO,284.28 
[49917] CANCEL_SELL,8IA1PUK3hd 
[50057] ADD,8IA1PUK3hd,81209.69 
[50094] QUOTE,8IA1PUK3hd,MUN 
[50098] SET_BUY_AMOUNT,8IA1PUK3hd,NHG,156.49 
[50106] SET_BUY_TRIGGER,8IA1PUK3hd,PHZ,41.73 
[50123] DISPLAY_SUMMARY,8IA1PUK3hd 
[50146] DISPLAY_SUMMARY,8IA1PUK3hd 
[50193] SET_BUY_AMOUNT,8IA1PUK3hd,FQP,278.86 
[50236] SET_BUY_TRIGGER,8IA1PUK3hd,LMB,273.28 
[50248] SET_SELL_AMOUNT,8IA1PUK3hd,QAX,192.88 
[50263] CANCEL_SET_SELL,8IA1PUK3hd,QAX 
[50321] QUOTE,8IA1PUK3hd,THH 
[50327] CANCEL_BUY,8IA1PUK3hd 
[50448] SELL,8IA1PUK3hd,KES,8.59 
[50517] COMMIT_SELL,8IA1PUK3hd 
[50527] SET_SELL_TRIGGER,8IA1PUK3hd,HTN,6.92 
[50675] SELL,8IA1PUK3hd,JZJ,192.59 
[50686] QUOTE,8IA1PUK3hd,ZQC 
[50742] SET_SELL_AMOUNT,8IA1PUK3hd,JVT,507.11 
[50749] SET_SELL_TRIGGER,8IA1PUK3hd,JVT,482.15 
[50844] QUOTE,8IA1PUK3hd,QWC 
[50966] ADD,8IA1PUK3hd,40296.54 
[51009] BUY,8IA1PUK3hd,ROW,302.53 
[51068] COMMIT_BUY,8IA1PUK3hd 
[51130] SET_SELL_TRIGGER,8IA1PUK3hd,XTH,50.11 
[51218] SET_BUY_AMOUNT,8IA1PUK3hd,GYF,698.63 
[51431] SET_BUY_TRIGGER,8IA1PUK3hd,HZA,533.75 
[51481] DISPLAY_SUMMARY,8IA1PUK3hd 
[51600] SELL,8IA1PUK3hd,KDA,170.77 
[51651] COMMIT_SELL,8IA1PUK3hd 
[51906] DISPLAY_SUMMARY,8IA1PUK3hd 
[52221] SET_SELL_AMOUNT,8IA1PUK3hd,YJK,329.14 
[52545] SET_SELL_TRIGGER,8IA1PUK3hd,YJK,86.94 
[52623] QUOTE,8IA1PUK3hd,BRT 
[52705] QUOTE,8IA1PUK3hd,YEW 
[52879] SET_BUY_TRIGGER,8IA1PUK3hd,YUR,34.42 
[53016] ADD,8IA1PUK3hd,42699.75 
[53187] BUY,8IA1PUK3hd,QGE,612.05 
[53217] CANCEL_SELL,8IA1PUK3hd 
[53387] ADD,8IA1PUK3hd,75957.91 
[53451] BUY,8IA1PUK3hd,MGK,341.11 
[53478] COMMIT_BUY,8IA1PUK3hd 
[53590] ADD,8IA1PUK3hd,74376.05 
[53614] QUOTE,8IA1PUK3hd,LAM 
[53979] BUY,8IA1PUK3hd,CMA,561.80 
[54021] COMMIT_BUY,8IA1PUK3hd 
[54262] DISPLAY_SUMMARY,8IA1PUK3hd 
[54340] SET_SELL_AMOUNT,8IA1PUK3hd,KDA,382.83 
[54399] SET_SELL_TRIGGER,8IA1PUK3hd,KDA,223.30 
[54546] ADD,8IA1PUK3hd,66663.74 
[54615] CANCEL_SET_SELL,8IA1PUK3hd,BPP 
[54628] SET_BUY_TRIGGER,8IA1PUK3hd,GGY,84.86 
[54645] COMMIT_SELL,8IA1PUK3hd 
[54650] ADD,8IA1PUK3hd,80380.45 
[54678] DISPLAY_SUMMARY,8IA1PUK3hd 
[54789] BUY,8IA1PUK3hd,PCK,48.62 
[54808] COMMIT_BUY,8IA1PUK3hd 
[54843] DISPLAY_SUMMARY,8IA1PUK3hd 
[54895] DISPLAY_SUMMARY,8IA1PUK3hd 
[55028] QUOTE,8IA1PUK3hd,UTV 
[55241] CANCEL_SELL,8IA1PUK3hd 
[55344] CANCEL_BUY,8IA1PUK3hd 
[55476] BUY,8IA1PUK3hd,ZJG,681.01 
[55545] COMMIT_BUY,8IA1PUK3hd 
[55641] QUOTE,8IA1PUK3hd,MGK 
[55778] BUY,8IA1PUK3hd,PMX,165.52 
[55890] QUOTE,8IA1PUK3hd,LUD 
[56007] BUY,8IA1PUK3hd,AHE,121.54 
[56056] DISPLAY_SUMMARY,8IA1PUK3hd 
[56260] ADD,8IA1PUK3hd,74072.98 
[56398] CANCEL_SET_BUY,8IA1PUK3hd,NKC 
[56403] SET_BUY_AMOUNT,8IA1PUK3hd,XLK,314.79 
[56485] SET_BUY_TRIGGER,8IA1PUK3hd,KPP,200.97 
[56569] SET_SELL_AMOUNT,8IA1PUK3hd,JRJ,400.82 
[56646] SET_SELL_TRIGGER,8IA1PUK3hd,JRJ,100.66 
[56684] SET_SELL_TRIGGER,8IA1PUK3hd,GYT,151.35 
[56755] DISPLAY_SUMMARY,8IA1PUK3hd 
[56801] ADD,8IA1PUK3hd,67059.16 
[56837] SELL,8IA1PUK3hd,ZAN,410.13 
[56882] CANCEL_SELL,8IA1PUK3hd 
[56911] SELL,8IA1PUK3hd,RNK,416.31 
[57284] COMMIT_SELL,8IA1PUK3hd 
[57350] DISPLAY_SUMMARY,8IA1PUK3hd 
[57617] SELL,8IA1PUK3hd,AVX,553.20 
[57649] CANCEL_SELL,8IA1PUK3hd 
[57758] ADD,8IA1PUK3hd,55294.93 
[57765] QUOTE,8IA1PUK3hd,JXR 
[57943] QUOTE,8IA1PUK3hd,JQO 
[58066] ADD,8IA1PUK3hd,64095.32 
[58081] QUOTE,8IA1PUK3hd,MRK 
[58521] QUOTE,8IA1PUK3hd,NIR 
[58529] SET_BUY_AMOUNT,8IA1PUK3hd,QJZ,467.05 
[58595] SET_BUY_TRIGGER,8IA1PUK3hd,FIY,295.05 
[58704] SELL,8IA1PUK3hd,QAX,308.58 
[58728] COMMIT_BUY,8IA1PUK3hd 
[59227] DISPLAY_SUMMARY,8IA1PUK3hd 
[59315] SET_BUY_AMOUNT,8IA1PUK3hd,UBJ,634.96 
[59405] SET_BUY_TRIGGER,8IA1PUK3hd,ZTR,166.60 
[59433] QUOTE,8IA1PUK3hd,DQW 
[59672] QUOTE,8IA1PUK3hd,KEV 
[59675] QUOTE,8IA1PUK3hd,GPC 
[59773] BUY,8IA1PUK3hd,ENQ,684.57 
[59828] COMMIT_BUY,8IA1PUK3hd 
[59926] ADD,8IA1PUK3hd,74455.11 
[60338] BUY,8IA1PUK3hd,COE,394.06 
[60341] CANCEL_SET_BUY,8IA1PUK3hd,XAN 
[60368] QUOTE,8IA1PUK3hd,CBY 
[60482] SELL,8IA1PUK3hd,OPN,720.87 
[60546] SET_BUY_AMOUNT,8IA1PUK3hd,FDI,35.15 
[60573] CANCEL_SET_BUY,8IA1PUK3hd,OIV 
[60697] ADD,8IA1PUK3hd,58835.44 
[60949] BUY,8IA1PUK3hd,MWB,721.68 
[60954] COMMIT_BUY,8IA1PUK3hd 
[60959] QUOTE,8IA1PUK3hd,JNO 
[60978] QUOTE,8IA1PUK3hd,CBQ 
[61025] QUOTE,8IA1PUK3hd,EBS 
[61366] BUY,8IA1PUK3hd,AOC,251.72 
[61911] COMMIT_BUY,8IA1PUK3hd 
[62045] SET_SELL_AMOUNT,8IA1PUK3hd,XLK,583.12 
[62070] SET_SELL_TRIGGER,8IA1PUK3hd,XLK,242.75 
[62097] SET_SELL_AMOUNT,8IA1PUK3hd,KDA,116.80 
[62184] SET_SELL_TRIGGER,8IA1PUK3hd,KDA,99.13 
[62200] DISPLAY_SUMMARY,8IA1PUK3hd 
[62370] ADD,8IA1PUK3hd,78543.09 
[62465] BUY,8IA1PUK3hd,PFN,450.45 
[62550] COMMIT_BUY,8IA1PUK3hd 
[62616] QUOTE,8IA1PUK3hd,SZI 
[62692] QUOTE,8IA1PUK3hd,OEX 
[62778] SET_SELL_TRIGGER,8IA1PUK3hd,QQI,77.73 
[62911] DISPLAY_SUMMARY,8IA1PUK3hd 
[62924] DISPLAY_SUMMARY,8IA1PUK3hd 
[63110] SET_SELL_AMOUNT,8IA1PUK3hd,JQO,156.88 
[63133] SET_SELL_TRIGGER,8IA1PUK3hd,JQO,132.88 
[63391] SET_BUY_AMOUNT,8IA1PUK3hd,NHG,728.51 
[63504] SET_BUY_TRIGGER,8IA1PUK3hd,URI,700.70 
[63581] SET_SELL_TRIGGER,8IA1PUK3hd,ZLY,114.77 
[63595] DISPLAY_SUMMARY,8IA1PUK3hd 
[63672] QUOTE,8IA1PUK3hd,AJR 
[63700] DISPLAY_SUMMARY,8IA1PUK3hd 
[63781] ADD,8IA1PUK3hd,68863.88 
[63972] BUY,8IA1PUK3hd,RYU,435.50 
[64040] CANCEL_BUY,8IA1PUK3hd 
[64091] SET_SELL_AMOUNT,8IA1PUK3hd,OPN,708.30 
[64121] SET_SELL_TRIGGER,8IA1PUK3hd,OPN,642.90 
[64289] ADD,8IA1PUK3hd,86581.26 
[64317] BUY,8IA1PUK3hd,YBO,236.78 
[64373] COMMIT_BUY,8IA1PUK3hd 
[64398] DISPLAY_SUMMARY,8IA1PUK3hd 
[64444] DISPLAY_SUMMARY,8IA1PUK3hd 
[64452] SET_BUY_TRIGGER,8IA1PUK3hd,GUW,176.04 
[64473] COMMIT_SELL,8IA1PUK3hd 
[64501] ADD,8IA1PUK3hd,52707.06 
[64599] BUY,8IA1PUK3hd,DFE,231.75 
[64676] COMMIT_BUY,8IA1PUK3hd 
[64724] DISPLAY_SUMMARY,8IA1PUK3hd 
[65025] SELL,8IA1PUK3hd,OPN,217.87 
[65287] COMMIT_SELL,8IA1PUK3hd 
[65475] CANCEL_SET_SELL,8IA1PUK3hd,ZAO 
[65502] SET_SELL_TRIGGER,8IA1PUK3hd,POE,143.23 
[65515] BUY,8IA1PUK3hd,BEG,586.31 
[65648] COMMIT_BUY,8IA1PUK3hd 
[65757] BUY,8IA1PUK3hd,FYR,674.71 
[65796] COMMIT_BUY,8IA1PUK3hd 
[65812] SET_BUY_TRIGGER,8IA1PUK3hd,KVJ,6.13 
[65872] QUOTE,8IA1PUK3hd,NZS 
[65943] CANCEL_SET_SELL,8IA1PUK3hd,VZB 
[65956] SELL,8IA1PUK3hd,KDA,437.30 
[66068] COMMIT_SELL,8IA1PUK3hd 
[66260] DISPLAY_SUMMARY,8IA1PUK3hd 
[66514] DISPLAY_SUMMARY,8IA1PUK3hd 
[66543] ADD,8IA1PUK3hd,88488.21 
[66589] QUOTE,8IA1PUK3hd,FZU 
[66656] ADD,8IA1PUK3hd,71806.63 
[66926] QUOTE,8IA1PUK3hd,XDN 
[67004] BUY,8IA1PUK3hd,JJW,26.89 
[67234] COMMIT_BUY,8IA1PUK3hd 
[67342] SET_BUY_TRIGGER,8IA1PUK3hd,VOU,21.57 
[67419] DISPLAY_SUMMARY,8IA1PUK3hd 
[67440] SELL,8IA1PUK3hd,XLK,526.85 
[67489] SET_BUY_TRIGGER,8IA1PUK3hd,IOM,42.83 
[67490] BUY,8IA1PUK3hd,EUM,175.38 
[67632] COMMIT_SELL,8IA1PUK3hd 
[67803] SELL,8IA1PUK3hd,XQC,443.60 
[67824] COMMIT_SELL,8IA1PUK3hd 
[67844] ADD,8IA1PUK3hd,60820.33 
[67862] SET_SELL_TRIGGER,8IA1PUK3hd,MWJ,30.67 
[67889] SET_SELL_AMOUNT,8IA1PUK3hd,BYA,41.77 
[68183] BUY,8IA1PUK3hd,OXV,284.97 
[68188] COMMIT_BUY,8IA1PUK3hd 
[68477] CANCEL_SELL,8IA1PUK3hd 
[68506] SELL,8IA1PUK3hd,RNK,239.53 
[68779] SET_SELL_TRIGGER,8IA1PUK3hd,BYA,21.15 
[69014] SET_BUY_TRIGGER,8IA1PUK3hd,MDZ,12.08 
[69061] SET_BUY_AMOUNT,8IA1PUK3hd,KES,673.20 
[69159] SET_BUY_TRIGGER,8IA1PUK3hd,SYT,304.00 
[69161] BUY,8IA1PUK3hd,CZQ,668.29 
[69249] COMMIT_BUY,8IA1PUK3hd 
[69294] SET_BUY_TRIGGER,8IA1PUK3hd,RDN,190.61 
[69433] SET_SELL_TRIGGER,8IA1PUK3hd,QAX,0.27 
[69498] BUY,8IA1PUK3hd,ECX,230.80 
[69519] CANCEL_BUY,8IA1PUK3hd 
[69766] QUOTE,8IA1PUK3hd,URI 
[69767] QUOTE,8IA1PUK3hd,IFU 
[69810] BUY,8IA1PUK3hd,GIK,618.71 
[69984] COMMIT_SELL,8IA1PUK3hd 
[70101] SELL,8IA1PUK3hd,XXQ,637.33 
[70234] SET_SELL_AMOUNT,8IA1PUK3hd,PTP,400.08 
[70276] SELL,8IA1PUK3hd,AVX,315.96 
[70468] COMMIT_SELL,8IA1PUK3hd 
[70512] SELL,8IA1PUK3hd,KDA,191.08 
[70616] COMMIT_SELL,8IA1PUK3hd 
[70719] ADD,8IA1PUK3hd,43025.12 
[70730] QUOTE,8IA1PUK3hd,YVS 
[71221] BUY,8IA1PUK3hd,WNU,595.62 
[71312] COMMIT_BUY,8IA1PUK3hd 
[71442] SET_BUY_TRIGGER,8IA1PUK3hd,MIU,155.54 
[71475] SET_SELL_TRIGGER,8IA1PUK3hd,PTP,141.57 
[71519] SET_BUY_AMOUNT,8IA1PUK3hd,UTV,120.67 
[71554] SET_BUY_TRIGGER,8IA1PUK3hd,IEQ,96.69 
[71602] SELL,8IA1PUK3hd,AVX,37.76 
[71690] SET_BUY_TRIGGER,8IA1PUK3hd,TVX,150.80 
[71772] QUOTE,8IA1PUK3hd,UTD 
[71925] SET_BUY_AMOUNT,8IA1PUK3hd,JRJ,429.72 
[72034] SET_BUY_TRIGGER,8IA1PUK3hd,FVZ,169.82 
[72125] BUY,8IA1PUK3hd,MVY,561.53 
[72135] COMMIT_BUY,8IA1PUK3hd 
[72148] SET_SELL_TRIGGER,8IA1PUK3hd,DVA,165.75 
[72543] SET_BUY_AMOUNT,8IA1PUK3hd,SSF,622.77 
[72600] SET_BUY_TRIGGER,8IA1PUK3hd,TKG,433.88 
[72679] QUOTE,8IA1PUK3hd,VMK 
[72916] BUY,8IA1PUK3hd,CBQ,182.50 
[73144] DISPLAY_SUMMARY,8IA1PUK3hd 
[73175] ADD,8IA1PUK3hd,88779.51 
[73193] QUOTE,8IA1PUK3hd,QEO 
[73572] BUY,8IA1PUK3hd,ZPD,62.76 
[73574] CANCEL_BUY,8IA1PUK3hd 
[73671] QUOTE,8IA1PUK3hd,STQ 
[73711] SET_BUY_AMOUNT,8IA1PUK3hd,JVT,145.26 
[73772] SET_BUY_TRIGGER,8IA1PUK3hd,QJZ,111.72 
[74174] SET_SELL_AMOUNT,8IA1PUK3hd,RNK,602.28 
[74675] CANCEL_SET_SELL,8IA1PUK3hd,RNK 
[75087] QUOTE,8IA1PUK3hd,GZU 
[75102] BUY,8IA1PUK3hd,BTA,582.95 
[75282] COMMIT_BUY,8IA1PUK3hd 
[75288] DISPLAY_SUMMARY,8IA1PUK3hd 
[75469] QUOTE,8IA1PUK3hd,HVE 
[75922] QUOTE,8IA1PUK3hd,FRB 
[75965] SET_BUY_AMOUNT,8IA1PUK3hd,JQO,37.99 
[76016] CANCEL_SET_BUY,8IA1PUK3hd,MIR 
[76022] ADD,8IA1PUK3hd,48857.03 
[76099] SET_SELL_AMOUNT,8IA1PUK3hd,UBJ,451.63 
[76123] SET_SELL_TRIGGER,8IA1PUK3hd,UBJ,448.56 
[76138] BUY,8IA1PUK3hd,KRX,378.57 
[76165] QUOTE,8IA1PUK3hd,MJU 
[76524] ADD,8IA1PUK3hd,82561.62 
[76544] QUOTE,8IA1PUK3hd,DJD 
[76587] BUY,8IA1PUK3hd,ZJB,654.48 
[76772] COMMIT_BUY,8IA1PUK3hd 
[76893] ADD,8IA1PUK3hd,84630.64 
[76994] DISPLAY_SUMMARY,8IA1PUK3hd 
[77206] SET_SELL_TRIGGER,8IA1PUK3hd,FUR,148.10 
[77497] BUY,8IA1PUK3hd,SNU,430.02 
[77507] CANCEL_BUY,8IA1PUK3hd 
[77517] ADD,8IA1PUK3hd,44156.14 
[77872] BUY,8IA1PUK3hd,URI,411.76 
[78190] SET_BUY_AMOUNT,8IA1PUK3hd,CSZ,134.31 
[78248] SET_BUY_TRIGGER,8IA1PUK3hd,ECX,112.00 
[78395] QUOTE,8IA1PUK3hd,PXX 
[78418] BUY,8IA1PUK3hd,ZYF,545.82 
[78443] COMMIT_BUY,8IA1PUK3hd 
[78534] SET_BUY_AMOUNT,8IA1PUK3hd,FDI,646.58 
[78826] SET_BUY_TRIGGER,8IA1PUK3hd,WJS,311.84 
[79085] DISPLAY_SUMMARY,8IA1PUK3hd 
[79127] ADD,8IA1PUK3hd,62657.84 
[79271] CANCEL_SET_SELL,8IA1PUK3hd,XDN 
[79377] DISPLAY_SUMMARY,8IA1PUK3hd 
[79479] SELL,8IA1PUK3hd,UBJ,199.66 
[79511] COMMIT_SELL,8IA1PUK3hd 
[79557] SET_SELL_TRIGGER,8IA1PUK3hd,LLE,127.20 
[79758] SELL,8IA1PUK3hd,GRM,542.90 
[79821] COMMIT_SELL,8IA1PUK3hd 
[79890] SET_SELL_AMOUNT,8IA1PUK3hd,YDS,178.44 
[80003] SET_SELL_TRIGGER,8IA1PUK3hd,YDS,30.92 
[80008] QUOTE,8IA1PUK3hd,EUM 
[80015] QUOTE,8IA1PUK3hd,PLB 
[80216] BUY,8IA1PUK3hd,IFU,504.59 
[80257] COMMIT_BUY,8IA1PUK3hd 
[80336] SET_SELL_TRIGGER,8IA1PUK3hd,KCS,116.29 
[80562] SET_SELL_AMOUNT,8IA1PUK3hd,ZTI,201.71 
[80617] SET_SELL_TRIGGER,8IA1PUK3hd,ZTI,128.59 
[80629] ADD,8IA1PUK3hd,59022.00 
[80672] BUY,8IA1PUK3hd,WKL,373.06 
[80693] COMMIT_BUY,8IA1PUK3hd 
[80724] CANCEL_BUY,8IA1PUK3hd 
[80847] DISPLAY_SUMMARY,8IA1PUK3hd 
[81199] ADD,8IA1PUK3hd,75516.51 
[81202] CANCEL_SET_BUY,8IA1PUK3hd,WUF 
[81211] QUOTE,8IA1PUK3hd,BBC 
[81351] SELL,8IA1PUK3hd,YJK,731.13 
[81360] CANCEL_SET_SELL,8IA1PUK3hd,OAV 
[81399] DISPLAY_SUMMARY,8IA1PUK3hd 
[81507] SET_SELL_TRIGGER,8IA1PUK3hd,FSD,174.49 
[81838] SET_BUY_TRIGGER,8IA1PUK3hd,YXK,19.34 
[81868] SELL,8IA1PUK3hd,CUZ,740.37 
[81971] COMMIT_SELL,8IA1PUK3hd 
[82238] DISPLAY_SUMMARY,8IA1PUK3hd 
[82363] ADD,8IA1PUK3hd,41057.23 
[82429] BUY,8IA1PUK3hd,HWO,380.49 
[82555] CANCEL_SET_SELL,8IA1PUK3hd,DRP 
[82656] SET_BUY_TRIGGER,8IA1PUK3hd,CBY,42.63 
[82686] BUY,8IA1PUK3hd,AEM,544.61 
[82713] COMMIT_BUY,8IA1PUK3hd 
[82818] DISPLAY_SUMMARY,8IA1PUK3hd 
[82940] COMMIT_BUY,8IA1PUK3hd 
[83020] SET_SELL_TRIGGER,8IA1PUK3hd,ZNZ,76.64 
[83045] DISPLAY_SUMMARY,8IA1PUK3hd 
[83048] ADD,8IA1PUK3hd,52621.58 
[83110] QUOTE,8IA1PUK3hd,OYX 
[83271] BUY,8IA1PUK3hd,GTX,378.00 
[83294] SET_SELL_TRIGGER,8IA1PUK3hd,JQJ,76.70 
[83333] BUY,8IA1PUK3hd,WRJ,749.89 
[83339] COMMIT_BUY,8IA1PUK3hd 
[83457] SET_BUY_TRIGGER,8IA1PUK3hd,BZX,69.89 
[83524] BUY,8IA1PUK3hd,PIC,33.10 
[83629] COMMIT_BUY,8IA1PUK3hd 
[83819] QUOTE,8IA1PUK3hd,RDK 
[83836] BUY,8IA1PUK3hd,VNN,274.05 
[83911] CANCEL_BUY,8IA1PUK3hd 
[83969] CANCEL_BUY,8IA1PUK3hd 
[83988] DISPLAY_SUMMARY,8IA1PUK3hd 
[83999] SET_BUY_AMOUNT,8IA1PUK3hd,KES,383.67 
[84001] SET_BUY_TRIGGER,8IA1PUK3hd,NXF,49.87 
[84116] SELL,8IA1PUK3hd,RNK,121.51 
[84258] CANCEL_SELL,8IA1PUK3hd 
[84321] SET_BUY_TRIGGER,8IA1PUK3hd,BYA,84.64 
[84534] DISPLAY_SUMMARY,8IA1PUK3hd 
[84535] ADD,8IA1PUK3hd,49428.75 
[84569] BUY,8IA1PUK3hd,POE,651.60 
[84648] CANCEL_BUY,8IA1PUK3hd 
[84717] ADD,8IA1PUK3hd,57465.57 
[84916] BUY,8IA1PUK3hd,TTY,293.91 
[84967] CANCEL_BUY,8IA1PUK3hd 
[85059] DISPLAY_SUMMARY,8IA1PUK3hd 
[85233] DISPLAY_SUMMARY,8IA1PUK3hd 
[85288] QUOTE,8IA1PUK3hd,JVE 
[85454] SET_BUY_TRIGGER,8IA1PUK3hd,MLT,110.86 
[85842] QUOTE,8IA1PUK3hd,MZT 
[86013] QUOTE,8IA1PUK3hd,URY 
[86208] SET_BUY_AMOUNT,8IA1PUK3hd,JZJ,737.81 
[86354] SET_BUY_TRIGGER,8IA1PUK3hd,CUZ,245.29 
[86424] CANCEL_BUY,8IA1PUK3hd 
[86477] SET_BUY_AMOUNT,8IA1PUK3hd,KDA,246.51 
[86592] CANCEL_SET_BUY,8IA1PUK3hd,EDW 
[86726] DISPLAY_SUMMARY,8IA1PUK3hd 
[86992] SET_BUY_AMOUNT,8IA1PUK3hd,CUZ,555.31 
[86998] SET_BUY_TRIGGER,8IA1PUK3hd,XLI,336.60 
[87013] SET_SELL_AMOUNT,8IA1PUK3hd,BCQ,693.09 
[87035] CANCEL_SET_SELL,8IA1PUK3hd,BCQ 
[87040] SET_BUY_TRIGGER,8IA1PUK3hd,NHB,102.53 
[87151] DISPLAY_SUMMARY,8IA1PUK3hd 
[87276] SET_SELL_AMOUNT,8IA1PUK3hd,IFN,139.44 
[87433] SET_SELL_TRIGGER,8IA1PUK3hd,IFN,70.30 
[87577] SET_BUY_TRIGGER,8IA1PUK3hd,RJG,57.71 
[87646] QUOTE,8IA1PUK3hd,NIR 
[87701] QUOTE,8IA1PUK3hd,VGW 
[87778] BUY,8IA1PUK3hd,XFH,173.72 
[87948] ADD,8IA1PUK3hd,96127.25 
[87952] CANCEL_SET_SELL,8IA1PUK3hd,ENQ 
[88112] BUY,8IA1PUK3hd,VXY,691.87 
[88186] CANCEL_SELL,8IA1PUK3hd 
[88373] DISPLAY_SUMMARY,8IA1PUK3hd 
[88418] BUY,8IA1PUK3hd,IFU,55.28 
[88483] COMMIT_BUY,8IA1PUK3hd 
[88503] SELL,8IA1PUK3hd,QJZ,603.47 
[88742] COMMIT_SELL,8IA1PUK3hd 
[88836] COMMIT_SELL,8IA1PUK3hd 
[88930] ADD,8IA1PUK3hd,71792.59 
[89316] BUY,8IA1PUK3hd,VOU,328.78 
[89334] COMMIT_BUY,8IA1PUK3hd 
[89440] SET_SELL_TRIGGER,8IA1PUK3hd,VNO,111.33 
[89515] ADD,8IA1PUK3hd,95040.83 
[89579] BUY,8IA1PUK3hd,GPM,452.16 
[89766] DISPLAY_SUMMARY,8IA1PUK3hd 
[89971] SET_SELL_AMOUNT,8IA1PUK3hd,MXD,458.82 
[90147] QUOTE,8IA1PUK3hd,AVI 
[90201] QUOTE,8IA1PUK3hd,CBV 
[90255] QUOTE,8IA1PUK3hd,LHC 
[90504] ADD,8IA1PUK3hd,65837.34 
[90535] BUY,8IA1PUK3hd,KES,450.02 
[90559] COMMIT_BUY,8IA1PUK3hd 
[90565] ADD,8IA1PUK3hd,77014.63 
[90925] BUY,8IA1PUK3hd,GCW,601.85 
[91086] COMMIT_BUY,8IA1PUK3hd 
[91347] ADD,8IA1PUK3hd,85234.11 
[91400] QUOTE,8IA1PUK3hd,KJD 
[91502] BUY,8IA1PUK3hd,SQI,451.00 
[91774] COMMIT_BUY,8IA1PUK3hd 
[91861] ADD,8IA1PUK3hd,74468.50 
[91892] SET_BUY_AMOUNT,8IA1PUK3hd,AVX,298.07 
[91967] CANCEL_SET_BUY,8IA1PUK3hd,UEC 
[92093] CANCEL_SET_BUY,8IA1PUK3hd,WUL 
[92094] DISPLAY_SUMMARY,8IA1PUK3hd 
[92301] QUOTE,8IA1PUK3hd,WTD 
[92501] QUOTE,8IA1PUK3hd,MLI 
[92541] ADD,8IA1PUK3hd,50193.83 
[92548] BUY,8IA1PUK3hd,KEO,197.85 
[92557] COMMIT_BUY,8IA1PUK3hd 
[92585] ADD,8IA1PUK3hd,88832.18 
[92609] QUOTE,8IA1PUK3hd,UDQ 
[92617] QUOTE,8IA1PUK3hd,FLY 
[92620] BUY,8IA1PUK3hd,BXH,4.49 
[92720] COMMIT_BUY,8IA1PUK3hd 
[92758] ADD,8IA1PUK3hd,62259.40 
[92981] BUY,8IA1PUK3hd,LCP,272.55 
[93060] BUY,8IA1PUK3hd,CSZ,560.88 
[93064] ADD,8IA1PUK3hd,56086.15 
[93186] BUY,8IA1PUK3hd,RQS,49.48 
[93204] QUOTE,8IA1PUK3hd,IPH 
[93425] BUY,8IA1PUK3hd,KBP,589.75 
[93582] COMMIT_BUY,8IA1PUK3hd 
[93679] BUY,8IA1PUK3hd,QVA,350.37 
[94172] COMMIT_BUY,8IA1PUK3hd 
[94331] DISPLAY_SUMMARY,8IA1PUK3hd 
[94403] ADD,8IA1PUK3hd,57815.40 
[94441] QUOTE,8IA1PUK3hd,VVO 
[94496] QUOTE,8IA1PUK3hd,TSS 
[94531] QUOTE,8IA1PUK3hd,SYE 
[94643] CANCEL_SELL,8IA1PUK3hd 
[94670] ADD,8IA1PUK3hd,68301.05 
[94716] BUY,8IA1PUK3hd,FGI,652.91 
[94849] CANCEL_SELL,8IA1PUK3hd 
[94900] ADD,8IA1PUK3hd,68913.23 
[94915] BUY,8IA1PUK3hd,KMV,632.15 
[95004] SET_SELL_TRIGGER,8IA1PUK3hd,MXD,384.30 
[95142] QUOTE,8IA1PUK3hd,LJY 
[95225] DISPLAY_SUMMARY,8IA1PUK3hd 
