[34] ADD,g3Xh0OB6vf,68223.85 
[46327] DISPLAY_SUMMARY,g3Xh0OB6vf 
[46368] QUOTE,g3Xh0OB6vf,GRD 
[46424] QUOTE,g3Xh0OB6vf,UXP 
[46432] SELL,g3Xh0OB6vf,JQO,634.30 
[46484] COMMIT_SELL,g3Xh0OB6vf 
[46559] SELL,g3Xh0OB6vf,JZJ,411.64 
[46668] COMMIT_SELL,g3Xh0OB6vf 
[46681] ADD,g3Xh0OB6vf,60226.12 
[46703] QUOTE,g3Xh0OB6vf,SOT 
[46766] QUOTE,g3Xh0OB6vf,BHJ 
[47135] BUY,g3Xh0OB6vf,FZU,330.75 
[47164] COMMIT_BUY,g3Xh0OB6vf 
[47336] SET_BUY_AMOUNT,g3Xh0OB6vf,JRJ,419.05 
[47355] SET_BUY_TRIGGER,g3Xh0OB6vf,WRN,210.39 
[47548] SELL,g3Xh0OB6vf,LFU,638.45 
[47573] COMMIT_BUY,g3Xh0OB6vf 
[47685] CANCEL_SET_BUY,g3Xh0OB6vf,IHA 
[47698] DISPLAY_SUMMARY,g3Xh0OB6vf 
[47867] SET_SELL_AMOUNT,g3Xh0OB6vf,CSZ,142.25 
[47881] QUOTE,g3Xh0OB6vf,CSZ 
[47907] SET_BUY_TRIGGER,g3Xh0OB6vf,SAR,77.60 
[47923] SELL,g3Xh0OB6vf,OPN,274.85 
[47978] SET_SELL_TRIGGER,g3Xh0OB6vf,CSZ,1.90 
[48016] SET_BUY_TRIGGER,g3Xh0OB6vf,QWC,162.44 
[48192] DISPLAY_SUMMARY,g3Xh0OB6vf 
[48219] SET_BUY_TRIGGER,g3Xh0OB6vf,NUV,126.05 
[48246] ADD,g3Xh0OB6vf,88542.71 
[48355] QUOTE,g3Xh0OB6vf,SKY 
[48366] BUY,g3Xh0OB6vf,XLK,187.84 
[48398] CANCEL_BUY,g3Xh0OB6vf 
[48531] BUY,g3Xh0OB6vf,ZEU,262.09 
[48629] COMMIT_BUY,g3Xh0OB6vf 
[48631] ADD,g3Xh0OB6vf,75597.29 
[49180] BUY,g3Xh0OB6vf,WDC,52.59 
[49356] SET_SELL_TRIGGER,g3Xh0OB6vf,UZZ,152.72 
[49384] CANCEL_SELL,g3Xh0OB6vf 
[49386] CANCEL_SELL,g3Xh0OB6vf 
[49457] SET_SELL_AMOUNT,g3Xh0OB6vf,FDI,284.78 
[49462] CANCEL_SET_SELL,g3Xh0OB6vf,FDI 
[49514] SET_BUY_AMOUNT,g3Xh0OB6vf,XXQ,412.71 
[49528] QUOTE,g3Xh0OB6vf,VBO 
[49660] SET_SELL_AMOUNT,g3Xh0OB6vf,CSZ,636.07 
[49669] SET_SELL_TRIGGER,g3Xh0OB6vf,CSZ,443.68 
[49678] SET_BUY_TRIGGER,g3Xh0OB6vf,LKV,386.29 
[49791] QUOTE,g3Xh0OB6vf,YOQ 
[49862] BUY,g3Xh0OB6vf,ULL,666.52 
[49945] SET_SELL_AMOUNT,g3Xh0OB6vf,XLK,486.35 
[50210] CANCEL_SET_SELL,g3Xh0OB6vf,XLK 
[50270] ADD,g3Xh0OB6vf,62611.04 
[50273] BUY,g3Xh0OB6vf,VFH,668.44 
[50421] SET_SELL_AMOUNT,g3Xh0OB6vf,UBJ,319.41 
[50456] SET_SELL_TRIGGER,g3Xh0OB6vf,UBJ,124.20 
[50494] CANCEL_SET_BUY,g3Xh0OB6vf,IWL 
[50937] BUY,g3Xh0OB6vf,VMD,8.92 
[50967] COMMIT_BUY,g3Xh0OB6vf 
[50979] ADD,g3Xh0OB6vf,60699.52 
[51162] QUOTE,g3Xh0OB6vf,QLM 
[51192] ADD,g3Xh0OB6vf,110164.87 
[51322] COMMIT_BUY,g3Xh0OB6vf 
[51472] ADD,g3Xh0OB6vf,78473.94 
[51549] BUY,g3Xh0OB6vf,KEO,37.11 
[51576] COMMIT_BUY,g3Xh0OB6vf 
[51589] SET_SELL_TRIGGER,g3Xh0OB6vf,XVK,113.92 
[51648] SET_SELL_AMOUNT,g3Xh0OB6vf,XLK,391.63 
[51694] SET_SELL_TRIGGER,g3Xh0OB6vf,XLK,262.30 
[51755] QUOTE,g3Xh0OB6vf,GXT 
[51777] BUY,g3Xh0OB6vf,VNF,174.35 
[52125] COMMIT_BUY,g3Xh0OB6vf 
[52139] ADD,g3Xh0OB6vf,66349.10 
[52146] QUOTE,g3Xh0OB6vf,DMS 
[52160] BUY,g3Xh0OB6vf,DJD,32.09 
[52176] COMMIT_BUY,g3Xh0OB6vf 
[52216] CANCEL_SET_SELL,g3Xh0OB6vf,QGL 
[52344] SET_SELL_AMOUNT,g3Xh0OB6vf,SSF,241.70 
[52355] SET_SELL_TRIGGER,g3Xh0OB6vf,SSF,89.04 
[52447] DISPLAY_SUMMARY,g3Xh0OB6vf 
[52680] CANCEL_SET_SELL,g3Xh0OB6vf,WUF 
[52857] BUY,g3Xh0OB6vf,FIY,715.26 
[52980] DISPLAY_SUMMARY,g3Xh0OB6vf 
[53262] CANCEL_BUY,g3Xh0OB6vf 
[53339] SET_BUY_AMOUNT,g3Xh0OB6vf,VTY,184.59 
[53417] SET_BUY_TRIGGER,g3Xh0OB6vf,TQE,1.61 
[53419] SET_BUY_AMOUNT,g3Xh0OB6vf,ZYR,88.18 
[53501] QUOTE,g3Xh0OB6vf,LMB 
[53681] BUY,g3Xh0OB6vf,JDW,310.55 
[53882] ADD,g3Xh0OB6vf,69407.77 
[53913] CANCEL_SET_SELL,g3Xh0OB6vf,LJY 
[53919] SET_SELL_TRIGGER,g3Xh0OB6vf,MFY,123.41 
[54145] DISPLAY_SUMMARY,g3Xh0OB6vf 
[54208] ADD,g3Xh0OB6vf,43757.32 
[54272] BUY,g3Xh0OB6vf,PHJ,12.13 
[54445] BUY,g3Xh0OB6vf,CCH,651.54 
[54465] COMMIT_BUY,g3Xh0OB6vf 
[54478] SELL,g3Xh0OB6vf,BYA,362.71 
[54564] COMMIT_SELL,g3Xh0OB6vf 
[54670] ADD,g3Xh0OB6vf,67257.97 
[54702] BUY,g3Xh0OB6vf,SSF,149.73 
[54779] COMMIT_BUY,g3Xh0OB6vf 
[54945] SELL,g3Xh0OB6vf,SSF,331.89 
[54950] CANCEL_SELL,g3Xh0OB6vf 
[54970] DISPLAY_SUMMARY,g3Xh0OB6vf 
[54971] ADD,g3Xh0OB6vf,74190.96 
[55158] SET_BUY_TRIGGER,g3Xh0OB6vf,NRY,43.90 
[55312] DISPLAY_SUMMARY,g3Xh0OB6vf 
[55328] SELL,g3Xh0OB6vf,FDI,301.15 
[55366] QUOTE,g3Xh0OB6vf,UGT 
[55437] SELL,g3Xh0OB6vf,AVX,569.95 
[55624] COMMIT_SELL,g3Xh0OB6vf 
[55655] ADD,g3Xh0OB6vf,77962.05 
[55771] SELL,g3Xh0OB6vf,RNK,45.61 
[55774] COMMIT_SELL,g3Xh0OB6vf 
[56020] ADD,g3Xh0OB6vf,38951.80 
[56085] QUOTE,g3Xh0OB6vf,JGY 
[56125] DISPLAY_SUMMARY,g3Xh0OB6vf 
[56262] ADD,g3Xh0OB6vf,91056.04 
[56605] SET_SELL_AMOUNT,g3Xh0OB6vf,BYA,120.79 
[56647] SET_SELL_TRIGGER,g3Xh0OB6vf,BYA,93.26 
[56696] QUOTE,g3Xh0OB6vf,OAS 
[56792] BUY,g3Xh0OB6vf,KTU,278.96 
[56824] COMMIT_BUY,g3Xh0OB6vf 
[56995] SET_SELL_AMOUNT,g3Xh0OB6vf,NHG,287.45 
[57043] SET_SELL_TRIGGER,g3Xh0OB6vf,NHG,0.94 
[57236] BUY,g3Xh0OB6vf,ESN,89.69 
[57390] SET_BUY_TRIGGER,g3Xh0OB6vf,MWV,176.86 
[57492] ADD,g3Xh0OB6vf,71855.79 
[57537] QUOTE,g3Xh0OB6vf,EDV 
[57556] BUY,g3Xh0OB6vf,JFF,484.42 
[57653] COMMIT_BUY,g3Xh0OB6vf 
[57778] ADD,g3Xh0OB6vf,68928.91 
[57825] BUY,g3Xh0OB6vf,NHB,640.59 
[57832] COMMIT_BUY,g3Xh0OB6vf 
[57957] CANCEL_SET_SELL,g3Xh0OB6vf,SQI 
[57971] ADD,g3Xh0OB6vf,89020.40 
[58005] BUY,g3Xh0OB6vf,KJM,567.26 
[58006] CANCEL_SELL,g3Xh0OB6vf 
[58041] ADD,g3Xh0OB6vf,64594.28 
[58108] QUOTE,g3Xh0OB6vf,RNK 
[58153] SELL,g3Xh0OB6vf,PTP,575.24 
[58408] COMMIT_SELL,g3Xh0OB6vf 
[58458] DISPLAY_SUMMARY,g3Xh0OB6vf 
[58615] DISPLAY_SUMMARY,g3Xh0OB6vf 
[58678] BUY,g3Xh0OB6vf,APU,622.16 
[58683] COMMIT_BUY,g3Xh0OB6vf 
[58726] SET_SELL_TRIGGER,g3Xh0OB6vf,BBC,95.78 
[58800] ADD,g3Xh0OB6vf,43333.78 
[59082] CANCEL_SET_SELL,g3Xh0OB6vf,TUO 
[59097] SET_SELL_TRIGGER,g3Xh0OB6vf,GQV,110.24 
[59332] SET_SELL_TRIGGER,g3Xh0OB6vf,OXK,9.33 
[59339] ADD,g3Xh0OB6vf,45160.91 
[59364] BUY,g3Xh0OB6vf,WAO,138.94 
[59564] COMMIT_BUY,g3Xh0OB6vf 
[59572] QUOTE,g3Xh0OB6vf,DBR 
[59907] BUY,g3Xh0OB6vf,IWL,22.89 
[59917] CANCEL_SET_SELL,g3Xh0OB6vf,NHB 
[59940] ADD,g3Xh0OB6vf,61981.11 
[60010] BUY,g3Xh0OB6vf,TTV,144.00 
[60254] COMMIT_BUY,g3Xh0OB6vf 
[60295] SET_BUY_TRIGGER,g3Xh0OB6vf,PST,49.03 
[60586] DISPLAY_SUMMARY,g3Xh0OB6vf 
[60593] SELL,g3Xh0OB6vf,OEY,73.40 
[61023] COMMIT_SELL,g3Xh0OB6vf 
[61198] QUOTE,g3Xh0OB6vf,OXK 
[61225] QUOTE,g3Xh0OB6vf,WNH 
[61233] BUY,g3Xh0OB6vf,LLE,712.11 
[61336] CANCEL_BUY,g3Xh0OB6vf 
[61373] SET_BUY_TRIGGER,g3Xh0OB6vf,QVA,149.00 
[61391] SET_BUY_AMOUNT,g3Xh0OB6vf,QAX,135.41 
[61400] BUY,g3Xh0OB6vf,AUX,311.60 
[61438] DISPLAY_SUMMARY,g3Xh0OB6vf 
[61478] ADD,g3Xh0OB6vf,63071.66 
[61535] BUY,g3Xh0OB6vf,JTX,146.59 
[61604] CANCEL_SELL,g3Xh0OB6vf 
[61716] ADD,g3Xh0OB6vf,76375.04 
[61830] QUOTE,g3Xh0OB6vf,NFV 
[61854] BUY,g3Xh0OB6vf,DQW,543.51 
[61924] COMMIT_BUY,g3Xh0OB6vf 
[61944] SELL,g3Xh0OB6vf,JCQ,619.18 
[61958] CANCEL_SET_BUY,g3Xh0OB6vf,FYR 
[62034] SET_BUY_TRIGGER,g3Xh0OB6vf,LEA,75.19 
[62228] QUOTE,g3Xh0OB6vf,NGG 
[62381] QUOTE,g3Xh0OB6vf,MFX 
[62498] CANCEL_BUY,g3Xh0OB6vf 
[62564] COMMIT_SELL,g3Xh0OB6vf 
[62672] BUY,g3Xh0OB6vf,PUU,745.93 
[62828] CANCEL_BUY,g3Xh0OB6vf 
[63012] SELL,g3Xh0OB6vf,OPN,580.35 
[63022] COMMIT_SELL,g3Xh0OB6vf 
[63041] DISPLAY_SUMMARY,g3Xh0OB6vf 
[63111] SET_SELL_TRIGGER,g3Xh0OB6vf,EGX,12.38 
[63119] ADD,g3Xh0OB6vf,88220.57 
[63240] CANCEL_BUY,g3Xh0OB6vf 
[63308] DISPLAY_SUMMARY,g3Xh0OB6vf 
[63337] DISPLAY_SUMMARY,g3Xh0OB6vf 
[63398] DISPLAY_SUMMARY,g3Xh0OB6vf 
[63400] DISPLAY_SUMMARY,g3Xh0OB6vf 
[63437] QUOTE,g3Xh0OB6vf,UFX 
[63590] SET_BUY_TRIGGER,g3Xh0OB6vf,WDJ,141.42 
[63703] SET_SELL_AMOUNT,g3Xh0OB6vf,CSZ,217.06 
[63804] CANCEL_SET_SELL,g3Xh0OB6vf,CSZ 
[63853] SELL,g3Xh0OB6vf,QVK,354.45 
[63909] COMMIT_SELL,g3Xh0OB6vf 
[63954] BUY,g3Xh0OB6vf,JUE,255.51 
[63977] COMMIT_BUY,g3Xh0OB6vf 
[64197] DISPLAY_SUMMARY,g3Xh0OB6vf 
[64260] COMMIT_BUY,g3Xh0OB6vf 
[64329] SET_SELL_AMOUNT,g3Xh0OB6vf,FQP,708.92 
[64364] SET_SELL_TRIGGER,g3Xh0OB6vf,FQP,705.64 
[64525] SET_BUY_AMOUNT,g3Xh0OB6vf,MFX,432.66 
[64534] BUY,g3Xh0OB6vf,IAV,7.40 
[64655] COMMIT_BUY,g3Xh0OB6vf 
[64661] ADD,g3Xh0OB6vf,69221.59 
[64669] QUOTE,g3Xh0OB6vf,LMO 
[64682] QUOTE,g3Xh0OB6vf,OOR 
[64855] ADD,g3Xh0OB6vf,79314.77 
[65122] QUOTE,g3Xh0OB6vf,BPK 
[65161] SET_BUY_AMOUNT,g3Xh0OB6vf,OEY,233.82 
[65226] DISPLAY_SUMMARY,g3Xh0OB6vf 
[65278] ADD,g3Xh0OB6vf,49303.06 
[65280] COMMIT_BUY,g3Xh0OB6vf 
[65319] SET_SELL_TRIGGER,g3Xh0OB6vf,NDJ,26.42 
[65351] SET_BUY_TRIGGER,g3Xh0OB6vf,NVX,176.32 
[65635] ADD,g3Xh0OB6vf,70797.09 
[65657] BUY,g3Xh0OB6vf,ULL,603.33 
[65805] SET_BUY_AMOUNT,g3Xh0OB6vf,XLK,54.74 
[66120] SET_BUY_TRIGGER,g3Xh0OB6vf,MRH,28.53 
[66230] SET_BUY_TRIGGER,g3Xh0OB6vf,CBK,181.25 
[66477] ADD,g3Xh0OB6vf,69685.10 
[66570] QUOTE,g3Xh0OB6vf,XRK 
[66720] BUY,g3Xh0OB6vf,QVA,369.04 
[66769] SET_SELL_AMOUNT,g3Xh0OB6vf,BCQ,226.59 
[66904] SET_SELL_TRIGGER,g3Xh0OB6vf,BCQ,70.64 
[67027] BUY,g3Xh0OB6vf,ZWC,111.37 
[67226] COMMIT_BUY,g3Xh0OB6vf 
[67334] SET_BUY_TRIGGER,g3Xh0OB6vf,OEY,60.93 
[67454] SET_BUY_TRIGGER,g3Xh0OB6vf,TUO,42.25 
[67786] ADD,g3Xh0OB6vf,85866.93 
[67866] BUY,g3Xh0OB6vf,DOI,705.19 
[67924] COMMIT_BUY,g3Xh0OB6vf 
[67979] SET_BUY_AMOUNT,g3Xh0OB6vf,BYA,114.13 
[68298] SET_BUY_TRIGGER,g3Xh0OB6vf,ZFT,75.12 
[68303] QUOTE,g3Xh0OB6vf,XOL 
[68354] QUOTE,g3Xh0OB6vf,ZER 
[68581] ADD,g3Xh0OB6vf,88297.98 
[68746] SET_BUY_TRIGGER,g3Xh0OB6vf,YEH,181.88 
[68774] BUY,g3Xh0OB6vf,BUL,566.86 
[68885] COMMIT_BUY,g3Xh0OB6vf 
[69105] QUOTE,g3Xh0OB6vf,BWL 
[69219] BUY,g3Xh0OB6vf,OYX,85.08 
[69254] QUOTE,g3Xh0OB6vf,LUD 
[69374] BUY,g3Xh0OB6vf,PLB,661.79 
[69412] SET_BUY_TRIGGER,g3Xh0OB6vf,YJK,80.64 
[69652] QUOTE,g3Xh0OB6vf,DVA 
[69661] BUY,g3Xh0OB6vf,POI,703.34 
[70213] COMMIT_SELL,g3Xh0OB6vf 
[70219] SELL,g3Xh0OB6vf,CUZ,748.65 
[70294] QUOTE,g3Xh0OB6vf,BJL 
[70339] SET_SELL_AMOUNT,g3Xh0OB6vf,EBS,268.27 
[70488] SET_SELL_TRIGGER,g3Xh0OB6vf,EBS,265.95 
[70489] SET_SELL_AMOUNT,g3Xh0OB6vf,SQI,524.35 
[70716] SET_SELL_TRIGGER,g3Xh0OB6vf,SQI,443.63 
[70875] QUOTE,g3Xh0OB6vf,KIP 
[71195] QUOTE,g3Xh0OB6vf,KZC 
[71217] BUY,g3Xh0OB6vf,OKK,717.98 
[71356] QUOTE,g3Xh0OB6vf,KJM 
[71459] SET_BUY_AMOUNT,g3Xh0OB6vf,UBJ,82.03 
[71577] CANCEL_SET_BUY,g3Xh0OB6vf,ZAO 
[71592] ADD,g3Xh0OB6vf,60458.70 
[71782] QUOTE,g3Xh0OB6vf,GHE 
[71785] QUOTE,g3Xh0OB6vf,ALG 
[72002] BUY,g3Xh0OB6vf,JTY,627.96 
[72039] COMMIT_BUY,g3Xh0OB6vf 
[72097] BUY,g3Xh0OB6vf,MGK,132.50 
[72216] SET_SELL_TRIGGER,g3Xh0OB6vf,DES,113.70 
[72471] ADD,g3Xh0OB6vf,71475.25 
[72730] QUOTE,g3Xh0OB6vf,QNK 
[72754] BUY,g3Xh0OB6vf,JNO,411.45 
[73138] ADD,g3Xh0OB6vf,83956.91 
[73329] BUY,g3Xh0OB6vf,XZO,53.81 
[73333] CANCEL_SET_SELL,g3Xh0OB6vf,JXR 
[73353] QUOTE,g3Xh0OB6vf,UCG 
[73380] QUOTE,g3Xh0OB6vf,DMW 
[73482] QUOTE,g3Xh0OB6vf,FIC 
[73532] BUY,g3Xh0OB6vf,IJO,149.43 
[73564] COMMIT_BUY,g3Xh0OB6vf 
[73657] QUOTE,g3Xh0OB6vf,PHJ 
[73763] BUY,g3Xh0OB6vf,OIY,249.03 
[74168] QUOTE,g3Xh0OB6vf,CLQ 
[74175] BUY,g3Xh0OB6vf,KES,286.29 
[74211] QUOTE,g3Xh0OB6vf,LNJ 
[74308] QUOTE,g3Xh0OB6vf,NGZ 
[74410] SET_SELL_TRIGGER,g3Xh0OB6vf,LSM,74.38 
[74540] ADD,g3Xh0OB6vf,56786.94 
[74666] COMMIT_BUY,g3Xh0OB6vf 
[74706] SELL,g3Xh0OB6vf,UBJ,78.18 
[74770] COMMIT_SELL,g3Xh0OB6vf 
[75021] SET_BUY_TRIGGER,g3Xh0OB6vf,FQP,152.39 
[75089] BUY,g3Xh0OB6vf,JUN,231.18 
[75146] SET_BUY_TRIGGER,g3Xh0OB6vf,OLI,59.21 
[75159] SELL,g3Xh0OB6vf,CBO,288.55 
[75393] COMMIT_SELL,g3Xh0OB6vf 
[75421] ADD,g3Xh0OB6vf,59178.06 
[75625] BUY,g3Xh0OB6vf,XXT,116.66 
[75673] CANCEL_BUY,g3Xh0OB6vf 
[75751] QUOTE,g3Xh0OB6vf,BSZ 
[75759] SET_BUY_AMOUNT,g3Xh0OB6vf,XLK,69.60 
[76041] SET_BUY_TRIGGER,g3Xh0OB6vf,WTL,57.99 
[76101] DISPLAY_SUMMARY,g3Xh0OB6vf 
[76166] ADD,g3Xh0OB6vf,79956.03 
[76424] QUOTE,g3Xh0OB6vf,ZGC 
[76580] BUY,g3Xh0OB6vf,IFU,511.02 
[76632] COMMIT_BUY,g3Xh0OB6vf 
[76650] DISPLAY_SUMMARY,g3Xh0OB6vf 
[76675] SET_BUY_TRIGGER,g3Xh0OB6vf,FXT,51.44 
[76703] COMMIT_SELL,g3Xh0OB6vf 
[76751] QUOTE,g3Xh0OB6vf,EYY 
[76802] SET_BUY_TRIGGER,g3Xh0OB6vf,OIV,133.72 
[76981] DISPLAY_SUMMARY,g3Xh0OB6vf 
[77128] BUY,g3Xh0OB6vf,VEN,476.33 
[77362] QUOTE,g3Xh0OB6vf,MGK 
[77384] CANCEL_SELL,g3Xh0OB6vf 
[77427] SELL,g3Xh0OB6vf,BYA,301.74 
[77483] COMMIT_SELL,g3Xh0OB6vf 
[77505] SET_SELL_AMOUNT,g3Xh0OB6vf,SZI,246.45 
[77764] CANCEL_SET_SELL,g3Xh0OB6vf,SZI 
[77783] BUY,g3Xh0OB6vf,RNE,180.42 
[77938] COMMIT_BUY,g3Xh0OB6vf 
[77974] SET_SELL_TRIGGER,g3Xh0OB6vf,KDA,10.20 
[78334] SELL,g3Xh0OB6vf,XQC,37.79 
[78341] COMMIT_SELL,g3Xh0OB6vf 
[78626] BUY,g3Xh0OB6vf,WYA,597.57 
[78645] SELL,g3Xh0OB6vf,NHG,168.48 
[78677] COMMIT_SELL,g3Xh0OB6vf 
[78735] QUOTE,g3Xh0OB6vf,GGI 
[78819] BUY,g3Xh0OB6vf,XII,238.79 
[78924] BUY,g3Xh0OB6vf,YEW,530.40 
[79066] SET_SELL_AMOUNT,g3Xh0OB6vf,RUN,673.64 
[79236] SET_SELL_TRIGGER,g3Xh0OB6vf,RUN,366.18 
[79264] SET_SELL_TRIGGER,g3Xh0OB6vf,UEC,158.83 
[79538] SET_BUY_AMOUNT,g3Xh0OB6vf,SSF,465.70 
[79583] CANCEL_SET_BUY,g3Xh0OB6vf,FCH 
[79596] ADD,g3Xh0OB6vf,91507.90 
[79729] QUOTE,g3Xh0OB6vf,MXN 
[79765] SELL,g3Xh0OB6vf,JRJ,321.22 
[79788] SET_BUY_TRIGGER,g3Xh0OB6vf,POI,83.26 
[79834] SET_SELL_AMOUNT,g3Xh0OB6vf,JRJ,268.16 
[79911] SET_SELL_TRIGGER,g3Xh0OB6vf,JRJ,3.51 
[79941] SELL,g3Xh0OB6vf,UTV,525.70 
[79943] COMMIT_SELL,g3Xh0OB6vf 
[79950] DISPLAY_SUMMARY,g3Xh0OB6vf 
[80046] QUOTE,g3Xh0OB6vf,WOJ 
[80073] BUY,g3Xh0OB6vf,DFE,315.79 
[80255] COMMIT_BUY,g3Xh0OB6vf 
[80322] SELL,g3Xh0OB6vf,JZJ,203.71 
[80519] COMMIT_SELL,g3Xh0OB6vf 
[80533] SELL,g3Xh0OB6vf,OEY,387.77 
[81229] CANCEL_SELL,g3Xh0OB6vf 
[81346] ADD,g3Xh0OB6vf,56603.02 
[81385] BUY,g3Xh0OB6vf,FUR,640.46 
[81496] COMMIT_BUY,g3Xh0OB6vf 
[81530] SET_BUY_AMOUNT,g3Xh0OB6vf,ZAN,103.95 
[81670] DISPLAY_SUMMARY,g3Xh0OB6vf 
[81680] ADD,g3Xh0OB6vf,84622.77 
[82035] BUY,g3Xh0OB6vf,XBE,217.35 
[82041] COMMIT_BUY,g3Xh0OB6vf 
[82126] DISPLAY_SUMMARY,g3Xh0OB6vf 
[82216] SET_SELL_TRIGGER,g3Xh0OB6vf,GCW,121.67 
[82254] SELL,g3Xh0OB6vf,XQC,236.47 
[82317] SET_BUY_AMOUNT,g3Xh0OB6vf,QGE,747.05 
[82340] SET_BUY_TRIGGER,g3Xh0OB6vf,EOS,577.70 
[82342] CANCEL_SELL,g3Xh0OB6vf 
[82358] SET_SELL_TRIGGER,g3Xh0OB6vf,XAN,115.47 
[82381] ADD,g3Xh0OB6vf,53998.01 
[82501] BUY,g3Xh0OB6vf,PYM,403.19 
[82532] COMMIT_BUY,g3Xh0OB6vf 
[82616] SET_SELL_TRIGGER,g3Xh0OB6vf,FRB,180.90 
[82658] QUOTE,g3Xh0OB6vf,HTD 
[82709] QUOTE,g3Xh0OB6vf,KAF 
[82816] BUY,g3Xh0OB6vf,HRJ,459.17 
[82950] COMMIT_SELL,g3Xh0OB6vf 
[82994] SET_SELL_AMOUNT,g3Xh0OB6vf,QAX,248.63 
[83149] SET_SELL_TRIGGER,g3Xh0OB6vf,QAX,137.11 
[83207] DISPLAY_SUMMARY,g3Xh0OB6vf 
[83240] ADD,g3Xh0OB6vf,81175.96 
[83529] QUOTE,g3Xh0OB6vf,UMV 
[83536] SET_BUY_TRIGGER,g3Xh0OB6vf,APU,136.91 
[83675] DISPLAY_SUMMARY,g3Xh0OB6vf 
[83711] SET_BUY_AMOUNT,g3Xh0OB6vf,OZO,428.46 
[83773] SET_BUY_TRIGGER,g3Xh0OB6vf,QQI,280.37 
[84058] SET_SELL_AMOUNT,g3Xh0OB6vf,XLK,233.43 
[84093] DISPLAY_SUMMARY,g3Xh0OB6vf 
[84101] SELL,g3Xh0OB6vf,OPN,582.64 
[84267] COMMIT_SELL,g3Xh0OB6vf 
[84340] BUY,g3Xh0OB6vf,YTO,30.89 
[84506] BUY,g3Xh0OB6vf,GLO,152.75 
[84509] COMMIT_BUY,g3Xh0OB6vf 
[84608] QUOTE,g3Xh0OB6vf,WSR 
[84610] SET_SELL_TRIGGER,g3Xh0OB6vf,XLK,125.44 
[84957] ADD,g3Xh0OB6vf,56260.43 
[84997] BUY,g3Xh0OB6vf,FXT,465.61 
[85260] QUOTE,g3Xh0OB6vf,DJD 
[85412] QUOTE,g3Xh0OB6vf,VZB 
[86067] BUY,g3Xh0OB6vf,WAI,237.39 
[86077] SET_BUY_TRIGGER,g3Xh0OB6vf,JNO,46.61 
[86088] BUY,g3Xh0OB6vf,YDD,125.03 
[86133] COMMIT_BUY,g3Xh0OB6vf 
[86218] ADD,g3Xh0OB6vf,52831.46 
[86249] QUOTE,g3Xh0OB6vf,JUG 
[86346] SET_BUY_AMOUNT,g3Xh0OB6vf,FDI,695.15 
[86452] SET_BUY_TRIGGER,g3Xh0OB6vf,VCN,2.71 
[86524] SET_BUY_AMOUNT,g3Xh0OB6vf,VTY,82.41 
[86600] SELL,g3Xh0OB6vf,CEC,271.69 
[86671] ADD,g3Xh0OB6vf,58545.69 
[86723] DISPLAY_SUMMARY,g3Xh0OB6vf 
[86758] BUY,g3Xh0OB6vf,OIY,243.59 
[86759] CANCEL_SET_SELL,g3Xh0OB6vf,LSG 
[86854] SET_BUY_TRIGGER,g3Xh0OB6vf,ZMK,45.07 
[87234] ADD,g3Xh0OB6vf,77102.15 
[87281] QUOTE,g3Xh0OB6vf,ZMS 
[87313] BUY,g3Xh0OB6vf,IZS,673.59 
[87415] CANCEL_BUY,g3Xh0OB6vf 
[87676] QUOTE,g3Xh0OB6vf,SAJ 
[87721] BUY,g3Xh0OB6vf,ZWC,209.12 
[87744] BUY,g3Xh0OB6vf,LLD,548.83 
[87783] COMMIT_BUY,g3Xh0OB6vf 
[88191] QUOTE,g3Xh0OB6vf,YOQ 
[88213] ADD,g3Xh0OB6vf,69447.15 
[88329] SET_BUY_TRIGGER,g3Xh0OB6vf,RQT,143.70 
[88541] DISPLAY_SUMMARY,g3Xh0OB6vf 
[88605] QUOTE,g3Xh0OB6vf,MVY 
[88692] QUOTE,g3Xh0OB6vf,BOS 
[88872] BUY,g3Xh0OB6vf,JNO,699.03 
[88904] DISPLAY_SUMMARY,g3Xh0OB6vf 
[88931] ADD,g3Xh0OB6vf,78490.56 
[89034] BUY,g3Xh0OB6vf,ZSV,72.74 
[89529] COMMIT_BUY,g3Xh0OB6vf 
[89680] QUOTE,g3Xh0OB6vf,EAK 
[89758] BUY,g3Xh0OB6vf,BOS,100.17 
[89800] QUOTE,g3Xh0OB6vf,ZER 
[90149] QUOTE,g3Xh0OB6vf,YLZ 
[90171] QUOTE,g3Xh0OB6vf,JUJ 
[90253] BUY,g3Xh0OB6vf,CVK,610.86 
[90467] COMMIT_BUY,g3Xh0OB6vf 
[90599] SET_SELL_TRIGGER,g3Xh0OB6vf,FPV,20.45 
[90678] SELL,g3Xh0OB6vf,TKM,7.78 
[90918] SET_BUY_TRIGGER,g3Xh0OB6vf,ZQC,143.99 
[90946] ADD,g3Xh0OB6vf,80255.69 
[91064] QUOTE,g3Xh0OB6vf,FQR 
[91214] BUY,g3Xh0OB6vf,ECL,415.60 
[91705] CANCEL_SET_BUY,g3Xh0OB6vf,ROW 
[91902] ADD,g3Xh0OB6vf,72089.68 
[91940] BUY,g3Xh0OB6vf,NAW,184.64 
[92076] COMMIT_BUY,g3Xh0OB6vf 
[92080] DISPLAY_SUMMARY,g3Xh0OB6vf 
[92495] SET_SELL_AMOUNT,g3Xh0OB6vf,YJK,129.33 
