[49] ADD,km22Ao7dfo,69757.94 
[45250] CANCEL_BUY,km22Ao7dfo 
[45354] QUOTE,km22Ao7dfo,EDV 
[45426] SET_BUY_AMOUNT,km22Ao7dfo,GYF,563.31 
[45550] SET_BUY_TRIGGER,km22Ao7dfo,WPG,488.14 
[45707] ADD,km22Ao7dfo,62620.67 
[45720] BUY,km22Ao7dfo,YBP,136.71 
[45723] COMMIT_BUY,km22Ao7dfo 
[45817] SET_SELL_AMOUNT,km22Ao7dfo,JQO,160.00 
[46064] CANCEL_SET_SELL,km22Ao7dfo,JQO 
[46069] QUOTE,km22Ao7dfo,JQG 
[46361] QUOTE,km22Ao7dfo,YTO 
[46425] ADD,km22Ao7dfo,65920.62 
[46478] BUY,km22Ao7dfo,GJR,574.47 
[46575] SET_SELL_AMOUNT,km22Ao7dfo,QAX,130.02 
[46643] SET_SELL_TRIGGER,km22Ao7dfo,QAX,19.79 
[46745] DISPLAY_SUMMARY,km22Ao7dfo 
[46753] SET_BUY_AMOUNT,km22Ao7dfo,KES,526.80 
[46756] SET_BUY_TRIGGER,km22Ao7dfo,QGE,427.72 
[46800] BUY,km22Ao7dfo,ARP,720.99 
[46829] COMMIT_BUY,km22Ao7dfo 
[46868] ADD,km22Ao7dfo,108082.82 
[47048] QUOTE,km22Ao7dfo,GYT 
[47055] ADD,km22Ao7dfo,66284.95 
[47190] COMMIT_BUY,km22Ao7dfo 
[47407] QUOTE,km22Ao7dfo,JDO 
[47457] BUY,km22Ao7dfo,AHE,440.65 
[47475] CANCEL_BUY,km22Ao7dfo 
[47604] SELL,km22Ao7dfo,OEY,556.46 
[47645] COMMIT_SELL,km22Ao7dfo 
[47737] SET_BUY_TRIGGER,km22Ao7dfo,RUN,185.69 
[47780] QUOTE,km22Ao7dfo,WKG 
[47790] CANCEL_SET_BUY,km22Ao7dfo,YBP 
[47825] DISPLAY_SUMMARY,km22Ao7dfo 
[47924] DISPLAY_SUMMARY,km22Ao7dfo 
[47960] SELL,km22Ao7dfo,AVX,229.81 
[48051] COMMIT_SELL,km22Ao7dfo 
[48159] SET_SELL_TRIGGER,km22Ao7dfo,BFU,44.22 
[48354] SET_BUY_AMOUNT,km22Ao7dfo,NHG,421.05 
[48530] CANCEL_SET_BUY,km22Ao7dfo,EAK 
[48573] SELL,km22Ao7dfo,ZTI,517.41 
[48771] COMMIT_SELL,km22Ao7dfo 
[48843] SELL,km22Ao7dfo,YJK,94.99 
[48849] SET_SELL_TRIGGER,km22Ao7dfo,ZNW,181.20 
[48940] QUOTE,km22Ao7dfo,LVT 
[48965] CANCEL_BUY,km22Ao7dfo 
[48968] SET_BUY_AMOUNT,km22Ao7dfo,OEY,692.44 
[48972] SET_BUY_TRIGGER,km22Ao7dfo,CTT,51.21 
[49213] QUOTE,km22Ao7dfo,VIK 
[49367] SET_BUY_AMOUNT,km22Ao7dfo,KES,701.31 
[49378] BUY,km22Ao7dfo,WLT,613.59 
[49388] SET_BUY_AMOUNT,km22Ao7dfo,GYF,138.60 
[49617] SET_BUY_TRIGGER,km22Ao7dfo,WHR,40.69 
[49710] ADD,km22Ao7dfo,64822.45 
[49746] QUOTE,km22Ao7dfo,ZZD 
[49868] QUOTE,km22Ao7dfo,VEE 
[49887] DISPLAY_SUMMARY,km22Ao7dfo 
[49992] SELL,km22Ao7dfo,FDI,653.14 
[50077] COMMIT_SELL,km22Ao7dfo 
[50115] SET_BUY_AMOUNT,km22Ao7dfo,NHG,329.11 
[50144] SET_BUY_TRIGGER,km22Ao7dfo,QGL,250.77 
[50166] SET_BUY_AMOUNT,km22Ao7dfo,FQP,527.79 
[50187] SET_BUY_TRIGGER,km22Ao7dfo,NGH,126.22 
[50293] COMMIT_SELL,km22Ao7dfo 
[50332] COMMIT_BUY,km22Ao7dfo 
[50336] ADD,km22Ao7dfo,67829.43 
[50370] BUY,km22Ao7dfo,ALM,269.28 
[50410] COMMIT_BUY,km22Ao7dfo 
[50552] ADD,km22Ao7dfo,87539.36 
[50667] QUOTE,km22Ao7dfo,RVU 
[50677] BUY,km22Ao7dfo,JVT,158.01 
[50768] COMMIT_BUY,km22Ao7dfo 
[50936] SELL,km22Ao7dfo,KES,515.42 
[51073] CANCEL_SELL,km22Ao7dfo 
[51142] BUY,km22Ao7dfo,BRT,133.22 
[51453] COMMIT_BUY,km22Ao7dfo 
[51467] SET_SELL_AMOUNT,km22Ao7dfo,XLK,634.88 
[51813] SET_SELL_TRIGGER,km22Ao7dfo,XLK,250.75 
[51898] DISPLAY_SUMMARY,km22Ao7dfo 
[51910] SET_SELL_TRIGGER,km22Ao7dfo,PUU,84.27 
[52099] ADD,km22Ao7dfo,72611.77 
[52267] QUOTE,km22Ao7dfo,NBX 
[52875] BUY,km22Ao7dfo,PPY,150.80 
[52953] COMMIT_BUY,km22Ao7dfo 
[53013] DISPLAY_SUMMARY,km22Ao7dfo 
[53280] BUY,km22Ao7dfo,WHR,388.86 
[53308] QUOTE,km22Ao7dfo,OAS 
[53500] SET_BUY_AMOUNT,km22Ao7dfo,DFE,657.16 
[53527] CANCEL_SET_BUY,km22Ao7dfo,QTH 
[53637] DISPLAY_SUMMARY,km22Ao7dfo 
[53656] BUY,km22Ao7dfo,HEK,672.27 
[54005] CANCEL_SELL,km22Ao7dfo 
[54031] BUY,km22Ao7dfo,SSL,611.45 
[54071] SET_BUY_AMOUNT,km22Ao7dfo,QAX,167.02 
[54553] SET_BUY_TRIGGER,km22Ao7dfo,KHY,22.70 
[54555] ADD,km22Ao7dfo,60221.62 
[54939] BUY,km22Ao7dfo,YTT,584.60 
[55341] SELL,km22Ao7dfo,GYF,576.72 
[55385] CANCEL_SELL,km22Ao7dfo 
[55884] ADD,km22Ao7dfo,59021.51 
[55962] QUOTE,km22Ao7dfo,FMJ 
[56053] BUY,km22Ao7dfo,TCP,335.93 
[56112] COMMIT_BUY,km22Ao7dfo 
[56145] CANCEL_SET_SELL,km22Ao7dfo,YBP 
[56161] SET_BUY_TRIGGER,km22Ao7dfo,GYT,47.13 
[56234] DISPLAY_SUMMARY,km22Ao7dfo 
[56237] QUOTE,km22Ao7dfo,PZE 
[56241] BUY,km22Ao7dfo,QAA,337.56 
[56266] COMMIT_BUY,km22Ao7dfo 
[56363] SET_SELL_AMOUNT,km22Ao7dfo,KDA,449.52 
[56441] SET_SELL_TRIGGER,km22Ao7dfo,KDA,188.55 
[56448] SET_BUY_AMOUNT,km22Ao7dfo,GRM,626.67 
[56495] CANCEL_SET_BUY,km22Ao7dfo,PWK 
[56819] DISPLAY_SUMMARY,km22Ao7dfo 
[56821] SELL,km22Ao7dfo,ZYR,304.82 
[56856] COMMIT_SELL,km22Ao7dfo 
[57036] ADD,km22Ao7dfo,86352.67 
[57070] BUY,km22Ao7dfo,YRL,40.54 
[57174] QUOTE,km22Ao7dfo,KPU 
[57282] BUY,km22Ao7dfo,ZNY,190.27 
[57285] CANCEL_SELL,km22Ao7dfo 
[57319] QUOTE,km22Ao7dfo,QPR 
[57714] SELL,km22Ao7dfo,UBJ,48.63 
[57827] COMMIT_SELL,km22Ao7dfo 
[58012] QUOTE,km22Ao7dfo,PPW 
[58196] SET_BUY_AMOUNT,km22Ao7dfo,LFU,157.20 
[58230] SET_BUY_TRIGGER,km22Ao7dfo,SJH,43.32 
[58368] SET_SELL_AMOUNT,km22Ao7dfo,SSF,342.16 
[58392] SET_SELL_TRIGGER,km22Ao7dfo,SSF,120.21 
[58500] BUY,km22Ao7dfo,PJW,302.87 
[58577] CANCEL_SET_BUY,km22Ao7dfo,RXB 
[58680] DISPLAY_SUMMARY,km22Ao7dfo 
[58901] QUOTE,km22Ao7dfo,YBP 
[58945] BUY,km22Ao7dfo,XOL,414.51 
[59065] COMMIT_BUY,km22Ao7dfo 
[59091] ADD,km22Ao7dfo,69614.54 
[59343] SELL,km22Ao7dfo,CBO,256.59 
[59351] CANCEL_SELL,km22Ao7dfo 
[59444] DISPLAY_SUMMARY,km22Ao7dfo 
[59519] COMMIT_SELL,km22Ao7dfo 
[59591] SET_BUY_AMOUNT,km22Ao7dfo,CEC,294.53 
[59656] SELL,km22Ao7dfo,VTY,616.36 
[59670] CANCEL_BUY,km22Ao7dfo 
[59814] DISPLAY_SUMMARY,km22Ao7dfo 
[59844] SELL,km22Ao7dfo,UTV,686.33 
[59922] CANCEL_BUY,km22Ao7dfo 
[59981] SET_SELL_AMOUNT,km22Ao7dfo,MFX,545.77 
[60011] SELL,km22Ao7dfo,YJK,83.87 
[60281] COMMIT_SELL,km22Ao7dfo 
[60321] SET_BUY_TRIGGER,km22Ao7dfo,NRY,101.24 
[60407] SELL,km22Ao7dfo,KDA,732.27 
[60459] CANCEL_SET_BUY,km22Ao7dfo,VYQ 
[60465] ADD,km22Ao7dfo,57875.94 
[60494] COMMIT_SELL,km22Ao7dfo 
[60558] SELL,km22Ao7dfo,BCQ,163.14 
[60560] ADD,km22Ao7dfo,71203.16 
[60639] BUY,km22Ao7dfo,LSM,7.62 
[60719] COMMIT_BUY,km22Ao7dfo 
[60772] SET_SELL_TRIGGER,km22Ao7dfo,MFX,72.55 
[60976] DISPLAY_SUMMARY,km22Ao7dfo 
[61086] CANCEL_SELL,km22Ao7dfo 
[61173] SET_BUY_TRIGGER,km22Ao7dfo,IOY,97.07 
[61335] DISPLAY_SUMMARY,km22Ao7dfo 
[61362] ADD,km22Ao7dfo,72594.22 
[61435] QUOTE,km22Ao7dfo,IPJ 
[61530] SET_SELL_AMOUNT,km22Ao7dfo,ZYR,679.30 
[61614] SET_SELL_TRIGGER,km22Ao7dfo,ZYR,613.32 
[61780] ADD,km22Ao7dfo,66090.53 
[61783] SET_BUY_TRIGGER,km22Ao7dfo,SWD,145.61 
[62133] ADD,km22Ao7dfo,64174.28 
[62265] DISPLAY_SUMMARY,km22Ao7dfo 
[62436] SELL,km22Ao7dfo,QAX,400.98 
[62505] BUY,km22Ao7dfo,XMA,614.55 
[62624] COMMIT_BUY,km22Ao7dfo 
[62688] COMMIT_SELL,km22Ao7dfo 
[63054] BUY,km22Ao7dfo,NZS,173.66 
[63087] COMMIT_BUY,km22Ao7dfo 
[63106] COMMIT_SELL,km22Ao7dfo 
[63258] SET_BUY_AMOUNT,km22Ao7dfo,KBN,352.77 
[63346] SET_BUY_TRIGGER,km22Ao7dfo,LLD,80.09 
[63454] SET_BUY_TRIGGER,km22Ao7dfo,QHF,17.33 
[63465] ADD,km22Ao7dfo,47187.67 
[63800] QUOTE,km22Ao7dfo,PZE 
[63852] CANCEL_SET_BUY,km22Ao7dfo,YBO 
[63900] QUOTE,km22Ao7dfo,QPX 
[64031] SET_BUY_AMOUNT,km22Ao7dfo,RUN,10.56 
[64286] SET_BUY_TRIGGER,km22Ao7dfo,RXO,6.61 
[64294] DISPLAY_SUMMARY,km22Ao7dfo 
[64515] DISPLAY_SUMMARY,km22Ao7dfo 
[64552] CANCEL_SET_BUY,km22Ao7dfo,KCA 
[64566] DISPLAY_SUMMARY,km22Ao7dfo 
[64614] QUOTE,km22Ao7dfo,RGM 
[64726] QUOTE,km22Ao7dfo,IGT 
[64777] CANCEL_SET_SELL,km22Ao7dfo,UBJ 
[64945] COMMIT_SELL,km22Ao7dfo 
[65088] ADD,km22Ao7dfo,65798.68 
[65232] BUY,km22Ao7dfo,FQP,58.33 
[65389] COMMIT_BUY,km22Ao7dfo 
[65452] ADD,km22Ao7dfo,70904.58 
[65572] BUY,km22Ao7dfo,GNY,247.25 
[65599] COMMIT_BUY,km22Ao7dfo 
[65641] CANCEL_SET_SELL,km22Ao7dfo,BUL 
[65753] BUY,km22Ao7dfo,GTX,685.51 
[65903] COMMIT_BUY,km22Ao7dfo 
[66069] BUY,km22Ao7dfo,NVN,47.68 
[66107] CANCEL_BUY,km22Ao7dfo 
[66111] ADD,km22Ao7dfo,49803.19 
[66299] CANCEL_SET_SELL,km22Ao7dfo,OZO 
[66410] BUY,km22Ao7dfo,FOW,404.99 
[66413] COMMIT_BUY,km22Ao7dfo 
[66422] CANCEL_BUY,km22Ao7dfo 
[66490] BUY,km22Ao7dfo,WAO,299.68 
[66521] COMMIT_BUY,km22Ao7dfo 
[66719] ADD,km22Ao7dfo,47070.45 
[66751] SELL,km22Ao7dfo,FDI,338.87 
[66944] CANCEL_SELL,km22Ao7dfo 
[67056] SET_SELL_AMOUNT,km22Ao7dfo,DFE,746.11 
[67098] SET_SELL_TRIGGER,km22Ao7dfo,DFE,280.62 
[67104] DISPLAY_SUMMARY,km22Ao7dfo 
[67116] ADD,km22Ao7dfo,76017.36 
[67200] QUOTE,km22Ao7dfo,MRK 
[67214] QUOTE,km22Ao7dfo,EUM 
[67354] SET_SELL_AMOUNT,km22Ao7dfo,ZTI,646.07 
[67559] SET_SELL_TRIGGER,km22Ao7dfo,ZTI,196.47 
[67562] BUY,km22Ao7dfo,SOT,701.96 
[67663] SET_SELL_TRIGGER,km22Ao7dfo,OBO,191.35 
[67731] DISPLAY_SUMMARY,km22Ao7dfo 
[67878] COMMIT_SELL,km22Ao7dfo 
[67883] DISPLAY_SUMMARY,km22Ao7dfo 
[67895] DISPLAY_SUMMARY,km22Ao7dfo 
[67908] QUOTE,km22Ao7dfo,YBO 
[67944] BUY,km22Ao7dfo,LEA,9.57 
[68146] COMMIT_BUY,km22Ao7dfo 
[68394] ADD,km22Ao7dfo,87408.54 
[68444] BUY,km22Ao7dfo,BFU,118.26 
[68465] CANCEL_BUY,km22Ao7dfo 
[68515] SELL,km22Ao7dfo,QGE,279.18 
[68535] COMMIT_SELL,km22Ao7dfo 
[68676] SET_SELL_TRIGGER,km22Ao7dfo,PYB,30.70 
[68684] CANCEL_SET_BUY,km22Ao7dfo,NGZ 
[68709] SELL,km22Ao7dfo,JRJ,447.72 
[68716] SET_SELL_AMOUNT,km22Ao7dfo,CSZ,718.57 
[68762] DISPLAY_SUMMARY,km22Ao7dfo 
[68772] CANCEL_BUY,km22Ao7dfo 
[68821] SET_SELL_TRIGGER,km22Ao7dfo,CSZ,398.13 
[68919] SET_SELL_TRIGGER,km22Ao7dfo,YCH,112.34 
[69175] SELL,km22Ao7dfo,KYX,354.61 
[69191] COMMIT_BUY,km22Ao7dfo 
[69223] ADD,km22Ao7dfo,67391.30 
[69512] BUY,km22Ao7dfo,WSR,596.39 
[69748] SET_BUY_AMOUNT,km22Ao7dfo,YJK,162.06 
[69953] SET_BUY_TRIGGER,km22Ao7dfo,WJS,9.10 
[70140] QUOTE,km22Ao7dfo,OQZ 
[70312] BUY,km22Ao7dfo,WNU,432.62 
[70529] COMMIT_BUY,km22Ao7dfo 
[70924] SET_SELL_AMOUNT,km22Ao7dfo,ZTI,85.71 
[70979] DISPLAY_SUMMARY,km22Ao7dfo 
[70985] SET_BUY_TRIGGER,km22Ao7dfo,TFZ,25.98 
[71100] SELL,km22Ao7dfo,JZJ,447.58 
[71181] DISPLAY_SUMMARY,km22Ao7dfo 
[71265] SET_SELL_TRIGGER,km22Ao7dfo,ZTI,24.78 
[71306] CANCEL_SET_BUY,km22Ao7dfo,TFZ 
[71357] SELL,km22Ao7dfo,GRM,50.70 
[71579] CANCEL_SELL,km22Ao7dfo 
[71620] BUY,km22Ao7dfo,JIO,181.74 
[71759] COMMIT_BUY,km22Ao7dfo 
[71868] SET_BUY_TRIGGER,km22Ao7dfo,IUN,199.35 
[72020] SELL,km22Ao7dfo,KBN,510.93 
[72067] COMMIT_SELL,km22Ao7dfo 
[72242] SELL,km22Ao7dfo,TVI,85.62 
[72256] COMMIT_SELL,km22Ao7dfo 
[72596] ADD,km22Ao7dfo,72213.18 
[72650] CANCEL_SET_SELL,km22Ao7dfo,ZYR 
[72765] DISPLAY_SUMMARY,km22Ao7dfo 
[72811] ADD,km22Ao7dfo,77382.86 
[73041] BUY,km22Ao7dfo,AAC,368.45 
[73069] SET_SELL_AMOUNT,km22Ao7dfo,UIE,19.40 
[73100] BUY,km22Ao7dfo,YBP,167.70 
[73157] QUOTE,km22Ao7dfo,MMF 
[73660] ADD,km22Ao7dfo,82472.88 
[74069] BUY,km22Ao7dfo,LSM,72.70 
[74303] COMMIT_BUY,km22Ao7dfo 
[74368] CANCEL_BUY,km22Ao7dfo 
[74633] SELL,km22Ao7dfo,JCQ,388.85 
[74696] COMMIT_SELL,km22Ao7dfo 
[74832] BUY,km22Ao7dfo,AJX,429.58 
[74990] COMMIT_BUY,km22Ao7dfo 
[75031] SET_BUY_AMOUNT,km22Ao7dfo,IFN,733.04 
[75044] SET_BUY_TRIGGER,km22Ao7dfo,ZNW,474.15 
[75064] SELL,km22Ao7dfo,MXD,460.84 
[75112] CANCEL_SELL,km22Ao7dfo 
[75194] SELL,km22Ao7dfo,LFU,186.57 
[75197] COMMIT_SELL,km22Ao7dfo 
[75339] SET_SELL_AMOUNT,km22Ao7dfo,JZJ,446.56 
[75462] CANCEL_SET_SELL,km22Ao7dfo,JZJ 
[75590] SELL,km22Ao7dfo,RUN,123.62 
[75801] SET_SELL_AMOUNT,km22Ao7dfo,KDA,3.30 
[75883] SET_SELL_TRIGGER,km22Ao7dfo,KDA,0.32 
[75925] ADD,km22Ao7dfo,70570.74 
[75958] QUOTE,km22Ao7dfo,KNM 
[76159] ADD,km22Ao7dfo,54458.66 
[76463] QUOTE,km22Ao7dfo,IZJ 
[76476] QUOTE,km22Ao7dfo,ZDB 
[76594] QUOTE,km22Ao7dfo,RJG 
[76765] BUY,km22Ao7dfo,SHP,4.98 
[76768] DISPLAY_SUMMARY,km22Ao7dfo 
[76856] QUOTE,km22Ao7dfo,ZWZ 
[76964] COMMIT_BUY,km22Ao7dfo 
[76973] BUY,km22Ao7dfo,NLP,500.94 
[77036] SET_BUY_TRIGGER,km22Ao7dfo,PPY,98.31 
[77125] ADD,km22Ao7dfo,62547.04 
[77132] QUOTE,km22Ao7dfo,SCK 
[77214] DISPLAY_SUMMARY,km22Ao7dfo 
[77266] DISPLAY_SUMMARY,km22Ao7dfo 
[77309] BUY,km22Ao7dfo,UDM,300.52 
[77477] COMMIT_BUY,km22Ao7dfo 
[77489] DISPLAY_SUMMARY,km22Ao7dfo 
[77597] QUOTE,km22Ao7dfo,TVI 
[77610] COMMIT_BUY,km22Ao7dfo 
[77613] DISPLAY_SUMMARY,km22Ao7dfo 
[77670] DISPLAY_SUMMARY,km22Ao7dfo 
[77805] ADD,km22Ao7dfo,74738.54 
[77846] COMMIT_BUY,km22Ao7dfo 
[77911] ADD,km22Ao7dfo,65845.72 
[77937] BUY,km22Ao7dfo,BEG,330.95 
[77939] COMMIT_BUY,km22Ao7dfo 
[77952] ADD,km22Ao7dfo,67300.46 
[78156] QUOTE,km22Ao7dfo,DHA 
[78167] SET_BUY_AMOUNT,km22Ao7dfo,GYF,41.97 
[78225] SET_BUY_TRIGGER,km22Ao7dfo,GKD,41.12 
[78292] DISPLAY_SUMMARY,km22Ao7dfo 
[78398] ADD,km22Ao7dfo,110010.80 
[78449] CANCEL_SET_SELL,km22Ao7dfo,NFO 
[78453] SELL,km22Ao7dfo,NHG,350.86 
[78455] COMMIT_BUY,km22Ao7dfo 
[78468] SELL,km22Ao7dfo,ZAN,735.59 
[78494] CANCEL_SET_BUY,km22Ao7dfo,NAR 
[78628] ADD,km22Ao7dfo,55960.49 
[78743] QUOTE,km22Ao7dfo,JFF 
[79145] ADD,km22Ao7dfo,51459.27 
[79163] QUOTE,km22Ao7dfo,BLC 
[79166] ADD,km22Ao7dfo,58288.58 
[79251] BUY,km22Ao7dfo,CLQ,604.24 
[79567] SET_BUY_AMOUNT,km22Ao7dfo,QJZ,622.66 
[79599] SET_BUY_TRIGGER,km22Ao7dfo,FQG,481.68 
[80324] ADD,km22Ao7dfo,61061.21 
[80413] BUY,km22Ao7dfo,MOF,654.21 
[80440] SET_BUY_AMOUNT,km22Ao7dfo,UBJ,66.83 
[80609] SET_BUY_TRIGGER,km22Ao7dfo,GRD,13.11 
[80786] ADD,km22Ao7dfo,64420.38 
[80792] BUY,km22Ao7dfo,VFH,602.62 
[80805] ADD,km22Ao7dfo,74358.96 
[80885] QUOTE,km22Ao7dfo,XBL 
[80940] SET_SELL_TRIGGER,km22Ao7dfo,GYF,80.93 
[80945] SELL,km22Ao7dfo,CBO,728.66 
[81230] COMMIT_SELL,km22Ao7dfo 
[81331] DISPLAY_SUMMARY,km22Ao7dfo 
[81427] ADD,km22Ao7dfo,72081.14 
[81431] BUY,km22Ao7dfo,GYF,301.71 
[81476] SET_BUY_AMOUNT,km22Ao7dfo,QAX,335.15 
[81488] SET_BUY_TRIGGER,km22Ao7dfo,PCK,215.09 
[81592] DISPLAY_SUMMARY,km22Ao7dfo 
[81684] SET_BUY_TRIGGER,km22Ao7dfo,BCQ,61.02 
[81712] QUOTE,km22Ao7dfo,YTO 
[81808] DISPLAY_SUMMARY,km22Ao7dfo 
[81878] SET_BUY_AMOUNT,km22Ao7dfo,XLK,163.88 
[81926] SET_BUY_TRIGGER,km22Ao7dfo,GDF,98.70 
[81930] SET_SELL_AMOUNT,km22Ao7dfo,JZJ,613.71 
[81939] QUOTE,km22Ao7dfo,BSZ 
[82170] DISPLAY_SUMMARY,km22Ao7dfo 
[82288] SELL,km22Ao7dfo,QGE,609.15 
[82330] CANCEL_SET_BUY,km22Ao7dfo,RGH 
[82428] SET_BUY_AMOUNT,km22Ao7dfo,KDA,723.34 
[82577] CANCEL_SET_BUY,km22Ao7dfo,OTD 
[82595] QUOTE,km22Ao7dfo,RQF 
[82628] BUY,km22Ao7dfo,NAR,117.73 
[82869] COMMIT_BUY,km22Ao7dfo 
[83009] BUY,km22Ao7dfo,BHJ,720.96 
[83128] ADD,km22Ao7dfo,66591.06 
[83205] DISPLAY_SUMMARY,km22Ao7dfo 
[83206] SELL,km22Ao7dfo,OPN,98.89 
[83304] COMMIT_SELL,km22Ao7dfo 
[83456] ADD,km22Ao7dfo,71524.83 
[83488] BUY,km22Ao7dfo,NUV,551.94 
[83714] QUOTE,km22Ao7dfo,RVU 
[83719] BUY,km22Ao7dfo,KTU,640.36 
[83826] COMMIT_BUY,km22Ao7dfo 
[83967] ADD,km22Ao7dfo,68615.11 
[83979] QUOTE,km22Ao7dfo,ECL 
[84257] DISPLAY_SUMMARY,km22Ao7dfo 
[84283] SET_SELL_TRIGGER,km22Ao7dfo,JZJ,183.01 
[84320] QUOTE,km22Ao7dfo,GZU 
[84332] ADD,km22Ao7dfo,70920.91 
[84346] QUOTE,km22Ao7dfo,ALG 
[84360] BUY,km22Ao7dfo,GRM,670.85 
[84403] ADD,km22Ao7dfo,57658.78 
[84529] BUY,km22Ao7dfo,WKT,656.13 
[84647] QUOTE,km22Ao7dfo,GGI 
[84735] BUY,km22Ao7dfo,BMQ,143.39 
[84788] CANCEL_BUY,km22Ao7dfo 
[84865] SET_BUY_TRIGGER,km22Ao7dfo,MVD,36.24 
[84870] SET_SELL_TRIGGER,km22Ao7dfo,MVY,141.25 
[84932] SET_SELL_TRIGGER,km22Ao7dfo,GHE,130.28 
[85041] CANCEL_SET_BUY,km22Ao7dfo,RNK 
[85082] DISPLAY_SUMMARY,km22Ao7dfo 
[85141] ADD,km22Ao7dfo,77614.31 
[85208] BUY,km22Ao7dfo,ULL,511.75 
[85213] COMMIT_BUY,km22Ao7dfo 
[85339] SET_BUY_TRIGGER,km22Ao7dfo,ADY,103.53 
[85367] DISPLAY_SUMMARY,km22Ao7dfo 
[85445] QUOTE,km22Ao7dfo,NXU 
[85457] QUOTE,km22Ao7dfo,KYX 
[85506] SET_BUY_TRIGGER,km22Ao7dfo,SWD,56.25 
[85549] DISPLAY_SUMMARY,km22Ao7dfo 
[85633] ADD,km22Ao7dfo,68499.57 
[85775] BUY,km22Ao7dfo,ZOZ,389.81 
[85791] COMMIT_SELL,km22Ao7dfo 
[85838] SET_SELL_AMOUNT,km22Ao7dfo,DFE,620.14 
[85894] SET_SELL_TRIGGER,km22Ao7dfo,DFE,167.88 
[86078] ADD,km22Ao7dfo,83752.03 
[86117] DISPLAY_SUMMARY,km22Ao7dfo 
[86148] DISPLAY_SUMMARY,km22Ao7dfo 
[86268] SELL,km22Ao7dfo,PTP,409.80 
[86442] COMMIT_SELL,km22Ao7dfo 
[86630] SET_SELL_AMOUNT,km22Ao7dfo,MFX,533.47 
[86777] SET_SELL_TRIGGER,km22Ao7dfo,MFX,6.40 
[86911] ADD,km22Ao7dfo,96631.31 
[87123] BUY,km22Ao7dfo,KBI,434.97 
[87162] SET_BUY_TRIGGER,km22Ao7dfo,WBX,92.49 
[87367] DISPLAY_SUMMARY,km22Ao7dfo 
[87456] SET_BUY_AMOUNT,km22Ao7dfo,MFX,388.44 
[87493] QUOTE,km22Ao7dfo,FQG 
[87558] BUY,km22Ao7dfo,KEO,382.26 
[87569] CANCEL_SET_BUY,km22Ao7dfo,CMD 
[87570] ADD,km22Ao7dfo,45701.74 
[87684] BUY,km22Ao7dfo,BJL,649.88 
[87935] COMMIT_BUY,km22Ao7dfo 
[88008] DISPLAY_SUMMARY,km22Ao7dfo 
[88108] ADD,km22Ao7dfo,49852.79 
[88153] SELL,km22Ao7dfo,AJR,572.37 
[88178] COMMIT_SELL,km22Ao7dfo 
[88345] SET_BUY_TRIGGER,km22Ao7dfo,URI,92.79 
[88356] SET_SELL_TRIGGER,km22Ao7dfo,FUF,85.90 
[88584] DISPLAY_SUMMARY,km22Ao7dfo 
[88611] SET_BUY_AMOUNT,km22Ao7dfo,MFX,224.41 
[88708] SET_BUY_TRIGGER,km22Ao7dfo,HFI,38.60 
[88831] SET_BUY_AMOUNT,km22Ao7dfo,IQJ,332.04 
[88975] SET_BUY_TRIGGER,km22Ao7dfo,DBS,153.28 
[89040] SET_BUY_AMOUNT,km22Ao7dfo,PTP,445.25 
[89262] QUOTE,km22Ao7dfo,SEW 
[89698] QUOTE,km22Ao7dfo,ZWZ 
[89715] SET_BUY_TRIGGER,km22Ao7dfo,MER,87.17 
[89820] SET_SELL_AMOUNT,km22Ao7dfo,XLK,267.33 
[89941] SET_SELL_TRIGGER,km22Ao7dfo,XLK,109.46 
[90169] BUY,km22Ao7dfo,MQF,216.69 
[90319] DISPLAY_SUMMARY,km22Ao7dfo 
[90324] SET_SELL_AMOUNT,km22Ao7dfo,ZTI,284.15 
[90429] SET_SELL_TRIGGER,km22Ao7dfo,ZTI,168.93 
[90483] SET_SELL_AMOUNT,km22Ao7dfo,KDA,214.56 
[90485] SET_SELL_TRIGGER,km22Ao7dfo,KDA,201.98 
[90500] DISPLAY_SUMMARY,km22Ao7dfo 
[90547] SET_SELL_TRIGGER,km22Ao7dfo,ZYR,79.86 
[90731] ADD,km22Ao7dfo,44567.19 
[90852] CANCEL_SET_BUY,km22Ao7dfo,GDF 
[90931] DISPLAY_SUMMARY,km22Ao7dfo 
[90941] ADD,km22Ao7dfo,66621.81 
[90942] BUY,km22Ao7dfo,MKE,461.43 
[91043] COMMIT_BUY,km22Ao7dfo 
[91362] ADD,km22Ao7dfo,64595.97 
[91442] QUOTE,km22Ao7dfo,WRN 
[91467] SET_BUY_AMOUNT,km22Ao7dfo,YJK,155.98 
[91588] SET_BUY_TRIGGER,km22Ao7dfo,UXP,73.38 
[91644] SELL,km22Ao7dfo,HFS,517.66 
[91714] SET_BUY_AMOUNT,km22Ao7dfo,MXD,444.46 
[91822] SET_BUY_TRIGGER,km22Ao7dfo,GSW,165.16 
[91889] SET_SELL_TRIGGER,km22Ao7dfo,JQO,174.11 
[91918] SELL,km22Ao7dfo,NHG,102.17 
[91941] CANCEL_SELL,km22Ao7dfo 
[91948] SET_BUY_TRIGGER,km22Ao7dfo,XUH,78.79 
[91959] SET_SELL_AMOUNT,km22Ao7dfo,DFE,169.40 
[91977] SET_SELL_TRIGGER,km22Ao7dfo,DFE,20.41 
