[212] ADD,7Jo2brvLiF,94714.38 
[48229] COMMIT_BUY,7Jo2brvLiF 
[48472] SET_SELL_AMOUNT,7Jo2brvLiF,ZYR,182.33 
[48643] CANCEL_SET_SELL,7Jo2brvLiF,ZYR 
[49033] QUOTE,7Jo2brvLiF,SEI 
[49092] QUOTE,7Jo2brvLiF,SFO 
[49285] BUY,7Jo2brvLiF,JQO,504.16 
[49416] QUOTE,7Jo2brvLiF,MGK 
[49435] BUY,7Jo2brvLiF,IFC,44.69 
[49442] COMMIT_SELL,7Jo2brvLiF 
[49496] ADD,7Jo2brvLiF,84284.67 
[49566] COMMIT_BUY,7Jo2brvLiF 
[49633] SET_SELL_AMOUNT,7Jo2brvLiF,UTV,2.39 
[49990] CANCEL_SET_SELL,7Jo2brvLiF,UTV 
[50255] ADD,7Jo2brvLiF,81053.29 
[50303] COMMIT_BUY,7Jo2brvLiF 
[50539] SET_SELL_AMOUNT,7Jo2brvLiF,JQO,215.10 
[50708] SET_SELL_TRIGGER,7Jo2brvLiF,JQO,49.55 
[50849] BUY,7Jo2brvLiF,MJU,55.56 
[50883] BUY,7Jo2brvLiF,CBX,549.89 
[50974] CANCEL_BUY,7Jo2brvLiF 
[51007] ADD,7Jo2brvLiF,84986.61 
[51166] QUOTE,7Jo2brvLiF,OZW 
[51185] ADD,7Jo2brvLiF,106236.33 
[51211] QUOTE,7Jo2brvLiF,NDO 
[51294] BUY,7Jo2brvLiF,DRO,552.75 
[51345] COMMIT_SELL,7Jo2brvLiF 
[51355] SET_SELL_AMOUNT,7Jo2brvLiF,BCQ,133.34 
[51443] SET_SELL_TRIGGER,7Jo2brvLiF,BCQ,62.72 
[51517] ADD,7Jo2brvLiF,68925.57 
[51557] QUOTE,7Jo2brvLiF,KZQ 
[51577] QUOTE,7Jo2brvLiF,VXY 
[51611] BUY,7Jo2brvLiF,ZFV,334.74 
[51642] COMMIT_BUY,7Jo2brvLiF 
[51707] BUY,7Jo2brvLiF,ZEG,651.96 
[51762] COMMIT_BUY,7Jo2brvLiF 
[52117] SET_BUY_TRIGGER,7Jo2brvLiF,ZTI,87.44 
[52190] DISPLAY_SUMMARY,7Jo2brvLiF 
[52219] SET_SELL_AMOUNT,7Jo2brvLiF,OPN,190.46 
[52339] SET_SELL_TRIGGER,7Jo2brvLiF,OPN,139.67 
[52417] ADD,7Jo2brvLiF,45892.37 
[52713] BUY,7Jo2brvLiF,XTH,108.35 
[52842] COMMIT_BUY,7Jo2brvLiF 
[52863] ADD,7Jo2brvLiF,56782.49 
[52983] BUY,7Jo2brvLiF,MLT,684.83 
[53028] COMMIT_BUY,7Jo2brvLiF 
[53284] SELL,7Jo2brvLiF,QAX,313.50 
[53382] COMMIT_SELL,7Jo2brvLiF 
[53495] SELL,7Jo2brvLiF,UBJ,412.88 
[53586] COMMIT_SELL,7Jo2brvLiF 
[53645] SET_SELL_AMOUNT,7Jo2brvLiF,OEY,491.40 
[53958] SET_SELL_TRIGGER,7Jo2brvLiF,OEY,423.25 
[53966] ADD,7Jo2brvLiF,78446.09 
[53987] QUOTE,7Jo2brvLiF,XFA 
[54007] CANCEL_SET_SELL,7Jo2brvLiF,CEC 
[54074] SET_SELL_TRIGGER,7Jo2brvLiF,FUF,183.37 
[54095] ADD,7Jo2brvLiF,92505.74 
[54099] QUOTE,7Jo2brvLiF,HTD 
[54171] ADD,7Jo2brvLiF,72767.34 
[54199] QUOTE,7Jo2brvLiF,GJR 
[54443] COMMIT_SELL,7Jo2brvLiF 
[54639] CANCEL_SET_SELL,7Jo2brvLiF,ETJ 
[55044] QUOTE,7Jo2brvLiF,QXW 
[55047] QUOTE,7Jo2brvLiF,UMN 
[55182] BUY,7Jo2brvLiF,FPV,633.30 
[55192] BUY,7Jo2brvLiF,KHY,668.63 
[55213] COMMIT_BUY,7Jo2brvLiF 
[55282] BUY,7Jo2brvLiF,RLS,12.27 
[55285] BUY,7Jo2brvLiF,RLS,459.79 
[55458] COMMIT_BUY,7Jo2brvLiF 
[55463] ADD,7Jo2brvLiF,74934.69 
[55615] BUY,7Jo2brvLiF,XCL,415.80 
[55631] CANCEL_SET_BUY,7Jo2brvLiF,DKV 
[55653] SET_BUY_TRIGGER,7Jo2brvLiF,RXB,66.28 
[55664] SET_SELL_AMOUNT,7Jo2brvLiF,MFX,66.71 
[55701] SET_SELL_TRIGGER,7Jo2brvLiF,MFX,10.88 
[55722] SELL,7Jo2brvLiF,UTV,696.64 
[55851] CANCEL_SELL,7Jo2brvLiF 
[56055] CANCEL_BUY,7Jo2brvLiF 
[56119] CANCEL_SET_SELL,7Jo2brvLiF,ELQ 
[56131] SET_BUY_AMOUNT,7Jo2brvLiF,SSF,748.12 
[56164] SET_BUY_TRIGGER,7Jo2brvLiF,GHE,267.68 
[56345] DISPLAY_SUMMARY,7Jo2brvLiF 
[56417] SELL,7Jo2brvLiF,KES,590.74 
[56427] CANCEL_SELL,7Jo2brvLiF 
[56714] SET_BUY_AMOUNT,7Jo2brvLiF,LFU,325.10 
[56907] SET_BUY_TRIGGER,7Jo2brvLiF,XFW,318.81 
[56910] SET_BUY_AMOUNT,7Jo2brvLiF,RNK,405.56 
[56990] SET_BUY_TRIGGER,7Jo2brvLiF,NJF,393.06 
[56997] ADD,7Jo2brvLiF,105305.64 
[57272] QUOTE,7Jo2brvLiF,NGZ 
[57383] ADD,7Jo2brvLiF,67429.74 
[57503] QUOTE,7Jo2brvLiF,SSF 
[57900] BUY,7Jo2brvLiF,BTP,654.83 
[57911] ADD,7Jo2brvLiF,67613.85 
[58136] BUY,7Jo2brvLiF,AVI,145.72 
[58339] SELL,7Jo2brvLiF,RGH,78.44 
[58783] CANCEL_SELL,7Jo2brvLiF 
[58930] ADD,7Jo2brvLiF,53820.03 
[59028] CANCEL_SET_SELL,7Jo2brvLiF,IQZ 
[59135] CANCEL_BUY,7Jo2brvLiF 
[59191] SET_SELL_TRIGGER,7Jo2brvLiF,GAV,111.15 
[59221] SET_BUY_TRIGGER,7Jo2brvLiF,HNO,111.14 
[59520] SELL,7Jo2brvLiF,OEY,213.43 
[59783] COMMIT_SELL,7Jo2brvLiF 
[59802] SET_SELL_AMOUNT,7Jo2brvLiF,SSF,470.60 
[59819] SET_SELL_TRIGGER,7Jo2brvLiF,SSF,30.70 
[60548] CANCEL_SET_BUY,7Jo2brvLiF,IFC 
[60587] SELL,7Jo2brvLiF,FQP,597.23 
[60591] BUY,7Jo2brvLiF,KPE,284.99 
[60610] COMMIT_BUY,7Jo2brvLiF 
[60713] ADD,7Jo2brvLiF,54543.89 
[60831] BUY,7Jo2brvLiF,SYN,719.51 
[61011] COMMIT_BUY,7Jo2brvLiF 
[61119] DISPLAY_SUMMARY,7Jo2brvLiF 
[61137] QUOTE,7Jo2brvLiF,INB 
[61178] CANCEL_SET_SELL,7Jo2brvLiF,WKG 
[61581] SELL,7Jo2brvLiF,GYF,624.85 
[61743] COMMIT_SELL,7Jo2brvLiF 
[61884] CANCEL_SET_SELL,7Jo2brvLiF,SPT 
[62109] ADD,7Jo2brvLiF,70386.12 
[62336] BUY,7Jo2brvLiF,IFI,456.98 
[62595] QUOTE,7Jo2brvLiF,GUB 
[62618] SELL,7Jo2brvLiF,RUN,126.89 
[62775] QUOTE,7Jo2brvLiF,ILT 
[62776] QUOTE,7Jo2brvLiF,FQU 
[62789] BUY,7Jo2brvLiF,BPP,588.22 
[62800] SET_SELL_AMOUNT,7Jo2brvLiF,UBJ,273.64 
[62862] SET_SELL_TRIGGER,7Jo2brvLiF,UBJ,223.94 
[62890] SET_BUY_TRIGGER,7Jo2brvLiF,HYX,95.78 
[62940] QUOTE,7Jo2brvLiF,JYV 
[63067] ADD,7Jo2brvLiF,77822.07 
[63194] QUOTE,7Jo2brvLiF,CBX 
[63370] BUY,7Jo2brvLiF,DXL,741.06 
[63721] COMMIT_BUY,7Jo2brvLiF 
[63872] SELL,7Jo2brvLiF,YJK,214.53 
[63903] CANCEL_SELL,7Jo2brvLiF 
[63934] ADD,7Jo2brvLiF,59703.40 
[64039] QUOTE,7Jo2brvLiF,TKM 
[64181] SET_SELL_AMOUNT,7Jo2brvLiF,CBO,535.67 
[64204] SET_SELL_TRIGGER,7Jo2brvLiF,CBO,490.48 
[64214] QUOTE,7Jo2brvLiF,KJM 
[64223] BUY,7Jo2brvLiF,OYS,120.37 
[64296] CANCEL_SELL,7Jo2brvLiF 
[64352] DISPLAY_SUMMARY,7Jo2brvLiF 
[64384] DISPLAY_SUMMARY,7Jo2brvLiF 
[64472] ADD,7Jo2brvLiF,68367.64 
[64509] CANCEL_BUY,7Jo2brvLiF 
[64524] BUY,7Jo2brvLiF,QHF,287.92 
[64592] COMMIT_BUY,7Jo2brvLiF 
[64746] SET_BUY_AMOUNT,7Jo2brvLiF,QJZ,335.28 
[64756] CANCEL_SET_BUY,7Jo2brvLiF,KEO 
[64784] ADD,7Jo2brvLiF,88779.38 
[64851] BUY,7Jo2brvLiF,ZFJ,327.40 
[64857] COMMIT_BUY,7Jo2brvLiF 
[64861] BUY,7Jo2brvLiF,MQX,483.23 
[64995] SET_BUY_TRIGGER,7Jo2brvLiF,VYQ,97.29 
[65096] QUOTE,7Jo2brvLiF,CBV 
[65120] QUOTE,7Jo2brvLiF,GHE 
[65144] SET_BUY_TRIGGER,7Jo2brvLiF,QWC,163.60 
[65244] CANCEL_SET_BUY,7Jo2brvLiF,NDO 
[65408] BUY,7Jo2brvLiF,OZW,632.32 
[65564] CANCEL_BUY,7Jo2brvLiF 
[65742] SET_SELL_TRIGGER,7Jo2brvLiF,PLB,37.14 
[65811] SET_SELL_TRIGGER,7Jo2brvLiF,FPV,141.19 
[65818] DISPLAY_SUMMARY,7Jo2brvLiF 
[65890] QUOTE,7Jo2brvLiF,SYM 
[65916] QUOTE,7Jo2brvLiF,FTB 
[65944] BUY,7Jo2brvLiF,LNJ,307.14 
[65948] COMMIT_BUY,7Jo2brvLiF 
[66201] SET_BUY_AMOUNT,7Jo2brvLiF,KBN,358.44 
[66279] SET_BUY_TRIGGER,7Jo2brvLiF,KAH,316.52 
[66450] CANCEL_BUY,7Jo2brvLiF 
[66544] SET_BUY_TRIGGER,7Jo2brvLiF,BXH,50.02 
[66632] QUOTE,7Jo2brvLiF,NJI 
[66817] BUY,7Jo2brvLiF,ILT,8.13 
[67109] COMMIT_BUY,7Jo2brvLiF 
[67171] SET_SELL_AMOUNT,7Jo2brvLiF,IFN,429.52 
[67236] QUOTE,7Jo2brvLiF,NGZ 
[67298] BUY,7Jo2brvLiF,SEI,301.98 
[67325] COMMIT_BUY,7Jo2brvLiF 
[67327] QUOTE,7Jo2brvLiF,SCW 
[67352] ADD,7Jo2brvLiF,93485.67 
[67446] BUY,7Jo2brvLiF,DBC,546.97 
[67453] COMMIT_SELL,7Jo2brvLiF 
[67517] BUY,7Jo2brvLiF,GDF,179.38 
[67682] COMMIT_BUY,7Jo2brvLiF 
[67693] BUY,7Jo2brvLiF,QLM,428.86 
[67795] CANCEL_SET_SELL,7Jo2brvLiF,IFN 
[67841] ADD,7Jo2brvLiF,92580.97 
[67863] CANCEL_BUY,7Jo2brvLiF 
[67897] DISPLAY_SUMMARY,7Jo2brvLiF 
[67954] DISPLAY_SUMMARY,7Jo2brvLiF 
[67966] SELL,7Jo2brvLiF,YJK,499.78 
[68248] ADD,7Jo2brvLiF,87867.68 
[68383] QUOTE,7Jo2brvLiF,BZX 
[68410] QUOTE,7Jo2brvLiF,LJY 
[68577] BUY,7Jo2brvLiF,LLF,49.91 
[68625] CANCEL_SET_BUY,7Jo2brvLiF,VGW 
[68718] DISPLAY_SUMMARY,7Jo2brvLiF 
[68760] DISPLAY_SUMMARY,7Jo2brvLiF 
[68766] COMMIT_BUY,7Jo2brvLiF 
[68829] SET_BUY_TRIGGER,7Jo2brvLiF,TVX,174.86 
[69011] BUY,7Jo2brvLiF,VUS,543.69 
[69093] SELL,7Jo2brvLiF,MFX,212.00 
[69213] CANCEL_SET_BUY,7Jo2brvLiF,OTQ 
[69319] CANCEL_SET_SELL,7Jo2brvLiF,NDD 
[69325] ADD,7Jo2brvLiF,93080.45 
[69432] BUY,7Jo2brvLiF,TVI,682.07 
[69476] DISPLAY_SUMMARY,7Jo2brvLiF 
[69503] ADD,7Jo2brvLiF,60597.93 
[69622] BUY,7Jo2brvLiF,QVA,318.84 
[69752] BUY,7Jo2brvLiF,EGB,405.53 
[70099] SET_BUY_AMOUNT,7Jo2brvLiF,XLK,677.63 
[70124] DISPLAY_SUMMARY,7Jo2brvLiF 
[70243] BUY,7Jo2brvLiF,GIK,641.52 
[70266] CANCEL_BUY,7Jo2brvLiF 
[70558] SELL,7Jo2brvLiF,UTV,485.88 
[70627] BUY,7Jo2brvLiF,IFC,500.69 
[70665] COMMIT_BUY,7Jo2brvLiF 
[70671] CANCEL_SELL,7Jo2brvLiF 
[70812] CANCEL_SET_SELL,7Jo2brvLiF,UZZ 
[70938] ADD,7Jo2brvLiF,65348.75 
[71150] QUOTE,7Jo2brvLiF,RNE 
[71246] QUOTE,7Jo2brvLiF,STQ 
[71256] COMMIT_SELL,7Jo2brvLiF 
[71260] SET_SELL_TRIGGER,7Jo2brvLiF,ATE,197.44 
[71332] SELL,7Jo2brvLiF,CBO,169.66 
[71687] SET_BUY_TRIGGER,7Jo2brvLiF,NSN,658.16 
[71792] SET_SELL_AMOUNT,7Jo2brvLiF,KES,8.21 
[71884] CANCEL_SET_SELL,7Jo2brvLiF,KES 
[71988] DISPLAY_SUMMARY,7Jo2brvLiF 
[72236] SET_BUY_AMOUNT,7Jo2brvLiF,BYA,536.13 
[72250] DISPLAY_SUMMARY,7Jo2brvLiF 
[72380] ADD,7Jo2brvLiF,103008.55 
[72393] QUOTE,7Jo2brvLiF,UMV 
[72408] SET_BUY_AMOUNT,7Jo2brvLiF,OPN,466.15 
[72444] SET_BUY_TRIGGER,7Jo2brvLiF,LLO,358.10 
[72667] BUY,7Jo2brvLiF,KLE,699.38 
[72692] COMMIT_BUY,7Jo2brvLiF 
[72734] QUOTE,7Jo2brvLiF,EUC 
[72775] QUOTE,7Jo2brvLiF,JZJ 
[72782] QUOTE,7Jo2brvLiF,MIU 
[72848] SELL,7Jo2brvLiF,CBO,393.51 
[72887] COMMIT_SELL,7Jo2brvLiF 
[73095] DISPLAY_SUMMARY,7Jo2brvLiF 
[73118] QUOTE,7Jo2brvLiF,CZQ 
[73209] QUOTE,7Jo2brvLiF,QAX 
[73214] ADD,7Jo2brvLiF,55598.17 
[73486] BUY,7Jo2brvLiF,CBQ,84.00 
[73493] COMMIT_BUY,7Jo2brvLiF 
[73508] SET_SELL_TRIGGER,7Jo2brvLiF,RKQ,111.76 
[73514] SELL,7Jo2brvLiF,IFN,401.90 
[73528] CANCEL_BUY,7Jo2brvLiF 
[73545] QUOTE,7Jo2brvLiF,PFK 
[73644] BUY,7Jo2brvLiF,LUD,2.36 
[73720] COMMIT_SELL,7Jo2brvLiF 
[73983] SET_BUY_AMOUNT,7Jo2brvLiF,QGE,153.52 
[74007] SET_BUY_TRIGGER,7Jo2brvLiF,IPH,32.67 
[74197] DISPLAY_SUMMARY,7Jo2brvLiF 
[74262] SET_BUY_TRIGGER,7Jo2brvLiF,GMF,126.20 
[74415] ADD,7Jo2brvLiF,74737.16 
[74762] BUY,7Jo2brvLiF,KPU,510.06 
[74824] COMMIT_BUY,7Jo2brvLiF 
[74910] SELL,7Jo2brvLiF,DFE,154.47 
[74976] COMMIT_SELL,7Jo2brvLiF 
[75015] ADD,7Jo2brvLiF,73304.63 
[75034] BUY,7Jo2brvLiF,PMG,196.08 
[75163] COMMIT_BUY,7Jo2brvLiF 
[75228] SET_BUY_AMOUNT,7Jo2brvLiF,SSF,287.97 
[75403] SET_BUY_TRIGGER,7Jo2brvLiF,UMV,155.73 
[75416] QUOTE,7Jo2brvLiF,JDW 
[75514] SET_BUY_AMOUNT,7Jo2brvLiF,KBN,605.11 
[75576] SELL,7Jo2brvLiF,KYX,662.69 
[75657] ADD,7Jo2brvLiF,55147.69 
[75700] QUOTE,7Jo2brvLiF,WRN 
[75795] SET_BUY_TRIGGER,7Jo2brvLiF,NKC,399.98 
[75838] SELL,7Jo2brvLiF,RGH,108.46 
[75900] COMMIT_SELL,7Jo2brvLiF 
[75935] SELL,7Jo2brvLiF,GRM,400.52 
[76070] COMMIT_SELL,7Jo2brvLiF 
[76104] BUY,7Jo2brvLiF,MOM,129.49 
[76175] CANCEL_BUY,7Jo2brvLiF 
[76238] ADD,7Jo2brvLiF,62890.35 
[76371] QUOTE,7Jo2brvLiF,WLT 
[76557] SET_BUY_AMOUNT,7Jo2brvLiF,JVT,701.97 
[76666] SET_BUY_TRIGGER,7Jo2brvLiF,JHY,139.40 
[76710] SET_BUY_AMOUNT,7Jo2brvLiF,EBS,323.05 
[76742] SET_BUY_TRIGGER,7Jo2brvLiF,NNW,51.07 
[76752] CANCEL_SET_BUY,7Jo2brvLiF,UHO 
[76870] ADD,7Jo2brvLiF,72131.15 
[77062] BUY,7Jo2brvLiF,GDO,169.85 
[77093] BUY,7Jo2brvLiF,YOG,719.29 
[77269] COMMIT_BUY,7Jo2brvLiF 
[77288] ADD,7Jo2brvLiF,98761.67 
[77346] BUY,7Jo2brvLiF,LJM,62.45 
[77397] SET_BUY_AMOUNT,7Jo2brvLiF,JCQ,218.48 
[77399] SET_BUY_TRIGGER,7Jo2brvLiF,QBD,203.67 
[77428] ADD,7Jo2brvLiF,55813.64 
[77595] BUY,7Jo2brvLiF,OOR,360.41 
[77703] DISPLAY_SUMMARY,7Jo2brvLiF 
[77782] BUY,7Jo2brvLiF,XXN,204.70 
[77813] SET_BUY_TRIGGER,7Jo2brvLiF,PDX,183.67 
[77835] QUOTE,7Jo2brvLiF,SHP 
[77933] QUOTE,7Jo2brvLiF,ZWC 
[78150] SET_BUY_TRIGGER,7Jo2brvLiF,PPY,19.36 
[78165] QUOTE,7Jo2brvLiF,QGE 
[78309] QUOTE,7Jo2brvLiF,YIQ 
[78434] SET_SELL_AMOUNT,7Jo2brvLiF,QVK,192.62 
[78481] SET_SELL_TRIGGER,7Jo2brvLiF,QVK,68.45 
[78495] QUOTE,7Jo2brvLiF,VMD 
[78615] BUY,7Jo2brvLiF,HSJ,706.27 
[78643] SET_SELL_AMOUNT,7Jo2brvLiF,OEY,349.59 
[78737] SET_SELL_TRIGGER,7Jo2brvLiF,OEY,83.65 
[79186] QUOTE,7Jo2brvLiF,AVH 
[79214] SET_BUY_TRIGGER,7Jo2brvLiF,ETB,152.46 
[79293] QUOTE,7Jo2brvLiF,IOM 
[79387] DISPLAY_SUMMARY,7Jo2brvLiF 
[79391] SET_SELL_TRIGGER,7Jo2brvLiF,UZZ,73.36 
[79428] DISPLAY_SUMMARY,7Jo2brvLiF 
[79451] SET_SELL_AMOUNT,7Jo2brvLiF,SUS,408.50 
[79836] SET_SELL_TRIGGER,7Jo2brvLiF,SUS,112.57 
[79843] ADD,7Jo2brvLiF,69261.94 
[79909] QUOTE,7Jo2brvLiF,HZE 
[79922] SELL,7Jo2brvLiF,MXD,98.33 
[80023] COMMIT_SELL,7Jo2brvLiF 
[80120] SELL,7Jo2brvLiF,KDA,126.98 
[80304] SET_BUY_AMOUNT,7Jo2brvLiF,XQC,80.76 
[80802] SET_BUY_TRIGGER,7Jo2brvLiF,MDZ,41.27 
[80981] CANCEL_SET_BUY,7Jo2brvLiF,FQU 
[81099] DISPLAY_SUMMARY,7Jo2brvLiF 
[81249] SELL,7Jo2brvLiF,CSZ,433.20 
[81377] COMMIT_BUY,7Jo2brvLiF 
[81564] SET_SELL_AMOUNT,7Jo2brvLiF,SQI,512.29 
[81570] SET_SELL_TRIGGER,7Jo2brvLiF,SQI,143.79 
[81652] BUY,7Jo2brvLiF,MZT,407.73 
[81755] COMMIT_BUY,7Jo2brvLiF 
[81763] SET_BUY_AMOUNT,7Jo2brvLiF,CUZ,720.52 
[82146] SELL,7Jo2brvLiF,KYX,505.34 
[82163] COMMIT_SELL,7Jo2brvLiF 
[82230] SET_BUY_TRIGGER,7Jo2brvLiF,FDI,429.86 
[82282] ADD,7Jo2brvLiF,64252.25 
[82360] BUY,7Jo2brvLiF,IUN,146.57 
[82425] CANCEL_SELL,7Jo2brvLiF 
[82585] SET_SELL_AMOUNT,7Jo2brvLiF,KES,692.17 
[82700] SET_SELL_TRIGGER,7Jo2brvLiF,KES,168.86 
[82710] SET_BUY_AMOUNT,7Jo2brvLiF,SUS,181.53 
[82975] SET_BUY_TRIGGER,7Jo2brvLiF,SQO,72.05 
[83026] CANCEL_SET_BUY,7Jo2brvLiF,GCW 
[83092] BUY,7Jo2brvLiF,ZFK,468.20 
[83155] COMMIT_BUY,7Jo2brvLiF 
[83191] SET_BUY_TRIGGER,7Jo2brvLiF,RNK,148.73 
[83321] DISPLAY_SUMMARY,7Jo2brvLiF 
[83453] SELL,7Jo2brvLiF,QVK,65.14 
[83745] CANCEL_SET_BUY,7Jo2brvLiF,OAS 
[83934] QUOTE,7Jo2brvLiF,LKV 
[84211] CANCEL_SET_BUY,7Jo2brvLiF,MIR 
[84224] ADD,7Jo2brvLiF,104923.50 
[84290] BUY,7Jo2brvLiF,MHI,85.23 
[84379] SET_SELL_AMOUNT,7Jo2brvLiF,NHG,175.35 
[84392] SET_SELL_TRIGGER,7Jo2brvLiF,NHG,75.73 
[84420] ADD,7Jo2brvLiF,70993.71 
[84565] QUOTE,7Jo2brvLiF,GCL 
[84689] BUY,7Jo2brvLiF,QQW,22.46 
[84701] COMMIT_BUY,7Jo2brvLiF 
[84907] SELL,7Jo2brvLiF,QVK,427.72 
[84969] COMMIT_SELL,7Jo2brvLiF 
[85175] SELL,7Jo2brvLiF,RNK,305.45 
[85203] BUY,7Jo2brvLiF,APU,460.89 
[85229] COMMIT_BUY,7Jo2brvLiF 
[85247] BUY,7Jo2brvLiF,KCA,122.45 
[85477] COMMIT_BUY,7Jo2brvLiF 
[85565] ADD,7Jo2brvLiF,53447.30 
[85660] SET_SELL_TRIGGER,7Jo2brvLiF,UGG,49.56 
[85754] QUOTE,7Jo2brvLiF,AEM 
[85824] QUOTE,7Jo2brvLiF,SWJ 
[86023] BUY,7Jo2brvLiF,KAO,172.43 
[86073] COMMIT_BUY,7Jo2brvLiF 
[86260] ADD,7Jo2brvLiF,92040.74 
[86290] BUY,7Jo2brvLiF,CVP,712.69 
[86292] COMMIT_BUY,7Jo2brvLiF 
[86324] DISPLAY_SUMMARY,7Jo2brvLiF 
[86352] SET_SELL_AMOUNT,7Jo2brvLiF,GSW,496.58 
[86358] SET_SELL_TRIGGER,7Jo2brvLiF,GSW,310.45 
[86454] ADD,7Jo2brvLiF,93678.48 
[86561] QUOTE,7Jo2brvLiF,MLU 
[86586] DISPLAY_SUMMARY,7Jo2brvLiF 
[86613] BUY,7Jo2brvLiF,UGG,581.21 
[87028] COMMIT_BUY,7Jo2brvLiF 
[87058] SET_SELL_TRIGGER,7Jo2brvLiF,ETJ,100.78 
[87066] BUY,7Jo2brvLiF,FIW,428.86 
[87232] COMMIT_BUY,7Jo2brvLiF 
[87291] SET_BUY_TRIGGER,7Jo2brvLiF,WXV,38.24 
[87445] SELL,7Jo2brvLiF,FQP,280.38 
[87460] COMMIT_SELL,7Jo2brvLiF 
[87685] SET_BUY_AMOUNT,7Jo2brvLiF,HTD,694.10 
[88052] SET_BUY_TRIGGER,7Jo2brvLiF,BTD,99.35 
[88056] QUOTE,7Jo2brvLiF,MXN 
[88251] SET_BUY_AMOUNT,7Jo2brvLiF,CUZ,239.14 
[88392] SET_BUY_TRIGGER,7Jo2brvLiF,YEH,118.10 
[88542] ADD,7Jo2brvLiF,57761.08 
[88674] CANCEL_SET_BUY,7Jo2brvLiF,FYA 
[88717] SET_BUY_TRIGGER,7Jo2brvLiF,QOD,2.83 
[88828] BUY,7Jo2brvLiF,RWY,222.36 
[88849] COMMIT_BUY,7Jo2brvLiF 
[88856] DISPLAY_SUMMARY,7Jo2brvLiF 
[89007] SELL,7Jo2brvLiF,LFU,306.43 
[89044] COMMIT_SELL,7Jo2brvLiF 
[89115] QUOTE,7Jo2brvLiF,MWJ 
[89378] COMMIT_BUY,7Jo2brvLiF 
[89495] SELL,7Jo2brvLiF,LFU,310.16 
[89537] COMMIT_SELL,7Jo2brvLiF 
[89652] SELL,7Jo2brvLiF,JQO,289.34 
[89757] COMMIT_SELL,7Jo2brvLiF 
[89810] DISPLAY_SUMMARY,7Jo2brvLiF 
[89950] SELL,7Jo2brvLiF,VDP,110.37 
[90029] CANCEL_SELL,7Jo2brvLiF 
[90054] SELL,7Jo2brvLiF,GSW,63.55 
[90224] CANCEL_SET_BUY,7Jo2brvLiF,PBV 
[90268] SET_SELL_AMOUNT,7Jo2brvLiF,DFE,529.17 
[90357] SET_SELL_TRIGGER,7Jo2brvLiF,DFE,309.02 
[90426] SELL,7Jo2brvLiF,KYX,441.80 
[90499] CANCEL_SELL,7Jo2brvLiF 
[90748] ADD,7Jo2brvLiF,69332.40 
[90854] QUOTE,7Jo2brvLiF,PXS 
[90927] CANCEL_SET_BUY,7Jo2brvLiF,PPW 
[90999] DISPLAY_SUMMARY,7Jo2brvLiF 
[91112] CANCEL_SET_SELL,7Jo2brvLiF,NUV 
[91151] QUOTE,7Jo2brvLiF,IFN 
[91193] QUOTE,7Jo2brvLiF,JVT 
[91219] BUY,7Jo2brvLiF,FZU,71.95 
[91302] SET_BUY_AMOUNT,7Jo2brvLiF,CSZ,375.57 
[91308] BUY,7Jo2brvLiF,QGL,8.02 
[91318] COMMIT_BUY,7Jo2brvLiF 
[91349] COMMIT_BUY,7Jo2brvLiF 
[91418] SET_BUY_AMOUNT,7Jo2brvLiF,JCQ,191.92 
[91473] CANCEL_SET_BUY,7Jo2brvLiF,ZMK 
[91503] DISPLAY_SUMMARY,7Jo2brvLiF 
[91519] SET_BUY_AMOUNT,7Jo2brvLiF,UIE,550.96 
[91557] SET_BUY_TRIGGER,7Jo2brvLiF,QHF,315.04 
[91590] SELL,7Jo2brvLiF,RNK,47.44 
[91600] COMMIT_SELL,7Jo2brvLiF 
[91762] BUY,7Jo2brvLiF,XRK,406.58 
[91827] COMMIT_BUY,7Jo2brvLiF 
[91865] COMMIT_SELL,7Jo2brvLiF 
[91965] SET_SELL_TRIGGER,7Jo2brvLiF,VNF,130.65 
[92035] ADD,7Jo2brvLiF,72236.10 
[92239] QUOTE,7Jo2brvLiF,CVP 
[92269] SET_SELL_TRIGGER,7Jo2brvLiF,ALG,119.12 
[92294] BUY,7Jo2brvLiF,NBX,712.70 
[92342] CANCEL_BUY,7Jo2brvLiF 
[92384] ADD,7Jo2brvLiF,47522.39 
[92412] QUOTE,7Jo2brvLiF,GMS 
[92577] QUOTE,7Jo2brvLiF,KCA 
[92653] ADD,7Jo2brvLiF,90546.40 
[92657] BUY,7Jo2brvLiF,JNO,403.07 
[92664] COMMIT_BUY,7Jo2brvLiF 
[92821] SET_BUY_TRIGGER,7Jo2brvLiF,MDZ,68.84 
[92827] DISPLAY_SUMMARY,7Jo2brvLiF 
[92907] ADD,7Jo2brvLiF,85614.12 
[93009] BUY,7Jo2brvLiF,AEM,270.43 
[93238] CANCEL_BUY,7Jo2brvLiF 
[93331] SET_BUY_TRIGGER,7Jo2brvLiF,IDX,131.69 
[93342] CANCEL_SELL,7Jo2brvLiF 
[93392] DISPLAY_SUMMARY,7Jo2brvLiF 
[93977] SET_SELL_TRIGGER,7Jo2brvLiF,IPH,130.63 
[94009] SET_BUY_TRIGGER,7Jo2brvLiF,FFZ,17.32 
[94036] DISPLAY_SUMMARY,7Jo2brvLiF 
[94051] CANCEL_SET_BUY,7Jo2brvLiF,DFE 
