[57] ADD,nV1jqGc3b6,70407.89 
[44822] BUY,nV1jqGc3b6,XXT,157.74 
[44970] SET_BUY_TRIGGER,nV1jqGc3b6,VJV,124.01 
[45227] DISPLAY_SUMMARY,nV1jqGc3b6 
[45316] SET_BUY_TRIGGER,nV1jqGc3b6,YDD,65.52 
[45405] CANCEL_SELL,nV1jqGc3b6 
[45443] SET_BUY_AMOUNT,nV1jqGc3b6,RGH,342.02 
[45547] CANCEL_SET_BUY,nV1jqGc3b6,HFI 
[45574] SET_BUY_AMOUNT,nV1jqGc3b6,RUN,68.69 
[45623] SET_BUY_TRIGGER,nV1jqGc3b6,WHR,2.87 
[45627] DISPLAY_SUMMARY,nV1jqGc3b6 
[45653] QUOTE,nV1jqGc3b6,DWU 
[45812] SET_SELL_TRIGGER,nV1jqGc3b6,ZQC,69.65 
[45868] SET_SELL_TRIGGER,nV1jqGc3b6,LAM,37.04 
[46156] DISPLAY_SUMMARY,nV1jqGc3b6 
[46235] QUOTE,nV1jqGc3b6,YZH 
[46283] QUOTE,nV1jqGc3b6,YOG 
[46311] SET_BUY_AMOUNT,nV1jqGc3b6,XLK,454.20 
[46340] SET_BUY_TRIGGER,nV1jqGc3b6,MWV,60.72 
[46364] ADD,nV1jqGc3b6,60135.43 
[46527] QUOTE,nV1jqGc3b6,GXT 
[46586] CANCEL_SET_SELL,nV1jqGc3b6,ROW 
[46675] BUY,nV1jqGc3b6,KDA,584.89 
[46749] CANCEL_BUY,nV1jqGc3b6 
[46794] ADD,nV1jqGc3b6,42757.98 
[46825] CANCEL_SET_BUY,nV1jqGc3b6,KJD 
[46963] QUOTE,nV1jqGc3b6,XXT 
[47065] DISPLAY_SUMMARY,nV1jqGc3b6 
[47286] ADD,nV1jqGc3b6,52687.44 
[47353] QUOTE,nV1jqGc3b6,KRX 
[47554] QUOTE,nV1jqGc3b6,SEW 
[47603] ADD,nV1jqGc3b6,74343.16 
[47617] QUOTE,nV1jqGc3b6,XUY 
[47643] QUOTE,nV1jqGc3b6,BFB 
[47684] BUY,nV1jqGc3b6,XQG,665.38 
[47723] COMMIT_BUY,nV1jqGc3b6 
[47873] ADD,nV1jqGc3b6,65554.10 
[48122] SELL,nV1jqGc3b6,AVX,695.92 
[48148] COMMIT_SELL,nV1jqGc3b6 
[48205] SET_SELL_AMOUNT,nV1jqGc3b6,BCQ,234.05 
[48240] SET_SELL_TRIGGER,nV1jqGc3b6,BCQ,188.46 
[48410] SET_BUY_TRIGGER,nV1jqGc3b6,DLQ,30.74 
[48414] CANCEL_BUY,nV1jqGc3b6 
[48500] SET_BUY_TRIGGER,nV1jqGc3b6,RQF,153.28 
[48576] QUOTE,nV1jqGc3b6,OIV 
[48646] DISPLAY_SUMMARY,nV1jqGc3b6 
[48974] QUOTE,nV1jqGc3b6,CTI 
[49029] BUY,nV1jqGc3b6,GUW,151.67 
[49082] COMMIT_BUY,nV1jqGc3b6 
[49098] BUY,nV1jqGc3b6,WNH,380.23 
[49191] SET_BUY_TRIGGER,nV1jqGc3b6,LMO,61.63 
[49283] SELL,nV1jqGc3b6,QAX,377.06 
[49419] COMMIT_SELL,nV1jqGc3b6 
[49524] ADD,nV1jqGc3b6,44316.65 
[49672] QUOTE,nV1jqGc3b6,FNY 
[49728] ADD,nV1jqGc3b6,89854.26 
[50053] BUY,nV1jqGc3b6,SCK,632.96 
[50064] COMMIT_BUY,nV1jqGc3b6 
[50090] DISPLAY_SUMMARY,nV1jqGc3b6 
[50174] SET_SELL_AMOUNT,nV1jqGc3b6,CSZ,503.45 
[50206] CANCEL_SET_SELL,nV1jqGc3b6,CSZ 
[50258] BUY,nV1jqGc3b6,QLM,660.37 
[50385] DISPLAY_SUMMARY,nV1jqGc3b6 
[50406] SET_BUY_AMOUNT,nV1jqGc3b6,GYF,388.04 
[50429] SET_BUY_TRIGGER,nV1jqGc3b6,ROW,147.24 
[50450] SET_BUY_TRIGGER,nV1jqGc3b6,MWV,0.56 
[50485] CANCEL_SET_SELL,nV1jqGc3b6,DES 
[50504] SET_BUY_TRIGGER,nV1jqGc3b6,JEO,51.86 
[50589] DISPLAY_SUMMARY,nV1jqGc3b6 
[50731] QUOTE,nV1jqGc3b6,XUH 
[50733] BUY,nV1jqGc3b6,MIR,408.13 
[50861] SET_SELL_TRIGGER,nV1jqGc3b6,LPR,127.73 
[50988] DISPLAY_SUMMARY,nV1jqGc3b6 
[50995] SET_BUY_AMOUNT,nV1jqGc3b6,DFE,654.29 
[51116] SET_BUY_TRIGGER,nV1jqGc3b6,DWF,389.30 
[51155] BUY,nV1jqGc3b6,VNF,244.67 
[51191] COMMIT_BUY,nV1jqGc3b6 
[51303] CANCEL_SET_SELL,nV1jqGc3b6,NDO 
[51323] QUOTE,nV1jqGc3b6,QZN 
[51331] ADD,nV1jqGc3b6,67008.96 
[51563] BUY,nV1jqGc3b6,CBO,317.14 
[51617] COMMIT_BUY,nV1jqGc3b6 
[51646] SET_SELL_AMOUNT,nV1jqGc3b6,UBJ,702.06 
[51750] SET_SELL_TRIGGER,nV1jqGc3b6,UBJ,614.34 
[51826] COMMIT_BUY,nV1jqGc3b6 
[51862] SET_BUY_TRIGGER,nV1jqGc3b6,WOJ,147.61 
[51912] SET_BUY_AMOUNT,nV1jqGc3b6,BCQ,152.46 
[51928] SET_BUY_TRIGGER,nV1jqGc3b6,OZO,106.44 
[52040] ADD,nV1jqGc3b6,87553.15 
[52090] BUY,nV1jqGc3b6,FTP,629.40 
[52127] CANCEL_BUY,nV1jqGc3b6 
[52183] DISPLAY_SUMMARY,nV1jqGc3b6 
[52251] DISPLAY_SUMMARY,nV1jqGc3b6 
[52263] SELL,nV1jqGc3b6,DFE,519.19 
[52294] COMMIT_SELL,nV1jqGc3b6 
[52349] SET_SELL_AMOUNT,nV1jqGc3b6,GRM,301.91 
[52381] SET_SELL_TRIGGER,nV1jqGc3b6,GRM,62.89 
[52423] QUOTE,nV1jqGc3b6,NVN 
[52441] SET_BUY_TRIGGER,nV1jqGc3b6,GIX,196.36 
[52672] ADD,nV1jqGc3b6,64146.24 
[52919] CANCEL_SET_BUY,nV1jqGc3b6,MVI 
[53009] SELL,nV1jqGc3b6,UTV,154.74 
[53185] SET_BUY_TRIGGER,nV1jqGc3b6,UHO,82.38 
[53211] SET_BUY_AMOUNT,nV1jqGc3b6,SUS,568.02 
[53253] CANCEL_SET_BUY,nV1jqGc3b6,OSA 
[53328] SELL,nV1jqGc3b6,UTV,180.44 
[53358] SET_SELL_TRIGGER,nV1jqGc3b6,ZNL,56.27 
[53502] SET_BUY_AMOUNT,nV1jqGc3b6,QJZ,351.14 
[53510] SET_BUY_TRIGGER,nV1jqGc3b6,KCA,162.77 
[53519] SET_SELL_TRIGGER,nV1jqGc3b6,LSG,27.42 
[53697] SET_BUY_TRIGGER,nV1jqGc3b6,PST,133.21 
[53946] QUOTE,nV1jqGc3b6,KKI 
[54126] ADD,nV1jqGc3b6,49032.35 
[54163] BUY,nV1jqGc3b6,YBB,100.01 
[54165] SET_SELL_TRIGGER,nV1jqGc3b6,ZYR,161.89 
[54235] CANCEL_SET_SELL,nV1jqGc3b6,VZB 
[54352] ADD,nV1jqGc3b6,66126.90 
[54384] CANCEL_SELL,nV1jqGc3b6 
[54773] SET_BUY_AMOUNT,nV1jqGc3b6,QAX,566.94 
[54790] CANCEL_SET_BUY,nV1jqGc3b6,CXB 
[55022] QUOTE,nV1jqGc3b6,NJI 
[55209] QUOTE,nV1jqGc3b6,KAR 
[55317] CANCEL_SELL,nV1jqGc3b6 
[55332] SET_BUY_AMOUNT,nV1jqGc3b6,XLK,326.08 
[55383] SET_BUY_TRIGGER,nV1jqGc3b6,UXP,316.36 
[55780] COMMIT_SELL,nV1jqGc3b6 
[55856] ADD,nV1jqGc3b6,65247.66 
[55858] QUOTE,nV1jqGc3b6,HCN 
[55904] SET_SELL_TRIGGER,nV1jqGc3b6,AJX,97.45 
[55978] CANCEL_SET_BUY,nV1jqGc3b6,RDK 
[56210] SELL,nV1jqGc3b6,QAX,527.96 
[56244] COMMIT_SELL,nV1jqGc3b6 
[56245] DISPLAY_SUMMARY,nV1jqGc3b6 
[56665] SET_SELL_AMOUNT,nV1jqGc3b6,XLK,579.82 
[56752] QUOTE,nV1jqGc3b6,ZNZ 
[56871] COMMIT_SELL,nV1jqGc3b6 
[57031] QUOTE,nV1jqGc3b6,GAV 
[57089] SET_BUY_AMOUNT,nV1jqGc3b6,GYF,490.00 
[57124] QUOTE,nV1jqGc3b6,DKV 
[57371] COMMIT_SELL,nV1jqGc3b6 
[57464] DISPLAY_SUMMARY,nV1jqGc3b6 
[57584] CANCEL_SET_BUY,nV1jqGc3b6,IHA 
[57662] SET_BUY_AMOUNT,nV1jqGc3b6,ZYR,424.85 
[57677] SET_BUY_TRIGGER,nV1jqGc3b6,ZRJ,409.17 
[57688] SELL,nV1jqGc3b6,JZJ,206.58 
[57733] CANCEL_SELL,nV1jqGc3b6 
[57755] QUOTE,nV1jqGc3b6,PRJ 
[57892] SET_SELL_TRIGGER,nV1jqGc3b6,XLK,23.76 
[58331] BUY,nV1jqGc3b6,MHR,281.17 
[58365] SET_SELL_AMOUNT,nV1jqGc3b6,YJK,647.81 
[58429] SET_SELL_TRIGGER,nV1jqGc3b6,YJK,275.17 
[58448] QUOTE,nV1jqGc3b6,YQC 
[58493] BUY,nV1jqGc3b6,TTY,145.01 
[58719] SET_SELL_TRIGGER,nV1jqGc3b6,FQR,65.10 
[58826] BUY,nV1jqGc3b6,KAH,680.80 
[58869] SET_BUY_TRIGGER,nV1jqGc3b6,YIU,7.26 
[59150] QUOTE,nV1jqGc3b6,ERF 
[59255] QUOTE,nV1jqGc3b6,IFQ 
[59281] BUY,nV1jqGc3b6,SYT,139.42 
[59286] CANCEL_SET_BUY,nV1jqGc3b6,BMQ 
[59454] SELL,nV1jqGc3b6,KDA,517.83 
[59693] COMMIT_SELL,nV1jqGc3b6 
[59747] ADD,nV1jqGc3b6,58456.48 
[59838] QUOTE,nV1jqGc3b6,XXQ 
[60154] BUY,nV1jqGc3b6,XII,491.38 
[60177] COMMIT_BUY,nV1jqGc3b6 
[60188] SET_SELL_AMOUNT,nV1jqGc3b6,JQO,453.30 
[60268] SET_SELL_TRIGGER,nV1jqGc3b6,JQO,418.30 
[60443] SET_BUY_AMOUNT,nV1jqGc3b6,JQO,634.22 
[60448] SET_BUY_TRIGGER,nV1jqGc3b6,YJK,169.54 
[60493] DISPLAY_SUMMARY,nV1jqGc3b6 
[60689] ADD,nV1jqGc3b6,80209.30 
[60802] QUOTE,nV1jqGc3b6,YBO 
[60973] SET_BUY_TRIGGER,nV1jqGc3b6,GUW,162.44 
[61017] SELL,nV1jqGc3b6,NHG,196.18 
[61033] COMMIT_SELL,nV1jqGc3b6 
[61257] SET_BUY_AMOUNT,nV1jqGc3b6,SSF,693.18 
[61274] SET_BUY_TRIGGER,nV1jqGc3b6,FZB,257.25 
[61280] SET_BUY_AMOUNT,nV1jqGc3b6,FDI,33.58 
[61371] QUOTE,nV1jqGc3b6,UCG 
[61384] BUY,nV1jqGc3b6,XLI,461.21 
[61464] COMMIT_BUY,nV1jqGc3b6 
[61580] DISPLAY_SUMMARY,nV1jqGc3b6 
[61607] SET_SELL_AMOUNT,nV1jqGc3b6,RGH,70.85 
[61668] CANCEL_SET_SELL,nV1jqGc3b6,RGH 
[61701] BUY,nV1jqGc3b6,OLH,558.70 
[61704] COMMIT_BUY,nV1jqGc3b6 
[61706] CANCEL_SET_SELL,nV1jqGc3b6,PFK 
[61925] ADD,nV1jqGc3b6,70442.87 
[62077] SELL,nV1jqGc3b6,ZAN,323.07 
[62088] COMMIT_SELL,nV1jqGc3b6 
[62090] SET_BUY_AMOUNT,nV1jqGc3b6,DFE,458.63 
[62445] SET_BUY_TRIGGER,nV1jqGc3b6,UDM,139.85 
[62468] ADD,nV1jqGc3b6,81532.94 
[62514] BUY,nV1jqGc3b6,EUM,529.34 
[62668] COMMIT_BUY,nV1jqGc3b6 
[62805] SELL,nV1jqGc3b6,GRM,612.58 
[62809] QUOTE,nV1jqGc3b6,JMX 
[62814] SET_BUY_AMOUNT,nV1jqGc3b6,GYF,319.91 
[63118] SET_BUY_TRIGGER,nV1jqGc3b6,CMA,239.80 
[63238] ADD,nV1jqGc3b6,60708.33 
[63281] QUOTE,nV1jqGc3b6,LCP 
[63580] SET_SELL_TRIGGER,nV1jqGc3b6,APY,15.63 
[63622] SET_SELL_AMOUNT,nV1jqGc3b6,JQO,464.82 
[63831] SET_SELL_TRIGGER,nV1jqGc3b6,JQO,449.53 
[63833] DISPLAY_SUMMARY,nV1jqGc3b6 
[64093] SET_BUY_TRIGGER,nV1jqGc3b6,GUW,93.32 
[64133] ADD,nV1jqGc3b6,71437.01 
[64179] BUY,nV1jqGc3b6,WNX,561.79 
[64288] COMMIT_BUY,nV1jqGc3b6 
[64519] ADD,nV1jqGc3b6,107268.80 
[64546] QUOTE,nV1jqGc3b6,UHO 
[64646] COMMIT_SELL,nV1jqGc3b6 
[64649] BUY,nV1jqGc3b6,BFU,516.68 
[64680] COMMIT_BUY,nV1jqGc3b6 
[64940] DISPLAY_SUMMARY,nV1jqGc3b6 
[64943] ADD,nV1jqGc3b6,60473.19 
[65009] SET_SELL_AMOUNT,nV1jqGc3b6,BCQ,78.64 
[65191] SET_SELL_TRIGGER,nV1jqGc3b6,BCQ,4.21 
[65235] CANCEL_SET_BUY,nV1jqGc3b6,LJZ 
[65271] SET_SELL_AMOUNT,nV1jqGc3b6,OPN,587.67 
[65416] SET_SELL_TRIGGER,nV1jqGc3b6,OPN,54.22 
[65611] SET_SELL_AMOUNT,nV1jqGc3b6,RNK,688.90 
[65825] SET_SELL_TRIGGER,nV1jqGc3b6,RNK,418.10 
[65885] SET_SELL_AMOUNT,nV1jqGc3b6,RUN,70.47 
[65895] QUOTE,nV1jqGc3b6,YBP 
[66015] QUOTE,nV1jqGc3b6,VEE 
[66155] ADD,nV1jqGc3b6,48482.87 
[66159] QUOTE,nV1jqGc3b6,TSU 
[66188] SET_BUY_TRIGGER,nV1jqGc3b6,JGO,33.89 
[66228] SET_BUY_TRIGGER,nV1jqGc3b6,SSF,30.16 
[66263] SELL,nV1jqGc3b6,YJK,686.56 
[66338] COMMIT_SELL,nV1jqGc3b6 
[66492] DISPLAY_SUMMARY,nV1jqGc3b6 
[66535] ADD,nV1jqGc3b6,66461.67 
[66581] BUY,nV1jqGc3b6,IQJ,625.53 
[66667] SELL,nV1jqGc3b6,JCQ,361.02 
[66846] SET_BUY_AMOUNT,nV1jqGc3b6,OEY,256.31 
[66898] SET_BUY_TRIGGER,nV1jqGc3b6,GYT,90.61 
[66955] SET_SELL_AMOUNT,nV1jqGc3b6,OPN,412.13 
[67045] SET_SELL_TRIGGER,nV1jqGc3b6,OPN,379.04 
[67153] SELL,nV1jqGc3b6,AVX,43.36 
[67583] CANCEL_SELL,nV1jqGc3b6 
[67692] ADD,nV1jqGc3b6,38709.17 
[67723] BUY,nV1jqGc3b6,YWC,93.11 
[67760] CANCEL_BUY,nV1jqGc3b6 
[67800] ADD,nV1jqGc3b6,78085.90 
[67809] COMMIT_SELL,nV1jqGc3b6 
[67926] DISPLAY_SUMMARY,nV1jqGc3b6 
[68064] QUOTE,nV1jqGc3b6,SPP 
[68079] SET_SELL_AMOUNT,nV1jqGc3b6,ZTI,312.45 
[68116] SET_SELL_TRIGGER,nV1jqGc3b6,ZTI,24.21 
[68179] SET_SELL_TRIGGER,nV1jqGc3b6,XVK,60.21 
[68279] ADD,nV1jqGc3b6,69623.18 
[68301] BUY,nV1jqGc3b6,XXN,345.79 
[68324] COMMIT_BUY,nV1jqGc3b6 
[68341] SET_SELL_TRIGGER,nV1jqGc3b6,PLB,98.58 
[68408] COMMIT_BUY,nV1jqGc3b6 
[68481] QUOTE,nV1jqGc3b6,UMV 
[68508] BUY,nV1jqGc3b6,PIC,391.03 
[68558] QUOTE,nV1jqGc3b6,VFH 
[68804] BUY,nV1jqGc3b6,FKX,473.90 
[68931] COMMIT_BUY,nV1jqGc3b6 
[68971] ADD,nV1jqGc3b6,65657.81 
[68997] BUY,nV1jqGc3b6,XUH,385.78 
[69103] COMMIT_BUY,nV1jqGc3b6 
[69134] ADD,nV1jqGc3b6,82095.40 
[69283] BUY,nV1jqGc3b6,TKM,436.13 
[69320] QUOTE,nV1jqGc3b6,KZZ 
[69394] BUY,nV1jqGc3b6,VEE,184.23 
[69602] SET_BUY_TRIGGER,nV1jqGc3b6,TVI,50.86 
[69655] QUOTE,nV1jqGc3b6,HWO 
[69687] BUY,nV1jqGc3b6,FNY,606.79 
[69756] CANCEL_SET_SELL,nV1jqGc3b6,LJZ 
[69840] ADD,nV1jqGc3b6,77781.04 
[70146] QUOTE,nV1jqGc3b6,FKX 
[70239] SET_BUY_AMOUNT,nV1jqGc3b6,UBJ,30.85 
[70335] BUY,nV1jqGc3b6,LZV,30.49 
[70397] CANCEL_BUY,nV1jqGc3b6 
[70702] DISPLAY_SUMMARY,nV1jqGc3b6 
[70800] SET_SELL_TRIGGER,nV1jqGc3b6,BBD,42.80 
[70913] BUY,nV1jqGc3b6,STQ,599.78 
[71037] COMMIT_BUY,nV1jqGc3b6 
[71244] SET_SELL_TRIGGER,nV1jqGc3b6,ZOW,132.89 
[71760] BUY,nV1jqGc3b6,MHQ,717.87 
[71912] COMMIT_BUY,nV1jqGc3b6 
[71939] SET_BUY_AMOUNT,nV1jqGc3b6,CSZ,434.09 
[72068] QUOTE,nV1jqGc3b6,LNJ 
[72309] BUY,nV1jqGc3b6,BZH,124.27 
[72488] CANCEL_SET_SELL,nV1jqGc3b6,OZT 
[72493] SET_SELL_AMOUNT,nV1jqGc3b6,UBJ,190.42 
[72499] BUY,nV1jqGc3b6,ENQ,315.02 
[72570] COMMIT_BUY,nV1jqGc3b6 
[72623] SET_SELL_TRIGGER,nV1jqGc3b6,UBJ,12.18 
[72676] DISPLAY_SUMMARY,nV1jqGc3b6 
[72840] ADD,nV1jqGc3b6,80087.56 
[72845] QUOTE,nV1jqGc3b6,ZGC 
[73000] SET_BUY_TRIGGER,nV1jqGc3b6,YNH,183.93 
[73097] QUOTE,nV1jqGc3b6,DWU 
[73261] BUY,nV1jqGc3b6,VOY,341.02 
[73278] COMMIT_BUY,nV1jqGc3b6 
[73299] DISPLAY_SUMMARY,nV1jqGc3b6 
[73408] COMMIT_BUY,nV1jqGc3b6 
[73435] QUOTE,nV1jqGc3b6,GMF 
[73603] BUY,nV1jqGc3b6,PLA,416.31 
[73801] COMMIT_BUY,nV1jqGc3b6 
[73859] DISPLAY_SUMMARY,nV1jqGc3b6 
[73895] CANCEL_SET_SELL,nV1jqGc3b6,YAV 
[73941] SET_SELL_TRIGGER,nV1jqGc3b6,QXE,145.75 
[73965] SET_SELL_TRIGGER,nV1jqGc3b6,XLI,77.56 
[74153] QUOTE,nV1jqGc3b6,TKG 
[74338] BUY,nV1jqGc3b6,SSF,274.99 
[74354] COMMIT_BUY,nV1jqGc3b6 
[74389] ADD,nV1jqGc3b6,64598.31 
[74397] BUY,nV1jqGc3b6,KGV,352.69 
[74439] COMMIT_BUY,nV1jqGc3b6 
[74445] SET_SELL_TRIGGER,nV1jqGc3b6,XTH,49.24 
[74606] DISPLAY_SUMMARY,nV1jqGc3b6 
[74626] DISPLAY_SUMMARY,nV1jqGc3b6 
[74775] QUOTE,nV1jqGc3b6,VYQ 
[74833] QUOTE,nV1jqGc3b6,SWD 
[75118] QUOTE,nV1jqGc3b6,XER 
[75181] BUY,nV1jqGc3b6,NJB,619.55 
[75341] COMMIT_BUY,nV1jqGc3b6 
[75477] ADD,nV1jqGc3b6,60896.68 
[75521] QUOTE,nV1jqGc3b6,ALM 
[75604] QUOTE,nV1jqGc3b6,GWS 
[75610] BUY,nV1jqGc3b6,HIW,267.02 
[75629] COMMIT_BUY,nV1jqGc3b6 
[75680] SELL,nV1jqGc3b6,IFN,476.64 
[75766] COMMIT_SELL,nV1jqGc3b6 
[75909] SET_BUY_TRIGGER,nV1jqGc3b6,IPH,197.62 
[75986] CANCEL_SELL,nV1jqGc3b6 
[76067] SET_BUY_TRIGGER,nV1jqGc3b6,ZCO,95.24 
[76231] QUOTE,nV1jqGc3b6,OYS 
[76265] SET_BUY_TRIGGER,nV1jqGc3b6,FCH,97.60 
[76381] BUY,nV1jqGc3b6,LAM,298.17 
[76415] QUOTE,nV1jqGc3b6,FFI 
[76518] BUY,nV1jqGc3b6,DWC,582.14 
[76538] QUOTE,nV1jqGc3b6,YOQ 
[76848] BUY,nV1jqGc3b6,WYA,640.28 
[76948] COMMIT_BUY,nV1jqGc3b6 
[77060] BUY,nV1jqGc3b6,PLA,295.10 
[77152] SET_SELL_AMOUNT,nV1jqGc3b6,BYA,437.32 
[77217] SET_SELL_TRIGGER,nV1jqGc3b6,BYA,161.46 
[77279] SET_BUY_AMOUNT,nV1jqGc3b6,TVI,194.93 
[77452] DISPLAY_SUMMARY,nV1jqGc3b6 
[77473] BUY,nV1jqGc3b6,THH,533.70 
[77543] QUOTE,nV1jqGc3b6,YBP 
[77555] ADD,nV1jqGc3b6,70030.33 
[77636] COMMIT_SELL,nV1jqGc3b6 
[77831] SELL,nV1jqGc3b6,UIE,745.28 
[78061] CANCEL_SET_BUY,nV1jqGc3b6,SWJ 
[78087] QUOTE,nV1jqGc3b6,ROW 
[78344] CANCEL_BUY,nV1jqGc3b6 
[78371] SELL,nV1jqGc3b6,BYA,280.60 
[78582] COMMIT_BUY,nV1jqGc3b6 
[78605] ADD,nV1jqGc3b6,36576.17 
[78722] QUOTE,nV1jqGc3b6,SZI 
[78771] BUY,nV1jqGc3b6,MVY,325.40 
[78799] SET_SELL_AMOUNT,nV1jqGc3b6,ZAN,473.33 
[78837] SET_SELL_TRIGGER,nV1jqGc3b6,ZAN,151.93 
[78991] QUOTE,nV1jqGc3b6,NOP 
[79109] BUY,nV1jqGc3b6,JTY,443.36 
[79174] COMMIT_BUY,nV1jqGc3b6 
[79207] SET_BUY_TRIGGER,nV1jqGc3b6,ISQ,123.12 
[79270] DISPLAY_SUMMARY,nV1jqGc3b6 
[79315] BUY,nV1jqGc3b6,FTB,242.46 
[79335] COMMIT_BUY,nV1jqGc3b6 
[79373] SELL,nV1jqGc3b6,JRJ,88.55 
[79438] QUOTE,nV1jqGc3b6,LSW 
[79494] BUY,nV1jqGc3b6,PST,79.91 
[79542] COMMIT_BUY,nV1jqGc3b6 
[79858] DISPLAY_SUMMARY,nV1jqGc3b6 
[80042] DISPLAY_SUMMARY,nV1jqGc3b6 
[80060] SELL,nV1jqGc3b6,UBJ,701.25 
[80083] COMMIT_SELL,nV1jqGc3b6 
[80085] SET_SELL_AMOUNT,nV1jqGc3b6,QGE,3.59 
[80110] QUOTE,nV1jqGc3b6,NVX 
[80112] CANCEL_BUY,nV1jqGc3b6 
[80225] SET_BUY_TRIGGER,nV1jqGc3b6,ETJ,49.75 
[80407] QUOTE,nV1jqGc3b6,KJD 
[80556] SET_BUY_AMOUNT,nV1jqGc3b6,YJK,749.70 
[80614] SET_BUY_TRIGGER,nV1jqGc3b6,CNN,564.16 
[80626] ADD,nV1jqGc3b6,97564.25 
[80751] SELL,nV1jqGc3b6,VTY,285.01 
[80840] COMMIT_SELL,nV1jqGc3b6 
[81028] SET_SELL_AMOUNT,nV1jqGc3b6,QGE,284.47 
[81046] SET_SELL_TRIGGER,nV1jqGc3b6,QGE,265.90 
[81293] ADD,nV1jqGc3b6,68444.10 
[81305] SELL,nV1jqGc3b6,SZI,695.63 
[81444] COMMIT_SELL,nV1jqGc3b6 
[81452] SET_BUY_TRIGGER,nV1jqGc3b6,YTY,174.11 
[81508] SET_SELL_AMOUNT,nV1jqGc3b6,ZYR,80.35 
[81568] BUY,nV1jqGc3b6,OTQ,156.21 
[81666] CANCEL_SET_BUY,nV1jqGc3b6,XUH 
[81677] ADD,nV1jqGc3b6,66582.35 
[81823] BUY,nV1jqGc3b6,GTN,220.68 
[81928] CANCEL_SET_SELL,nV1jqGc3b6,ZYR 
[81976] ADD,nV1jqGc3b6,76793.68 
[82073] QUOTE,nV1jqGc3b6,ULL 
[82148] BUY,nV1jqGc3b6,CMA,205.17 
[82259] QUOTE,nV1jqGc3b6,MER 
[82332] QUOTE,nV1jqGc3b6,WSR 
[82386] COMMIT_BUY,nV1jqGc3b6 
[82435] SET_BUY_TRIGGER,nV1jqGc3b6,CAX,71.40 
[82493] BUY,nV1jqGc3b6,DPG,243.85 
[82688] ADD,nV1jqGc3b6,58155.50 
[82799] QUOTE,nV1jqGc3b6,XYV 
[83017] QUOTE,nV1jqGc3b6,BPP 
[83208] CANCEL_BUY,nV1jqGc3b6 
[83231] ADD,nV1jqGc3b6,64097.62 
[83239] COMMIT_SELL,nV1jqGc3b6 
[83241] SET_BUY_AMOUNT,nV1jqGc3b6,VTY,261.29 
[83307] BUY,nV1jqGc3b6,GMF,745.34 
[83419] COMMIT_BUY,nV1jqGc3b6 
[83504] QUOTE,nV1jqGc3b6,PMG 
[83595] SET_SELL_TRIGGER,nV1jqGc3b6,SOT,100.68 
[83877] ADD,nV1jqGc3b6,74077.88 
[84096] QUOTE,nV1jqGc3b6,STQ 
[84104] BUY,nV1jqGc3b6,QVA,18.25 
[84297] COMMIT_BUY,nV1jqGc3b6 
[84305] SET_BUY_AMOUNT,nV1jqGc3b6,LZV,266.62 
[84586] SET_BUY_TRIGGER,nV1jqGc3b6,AIN,3.71 
[84810] SET_BUY_TRIGGER,nV1jqGc3b6,IZJ,123.09 
[85040] SELL,nV1jqGc3b6,LFU,32.43 
[85245] CANCEL_SELL,nV1jqGc3b6 
[85321] SET_SELL_TRIGGER,nV1jqGc3b6,GDO,140.02 
[85391] ADD,nV1jqGc3b6,57088.26 
[85502] BUY,nV1jqGc3b6,AHO,18.11 
[85568] SET_SELL_TRIGGER,nV1jqGc3b6,IFI,162.52 
[85579] SET_SELL_TRIGGER,nV1jqGc3b6,HTN,13.92 
[85613] BUY,nV1jqGc3b6,QNK,189.59 
[86020] COMMIT_BUY,nV1jqGc3b6 
[86052] SELL,nV1jqGc3b6,YDS,270.92 
[86223] COMMIT_SELL,nV1jqGc3b6 
[86276] DISPLAY_SUMMARY,nV1jqGc3b6 
[86285] DISPLAY_SUMMARY,nV1jqGc3b6 
[86417] BUY,nV1jqGc3b6,NTT,535.43 
[86499] COMMIT_BUY,nV1jqGc3b6 
[86711] QUOTE,nV1jqGc3b6,JUV 
[86792] QUOTE,nV1jqGc3b6,MAX 
[87062] QUOTE,nV1jqGc3b6,WKE 
[87104] SELL,nV1jqGc3b6,IQJ,340.95 
[87260] COMMIT_SELL,nV1jqGc3b6 
[87383] DISPLAY_SUMMARY,nV1jqGc3b6 
[87412] CANCEL_SET_BUY,nV1jqGc3b6,WTD 
[87619] QUOTE,nV1jqGc3b6,ALG 
[87635] BUY,nV1jqGc3b6,LSG,549.89 
[87641] COMMIT_BUY,nV1jqGc3b6 
[87667] SELL,nV1jqGc3b6,RUN,593.09 
[87694] COMMIT_SELL,nV1jqGc3b6 
[87972] DISPLAY_SUMMARY,nV1jqGc3b6 
[88194] SET_SELL_AMOUNT,nV1jqGc3b6,SUS,303.12 
[88316] SET_SELL_TRIGGER,nV1jqGc3b6,SUS,134.40 
[88517] DISPLAY_SUMMARY,nV1jqGc3b6 
[88759] SET_SELL_AMOUNT,nV1jqGc3b6,GRM,223.51 
[88825] SET_SELL_TRIGGER,nV1jqGc3b6,GRM,112.07 
[88878] BUY,nV1jqGc3b6,NDJ,285.63 
[88964] COMMIT_BUY,nV1jqGc3b6 
[89058] DISPLAY_SUMMARY,nV1jqGc3b6 
