[293] ADD,ooUBBK63Qe,53157.82 
[46267] SET_BUY_TRIGGER,ooUBBK63Qe,PBV,275.39 
[46292] ADD,ooUBBK63Qe,98616.83 
[46508] QUOTE,ooUBBK63Qe,ZPD 
[46564] CANCEL_SELL,ooUBBK63Qe 
[46684] SELL,ooUBBK63Qe,DFE,258.60 
[46718] QUOTE,ooUBBK63Qe,WYO 
[47083] QUOTE,ooUBBK63Qe,KZQ 
[47207] BUY,ooUBBK63Qe,ZNW,272.31 
[47319] CANCEL_BUY,ooUBBK63Qe 
[47331] ADD,ooUBBK63Qe,74725.32 
[47422] BUY,ooUBBK63Qe,ZOZ,435.50 
[47566] COMMIT_SELL,ooUBBK63Qe 
[47599] SELL,ooUBBK63Qe,FQP,287.68 
[47730] CANCEL_SELL,ooUBBK63Qe 
[47895] ADD,ooUBBK63Qe,65492.94 
[47964] BUY,ooUBBK63Qe,QPX,96.22 
[48001] CANCEL_SELL,ooUBBK63Qe 
[48111] SET_SELL_AMOUNT,ooUBBK63Qe,CUZ,651.55 
[48278] SET_SELL_TRIGGER,ooUBBK63Qe,CUZ,86.03 
[48378] SELL,ooUBBK63Qe,KDA,29.20 
[48406] DISPLAY_SUMMARY,ooUBBK63Qe 
[48784] BUY,ooUBBK63Qe,LMO,433.98 
[48966] COMMIT_BUY,ooUBBK63Qe 
[49057] SET_SELL_AMOUNT,ooUBBK63Qe,LFU,439.53 
[49084] CANCEL_SET_SELL,ooUBBK63Qe,LFU 
[49310] SET_BUY_AMOUNT,ooUBBK63Qe,YJK,415.42 
[49349] SET_BUY_TRIGGER,ooUBBK63Qe,YWK,247.56 
[49354] SET_BUY_AMOUNT,ooUBBK63Qe,GYF,4.69 
[49426] SET_BUY_TRIGGER,ooUBBK63Qe,CAX,0.44 
[49465] QUOTE,ooUBBK63Qe,CVP 
[49577] DISPLAY_SUMMARY,ooUBBK63Qe 
[49615] SELL,ooUBBK63Qe,EBS,69.88 
[49652] SELL,ooUBBK63Qe,LFU,534.83 
[49827] CANCEL_SELL,ooUBBK63Qe 
[49843] DISPLAY_SUMMARY,ooUBBK63Qe 
[49960] ADD,ooUBBK63Qe,69343.86 
[49996] BUY,ooUBBK63Qe,KRY,517.74 
[50158] COMMIT_BUY,ooUBBK63Qe 
[50353] QUOTE,ooUBBK63Qe,PRJ 
[50547] QUOTE,ooUBBK63Qe,KPE 
[50633] SET_BUY_TRIGGER,ooUBBK63Qe,JJW,147.71 
[50682] SET_BUY_TRIGGER,ooUBBK63Qe,RVU,48.32 
[50880] ADD,ooUBBK63Qe,69074.84 
[50900] SET_BUY_AMOUNT,ooUBBK63Qe,ZAN,613.48 
[51159] BUY,ooUBBK63Qe,WHR,640.56 
[51278] CANCEL_BUY,ooUBBK63Qe 
[51381] COMMIT_BUY,ooUBBK63Qe 
[51479] BUY,ooUBBK63Qe,ONI,323.36 
[51493] COMMIT_BUY,ooUBBK63Qe 
[51509] SET_BUY_TRIGGER,ooUBBK63Qe,MZT,517.91 
[51714] SELL,ooUBBK63Qe,LFU,695.44 
[51726] CANCEL_SELL,ooUBBK63Qe 
[51740] SET_SELL_AMOUNT,ooUBBK63Qe,NHG,103.27 
[51768] DISPLAY_SUMMARY,ooUBBK63Qe 
[51851] QUOTE,ooUBBK63Qe,VOY 
[51924] BUY,ooUBBK63Qe,SHP,307.59 
[51941] COMMIT_BUY,ooUBBK63Qe 
[51959] SET_BUY_AMOUNT,ooUBBK63Qe,JRJ,501.00 
[51995] SET_BUY_TRIGGER,ooUBBK63Qe,BOS,455.41 
[52133] DISPLAY_SUMMARY,ooUBBK63Qe 
[52266] SET_BUY_TRIGGER,ooUBBK63Qe,KEO,106.97 
[52315] ADD,ooUBBK63Qe,49977.67 
[52530] ADD,ooUBBK63Qe,78350.47 
[52568] BUY,ooUBBK63Qe,AUT,378.48 
[52858] COMMIT_BUY,ooUBBK63Qe 
[52994] SELL,ooUBBK63Qe,QAX,609.78 
[53109] CANCEL_BUY,ooUBBK63Qe 
[53336] BUY,ooUBBK63Qe,JTX,625.60 
[53441] COMMIT_BUY,ooUBBK63Qe 
[53566] COMMIT_SELL,ooUBBK63Qe 
[53691] BUY,ooUBBK63Qe,CNN,50.34 
[53832] QUOTE,ooUBBK63Qe,CBX 
[53877] BUY,ooUBBK63Qe,ZEG,568.34 
[54089] COMMIT_BUY,ooUBBK63Qe 
[54263] SET_SELL_AMOUNT,ooUBBK63Qe,OEY,223.31 
[54290] SET_SELL_TRIGGER,ooUBBK63Qe,OEY,180.85 
[54322] SET_SELL_TRIGGER,ooUBBK63Qe,YRL,110.54 
[54345] SET_BUY_AMOUNT,ooUBBK63Qe,YJK,679.55 
[54476] BUY,ooUBBK63Qe,LSG,671.66 
[54517] COMMIT_BUY,ooUBBK63Qe 
[54557] SET_SELL_AMOUNT,ooUBBK63Qe,QJZ,551.61 
[54560] SET_SELL_TRIGGER,ooUBBK63Qe,QJZ,149.61 
[54632] CANCEL_SET_BUY,ooUBBK63Qe,TVX 
[54817] QUOTE,ooUBBK63Qe,FNY 
[54830] SET_BUY_TRIGGER,ooUBBK63Qe,ZFV,197.56 
[54906] SET_BUY_TRIGGER,ooUBBK63Qe,SXB,138.58 
[55101] SET_SELL_AMOUNT,ooUBBK63Qe,RGH,558.18 
[55163] BUY,ooUBBK63Qe,FTP,189.48 
[55175] COMMIT_BUY,ooUBBK63Qe 
[55228] SET_SELL_AMOUNT,ooUBBK63Qe,CSZ,217.35 
[55254] SET_SELL_TRIGGER,ooUBBK63Qe,CSZ,58.25 
[55264] SELL,ooUBBK63Qe,RNK,430.86 
[55347] CANCEL_SELL,ooUBBK63Qe 
[55563] DISPLAY_SUMMARY,ooUBBK63Qe 
[55870] QUOTE,ooUBBK63Qe,OYX 
[55893] SELL,ooUBBK63Qe,FQP,311.58 
[55933] COMMIT_SELL,ooUBBK63Qe 
[55989] SELL,ooUBBK63Qe,ZTI,236.06 
[56028] CANCEL_SELL,ooUBBK63Qe 
[56063] DISPLAY_SUMMARY,ooUBBK63Qe 
[56115] DISPLAY_SUMMARY,ooUBBK63Qe 
[56151] SET_SELL_AMOUNT,ooUBBK63Qe,XLK,428.80 
[56157] SET_SELL_TRIGGER,ooUBBK63Qe,XLK,156.71 
[56555] BUY,ooUBBK63Qe,DBS,426.62 
[56725] COMMIT_BUY,ooUBBK63Qe 
[56964] QUOTE,ooUBBK63Qe,RWY 
[57030] QUOTE,ooUBBK63Qe,BZX 
[57116] QUOTE,ooUBBK63Qe,VUS 
[57222] COMMIT_BUY,ooUBBK63Qe 
[57276] SET_BUY_TRIGGER,ooUBBK63Qe,STT,56.29 
[57394] BUY,ooUBBK63Qe,SEI,212.28 
[57444] COMMIT_BUY,ooUBBK63Qe 
[57507] ADD,ooUBBK63Qe,53667.74 
[57563] SELL,ooUBBK63Qe,JCQ,602.77 
[57645] QUOTE,ooUBBK63Qe,FRB 
[57718] ADD,ooUBBK63Qe,67660.11 
[57826] QUOTE,ooUBBK63Qe,FPV 
[57946] SET_BUY_AMOUNT,ooUBBK63Qe,FQP,199.37 
[57977] SET_BUY_TRIGGER,ooUBBK63Qe,UTL,22.88 
[58019] DISPLAY_SUMMARY,ooUBBK63Qe 
[58044] DISPLAY_SUMMARY,ooUBBK63Qe 
[58185] ADD,ooUBBK63Qe,62233.79 
[58222] QUOTE,ooUBBK63Qe,WYD 
[58482] DISPLAY_SUMMARY,ooUBBK63Qe 
[58761] QUOTE,ooUBBK63Qe,YZC 
[58829] SET_SELL_AMOUNT,ooUBBK63Qe,XXQ,26.20 
[59232] SET_SELL_TRIGGER,ooUBBK63Qe,XXQ,5.72 
[59274] SET_SELL_TRIGGER,ooUBBK63Qe,WSR,81.37 
[59424] ADD,ooUBBK63Qe,59309.33 
[59448] BUY,ooUBBK63Qe,TTY,709.94 
[59677] SET_SELL_AMOUNT,ooUBBK63Qe,ZYR,696.03 
[59708] BUY,ooUBBK63Qe,JGG,147.86 
[59845] COMMIT_BUY,ooUBBK63Qe 
[59875] ADD,ooUBBK63Qe,97502.82 
[59995] QUOTE,ooUBBK63Qe,LSG 
[60087] BUY,ooUBBK63Qe,YIQ,287.17 
[60115] CANCEL_SET_SELL,ooUBBK63Qe,ZYR 
[60326] SET_BUY_TRIGGER,ooUBBK63Qe,NTT,19.04 
[60336] SELL,ooUBBK63Qe,XXQ,76.77 
[60371] COMMIT_SELL,ooUBBK63Qe 
[60412] QUOTE,ooUBBK63Qe,QJC 
[60554] QUOTE,ooUBBK63Qe,XER 
[60752] COMMIT_BUY,ooUBBK63Qe 
[61227] SET_BUY_AMOUNT,ooUBBK63Qe,JZJ,437.04 
[61292] QUOTE,ooUBBK63Qe,FRB 
[61381] SET_BUY_AMOUNT,ooUBBK63Qe,EBS,91.89 
[61398] SET_BUY_TRIGGER,ooUBBK63Qe,NZS,48.98 
[61473] BUY,ooUBBK63Qe,EED,346.36 
[61525] COMMIT_BUY,ooUBBK63Qe 
[61635] ADD,ooUBBK63Qe,73766.72 
[61655] BUY,ooUBBK63Qe,OGB,580.69 
[61682] COMMIT_BUY,ooUBBK63Qe 
[61840] SELL,ooUBBK63Qe,LFU,402.86 
[62044] COMMIT_SELL,ooUBBK63Qe 
[62327] BUY,ooUBBK63Qe,KBP,565.13 
[62455] CANCEL_BUY,ooUBBK63Qe 
[62502] DISPLAY_SUMMARY,ooUBBK63Qe 
[62527] ADD,ooUBBK63Qe,75005.50 
[62661] BUY,ooUBBK63Qe,FZB,572.16 
[62779] SET_SELL_AMOUNT,ooUBBK63Qe,QGE,556.90 
[62967] SET_SELL_TRIGGER,ooUBBK63Qe,QGE,234.47 
[63057] SET_BUY_AMOUNT,ooUBBK63Qe,CSZ,638.31 
[63183] SET_BUY_TRIGGER,ooUBBK63Qe,HEK,399.03 
[63254] SET_BUY_AMOUNT,ooUBBK63Qe,SSF,231.16 
[63347] BUY,ooUBBK63Qe,JUV,647.59 
[63464] COMMIT_BUY,ooUBBK63Qe 
[63602] DISPLAY_SUMMARY,ooUBBK63Qe 
[63715] DISPLAY_SUMMARY,ooUBBK63Qe 
[63759] BUY,ooUBBK63Qe,SPP,449.41 
[63810] COMMIT_BUY,ooUBBK63Qe 
[63869] DISPLAY_SUMMARY,ooUBBK63Qe 
[64073] SET_BUY_AMOUNT,ooUBBK63Qe,LFU,560.02 
[64076] SELL,ooUBBK63Qe,XXQ,589.42 
[64149] SET_BUY_AMOUNT,ooUBBK63Qe,CEC,81.00 
[64199] BUY,ooUBBK63Qe,JKX,152.67 
[64227] COMMIT_BUY,ooUBBK63Qe 
[64242] DISPLAY_SUMMARY,ooUBBK63Qe 
[64399] SET_BUY_TRIGGER,ooUBBK63Qe,XLV,36.66 
[64432] CANCEL_SELL,ooUBBK63Qe 
[64549] ADD,ooUBBK63Qe,55999.89 
[64613] QUOTE,ooUBBK63Qe,PJJ 
[64854] SET_SELL_TRIGGER,ooUBBK63Qe,ATE,156.31 
[65193] SET_SELL_TRIGGER,ooUBBK63Qe,IQZ,19.47 
[65362] SET_BUY_AMOUNT,ooUBBK63Qe,KES,713.19 
[65533] SET_BUY_TRIGGER,ooUBBK63Qe,LPW,566.19 
[65545] SET_SELL_TRIGGER,ooUBBK63Qe,FVS,57.06 
[65698] QUOTE,ooUBBK63Qe,VGW 
[66058] BUY,ooUBBK63Qe,ZRH,282.87 
[66114] CANCEL_BUY,ooUBBK63Qe 
[66328] DISPLAY_SUMMARY,ooUBBK63Qe 
[66374] SET_BUY_TRIGGER,ooUBBK63Qe,JIC,89.04 
[66431] SET_BUY_TRIGGER,ooUBBK63Qe,ZJB,95.84 
[66503] SET_BUY_AMOUNT,ooUBBK63Qe,JVT,61.61 
[66524] QUOTE,ooUBBK63Qe,IFQ 
[66660] BUY,ooUBBK63Qe,MXN,276.00 
[66676] COMMIT_BUY,ooUBBK63Qe 
[66743] SET_SELL_AMOUNT,ooUBBK63Qe,KDA,707.94 
[66749] SET_SELL_TRIGGER,ooUBBK63Qe,KDA,592.09 
[66770] DISPLAY_SUMMARY,ooUBBK63Qe 
[66799] QUOTE,ooUBBK63Qe,EDM 
[66921] BUY,ooUBBK63Qe,BTA,174.37 
[67238] QUOTE,ooUBBK63Qe,GUB 
[67424] SELL,ooUBBK63Qe,CUZ,301.11 
[67475] COMMIT_SELL,ooUBBK63Qe 
[67537] CANCEL_BUY,ooUBBK63Qe 
[67574] SELL,ooUBBK63Qe,OEY,208.54 
[67609] SET_BUY_AMOUNT,ooUBBK63Qe,AVX,592.30 
[67688] CANCEL_SET_BUY,ooUBBK63Qe,OEM 
[67797] SELL,ooUBBK63Qe,CBO,356.13 
[67811] COMMIT_SELL,ooUBBK63Qe 
[67875] SELL,ooUBBK63Qe,LFU,274.01 
[68096] COMMIT_SELL,ooUBBK63Qe 
[68106] QUOTE,ooUBBK63Qe,CUQ 
[68369] QUOTE,ooUBBK63Qe,GYT 
[68458] ADD,ooUBBK63Qe,59884.73 
[68707] BUY,ooUBBK63Qe,RQF,431.49 
[68745] SET_SELL_TRIGGER,ooUBBK63Qe,NAR,112.84 
[68892] QUOTE,ooUBBK63Qe,MXN 
[68907] BUY,ooUBBK63Qe,TJL,25.93 
[68982] CANCEL_BUY,ooUBBK63Qe 
[69091] SET_SELL_TRIGGER,ooUBBK63Qe,FCM,150.54 
[69247] SET_BUY_AMOUNT,ooUBBK63Qe,ZTI,376.53 
[69251] SET_BUY_TRIGGER,ooUBBK63Qe,MQX,44.14 
[69302] BUY,ooUBBK63Qe,ZHB,712.19 
[69385] CANCEL_BUY,ooUBBK63Qe 
[69474] SET_SELL_AMOUNT,ooUBBK63Qe,KDA,29.61 
[69617] SET_SELL_TRIGGER,ooUBBK63Qe,KDA,7.26 
[69674] DISPLAY_SUMMARY,ooUBBK63Qe 
[69688] COMMIT_SELL,ooUBBK63Qe 
[69818] BUY,ooUBBK63Qe,MDZ,105.55 
[69917] COMMIT_BUY,ooUBBK63Qe 
[69969] ADD,ooUBBK63Qe,75062.13 
[70357] QUOTE,ooUBBK63Qe,IWL 
[70654] CANCEL_BUY,ooUBBK63Qe 
[70726] SET_BUY_AMOUNT,ooUBBK63Qe,RNK,64.59 
[70909] SET_BUY_TRIGGER,ooUBBK63Qe,EBS,24.06 
[70923] SET_SELL_AMOUNT,ooUBBK63Qe,GRM,506.91 
[70965] SET_SELL_TRIGGER,ooUBBK63Qe,GRM,287.44 
[70997] DISPLAY_SUMMARY,ooUBBK63Qe 
[71041] SET_SELL_TRIGGER,ooUBBK63Qe,MXD,92.67 
[71098] SET_SELL_TRIGGER,ooUBBK63Qe,VTY,10.88 
[71270] ADD,ooUBBK63Qe,101355.87 
[71295] QUOTE,ooUBBK63Qe,XAN 
[71516] BUY,ooUBBK63Qe,KAR,448.26 
[71544] CANCEL_SELL,ooUBBK63Qe 
[71558] ADD,ooUBBK63Qe,71348.29 
[71711] BUY,ooUBBK63Qe,NJT,545.13 
[71821] CANCEL_BUY,ooUBBK63Qe 
[71824] SELL,ooUBBK63Qe,NHG,308.33 
[71902] COMMIT_SELL,ooUBBK63Qe 
[71989] SET_SELL_TRIGGER,ooUBBK63Qe,WNX,84.10 
[72106] SET_SELL_AMOUNT,ooUBBK63Qe,KDA,285.76 
[72152] SET_SELL_TRIGGER,ooUBBK63Qe,KDA,231.57 
[72204] ADD,ooUBBK63Qe,40243.70 
[72222] BUY,ooUBBK63Qe,AZN,334.59 
[72317] CANCEL_SET_BUY,ooUBBK63Qe,ZWB 
[72333] ADD,ooUBBK63Qe,68698.74 
[72396] DISPLAY_SUMMARY,ooUBBK63Qe 
[72428] QUOTE,ooUBBK63Qe,SBT 
[72439] BUY,ooUBBK63Qe,JUE,635.29 
[72447] DISPLAY_SUMMARY,ooUBBK63Qe 
[72809] SET_BUY_AMOUNT,ooUBBK63Qe,JCQ,279.97 
[72829] SET_BUY_TRIGGER,ooUBBK63Qe,VVW,226.11 
[72896] ADD,ooUBBK63Qe,65481.79 
[72957] BUY,ooUBBK63Qe,BOS,163.35 
[73167] SELL,ooUBBK63Qe,RUN,403.73 
[73225] SET_BUY_TRIGGER,ooUBBK63Qe,CLQ,126.87 
[73437] SET_SELL_AMOUNT,ooUBBK63Qe,XLK,705.05 
[73611] SET_SELL_TRIGGER,ooUBBK63Qe,XLK,530.05 
[73715] SET_BUY_TRIGGER,ooUBBK63Qe,MFY,152.37 
[74054] DISPLAY_SUMMARY,ooUBBK63Qe 
[74108] ADD,ooUBBK63Qe,75962.10 
[74223] QUOTE,ooUBBK63Qe,RQF 
[74370] SET_BUY_TRIGGER,ooUBBK63Qe,MRK,189.15 
[74434] SET_SELL_AMOUNT,ooUBBK63Qe,UIE,245.36 
[74468] SET_SELL_TRIGGER,ooUBBK63Qe,UIE,78.07 
[74541] COMMIT_SELL,ooUBBK63Qe 
[74693] ADD,ooUBBK63Qe,68871.19 
[74695] DISPLAY_SUMMARY,ooUBBK63Qe 
[74747] ADD,ooUBBK63Qe,78108.99 
[74760] BUY,ooUBBK63Qe,VMD,411.89 
[74804] COMMIT_BUY,ooUBBK63Qe 
[74846] SET_BUY_AMOUNT,ooUBBK63Qe,GRM,741.30 
[75059] SET_BUY_TRIGGER,ooUBBK63Qe,JNO,417.43 
[75140] BUY,ooUBBK63Qe,ZSV,685.06 
[75332] COMMIT_BUY,ooUBBK63Qe 
[75350] SELL,ooUBBK63Qe,ZAN,212.14 
[75585] COMMIT_SELL,ooUBBK63Qe 
[75588] SET_BUY_TRIGGER,ooUBBK63Qe,AXK,96.49 
[75893] BUY,ooUBBK63Qe,ELQ,213.30 
[75938] COMMIT_SELL,ooUBBK63Qe 
[76078] QUOTE,ooUBBK63Qe,SXB 
[76143] SET_SELL_TRIGGER,ooUBBK63Qe,UFX,28.89 
[76146] BUY,ooUBBK63Qe,KZC,150.87 
[76250] SET_BUY_TRIGGER,ooUBBK63Qe,TWJ,87.29 
[76397] COMMIT_BUY,ooUBBK63Qe 
[76486] QUOTE,ooUBBK63Qe,HCN 
[76798] COMMIT_BUY,ooUBBK63Qe 
[76859] SET_SELL_TRIGGER,ooUBBK63Qe,MLT,72.00 
[76918] SELL,ooUBBK63Qe,BCQ,355.51 
[76971] COMMIT_SELL,ooUBBK63Qe 
[77002] SET_BUY_AMOUNT,ooUBBK63Qe,KDA,138.37 
[77115] SET_BUY_TRIGGER,ooUBBK63Qe,WZM,109.38 
[77153] ADD,ooUBBK63Qe,66773.91 
[77232] SET_SELL_AMOUNT,ooUBBK63Qe,GYF,492.37 
[77236] SET_SELL_TRIGGER,ooUBBK63Qe,GYF,54.58 
[77318] QUOTE,ooUBBK63Qe,FMJ 
[77327] QUOTE,ooUBBK63Qe,XLK 
[77328] CANCEL_SET_BUY,ooUBBK63Qe,OGB 
[77367] ADD,ooUBBK63Qe,68080.24 
[77486] QUOTE,ooUBBK63Qe,CGW 
[77494] COMMIT_SELL,ooUBBK63Qe 
[77637] SET_BUY_AMOUNT,ooUBBK63Qe,JZJ,705.81 
[77680] SET_BUY_TRIGGER,ooUBBK63Qe,ARP,623.23 
[77723] ADD,ooUBBK63Qe,91747.70 
[77749] QUOTE,ooUBBK63Qe,ZAM 
[77817] CANCEL_SET_BUY,ooUBBK63Qe,WKL 
[77967] DISPLAY_SUMMARY,ooUBBK63Qe 
[77985] SET_BUY_AMOUNT,ooUBBK63Qe,BYA,576.13 
[78138] SET_BUY_TRIGGER,ooUBBK63Qe,DKV,248.75 
[78228] CANCEL_BUY,ooUBBK63Qe 
[78390] SET_BUY_TRIGGER,ooUBBK63Qe,HIW,54.99 
[78472] CANCEL_SET_SELL,ooUBBK63Qe,DHA 
[78705] SET_BUY_AMOUNT,ooUBBK63Qe,QJZ,365.63 
[78829] SELL,ooUBBK63Qe,JZJ,249.22 
[78893] COMMIT_SELL,ooUBBK63Qe 
[78942] QUOTE,ooUBBK63Qe,BVN 
[78960] ADD,ooUBBK63Qe,61006.77 
[78967] BUY,ooUBBK63Qe,NJF,547.27 
[78969] QUOTE,ooUBBK63Qe,PUC 
[78972] SET_BUY_TRIGGER,ooUBBK63Qe,DRP,226.41 
[79035] DISPLAY_SUMMARY,ooUBBK63Qe 
[79248] SET_SELL_AMOUNT,ooUBBK63Qe,BCQ,686.03 
[79623] SET_SELL_TRIGGER,ooUBBK63Qe,BCQ,467.87 
[79654] SELL,ooUBBK63Qe,CEC,462.69 
[79705] CANCEL_SELL,ooUBBK63Qe 
[79835] SET_BUY_TRIGGER,ooUBBK63Qe,DLX,158.25 
[80202] QUOTE,ooUBBK63Qe,HIW 
[80256] BUY,ooUBBK63Qe,LLE,684.77 
[80312] COMMIT_BUY,ooUBBK63Qe 
[80327] SELL,ooUBBK63Qe,ZAN,653.72 
[80381] SET_SELL_TRIGGER,ooUBBK63Qe,YXK,37.02 
[80397] SELL,ooUBBK63Qe,YJK,230.94 
[80584] COMMIT_SELL,ooUBBK63Qe 
[80606] DISPLAY_SUMMARY,ooUBBK63Qe 
[80651] BUY,ooUBBK63Qe,UGG,681.06 
[80865] COMMIT_BUY,ooUBBK63Qe 
[80874] SET_BUY_AMOUNT,ooUBBK63Qe,CEC,645.00 
[80925] SET_BUY_TRIGGER,ooUBBK63Qe,LVV,255.81 
[81137] ADD,ooUBBK63Qe,54735.80 
[81485] QUOTE,ooUBBK63Qe,MER 
[81585] QUOTE,ooUBBK63Qe,NGZ 
[81682] SET_BUY_TRIGGER,ooUBBK63Qe,LPW,42.80 
[81779] SET_SELL_TRIGGER,ooUBBK63Qe,SUS,12.99 
[82031] ADD,ooUBBK63Qe,82547.97 
[82277] COMMIT_SELL,ooUBBK63Qe 
[82366] DISPLAY_SUMMARY,ooUBBK63Qe 
[82512] BUY,ooUBBK63Qe,XQC,559.89 
[82716] COMMIT_BUY,ooUBBK63Qe 
[82755] BUY,ooUBBK63Qe,MVQ,168.57 
[82767] CANCEL_SET_SELL,ooUBBK63Qe,JEA 
[83044] DISPLAY_SUMMARY,ooUBBK63Qe 
[83096] DISPLAY_SUMMARY,ooUBBK63Qe 
[83158] QUOTE,ooUBBK63Qe,OHG 
[83166] BUY,ooUBBK63Qe,VKB,312.06 
[83286] COMMIT_BUY,ooUBBK63Qe 
[83302] SET_SELL_AMOUNT,ooUBBK63Qe,PTP,733.65 
[83426] QUOTE,ooUBBK63Qe,JII 
[83587] ADD,ooUBBK63Qe,70106.55 
[83752] BUY,ooUBBK63Qe,MQX,534.90 
[83800] COMMIT_BUY,ooUBBK63Qe 
[84041] BUY,ooUBBK63Qe,IAV,478.14 
[84056] ADD,ooUBBK63Qe,27585.65 
[84151] QUOTE,ooUBBK63Qe,AAC 
[84215] SELL,ooUBBK63Qe,GYF,532.14 
[84219] CANCEL_SELL,ooUBBK63Qe 
[84221] ADD,ooUBBK63Qe,69485.26 
[84314] SET_BUY_AMOUNT,ooUBBK63Qe,JRJ,59.51 
[84326] SET_BUY_TRIGGER,ooUBBK63Qe,CJV,3.15 
[84434] ADD,ooUBBK63Qe,71730.64 
[84503] SET_BUY_AMOUNT,ooUBBK63Qe,KES,586.71 
[84833] DISPLAY_SUMMARY,ooUBBK63Qe 
[84854] BUY,ooUBBK63Qe,JGO,307.88 
[84926] CANCEL_BUY,ooUBBK63Qe 
[85004] DISPLAY_SUMMARY,ooUBBK63Qe 
[85513] SET_BUY_TRIGGER,ooUBBK63Qe,RWY,234.34 
[85625] SET_BUY_TRIGGER,ooUBBK63Qe,LSK,120.68 
[85635] SET_SELL_AMOUNT,ooUBBK63Qe,OPN,565.57 
[85733] DISPLAY_SUMMARY,ooUBBK63Qe 
[85749] ADD,ooUBBK63Qe,74923.93 
[86229] QUOTE,ooUBBK63Qe,PCK 
[86353] ADD,ooUBBK63Qe,50933.02 
[86629] QUOTE,ooUBBK63Qe,GPW 
[86994] BUY,ooUBBK63Qe,OXV,323.10 
[87067] CANCEL_SET_SELL,ooUBBK63Qe,OPN 
[87137] BUY,ooUBBK63Qe,HWO,320.79 
[87307] COMMIT_BUY,ooUBBK63Qe 
[87566] DISPLAY_SUMMARY,ooUBBK63Qe 
[87862] COMMIT_BUY,ooUBBK63Qe 
[88363] QUOTE,ooUBBK63Qe,CZQ 
[88382] SET_BUY_AMOUNT,ooUBBK63Qe,LFU,92.08 
[88436] SET_BUY_TRIGGER,ooUBBK63Qe,WZY,2.74 
[88511] QUOTE,ooUBBK63Qe,LMO 
[88525] QUOTE,ooUBBK63Qe,JJW 
[88543] CANCEL_BUY,ooUBBK63Qe 
[88614] BUY,ooUBBK63Qe,BHQ,699.00 
[88693] COMMIT_BUY,ooUBBK63Qe 
[88906] SET_BUY_AMOUNT,ooUBBK63Qe,QVK,153.14 
[88950] SET_BUY_TRIGGER,ooUBBK63Qe,TQE,64.41 
[89295] BUY,ooUBBK63Qe,DWC,465.01 
[89302] CANCEL_BUY,ooUBBK63Qe 
[89696] QUOTE,ooUBBK63Qe,GZU 
[89831] QUOTE,ooUBBK63Qe,ECX 
[89855] BUY,ooUBBK63Qe,ZYR,78.08 
[89873] SET_SELL_TRIGGER,ooUBBK63Qe,OLH,189.87 
[89929] DISPLAY_SUMMARY,ooUBBK63Qe 
[89935] DISPLAY_SUMMARY,ooUBBK63Qe 
[90266] SET_BUY_AMOUNT,ooUBBK63Qe,LZV,608.25 
[90279] SELL,ooUBBK63Qe,SUS,324.05 
[90335] COMMIT_SELL,ooUBBK63Qe 
[90393] CANCEL_SET_BUY,ooUBBK63Qe,RJG 
[90453] DISPLAY_SUMMARY,ooUBBK63Qe 
[90501] ADD,ooUBBK63Qe,59468.75 
[90705] BUY,ooUBBK63Qe,PTC,140.90 
[90884] COMMIT_BUY,ooUBBK63Qe 
[90897] DISPLAY_SUMMARY,ooUBBK63Qe 
[90919] DISPLAY_SUMMARY,ooUBBK63Qe 
[90962] QUOTE,ooUBBK63Qe,KWP 
[91114] SET_BUY_AMOUNT,ooUBBK63Qe,EBS,606.91 
[91134] SET_BUY_TRIGGER,ooUBBK63Qe,KQZ,296.57 
[91162] DISPLAY_SUMMARY,ooUBBK63Qe 
[91166] SET_BUY_TRIGGER,ooUBBK63Qe,BTP,173.90 
[91360] ADD,ooUBBK63Qe,74359.80 
[91424] BUY,ooUBBK63Qe,DFE,648.04 
[91630] COMMIT_BUY,ooUBBK63Qe 
[91794] ADD,ooUBBK63Qe,82472.15 
[91850] BUY,ooUBBK63Qe,OYW,155.18 
[92000] SET_BUY_TRIGGER,ooUBBK63Qe,OPN,12.20 
[92072] SET_SELL_AMOUNT,ooUBBK63Qe,CBO,441.18 
[92088] SET_SELL_TRIGGER,ooUBBK63Qe,CBO,304.82 
[92152] SET_BUY_AMOUNT,ooUBBK63Qe,JVT,117.62 
[92335] BUY,ooUBBK63Qe,SUS,209.99 
[92341] COMMIT_BUY,ooUBBK63Qe 
[92365] COMMIT_SELL,ooUBBK63Qe 
[92383] ADD,ooUBBK63Qe,77719.94 
[92432] QUOTE,ooUBBK63Qe,DNJ 
[92569] CANCEL_SET_BUY,ooUBBK63Qe,KRY 
[92713] ADD,ooUBBK63Qe,74443.69 
[92797] BUY,ooUBBK63Qe,HSJ,180.59 
[92963] COMMIT_BUY,ooUBBK63Qe 
[93051] ADD,ooUBBK63Qe,93178.31 
[93069] BUY,ooUBBK63Qe,SFR,87.09 
[93070] COMMIT_BUY,ooUBBK63Qe 
[93171] BUY,ooUBBK63Qe,WGV,599.87 
[93274] SELL,ooUBBK63Qe,XLK,519.44 
[93337] CANCEL_SELL,ooUBBK63Qe 
[93340] QUOTE,ooUBBK63Qe,JLK 
[93419] QUOTE,ooUBBK63Qe,TSS 
[93469] SET_BUY_AMOUNT,ooUBBK63Qe,SZI,183.34 
[93513] SET_BUY_TRIGGER,ooUBBK63Qe,LGL,182.12 
