[17] ADD,e7Zw0RBCl6,80205.43 
[46561] DISPLAY_SUMMARY,e7Zw0RBCl6 
[46576] DISPLAY_SUMMARY,e7Zw0RBCl6 
[46776] SET_SELL_AMOUNT,e7Zw0RBCl6,FQP,551.75 
[46806] SET_SELL_TRIGGER,e7Zw0RBCl6,FQP,153.41 
[46877] CANCEL_SET_BUY,e7Zw0RBCl6,UGT 
[47309] QUOTE,e7Zw0RBCl6,RVU 
[47607] BUY,e7Zw0RBCl6,EUM,640.50 
[47610] COMMIT_BUY,e7Zw0RBCl6 
[47747] BUY,e7Zw0RBCl6,IUN,411.21 
[47772] SET_SELL_TRIGGER,e7Zw0RBCl6,UDM,164.85 
[47821] BUY,e7Zw0RBCl6,ZNW,60.68 
[47937] COMMIT_BUY,e7Zw0RBCl6 
[48074] BUY,e7Zw0RBCl6,FFZ,545.52 
[48082] SET_BUY_TRIGGER,e7Zw0RBCl6,KZC,180.24 
[48214] SELL,e7Zw0RBCl6,BYA,520.81 
[48215] SELL,e7Zw0RBCl6,XXQ,608.95 
[48222] COMMIT_SELL,e7Zw0RBCl6 
[48245] SET_SELL_AMOUNT,e7Zw0RBCl6,ZTI,484.56 
[48397] SELL,e7Zw0RBCl6,NHG,26.33 
[48654] COMMIT_SELL,e7Zw0RBCl6 
[48736] CANCEL_SELL,e7Zw0RBCl6 
[48776] SET_SELL_TRIGGER,e7Zw0RBCl6,ZTI,475.78 
[48899] SELL,e7Zw0RBCl6,JZJ,248.30 
[48903] DISPLAY_SUMMARY,e7Zw0RBCl6 
[49072] BUY,e7Zw0RBCl6,BSZ,202.16 
[49123] CANCEL_BUY,e7Zw0RBCl6 
[49179] SET_BUY_AMOUNT,e7Zw0RBCl6,JZJ,236.49 
[49502] SET_BUY_TRIGGER,e7Zw0RBCl6,BMQ,104.88 
[49503] BUY,e7Zw0RBCl6,MQP,477.45 
[49507] COMMIT_BUY,e7Zw0RBCl6 
[49562] DISPLAY_SUMMARY,e7Zw0RBCl6 
[49586] DISPLAY_SUMMARY,e7Zw0RBCl6 
[49593] QUOTE,e7Zw0RBCl6,MHR 
[49986] BUY,e7Zw0RBCl6,RWM,386.48 
[49988] COMMIT_BUY,e7Zw0RBCl6 
[50138] SET_BUY_AMOUNT,e7Zw0RBCl6,JCQ,639.58 
[50160] SET_BUY_TRIGGER,e7Zw0RBCl6,OYS,551.59 
[50171] QUOTE,e7Zw0RBCl6,DQW 
[50195] ADD,e7Zw0RBCl6,78677.26 
[50284] BUY,e7Zw0RBCl6,ULL,32.07 
[50349] SET_BUY_AMOUNT,e7Zw0RBCl6,XXQ,301.35 
[50379] SET_BUY_TRIGGER,e7Zw0RBCl6,CAX,139.61 
[50384] SELL,e7Zw0RBCl6,RNK,584.35 
[50397] SELL,e7Zw0RBCl6,GYF,575.77 
[50732] BUY,e7Zw0RBCl6,JMG,677.69 
[50804] COMMIT_BUY,e7Zw0RBCl6 
[50827] ADD,e7Zw0RBCl6,75628.03 
[50845] QUOTE,e7Zw0RBCl6,RQS 
[51145] BUY,e7Zw0RBCl6,NJT,565.27 
[51200] CANCEL_SET_SELL,e7Zw0RBCl6,VFH 
[51206] SET_BUY_TRIGGER,e7Zw0RBCl6,FZB,139.47 
[51247] SELL,e7Zw0RBCl6,LFU,14.70 
[51424] CANCEL_SELL,e7Zw0RBCl6 
[51439] DISPLAY_SUMMARY,e7Zw0RBCl6 
[51468] SET_BUY_TRIGGER,e7Zw0RBCl6,WAI,117.45 
[51652] SELL,e7Zw0RBCl6,ZYR,357.27 
[51706] COMMIT_SELL,e7Zw0RBCl6 
[51955] ADD,e7Zw0RBCl6,84623.92 
[51979] QUOTE,e7Zw0RBCl6,MQF 
[52052] BUY,e7Zw0RBCl6,FQU,471.31 
[52154] COMMIT_BUY,e7Zw0RBCl6 
[52231] CANCEL_SELL,e7Zw0RBCl6 
[52616] ADD,e7Zw0RBCl6,73013.30 
[52673] BUY,e7Zw0RBCl6,OTQ,439.57 
[52802] CANCEL_SET_BUY,e7Zw0RBCl6,KAF 
[52988] SET_BUY_TRIGGER,e7Zw0RBCl6,GIK,102.08 
[53279] SET_SELL_TRIGGER,e7Zw0RBCl6,OKK,191.16 
[53313] ADD,e7Zw0RBCl6,48538.21 
[53443] CANCEL_SELL,e7Zw0RBCl6 
[53572] ADD,e7Zw0RBCl6,92905.65 
[53575] BUY,e7Zw0RBCl6,XDN,151.70 
[53588] COMMIT_BUY,e7Zw0RBCl6 
[53613] SELL,e7Zw0RBCl6,KDA,477.87 
[53772] SET_BUY_AMOUNT,e7Zw0RBCl6,XXQ,216.36 
[53817] SET_BUY_TRIGGER,e7Zw0RBCl6,YIQ,148.05 
[53945] BUY,e7Zw0RBCl6,UDM,100.73 
[54132] SET_SELL_AMOUNT,e7Zw0RBCl6,SUS,418.97 
[54203] SET_SELL_TRIGGER,e7Zw0RBCl6,SUS,110.34 
[54220] DISPLAY_SUMMARY,e7Zw0RBCl6 
[54521] ADD,e7Zw0RBCl6,95279.58 
[54701] BUY,e7Zw0RBCl6,YRL,285.37 
[54721] CANCEL_BUY,e7Zw0RBCl6 
[54756] COMMIT_SELL,e7Zw0RBCl6 
[54785] DISPLAY_SUMMARY,e7Zw0RBCl6 
[54795] ADD,e7Zw0RBCl6,80464.85 
[54845] SELL,e7Zw0RBCl6,RGH,472.35 
[55045] DISPLAY_SUMMARY,e7Zw0RBCl6 
[55065] DISPLAY_SUMMARY,e7Zw0RBCl6 
[55173] CANCEL_SET_BUY,e7Zw0RBCl6,YQC 
[55193] ADD,e7Zw0RBCl6,75888.28 
[55202] QUOTE,e7Zw0RBCl6,HEJ 
[55296] ADD,e7Zw0RBCl6,71156.34 
[55315] QUOTE,e7Zw0RBCl6,PFK 
[55342] BUY,e7Zw0RBCl6,SPL,151.12 
[55447] COMMIT_BUY,e7Zw0RBCl6 
[55534] CANCEL_SET_SELL,e7Zw0RBCl6,DTG 
[55547] DISPLAY_SUMMARY,e7Zw0RBCl6 
[55562] SET_BUY_AMOUNT,e7Zw0RBCl6,LFU,226.15 
[55572] SET_BUY_TRIGGER,e7Zw0RBCl6,SIK,159.28 
[56133] DISPLAY_SUMMARY,e7Zw0RBCl6 
[56376] BUY,e7Zw0RBCl6,HPN,263.09 
[56464] COMMIT_BUY,e7Zw0RBCl6 
[56557] BUY,e7Zw0RBCl6,UDN,488.94 
[56574] SELL,e7Zw0RBCl6,ZAN,425.20 
[56722] COMMIT_SELL,e7Zw0RBCl6 
[57156] ADD,e7Zw0RBCl6,66412.72 
[57228] BUY,e7Zw0RBCl6,ZNY,729.27 
[57231] ADD,e7Zw0RBCl6,38451.35 
[57265] BUY,e7Zw0RBCl6,VNN,418.71 
[57349] CANCEL_BUY,e7Zw0RBCl6 
[57364] CANCEL_SET_SELL,e7Zw0RBCl6,WKL 
[57368] CANCEL_BUY,e7Zw0RBCl6 
[57512] SET_SELL_AMOUNT,e7Zw0RBCl6,QJZ,619.96 
[57594] SET_SELL_TRIGGER,e7Zw0RBCl6,QJZ,162.12 
[57598] QUOTE,e7Zw0RBCl6,RXO 
[57717] BUY,e7Zw0RBCl6,OPN,740.29 
[57833] COMMIT_BUY,e7Zw0RBCl6 
[57891] BUY,e7Zw0RBCl6,RQF,446.57 
[58116] CANCEL_SET_SELL,e7Zw0RBCl6,RQF 
[58214] ADD,e7Zw0RBCl6,94363.48 
[58229] QUOTE,e7Zw0RBCl6,OAS 
[58356] QUOTE,e7Zw0RBCl6,XZO 
[58375] CANCEL_BUY,e7Zw0RBCl6 
[58467] SELL,e7Zw0RBCl6,RUN,387.32 
[58533] COMMIT_SELL,e7Zw0RBCl6 
[58621] BUY,e7Zw0RBCl6,GHL,372.49 
[58673] SET_SELL_TRIGGER,e7Zw0RBCl6,HRJ,161.60 
[58744] SELL,e7Zw0RBCl6,EBS,516.02 
[58768] COMMIT_SELL,e7Zw0RBCl6 
[58847] BUY,e7Zw0RBCl6,URY,365.03 
[58876] COMMIT_BUY,e7Zw0RBCl6 
[58908] DISPLAY_SUMMARY,e7Zw0RBCl6 
[59003] SET_BUY_TRIGGER,e7Zw0RBCl6,DVU,15.55 
[59046] SET_SELL_AMOUNT,e7Zw0RBCl6,YJK,652.21 
[59121] SET_SELL_TRIGGER,e7Zw0RBCl6,YJK,599.16 
[59144] SET_BUY_AMOUNT,e7Zw0RBCl6,UBJ,363.01 
[59222] SET_BUY_TRIGGER,e7Zw0RBCl6,NVX,77.93 
[59229] ADD,e7Zw0RBCl6,45685.54 
[59313] BUY,e7Zw0RBCl6,SYU,153.27 
[59356] ADD,e7Zw0RBCl6,55059.99 
[59626] BUY,e7Zw0RBCl6,TVI,65.33 
[59692] BUY,e7Zw0RBCl6,DGA,568.38 
[59711] CANCEL_SET_SELL,e7Zw0RBCl6,HIW 
[59877] ADD,e7Zw0RBCl6,99874.17 
[59886] QUOTE,e7Zw0RBCl6,PFN 
[59913] DISPLAY_SUMMARY,e7Zw0RBCl6 
[59934] SET_BUY_AMOUNT,e7Zw0RBCl6,GYF,290.38 
[60033] SET_BUY_TRIGGER,e7Zw0RBCl6,KEV,162.16 
[60043] BUY,e7Zw0RBCl6,QPZ,177.04 
[60069] COMMIT_BUY,e7Zw0RBCl6 
[60149] SELL,e7Zw0RBCl6,OEY,702.15 
[60306] SET_BUY_TRIGGER,e7Zw0RBCl6,XRK,109.62 
[60364] SELL,e7Zw0RBCl6,JZJ,32.87 
[60596] DISPLAY_SUMMARY,e7Zw0RBCl6 
[60633] ADD,e7Zw0RBCl6,65736.65 
[60640] QUOTE,e7Zw0RBCl6,HZE 
[60646] CANCEL_SET_SELL,e7Zw0RBCl6,TXB 
[60669] SELL,e7Zw0RBCl6,QAX,615.24 
[60854] CANCEL_SET_BUY,e7Zw0RBCl6,DWX 
[60970] ADD,e7Zw0RBCl6,78520.19 
[61117] BUY,e7Zw0RBCl6,FPP,116.40 
[61242] COMMIT_SELL,e7Zw0RBCl6 
[61512] QUOTE,e7Zw0RBCl6,JUG 
[61527] CANCEL_SELL,e7Zw0RBCl6 
[61675] SET_SELL_TRIGGER,e7Zw0RBCl6,XAN,82.15 
[61820] DISPLAY_SUMMARY,e7Zw0RBCl6 
[61835] CANCEL_BUY,e7Zw0RBCl6 
[61848] SET_BUY_TRIGGER,e7Zw0RBCl6,VUS,88.22 
[61860] CANCEL_BUY,e7Zw0RBCl6 
[61966] SELL,e7Zw0RBCl6,ZAN,232.07 
[62116] COMMIT_SELL,e7Zw0RBCl6 
[62121] BUY,e7Zw0RBCl6,NBX,90.86 
[62280] ADD,e7Zw0RBCl6,86917.07 
[62410] CANCEL_BUY,e7Zw0RBCl6 
[62545] QUOTE,e7Zw0RBCl6,OZT 
[62785] ADD,e7Zw0RBCl6,35951.09 
[62949] QUOTE,e7Zw0RBCl6,MMF 
[63487] SET_BUY_AMOUNT,e7Zw0RBCl6,EBS,686.76 
[63574] BUY,e7Zw0RBCl6,YTY,274.14 
[63646] CANCEL_BUY,e7Zw0RBCl6 
[63733] SET_BUY_AMOUNT,e7Zw0RBCl6,FQP,22.27 
[63740] SET_BUY_TRIGGER,e7Zw0RBCl6,GLO,1.37 
[63762] ADD,e7Zw0RBCl6,59216.36 
[63813] BUY,e7Zw0RBCl6,XYV,472.49 
[63883] SET_SELL_AMOUNT,e7Zw0RBCl6,RUN,696.82 
[63908] SET_SELL_TRIGGER,e7Zw0RBCl6,RUN,131.41 
[64044] SET_SELL_AMOUNT,e7Zw0RBCl6,SUS,391.47 
[64077] SET_SELL_TRIGGER,e7Zw0RBCl6,SUS,161.62 
[64239] QUOTE,e7Zw0RBCl6,FQR 
[64326] BUY,e7Zw0RBCl6,DBT,566.68 
[64421] COMMIT_BUY,e7Zw0RBCl6 
[64630] BUY,e7Zw0RBCl6,BHJ,653.78 
[64642] SELL,e7Zw0RBCl6,ZAN,188.69 
[64862] COMMIT_SELL,e7Zw0RBCl6 
[65002] QUOTE,e7Zw0RBCl6,XAB 
[65176] BUY,e7Zw0RBCl6,AVX,681.13 
[65354] CANCEL_SET_SELL,e7Zw0RBCl6,JLO 
[65364] SELL,e7Zw0RBCl6,CSZ,238.78 
[65557] COMMIT_SELL,e7Zw0RBCl6 
[65704] SELL,e7Zw0RBCl6,JRJ,450.57 
[65817] QUOTE,e7Zw0RBCl6,SHP 
[65848] BUY,e7Zw0RBCl6,IQJ,25.39 
[65851] SET_BUY_TRIGGER,e7Zw0RBCl6,ZDB,20.67 
[65865] SET_SELL_TRIGGER,e7Zw0RBCl6,AUX,87.64 
[66024] BUY,e7Zw0RBCl6,FQG,447.40 
[66129] CANCEL_BUY,e7Zw0RBCl6 
[66134] ADD,e7Zw0RBCl6,101252.88 
[66360] BUY,e7Zw0RBCl6,CLP,710.64 
[66483] SET_BUY_TRIGGER,e7Zw0RBCl6,FWW,135.52 
[66494] ADD,e7Zw0RBCl6,64359.23 
[66595] COMMIT_BUY,e7Zw0RBCl6 
[66616] DISPLAY_SUMMARY,e7Zw0RBCl6 
[66623] DISPLAY_SUMMARY,e7Zw0RBCl6 
[66655] QUOTE,e7Zw0RBCl6,UFX 
[66933] QUOTE,e7Zw0RBCl6,OAV 
[67042] ADD,e7Zw0RBCl6,83934.08 
[67047] CANCEL_SET_SELL,e7Zw0RBCl6,SHP 
[67078] SET_SELL_AMOUNT,e7Zw0RBCl6,JCQ,292.01 
[67093] SET_SELL_TRIGGER,e7Zw0RBCl6,JCQ,229.55 
[67100] SET_SELL_AMOUNT,e7Zw0RBCl6,SUS,409.87 
[67137] SET_SELL_TRIGGER,e7Zw0RBCl6,SUS,44.84 
[67216] SET_BUY_AMOUNT,e7Zw0RBCl6,ZTI,471.79 
[67285] CANCEL_SET_BUY,e7Zw0RBCl6,YUL 
[67378] SET_SELL_AMOUNT,e7Zw0RBCl6,ZYR,607.01 
[67512] SET_SELL_TRIGGER,e7Zw0RBCl6,ZYR,250.05 
[67587] BUY,e7Zw0RBCl6,WKD,671.86 
[67642] COMMIT_BUY,e7Zw0RBCl6 
[67744] BUY,e7Zw0RBCl6,DWC,122.53 
[67765] COMMIT_BUY,e7Zw0RBCl6 
[67830] QUOTE,e7Zw0RBCl6,DKV 
[67838] BUY,e7Zw0RBCl6,GCL,669.81 
[67892] COMMIT_BUY,e7Zw0RBCl6 
[67968] COMMIT_SELL,e7Zw0RBCl6 
[68253] DISPLAY_SUMMARY,e7Zw0RBCl6 
[68541] DISPLAY_SUMMARY,e7Zw0RBCl6 
[68660] SET_BUY_TRIGGER,e7Zw0RBCl6,MMF,173.13 
[68984] SET_SELL_AMOUNT,e7Zw0RBCl6,BCQ,511.24 
[69024] SET_SELL_TRIGGER,e7Zw0RBCl6,BCQ,422.33 
[69044] BUY,e7Zw0RBCl6,CUZ,606.09 
[69237] SET_SELL_AMOUNT,e7Zw0RBCl6,EBS,702.29 
[69309] SET_SELL_TRIGGER,e7Zw0RBCl6,EBS,79.68 
[69372] SET_SELL_TRIGGER,e7Zw0RBCl6,RQT,89.86 
[69427] DISPLAY_SUMMARY,e7Zw0RBCl6 
[69587] CANCEL_SET_SELL,e7Zw0RBCl6,YEH 
[69790] BUY,e7Zw0RBCl6,QXE,473.99 
[69814] CANCEL_BUY,e7Zw0RBCl6 
[69901] QUOTE,e7Zw0RBCl6,HWO 
[70322] SET_BUY_TRIGGER,e7Zw0RBCl6,JDO,24.01 
[70427] ADD,e7Zw0RBCl6,66814.98 
[70633] BUY,e7Zw0RBCl6,ZCO,198.65 
[70657] CANCEL_BUY,e7Zw0RBCl6 
[70808] SET_BUY_TRIGGER,e7Zw0RBCl6,VOY,24.35 
[71029] SET_SELL_AMOUNT,e7Zw0RBCl6,ZTI,553.38 
[71032] SET_SELL_TRIGGER,e7Zw0RBCl6,ZTI,213.69 
[71154] SET_BUY_TRIGGER,e7Zw0RBCl6,UCG,27.84 
[71286] DISPLAY_SUMMARY,e7Zw0RBCl6 
[71322] ADD,e7Zw0RBCl6,50374.14 
[71336] QUOTE,e7Zw0RBCl6,SKW 
[71355] QUOTE,e7Zw0RBCl6,VEN 
[71491] SET_BUY_AMOUNT,e7Zw0RBCl6,UTV,678.66 
[71529] SET_BUY_TRIGGER,e7Zw0RBCl6,SDW,207.39 
[71649] ADD,e7Zw0RBCl6,61103.99 
[71819] BUY,e7Zw0RBCl6,SJG,160.06 
[72056] COMMIT_BUY,e7Zw0RBCl6 
[72057] QUOTE,e7Zw0RBCl6,ECI 
[72112] QUOTE,e7Zw0RBCl6,SKW 
[72122] BUY,e7Zw0RBCl6,TWJ,529.51 
[72198] CANCEL_SELL,e7Zw0RBCl6 
[72285] SELL,e7Zw0RBCl6,ZYR,40.23 
[72289] COMMIT_SELL,e7Zw0RBCl6 
[72326] SET_BUY_AMOUNT,e7Zw0RBCl6,BCQ,138.75 
[72712] DISPLAY_SUMMARY,e7Zw0RBCl6 
[72777] BUY,e7Zw0RBCl6,PZE,216.04 
[72793] QUOTE,e7Zw0RBCl6,XOM 
[72818] BUY,e7Zw0RBCl6,ZWZ,630.09 
[72851] QUOTE,e7Zw0RBCl6,ECI 
[72911] BUY,e7Zw0RBCl6,LRS,732.59 
[72955] COMMIT_BUY,e7Zw0RBCl6 
[73033] DISPLAY_SUMMARY,e7Zw0RBCl6 
[73055] ADD,e7Zw0RBCl6,47444.82 
[73154] QUOTE,e7Zw0RBCl6,QJC 
[73205] CANCEL_SET_SELL,e7Zw0RBCl6,CTT 
[73298] ADD,e7Zw0RBCl6,60711.09 
[73348] QUOTE,e7Zw0RBCl6,PFN 
[73520] QUOTE,e7Zw0RBCl6,XYV 
[73676] SET_SELL_AMOUNT,e7Zw0RBCl6,XQC,510.18 
[73835] SET_SELL_TRIGGER,e7Zw0RBCl6,XQC,121.36 
[73880] SET_BUY_TRIGGER,e7Zw0RBCl6,KLY,33.68 
[73911] DISPLAY_SUMMARY,e7Zw0RBCl6 
[73964] SELL,e7Zw0RBCl6,UBJ,214.24 
[73990] COMMIT_SELL,e7Zw0RBCl6 
[74081] BUY,e7Zw0RBCl6,JCL,140.70 
[74130] COMMIT_BUY,e7Zw0RBCl6 
[74268] SET_SELL_AMOUNT,e7Zw0RBCl6,PTP,306.75 
[74282] QUOTE,e7Zw0RBCl6,JCL 
[74299] QUOTE,e7Zw0RBCl6,FRB 
[74462] SET_SELL_AMOUNT,e7Zw0RBCl6,PTP,505.12 
[74481] BUY,e7Zw0RBCl6,EOS,168.66 
[74647] COMMIT_BUY,e7Zw0RBCl6 
[74683] CANCEL_SET_SELL,e7Zw0RBCl6,PTP 
[74752] ADD,e7Zw0RBCl6,69724.56 
[74792] BUY,e7Zw0RBCl6,FCH,453.24 
[74834] DISPLAY_SUMMARY,e7Zw0RBCl6 
[74908] SET_SELL_AMOUNT,e7Zw0RBCl6,FDI,56.63 
[75002] SET_SELL_TRIGGER,e7Zw0RBCl6,FDI,33.16 
[75342] BUY,e7Zw0RBCl6,KDG,333.65 
[75344] QUOTE,e7Zw0RBCl6,OEM 
[75388] BUY,e7Zw0RBCl6,KCT,367.27 
[75436] SELL,e7Zw0RBCl6,BYA,593.25 
[75442] CANCEL_SET_BUY,e7Zw0RBCl6,QWC 
[75502] ADD,e7Zw0RBCl6,50536.33 
[75627] BUY,e7Zw0RBCl6,RRZ,269.04 
[75650] COMMIT_BUY,e7Zw0RBCl6 
[75677] DISPLAY_SUMMARY,e7Zw0RBCl6 
[75710] ADD,e7Zw0RBCl6,91877.21 
[75763] BUY,e7Zw0RBCl6,MOS,76.56 
[75888] CANCEL_SET_SELL,e7Zw0RBCl6,YJK 
[75976] ADD,e7Zw0RBCl6,64343.48 
[76033] SET_SELL_AMOUNT,e7Zw0RBCl6,AVX,109.63 
[76119] DISPLAY_SUMMARY,e7Zw0RBCl6 
[76163] ADD,e7Zw0RBCl6,88798.57 
[76193] QUOTE,e7Zw0RBCl6,CLH 
[76199] SELL,e7Zw0RBCl6,BCQ,357.01 
[76245] CANCEL_SET_BUY,e7Zw0RBCl6,XZO 
[76271] ADD,e7Zw0RBCl6,75884.11 
[76480] COMMIT_SELL,e7Zw0RBCl6 
[76511] SET_SELL_AMOUNT,e7Zw0RBCl6,EBS,618.67 
[76520] SET_SELL_TRIGGER,e7Zw0RBCl6,EBS,165.32 
[77207] DISPLAY_SUMMARY,e7Zw0RBCl6 
[77278] SET_BUY_AMOUNT,e7Zw0RBCl6,JVT,94.92 
[77302] QUOTE,e7Zw0RBCl6,XNZ 
[77392] DISPLAY_SUMMARY,e7Zw0RBCl6 
[77431] CANCEL_SELL,e7Zw0RBCl6 
[77444] SET_BUY_AMOUNT,e7Zw0RBCl6,MFX,240.90 
[77531] SET_BUY_TRIGGER,e7Zw0RBCl6,DWF,13.29 
[77539] CANCEL_BUY,e7Zw0RBCl6 
[77852] ADD,e7Zw0RBCl6,73891.94 
[77869] QUOTE,e7Zw0RBCl6,JFF 
[78020] ADD,e7Zw0RBCl6,45536.10 
[78056] CANCEL_SELL,e7Zw0RBCl6 
[78194] ADD,e7Zw0RBCl6,71275.54 
[78294] SET_SELL_AMOUNT,e7Zw0RBCl6,MFX,627.11 
[78350] SET_SELL_TRIGGER,e7Zw0RBCl6,MFX,141.16 
[78352] SET_SELL_AMOUNT,e7Zw0RBCl6,JQO,382.02 
[78708] SET_SELL_TRIGGER,e7Zw0RBCl6,JQO,133.31 
[78717] SELL,e7Zw0RBCl6,OPN,633.24 
[78814] CANCEL_SET_SELL,e7Zw0RBCl6,ZSV 
[78874] QUOTE,e7Zw0RBCl6,IIX 
[78998] BUY,e7Zw0RBCl6,DWX,378.31 
[79288] CANCEL_SELL,e7Zw0RBCl6 
[79292] SET_SELL_AMOUNT,e7Zw0RBCl6,CSZ,552.88 
[79298] CANCEL_SET_SELL,e7Zw0RBCl6,CSZ 
[79322] DISPLAY_SUMMARY,e7Zw0RBCl6 
[79364] SET_BUY_TRIGGER,e7Zw0RBCl6,SCW,148.64 
[79388] CANCEL_SET_BUY,e7Zw0RBCl6,KAF 
[79739] ADD,e7Zw0RBCl6,83805.90 
[79809] CANCEL_SELL,e7Zw0RBCl6 
[80130] SET_SELL_TRIGGER,e7Zw0RBCl6,ETJ,12.99 
[80148] SET_BUY_TRIGGER,e7Zw0RBCl6,SKC,194.12 
[80160] QUOTE,e7Zw0RBCl6,NJT 
[80168] SELL,e7Zw0RBCl6,QGE,97.62 
[80234] BUY,e7Zw0RBCl6,CLH,591.25 
[80317] SET_BUY_AMOUNT,e7Zw0RBCl6,YDS,707.50 
[80460] SET_BUY_TRIGGER,e7Zw0RBCl6,STO,7.95 
[80581] SET_BUY_AMOUNT,e7Zw0RBCl6,RNK,182.93 
[80585] SET_BUY_TRIGGER,e7Zw0RBCl6,JEA,103.39 
[80727] SET_SELL_TRIGGER,e7Zw0RBCl6,GTB,169.63 
[80830] ADD,e7Zw0RBCl6,54322.64 
[80969] BUY,e7Zw0RBCl6,YBP,670.66 
[81138] CANCEL_SELL,e7Zw0RBCl6 
[81174] SET_SELL_TRIGGER,e7Zw0RBCl6,ZFV,161.96 
[81258] CANCEL_BUY,e7Zw0RBCl6 
[81588] ADD,e7Zw0RBCl6,74616.20 
[81891] BUY,e7Zw0RBCl6,MLI,662.74 
[81931] COMMIT_BUY,e7Zw0RBCl6 
[81977] QUOTE,e7Zw0RBCl6,HFI 
[82264] SET_SELL_AMOUNT,e7Zw0RBCl6,RUN,448.30 
[82364] SET_SELL_TRIGGER,e7Zw0RBCl6,RUN,240.66 
[82384] ADD,e7Zw0RBCl6,73526.88 
[82461] BUY,e7Zw0RBCl6,MIU,121.42 
[82526] COMMIT_BUY,e7Zw0RBCl6 
[82651] SET_BUY_TRIGGER,e7Zw0RBCl6,KZC,159.54 
[82738] ADD,e7Zw0RBCl6,60890.55 
[82884] QUOTE,e7Zw0RBCl6,UTD 
[82937] SET_BUY_TRIGGER,e7Zw0RBCl6,BYM,89.90 
[83000] ADD,e7Zw0RBCl6,96692.55 
[83046] BUY,e7Zw0RBCl6,OIY,67.24 
[83051] ADD,e7Zw0RBCl6,59038.30 
[83142] BUY,e7Zw0RBCl6,SQI,491.79 
[83189] SET_SELL_AMOUNT,e7Zw0RBCl6,OPN,238.92 
[83289] SET_SELL_TRIGGER,e7Zw0RBCl6,OPN,237.71 
[83390] SET_BUY_TRIGGER,e7Zw0RBCl6,ZAV,63.69 
[83422] ADD,e7Zw0RBCl6,86455.29 
[83482] QUOTE,e7Zw0RBCl6,YTO 
[83788] CANCEL_SET_BUY,e7Zw0RBCl6,JEA 
[83881] ADD,e7Zw0RBCl6,79340.75 
[83884] QUOTE,e7Zw0RBCl6,DWF 
[84024] BUY,e7Zw0RBCl6,GWS,484.81 
[84113] COMMIT_BUY,e7Zw0RBCl6 
[84162] ADD,e7Zw0RBCl6,70075.94 
[84164] BUY,e7Zw0RBCl6,PIC,439.35 
[84307] QUOTE,e7Zw0RBCl6,XFW 
[84328] BUY,e7Zw0RBCl6,ZAM,156.46 
[84357] COMMIT_BUY,e7Zw0RBCl6 
[84371] DISPLAY_SUMMARY,e7Zw0RBCl6 
[84385] BUY,e7Zw0RBCl6,KBN,288.75 
[84517] COMMIT_BUY,e7Zw0RBCl6 
[84602] BUY,e7Zw0RBCl6,HWO,629.84 
[84673] COMMIT_BUY,e7Zw0RBCl6 
[84864] SELL,e7Zw0RBCl6,OEY,297.19 
[85033] CANCEL_SELL,e7Zw0RBCl6 
[85065] ADD,e7Zw0RBCl6,67899.04 
[85195] BUY,e7Zw0RBCl6,ALM,115.71 
[85291] COMMIT_BUY,e7Zw0RBCl6 
[85316] ADD,e7Zw0RBCl6,72570.84 
[85612] BUY,e7Zw0RBCl6,MMF,466.03 
[85693] COMMIT_BUY,e7Zw0RBCl6 
[85887] ADD,e7Zw0RBCl6,69520.54 
[85974] BUY,e7Zw0RBCl6,IGI,358.82 
[86080] QUOTE,e7Zw0RBCl6,EUC 
[86181] BUY,e7Zw0RBCl6,KPU,24.80 
[86245] COMMIT_BUY,e7Zw0RBCl6 
[86533] BUY,e7Zw0RBCl6,APY,48.80 
[86591] COMMIT_BUY,e7Zw0RBCl6 
[86658] SET_BUY_AMOUNT,e7Zw0RBCl6,QVK,546.54 
[86811] SET_BUY_TRIGGER,e7Zw0RBCl6,MWJ,277.04 
[86819] SET_SELL_AMOUNT,e7Zw0RBCl6,VTY,483.08 
[86872] SET_SELL_TRIGGER,e7Zw0RBCl6,VTY,177.66 
[86954] SELL,e7Zw0RBCl6,VTY,409.57 
[87152] BUY,e7Zw0RBCl6,FIY,582.17 
[87388] CANCEL_SELL,e7Zw0RBCl6 
[87442] QUOTE,e7Zw0RBCl6,XYV 
[87453] BUY,e7Zw0RBCl6,YZH,478.04 
[87489] COMMIT_BUY,e7Zw0RBCl6 
[87549] ADD,e7Zw0RBCl6,58072.57 
[87896] BUY,e7Zw0RBCl6,PXF,540.91 
[87960] COMMIT_BUY,e7Zw0RBCl6 
[87979] ADD,e7Zw0RBCl6,70311.27 
[88009] DISPLAY_SUMMARY,e7Zw0RBCl6 
[88431] ADD,e7Zw0RBCl6,78483.76 
[88450] BUY,e7Zw0RBCl6,ATW,49.51 
[88484] COMMIT_BUY,e7Zw0RBCl6 
[88591] ADD,e7Zw0RBCl6,67522.06 
[88628] QUOTE,e7Zw0RBCl6,NBX 
[88804] BUY,e7Zw0RBCl6,FTP,216.27 
[88908] COMMIT_BUY,e7Zw0RBCl6 
[89029] BUY,e7Zw0RBCl6,PST,191.88 
[89102] COMMIT_BUY,e7Zw0RBCl6 
[89103] SELL,e7Zw0RBCl6,OEY,720.32 
[89162] COMMIT_SELL,e7Zw0RBCl6 
[89272] ADD,e7Zw0RBCl6,68180.82 
[89347] BUY,e7Zw0RBCl6,FOV,611.78 
