[87] ADD,AwEXQhdKGW,84874.28 
[45677] BUY,AwEXQhdKGW,YUL,106.12 
[45894] SET_BUY_TRIGGER,AwEXQhdKGW,XOP,172.33 
[45903] DISPLAY_SUMMARY,AwEXQhdKGW 
[45928] SELL,AwEXQhdKGW,SSF,205.67 
[45963] COMMIT_SELL,AwEXQhdKGW 
[46017] SET_SELL_TRIGGER,AwEXQhdKGW,NKC,143.03 
[46115] SET_SELL_AMOUNT,AwEXQhdKGW,KES,675.05 
[46135] SET_SELL_TRIGGER,AwEXQhdKGW,KES,669.53 
[46183] SET_BUY_AMOUNT,AwEXQhdKGW,RGH,722.44 
[46591] SELL,AwEXQhdKGW,LFU,508.96 
[46644] COMMIT_SELL,AwEXQhdKGW 
[46646] SET_BUY_AMOUNT,AwEXQhdKGW,FQP,614.56 
[46649] SET_BUY_TRIGGER,AwEXQhdKGW,NDJ,444.00 
[46774] COMMIT_SELL,AwEXQhdKGW 
[46867] QUOTE,AwEXQhdKGW,EDW 
[46881] COMMIT_SELL,AwEXQhdKGW 
[46981] DISPLAY_SUMMARY,AwEXQhdKGW 
[47198] SET_BUY_AMOUNT,AwEXQhdKGW,KES,307.96 
[47299] SET_BUY_TRIGGER,AwEXQhdKGW,JTX,193.68 
[47509] SET_SELL_AMOUNT,AwEXQhdKGW,RNK,705.36 
[47805] SET_SELL_TRIGGER,AwEXQhdKGW,RNK,112.23 
[47941] ADD,AwEXQhdKGW,108810.99 
[48050] BUY,AwEXQhdKGW,RFC,523.17 
[48081] COMMIT_BUY,AwEXQhdKGW 
[48150] DISPLAY_SUMMARY,AwEXQhdKGW 
[48178] SET_SELL_AMOUNT,AwEXQhdKGW,KES,390.39 
[48572] SET_SELL_TRIGGER,AwEXQhdKGW,KES,367.56 
[48587] DISPLAY_SUMMARY,AwEXQhdKGW 
[48674] ADD,AwEXQhdKGW,61023.88 
[48708] BUY,AwEXQhdKGW,BEC,708.48 
[48918] COMMIT_BUY,AwEXQhdKGW 
[49230] SET_SELL_TRIGGER,AwEXQhdKGW,WQE,161.32 
[49375] QUOTE,AwEXQhdKGW,NJB 
[49700] QUOTE,AwEXQhdKGW,RGH 
[50067] BUY,AwEXQhdKGW,CUZ,161.52 
[50092] COMMIT_BUY,AwEXQhdKGW 
[50119] SET_BUY_AMOUNT,AwEXQhdKGW,KDA,334.71 
[50290] DISPLAY_SUMMARY,AwEXQhdKGW 
[50300] SET_BUY_TRIGGER,AwEXQhdKGW,IHA,135.88 
[50458] ADD,AwEXQhdKGW,50622.03 
[50531] BUY,AwEXQhdKGW,SNU,273.97 
[50532] COMMIT_BUY,AwEXQhdKGW 
[50561] COMMIT_SELL,AwEXQhdKGW 
[50696] SET_SELL_AMOUNT,AwEXQhdKGW,SSF,327.48 
[50727] SET_SELL_TRIGGER,AwEXQhdKGW,SSF,202.26 
[50751] SET_SELL_TRIGGER,AwEXQhdKGW,YIU,172.87 
[50888] DISPLAY_SUMMARY,AwEXQhdKGW 
[51034] SET_BUY_TRIGGER,AwEXQhdKGW,FYR,2.80 
[51177] SET_BUY_AMOUNT,AwEXQhdKGW,UTV,715.10 
[51213] CANCEL_SET_BUY,AwEXQhdKGW,WSR 
[51285] QUOTE,AwEXQhdKGW,DFE 
[51373] COMMIT_BUY,AwEXQhdKGW 
[51496] SET_SELL_TRIGGER,AwEXQhdKGW,FDI,93.37 
[51761] QUOTE,AwEXQhdKGW,UZZ 
[51774] BUY,AwEXQhdKGW,MHQ,517.97 
[52005] COMMIT_BUY,AwEXQhdKGW 
[52022] SET_BUY_TRIGGER,AwEXQhdKGW,EDV,67.94 
[52106] DISPLAY_SUMMARY,AwEXQhdKGW 
[52293] SET_SELL_TRIGGER,AwEXQhdKGW,XAB,126.46 
[52498] SET_BUY_AMOUNT,AwEXQhdKGW,GRM,353.49 
[52735] SET_BUY_TRIGGER,AwEXQhdKGW,OEX,92.90 
[52739] BUY,AwEXQhdKGW,LSW,649.29 
[52760] DISPLAY_SUMMARY,AwEXQhdKGW 
[52785] ADD,AwEXQhdKGW,68550.35 
[52824] BUY,AwEXQhdKGW,RXO,156.72 
[52840] CANCEL_SET_BUY,AwEXQhdKGW,PFN 
[52913] SELL,AwEXQhdKGW,DFE,498.96 
[52964] QUOTE,AwEXQhdKGW,JZJ 
[53041] BUY,AwEXQhdKGW,UZZ,29.97 
[53193] COMMIT_BUY,AwEXQhdKGW 
[53251] QUOTE,AwEXQhdKGW,QNK 
[53273] SET_BUY_AMOUNT,AwEXQhdKGW,OEY,390.63 
[53292] SET_BUY_TRIGGER,AwEXQhdKGW,TAR,88.79 
[53353] QUOTE,AwEXQhdKGW,URY 
[53364] BUY,AwEXQhdKGW,GHE,663.22 
[53748] CANCEL_BUY,AwEXQhdKGW 
[53803] BUY,AwEXQhdKGW,IFU,321.73 
[54011] COMMIT_BUY,AwEXQhdKGW 
[54027] SELL,AwEXQhdKGW,SSF,337.34 
[54036] DISPLAY_SUMMARY,AwEXQhdKGW 
[54123] SET_SELL_TRIGGER,AwEXQhdKGW,BOS,66.11 
[54150] ADD,AwEXQhdKGW,74224.04 
[54264] QUOTE,AwEXQhdKGW,GYT 
[54419] ADD,AwEXQhdKGW,61330.31 
[54507] BUY,AwEXQhdKGW,RJG,40.66 
[54827] COMMIT_BUY,AwEXQhdKGW 
[54854] ADD,AwEXQhdKGW,82602.36 
[54961] QUOTE,AwEXQhdKGW,LAW 
[54972] QUOTE,AwEXQhdKGW,MKE 
[55481] ADD,AwEXQhdKGW,59271.12 
[55492] QUOTE,AwEXQhdKGW,RKY 
[55536] QUOTE,AwEXQhdKGW,LKK 
[55743] BUY,AwEXQhdKGW,IHA,370.95 
[55844] COMMIT_BUY,AwEXQhdKGW 
[55924] SELL,AwEXQhdKGW,JQO,415.31 
[56013] COMMIT_SELL,AwEXQhdKGW 
[56018] QUOTE,AwEXQhdKGW,RDN 
[56037] QUOTE,AwEXQhdKGW,NTT 
[56114] DISPLAY_SUMMARY,AwEXQhdKGW 
[56204] BUY,AwEXQhdKGW,ZYR,583.21 
[56255] COMMIT_BUY,AwEXQhdKGW 
[56354] DISPLAY_SUMMARY,AwEXQhdKGW 
[56429] DISPLAY_SUMMARY,AwEXQhdKGW 
[56449] SET_SELL_TRIGGER,AwEXQhdKGW,HEJ,58.10 
[56462] SELL,AwEXQhdKGW,BCQ,579.20 
[56547] COMMIT_SELL,AwEXQhdKGW 
[56697] QUOTE,AwEXQhdKGW,JHY 
[56710] QUOTE,AwEXQhdKGW,BEG 
[56800] BUY,AwEXQhdKGW,TYV,92.16 
[56956] COMMIT_BUY,AwEXQhdKGW 
[56970] ADD,AwEXQhdKGW,85010.87 
[57021] QUOTE,AwEXQhdKGW,YNH 
[57034] CANCEL_SET_SELL,AwEXQhdKGW,LQN 
[57066] ADD,AwEXQhdKGW,87496.77 
[57180] QUOTE,AwEXQhdKGW,AJL 
[57242] BUY,AwEXQhdKGW,JXW,206.39 
[57307] DISPLAY_SUMMARY,AwEXQhdKGW 
[57446] ADD,AwEXQhdKGW,64130.58 
[57614] BUY,AwEXQhdKGW,GNY,109.91 
[57712] CANCEL_BUY,AwEXQhdKGW 
[57719] DISPLAY_SUMMARY,AwEXQhdKGW 
[57751] ADD,AwEXQhdKGW,82136.78 
[57902] BUY,AwEXQhdKGW,LVT,306.36 
[58309] SET_SELL_TRIGGER,AwEXQhdKGW,CUQ,50.84 
[58372] SET_BUY_AMOUNT,AwEXQhdKGW,OEY,142.88 
[58427] DISPLAY_SUMMARY,AwEXQhdKGW 
[58517] SET_BUY_TRIGGER,AwEXQhdKGW,FYR,104.13 
[58626] DISPLAY_SUMMARY,AwEXQhdKGW 
[58658] DISPLAY_SUMMARY,AwEXQhdKGW 
[58682] SET_SELL_AMOUNT,AwEXQhdKGW,NHG,634.09 
[59101] SET_SELL_TRIGGER,AwEXQhdKGW,NHG,6.71 
[59105] DISPLAY_SUMMARY,AwEXQhdKGW 
[59263] DISPLAY_SUMMARY,AwEXQhdKGW 
[59326] BUY,AwEXQhdKGW,KCS,399.82 
[59359] COMMIT_BUY,AwEXQhdKGW 
[59544] SET_BUY_AMOUNT,AwEXQhdKGW,VTY,702.73 
[59615] CANCEL_SET_BUY,AwEXQhdKGW,WNH 
[59761] QUOTE,AwEXQhdKGW,ZRJ 
[59827] SET_BUY_AMOUNT,AwEXQhdKGW,RUN,673.43 
[59842] SET_BUY_TRIGGER,AwEXQhdKGW,CVV,71.91 
[59910] SET_SELL_AMOUNT,AwEXQhdKGW,QGE,12.19 
[60007] SET_SELL_TRIGGER,AwEXQhdKGW,QGE,7.25 
[60127] QUOTE,AwEXQhdKGW,UXP 
[60178] SET_SELL_AMOUNT,AwEXQhdKGW,PTP,256.92 
[60259] QUOTE,AwEXQhdKGW,QAX 
[60323] BUY,AwEXQhdKGW,UXP,702.81 
[60353] COMMIT_BUY,AwEXQhdKGW 
[60416] SET_SELL_TRIGGER,AwEXQhdKGW,PTP,41.11 
[60431] SET_BUY_AMOUNT,AwEXQhdKGW,OEY,530.19 
[60594] SET_BUY_TRIGGER,AwEXQhdKGW,AQO,343.54 
[60701] SET_BUY_AMOUNT,AwEXQhdKGW,CUZ,221.16 
[60875] SET_BUY_TRIGGER,AwEXQhdKGW,LTB,205.43 
[60903] SET_BUY_TRIGGER,AwEXQhdKGW,GCW,199.58 
[60906] SET_SELL_AMOUNT,AwEXQhdKGW,RUN,145.28 
[60965] SET_SELL_TRIGGER,AwEXQhdKGW,RUN,95.46 
[61031] SET_BUY_AMOUNT,AwEXQhdKGW,CEC,441.68 
[61337] SET_BUY_TRIGGER,AwEXQhdKGW,ZRH,265.45 
[61430] SET_SELL_TRIGGER,AwEXQhdKGW,XVK,159.47 
[61443] COMMIT_SELL,AwEXQhdKGW 
[61511] QUOTE,AwEXQhdKGW,VGW 
[61547] SET_SELL_TRIGGER,AwEXQhdKGW,RQL,126.97 
[61558] ADD,AwEXQhdKGW,87534.32 
[61583] QUOTE,AwEXQhdKGW,UZZ 
[61808] CANCEL_SET_BUY,AwEXQhdKGW,YDD 
[61869] ADD,AwEXQhdKGW,61923.10 
[61891] QUOTE,AwEXQhdKGW,IPH 
[62023] BUY,AwEXQhdKGW,GXT,93.25 
[62114] CANCEL_SELL,AwEXQhdKGW 
[62393] ADD,AwEXQhdKGW,75719.50 
[62569] BUY,AwEXQhdKGW,VMT,228.63 
[62670] SELL,AwEXQhdKGW,OEY,316.65 
[62746] COMMIT_SELL,AwEXQhdKGW 
[62959] ADD,AwEXQhdKGW,55855.80 
[63323] QUOTE,AwEXQhdKGW,MMY 
[63344] DISPLAY_SUMMARY,AwEXQhdKGW 
[63345] ADD,AwEXQhdKGW,77016.86 
[63691] QUOTE,AwEXQhdKGW,LZV 
[63727] SET_BUY_TRIGGER,AwEXQhdKGW,OOR,0.15 
[63891] ADD,AwEXQhdKGW,64484.55 
[63992] COMMIT_SELL,AwEXQhdKGW 
[64124] CANCEL_SET_SELL,AwEXQhdKGW,VNF 
[64263] DISPLAY_SUMMARY,AwEXQhdKGW 
[64340] ADD,AwEXQhdKGW,66434.37 
[64400] QUOTE,AwEXQhdKGW,ZCQ 
[64451] CANCEL_SET_SELL,AwEXQhdKGW,KBP 
[64560] BUY,AwEXQhdKGW,GDO,125.17 
[64590] COMMIT_BUY,AwEXQhdKGW 
[64703] SELL,AwEXQhdKGW,OZO,443.74 
[64850] SELL,AwEXQhdKGW,CSZ,203.24 
[65139] COMMIT_SELL,AwEXQhdKGW 
[65148] ADD,AwEXQhdKGW,62357.19 
[65347] BUY,AwEXQhdKGW,BPE,363.52 
[65385] COMMIT_BUY,AwEXQhdKGW 
[65460] BUY,AwEXQhdKGW,HNO,145.69 
[65595] COMMIT_BUY,AwEXQhdKGW 
[65630] SET_SELL_TRIGGER,AwEXQhdKGW,FMJ,110.69 
[65876] SET_BUY_TRIGGER,AwEXQhdKGW,YOG,135.93 
[66008] ADD,AwEXQhdKGW,64224.07 
[66063] QUOTE,AwEXQhdKGW,QGE 
[66196] SET_BUY_TRIGGER,AwEXQhdKGW,GJR,79.60 
[66235] DISPLAY_SUMMARY,AwEXQhdKGW 
[66269] SET_BUY_TRIGGER,AwEXQhdKGW,ISQ,39.18 
[66615] ADD,AwEXQhdKGW,79133.24 
[66963] CANCEL_SELL,AwEXQhdKGW 
[67015] ADD,AwEXQhdKGW,69878.02 
[67145] BUY,AwEXQhdKGW,CVP,173.79 
[67513] BUY,AwEXQhdKGW,NIR,564.03 
[67656] COMMIT_BUY,AwEXQhdKGW 
[67677] BUY,AwEXQhdKGW,VJB,422.69 
[68285] BUY,AwEXQhdKGW,PCK,463.19 
[68295] DISPLAY_SUMMARY,AwEXQhdKGW 
[68351] BUY,AwEXQhdKGW,JVE,394.48 
[68359] COMMIT_BUY,AwEXQhdKGW 
[68534] DISPLAY_SUMMARY,AwEXQhdKGW 
[68613] BUY,AwEXQhdKGW,JVE,271.06 
[68928] COMMIT_BUY,AwEXQhdKGW 
[68978] BUY,AwEXQhdKGW,WQC,226.77 
[68979] DISPLAY_SUMMARY,AwEXQhdKGW 
[69053] DISPLAY_SUMMARY,AwEXQhdKGW 
[69057] QUOTE,AwEXQhdKGW,PDX 
[69098] CANCEL_SET_SELL,AwEXQhdKGW,PPY 
[69156] QUOTE,AwEXQhdKGW,SCW 
[69340] DISPLAY_SUMMARY,AwEXQhdKGW 
[69627] QUOTE,AwEXQhdKGW,OZT 
[69749] BUY,AwEXQhdKGW,WNH,662.46 
[69773] COMMIT_BUY,AwEXQhdKGW 
[69816] DISPLAY_SUMMARY,AwEXQhdKGW 
[69824] QUOTE,AwEXQhdKGW,FQG 
[69970] QUOTE,AwEXQhdKGW,WTD 
[69998] QUOTE,AwEXQhdKGW,UHO 
[70048] BUY,AwEXQhdKGW,ONI,284.85 
[70086] COMMIT_BUY,AwEXQhdKGW 
[70170] SET_SELL_TRIGGER,AwEXQhdKGW,RVU,22.82 
[70310] SET_BUY_AMOUNT,AwEXQhdKGW,ZYR,401.54 
[70323] SET_BUY_TRIGGER,AwEXQhdKGW,JKX,306.92 
[70396] QUOTE,AwEXQhdKGW,ISQ 
[70473] SET_SELL_AMOUNT,AwEXQhdKGW,CEC,334.99 
[70572] SET_SELL_TRIGGER,AwEXQhdKGW,CEC,133.34 
[70579] BUY,AwEXQhdKGW,NLT,385.47 
[70817] SET_SELL_TRIGGER,AwEXQhdKGW,IOM,78.97 
[70908] SET_BUY_TRIGGER,AwEXQhdKGW,WSG,91.59 
[70988] BUY,AwEXQhdKGW,YOG,661.23 
[71010] CANCEL_SET_SELL,AwEXQhdKGW,AMI 
[71063] CANCEL_BUY,AwEXQhdKGW 
[71229] DISPLAY_SUMMARY,AwEXQhdKGW 
[71337] SET_SELL_TRIGGER,AwEXQhdKGW,DVU,181.92 
[71438] ADD,AwEXQhdKGW,101027.01 
[71841] QUOTE,AwEXQhdKGW,CTI 
[71935] BUY,AwEXQhdKGW,GGY,90.45 
[72113] CANCEL_SELL,AwEXQhdKGW 
[72182] QUOTE,AwEXQhdKGW,TXB 
[72504] SET_BUY_TRIGGER,AwEXQhdKGW,SYT,199.97 
[72513] BUY,AwEXQhdKGW,ZTR,61.15 
[72672] COMMIT_BUY,AwEXQhdKGW 
[72705] SET_BUY_AMOUNT,AwEXQhdKGW,UIE,251.29 
[72737] SET_BUY_TRIGGER,AwEXQhdKGW,ZMA,184.70 
[72787] SELL,AwEXQhdKGW,RUN,250.73 
[72964] SET_BUY_TRIGGER,AwEXQhdKGW,NTB,103.50 
[73231] SELL,AwEXQhdKGW,ZAN,43.81 
[73238] QUOTE,AwEXQhdKGW,NHB 
[73253] QUOTE,AwEXQhdKGW,KCS 
[73352] DISPLAY_SUMMARY,AwEXQhdKGW 
[73421] SELL,AwEXQhdKGW,KBN,16.06 
[73459] DISPLAY_SUMMARY,AwEXQhdKGW 
[73721] SET_SELL_TRIGGER,AwEXQhdKGW,JGO,129.04 
[73774] DISPLAY_SUMMARY,AwEXQhdKGW 
[73869] DISPLAY_SUMMARY,AwEXQhdKGW 
[73877] DISPLAY_SUMMARY,AwEXQhdKGW 
[74036] SET_BUY_TRIGGER,AwEXQhdKGW,SSW,127.16 
[74057] ADD,AwEXQhdKGW,33124.52 
[74059] SET_BUY_TRIGGER,AwEXQhdKGW,LCP,48.52 
[74173] SET_BUY_TRIGGER,AwEXQhdKGW,GTN,10.02 
[74186] DISPLAY_SUMMARY,AwEXQhdKGW 
[74236] BUY,AwEXQhdKGW,DWX,163.04 
[74240] CANCEL_BUY,AwEXQhdKGW 
[74436] ADD,AwEXQhdKGW,69493.01 
[74464] QUOTE,AwEXQhdKGW,MIU 
[74502] BUY,AwEXQhdKGW,NAW,418.75 
[74827] COMMIT_BUY,AwEXQhdKGW 
[75161] DISPLAY_SUMMARY,AwEXQhdKGW 
[75343] SET_BUY_TRIGGER,AwEXQhdKGW,XVK,183.13 
[75480] ADD,AwEXQhdKGW,51379.13 
[75485] QUOTE,AwEXQhdKGW,QQW 
[75606] BUY,AwEXQhdKGW,QTU,171.46 
[75724] SET_BUY_AMOUNT,AwEXQhdKGW,MFX,712.63 
[75823] SET_BUY_TRIGGER,AwEXQhdKGW,ZZN,447.37 
[76038] SET_BUY_AMOUNT,AwEXQhdKGW,KDA,629.24 
[76188] SET_BUY_TRIGGER,AwEXQhdKGW,ECI,132.73 
[76251] BUY,AwEXQhdKGW,QUT,231.57 
[76301] CANCEL_SET_SELL,AwEXQhdKGW,OAS 
[76358] QUOTE,AwEXQhdKGW,PXS 
[76610] QUOTE,AwEXQhdKGW,PLA 
[76697] CANCEL_SELL,AwEXQhdKGW 
[76823] SELL,AwEXQhdKGW,QGE,49.42 
[77028] CANCEL_SELL,AwEXQhdKGW 
[77738] SET_SELL_TRIGGER,AwEXQhdKGW,HNW,42.70 
[77775] SET_SELL_TRIGGER,AwEXQhdKGW,YVX,15.77 
[77887] DISPLAY_SUMMARY,AwEXQhdKGW 
[77942] DISPLAY_SUMMARY,AwEXQhdKGW 
[78034] ADD,AwEXQhdKGW,89964.14 
[78171] BUY,AwEXQhdKGW,WBL,649.91 
[78173] SELL,AwEXQhdKGW,MXD,240.88 
[78229] COMMIT_SELL,AwEXQhdKGW 
[78241] SET_BUY_AMOUNT,AwEXQhdKGW,BCQ,578.68 
[78245] SET_BUY_TRIGGER,AwEXQhdKGW,YPL,361.47 
[78278] ADD,AwEXQhdKGW,79915.66 
[78387] CANCEL_SET_SELL,AwEXQhdKGW,BXH 
[78485] QUOTE,AwEXQhdKGW,JPD 
[78729] BUY,AwEXQhdKGW,CTI,41.34 
[78730] DISPLAY_SUMMARY,AwEXQhdKGW 
[78933] SELL,AwEXQhdKGW,EBS,265.69 
[78952] COMMIT_SELL,AwEXQhdKGW 
[79110] SET_SELL_AMOUNT,AwEXQhdKGW,KDA,610.84 
[79423] SET_SELL_TRIGGER,AwEXQhdKGW,KDA,96.17 
[79491] ADD,AwEXQhdKGW,61069.42 
[79496] BUY,AwEXQhdKGW,IFN,628.09 
[79541] COMMIT_BUY,AwEXQhdKGW 
[79660] ADD,AwEXQhdKGW,88106.75 
[79674] BUY,AwEXQhdKGW,IRQ,496.85 
[79735] COMMIT_BUY,AwEXQhdKGW 
[79750] CANCEL_BUY,AwEXQhdKGW 
[79883] DISPLAY_SUMMARY,AwEXQhdKGW 
[80086] ADD,AwEXQhdKGW,73921.27 
[80121] BUY,AwEXQhdKGW,DVU,474.73 
[80150] CANCEL_SELL,AwEXQhdKGW 
[80157] BUY,AwEXQhdKGW,YTT,332.85 
[80412] COMMIT_BUY,AwEXQhdKGW 
[81024] QUOTE,AwEXQhdKGW,VWU 
[81102] BUY,AwEXQhdKGW,ESN,312.66 
[81196] COMMIT_SELL,AwEXQhdKGW 
[81271] QUOTE,AwEXQhdKGW,ZOZ 
[81787] BUY,AwEXQhdKGW,KJD,218.34 
[81810] SET_BUY_TRIGGER,AwEXQhdKGW,ZQW,144.42 
[82040] SET_SELL_AMOUNT,AwEXQhdKGW,JVT,714.10 
[82114] CANCEL_SET_SELL,AwEXQhdKGW,JVT 
[82398] SET_BUY_TRIGGER,AwEXQhdKGW,VFH,115.62 
[82580] BUY,AwEXQhdKGW,BPK,585.37 
[82725] COMMIT_SELL,AwEXQhdKGW 
[82832] ADD,AwEXQhdKGW,51688.58 
[82887] QUOTE,AwEXQhdKGW,XOP 
[83076] CANCEL_SET_BUY,AwEXQhdKGW,FOV 
[83156] QUOTE,AwEXQhdKGW,YAZ 
[83199] SET_BUY_AMOUNT,AwEXQhdKGW,NHG,86.84 
[83256] SET_BUY_TRIGGER,AwEXQhdKGW,LVT,52.63 
[83485] ADD,AwEXQhdKGW,54037.36 
[83534] SET_BUY_TRIGGER,AwEXQhdKGW,GRD,141.47 
[83558] ADD,AwEXQhdKGW,54411.69 
[83672] BUY,AwEXQhdKGW,VQA,41.08 
[83731] COMMIT_BUY,AwEXQhdKGW 
[84028] ADD,AwEXQhdKGW,78867.79 
[84062] QUOTE,AwEXQhdKGW,DRO 
[84160] QUOTE,AwEXQhdKGW,YPL 
[84197] SET_SELL_TRIGGER,AwEXQhdKGW,WDC,50.14 
[84220] DISPLAY_SUMMARY,AwEXQhdKGW 
[84235] QUOTE,AwEXQhdKGW,WCY 
[84237] BUY,AwEXQhdKGW,GPC,228.89 
[84245] SET_BUY_TRIGGER,AwEXQhdKGW,PGV,182.70 
[84263] DISPLAY_SUMMARY,AwEXQhdKGW 
[84302] SET_BUY_AMOUNT,AwEXQhdKGW,YJK,701.48 
[84350] SET_BUY_TRIGGER,AwEXQhdKGW,RFI,264.92 
[84619] QUOTE,AwEXQhdKGW,IZU 
[84686] BUY,AwEXQhdKGW,DWX,419.03 
[84756] DISPLAY_SUMMARY,AwEXQhdKGW 
[84822] DISPLAY_SUMMARY,AwEXQhdKGW 
[85030] SET_SELL_AMOUNT,AwEXQhdKGW,MXD,138.79 
[85035] QUOTE,AwEXQhdKGW,URI 
[85129] BUY,AwEXQhdKGW,MQH,267.93 
[85249] SET_SELL_AMOUNT,AwEXQhdKGW,IQJ,376.63 
[85486] SET_SELL_TRIGGER,AwEXQhdKGW,IQJ,89.12 
[86006] QUOTE,AwEXQhdKGW,QOQ 
[86157] BUY,AwEXQhdKGW,FPV,459.11 
[86297] CANCEL_SET_BUY,AwEXQhdKGW,VDP 
[86510] SET_BUY_TRIGGER,AwEXQhdKGW,DJD,118.24 
[86858] CANCEL_SET_SELL,AwEXQhdKGW,QJZ 
[87049] QUOTE,AwEXQhdKGW,PRJ 
[87118] QUOTE,AwEXQhdKGW,NLP 
[87304] SELL,AwEXQhdKGW,YJK,609.72 
[87366] SELL,AwEXQhdKGW,JZJ,437.55 
[87414] SET_BUY_AMOUNT,AwEXQhdKGW,LFU,481.69 
[87533] SET_BUY_TRIGGER,AwEXQhdKGW,NHG,357.40 
[87643] SET_BUY_TRIGGER,AwEXQhdKGW,QXW,175.83 
[87700] ADD,AwEXQhdKGW,68250.92 
[87835] QUOTE,AwEXQhdKGW,HNW 
[87973] QUOTE,AwEXQhdKGW,FUF 
[88049] BUY,AwEXQhdKGW,CXC,681.55 
[88084] CANCEL_SET_SELL,AwEXQhdKGW,UGT 
[88137] SET_SELL_TRIGGER,AwEXQhdKGW,BBD,179.28 
[88168] SELL,AwEXQhdKGW,XQC,560.69 
[88228] CANCEL_SELL,AwEXQhdKGW 
[88236] DISPLAY_SUMMARY,AwEXQhdKGW 
[88242] SET_BUY_TRIGGER,AwEXQhdKGW,ZAM,78.69 
[88359] SELL,AwEXQhdKGW,JCQ,527.63 
[88501] COMMIT_SELL,AwEXQhdKGW 
[88690] ADD,AwEXQhdKGW,97048.38 
[88824] QUOTE,AwEXQhdKGW,RWM 
[88848] SET_BUY_TRIGGER,AwEXQhdKGW,FPV,132.32 
[88863] COMMIT_SELL,AwEXQhdKGW 
[88875] SET_SELL_AMOUNT,AwEXQhdKGW,QGE,463.03 
[88883] SET_SELL_TRIGGER,AwEXQhdKGW,QGE,214.13 
[88916] QUOTE,AwEXQhdKGW,RUN 
[88918] QUOTE,AwEXQhdKGW,KPP 
[88942] BUY,AwEXQhdKGW,MHR,389.78 
[89001] COMMIT_BUY,AwEXQhdKGW 
[89124] ADD,AwEXQhdKGW,44539.29 
[89275] BUY,AwEXQhdKGW,SYE,41.94 
[89486] CANCEL_SET_BUY,AwEXQhdKGW,THH 
[89528] DISPLAY_SUMMARY,AwEXQhdKGW 
[89568] ADD,AwEXQhdKGW,59411.60 
[89687] QUOTE,AwEXQhdKGW,FPV 
[89782] CANCEL_SET_BUY,AwEXQhdKGW,UFX 
[90218] ADD,AwEXQhdKGW,69685.17 
[90236] QUOTE,AwEXQhdKGW,SYN 
[90385] QUOTE,AwEXQhdKGW,XXN 
[90713] QUOTE,AwEXQhdKGW,QZN 
[90750] BUY,AwEXQhdKGW,VMK,687.97 
[90938] COMMIT_BUY,AwEXQhdKGW 
[90994] BUY,AwEXQhdKGW,SSF,736.25 
[91338] COMMIT_BUY,AwEXQhdKGW 
[91444] QUOTE,AwEXQhdKGW,SJH 
[91580] CANCEL_SELL,AwEXQhdKGW 
[91734] CANCEL_SET_SELL,AwEXQhdKGW,MMF 
[91812] QUOTE,AwEXQhdKGW,NGZ 
[91986] ADD,AwEXQhdKGW,61234.25 
[92083] BUY,AwEXQhdKGW,SYT,275.10 
[92209] COMMIT_BUY,AwEXQhdKGW 
[92225] DISPLAY_SUMMARY,AwEXQhdKGW 
[92292] QUOTE,AwEXQhdKGW,ZFK 
[92355] QUOTE,AwEXQhdKGW,WNU 
[92385] SELL,AwEXQhdKGW,JQO,556.38 
[92401] CANCEL_SELL,AwEXQhdKGW 
[92506] SET_SELL_TRIGGER,AwEXQhdKGW,GWS,134.68 
[92811] SELL,AwEXQhdKGW,QJZ,452.58 
[92819] COMMIT_SELL,AwEXQhdKGW 
[92849] DISPLAY_SUMMARY,AwEXQhdKGW 
[92850] SET_SELL_TRIGGER,AwEXQhdKGW,SKY,58.99 
[93050] ADD,AwEXQhdKGW,94315.07 
[93088] QUOTE,AwEXQhdKGW,KEO 
[93259] BUY,AwEXQhdKGW,DDA,54.04 
[93347] COMMIT_BUY,AwEXQhdKGW 
[93498] ADD,AwEXQhdKGW,78366.48 
[93640] QUOTE,AwEXQhdKGW,AOH 
[93736] QUOTE,AwEXQhdKGW,IQZ 
[93890] SET_BUY_TRIGGER,AwEXQhdKGW,LMB,165.67 
[94066] DISPLAY_SUMMARY,AwEXQhdKGW 
[94087] SET_SELL_TRIGGER,AwEXQhdKGW,INB,109.54 
[94195] SET_SELL_TRIGGER,AwEXQhdKGW,FTJ,116.48 
[94260] DISPLAY_SUMMARY,AwEXQhdKGW 
[94631] ADD,AwEXQhdKGW,55332.66 
[94683] DISPLAY_SUMMARY,AwEXQhdKGW 
[94819] SET_SELL_TRIGGER,AwEXQhdKGW,UTV,108.34 
[94828] BUY,AwEXQhdKGW,BRT,635.91 
[94853] SELL,AwEXQhdKGW,ZYR,316.26 
[94926] ADD,AwEXQhdKGW,83844.02 
[94965] SELL,AwEXQhdKGW,AJR,303.48 
[95029] SET_BUY_AMOUNT,AwEXQhdKGW,QGE,628.49 
[95102] CANCEL_SET_BUY,AwEXQhdKGW,LVV 
[95195] SELL,AwEXQhdKGW,ZTI,599.17 
[95267] CANCEL_SELL,AwEXQhdKGW 
[95559] DISPLAY_SUMMARY,AwEXQhdKGW 
[95597] QUOTE,AwEXQhdKGW,EDW 
[95722] ADD,AwEXQhdKGW,53992.27 
[95749] BUY,AwEXQhdKGW,BTP,724.46 
[95761] CANCEL_SELL,AwEXQhdKGW 
[95824] BUY,AwEXQhdKGW,PLA,337.98 
