[64] ADD,YBTGw9v3Cl,92687.90 
[42130] BUY,YBTGw9v3Cl,NJT,482.10 
[42281] CANCEL_SELL,YBTGw9v3Cl 
[42400] SELL,YBTGw9v3Cl,JQO,294.26 
[42429] CANCEL_SELL,YBTGw9v3Cl 
[42501] SET_BUY_AMOUNT,YBTGw9v3Cl,LFU,237.58 
[42567] CANCEL_SET_BUY,YBTGw9v3Cl,IPJ 
[42572] DISPLAY_SUMMARY,YBTGw9v3Cl 
[42581] SET_BUY_TRIGGER,YBTGw9v3Cl,SAJ,56.22 
[42646] SET_BUY_AMOUNT,YBTGw9v3Cl,KDA,541.68 
[42683] SET_BUY_TRIGGER,YBTGw9v3Cl,WTL,537.61 
[42686] ADD,YBTGw9v3Cl,76135.33 
[42694] QUOTE,YBTGw9v3Cl,JOJ 
[42742] QUOTE,YBTGw9v3Cl,JDO 
[42769] QUOTE,YBTGw9v3Cl,VTY 
[42906] BUY,YBTGw9v3Cl,CTS,357.55 
[42990] SET_BUY_TRIGGER,YBTGw9v3Cl,PCK,158.71 
[43052] DISPLAY_SUMMARY,YBTGw9v3Cl 
[43210] ADD,YBTGw9v3Cl,81843.89 
[43455] BUY,YBTGw9v3Cl,HDR,511.24 
[43629] COMMIT_BUY,YBTGw9v3Cl 
[43856] DISPLAY_SUMMARY,YBTGw9v3Cl 
[44166] ADD,YBTGw9v3Cl,80958.97 
[44320] QUOTE,YBTGw9v3Cl,PCR 
[44335] BUY,YBTGw9v3Cl,NGB,665.01 
[44446] COMMIT_BUY,YBTGw9v3Cl 
[44572] ADD,YBTGw9v3Cl,44784.66 
[44625] BUY,YBTGw9v3Cl,UXP,37.26 
[44729] CANCEL_BUY,YBTGw9v3Cl 
[44770] SET_SELL_TRIGGER,YBTGw9v3Cl,IPH,95.20 
[44983] SET_SELL_TRIGGER,YBTGw9v3Cl,FCH,32.73 
[45213] BUY,YBTGw9v3Cl,GGY,194.97 
[45223] COMMIT_BUY,YBTGw9v3Cl 
[45239] SET_BUY_AMOUNT,YBTGw9v3Cl,QAX,341.83 
[45685] SET_BUY_TRIGGER,YBTGw9v3Cl,WTD,313.25 
[45780] DISPLAY_SUMMARY,YBTGw9v3Cl 
[45816] QUOTE,YBTGw9v3Cl,XOM 
[45859] BUY,YBTGw9v3Cl,FOV,600.32 
[45936] SELL,YBTGw9v3Cl,FDI,507.17 
[45986] ADD,YBTGw9v3Cl,65436.04 
[45998] BUY,YBTGw9v3Cl,GTX,144.23 
[46124] SET_BUY_AMOUNT,YBTGw9v3Cl,KDA,738.41 
[46331] CANCEL_SET_BUY,YBTGw9v3Cl,QTU 
[46407] DISPLAY_SUMMARY,YBTGw9v3Cl 
[46463] COMMIT_BUY,YBTGw9v3Cl 
[46659] SELL,YBTGw9v3Cl,KDA,633.30 
[46797] COMMIT_SELL,YBTGw9v3Cl 
[46899] SELL,YBTGw9v3Cl,SUS,275.18 
[46913] COMMIT_SELL,YBTGw9v3Cl 
[47042] ADD,YBTGw9v3Cl,81764.20 
[47142] SET_BUY_TRIGGER,YBTGw9v3Cl,ZNY,83.42 
[47219] ADD,YBTGw9v3Cl,75584.60 
[47265] BUY,YBTGw9v3Cl,FNY,708.78 
[47484] CANCEL_SET_SELL,YBTGw9v3Cl,QZN 
[47732] ADD,YBTGw9v3Cl,42658.06 
[47793] BUY,YBTGw9v3Cl,PVZ,619.04 
[47798] SELL,YBTGw9v3Cl,JRJ,426.95 
[47844] SET_SELL_TRIGGER,YBTGw9v3Cl,IUN,190.37 
[48123] SET_BUY_TRIGGER,YBTGw9v3Cl,SDL,184.79 
[48145] QUOTE,YBTGw9v3Cl,KMZ 
[48146] DISPLAY_SUMMARY,YBTGw9v3Cl 
[48289] SELL,YBTGw9v3Cl,DFE,373.88 
[48313] COMMIT_SELL,YBTGw9v3Cl 
[48384] DISPLAY_SUMMARY,YBTGw9v3Cl 
[48390] SELL,YBTGw9v3Cl,GRM,196.15 
[48426] CANCEL_SET_SELL,YBTGw9v3Cl,URI 
[48488] SET_BUY_TRIGGER,YBTGw9v3Cl,BHJ,75.22 
[48730] SELL,YBTGw9v3Cl,UBJ,149.68 
[48769] SET_SELL_TRIGGER,YBTGw9v3Cl,VGW,179.73 
[48922] SET_BUY_TRIGGER,YBTGw9v3Cl,VWU,128.59 
[48989] SELL,YBTGw9v3Cl,NHG,607.18 
[48994] COMMIT_SELL,YBTGw9v3Cl 
[49002] SET_SELL_TRIGGER,YBTGw9v3Cl,ZFV,9.14 
[49333] ADD,YBTGw9v3Cl,101393.68 
[49412] QUOTE,YBTGw9v3Cl,OEM 
[49432] DISPLAY_SUMMARY,YBTGw9v3Cl 
[49437] ADD,YBTGw9v3Cl,62194.27 
[49703] QUOTE,YBTGw9v3Cl,STT 
[49894] SET_SELL_AMOUNT,YBTGw9v3Cl,LFU,427.77 
[50074] SET_SELL_TRIGGER,YBTGw9v3Cl,LFU,105.53 
[50237] SELL,YBTGw9v3Cl,PTP,685.31 
[50329] DISPLAY_SUMMARY,YBTGw9v3Cl 
[50355] DISPLAY_SUMMARY,YBTGw9v3Cl 
[50374] COMMIT_SELL,YBTGw9v3Cl 
[50471] SET_SELL_TRIGGER,YBTGw9v3Cl,VVV,22.14 
[50550] SET_SELL_AMOUNT,YBTGw9v3Cl,LFU,361.82 
[50649] SET_SELL_TRIGGER,YBTGw9v3Cl,LFU,78.62 
[50761] SET_BUY_AMOUNT,YBTGw9v3Cl,QJZ,707.09 
[50992] SET_BUY_TRIGGER,YBTGw9v3Cl,ZMA,157.38 
[51169] SELL,YBTGw9v3Cl,GYF,170.94 
[51173] COMMIT_SELL,YBTGw9v3Cl 
[51388] SELL,YBTGw9v3Cl,JRJ,598.06 
[51410] SET_SELL_TRIGGER,YBTGw9v3Cl,FUR,65.93 
[51523] QUOTE,YBTGw9v3Cl,DOI 
[51631] BUY,YBTGw9v3Cl,OZO,686.20 
[51895] CANCEL_BUY,YBTGw9v3Cl 
[52080] ADD,YBTGw9v3Cl,65701.33 
[52121] QUOTE,YBTGw9v3Cl,YJK 
[52274] DISPLAY_SUMMARY,YBTGw9v3Cl 
[52329] SELL,YBTGw9v3Cl,UTV,672.87 
[52469] COMMIT_SELL,YBTGw9v3Cl 
[52570] BUY,YBTGw9v3Cl,MFX,447.36 
[52652] COMMIT_BUY,YBTGw9v3Cl 
[52807] QUOTE,YBTGw9v3Cl,EIK 
[52848] ADD,YBTGw9v3Cl,77177.53 
[52872] BUY,YBTGw9v3Cl,VOU,724.27 
[52885] SET_SELL_AMOUNT,YBTGw9v3Cl,JZJ,549.64 
[52976] CANCEL_SET_SELL,YBTGw9v3Cl,JZJ 
[53260] DISPLAY_SUMMARY,YBTGw9v3Cl 
[53298] SET_SELL_AMOUNT,YBTGw9v3Cl,FDI,394.62 
[53446] SET_SELL_TRIGGER,YBTGw9v3Cl,FDI,320.36 
[53628] SET_BUY_TRIGGER,YBTGw9v3Cl,DRP,114.94 
[53667] SELL,YBTGw9v3Cl,PTP,512.98 
[53809] COMMIT_SELL,YBTGw9v3Cl 
[53831] BUY,YBTGw9v3Cl,PBX,671.42 
[53872] CANCEL_BUY,YBTGw9v3Cl 
[53952] SET_SELL_TRIGGER,YBTGw9v3Cl,DED,129.04 
[53965] QUOTE,YBTGw9v3Cl,BTD 
[53971] SET_BUY_AMOUNT,YBTGw9v3Cl,RNK,51.63 
[54004] SET_BUY_TRIGGER,YBTGw9v3Cl,OTD,15.56 
[54060] SET_SELL_TRIGGER,YBTGw9v3Cl,MWM,107.14 
[54159] ADD,YBTGw9v3Cl,62485.85 
[54229] SET_BUY_TRIGGER,YBTGw9v3Cl,KQZ,5.50 
[54377] SET_BUY_TRIGGER,YBTGw9v3Cl,KCS,1.17 
[54885] QUOTE,YBTGw9v3Cl,JUG 
[54992] QUOTE,YBTGw9v3Cl,ZFT 
[55050] SET_BUY_AMOUNT,YBTGw9v3Cl,UTV,287.00 
[55061] SET_BUY_TRIGGER,YBTGw9v3Cl,YMG,278.95 
[55155] SELL,YBTGw9v3Cl,CUZ,567.81 
[55502] COMMIT_SELL,YBTGw9v3Cl 
[55538] QUOTE,YBTGw9v3Cl,BPK 
[55584] QUOTE,YBTGw9v3Cl,LLZ 
[55592] BUY,YBTGw9v3Cl,ZMS,600.87 
[55678] SELL,YBTGw9v3Cl,ZTI,563.22 
[55907] CANCEL_SELL,YBTGw9v3Cl 
[55992] ADD,YBTGw9v3Cl,83380.51 
[56372] BUY,YBTGw9v3Cl,ZOZ,20.40 
[56494] COMMIT_BUY,YBTGw9v3Cl 
[56548] QUOTE,YBTGw9v3Cl,BWL 
[56692] SET_BUY_AMOUNT,YBTGw9v3Cl,FDI,45.80 
[56707] QUOTE,YBTGw9v3Cl,RKY 
[56793] SET_SELL_AMOUNT,YBTGw9v3Cl,UTV,615.26 
[56812] SET_SELL_TRIGGER,YBTGw9v3Cl,UTV,572.25 
[56820] SET_BUY_TRIGGER,YBTGw9v3Cl,NDO,17.18 
[56866] SET_BUY_AMOUNT,YBTGw9v3Cl,JQO,341.57 
[57016] SET_BUY_TRIGGER,YBTGw9v3Cl,ZTR,310.73 
[57107] DISPLAY_SUMMARY,YBTGw9v3Cl 
[57173] ADD,YBTGw9v3Cl,84217.72 
[57438] BUY,YBTGw9v3Cl,SMS,461.31 
[57605] COMMIT_BUY,YBTGw9v3Cl 
[57652] CANCEL_SET_BUY,YBTGw9v3Cl,SEI 
[57681] SET_SELL_TRIGGER,YBTGw9v3Cl,IZU,70.57 
[57983] BUY,YBTGw9v3Cl,JDW,650.27 
[58096] COMMIT_BUY,YBTGw9v3Cl 
[58118] SET_BUY_AMOUNT,YBTGw9v3Cl,QJZ,607.62 
[58145] SET_BUY_TRIGGER,YBTGw9v3Cl,XOL,535.78 
[58280] SET_BUY_AMOUNT,YBTGw9v3Cl,YJK,551.50 
[58326] SET_BUY_TRIGGER,YBTGw9v3Cl,JOJ,538.09 
[58361] DISPLAY_SUMMARY,YBTGw9v3Cl 
[58447] ADD,YBTGw9v3Cl,88904.51 
[58512] QUOTE,YBTGw9v3Cl,LPB 
[58553] SET_BUY_TRIGGER,YBTGw9v3Cl,TVP,159.92 
[58576] SET_SELL_TRIGGER,YBTGw9v3Cl,OSA,83.22 
[58636] DISPLAY_SUMMARY,YBTGw9v3Cl 
[58638] SELL,YBTGw9v3Cl,JRJ,95.41 
[58760] COMMIT_SELL,YBTGw9v3Cl 
[58765] SELL,YBTGw9v3Cl,CSZ,360.55 
[58942] COMMIT_SELL,YBTGw9v3Cl 
[58994] SET_SELL_TRIGGER,YBTGw9v3Cl,BBD,109.41 
[59077] ADD,YBTGw9v3Cl,64856.75 
[59199] QUOTE,YBTGw9v3Cl,NFV 
[59362] SET_SELL_AMOUNT,YBTGw9v3Cl,JVT,483.87 
[59628] SET_SELL_TRIGGER,YBTGw9v3Cl,JVT,245.43 
[59730] BUY,YBTGw9v3Cl,SKW,564.52 
[59933] CANCEL_SET_BUY,YBTGw9v3Cl,KZC 
[60133] SET_SELL_AMOUNT,YBTGw9v3Cl,QAX,537.59 
[60628] SET_SELL_TRIGGER,YBTGw9v3Cl,QAX,271.76 
[60710] BUY,YBTGw9v3Cl,IJO,711.45 
[60755] SET_BUY_TRIGGER,YBTGw9v3Cl,KYX,145.60 
[60848] SET_BUY_AMOUNT,YBTGw9v3Cl,OEY,604.02 
[60944] SET_BUY_TRIGGER,YBTGw9v3Cl,ZJG,459.44 
[60974] SET_BUY_AMOUNT,YBTGw9v3Cl,RUN,400.54 
[61083] SET_BUY_TRIGGER,YBTGw9v3Cl,MDZ,255.97 
[61099] SELL,YBTGw9v3Cl,GRM,237.04 
[61304] COMMIT_SELL,YBTGw9v3Cl 
[61420] QUOTE,YBTGw9v3Cl,MXN 
[62136] COMMIT_SELL,YBTGw9v3Cl 
[62210] SET_BUY_AMOUNT,YBTGw9v3Cl,ZTI,456.37 
[62240] SET_BUY_TRIGGER,YBTGw9v3Cl,XUH,218.50 
[62255] COMMIT_BUY,YBTGw9v3Cl 
[62944] SET_SELL_AMOUNT,YBTGw9v3Cl,BCQ,547.48 
[62955] SET_SELL_TRIGGER,YBTGw9v3Cl,BCQ,332.44 
[63147] SELL,YBTGw9v3Cl,JRJ,445.36 
[63195] QUOTE,YBTGw9v3Cl,OOR 
[63448] SET_BUY_TRIGGER,YBTGw9v3Cl,CTT,9.47 
[63718] SELL,YBTGw9v3Cl,RUN,88.67 
[63848] COMMIT_SELL,YBTGw9v3Cl 
[63940] QUOTE,YBTGw9v3Cl,LSM 
[63976] BUY,YBTGw9v3Cl,HBF,720.60 
[64043] COMMIT_SELL,YBTGw9v3Cl 
[64135] DISPLAY_SUMMARY,YBTGw9v3Cl 
[64277] DISPLAY_SUMMARY,YBTGw9v3Cl 
[64487] SET_BUY_TRIGGER,YBTGw9v3Cl,JIC,75.26 
[65242] SET_SELL_AMOUNT,YBTGw9v3Cl,GRM,748.60 
[65318] SET_SELL_TRIGGER,YBTGw9v3Cl,GRM,730.75 
[65346] DISPLAY_SUMMARY,YBTGw9v3Cl 
[65397] SET_SELL_AMOUNT,YBTGw9v3Cl,EBS,589.85 
[65410] SET_SELL_TRIGGER,YBTGw9v3Cl,EBS,178.03 
[65459] SET_SELL_AMOUNT,YBTGw9v3Cl,RNK,639.41 
[65505] QUOTE,YBTGw9v3Cl,OEN 
[65617] DISPLAY_SUMMARY,YBTGw9v3Cl 
[66007] SET_SELL_TRIGGER,YBTGw9v3Cl,RNK,625.57 
[66044] DISPLAY_SUMMARY,YBTGw9v3Cl 
[66081] BUY,YBTGw9v3Cl,KLE,55.27 
[66136] COMMIT_BUY,YBTGw9v3Cl 
[66219] SELL,YBTGw9v3Cl,KDA,90.59 
[66317] COMMIT_SELL,YBTGw9v3Cl 
[66530] ADD,YBTGw9v3Cl,79697.26 
[66782] QUOTE,YBTGw9v3Cl,SIK 
[67185] QUOTE,YBTGw9v3Cl,YAZ 
[67210] DISPLAY_SUMMARY,YBTGw9v3Cl 
[67263] SET_SELL_TRIGGER,YBTGw9v3Cl,MVI,108.90 
[67471] BUY,YBTGw9v3Cl,CWA,245.23 
[67742] CANCEL_SET_SELL,YBTGw9v3Cl,BPK 
[68269] BUY,YBTGw9v3Cl,FRB,277.58 
[68384] SET_SELL_TRIGGER,YBTGw9v3Cl,WKD,65.39 
[68920] DISPLAY_SUMMARY,YBTGw9v3Cl 
[69059] ADD,YBTGw9v3Cl,101537.26 
[69171] QUOTE,YBTGw9v3Cl,YBO 
[69186] SELL,YBTGw9v3Cl,CSZ,436.16 
[69210] COMMIT_SELL,YBTGw9v3Cl 
[69232] SELL,YBTGw9v3Cl,JRJ,573.24 
[69259] COMMIT_SELL,YBTGw9v3Cl 
[69401] SELL,YBTGw9v3Cl,SUS,244.92 
[69466] CANCEL_SELL,YBTGw9v3Cl 
[69516] DISPLAY_SUMMARY,YBTGw9v3Cl 
[69525] DISPLAY_SUMMARY,YBTGw9v3Cl 
[69609] COMMIT_BUY,YBTGw9v3Cl 
[69799] BUY,YBTGw9v3Cl,QQI,607.43 
[69951] COMMIT_BUY,YBTGw9v3Cl 
[70015] SET_SELL_AMOUNT,YBTGw9v3Cl,CSZ,718.45 
[70395] SET_SELL_TRIGGER,YBTGw9v3Cl,CSZ,135.50 
[70599] SET_BUY_AMOUNT,YBTGw9v3Cl,MFX,164.67 
[70634] SET_BUY_TRIGGER,YBTGw9v3Cl,BWL,83.51 
[70758] BUY,YBTGw9v3Cl,FPV,714.77 
[70765] COMMIT_BUY,YBTGw9v3Cl 
[70821] DISPLAY_SUMMARY,YBTGw9v3Cl 
[70973] SET_BUY_AMOUNT,YBTGw9v3Cl,OPN,699.69 
[71164] SET_BUY_TRIGGER,YBTGw9v3Cl,EED,608.22 
[71185] SET_SELL_TRIGGER,YBTGw9v3Cl,YTY,60.06 
[71249] ADD,YBTGw9v3Cl,61572.01 
[71375] BUY,YBTGw9v3Cl,ZLY,292.16 
[71623] SET_SELL_AMOUNT,YBTGw9v3Cl,EBS,658.62 
[71667] SET_SELL_TRIGGER,YBTGw9v3Cl,EBS,108.58 
[71697] ADD,YBTGw9v3Cl,65762.47 
[72076] QUOTE,YBTGw9v3Cl,QPR 
[72077] QUOTE,YBTGw9v3Cl,LJZ 
[72203] ADD,YBTGw9v3Cl,63496.39 
[72221] QUOTE,YBTGw9v3Cl,NJB 
[72281] BUY,YBTGw9v3Cl,JPD,637.43 
[72304] COMMIT_BUY,YBTGw9v3Cl 
[72325] DISPLAY_SUMMARY,YBTGw9v3Cl 
[72335] SET_BUY_TRIGGER,YBTGw9v3Cl,UIE,58.08 
[72388] DISPLAY_SUMMARY,YBTGw9v3Cl 
[72391] DISPLAY_SUMMARY,YBTGw9v3Cl 
[72609] SELL,YBTGw9v3Cl,JQO,342.47 
[72620] CANCEL_BUY,YBTGw9v3Cl 
[72651] SET_BUY_TRIGGER,YBTGw9v3Cl,HIW,33.91 
[72698] ADD,YBTGw9v3Cl,78241.22 
[72717] QUOTE,YBTGw9v3Cl,MIR 
[72808] ADD,YBTGw9v3Cl,67492.41 
[72852] CANCEL_BUY,YBTGw9v3Cl 
[73038] SET_SELL_TRIGGER,YBTGw9v3Cl,QLM,178.73 
[73126] COMMIT_SELL,YBTGw9v3Cl 
[73288] SET_BUY_AMOUNT,YBTGw9v3Cl,XLK,229.45 
[73335] SET_BUY_TRIGGER,YBTGw9v3Cl,QJC,59.70 
[73445] SET_SELL_TRIGGER,YBTGw9v3Cl,QGN,178.72 
[73581] SELL,YBTGw9v3Cl,JRJ,473.83 
[73661] COMMIT_SELL,YBTGw9v3Cl 
[73771] ADD,YBTGw9v3Cl,51039.34 
[73989] BUY,YBTGw9v3Cl,USW,709.67 
[74004] COMMIT_BUY,YBTGw9v3Cl 
[74061] COMMIT_SELL,YBTGw9v3Cl 
[74073] SET_SELL_AMOUNT,YBTGw9v3Cl,XQC,89.25 
[74092] SET_SELL_TRIGGER,YBTGw9v3Cl,XQC,73.36 
[74115] SET_BUY_AMOUNT,YBTGw9v3Cl,AVX,567.42 
[74134] SELL,YBTGw9v3Cl,CUZ,127.36 
[74215] SET_SELL_TRIGGER,YBTGw9v3Cl,QNK,14.64 
[74314] BUY,YBTGw9v3Cl,GPW,434.07 
[74574] CANCEL_BUY,YBTGw9v3Cl 
[74630] SET_BUY_TRIGGER,YBTGw9v3Cl,JMG,424.82 
[74701] QUOTE,YBTGw9v3Cl,CAX 
[74709] CANCEL_BUY,YBTGw9v3Cl 
[74791] DISPLAY_SUMMARY,YBTGw9v3Cl 
[74800] SET_SELL_AMOUNT,YBTGw9v3Cl,NHG,571.53 
[74815] CANCEL_SET_SELL,YBTGw9v3Cl,NHG 
[74820] BUY,YBTGw9v3Cl,WSR,685.16 
[74926] CANCEL_SET_SELL,YBTGw9v3Cl,GLO 
[74983] BUY,YBTGw9v3Cl,OIY,286.00 
[75187] BUY,YBTGw9v3Cl,SDL,486.98 
[75236] DISPLAY_SUMMARY,YBTGw9v3Cl 
[75287] BUY,YBTGw9v3Cl,SIK,456.63 
[75314] COMMIT_BUY,YBTGw9v3Cl 
[75377] SET_BUY_AMOUNT,YBTGw9v3Cl,UIE,225.73 
[75431] SELL,YBTGw9v3Cl,MFX,550.00 
[75518] COMMIT_SELL,YBTGw9v3Cl 
[75525] QUOTE,YBTGw9v3Cl,SPL 
[75548] BUY,YBTGw9v3Cl,LKK,530.85 
[75662] COMMIT_BUY,YBTGw9v3Cl 
[75679] ADD,YBTGw9v3Cl,63760.43 
[75875] QUOTE,YBTGw9v3Cl,XNZ 
[75899] BUY,YBTGw9v3Cl,HEK,732.62 
[76048] COMMIT_BUY,YBTGw9v3Cl 
[76106] SET_BUY_AMOUNT,YBTGw9v3Cl,SUS,562.07 
[76326] CANCEL_SET_BUY,YBTGw9v3Cl,SQS 
[76483] DISPLAY_SUMMARY,YBTGw9v3Cl 
[76526] DISPLAY_SUMMARY,YBTGw9v3Cl 
[76579] SET_BUY_TRIGGER,YBTGw9v3Cl,SUS,131.96 
[76584] SELL,YBTGw9v3Cl,EBS,738.61 
[76634] COMMIT_SELL,YBTGw9v3Cl 
[76695] QUOTE,YBTGw9v3Cl,JUN 
[76702] QUOTE,YBTGw9v3Cl,WUF 
[76928] BUY,YBTGw9v3Cl,MQF,588.34 
[76938] COMMIT_BUY,YBTGw9v3Cl 
[77009] BUY,YBTGw9v3Cl,LMO,314.37 
[77219] CANCEL_BUY,YBTGw9v3Cl 
[77582] BUY,YBTGw9v3Cl,HTD,502.68 
[77626] COMMIT_BUY,YBTGw9v3Cl 
[77704] BUY,YBTGw9v3Cl,LSK,147.99 
[77825] CANCEL_SET_SELL,YBTGw9v3Cl,QXE 
[77986] SET_BUY_AMOUNT,YBTGw9v3Cl,ZAN,591.60 
[78073] SET_BUY_TRIGGER,YBTGw9v3Cl,EJW,590.03 
[78186] SELL,YBTGw9v3Cl,JVT,451.27 
[78355] SELL,YBTGw9v3Cl,SQI,95.56 
[78424] BUY,YBTGw9v3Cl,LLZ,35.48 
[78452] SET_SELL_TRIGGER,YBTGw9v3Cl,PYM,116.62 
[78576] ADD,YBTGw9v3Cl,76322.58 
[78723] BUY,YBTGw9v3Cl,LPR,740.49 
[78793] COMMIT_BUY,YBTGw9v3Cl 
[78816] SET_SELL_AMOUNT,YBTGw9v3Cl,AVX,663.07 
[78830] SET_SELL_TRIGGER,YBTGw9v3Cl,AVX,480.90 
[78946] DISPLAY_SUMMARY,YBTGw9v3Cl 
[78989] SET_SELL_TRIGGER,YBTGw9v3Cl,XSS,26.21 
[79154] QUOTE,YBTGw9v3Cl,FRB 
[79161] ADD,YBTGw9v3Cl,96813.14 
[79212] BUY,YBTGw9v3Cl,QOQ,353.21 
[79344] COMMIT_BUY,YBTGw9v3Cl 
[79351] BUY,YBTGw9v3Cl,OXV,348.39 
[79397] COMMIT_BUY,YBTGw9v3Cl 
[79614] ADD,YBTGw9v3Cl,82886.11 
[79685] QUOTE,YBTGw9v3Cl,TSF 
[79752] BUY,YBTGw9v3Cl,PVZ,393.83 
[79800] CANCEL_BUY,YBTGw9v3Cl 
[79803] QUOTE,YBTGw9v3Cl,HYX 
[79939] QUOTE,YBTGw9v3Cl,DPG 
[80075] BUY,YBTGw9v3Cl,HSH,386.22 
[80154] CANCEL_SET_BUY,YBTGw9v3Cl,OZW 
[80180] SET_BUY_TRIGGER,YBTGw9v3Cl,KZC,21.47 
[80328] SET_BUY_TRIGGER,YBTGw9v3Cl,TSU,139.85 
[80339] SET_SELL_AMOUNT,YBTGw9v3Cl,XXQ,86.12 
[80341] SET_SELL_TRIGGER,YBTGw9v3Cl,XXQ,50.52 
[80503] SET_BUY_TRIGGER,YBTGw9v3Cl,SKY,0.63 
[80728] CANCEL_SELL,YBTGw9v3Cl 
[80746] SET_SELL_TRIGGER,YBTGw9v3Cl,GPC,140.52 
[80860] SET_SELL_TRIGGER,YBTGw9v3Cl,ZGN,184.33 
[80912] ADD,YBTGw9v3Cl,60382.12 
[80959] SET_SELL_AMOUNT,YBTGw9v3Cl,SUS,272.27 
[81032] SET_SELL_TRIGGER,YBTGw9v3Cl,SUS,197.48 
[81136] BUY,YBTGw9v3Cl,IFC,404.55 
[81204] CANCEL_BUY,YBTGw9v3Cl 
[81241] ADD,YBTGw9v3Cl,50696.29 
[81317] BUY,YBTGw9v3Cl,DIX,387.83 
[81319] COMMIT_BUY,YBTGw9v3Cl 
[81541] DISPLAY_SUMMARY,YBTGw9v3Cl 
[81671] ADD,YBTGw9v3Cl,76246.15 
[81776] DISPLAY_SUMMARY,YBTGw9v3Cl 
[82059] SET_SELL_AMOUNT,YBTGw9v3Cl,BYA,555.78 
[82312] SET_SELL_TRIGGER,YBTGw9v3Cl,BYA,111.01 
[82383] QUOTE,YBTGw9v3Cl,UZZ 
[82504] QUOTE,YBTGw9v3Cl,ZJG 
[82556] ADD,YBTGw9v3Cl,53882.76 
[82565] QUOTE,YBTGw9v3Cl,ZZD 
[82693] QUOTE,YBTGw9v3Cl,FTP 
[82922] COMMIT_BUY,YBTGw9v3Cl 
[83013] SET_SELL_TRIGGER,YBTGw9v3Cl,TVP,91.98 
[83230] CANCEL_SET_BUY,YBTGw9v3Cl,DJD 
[83247] QUOTE,YBTGw9v3Cl,ZMK 
[83277] SET_BUY_AMOUNT,YBTGw9v3Cl,SSF,471.47 
[83312] SET_BUY_TRIGGER,YBTGw9v3Cl,NNW,425.10 
[83632] BUY,YBTGw9v3Cl,UCG,603.44 
[83709] CANCEL_BUY,YBTGw9v3Cl 
[83785] SET_BUY_TRIGGER,YBTGw9v3Cl,MOM,50.98 
[83830] SET_BUY_TRIGGER,YBTGw9v3Cl,KDG,84.13 
[83841] SET_SELL_AMOUNT,YBTGw9v3Cl,EBS,682.59 
[83985] QUOTE,YBTGw9v3Cl,WTL 
[84243] BUY,YBTGw9v3Cl,UGT,101.50 
[84579] SET_SELL_TRIGGER,YBTGw9v3Cl,EBS,659.30 
[84670] ADD,YBTGw9v3Cl,80290.37 
[85363] QUOTE,YBTGw9v3Cl,YGK 
[85639] SET_BUY_AMOUNT,YBTGw9v3Cl,IFN,88.61 
[85719] BUY,YBTGw9v3Cl,XME,82.18 
[85748] COMMIT_BUY,YBTGw9v3Cl 
[85862] SET_BUY_TRIGGER,YBTGw9v3Cl,FKX,38.65 
[85879] ADD,YBTGw9v3Cl,86410.19 
[85892] QUOTE,YBTGw9v3Cl,DWK 
[85999] BUY,YBTGw9v3Cl,RXB,743.00 
[86075] CANCEL_SET_BUY,YBTGw9v3Cl,IZS 
[86186] QUOTE,YBTGw9v3Cl,WUL 
[86200] BUY,YBTGw9v3Cl,ETB,184.50 
[86696] COMMIT_BUY,YBTGw9v3Cl 
[86898] SET_SELL_AMOUNT,YBTGw9v3Cl,YDS,238.90 
[87223] SET_SELL_TRIGGER,YBTGw9v3Cl,YDS,66.93 
[87236] SET_SELL_AMOUNT,YBTGw9v3Cl,UTV,95.05 
[87387] SET_SELL_TRIGGER,YBTGw9v3Cl,UTV,42.71 
[87462] SET_BUY_AMOUNT,YBTGw9v3Cl,XQC,471.83 
[87469] SET_BUY_TRIGGER,YBTGw9v3Cl,RQS,296.36 
[87527] ADD,YBTGw9v3Cl,84246.60 
[87594] QUOTE,YBTGw9v3Cl,GMS 
[87599] SET_BUY_TRIGGER,YBTGw9v3Cl,RDK,84.07 
[87789] SET_BUY_AMOUNT,YBTGw9v3Cl,KDA,65.48 
[88039] SET_BUY_TRIGGER,YBTGw9v3Cl,LLD,39.13 
[88048] ADD,YBTGw9v3Cl,61670.20 
[88092] SET_SELL_TRIGGER,YBTGw9v3Cl,MHQ,22.71 
[88111] DISPLAY_SUMMARY,YBTGw9v3Cl 
[88134] ADD,YBTGw9v3Cl,61800.02 
[88166] BUY,YBTGw9v3Cl,UUJ,537.37 
[88200] SET_BUY_AMOUNT,YBTGw9v3Cl,PTP,489.86 
[88601] CANCEL_SET_BUY,YBTGw9v3Cl,NFL 
[88671] ADD,YBTGw9v3Cl,78097.76 
[88805] QUOTE,YBTGw9v3Cl,WKG 
[88807] BUY,YBTGw9v3Cl,FPI,98.89 
[88996] COMMIT_BUY,YBTGw9v3Cl 
[89061] SET_SELL_TRIGGER,YBTGw9v3Cl,MQH,177.25 
[89117] QUOTE,YBTGw9v3Cl,IUN 
[89184] SET_SELL_TRIGGER,YBTGw9v3Cl,IVV,97.63 
[89243] ADD,YBTGw9v3Cl,61693.02 
[89325] QUOTE,YBTGw9v3Cl,WZM 
[89411] BUY,YBTGw9v3Cl,LFU,738.45 
[89414] DISPLAY_SUMMARY,YBTGw9v3Cl 
[89417] ADD,YBTGw9v3Cl,85932.97 
[89542] QUOTE,YBTGw9v3Cl,TOZ 
