[135] ADD,kMcjEkmbDd,59125.79 
[47005] SET_SELL_TRIGGER,kMcjEkmbDd,ZUV,106.98 
[47030] DISPLAY_SUMMARY,kMcjEkmbDd 
[47085] ADD,kMcjEkmbDd,28480.99 
[47115] BUY,kMcjEkmbDd,AUX,244.33 
[47258] CANCEL_BUY,kMcjEkmbDd 
[47328] SELL,kMcjEkmbDd,OPN,20.98 
[47491] COMMIT_SELL,kMcjEkmbDd 
[47539] DISPLAY_SUMMARY,kMcjEkmbDd 
[47654] ADD,kMcjEkmbDd,78929.94 
[47728] BUY,kMcjEkmbDd,HYX,249.95 
[47940] CANCEL_SELL,kMcjEkmbDd 
[48029] ADD,kMcjEkmbDd,84742.22 
[48067] CANCEL_SET_SELL,kMcjEkmbDd,UJC 
[48086] ADD,kMcjEkmbDd,60645.72 
[48213] QUOTE,kMcjEkmbDd,OGR 
[48243] SET_SELL_AMOUNT,kMcjEkmbDd,CSZ,509.22 
[48349] SET_SELL_TRIGGER,kMcjEkmbDd,CSZ,367.42 
[48425] SET_SELL_AMOUNT,kMcjEkmbDd,UTV,605.42 
[48609] SET_SELL_TRIGGER,kMcjEkmbDd,UTV,96.31 
[48649] BUY,kMcjEkmbDd,XAB,475.83 
[48699] COMMIT_BUY,kMcjEkmbDd 
[48832] ADD,kMcjEkmbDd,62374.59 
[48840] BUY,kMcjEkmbDd,JXR,660.94 
[49097] COMMIT_BUY,kMcjEkmbDd 
[49268] ADD,kMcjEkmbDd,81676.02 
[49272] QUOTE,kMcjEkmbDd,IVV 
[49370] BUY,kMcjEkmbDd,OOV,592.58 
[49493] CANCEL_BUY,kMcjEkmbDd 
[49647] BUY,kMcjEkmbDd,SPL,94.48 
[49803] CANCEL_SET_SELL,kMcjEkmbDd,YZC 
[49932] SET_SELL_AMOUNT,kMcjEkmbDd,OEY,407.77 
[49965] SET_SELL_TRIGGER,kMcjEkmbDd,OEY,357.17 
[50000] ADD,kMcjEkmbDd,68677.55 
[50314] QUOTE,kMcjEkmbDd,SPP 
[50315] QUOTE,kMcjEkmbDd,SXB 
[50357] ADD,kMcjEkmbDd,51640.98 
[50573] QUOTE,kMcjEkmbDd,QVA 
[50584] DISPLAY_SUMMARY,kMcjEkmbDd 
[50898] ADD,kMcjEkmbDd,26312.65 
[51272] QUOTE,kMcjEkmbDd,SON 
[51309] QUOTE,kMcjEkmbDd,KLE 
[51425] SET_SELL_TRIGGER,kMcjEkmbDd,ZAV,122.70 
[51471] BUY,kMcjEkmbDd,PDX,578.73 
[51720] CANCEL_BUY,kMcjEkmbDd 
[51765] DISPLAY_SUMMARY,kMcjEkmbDd 
[51890] ADD,kMcjEkmbDd,55321.12 
[51904] DISPLAY_SUMMARY,kMcjEkmbDd 
[52199] ADD,kMcjEkmbDd,56885.23 
[52202] QUOTE,kMcjEkmbDd,NRY 
[52318] QUOTE,kMcjEkmbDd,SJG 
[52323] DISPLAY_SUMMARY,kMcjEkmbDd 
[52350] SET_SELL_TRIGGER,kMcjEkmbDd,DWU,17.39 
[52397] COMMIT_BUY,kMcjEkmbDd 
[52414] ADD,kMcjEkmbDd,64987.17 
[52537] QUOTE,kMcjEkmbDd,AUX 
[52637] SELL,kMcjEkmbDd,XXQ,603.13 
[52776] CANCEL_SET_BUY,kMcjEkmbDd,KAF 
[52797] ADD,kMcjEkmbDd,94242.97 
[52834] BUY,kMcjEkmbDd,WQC,644.42 
[52931] COMMIT_BUY,kMcjEkmbDd 
[53046] SET_SELL_AMOUNT,kMcjEkmbDd,ZAN,637.05 
[53204] CANCEL_SET_SELL,kMcjEkmbDd,ZAN 
[53223] SET_SELL_TRIGGER,kMcjEkmbDd,DBC,190.39 
[53348] ADD,kMcjEkmbDd,57552.83 
[53376] SET_SELL_AMOUNT,kMcjEkmbDd,RUN,357.15 
[53440] CANCEL_SET_SELL,kMcjEkmbDd,RUN 
[53569] QUOTE,kMcjEkmbDd,CLP 
[53611] QUOTE,kMcjEkmbDd,CTI 
[53631] BUY,kMcjEkmbDd,CNN,610.51 
[53835] COMMIT_BUY,kMcjEkmbDd 
[53895] SELL,kMcjEkmbDd,EBS,483.49 
[53929] CANCEL_SET_SELL,kMcjEkmbDd,KMV 
[53999] SET_BUY_TRIGGER,kMcjEkmbDd,ZGN,104.94 
[54002] DISPLAY_SUMMARY,kMcjEkmbDd 
[54078] DISPLAY_SUMMARY,kMcjEkmbDd 
[54136] DISPLAY_SUMMARY,kMcjEkmbDd 
[54244] ADD,kMcjEkmbDd,61460.32 
[54503] CANCEL_SELL,kMcjEkmbDd 
[54613] DISPLAY_SUMMARY,kMcjEkmbDd 
[54618] CANCEL_BUY,kMcjEkmbDd 
[54630] QUOTE,kMcjEkmbDd,JUV 
[54658] BUY,kMcjEkmbDd,WSG,133.15 
[54771] CANCEL_SET_SELL,kMcjEkmbDd,MWB 
[54926] ADD,kMcjEkmbDd,78765.28 
[54956] BUY,kMcjEkmbDd,YBB,724.48 
[55007] SET_SELL_TRIGGER,kMcjEkmbDd,PWK,125.63 
[55030] CANCEL_SET_SELL,kMcjEkmbDd,QPE 
[55115] ADD,kMcjEkmbDd,69141.18 
[55247] BUY,kMcjEkmbDd,JFF,389.23 
[55470] COMMIT_BUY,kMcjEkmbDd 
[55576] SET_SELL_AMOUNT,kMcjEkmbDd,ZYR,679.56 
[55579] SET_SELL_TRIGGER,kMcjEkmbDd,ZYR,437.29 
[55734] ADD,kMcjEkmbDd,66351.74 
[55794] SET_SELL_TRIGGER,kMcjEkmbDd,CVP,146.93 
[55812] DISPLAY_SUMMARY,kMcjEkmbDd 
[55849] DISPLAY_SUMMARY,kMcjEkmbDd 
[55927] SET_SELL_TRIGGER,kMcjEkmbDd,OHS,130.76 
[55970] SET_BUY_AMOUNT,kMcjEkmbDd,SSF,545.41 
[56024] SET_BUY_TRIGGER,kMcjEkmbDd,BVN,136.70 
[56082] ADD,kMcjEkmbDd,74768.63 
[56141] SELL,kMcjEkmbDd,JVT,274.07 
[56172] CANCEL_BUY,kMcjEkmbDd 
[56264] ADD,kMcjEkmbDd,90299.68 
[56422] QUOTE,kMcjEkmbDd,LUD 
[56456] QUOTE,kMcjEkmbDd,FUF 
[56473] BUY,kMcjEkmbDd,BVN,463.78 
[56613] COMMIT_BUY,kMcjEkmbDd 
[56804] DISPLAY_SUMMARY,kMcjEkmbDd 
[56810] SELL,kMcjEkmbDd,UTV,393.95 
[56985] CANCEL_SELL,kMcjEkmbDd 
[57026] QUOTE,kMcjEkmbDd,GXT 
[57149] ADD,kMcjEkmbDd,77225.95 
[57188] COMMIT_SELL,kMcjEkmbDd 
[57190] DISPLAY_SUMMARY,kMcjEkmbDd 
[57218] ADD,kMcjEkmbDd,52620.50 
[57316] QUOTE,kMcjEkmbDd,OXV 
[57416] BUY,kMcjEkmbDd,KAR,323.15 
[57479] COMMIT_BUY,kMcjEkmbDd 
[57482] BUY,kMcjEkmbDd,GQV,463.61 
[57498] COMMIT_BUY,kMcjEkmbDd 
[57587] ADD,kMcjEkmbDd,59948.15 
[57656] SET_SELL_TRIGGER,kMcjEkmbDd,WZM,6.75 
[57964] DISPLAY_SUMMARY,kMcjEkmbDd 
[58169] SET_SELL_TRIGGER,kMcjEkmbDd,GZQ,64.33 
[58208] SELL,kMcjEkmbDd,DFE,581.28 
[58460] COMMIT_SELL,kMcjEkmbDd 
[58465] BUY,kMcjEkmbDd,RRE,498.74 
[58578] COMMIT_BUY,kMcjEkmbDd 
[58659] DISPLAY_SUMMARY,kMcjEkmbDd 
[58886] SET_SELL_AMOUNT,kMcjEkmbDd,ZYR,224.17 
[59039] BUY,kMcjEkmbDd,DWK,662.57 
[59045] CANCEL_SET_BUY,kMcjEkmbDd,EHF 
[59134] SELL,kMcjEkmbDd,FDI,613.11 
[59193] COMMIT_SELL,kMcjEkmbDd 
[59215] DISPLAY_SUMMARY,kMcjEkmbDd 
[59366] CANCEL_SET_SELL,kMcjEkmbDd,ZYR 
[59369] SET_SELL_TRIGGER,kMcjEkmbDd,BTA,115.92 
[59482] SET_SELL_AMOUNT,kMcjEkmbDd,JZJ,351.52 
[59497] SET_SELL_TRIGGER,kMcjEkmbDd,JZJ,331.20 
[59578] BUY,kMcjEkmbDd,TZJ,320.82 
[59699] COMMIT_BUY,kMcjEkmbDd 
[59715] SET_BUY_TRIGGER,kMcjEkmbDd,FUF,120.95 
[60168] SET_BUY_TRIGGER,kMcjEkmbDd,WZM,9.20 
[60638] ADD,kMcjEkmbDd,75546.98 
[60819] BUY,kMcjEkmbDd,SFO,439.09 
[60850] COMMIT_BUY,kMcjEkmbDd 
[60986] SELL,kMcjEkmbDd,FQP,109.20 
[61082] CANCEL_SELL,kMcjEkmbDd 
[61091] SET_SELL_TRIGGER,kMcjEkmbDd,YZC,53.86 
[61107] SELL,kMcjEkmbDd,JRJ,668.34 
[61125] COMMIT_SELL,kMcjEkmbDd 
[61224] ADD,kMcjEkmbDd,53247.34 
[61234] BUY,kMcjEkmbDd,SNU,508.63 
[61267] CANCEL_BUY,kMcjEkmbDd 
[61273] DISPLAY_SUMMARY,kMcjEkmbDd 
[61458] DISPLAY_SUMMARY,kMcjEkmbDd 
[61469] SET_BUY_TRIGGER,kMcjEkmbDd,XWZ,110.18 
[61549] SELL,kMcjEkmbDd,OPN,89.81 
[61597] SET_SELL_TRIGGER,kMcjEkmbDd,GIK,88.09 
[61702] SELL,kMcjEkmbDd,XLK,482.99 
[61778] CANCEL_SET_BUY,kMcjEkmbDd,KRX 
[61855] SET_SELL_TRIGGER,kMcjEkmbDd,BXH,130.82 
[61880] SET_BUY_AMOUNT,kMcjEkmbDd,JVT,139.07 
[61882] SET_BUY_TRIGGER,kMcjEkmbDd,KHY,74.20 
[62049] DISPLAY_SUMMARY,kMcjEkmbDd 
[62073] CANCEL_BUY,kMcjEkmbDd 
[62218] SET_BUY_AMOUNT,kMcjEkmbDd,CBO,624.65 
[62233] SET_BUY_TRIGGER,kMcjEkmbDd,ZNY,239.98 
[62251] ADD,kMcjEkmbDd,55698.35 
[62292] BUY,kMcjEkmbDd,QTU,436.03 
[62299] COMMIT_BUY,kMcjEkmbDd 
[62315] SET_BUY_TRIGGER,kMcjEkmbDd,ZNL,36.63 
[62438] BUY,kMcjEkmbDd,NJT,664.46 
[62602] COMMIT_BUY,kMcjEkmbDd 
[62627] CANCEL_SELL,kMcjEkmbDd 
[62689] ADD,kMcjEkmbDd,89333.58 
[62713] BUY,kMcjEkmbDd,XRK,575.95 
[62831] COMMIT_BUY,kMcjEkmbDd 
[63098] QUOTE,kMcjEkmbDd,LAW 
[63135] CANCEL_SET_SELL,kMcjEkmbDd,LUD 
[63197] SET_SELL_AMOUNT,kMcjEkmbDd,QJZ,635.96 
[63275] SET_SELL_TRIGGER,kMcjEkmbDd,QJZ,56.98 
[63456] SELL,kMcjEkmbDd,CEC,316.95 
[63673] COMMIT_SELL,kMcjEkmbDd 
[63702] DISPLAY_SUMMARY,kMcjEkmbDd 
[64163] SET_BUY_TRIGGER,kMcjEkmbDd,QPE,198.43 
[64198] ADD,kMcjEkmbDd,67258.72 
[64354] QUOTE,kMcjEkmbDd,ZJG 
[64875] QUOTE,kMcjEkmbDd,PFN 
[64878] CANCEL_SET_SELL,kMcjEkmbDd,DMW 
[65054] SELL,kMcjEkmbDd,XLK,503.51 
[65110] QUOTE,kMcjEkmbDd,GZU 
[65130] CANCEL_SET_BUY,kMcjEkmbDd,LKK 
[65185] DISPLAY_SUMMARY,kMcjEkmbDd 
[65227] BUY,kMcjEkmbDd,HSJ,320.54 
[65229] CANCEL_BUY,kMcjEkmbDd 
[65238] QUOTE,kMcjEkmbDd,PVH 
[65270] BUY,kMcjEkmbDd,EBS,412.51 
[65335] CANCEL_BUY,kMcjEkmbDd 
[65620] BUY,kMcjEkmbDd,IFN,180.50 
[65652] COMMIT_BUY,kMcjEkmbDd 
[65750] SELL,kMcjEkmbDd,ZTI,475.21 
[65839] COMMIT_SELL,kMcjEkmbDd 
[65978] QUOTE,kMcjEkmbDd,MVQ 
[65993] QUOTE,kMcjEkmbDd,MJU 
[65999] DISPLAY_SUMMARY,kMcjEkmbDd 
[66131] SET_SELL_AMOUNT,kMcjEkmbDd,VTY,550.78 
[66213] SET_SELL_TRIGGER,kMcjEkmbDd,VTY,527.05 
[66389] QUOTE,kMcjEkmbDd,HVE 
[66534] DISPLAY_SUMMARY,kMcjEkmbDd 
[66614] SET_SELL_AMOUNT,kMcjEkmbDd,NHG,251.70 
[66624] SET_SELL_TRIGGER,kMcjEkmbDd,NHG,61.99 
[66652] SELL,kMcjEkmbDd,BYA,730.24 
[66711] SET_BUY_AMOUNT,kMcjEkmbDd,GYF,163.11 
[66849] SET_BUY_TRIGGER,kMcjEkmbDd,YIU,131.76 
[66989] CANCEL_SET_SELL,kMcjEkmbDd,ZGR 
[67009] DISPLAY_SUMMARY,kMcjEkmbDd 
[67124] DISPLAY_SUMMARY,kMcjEkmbDd 
[67161] SELL,kMcjEkmbDd,NHG,717.87 
[67169] COMMIT_SELL,kMcjEkmbDd 
[67219] SET_SELL_TRIGGER,kMcjEkmbDd,ZGN,22.29 
[67364] QUOTE,kMcjEkmbDd,DJD 
[67417] SET_BUY_TRIGGER,kMcjEkmbDd,FZB,103.69 
[67509] ADD,kMcjEkmbDd,57354.23 
[67552] QUOTE,kMcjEkmbDd,IPJ 
[67793] SET_BUY_TRIGGER,kMcjEkmbDd,OEX,109.38 
[67973] DISPLAY_SUMMARY,kMcjEkmbDd 
[68167] ADD,kMcjEkmbDd,50822.43 
[68305] BUY,kMcjEkmbDd,CBX,516.39 
[68363] COMMIT_BUY,kMcjEkmbDd 
[68434] SET_SELL_TRIGGER,kMcjEkmbDd,ZTR,146.56 
[68628] SET_BUY_TRIGGER,kMcjEkmbDd,FQG,22.31 
[68703] ADD,kMcjEkmbDd,100606.67 
[68859] BUY,kMcjEkmbDd,PIC,551.74 
[68908] COMMIT_BUY,kMcjEkmbDd 
[68936] SELL,kMcjEkmbDd,LFU,705.77 
[69010] COMMIT_SELL,kMcjEkmbDd 
[69168] SET_BUY_AMOUNT,kMcjEkmbDd,MXD,656.64 
[69182] SET_BUY_TRIGGER,kMcjEkmbDd,JGG,354.12 
[69328] ADD,kMcjEkmbDd,91648.45 
[69421] BUY,kMcjEkmbDd,DES,385.18 
[69530] COMMIT_BUY,kMcjEkmbDd 
[69639] DISPLAY_SUMMARY,kMcjEkmbDd 
[69683] QUOTE,kMcjEkmbDd,XVK 
[69705] BUY,kMcjEkmbDd,DES,63.39 
[69722] CANCEL_BUY,kMcjEkmbDd 
[70253] DISPLAY_SUMMARY,kMcjEkmbDd 
[70257] ADD,kMcjEkmbDd,60960.02 
[70336] BUY,kMcjEkmbDd,XFH,72.33 
[70443] COMMIT_BUY,kMcjEkmbDd 
[70564] SET_BUY_AMOUNT,kMcjEkmbDd,JRJ,430.85 
[70757] SET_BUY_TRIGGER,kMcjEkmbDd,NFL,314.97 
[70840] DISPLAY_SUMMARY,kMcjEkmbDd 
[70957] SET_BUY_AMOUNT,kMcjEkmbDd,OPN,357.18 
[71014] SET_BUY_TRIGGER,kMcjEkmbDd,NXF,223.57 
[71043] SELL,kMcjEkmbDd,JVT,418.48 
[71060] COMMIT_SELL,kMcjEkmbDd 
[71078] ADD,kMcjEkmbDd,39414.53 
[71156] BUY,kMcjEkmbDd,WCY,535.93 
[71251] CANCEL_BUY,kMcjEkmbDd 
[71317] ADD,kMcjEkmbDd,61512.27 
[71376] BUY,kMcjEkmbDd,TWJ,400.80 
[71499] COMMIT_BUY,kMcjEkmbDd 
[71512] DISPLAY_SUMMARY,kMcjEkmbDd 
[71642] CANCEL_SET_BUY,kMcjEkmbDd,KQZ 
[71735] ADD,kMcjEkmbDd,52237.49 
[71811] CANCEL_SET_SELL,kMcjEkmbDd,BYA 
[71813] ADD,kMcjEkmbDd,87061.61 
[72033] BUY,kMcjEkmbDd,APY,488.79 
[72560] COMMIT_BUY,kMcjEkmbDd 
[72601] SET_SELL_TRIGGER,kMcjEkmbDd,XBE,161.81 
[72617] ADD,kMcjEkmbDd,80470.17 
[72914] BUY,kMcjEkmbDd,HTD,159.51 
[72943] COMMIT_BUY,kMcjEkmbDd 
[72947] SET_BUY_TRIGGER,kMcjEkmbDd,GWF,140.67 
[73007] SET_SELL_AMOUNT,kMcjEkmbDd,RUN,455.73 
[73201] CANCEL_SET_SELL,kMcjEkmbDd,RUN 
[73224] SET_SELL_AMOUNT,kMcjEkmbDd,EBS,148.58 
[73310] CANCEL_SET_SELL,kMcjEkmbDd,EBS 
[73753] SET_BUY_AMOUNT,kMcjEkmbDd,KDA,287.33 
[74364] BUY,kMcjEkmbDd,CWA,440.21 
[74414] SELL,kMcjEkmbDd,KDA,430.54 
[74480] SET_SELL_TRIGGER,kMcjEkmbDd,GZQ,11.17 
[74505] SET_SELL_AMOUNT,kMcjEkmbDd,SQI,727.31 
[74668] SET_SELL_TRIGGER,kMcjEkmbDd,SQI,239.63 
[74745] SELL,kMcjEkmbDd,KBN,628.23 
[74755] COMMIT_SELL,kMcjEkmbDd 
[74772] SELL,kMcjEkmbDd,OZO,2.98 
[74784] CANCEL_SET_SELL,kMcjEkmbDd,YMG 
[74785] SET_SELL_TRIGGER,kMcjEkmbDd,FUF,54.74 
[74801] SELL,kMcjEkmbDd,BCQ,170.98 
[74915] DISPLAY_SUMMARY,kMcjEkmbDd 
[74920] SET_BUY_TRIGGER,kMcjEkmbDd,MWB,209.48 
[74929] DISPLAY_SUMMARY,kMcjEkmbDd 
[74950] ADD,kMcjEkmbDd,79786.38 
[74965] BUY,kMcjEkmbDd,IOM,363.40 
[74973] COMMIT_BUY,kMcjEkmbDd 
[75048] DISPLAY_SUMMARY,kMcjEkmbDd 
[75234] QUOTE,kMcjEkmbDd,IGT 
[75395] BUY,kMcjEkmbDd,KCS,2.10 
[75452] ADD,kMcjEkmbDd,72265.10 
[75515] BUY,kMcjEkmbDd,DWC,418.01 
[75884] SELL,kMcjEkmbDd,YJK,254.82 
[76090] CANCEL_SELL,kMcjEkmbDd 
[76154] COMMIT_BUY,kMcjEkmbDd 
[76257] SET_BUY_TRIGGER,kMcjEkmbDd,BLC,70.49 
[76261] ADD,kMcjEkmbDd,65366.11 
[76340] CANCEL_SET_SELL,kMcjEkmbDd,ZQS 
[76413] DISPLAY_SUMMARY,kMcjEkmbDd 
[76523] SET_BUY_TRIGGER,kMcjEkmbDd,OLH,123.22 
[76726] SET_SELL_TRIGGER,kMcjEkmbDd,DWX,27.08 
[76738] SET_SELL_TRIGGER,kMcjEkmbDd,ZPD,104.02 
[76816] SET_SELL_AMOUNT,kMcjEkmbDd,FDI,467.06 
[77289] BUY,kMcjEkmbDd,TKM,503.63 
[77335] SET_SELL_TRIGGER,kMcjEkmbDd,FDI,196.07 
[77352] SET_SELL_AMOUNT,kMcjEkmbDd,XLK,679.90 
[77425] SET_SELL_TRIGGER,kMcjEkmbDd,XLK,143.50 
[77564] BUY,kMcjEkmbDd,RWM,108.13 
[77676] CANCEL_BUY,kMcjEkmbDd 
[77726] DISPLAY_SUMMARY,kMcjEkmbDd 
[77748] ADD,kMcjEkmbDd,88091.47 
[77891] QUOTE,kMcjEkmbDd,CXW 
[78003] BUY,kMcjEkmbDd,EED,522.62 
[78054] CANCEL_SET_SELL,kMcjEkmbDd,XWZ 
[78187] SELL,kMcjEkmbDd,QAX,407.11 
[78326] COMMIT_SELL,kMcjEkmbDd 
[78337] ADD,kMcjEkmbDd,62328.65 
[78397] BUY,kMcjEkmbDd,XDN,293.52 
[78444] COMMIT_BUY,kMcjEkmbDd 
[78584] BUY,kMcjEkmbDd,RRT,532.78 
[78661] SET_SELL_AMOUNT,kMcjEkmbDd,NHG,513.35 
[78694] QUOTE,kMcjEkmbDd,QVK 
[78860] SET_BUY_TRIGGER,kMcjEkmbDd,PTP,166.48 
[78977] ADD,kMcjEkmbDd,87246.45 
[78993] BUY,kMcjEkmbDd,RRT,419.11 
[79101] COMMIT_BUY,kMcjEkmbDd 
[79219] ADD,kMcjEkmbDd,70950.45 
[79297] BUY,kMcjEkmbDd,MHQ,112.04 
[79486] COMMIT_BUY,kMcjEkmbDd 
[79600] BUY,kMcjEkmbDd,AHE,521.17 
[80035] CANCEL_BUY,kMcjEkmbDd 
[80240] QUOTE,kMcjEkmbDd,XQG 
[80325] BUY,kMcjEkmbDd,IQJ,185.83 
[80405] COMMIT_BUY,kMcjEkmbDd 
[80523] ADD,kMcjEkmbDd,67007.79 
[80528] COMMIT_BUY,kMcjEkmbDd 
[80604] SET_SELL_TRIGGER,kMcjEkmbDd,NHG,311.60 
[80618] BUY,kMcjEkmbDd,ALM,283.58 
[80697] CANCEL_BUY,kMcjEkmbDd 
[80702] SET_BUY_AMOUNT,kMcjEkmbDd,VTY,138.06 
[80776] SET_BUY_TRIGGER,kMcjEkmbDd,BHQ,55.28 
[80848] ADD,kMcjEkmbDd,51489.39 
[80926] SET_BUY_TRIGGER,kMcjEkmbDd,ZER,38.88 
[81142] SET_SELL_TRIGGER,kMcjEkmbDd,SYL,192.68 
[81268] SELL,kMcjEkmbDd,VTY,659.84 
[81501] COMMIT_SELL,kMcjEkmbDd 
[81578] SET_SELL_AMOUNT,kMcjEkmbDd,JRJ,284.17 
[81697] BUY,kMcjEkmbDd,PUU,136.64 
[81992] COMMIT_BUY,kMcjEkmbDd 
[82026] BUY,kMcjEkmbDd,SON,407.50 
[82036] CANCEL_SET_BUY,kMcjEkmbDd,SON 
[82057] DISPLAY_SUMMARY,kMcjEkmbDd 
[82065] SET_SELL_AMOUNT,kMcjEkmbDd,BYA,516.55 
[82273] QUOTE,kMcjEkmbDd,EDM 
[82510] SET_BUY_AMOUNT,kMcjEkmbDd,SQI,344.76 
[82602] SET_BUY_TRIGGER,kMcjEkmbDd,RXO,113.09 
[82661] CANCEL_SET_SELL,kMcjEkmbDd,BYA 
[83097] SET_BUY_AMOUNT,kMcjEkmbDd,DFE,549.42 
[83251] SET_BUY_TRIGGER,kMcjEkmbDd,VAT,373.88 
[83395] ADD,kMcjEkmbDd,38365.57 
[83548] SET_SELL_TRIGGER,kMcjEkmbDd,EDV,101.58 
[83560] QUOTE,kMcjEkmbDd,LKV 
[83633] SET_BUY_TRIGGER,kMcjEkmbDd,XNZ,174.76 
[83690] ADD,kMcjEkmbDd,76545.46 
[83939] QUOTE,kMcjEkmbDd,TQX 
[83959] COMMIT_BUY,kMcjEkmbDd 
[84142] ADD,kMcjEkmbDd,36866.51 
[84244] BUY,kMcjEkmbDd,LVV,736.45 
[84273] COMMIT_BUY,kMcjEkmbDd 
[84339] ADD,kMcjEkmbDd,77666.02 
[84440] QUOTE,kMcjEkmbDd,NGB 
[84627] QUOTE,kMcjEkmbDd,DQW 
[84690] SET_BUY_AMOUNT,kMcjEkmbDd,NHG,576.80 
[84913] SET_BUY_TRIGGER,kMcjEkmbDd,PVH,544.13 
[84918] ADD,kMcjEkmbDd,48113.18 
[84948] QUOTE,kMcjEkmbDd,QEO 
[85263] DISPLAY_SUMMARY,kMcjEkmbDd 
[85475] DISPLAY_SUMMARY,kMcjEkmbDd 
[85550] SET_BUY_TRIGGER,kMcjEkmbDd,RFI,191.91 
[85765] SET_SELL_TRIGGER,kMcjEkmbDd,OAV,83.86 
[85836] SELL,kMcjEkmbDd,GYF,27.06 
[86178] CANCEL_BUY,kMcjEkmbDd 
[86263] DISPLAY_SUMMARY,kMcjEkmbDd 
[86360] SET_SELL_TRIGGER,kMcjEkmbDd,YTT,177.03 
[86552] SELL,kMcjEkmbDd,LFU,610.35 
[86585] CANCEL_SELL,kMcjEkmbDd 
[86626] ADD,kMcjEkmbDd,47798.17 
[86634] SELL,kMcjEkmbDd,QJZ,598.53 
[86643] CANCEL_SET_SELL,kMcjEkmbDd,IOM 
[86903] BUY,kMcjEkmbDd,HFI,196.52 
[86967] SET_SELL_AMOUNT,kMcjEkmbDd,CUZ,362.10 
[86969] SET_SELL_TRIGGER,kMcjEkmbDd,CUZ,344.87 
[87063] ADD,kMcjEkmbDd,59758.29 
[87355] QUOTE,kMcjEkmbDd,OSA 
[87406] SET_BUY_AMOUNT,kMcjEkmbDd,AVX,652.48 
[87452] CANCEL_SET_BUY,kMcjEkmbDd,LPB 
[87575] SET_BUY_TRIGGER,kMcjEkmbDd,CZQ,32.00 
[87672] SET_BUY_TRIGGER,kMcjEkmbDd,KGV,65.44 
[87866] QUOTE,kMcjEkmbDd,LSK 
[87983] BUY,kMcjEkmbDd,AOU,145.46 
[88105] COMMIT_BUY,kMcjEkmbDd 
[88177] SET_SELL_TRIGGER,kMcjEkmbDd,DDA,135.41 
[88204] CANCEL_SELL,kMcjEkmbDd 
[88215] BUY,kMcjEkmbDd,HEJ,113.41 
[88327] COMMIT_BUY,kMcjEkmbDd 
[88357] SET_SELL_AMOUNT,kMcjEkmbDd,FDI,62.81 
[88505] CANCEL_SET_SELL,kMcjEkmbDd,FDI 
[88574] SET_BUY_TRIGGER,kMcjEkmbDd,QJZ,15.61 
[88575] DISPLAY_SUMMARY,kMcjEkmbDd 
[88694] BUY,kMcjEkmbDd,GUB,245.56 
[88754] COMMIT_BUY,kMcjEkmbDd 
[88837] SET_BUY_AMOUNT,kMcjEkmbDd,BCQ,145.19 
[88995] SET_BUY_TRIGGER,kMcjEkmbDd,JTY,81.43 
[89419] ADD,kMcjEkmbDd,101590.66 
[89430] CANCEL_SELL,kMcjEkmbDd 
[89503] DISPLAY_SUMMARY,kMcjEkmbDd 
[89635] SELL,kMcjEkmbDd,MXD,677.71 
[89678] COMMIT_SELL,kMcjEkmbDd 
[89705] QUOTE,kMcjEkmbDd,KEO 
[89793] BUY,kMcjEkmbDd,DWC,543.41 
[89812] COMMIT_BUY,kMcjEkmbDd 
[89928] SET_BUY_TRIGGER,kMcjEkmbDd,NFV,29.24 
[90125] SET_BUY_AMOUNT,kMcjEkmbDd,FQP,43.93 
[90154] SET_BUY_TRIGGER,kMcjEkmbDd,TFZ,39.55 
[90159] SET_SELL_TRIGGER,kMcjEkmbDd,EDM,146.47 
[90195] QUOTE,kMcjEkmbDd,MHQ 
[90282] SET_BUY_AMOUNT,kMcjEkmbDd,IQJ,262.47 
[90394] SET_BUY_TRIGGER,kMcjEkmbDd,INB,197.97 
[90440] SET_BUY_TRIGGER,kMcjEkmbDd,SAN,158.86 
[90481] DISPLAY_SUMMARY,kMcjEkmbDd 
[90699] BUY,kMcjEkmbDd,PST,583.76 
[90701] COMMIT_BUY,kMcjEkmbDd 
[90746] QUOTE,kMcjEkmbDd,XEA 
[91256] COMMIT_BUY,kMcjEkmbDd 
[91353] SET_BUY_TRIGGER,kMcjEkmbDd,SON,21.65 
[91356] SET_BUY_TRIGGER,kMcjEkmbDd,TKV,88.80 
[91474] SELL,kMcjEkmbDd,YDS,667.70 
[91496] COMMIT_BUY,kMcjEkmbDd 
[91566] DISPLAY_SUMMARY,kMcjEkmbDd 
[91606] ADD,kMcjEkmbDd,74480.42 
[91638] BUY,kMcjEkmbDd,SPL,741.18 
[91674] CANCEL_SET_SELL,kMcjEkmbDd,QPX 
[91731] QUOTE,kMcjEkmbDd,NTT 
[91888] BUY,kMcjEkmbDd,XUH,251.93 
[92050] QUOTE,kMcjEkmbDd,LQN 
[92111] COMMIT_BUY,kMcjEkmbDd 
[92139] SELL,kMcjEkmbDd,YJK,386.24 
[92190] COMMIT_SELL,kMcjEkmbDd 
[92454] DISPLAY_SUMMARY,kMcjEkmbDd 
[92516] BUY,kMcjEkmbDd,CTT,44.02 
[92580] COMMIT_BUY,kMcjEkmbDd 
[92686] SET_BUY_TRIGGER,kMcjEkmbDd,XBL,32.73 
[92757] SELL,kMcjEkmbDd,TVI,186.93 
