[211] ADD,q0Qp5MF3CI,56949.71 
[42757] ADD,q0Qp5MF3CI,25307.46 
[42767] QUOTE,q0Qp5MF3CI,OOT 
[42933] SET_BUY_AMOUNT,q0Qp5MF3CI,DFE,579.00 
[43080] SET_BUY_TRIGGER,q0Qp5MF3CI,LHC,277.57 
[43379] DISPLAY_SUMMARY,q0Qp5MF3CI 
[43416] ADD,q0Qp5MF3CI,71000.22 
[43495] COMMIT_SELL,q0Qp5MF3CI 
[43819] SET_SELL_TRIGGER,q0Qp5MF3CI,NUL,38.92 
[43933] CANCEL_BUY,q0Qp5MF3CI 
[43969] SELL,q0Qp5MF3CI,LFU,545.16 
[44007] SET_BUY_AMOUNT,q0Qp5MF3CI,RUN,325.41 
[44092] CANCEL_SET_BUY,q0Qp5MF3CI,CIP 
[44142] QUOTE,q0Qp5MF3CI,KKI 
[44308] DISPLAY_SUMMARY,q0Qp5MF3CI 
[44357] SET_BUY_TRIGGER,q0Qp5MF3CI,IAV,73.45 
[44386] ADD,q0Qp5MF3CI,75367.01 
[44415] QUOTE,q0Qp5MF3CI,MFX 
[44419] QUOTE,q0Qp5MF3CI,KWP 
[44743] SET_BUY_TRIGGER,q0Qp5MF3CI,NLP,21.95 
[44810] BUY,q0Qp5MF3CI,XXQ,221.74 
[45017] CANCEL_SET_BUY,q0Qp5MF3CI,GTN 
[45113] COMMIT_BUY,q0Qp5MF3CI 
[45232] SET_SELL_TRIGGER,q0Qp5MF3CI,FMJ,59.51 
[45411] BUY,q0Qp5MF3CI,BUL,701.13 
[45474] COMMIT_BUY,q0Qp5MF3CI 
[45479] SET_SELL_TRIGGER,q0Qp5MF3CI,NFL,74.97 
[45537] SELL,q0Qp5MF3CI,JVT,664.74 
[45665] COMMIT_SELL,q0Qp5MF3CI 
[45704] SET_BUY_TRIGGER,q0Qp5MF3CI,YAV,187.29 
[45705] SET_BUY_TRIGGER,q0Qp5MF3CI,MIQ,98.85 
[45712] QUOTE,q0Qp5MF3CI,AHE 
[45849] ADD,q0Qp5MF3CI,61577.28 
[45861] BUY,q0Qp5MF3CI,EDV,468.76 
[45927] SET_SELL_TRIGGER,q0Qp5MF3CI,MWM,135.06 
[45972] BUY,q0Qp5MF3CI,OZO,188.74 
[46001] COMMIT_BUY,q0Qp5MF3CI 
[46046] ADD,q0Qp5MF3CI,68560.80 
[46065] QUOTE,q0Qp5MF3CI,DRO 
[46227] COMMIT_SELL,q0Qp5MF3CI 
[46634] BUY,q0Qp5MF3CI,SFO,398.79 
[46708] CANCEL_SELL,q0Qp5MF3CI 
[46726] QUOTE,q0Qp5MF3CI,SUS 
[46812] BUY,q0Qp5MF3CI,NTT,684.41 
[46827] COMMIT_SELL,q0Qp5MF3CI 
[46859] SET_BUY_AMOUNT,q0Qp5MF3CI,NHG,240.57 
[47390] SELL,q0Qp5MF3CI,QJZ,35.07 
[47736] QUOTE,q0Qp5MF3CI,ZER 
[47834] QUOTE,q0Qp5MF3CI,DGA 
[47866] CANCEL_SELL,q0Qp5MF3CI 
[48095] SET_SELL_TRIGGER,q0Qp5MF3CI,TVI,90.71 
[48108] QUOTE,q0Qp5MF3CI,SJG 
[48255] QUOTE,q0Qp5MF3CI,XER 
[48434] ADD,q0Qp5MF3CI,55502.63 
[48524] BUY,q0Qp5MF3CI,WGV,532.69 
[48540] CANCEL_BUY,q0Qp5MF3CI 
[48707] SET_BUY_AMOUNT,q0Qp5MF3CI,QAX,448.72 
[48760] DISPLAY_SUMMARY,q0Qp5MF3CI 
[48895] SET_BUY_TRIGGER,q0Qp5MF3CI,FUR,111.83 
[49222] SET_BUY_AMOUNT,q0Qp5MF3CI,EBS,239.13 
[49284] SET_BUY_TRIGGER,q0Qp5MF3CI,WYO,89.18 
[49453] SET_BUY_AMOUNT,q0Qp5MF3CI,OEY,338.47 
[49483] SET_BUY_TRIGGER,q0Qp5MF3CI,NTT,313.78 
[49492] ADD,q0Qp5MF3CI,74310.72 
[49516] BUY,q0Qp5MF3CI,NFO,368.17 
[49588] COMMIT_BUY,q0Qp5MF3CI 
[49611] ADD,q0Qp5MF3CI,80938.66 
[49748] BUY,q0Qp5MF3CI,ZEU,675.40 
[49840] COMMIT_BUY,q0Qp5MF3CI 
[49885] SELL,q0Qp5MF3CI,UBJ,366.15 
[49966] SET_SELL_TRIGGER,q0Qp5MF3CI,ZRJ,93.41 
[50039] COMMIT_SELL,q0Qp5MF3CI 
[50112] BUY,q0Qp5MF3CI,JNO,95.70 
[50207] COMMIT_BUY,q0Qp5MF3CI 
[50356] SET_SELL_AMOUNT,q0Qp5MF3CI,ZAN,412.00 
[50598] SET_SELL_TRIGGER,q0Qp5MF3CI,ZAN,109.35 
[50902] BUY,q0Qp5MF3CI,BJL,664.48 
[51000] CANCEL_SELL,q0Qp5MF3CI 
[51539] ADD,q0Qp5MF3CI,98760.67 
[51647] QUOTE,q0Qp5MF3CI,SMS 
[51660] BUY,q0Qp5MF3CI,RWY,714.63 
[51838] SET_SELL_AMOUNT,q0Qp5MF3CI,JZJ,404.18 
[51864] CANCEL_SET_SELL,q0Qp5MF3CI,JZJ 
[51964] SET_SELL_AMOUNT,q0Qp5MF3CI,UTV,193.60 
[52081] CANCEL_SET_SELL,q0Qp5MF3CI,UTV 
[52094] SET_SELL_AMOUNT,q0Qp5MF3CI,CSZ,630.41 
[52118] SET_SELL_TRIGGER,q0Qp5MF3CI,CSZ,464.94 
[52617] SELL,q0Qp5MF3CI,SSF,15.41 
[52677] COMMIT_SELL,q0Qp5MF3CI 
[52707] BUY,q0Qp5MF3CI,WJS,201.72 
[52762] BUY,q0Qp5MF3CI,MER,291.19 
[52987] CANCEL_SET_BUY,q0Qp5MF3CI,ECX 
[52989] ADD,q0Qp5MF3CI,84656.87 
[53052] BUY,q0Qp5MF3CI,SOT,557.49 
[53121] COMMIT_BUY,q0Qp5MF3CI 
[53386] SET_SELL_TRIGGER,q0Qp5MF3CI,XOM,78.60 
[53398] SET_BUY_TRIGGER,q0Qp5MF3CI,XER,106.61 
[53533] DISPLAY_SUMMARY,q0Qp5MF3CI 
[53890] ADD,q0Qp5MF3CI,62909.64 
[54069] DISPLAY_SUMMARY,q0Qp5MF3CI 
[54178] DISPLAY_SUMMARY,q0Qp5MF3CI 
[54488] SET_BUY_AMOUNT,q0Qp5MF3CI,ZTI,470.78 
[54598] SET_BUY_TRIGGER,q0Qp5MF3CI,DWC,321.43 
[54637] ADD,q0Qp5MF3CI,35359.94 
[54842] QUOTE,q0Qp5MF3CI,KHD 
[54974] BUY,q0Qp5MF3CI,AMI,8.49 
[55023] COMMIT_BUY,q0Qp5MF3CI 
[55089] DISPLAY_SUMMARY,q0Qp5MF3CI 
[55153] DISPLAY_SUMMARY,q0Qp5MF3CI 
[55161] ADD,q0Qp5MF3CI,95567.55 
[55181] BUY,q0Qp5MF3CI,PHU,740.40 
[55221] DISPLAY_SUMMARY,q0Qp5MF3CI 
[55256] SET_SELL_TRIGGER,q0Qp5MF3CI,KAF,77.85 
[55375] CANCEL_SET_SELL,q0Qp5MF3CI,JZJ 
[55409] QUOTE,q0Qp5MF3CI,RYU 
[55566] BUY,q0Qp5MF3CI,HPN,2.02 
[55581] QUOTE,q0Qp5MF3CI,JQG 
[56224] CANCEL_SET_SELL,q0Qp5MF3CI,OZO 
[56477] ADD,q0Qp5MF3CI,67667.77 
[56559] CANCEL_SET_SELL,q0Qp5MF3CI,ZWZ 
[56604] DISPLAY_SUMMARY,q0Qp5MF3CI 
[56658] SET_BUY_AMOUNT,q0Qp5MF3CI,QGE,688.16 
[56832] QUOTE,q0Qp5MF3CI,BPP 
[56962] BUY,q0Qp5MF3CI,PSJ,401.59 
[57063] CANCEL_SET_BUY,q0Qp5MF3CI,PBV 
[57100] ADD,q0Qp5MF3CI,61106.27 
[57233] SET_SELL_AMOUNT,q0Qp5MF3CI,CSZ,708.60 
[57266] SET_SELL_TRIGGER,q0Qp5MF3CI,CSZ,24.90 
[57666] SET_SELL_AMOUNT,q0Qp5MF3CI,VTY,599.38 
[57780] SET_SELL_TRIGGER,q0Qp5MF3CI,VTY,49.12 
[57867] BUY,q0Qp5MF3CI,IZS,7.87 
[57868] QUOTE,q0Qp5MF3CI,VVV 
[57918] BUY,q0Qp5MF3CI,URD,604.62 
[58025] COMMIT_BUY,q0Qp5MF3CI 
[58032] ADD,q0Qp5MF3CI,115827.98 
[58060] QUOTE,q0Qp5MF3CI,ASJ 
[58102] CANCEL_SET_SELL,q0Qp5MF3CI,HEJ 
[58205] SET_BUY_TRIGGER,q0Qp5MF3CI,DGA,183.61 
[58246] QUOTE,q0Qp5MF3CI,PXF 
[58308] BUY,q0Qp5MF3CI,NGB,7.33 
[58333] CANCEL_SET_SELL,q0Qp5MF3CI,OBR 
[58457] ADD,q0Qp5MF3CI,72824.01 
[58469] COMMIT_BUY,q0Qp5MF3CI 
[58547] SELL,q0Qp5MF3CI,ZTI,400.36 
[58559] CANCEL_SET_SELL,q0Qp5MF3CI,JCQ 
[58701] ADD,q0Qp5MF3CI,75109.79 
[58706] BUY,q0Qp5MF3CI,LHC,338.70 
[58717] COMMIT_BUY,q0Qp5MF3CI 
[58905] SELL,q0Qp5MF3CI,GRM,522.91 
[59005] CANCEL_SET_BUY,q0Qp5MF3CI,TJL 
[59047] ADD,q0Qp5MF3CI,68227.33 
[59103] BUY,q0Qp5MF3CI,UXP,97.24 
[59124] COMMIT_BUY,q0Qp5MF3CI 
[59160] QUOTE,q0Qp5MF3CI,GNY 
[59201] DISPLAY_SUMMARY,q0Qp5MF3CI 
[59236] ADD,q0Qp5MF3CI,70935.05 
[59524] BUY,q0Qp5MF3CI,PUU,576.82 
[59624] COMMIT_BUY,q0Qp5MF3CI 
[59627] QUOTE,q0Qp5MF3CI,FUR 
[59686] BUY,q0Qp5MF3CI,OXV,737.89 
[59690] QUOTE,q0Qp5MF3CI,HCN 
[59700] CANCEL_SET_SELL,q0Qp5MF3CI,FKZ 
[59782] SET_SELL_AMOUNT,q0Qp5MF3CI,CEC,605.44 
[59790] SET_SELL_TRIGGER,q0Qp5MF3CI,CEC,350.77 
[59807] SET_BUY_TRIGGER,q0Qp5MF3CI,CLQ,61.13 
[59932] SET_BUY_TRIGGER,q0Qp5MF3CI,PHJ,127.23 
[60229] BUY,q0Qp5MF3CI,GPC,96.35 
[60275] COMMIT_SELL,q0Qp5MF3CI 
[60592] SELL,q0Qp5MF3CI,YJK,314.99 
[60712] COMMIT_SELL,q0Qp5MF3CI 
[60892] CANCEL_SET_SELL,q0Qp5MF3CI,PZE 
[60932] DISPLAY_SUMMARY,q0Qp5MF3CI 
[60945] SET_SELL_TRIGGER,q0Qp5MF3CI,NLP,80.42 
[61298] ADD,q0Qp5MF3CI,55583.45 
[61368] QUOTE,q0Qp5MF3CI,MVI 
[61434] QUOTE,q0Qp5MF3CI,KBI 
[61479] QUOTE,q0Qp5MF3CI,OBR 
[61492] BUY,q0Qp5MF3CI,NEV,157.48 
[61520] CANCEL_BUY,q0Qp5MF3CI 
[61529] DISPLAY_SUMMARY,q0Qp5MF3CI 
[61628] SET_SELL_AMOUNT,q0Qp5MF3CI,CSZ,199.19 
[61662] SET_SELL_TRIGGER,q0Qp5MF3CI,CSZ,133.80 
[61694] ADD,q0Qp5MF3CI,68500.79 
[61727] BUY,q0Qp5MF3CI,FRB,363.54 
[61765] SELL,q0Qp5MF3CI,XLK,257.87 
[61821] COMMIT_BUY,q0Qp5MF3CI 
[61909] ADD,q0Qp5MF3CI,63197.68 
[61967] BUY,q0Qp5MF3CI,OWH,557.72 
[62138] CANCEL_SET_BUY,q0Qp5MF3CI,YDD 
[62141] QUOTE,q0Qp5MF3CI,LLD 
[62194] SET_SELL_TRIGGER,q0Qp5MF3CI,JIO,143.50 
[62372] SET_SELL_TRIGGER,q0Qp5MF3CI,EUM,155.77 
[62486] ADD,q0Qp5MF3CI,89891.02 
[62489] BUY,q0Qp5MF3CI,PXX,396.32 
[62529] COMMIT_BUY,q0Qp5MF3CI 
[62601] ADD,q0Qp5MF3CI,98433.21 
[62878] BUY,q0Qp5MF3CI,JXR,473.20 
[62893] COMMIT_BUY,q0Qp5MF3CI 
[62983] DISPLAY_SUMMARY,q0Qp5MF3CI 
[62999] COMMIT_SELL,q0Qp5MF3CI 
[63211] SET_SELL_TRIGGER,q0Qp5MF3CI,GAN,62.95 
[63302] SET_SELL_TRIGGER,q0Qp5MF3CI,MVY,106.78 
[63354] COMMIT_SELL,q0Qp5MF3CI 
[63540] SELL,q0Qp5MF3CI,MXD,566.00 
[63680] SET_BUY_AMOUNT,q0Qp5MF3CI,RUN,64.88 
[63698] SET_BUY_TRIGGER,q0Qp5MF3CI,QJZ,47.90 
[63827] SET_BUY_TRIGGER,q0Qp5MF3CI,WKD,177.69 
[63884] ADD,q0Qp5MF3CI,73980.33 
[63956] BUY,q0Qp5MF3CI,BZH,298.05 
[64262] QUOTE,q0Qp5MF3CI,LMO 
[64299] BUY,q0Qp5MF3CI,TKM,181.33 
[64309] CANCEL_SELL,q0Qp5MF3CI 
[64334] QUOTE,q0Qp5MF3CI,ZWC 
[64431] QUOTE,q0Qp5MF3CI,KRY 
[64572] SET_BUY_TRIGGER,q0Qp5MF3CI,XEA,81.70 
[64711] SET_BUY_AMOUNT,q0Qp5MF3CI,QAX,543.40 
[64949] CANCEL_SET_BUY,q0Qp5MF3CI,FUF 
[65063] SET_BUY_AMOUNT,q0Qp5MF3CI,CBO,165.82 
[65199] SET_BUY_TRIGGER,q0Qp5MF3CI,MLI,45.42 
[65519] BUY,q0Qp5MF3CI,JTY,224.19 
[65578] COMMIT_BUY,q0Qp5MF3CI 
[65593] QUOTE,q0Qp5MF3CI,YAV 
[65671] BUY,q0Qp5MF3CI,KAH,402.00 
[66022] COMMIT_BUY,q0Qp5MF3CI 
[66089] ADD,q0Qp5MF3CI,49891.82 
[66123] BUY,q0Qp5MF3CI,FPI,339.04 
[66243] CANCEL_SET_BUY,q0Qp5MF3CI,ADY 
[66364] SET_BUY_TRIGGER,q0Qp5MF3CI,AMI,69.28 
[66385] SET_BUY_TRIGGER,q0Qp5MF3CI,ENQ,125.43 
[66554] QUOTE,q0Qp5MF3CI,YEW 
[66717] QUOTE,q0Qp5MF3CI,RFI 
[66745] BUY,q0Qp5MF3CI,YAV,180.11 
[66954] COMMIT_BUY,q0Qp5MF3CI 
[66961] QUOTE,q0Qp5MF3CI,STO 
[66973] CANCEL_SET_BUY,q0Qp5MF3CI,RXO 
[67086] SET_BUY_AMOUNT,q0Qp5MF3CI,CBO,134.76 
[67406] SET_BUY_TRIGGER,q0Qp5MF3CI,NHG,42.28 
[67613] ADD,q0Qp5MF3CI,47972.22 
[68003] QUOTE,q0Qp5MF3CI,KYX 
[68107] BUY,q0Qp5MF3CI,VNO,169.39 
[68140] COMMIT_BUY,q0Qp5MF3CI 
[68347] BUY,q0Qp5MF3CI,KNM,669.41 
[68372] COMMIT_BUY,q0Qp5MF3CI 
[68532] DISPLAY_SUMMARY,q0Qp5MF3CI 
[68565] SET_SELL_TRIGGER,q0Qp5MF3CI,CXB,150.72 
[68586] SET_BUY_AMOUNT,q0Qp5MF3CI,JCQ,470.15 
[68597] QUOTE,q0Qp5MF3CI,SXB 
[68622] QUOTE,q0Qp5MF3CI,FKX 
[68667] ADD,q0Qp5MF3CI,76870.71 
[68806] CANCEL_SET_SELL,q0Qp5MF3CI,ZAN 
[68815] SELL,q0Qp5MF3CI,FQP,64.63 
[68903] QUOTE,q0Qp5MF3CI,OEY 
[68991] SELL,q0Qp5MF3CI,QJZ,525.61 
[69076] COMMIT_SELL,q0Qp5MF3CI 
[69470] BUY,q0Qp5MF3CI,LHC,694.07 
[69539] COMMIT_BUY,q0Qp5MF3CI 
[69664] SELL,q0Qp5MF3CI,QGE,33.21 
[69894] COMMIT_BUY,q0Qp5MF3CI 
[70065] DISPLAY_SUMMARY,q0Qp5MF3CI 
[70079] SET_SELL_AMOUNT,q0Qp5MF3CI,BYA,253.66 
[70128] SELL,q0Qp5MF3CI,UIE,18.79 
[70232] COMMIT_SELL,q0Qp5MF3CI 
[70252] DISPLAY_SUMMARY,q0Qp5MF3CI 
[70390] CANCEL_BUY,q0Qp5MF3CI 
[70533] SET_SELL_TRIGGER,q0Qp5MF3CI,BYA,138.39 
[70581] CANCEL_SET_SELL,q0Qp5MF3CI,IZJ 
[70639] ADD,q0Qp5MF3CI,69555.32 
[70792] QUOTE,q0Qp5MF3CI,QGN 
[70805] ADD,q0Qp5MF3CI,72651.98 
[71007] QUOTE,q0Qp5MF3CI,SEI 
[71023] SET_BUY_AMOUNT,q0Qp5MF3CI,TVI,582.05 
[71064] SET_BUY_TRIGGER,q0Qp5MF3CI,KGA,398.11 
[71364] ADD,q0Qp5MF3CI,69306.09 
[71535] QUOTE,q0Qp5MF3CI,YRO 
[71644] QUOTE,q0Qp5MF3CI,UTL 
[71686] SET_BUY_AMOUNT,q0Qp5MF3CI,BYA,264.23 
[71851] SET_BUY_TRIGGER,q0Qp5MF3CI,GJQ,211.92 
[71896] DISPLAY_SUMMARY,q0Qp5MF3CI 
[71913] ADD,q0Qp5MF3CI,70887.85 
[72145] BUY,q0Qp5MF3CI,HZP,320.41 
[72226] CANCEL_SET_SELL,q0Qp5MF3CI,RXO 
[72311] SET_BUY_TRIGGER,q0Qp5MF3CI,JEO,93.41 
[72508] SET_BUY_TRIGGER,q0Qp5MF3CI,KAR,125.01 
[72587] CANCEL_SET_BUY,q0Qp5MF3CI,SFO 
[72771] DISPLAY_SUMMARY,q0Qp5MF3CI 
[72799] QUOTE,q0Qp5MF3CI,KAO 
[72960] SET_SELL_TRIGGER,q0Qp5MF3CI,KVK,192.76 
[73043] SET_BUY_TRIGGER,q0Qp5MF3CI,MUN,102.62 
[73308] SET_BUY_TRIGGER,q0Qp5MF3CI,SSW,173.40 
[73403] SET_SELL_TRIGGER,q0Qp5MF3CI,JTX,106.29 
[73642] QUOTE,q0Qp5MF3CI,VMD 
[73706] QUOTE,q0Qp5MF3CI,IFU 
[73882] BUY,q0Qp5MF3CI,GMF,38.11 
[73908] COMMIT_BUY,q0Qp5MF3CI 
[73996] SET_SELL_AMOUNT,q0Qp5MF3CI,QAX,631.70 
[74182] SET_SELL_TRIGGER,q0Qp5MF3CI,QAX,470.25 
[74190] COMMIT_SELL,q0Qp5MF3CI 
[74327] QUOTE,q0Qp5MF3CI,PHJ 
[74420] BUY,q0Qp5MF3CI,PHJ,49.72 
[74473] ADD,q0Qp5MF3CI,49494.90 
[74565] QUOTE,q0Qp5MF3CI,LAW 
[74610] BUY,q0Qp5MF3CI,YEH,241.78 
[74636] COMMIT_BUY,q0Qp5MF3CI 
[74899] ADD,q0Qp5MF3CI,67484.81 
[75217] QUOTE,q0Qp5MF3CI,UTD 
[75292] BUY,q0Qp5MF3CI,CMA,444.89 
[75754] COMMIT_BUY,q0Qp5MF3CI 
[76084] DISPLAY_SUMMARY,q0Qp5MF3CI 
[76259] ADD,q0Qp5MF3CI,88061.87 
[76349] BUY,q0Qp5MF3CI,LVT,683.87 
[76472] QUOTE,q0Qp5MF3CI,UCG 
[76528] CANCEL_SET_SELL,q0Qp5MF3CI,VTY 
[76602] SET_SELL_AMOUNT,q0Qp5MF3CI,CEC,34.29 
[76680] SET_SELL_TRIGGER,q0Qp5MF3CI,CEC,33.73 
[76690] ADD,q0Qp5MF3CI,93421.92 
[76748] QUOTE,q0Qp5MF3CI,EOS 
[76897] BUY,q0Qp5MF3CI,QHF,275.94 
[76901] COMMIT_BUY,q0Qp5MF3CI 
[77053] SET_SELL_AMOUNT,q0Qp5MF3CI,BCQ,242.26 
[77099] SET_SELL_TRIGGER,q0Qp5MF3CI,BCQ,67.55 
[77351] QUOTE,q0Qp5MF3CI,JPP 
[77462] SET_BUY_TRIGGER,q0Qp5MF3CI,LZB,66.75 
[77469] ADD,q0Qp5MF3CI,72212.20 
[77768] BUY,q0Qp5MF3CI,SKC,607.57 
[77784] COMMIT_BUY,q0Qp5MF3CI 
[77816] BUY,q0Qp5MF3CI,YCH,681.09 
[77876] COMMIT_BUY,q0Qp5MF3CI 
[77983] BUY,q0Qp5MF3CI,PCR,689.85 
[78044] COMMIT_BUY,q0Qp5MF3CI 
[78065] DISPLAY_SUMMARY,q0Qp5MF3CI 
[78193] ADD,q0Qp5MF3CI,76404.95 
[78200] BUY,q0Qp5MF3CI,OOI,551.45 
[78302] QUOTE,q0Qp5MF3CI,XXN 
[78353] COMMIT_SELL,q0Qp5MF3CI 
[78367] SELL,q0Qp5MF3CI,CSZ,701.10 
[78608] SET_SELL_TRIGGER,q0Qp5MF3CI,ZQC,5.69 
[78660] QUOTE,q0Qp5MF3CI,UBJ 
[78733] BUY,q0Qp5MF3CI,DHA,713.90 
[78995] CANCEL_BUY,q0Qp5MF3CI 
[79078] SET_SELL_TRIGGER,q0Qp5MF3CI,PZE,177.44 
[79327] ADD,q0Qp5MF3CI,68497.39 
[79432] DISPLAY_SUMMARY,q0Qp5MF3CI 
[79444] ADD,q0Qp5MF3CI,87114.17 
[79582] BUY,q0Qp5MF3CI,GPW,440.60 
[79798] BUY,q0Qp5MF3CI,LLE,218.29 
[80078] COMMIT_BUY,q0Qp5MF3CI 
[80153] BUY,q0Qp5MF3CI,PDX,431.98 
[80284] SET_SELL_TRIGGER,q0Qp5MF3CI,QUT,80.90 
[80491] SET_BUY_TRIGGER,q0Qp5MF3CI,HFI,96.59 
[80673] DISPLAY_SUMMARY,q0Qp5MF3CI 
[80698] SELL,q0Qp5MF3CI,CBO,113.89 
[80842] CANCEL_SET_SELL,q0Qp5MF3CI,XUY 
[80907] ADD,q0Qp5MF3CI,57425.68 
[80909] BUY,q0Qp5MF3CI,JFF,743.91 
[81097] CANCEL_BUY,q0Qp5MF3CI 
[81239] DISPLAY_SUMMARY,q0Qp5MF3CI 
[81316] DISPLAY_SUMMARY,q0Qp5MF3CI 
[81366] DISPLAY_SUMMARY,q0Qp5MF3CI 
[81383] SELL,q0Qp5MF3CI,IQJ,219.30 
[81390] COMMIT_SELL,q0Qp5MF3CI 
[81487] QUOTE,q0Qp5MF3CI,WJP 
[81498] BUY,q0Qp5MF3CI,MFX,573.71 
[81557] COMMIT_BUY,q0Qp5MF3CI 
[81579] QUOTE,q0Qp5MF3CI,GPC 
[81582] BUY,q0Qp5MF3CI,NTB,594.22 
[81753] COMMIT_BUY,q0Qp5MF3CI 
[81905] QUOTE,q0Qp5MF3CI,GTX 
[81923] BUY,q0Qp5MF3CI,VFH,352.29 
[82006] COMMIT_BUY,q0Qp5MF3CI 
[82030] QUOTE,q0Qp5MF3CI,GJR 
[82088] BUY,q0Qp5MF3CI,BEG,65.23 
[82131] SELL,q0Qp5MF3CI,QJZ,33.42 
[82224] COMMIT_SELL,q0Qp5MF3CI 
[82430] SET_SELL_AMOUNT,q0Qp5MF3CI,QGE,729.47 
[82596] SELL,q0Qp5MF3CI,JQO,236.43 
[82601] CANCEL_SET_SELL,q0Qp5MF3CI,QGE 
[82701] COMMIT_SELL,q0Qp5MF3CI 
[82823] ADD,q0Qp5MF3CI,60763.70 
[82839] BUY,q0Qp5MF3CI,MER,169.51 
[82892] CANCEL_BUY,q0Qp5MF3CI 
[82943] BUY,q0Qp5MF3CI,HZA,614.26 
[82973] QUOTE,q0Qp5MF3CI,FOW 
[83090] BUY,q0Qp5MF3CI,QLM,302.37 
[83424] COMMIT_BUY,q0Qp5MF3CI 
[83520] SET_SELL_AMOUNT,q0Qp5MF3CI,CEC,301.31 
[83537] SET_SELL_TRIGGER,q0Qp5MF3CI,CEC,91.65 
[83556] DISPLAY_SUMMARY,q0Qp5MF3CI 
[83577] QUOTE,q0Qp5MF3CI,GUB 
[83627] QUOTE,q0Qp5MF3CI,GAN 
[83640] BUY,q0Qp5MF3CI,XME,576.31 
[83666] COMMIT_BUY,q0Qp5MF3CI 
[84082] SET_SELL_AMOUNT,q0Qp5MF3CI,XXQ,695.37 
[84111] SET_SELL_TRIGGER,q0Qp5MF3CI,XXQ,422.81 
[84119] SELL,q0Qp5MF3CI,JZJ,630.94 
[84177] COMMIT_SELL,q0Qp5MF3CI 
[84439] SET_SELL_AMOUNT,q0Qp5MF3CI,RNK,132.31 
[84441] SET_SELL_TRIGGER,q0Qp5MF3CI,RNK,126.94 
[84715] DISPLAY_SUMMARY,q0Qp5MF3CI 
[84841] BUY,q0Qp5MF3CI,VMT,10.72 
[84911] SET_SELL_AMOUNT,q0Qp5MF3CI,EBS,570.44 
[85047] SET_SELL_TRIGGER,q0Qp5MF3CI,EBS,276.94 
[85148] BUY,q0Qp5MF3CI,MJU,619.94 
[85180] COMMIT_BUY,q0Qp5MF3CI 
[85253] ADD,q0Qp5MF3CI,47792.25 
[85525] QUOTE,q0Qp5MF3CI,SQI 
[85594] BUY,q0Qp5MF3CI,ATE,138.39 
[85636] COMMIT_BUY,q0Qp5MF3CI 
[85683] CANCEL_SET_SELL,q0Qp5MF3CI,BJL 
[85731] SELL,q0Qp5MF3CI,UBJ,465.84 
[85761] QUOTE,q0Qp5MF3CI,BHJ 
[85882] ADD,q0Qp5MF3CI,72219.41 
[86028] CANCEL_SELL,q0Qp5MF3CI 
[86055] ADD,q0Qp5MF3CI,68070.03 
[86207] BUY,q0Qp5MF3CI,JEO,190.14 
[86487] CANCEL_BUY,q0Qp5MF3CI 
[86627] QUOTE,q0Qp5MF3CI,VGW 
[86702] SET_BUY_TRIGGER,q0Qp5MF3CI,CTT,119.15 
[86719] SET_BUY_TRIGGER,q0Qp5MF3CI,LLO,20.08 
[86751] DISPLAY_SUMMARY,q0Qp5MF3CI 
[87060] SET_SELL_AMOUNT,q0Qp5MF3CI,RNK,670.69 
[87157] QUOTE,q0Qp5MF3CI,TQX 
[87237] QUOTE,q0Qp5MF3CI,JIO 
[87245] QUOTE,q0Qp5MF3CI,DDA 
[87283] ADD,q0Qp5MF3CI,63985.86 
[87334] QUOTE,q0Qp5MF3CI,SJZ 
[87400] QUOTE,q0Qp5MF3CI,ZUV 
[87405] BUY,q0Qp5MF3CI,ZJQ,651.13 
[87440] BUY,q0Qp5MF3CI,YNH,735.84 
[87556] CANCEL_SELL,q0Qp5MF3CI 
[87588] CANCEL_SELL,q0Qp5MF3CI 
[87680] QUOTE,q0Qp5MF3CI,OKK 
[87824] QUOTE,q0Qp5MF3CI,FXT 
[87910] QUOTE,q0Qp5MF3CI,IFU 
[87916] COMMIT_BUY,q0Qp5MF3CI 
[88109] SELL,q0Qp5MF3CI,OPN,143.19 
[88172] QUOTE,q0Qp5MF3CI,KYT 
[88212] QUOTE,q0Qp5MF3CI,XII 
[88240] BUY,q0Qp5MF3CI,SON,717.21 
[88252] COMMIT_BUY,q0Qp5MF3CI 
[88282] BUY,q0Qp5MF3CI,XBE,428.86 
[88409] COMMIT_BUY,q0Qp5MF3CI 
[88458] SET_SELL_TRIGGER,q0Qp5MF3CI,RNK,283.79 
[88537] DISPLAY_SUMMARY,q0Qp5MF3CI 
[88617] ADD,q0Qp5MF3CI,86928.15 
[88663] SET_BUY_TRIGGER,q0Qp5MF3CI,TTY,0.78 
[88732] BUY,q0Qp5MF3CI,SAJ,89.85 
[88743] SET_BUY_AMOUNT,q0Qp5MF3CI,IFN,600.55 
[88869] SET_BUY_TRIGGER,q0Qp5MF3CI,DJD,208.67 
[88961] SET_SELL_TRIGGER,q0Qp5MF3CI,MWM,25.14 
[89076] DISPLAY_SUMMARY,q0Qp5MF3CI 
[89189] SET_SELL_AMOUNT,q0Qp5MF3CI,GYF,371.69 
[89212] QUOTE,q0Qp5MF3CI,ALV 
[89366] SET_BUY_AMOUNT,q0Qp5MF3CI,KES,571.36 
[89386] DISPLAY_SUMMARY,q0Qp5MF3CI 
