[46] ADD,U4jQmk30QS,86687.09 
[49020] BUY,U4jQmk30QS,IZJ,100.51 
[49037] COMMIT_BUY,U4jQmk30QS 
[49108] QUOTE,U4jQmk30QS,ZGR 
[49145] BUY,U4jQmk30QS,ETB,166.67 
[49531] COMMIT_BUY,U4jQmk30QS 
[49540] SET_BUY_TRIGGER,U4jQmk30QS,FGI,198.30 
[49546] SELL,U4jQmk30QS,PTP,77.13 
[49664] COMMIT_SELL,U4jQmk30QS 
[49677] ADD,U4jQmk30QS,59827.15 
[49802] QUOTE,U4jQmk30QS,YMG 
[49926] QUOTE,U4jQmk30QS,FCH 
[49933] SET_BUY_AMOUNT,U4jQmk30QS,JVT,179.61 
[49970] SET_BUY_TRIGGER,U4jQmk30QS,HZP,65.55 
[50359] ADD,U4jQmk30QS,40591.59 
[50373] SELL,U4jQmk30QS,YJK,261.10 
[50662] COMMIT_SELL,U4jQmk30QS 
[50697] DISPLAY_SUMMARY,U4jQmk30QS 
[50800] ADD,U4jQmk30QS,70474.55 
[50820] BUY,U4jQmk30QS,IPJ,695.65 
[50838] COMMIT_BUY,U4jQmk30QS 
[50965] SET_SELL_TRIGGER,U4jQmk30QS,JUJ,110.84 
[51019] CANCEL_SET_BUY,U4jQmk30QS,QGN 
[51095] DISPLAY_SUMMARY,U4jQmk30QS 
[51138] DISPLAY_SUMMARY,U4jQmk30QS 
[51148] SET_SELL_TRIGGER,U4jQmk30QS,PRJ,138.46 
[51326] DISPLAY_SUMMARY,U4jQmk30QS 
[51380] ADD,U4jQmk30QS,80895.81 
[51477] QUOTE,U4jQmk30QS,XNZ 
[51696] COMMIT_SELL,U4jQmk30QS 
[52182] SELL,U4jQmk30QS,KDA,261.74 
[52590] COMMIT_SELL,U4jQmk30QS 
[52599] SET_BUY_AMOUNT,U4jQmk30QS,EBS,527.26 
[52740] SET_BUY_TRIGGER,U4jQmk30QS,GGY,443.27 
[52940] ADD,U4jQmk30QS,65645.12 
[53125] BUY,U4jQmk30QS,ZZD,335.08 
[53126] COMMIT_BUY,U4jQmk30QS 
[53158] SET_SELL_TRIGGER,U4jQmk30QS,EOY,64.64 
[53320] ADD,U4jQmk30QS,49661.48 
[53580] QUOTE,U4jQmk30QS,XSS 
[53708] CANCEL_BUY,U4jQmk30QS 
[53752] ADD,U4jQmk30QS,81322.76 
[53815] QUOTE,U4jQmk30QS,ALM 
[53820] BUY,U4jQmk30QS,YUL,557.01 
[53825] CANCEL_SELL,U4jQmk30QS 
[53866] DISPLAY_SUMMARY,U4jQmk30QS 
[53932] SET_SELL_TRIGGER,U4jQmk30QS,PLA,142.43 
[54062] DISPLAY_SUMMARY,U4jQmk30QS 
[54072] SET_SELL_TRIGGER,U4jQmk30QS,IZS,136.79 
[54106] DISPLAY_SUMMARY,U4jQmk30QS 
[54155] DISPLAY_SUMMARY,U4jQmk30QS 
[54170] SELL,U4jQmk30QS,LFU,745.15 
[54185] CANCEL_SET_SELL,U4jQmk30QS,SNU 
[54582] BUY,U4jQmk30QS,NXU,412.63 
[54675] QUOTE,U4jQmk30QS,URD 
[54878] BUY,U4jQmk30QS,GDO,589.08 
[54893] BUY,U4jQmk30QS,GSW,414.00 
[54938] COMMIT_BUY,U4jQmk30QS 
[55006] SET_SELL_AMOUNT,U4jQmk30QS,BYA,597.91 
[55049] SET_SELL_TRIGGER,U4jQmk30QS,BYA,6.71 
[55331] QUOTE,U4jQmk30QS,AHO 
[55364] BUY,U4jQmk30QS,OOR,141.11 
[55440] QUOTE,U4jQmk30QS,DWF 
[55597] BUY,U4jQmk30QS,JVT,115.34 
[55763] COMMIT_BUY,U4jQmk30QS 
[55770] SET_BUY_TRIGGER,U4jQmk30QS,PRJ,114.30 
[55889] ADD,U4jQmk30QS,82074.19 
[55995] QUOTE,U4jQmk30QS,HHC 
[56001] ADD,U4jQmk30QS,72646.56 
[56168] BUY,U4jQmk30QS,CNN,158.52 
[56312] COMMIT_BUY,U4jQmk30QS 
[56480] DISPLAY_SUMMARY,U4jQmk30QS 
[56499] SET_BUY_AMOUNT,U4jQmk30QS,JZJ,512.40 
[56924] SET_BUY_TRIGGER,U4jQmk30QS,OAV,391.75 
[57053] SET_SELL_AMOUNT,U4jQmk30QS,XXQ,384.09 
[57061] SET_SELL_TRIGGER,U4jQmk30QS,XXQ,119.58 
[57079] SELL,U4jQmk30QS,RUN,256.57 
[57087] COMMIT_SELL,U4jQmk30QS 
[57258] BUY,U4jQmk30QS,ZYF,369.78 
[57341] CANCEL_BUY,U4jQmk30QS 
[57397] SET_BUY_TRIGGER,U4jQmk30QS,ZFJ,74.36 
[57402] SET_BUY_TRIGGER,U4jQmk30QS,FFZ,54.44 
[57429] SET_BUY_TRIGGER,U4jQmk30QS,HBF,190.04 
[57561] SET_BUY_TRIGGER,U4jQmk30QS,IGT,195.10 
[57713] SET_SELL_AMOUNT,U4jQmk30QS,QAX,392.06 
[57722] SET_SELL_TRIGGER,U4jQmk30QS,QAX,240.01 
[58014] ADD,U4jQmk30QS,73940.99 
[58160] BUY,U4jQmk30QS,AHO,216.98 
[58220] COMMIT_BUY,U4jQmk30QS 
[58376] ADD,U4jQmk30QS,89467.71 
[58486] QUOTE,U4jQmk30QS,RGH 
[58573] QUOTE,U4jQmk30QS,DJD 
[58729] COMMIT_SELL,U4jQmk30QS 
[58866] DISPLAY_SUMMARY,U4jQmk30QS 
[59050] SET_BUY_TRIGGER,U4jQmk30QS,PGV,96.41 
[59051] QUOTE,U4jQmk30QS,RRT 
[59073] QUOTE,U4jQmk30QS,SAR 
[59079] CANCEL_SET_BUY,U4jQmk30QS,JII 
[59092] COMMIT_SELL,U4jQmk30QS 
[59130] SET_BUY_AMOUNT,U4jQmk30QS,QAX,168.94 
[59154] SET_BUY_TRIGGER,U4jQmk30QS,KJH,59.16 
[59284] SET_BUY_AMOUNT,U4jQmk30QS,UBJ,303.47 
[59439] SET_BUY_TRIGGER,U4jQmk30QS,FQP,98.46 
[59445] ADD,U4jQmk30QS,78981.53 
[59553] COMMIT_SELL,U4jQmk30QS 
[59583] SELL,U4jQmk30QS,FDI,657.05 
[59848] CANCEL_SELL,U4jQmk30QS 
[59882] SET_SELL_TRIGGER,U4jQmk30QS,LMO,23.66 
[59909] DISPLAY_SUMMARY,U4jQmk30QS 
[59921] SET_BUY_AMOUNT,U4jQmk30QS,EBS,673.56 
[59967] BUY,U4jQmk30QS,PXF,604.65 
[59984] COMMIT_BUY,U4jQmk30QS 
[60425] ADD,U4jQmk30QS,32473.82 
[60611] QUOTE,U4jQmk30QS,FCH 
[60654] BUY,U4jQmk30QS,FQR,321.19 
[60756] COMMIT_BUY,U4jQmk30QS 
[60855] SELL,U4jQmk30QS,JVT,482.79 
[60890] ADD,U4jQmk30QS,63638.45 
[60980] COMMIT_BUY,U4jQmk30QS 
[61040] DISPLAY_SUMMARY,U4jQmk30QS 
[61182] ADD,U4jQmk30QS,80616.84 
[61380] BUY,U4jQmk30QS,IPH,141.40 
[61402] COMMIT_BUY,U4jQmk30QS 
[61407] ADD,U4jQmk30QS,67594.54 
[61853] QUOTE,U4jQmk30QS,IPJ 
[62124] QUOTE,U4jQmk30QS,IGT 
[62160] BUY,U4jQmk30QS,EMN,114.17 
[62260] COMMIT_BUY,U4jQmk30QS 
[62335] SET_BUY_AMOUNT,U4jQmk30QS,RUN,102.84 
[62382] SET_BUY_TRIGGER,U4jQmk30QS,AHE,0.09 
[62437] QUOTE,U4jQmk30QS,EYY 
[62490] SET_BUY_TRIGGER,U4jQmk30QS,JZJ,97.03 
[62556] ADD,U4jQmk30QS,62675.29 
[62707] QUOTE,U4jQmk30QS,FOW 
[62819] QUOTE,U4jQmk30QS,NDO 
[62833] BUY,U4jQmk30QS,GED,77.75 
[62852] CANCEL_SELL,U4jQmk30QS 
[63151] DISPLAY_SUMMARY,U4jQmk30QS 
[63207] SET_SELL_TRIGGER,U4jQmk30QS,IFI,29.20 
[63216] SELL,U4jQmk30QS,NHG,41.65 
[63534] CANCEL_BUY,U4jQmk30QS 
[63761] DISPLAY_SUMMARY,U4jQmk30QS 
[63924] SET_BUY_AMOUNT,U4jQmk30QS,EBS,521.94 
[64004] SET_BUY_TRIGGER,U4jQmk30QS,XFA,357.29 
[64083] SET_SELL_TRIGGER,U4jQmk30QS,KEV,125.56 
[64159] SET_BUY_AMOUNT,U4jQmk30QS,AVX,410.05 
[64194] SET_BUY_TRIGGER,U4jQmk30QS,QTH,322.14 
[64320] CANCEL_SET_SELL,U4jQmk30QS,HRJ 
[64321] SELL,U4jQmk30QS,SSF,423.89 
[64467] CANCEL_SELL,U4jQmk30QS 
[64845] BUY,U4jQmk30QS,COE,176.00 
[64880] COMMIT_BUY,U4jQmk30QS 
[64909] SELL,U4jQmk30QS,SUS,195.85 
[65085] COMMIT_SELL,U4jQmk30QS 
[65189] ADD,U4jQmk30QS,75333.25 
[65214] QUOTE,U4jQmk30QS,JKX 
[65303] SET_SELL_TRIGGER,U4jQmk30QS,XOP,59.12 
[65390] BUY,U4jQmk30QS,OEX,617.84 
[65566] COMMIT_SELL,U4jQmk30QS 
[65577] ADD,U4jQmk30QS,66709.17 
[65906] SET_BUY_AMOUNT,U4jQmk30QS,KDA,636.08 
[65911] SET_BUY_TRIGGER,U4jQmk30QS,OOI,508.56 
[66035] SET_SELL_AMOUNT,U4jQmk30QS,JRJ,45.27 
[66046] QUOTE,U4jQmk30QS,SFR 
[66140] DISPLAY_SUMMARY,U4jQmk30QS 
[66162] ADD,U4jQmk30QS,74692.34 
[66200] BUY,U4jQmk30QS,JTY,646.24 
[66274] CANCEL_SET_BUY,U4jQmk30QS,SJG 
[66310] BUY,U4jQmk30QS,JIC,623.71 
[66572] COMMIT_BUY,U4jQmk30QS 
[66631] ADD,U4jQmk30QS,75867.37 
[66659] QUOTE,U4jQmk30QS,KRY 
[66793] CANCEL_SET_BUY,U4jQmk30QS,GSW 
[66890] CANCEL_BUY,U4jQmk30QS 
[67097] ADD,U4jQmk30QS,65663.42 
[67191] QUOTE,U4jQmk30QS,LSM 
[67198] QUOTE,U4jQmk30QS,IDN 
[67266] BUY,U4jQmk30QS,GED,368.33 
[67305] CANCEL_BUY,U4jQmk30QS 
[67353] SET_SELL_TRIGGER,U4jQmk30QS,JRJ,44.38 
[67421] DISPLAY_SUMMARY,U4jQmk30QS 
[67470] CANCEL_SET_BUY,U4jQmk30QS,MXD 
[67538] ADD,U4jQmk30QS,73891.32 
[67544] QUOTE,U4jQmk30QS,SNU 
[67577] BUY,U4jQmk30QS,YCH,53.59 
[67703] SET_SELL_TRIGGER,U4jQmk30QS,XXT,111.53 
[67716] SET_SELL_TRIGGER,U4jQmk30QS,WPG,2.31 
[67743] DISPLAY_SUMMARY,U4jQmk30QS 
[67850] ADD,U4jQmk30QS,99699.03 
[68009] QUOTE,U4jQmk30QS,WNU 
[68151] QUOTE,U4jQmk30QS,FZB 
[68154] ADD,U4jQmk30QS,63013.44 
[68261] BUY,U4jQmk30QS,FNY,438.75 
[68373] CANCEL_SET_SELL,U4jQmk30QS,YTY 
[68544] SET_SELL_AMOUNT,U4jQmk30QS,BYA,202.14 
[68620] QUOTE,U4jQmk30QS,OBR 
[68649] SET_BUY_AMOUNT,U4jQmk30QS,AVX,406.43 
[68775] SET_BUY_TRIGGER,U4jQmk30QS,DDA,383.35 
[68923] DISPLAY_SUMMARY,U4jQmk30QS 
[69008] ADD,U4jQmk30QS,72649.44 
[69077] BUY,U4jQmk30QS,FQP,327.13 
[69138] BUY,U4jQmk30QS,KJH,116.54 
[69331] COMMIT_BUY,U4jQmk30QS 
[69558] SET_BUY_TRIGGER,U4jQmk30QS,ONI,136.67 
[69605] BUY,U4jQmk30QS,FYR,395.35 
[69643] SET_SELL_AMOUNT,U4jQmk30QS,CSZ,257.14 
[69839] SET_SELL_TRIGGER,U4jQmk30QS,CSZ,31.80 
[70038] ADD,U4jQmk30QS,63787.79 
[70059] BUY,U4jQmk30QS,JEO,289.07 
[70083] CANCEL_SELL,U4jQmk30QS 
[70136] QUOTE,U4jQmk30QS,ZSV 
[70296] BUY,U4jQmk30QS,OEN,201.12 
[70373] DISPLAY_SUMMARY,U4jQmk30QS 
[70437] SET_BUY_TRIGGER,U4jQmk30QS,VMT,39.15 
[70474] DISPLAY_SUMMARY,U4jQmk30QS 
[70646] DISPLAY_SUMMARY,U4jQmk30QS 
[70661] COMMIT_SELL,U4jQmk30QS 
[70768] QUOTE,U4jQmk30QS,BHH 
[70884] BUY,U4jQmk30QS,EBS,323.14 
[70975] CANCEL_SET_SELL,U4jQmk30QS,FUR 
[71035] ADD,U4jQmk30QS,67284.86 
[71478] QUOTE,U4jQmk30QS,JQO 
[71601] SET_BUY_TRIGGER,U4jQmk30QS,EYY,148.80 
[71692] ADD,U4jQmk30QS,70205.71 
[71767] BUY,U4jQmk30QS,BTD,570.59 
[71800] BUY,U4jQmk30QS,QOQ,311.23 
[71846] COMMIT_BUY,U4jQmk30QS 
[71932] SET_SELL_TRIGGER,U4jQmk30QS,CTT,161.80 
[71938] SET_BUY_AMOUNT,U4jQmk30QS,GYF,177.90 
[71946] SET_BUY_TRIGGER,U4jQmk30QS,OZT,58.21 
[72030] SET_SELL_TRIGGER,U4jQmk30QS,TSF,131.66 
[72223] QUOTE,U4jQmk30QS,JZJ 
[72312] BUY,U4jQmk30QS,PVZ,650.46 
[72640] COMMIT_BUY,U4jQmk30QS 
[72648] CANCEL_SELL,U4jQmk30QS 
[72709] CANCEL_BUY,U4jQmk30QS 
[72802] SET_BUY_TRIGGER,U4jQmk30QS,WSG,155.37 
[72946] DISPLAY_SUMMARY,U4jQmk30QS 
[73034] BUY,U4jQmk30QS,KBI,615.53 
[73252] BUY,U4jQmk30QS,LUT,231.77 
[73291] COMMIT_BUY,U4jQmk30QS 
[73324] ADD,U4jQmk30QS,68623.99 
[73336] QUOTE,U4jQmk30QS,RDN 
[73345] SET_BUY_TRIGGER,U4jQmk30QS,OBR,174.06 
[73392] SET_BUY_AMOUNT,U4jQmk30QS,EBS,741.09 
[73453] SET_BUY_TRIGGER,U4jQmk30QS,EIH,570.50 
[73462] BUY,U4jQmk30QS,PLA,485.94 
[73481] CANCEL_SELL,U4jQmk30QS 
[73855] ADD,U4jQmk30QS,59723.89 
[74208] SET_BUY_TRIGGER,U4jQmk30QS,KMV,141.09 
[74306] ADD,U4jQmk30QS,58706.96 
[74372] DISPLAY_SUMMARY,U4jQmk30QS 
[74458] CANCEL_SELL,U4jQmk30QS 
[74486] BUY,U4jQmk30QS,OQW,418.24 
[74638] COMMIT_BUY,U4jQmk30QS 
[74881] SELL,U4jQmk30QS,FQP,87.87 
[75022] COMMIT_SELL,U4jQmk30QS 
[75223] CANCEL_SET_SELL,U4jQmk30QS,IZJ 
[75432] SET_BUY_AMOUNT,U4jQmk30QS,LZV,563.49 
[75527] SELL,U4jQmk30QS,VTY,311.79 
[75633] COMMIT_SELL,U4jQmk30QS 
[75703] DISPLAY_SUMMARY,U4jQmk30QS 
[75890] DISPLAY_SUMMARY,U4jQmk30QS 
[75928] ADD,U4jQmk30QS,58793.56 
[76164] BUY,U4jQmk30QS,KVJ,329.83 
[76216] COMMIT_BUY,U4jQmk30QS 
[76236] SET_SELL_AMOUNT,U4jQmk30QS,UIE,334.12 
[76302] BUY,U4jQmk30QS,CBV,102.57 
[76317] QUOTE,U4jQmk30QS,ZFV 
[76384] SET_BUY_TRIGGER,U4jQmk30QS,QOD,181.60 
[76693] SET_BUY_TRIGGER,U4jQmk30QS,PBV,139.55 
[76977] ADD,U4jQmk30QS,51334.47 
[77022] QUOTE,U4jQmk30QS,AUT 
[77141] QUOTE,U4jQmk30QS,JIO 
[77188] ADD,U4jQmk30QS,88666.36 
[77203] BUY,U4jQmk30QS,WGV,643.34 
[77314] SET_BUY_AMOUNT,U4jQmk30QS,CSZ,177.69 
[77368] SET_BUY_TRIGGER,U4jQmk30QS,LEA,163.74 
[77509] ADD,U4jQmk30QS,64588.77 
[77568] BUY,U4jQmk30QS,NJB,641.19 
[77574] COMMIT_BUY,U4jQmk30QS 
[77746] SET_SELL_AMOUNT,U4jQmk30QS,QJZ,674.45 
[77751] SET_SELL_TRIGGER,U4jQmk30QS,QJZ,296.69 
[77822] SET_SELL_AMOUNT,U4jQmk30QS,ZAN,542.17 
[77924] SET_SELL_TRIGGER,U4jQmk30QS,ZAN,205.13 
[77979] ADD,U4jQmk30QS,64670.48 
[77993] BUY,U4jQmk30QS,RRT,137.88 
[78010] COMMIT_BUY,U4jQmk30QS 
[78048] ADD,U4jQmk30QS,76768.59 
[78049] BUY,U4jQmk30QS,WKD,400.62 
[78141] COMMIT_BUY,U4jQmk30QS 
[78399] ADD,U4jQmk30QS,83015.79 
[78417] CANCEL_SELL,U4jQmk30QS 
[78456] DISPLAY_SUMMARY,U4jQmk30QS 
[78524] ADD,U4jQmk30QS,77403.45 
[78719] QUOTE,U4jQmk30QS,YIU 
[78766] BUY,U4jQmk30QS,VAT,35.47 
[78850] CANCEL_BUY,U4jQmk30QS 
[78963] DISPLAY_SUMMARY,U4jQmk30QS 
[79112] BUY,U4jQmk30QS,RXB,274.62 
[79130] COMMIT_BUY,U4jQmk30QS 
[79338] QUOTE,U4jQmk30QS,KXF 
[79518] CANCEL_SET_SELL,U4jQmk30QS,XBL 
[79544] DISPLAY_SUMMARY,U4jQmk30QS 
[79556] SELL,U4jQmk30QS,KYX,423.58 
[79576] DISPLAY_SUMMARY,U4jQmk30QS 
[79668] ADD,U4jQmk30QS,69793.42 
[79810] CANCEL_SET_SELL,U4jQmk30QS,LZB 
[79887] BUY,U4jQmk30QS,CBV,717.78 
[79921] COMMIT_BUY,U4jQmk30QS 
[80016] SET_SELL_AMOUNT,U4jQmk30QS,SUS,680.64 
[80123] BUY,U4jQmk30QS,JTX,713.01 
[80140] COMMIT_BUY,U4jQmk30QS 
[80286] SET_SELL_TRIGGER,U4jQmk30QS,SUS,148.11 
[80435] QUOTE,U4jQmk30QS,DED 
[80501] BUY,U4jQmk30QS,XWZ,294.08 
[80510] SET_BUY_TRIGGER,U4jQmk30QS,LSW,69.17 
[80574] QUOTE,U4jQmk30QS,BTA 
[80589] SET_BUY_TRIGGER,U4jQmk30QS,JNO,19.27 
[80645] SET_SELL_TRIGGER,U4jQmk30QS,PXS,52.79 
[80679] QUOTE,U4jQmk30QS,GIX 
[80752] ADD,U4jQmk30QS,89259.12 
[80814] QUOTE,U4jQmk30QS,QZN 
[80871] SET_SELL_TRIGGER,U4jQmk30QS,MQP,173.14 
[80902] BUY,U4jQmk30QS,XXN,543.04 
[80993] COMMIT_BUY,U4jQmk30QS 
[81071] ADD,U4jQmk30QS,55593.16 
[81109] BUY,U4jQmk30QS,XBL,229.32 
[81218] BUY,U4jQmk30QS,CWA,16.76 
[81274] DISPLAY_SUMMARY,U4jQmk30QS 
[81471] QUOTE,U4jQmk30QS,FFN 
[81590] BUY,U4jQmk30QS,IZS,340.08 
[81641] ADD,U4jQmk30QS,64230.62 
[81657] CANCEL_SET_SELL,U4jQmk30QS,QTH 
[81750] SET_SELL_AMOUNT,U4jQmk30QS,TVI,342.50 
[81825] SET_SELL_TRIGGER,U4jQmk30QS,TVI,230.35 
[82233] DISPLAY_SUMMARY,U4jQmk30QS 
[82320] DISPLAY_SUMMARY,U4jQmk30QS 
[82375] SET_BUY_TRIGGER,U4jQmk30QS,PST,88.97 
[82421] SET_SELL_AMOUNT,U4jQmk30QS,SSF,212.63 
[82434] SET_SELL_TRIGGER,U4jQmk30QS,SSF,137.86 
[82561] BUY,U4jQmk30QS,SSL,370.96 
[82590] COMMIT_SELL,U4jQmk30QS 
[82970] ADD,U4jQmk30QS,57850.66 
[83082] BUY,U4jQmk30QS,GTB,113.90 
[83114] SELL,U4jQmk30QS,CBO,488.94 
[83169] COMMIT_SELL,U4jQmk30QS 
[83193] DISPLAY_SUMMARY,U4jQmk30QS 
[83202] ADD,U4jQmk30QS,72769.59 
[83274] QUOTE,U4jQmk30QS,NUL 
[83284] CANCEL_SELL,U4jQmk30QS 
[83420] SELL,U4jQmk30QS,AVX,336.96 
[83525] CANCEL_SET_BUY,U4jQmk30QS,HPN 
[83580] DISPLAY_SUMMARY,U4jQmk30QS 
[83644] SELL,U4jQmk30QS,ZTI,98.82 
[83775] SET_BUY_AMOUNT,U4jQmk30QS,SSF,180.96 
[83831] SET_BUY_TRIGGER,U4jQmk30QS,FLD,166.42 
[83933] DISPLAY_SUMMARY,U4jQmk30QS 
[84205] SET_SELL_AMOUNT,U4jQmk30QS,SQI,719.75 
[84213] SET_SELL_TRIGGER,U4jQmk30QS,SQI,501.96 
[84301] SET_SELL_AMOUNT,U4jQmk30QS,FDI,434.35 
[84390] SET_SELL_TRIGGER,U4jQmk30QS,FDI,53.55 
[84396] SET_BUY_AMOUNT,U4jQmk30QS,YDS,197.48 
[84530] SET_BUY_TRIGGER,U4jQmk30QS,GLO,122.00 
[84938] ADD,U4jQmk30QS,57567.30 
[84980] BUY,U4jQmk30QS,OIY,246.32 
[85036] QUOTE,U4jQmk30QS,GFN 
[85151] QUOTE,U4jQmk30QS,YOG 
[85157] BUY,U4jQmk30QS,BSZ,328.70 
[85161] CANCEL_BUY,U4jQmk30QS 
[85178] ADD,U4jQmk30QS,49188.37 
[85187] QUOTE,U4jQmk30QS,URY 
[85281] QUOTE,U4jQmk30QS,VOU 
[85419] COMMIT_SELL,U4jQmk30QS 
[85691] DISPLAY_SUMMARY,U4jQmk30QS 
[85759] COMMIT_SELL,U4jQmk30QS 
[85848] QUOTE,U4jQmk30QS,KPP 
[85891] CANCEL_SET_SELL,U4jQmk30QS,JQJ 
[85895] ADD,U4jQmk30QS,67077.72 
[85912] COMMIT_SELL,U4jQmk30QS 
[86000] ADD,U4jQmk30QS,94371.10 
[86187] BUY,U4jQmk30QS,ZMS,22.76 
[86328] SET_BUY_AMOUNT,U4jQmk30QS,IFN,456.38 
[86387] SET_BUY_TRIGGER,U4jQmk30QS,MIU,48.97 
[86451] SET_SELL_TRIGGER,U4jQmk30QS,NHG,182.76 
[86555] ADD,U4jQmk30QS,73791.54 
[86594] CANCEL_SELL,U4jQmk30QS 
[86644] SET_SELL_AMOUNT,U4jQmk30QS,LZV,86.13 
[86645] SET_SELL_TRIGGER,U4jQmk30QS,LZV,73.94 
[86727] CANCEL_SELL,U4jQmk30QS 
[86916] BUY,U4jQmk30QS,IPJ,613.68 
[87206] COMMIT_BUY,U4jQmk30QS 
[87728] ADD,U4jQmk30QS,85660.68 
[87981] QUOTE,U4jQmk30QS,NZS 
[88018] QUOTE,U4jQmk30QS,DKV 
[88023] QUOTE,U4jQmk30QS,GDO 
[88162] QUOTE,U4jQmk30QS,RQF 
[88385] ADD,U4jQmk30QS,75056.39 
[88529] QUOTE,U4jQmk30QS,VSE 
[88548] SET_BUY_AMOUNT,U4jQmk30QS,LZV,348.56 
[88678] SELL,U4jQmk30QS,JZJ,32.12 
[88684] SET_SELL_TRIGGER,U4jQmk30QS,TFZ,127.59 
[88725] ADD,U4jQmk30QS,79182.07 
[88762] QUOTE,U4jQmk30QS,HSH 
[88838] BUY,U4jQmk30QS,LVV,442.22 
[88850] CANCEL_SELL,U4jQmk30QS 
[89059] ADD,U4jQmk30QS,72682.86 
[89202] QUOTE,U4jQmk30QS,SON 
[89621] QUOTE,U4jQmk30QS,YBB 
[89659] DISPLAY_SUMMARY,U4jQmk30QS 
[89669] ADD,U4jQmk30QS,84994.70 
[89724] BUY,U4jQmk30QS,QJC,107.13 
[89841] SELL,U4jQmk30QS,RNK,188.30 
[89862] COMMIT_SELL,U4jQmk30QS 
[89891] SET_BUY_TRIGGER,U4jQmk30QS,BWL,218.79 
[89909] ADD,U4jQmk30QS,66584.45 
[90132] QUOTE,U4jQmk30QS,PYB 
[90137] BUY,U4jQmk30QS,PRJ,664.05 
[90197] ADD,U4jQmk30QS,37385.01 
[90216] BUY,U4jQmk30QS,JIO,406.13 
[90256] COMMIT_BUY,U4jQmk30QS 
[90350] SET_SELL_TRIGGER,U4jQmk30QS,YMG,3.72 
[90441] QUOTE,U4jQmk30QS,JFJ 
[90630] QUOTE,U4jQmk30QS,PMG 
[90775] SET_BUY_TRIGGER,U4jQmk30QS,MWB,114.47 
[90859] SELL,U4jQmk30QS,GRM,423.98 
[91034] CANCEL_BUY,U4jQmk30QS 
[91116] SET_BUY_TRIGGER,U4jQmk30QS,LPB,117.55 
[91122] ADD,U4jQmk30QS,66785.17 
[91163] QUOTE,U4jQmk30QS,UGG 
[91253] ADD,U4jQmk30QS,82082.74 
[91300] QUOTE,U4jQmk30QS,KJD 
[91552] DISPLAY_SUMMARY,U4jQmk30QS 
[91558] SET_SELL_AMOUNT,U4jQmk30QS,FQP,349.37 
[91671] CANCEL_SET_SELL,U4jQmk30QS,FQP 
[91678] QUOTE,U4jQmk30QS,BZX 
[91750] BUY,U4jQmk30QS,MQH,583.74 
[91779] SET_BUY_TRIGGER,U4jQmk30QS,WKG,194.12 
[91834] SELL,U4jQmk30QS,JZJ,650.21 
[92155] COMMIT_SELL,U4jQmk30QS 
[92160] BUY,U4jQmk30QS,ZHB,684.05 
[92187] COMMIT_SELL,U4jQmk30QS 
[92273] COMMIT_SELL,U4jQmk30QS 
[92336] ADD,U4jQmk30QS,114519.50 
[92359] BUY,U4jQmk30QS,PYM,123.05 
[92479] COMMIT_BUY,U4jQmk30QS 
[92497] SET_BUY_TRIGGER,U4jQmk30QS,XER,188.16 
[92522] SELL,U4jQmk30QS,KYX,685.49 
[92578] COMMIT_SELL,U4jQmk30QS 
[92660] SET_BUY_AMOUNT,U4jQmk30QS,QAX,734.12 
[92908] SET_BUY_TRIGGER,U4jQmk30QS,LTB,129.11 
[93020] ADD,U4jQmk30QS,74684.25 
[93090] SET_SELL_AMOUNT,U4jQmk30QS,KDA,98.56 
[93102] QUOTE,U4jQmk30QS,WZY 
[93196] QUOTE,U4jQmk30QS,JEA 
[93332] DISPLAY_SUMMARY,U4jQmk30QS 
[93372] BUY,U4jQmk30QS,VTY,688.09 
[93580] CANCEL_BUY,U4jQmk30QS 
[93738] BUY,U4jQmk30QS,PBX,445.31 
[93858] COMMIT_SELL,U4jQmk30QS 
[93894] SET_SELL_TRIGGER,U4jQmk30QS,KDA,95.38 
[94026] ADD,U4jQmk30QS,42016.18 
[94089] BUY,U4jQmk30QS,VJV,732.13 
[94162] CANCEL_SELL,U4jQmk30QS 
[94250] SELL,U4jQmk30QS,CEC,503.23 
[94307] QUOTE,U4jQmk30QS,GAN 
[94408] QUOTE,U4jQmk30QS,DIX 
[94508] QUOTE,U4jQmk30QS,ZFV 
[94638] CANCEL_SET_BUY,U4jQmk30QS,SEW 
[94710] BUY,U4jQmk30QS,ZWC,610.24 
[94949] CANCEL_SET_SELL,U4jQmk30QS,NNW 
[95051] BUY,U4jQmk30QS,RDK,701.73 
[95168] COMMIT_BUY,U4jQmk30QS 
[95182] SET_BUY_AMOUNT,U4jQmk30QS,ZTI,604.24 
[95234] CANCEL_SET_BUY,U4jQmk30QS,EGX 
[95498] DISPLAY_SUMMARY,U4jQmk30QS 
[95544] DISPLAY_SUMMARY,U4jQmk30QS 
[95643] ADD,U4jQmk30QS,82844.83 
[95695] QUOTE,U4jQmk30QS,LLZ 
[95744] COMMIT_BUY,U4jQmk30QS 
[95929] QUOTE,U4jQmk30QS,JIO 
[96001] COMMIT_SELL,U4jQmk30QS 
[96015] SET_BUY_TRIGGER,U4jQmk30QS,IQJ,63.46 
[96314] SET_SELL_AMOUNT,U4jQmk30QS,SSF,746.72 
[96340] BUY,U4jQmk30QS,ZPD,380.27 
[96367] QUOTE,U4jQmk30QS,FKZ 
[96410] ADD,U4jQmk30QS,80277.46 
