[8] ADD,n4E566ZogW,74837.72 
[52925] SET_BUY_TRIGGER,n4E566ZogW,LJZ,0.76 
[52960] BUY,n4E566ZogW,PXS,115.47 
[53070] COMMIT_BUY,n4E566ZogW 
[53100] DISPLAY_SUMMARY,n4E566ZogW 
[53101] SELL,n4E566ZogW,VTY,336.51 
[53288] COMMIT_SELL,n4E566ZogW 
[53309] QUOTE,n4E566ZogW,NGZ 
[53319] SET_BUY_AMOUNT,n4E566ZogW,KES,736.27 
[53433] SET_BUY_TRIGGER,n4E566ZogW,XDN,211.07 
[53493] BUY,n4E566ZogW,UTD,209.90 
[53683] COMMIT_BUY,n4E566ZogW 
[53734] DISPLAY_SUMMARY,n4E566ZogW 
[53804] QUOTE,n4E566ZogW,VEE 
[53925] SET_BUY_TRIGGER,n4E566ZogW,WKG,164.22 
[53933] BUY,n4E566ZogW,SQI,162.78 
[53954] COMMIT_BUY,n4E566ZogW 
[53973] BUY,n4E566ZogW,CWA,678.89 
[53989] COMMIT_BUY,n4E566ZogW 
[54020] SELL,n4E566ZogW,VTY,284.36 
[54284] SET_SELL_TRIGGER,n4E566ZogW,DLX,74.32 
[54346] QUOTE,n4E566ZogW,GCW 
[54477] QUOTE,n4E566ZogW,RQS 
[54520] SET_SELL_TRIGGER,n4E566ZogW,XOP,98.28 
[54604] ADD,n4E566ZogW,90857.83 
[54640] SELL,n4E566ZogW,MFX,444.09 
[54745] COMMIT_SELL,n4E566ZogW 
[54754] DISPLAY_SUMMARY,n4E566ZogW 
[54912] QUOTE,n4E566ZogW,JKX 
[54977] BUY,n4E566ZogW,DJD,170.64 
[55054] SET_SELL_TRIGGER,n4E566ZogW,KMV,18.73 
[55083] ADD,n4E566ZogW,57956.81 
[55159] QUOTE,n4E566ZogW,PGV 
[55166] BUY,n4E566ZogW,WAI,327.77 
[55404] COMMIT_BUY,n4E566ZogW 
[55909] ADD,n4E566ZogW,56854.81 
[55944] BUY,n4E566ZogW,WJB,572.21 
[55996] SET_SELL_AMOUNT,n4E566ZogW,CUZ,693.67 
[56095] SET_SELL_TRIGGER,n4E566ZogW,CUZ,496.39 
[56139] SET_BUY_TRIGGER,n4E566ZogW,KXF,107.49 
[56254] CANCEL_SET_SELL,n4E566ZogW,ZFK 
[56333] SET_SELL_AMOUNT,n4E566ZogW,BYA,682.47 
[56521] SET_SELL_TRIGGER,n4E566ZogW,BYA,357.35 
[56847] COMMIT_BUY,n4E566ZogW 
[56989] ADD,n4E566ZogW,75899.37 
[57085] QUOTE,n4E566ZogW,BCQ 
[57201] BUY,n4E566ZogW,WCY,672.30 
[57346] COMMIT_BUY,n4E566ZogW 
[57370] BUY,n4E566ZogW,MOF,275.48 
[57497] COMMIT_BUY,n4E566ZogW 
[57736] QUOTE,n4E566ZogW,EVR 
[57857] DISPLAY_SUMMARY,n4E566ZogW 
[57956] DISPLAY_SUMMARY,n4E566ZogW 
[58385] SET_SELL_TRIGGER,n4E566ZogW,TOL,110.58 
[58386] SELL,n4E566ZogW,SSF,33.28 
[58534] DISPLAY_SUMMARY,n4E566ZogW 
[58602] ADD,n4E566ZogW,79029.11 
[58627] SELL,n4E566ZogW,OPN,131.51 
[58925] COMMIT_SELL,n4E566ZogW 
[59011] BUY,n4E566ZogW,XXQ,579.39 
[59207] COMMIT_BUY,n4E566ZogW 
[59257] SET_SELL_AMOUNT,n4E566ZogW,JCQ,364.56 
[59423] SET_SELL_TRIGGER,n4E566ZogW,JCQ,189.44 
[59457] ADD,n4E566ZogW,49106.58 
[59486] QUOTE,n4E566ZogW,XWZ 
[59554] QUOTE,n4E566ZogW,NZS 
[59557] SET_BUY_AMOUNT,n4E566ZogW,ZYR,457.82 
[59634] SET_BUY_TRIGGER,n4E566ZogW,NLP,341.61 
[59817] QUOTE,n4E566ZogW,GYT 
[59824] CANCEL_SET_BUY,n4E566ZogW,MLI 
[59889] ADD,n4E566ZogW,76643.91 
[59897] BUY,n4E566ZogW,KWP,378.59 
[60077] CANCEL_BUY,n4E566ZogW 
[60121] QUOTE,n4E566ZogW,JUJ 
[60167] COMMIT_SELL,n4E566ZogW 
[60176] DISPLAY_SUMMARY,n4E566ZogW 
[60196] ADD,n4E566ZogW,70662.78 
[60600] QUOTE,n4E566ZogW,WBX 
[60800] SELL,n4E566ZogW,UIE,462.74 
[60951] COMMIT_BUY,n4E566ZogW 
[61094] BUY,n4E566ZogW,BVN,179.43 
[61152] COMMIT_BUY,n4E566ZogW 
[61158] QUOTE,n4E566ZogW,RUN 
[61186] BUY,n4E566ZogW,WZM,91.45 
[61192] CANCEL_SET_BUY,n4E566ZogW,SON 
[61361] DISPLAY_SUMMARY,n4E566ZogW 
[61550] SET_BUY_AMOUNT,n4E566ZogW,GYF,346.65 
[61764] SET_BUY_TRIGGER,n4E566ZogW,PDX,206.69 
[61864] ADD,n4E566ZogW,69624.90 
[61978] BUY,n4E566ZogW,OTQ,573.04 
[62091] QUOTE,n4E566ZogW,EJW 
[62142] COMMIT_BUY,n4E566ZogW 
[62143] CANCEL_BUY,n4E566ZogW 
[62464] ADD,n4E566ZogW,51777.91 
[62524] DISPLAY_SUMMARY,n4E566ZogW 
[62674] CANCEL_SELL,n4E566ZogW 
[62788] ADD,n4E566ZogW,70357.59 
[62960] CANCEL_SELL,n4E566ZogW 
[62962] SET_SELL_AMOUNT,n4E566ZogW,ZAN,166.82 
[63048] SET_SELL_TRIGGER,n4E566ZogW,ZAN,35.51 
[63143] ADD,n4E566ZogW,63842.60 
[63220] QUOTE,n4E566ZogW,HMR 
[63234] QUOTE,n4E566ZogW,WRJ 
[63268] BUY,n4E566ZogW,KCA,185.19 
[63304] COMMIT_BUY,n4E566ZogW 
[63527] SET_BUY_AMOUNT,n4E566ZogW,EBS,676.38 
[63922] SET_BUY_TRIGGER,n4E566ZogW,OKK,205.09 
[63939] ADD,n4E566ZogW,67740.52 
[63974] BUY,n4E566ZogW,RWM,532.61 
[64002] COMMIT_BUY,n4E566ZogW 
[64063] ADD,n4E566ZogW,61643.13 
[64106] CANCEL_BUY,n4E566ZogW 
[64240] CANCEL_BUY,n4E566ZogW 
[64292] ADD,n4E566ZogW,74108.66 
[64347] QUOTE,n4E566ZogW,NFO 
[64415] QUOTE,n4E566ZogW,ZRJ 
[64600] BUY,n4E566ZogW,HCN,392.19 
[64602] QUOTE,n4E566ZogW,XZO 
[64710] QUOTE,n4E566ZogW,QQI 
[64714] SET_SELL_TRIGGER,n4E566ZogW,SCK,108.10 
[64874] BUY,n4E566ZogW,IEQ,181.93 
[65003] SET_BUY_AMOUNT,n4E566ZogW,NHG,88.68 
[65045] BUY,n4E566ZogW,MIU,415.08 
[65093] COMMIT_BUY,n4E566ZogW 
[65267] DISPLAY_SUMMARY,n4E566ZogW 
[65374] QUOTE,n4E566ZogW,PXS 
[65487] BUY,n4E566ZogW,KDG,724.97 
[65526] COMMIT_BUY,n4E566ZogW 
[65538] SET_SELL_TRIGGER,n4E566ZogW,SIK,175.21 
[65575] COMMIT_BUY,n4E566ZogW 
[65653] QUOTE,n4E566ZogW,MAX 
[65679] QUOTE,n4E566ZogW,POE 
[65741] BUY,n4E566ZogW,WQC,527.44 
[65816] COMMIT_BUY,n4E566ZogW 
[65833] SET_SELL_AMOUNT,n4E566ZogW,CEC,615.14 
[65969] SET_SELL_TRIGGER,n4E566ZogW,CEC,497.51 
[66083] SET_SELL_TRIGGER,n4E566ZogW,IFN,83.80 
[66164] SELL,n4E566ZogW,JZJ,445.68 
[66175] CANCEL_BUY,n4E566ZogW 
[66240] SET_BUY_TRIGGER,n4E566ZogW,PIE,88.12 
[66329] QUOTE,n4E566ZogW,WXV 
[66439] ADD,n4E566ZogW,96075.32 
[66517] SET_BUY_TRIGGER,n4E566ZogW,FFZ,105.29 
[66551] SET_SELL_TRIGGER,n4E566ZogW,GYF,154.03 
[66633] SELL,n4E566ZogW,CBO,664.85 
[66651] CANCEL_SELL,n4E566ZogW 
[66741] SET_BUY_TRIGGER,n4E566ZogW,HSH,194.15 
[67126] DISPLAY_SUMMARY,n4E566ZogW 
[67133] CANCEL_BUY,n4E566ZogW 
[67183] DISPLAY_SUMMARY,n4E566ZogW 
[67261] SET_BUY_AMOUNT,n4E566ZogW,MFX,313.26 
[67269] CANCEL_SET_BUY,n4E566ZogW,OEM 
[67283] SELL,n4E566ZogW,JVT,307.61 
[67329] CANCEL_SET_BUY,n4E566ZogW,QBD 
[67500] SET_BUY_AMOUNT,n4E566ZogW,ZTI,31.01 
[67536] CANCEL_SET_BUY,n4E566ZogW,JQJ 
[67736] BUY,n4E566ZogW,UGG,180.99 
[67858] CANCEL_BUY,n4E566ZogW 
[67910] ADD,n4E566ZogW,78305.07 
[67939] DISPLAY_SUMMARY,n4E566ZogW 
[68087] ADD,n4E566ZogW,53153.72 
[68178] BUY,n4E566ZogW,CVK,580.85 
[68209] CANCEL_SET_BUY,n4E566ZogW,YLZ 
[68273] ADD,n4E566ZogW,68267.69 
[68274] BUY,n4E566ZogW,PJW,497.75 
[68334] COMMIT_BUY,n4E566ZogW 
[68401] QUOTE,n4E566ZogW,MOS 
[68441] CANCEL_BUY,n4E566ZogW 
[68450] QUOTE,n4E566ZogW,HZA 
[68608] QUOTE,n4E566ZogW,MFX 
[68710] QUOTE,n4E566ZogW,GAN 
[68810] COMMIT_SELL,n4E566ZogW 
[68906] SET_BUY_TRIGGER,n4E566ZogW,NXF,185.11 
[69169] DISPLAY_SUMMARY,n4E566ZogW 
[69253] DISPLAY_SUMMARY,n4E566ZogW 
[69389] QUOTE,n4E566ZogW,KQZ 
[69423] BUY,n4E566ZogW,VDP,689.96 
[69552] COMMIT_BUY,n4E566ZogW 
[69709] DISPLAY_SUMMARY,n4E566ZogW 
[69723] SET_SELL_TRIGGER,n4E566ZogW,XXP,46.64 
[69885] SET_SELL_TRIGGER,n4E566ZogW,AMI,40.55 
[69914] ADD,n4E566ZogW,56103.87 
[69973] CANCEL_SET_SELL,n4E566ZogW,RQT 
[69977] ADD,n4E566ZogW,58696.40 
[69985] QUOTE,n4E566ZogW,DXL 
[70235] COMMIT_SELL,n4E566ZogW 
[70278] SET_BUY_AMOUNT,n4E566ZogW,FQP,375.01 
[70280] CANCEL_SET_BUY,n4E566ZogW,OHG 
[70288] ADD,n4E566ZogW,82645.91 
[70300] BUY,n4E566ZogW,KNM,55.12 
[70387] DISPLAY_SUMMARY,n4E566ZogW 
[70415] BUY,n4E566ZogW,KES,538.89 
[70535] QUOTE,n4E566ZogW,KLY 
[70584] BUY,n4E566ZogW,ZGC,480.98 
[70696] COMMIT_BUY,n4E566ZogW 
[71033] SET_BUY_AMOUNT,n4E566ZogW,XQC,55.26 
[71136] SET_BUY_TRIGGER,n4E566ZogW,JII,50.50 
[71192] DISPLAY_SUMMARY,n4E566ZogW 
[71240] SET_BUY_AMOUNT,n4E566ZogW,XQC,473.47 
[71563] SET_BUY_TRIGGER,n4E566ZogW,MLU,314.35 
[71670] SET_SELL_AMOUNT,n4E566ZogW,JRJ,655.83 
[71671] SET_SELL_TRIGGER,n4E566ZogW,JRJ,519.62 
[71693] DISPLAY_SUMMARY,n4E566ZogW 
[71805] SET_SELL_TRIGGER,n4E566ZogW,NVN,41.58 
[71825] ADD,n4E566ZogW,63511.97 
[72047] BUY,n4E566ZogW,FQU,704.75 
[72093] COMMIT_BUY,n4E566ZogW 
[72119] SET_BUY_AMOUNT,n4E566ZogW,MXD,278.52 
[72156] DISPLAY_SUMMARY,n4E566ZogW 
[72206] SET_SELL_TRIGGER,n4E566ZogW,VJV,175.96 
[72234] QUOTE,n4E566ZogW,LFU 
[72247] CANCEL_BUY,n4E566ZogW 
[72469] CANCEL_SET_BUY,n4E566ZogW,VEE 
[72670] SET_BUY_TRIGGER,n4E566ZogW,ATE,185.68 
[72689] CANCEL_SELL,n4E566ZogW 
[72877] CANCEL_SET_SELL,n4E566ZogW,BEG 
[72990] ADD,n4E566ZogW,79397.15 
[73028] QUOTE,n4E566ZogW,IQJ 
[73065] QUOTE,n4E566ZogW,APY 
[73085] BUY,n4E566ZogW,FVZ,589.38 
[73107] COMMIT_BUY,n4E566ZogW 
[73119] BUY,n4E566ZogW,GDO,7.96 
[73135] SET_SELL_TRIGGER,n4E566ZogW,WBX,165.58 
[73259] ADD,n4E566ZogW,96479.22 
[73302] QUOTE,n4E566ZogW,SEW 
[73488] BUY,n4E566ZogW,XDN,554.04 
[73502] SET_BUY_TRIGGER,n4E566ZogW,DXQ,39.81 
[73598] DISPLAY_SUMMARY,n4E566ZogW 
[73608] ADD,n4E566ZogW,88466.43 
[73690] BUY,n4E566ZogW,OLI,714.84 
[73828] COMMIT_BUY,n4E566ZogW 
[73901] SELL,n4E566ZogW,LZV,455.25 
[74020] SET_BUY_TRIGGER,n4E566ZogW,YBP,45.69 
[74070] SELL,n4E566ZogW,QAX,417.04 
[74099] COMMIT_SELL,n4E566ZogW 
[74104] DISPLAY_SUMMARY,n4E566ZogW 
[74260] SELL,n4E566ZogW,QGE,9.97 
[74347] SET_BUY_TRIGGER,n4E566ZogW,GCL,41.44 
[74539] SET_BUY_AMOUNT,n4E566ZogW,MFX,353.37 
[74768] SET_BUY_TRIGGER,n4E566ZogW,SOT,267.89 
[74798] SET_SELL_AMOUNT,n4E566ZogW,ZAN,118.63 
[74844] SET_SELL_TRIGGER,n4E566ZogW,ZAN,24.05 
[74853] SET_BUY_TRIGGER,n4E566ZogW,JUN,194.19 
[74875] SET_BUY_AMOUNT,n4E566ZogW,OZO,273.54 
[74945] SET_BUY_TRIGGER,n4E566ZogW,NSN,269.14 
[74975] QUOTE,n4E566ZogW,IIX 
[75169] SET_BUY_TRIGGER,n4E566ZogW,PCK,105.55 
[75277] SELL,n4E566ZogW,JRJ,534.50 
[75279] COMMIT_SELL,n4E566ZogW 
[75316] CANCEL_SET_SELL,n4E566ZogW,MOS 
[75428] ADD,n4E566ZogW,80978.47 
[75470] CANCEL_SET_BUY,n4E566ZogW,UBJ 
[75498] SELL,n4E566ZogW,JZJ,261.43 
[75623] CANCEL_SELL,n4E566ZogW 
[75637] DISPLAY_SUMMARY,n4E566ZogW 
[75940] ADD,n4E566ZogW,54105.01 
[76342] SET_SELL_AMOUNT,n4E566ZogW,CSZ,382.53 
[76364] SET_SELL_TRIGGER,n4E566ZogW,CSZ,144.09 
[76457] SET_BUY_AMOUNT,n4E566ZogW,BCQ,481.48 
[76642] SELL,n4E566ZogW,JZJ,331.87 
[76935] DISPLAY_SUMMARY,n4E566ZogW 
[77233] ADD,n4E566ZogW,79906.84 
[77506] COMMIT_BUY,n4E566ZogW 
[77977] SET_SELL_TRIGGER,n4E566ZogW,EJW,164.58 
[78117] SET_SELL_TRIGGER,n4E566ZogW,JFJ,104.36 
[78255] SELL,n4E566ZogW,UTV,685.03 
[78402] COMMIT_SELL,n4E566ZogW 
[78416] SET_SELL_AMOUNT,n4E566ZogW,XQC,636.66 
[78422] SET_SELL_TRIGGER,n4E566ZogW,XQC,293.30 
[78436] ADD,n4E566ZogW,65617.41 
[78538] QUOTE,n4E566ZogW,CBY 
[78627] DISPLAY_SUMMARY,n4E566ZogW 
[78633] SET_SELL_AMOUNT,n4E566ZogW,AVX,332.67 
[78686] SET_SELL_TRIGGER,n4E566ZogW,AVX,155.72 
[78695] SET_SELL_TRIGGER,n4E566ZogW,WCR,15.70 
[78716] ADD,n4E566ZogW,87402.05 
[78731] COMMIT_SELL,n4E566ZogW 
[78862] SELL,n4E566ZogW,LFU,154.92 
[78889] COMMIT_SELL,n4E566ZogW 
[79146] DISPLAY_SUMMARY,n4E566ZogW 
[79355] ADD,n4E566ZogW,76400.18 
[79425] BUY,n4E566ZogW,UTV,320.02 
[79703] COMMIT_BUY,n4E566ZogW 
[79733] ADD,n4E566ZogW,60364.07 
[79741] QUOTE,n4E566ZogW,ETJ 
[79744] BUY,n4E566ZogW,POI,337.04 
[79757] CANCEL_SET_BUY,n4E566ZogW,USW 
[79818] QUOTE,n4E566ZogW,HFS 
[79833] QUOTE,n4E566ZogW,PUU 
[79845] ADD,n4E566ZogW,40893.70 
[79879] QUOTE,n4E566ZogW,XBL 
[79885] QUOTE,n4E566ZogW,FXT 
[79889] BUY,n4E566ZogW,VKP,588.91 
[79916] SET_BUY_AMOUNT,n4E566ZogW,ZAN,50.16 
[79965] SET_BUY_TRIGGER,n4E566ZogW,PYB,18.58 
[80145] SET_SELL_TRIGGER,n4E566ZogW,NTT,145.74 
[80402] BUY,n4E566ZogW,JUN,276.82 
[80425] COMMIT_BUY,n4E566ZogW 
[80485] ADD,n4E566ZogW,70926.19 
[80564] BUY,n4E566ZogW,ILT,567.63 
[80642] COMMIT_BUY,n4E566ZogW 
[80687] SELL,n4E566ZogW,QPR,725.92 
[80772] CANCEL_SET_SELL,n4E566ZogW,ULL 
[80870] DISPLAY_SUMMARY,n4E566ZogW 
[80872] ADD,n4E566ZogW,87863.01 
[80890] BUY,n4E566ZogW,HQU,56.22 
[80898] CANCEL_SELL,n4E566ZogW 
[80946] DISPLAY_SUMMARY,n4E566ZogW 
[81070] QUOTE,n4E566ZogW,CBY 
[81116] BUY,n4E566ZogW,CLH,42.25 
[81240] COMMIT_BUY,n4E566ZogW 
[81326] QUOTE,n4E566ZogW,SKW 
[81348] BUY,n4E566ZogW,SYL,207.52 
[81602] CANCEL_SELL,n4E566ZogW 
[81673] SET_BUY_AMOUNT,n4E566ZogW,TKM,374.02 
[81686] SET_BUY_TRIGGER,n4E566ZogW,EDW,141.66 
[81699] DISPLAY_SUMMARY,n4E566ZogW 
[81958] ADD,n4E566ZogW,83184.85 
[81972] SELL,n4E566ZogW,FQP,170.82 
[82161] COMMIT_SELL,n4E566ZogW 
[82206] BUY,n4E566ZogW,JGO,189.96 
[82357] COMMIT_BUY,n4E566ZogW 
[82379] QUOTE,n4E566ZogW,ZWC 
[82401] BUY,n4E566ZogW,EMN,41.94 
[82517] SET_SELL_AMOUNT,n4E566ZogW,OEY,436.79 
[82759] DISPLAY_SUMMARY,n4E566ZogW 
[83069] BUY,n4E566ZogW,GDO,338.45 
[83204] COMMIT_BUY,n4E566ZogW 
[83582] SET_SELL_TRIGGER,n4E566ZogW,OEY,114.30 
[83585] SET_SELL_AMOUNT,n4E566ZogW,RUN,596.87 
[83593] SET_SELL_TRIGGER,n4E566ZogW,RUN,411.15 
[83648] SELL,n4E566ZogW,SSF,702.26 
[83895] COMMIT_SELL,n4E566ZogW 
[83921] ADD,n4E566ZogW,68130.50 
[83987] BUY,n4E566ZogW,QSS,306.04 
[84180] COMMIT_BUY,n4E566ZogW 
[84236] ADD,n4E566ZogW,73167.65 
[84629] QUOTE,n4E566ZogW,FPV 
[84721] BUY,n4E566ZogW,ELQ,108.29 
[84724] COMMIT_SELL,n4E566ZogW 
[84745] SELL,n4E566ZogW,LFU,654.65 
[84748] COMMIT_SELL,n4E566ZogW 
[84873] BUY,n4E566ZogW,OEY,358.48 
[85088] DISPLAY_SUMMARY,n4E566ZogW 
[85150] SET_BUY_TRIGGER,n4E566ZogW,BYA,9.24 
[85177] SELL,n4E566ZogW,QVK,91.87 
[85370] CANCEL_SELL,n4E566ZogW 
[85828] BUY,n4E566ZogW,OEM,691.41 
[85883] CANCEL_SET_BUY,n4E566ZogW,FTJ 
[85905] ADD,n4E566ZogW,48707.34 
[85994] DISPLAY_SUMMARY,n4E566ZogW 
[86116] ADD,n4E566ZogW,68365.85 
[86274] QUOTE,n4E566ZogW,NJI 
[86307] BUY,n4E566ZogW,YKB,608.81 
[86311] SELL,n4E566ZogW,HTD,255.68 
[86397] COMMIT_SELL,n4E566ZogW 
[86402] DISPLAY_SUMMARY,n4E566ZogW 
[86450] BUY,n4E566ZogW,KIP,704.70 
[86462] CANCEL_BUY,n4E566ZogW 
[86508] SELL,n4E566ZogW,CBO,577.37 
[86763] SELL,n4E566ZogW,OZO,343.29 
[86804] COMMIT_SELL,n4E566ZogW 
[86839] QUOTE,n4E566ZogW,SKY 
[87215] ADD,n4E566ZogW,91883.52 
[87371] BUY,n4E566ZogW,WYA,35.01 
[87494] COMMIT_BUY,n4E566ZogW 
[87548] ADD,n4E566ZogW,88426.98 
[87690] SET_SELL_AMOUNT,n4E566ZogW,YDS,480.35 
[87795] SELL,n4E566ZogW,OZO,548.45 
[87801] CANCEL_SET_SELL,n4E566ZogW,YDS 
[88151] SET_BUY_AMOUNT,n4E566ZogW,MXD,401.16 
[88273] SET_BUY_TRIGGER,n4E566ZogW,PBX,154.08 
[88443] CANCEL_BUY,n4E566ZogW 
[88512] SET_SELL_TRIGGER,n4E566ZogW,KZZ,84.10 
[88595] ADD,n4E566ZogW,55088.83 
[88610] SET_SELL_TRIGGER,n4E566ZogW,VVO,6.32 
[88951] QUOTE,n4E566ZogW,JIO 
[89057] ADD,n4E566ZogW,68161.65 
[89305] BUY,n4E566ZogW,WTD,330.33 
[89563] COMMIT_BUY,n4E566ZogW 
[89624] BUY,n4E566ZogW,WKL,154.35 
[89755] COMMIT_BUY,n4E566ZogW 
[89832] ADD,n4E566ZogW,41023.65 
[90185] BUY,n4E566ZogW,VSE,61.08 
[90222] SELL,n4E566ZogW,CEC,168.67 
[90245] CANCEL_SET_SELL,n4E566ZogW,BBD 
[90264] ADD,n4E566ZogW,74013.87 
[90327] BUY,n4E566ZogW,UHO,655.41 
[90550] COMMIT_BUY,n4E566ZogW 
[90898] SET_SELL_TRIGGER,n4E566ZogW,YAZ,154.59 
[90922] SELL,n4E566ZogW,OZO,518.58 
[91049] CANCEL_SET_BUY,n4E566ZogW,IZJ 
[91255] SELL,n4E566ZogW,YDS,307.57 
[91290] CANCEL_SET_BUY,n4E566ZogW,IBT 
[91468] ADD,n4E566ZogW,64668.56 
[91497] QUOTE,n4E566ZogW,ZPD 
[91650] BUY,n4E566ZogW,BEC,209.87 
[91737] QUOTE,n4E566ZogW,QHF 
[91816] CANCEL_SELL,n4E566ZogW 
[91837] SET_BUY_TRIGGER,n4E566ZogW,ETB,76.68 
[91987] SET_BUY_AMOUNT,n4E566ZogW,LZV,353.49 
[92042] SET_BUY_TRIGGER,n4E566ZogW,BMW,142.79 
[92125] SET_BUY_AMOUNT,n4E566ZogW,ZTI,12.22 
[92169] SET_BUY_TRIGGER,n4E566ZogW,TSS,10.02 
[92264] DISPLAY_SUMMARY,n4E566ZogW 
[92266] DISPLAY_SUMMARY,n4E566ZogW 
[92470] ADD,n4E566ZogW,97620.30 
[92615] BUY,n4E566ZogW,IIX,491.08 
[92777] CANCEL_BUY,n4E566ZogW 
[92779] DISPLAY_SUMMARY,n4E566ZogW 
[92787] DISPLAY_SUMMARY,n4E566ZogW 
[92812] SET_BUY_AMOUNT,n4E566ZogW,CZQ,54.34 
[93006] SET_BUY_TRIGGER,n4E566ZogW,SIK,27.54 
[93141] SET_SELL_AMOUNT,n4E566ZogW,CSZ,356.32 
[93356] SET_SELL_TRIGGER,n4E566ZogW,CSZ,346.59 
[93587] SELL,n4E566ZogW,FDI,568.42 
[93799] COMMIT_SELL,n4E566ZogW 
[93822] ADD,n4E566ZogW,67290.96 
[94011] SET_SELL_AMOUNT,n4E566ZogW,GSW,586.63 
[94104] CANCEL_SET_SELL,n4E566ZogW,GSW 
[94301] QUOTE,n4E566ZogW,IJO 
[94681] BUY,n4E566ZogW,LUT,155.01 
[94746] COMMIT_BUY,n4E566ZogW 
[94816] SELL,n4E566ZogW,BJL,63.28 
[95008] COMMIT_SELL,n4E566ZogW 
[95090] SET_BUY_TRIGGER,n4E566ZogW,AJL,193.48 
[95259] BUY,n4E566ZogW,BFB,316.91 
[95627] COMMIT_BUY,n4E566ZogW 
[95767] ADD,n4E566ZogW,64613.57 
[95789] BUY,n4E566ZogW,ZKV,83.01 
[95839] COMMIT_BUY,n4E566ZogW 
[95864] QUOTE,n4E566ZogW,ETB 
[95933] CANCEL_SELL,n4E566ZogW 
[96231] SELL,n4E566ZogW,QJZ,289.40 
[96453] COMMIT_SELL,n4E566ZogW 
[96539] SELL,n4E566ZogW,YDS,41.52 
[96559] CANCEL_BUY,n4E566ZogW 
[96737] ADD,n4E566ZogW,51028.78 
[96799] ADD,n4E566ZogW,80148.94 
[96884] CANCEL_BUY,n4E566ZogW 
[97427] SET_BUY_AMOUNT,n4E566ZogW,BCQ,132.93 
[97805] SET_BUY_TRIGGER,n4E566ZogW,VCN,106.90 
[97809] SET_BUY_TRIGGER,n4E566ZogW,RNK,90.67 
[97820] BUY,n4E566ZogW,ZZD,459.16 
[97895] CANCEL_SET_SELL,n4E566ZogW,ZCG 
[98076] ADD,n4E566ZogW,60061.40 
[98189] SET_BUY_TRIGGER,n4E566ZogW,CXB,10.28 
[98401] BUY,n4E566ZogW,QOD,132.19 
[98404] SET_SELL_TRIGGER,n4E566ZogW,YBP,166.54 
[98849] SELL,n4E566ZogW,KYX,429.78 
[98904] COMMIT_SELL,n4E566ZogW 
[98958] SELL,n4E566ZogW,JUN,179.86 
[98997] CANCEL_BUY,n4E566ZogW 
[99175] SELL,n4E566ZogW,MFX,294.69 
[99333] COMMIT_SELL,n4E566ZogW 
[99451] CANCEL_BUY,n4E566ZogW 
[99627] ADD,n4E566ZogW,68544.52 
[99629] QUOTE,n4E566ZogW,VNN 
[99741] DISPLAY_SUMMARY,n4E566ZogW 
[99749] DISPLAY_SUMMARY,n4E566ZogW 
[99786] ADD,n4E566ZogW,62594.38 
[99813] BUY,n4E566ZogW,WNX,79.22 
[99955] COMMIT_BUY,n4E566ZogW 
[99982] ADD,n4E566ZogW,55465.56 
