[1] ADD,lLn3fa1FIk,75576.00 
[48084] SET_SELL_TRIGGER,lLn3fa1FIk,IHA,61.37 
[48091] SET_SELL_TRIGGER,lLn3fa1FIk,AQO,135.97 
[48165] BUY,lLn3fa1FIk,RQS,587.13 
[48266] CANCEL_SET_SELL,lLn3fa1FIk,ULL 
[48367] DISPLAY_SUMMARY,lLn3fa1FIk 
[48661] DISPLAY_SUMMARY,lLn3fa1FIk 
[48797] QUOTE,lLn3fa1FIk,IFC 
[48817] QUOTE,lLn3fa1FIk,HDR 
[48846] QUOTE,lLn3fa1FIk,IDX 
[48907] BUY,lLn3fa1FIk,YZH,608.07 
[49127] COMMIT_BUY,lLn3fa1FIk 
[49210] BUY,lLn3fa1FIk,ZDB,321.49 
[49294] COMMIT_BUY,lLn3fa1FIk 
[49659] BUY,lLn3fa1FIk,ATW,285.28 
[49697] COMMIT_BUY,lLn3fa1FIk 
[49753] QUOTE,lLn3fa1FIk,QAX 
[49808] SET_SELL_TRIGGER,lLn3fa1FIk,OIV,179.42 
[49848] DISPLAY_SUMMARY,lLn3fa1FIk 
[50019] BUY,lLn3fa1FIk,WPG,171.79 
[50062] COMMIT_BUY,lLn3fa1FIk 
[50211] ADD,lLn3fa1FIk,78351.63 
[50399] BUY,lLn3fa1FIk,XII,653.85 
[50452] CANCEL_BUY,lLn3fa1FIk 
[50461] SET_SELL_AMOUNT,lLn3fa1FIk,GYF,706.90 
[50487] SET_SELL_TRIGGER,lLn3fa1FIk,GYF,413.99 
[50507] QUOTE,lLn3fa1FIk,OZO 
[50518] DISPLAY_SUMMARY,lLn3fa1FIk 
[50575] DISPLAY_SUMMARY,lLn3fa1FIk 
[50580] BUY,lLn3fa1FIk,JTX,264.76 
[50659] BUY,lLn3fa1FIk,FPP,151.03 
[50819] CANCEL_BUY,lLn3fa1FIk 
[51016] COMMIT_BUY,lLn3fa1FIk 
[51128] SET_BUY_AMOUNT,lLn3fa1FIk,YJK,99.59 
[51144] SET_BUY_TRIGGER,lLn3fa1FIk,EDM,97.52 
[51165] DISPLAY_SUMMARY,lLn3fa1FIk 
[51198] SET_BUY_AMOUNT,lLn3fa1FIk,JRJ,582.43 
[51320] SELL,lLn3fa1FIk,DFE,232.49 
[51462] CANCEL_SELL,lLn3fa1FIk 
[51520] CANCEL_SELL,lLn3fa1FIk 
[51536] SET_BUY_AMOUNT,lLn3fa1FIk,EBS,123.41 
[51709] SET_BUY_TRIGGER,lLn3fa1FIk,FQG,95.22 
[51997] ADD,lLn3fa1FIk,74498.49 
[52058] QUOTE,lLn3fa1FIk,MAX 
[52306] SELL,lLn3fa1FIk,YJK,168.50 
[52462] COMMIT_SELL,lLn3fa1FIk 
[52605] CANCEL_SET_SELL,lLn3fa1FIk,XEA 
[52716] ADD,lLn3fa1FIk,81773.50 
[52729] BUY,lLn3fa1FIk,XRK,142.63 
[52747] COMMIT_BUY,lLn3fa1FIk 
[52869] SELL,lLn3fa1FIk,KDA,685.48 
[52924] COMMIT_SELL,lLn3fa1FIk 
[53033] BUY,lLn3fa1FIk,EOY,324.90 
[53048] COMMIT_BUY,lLn3fa1FIk 
[53156] SET_SELL_AMOUNT,lLn3fa1FIk,OEY,379.95 
[53432] DISPLAY_SUMMARY,lLn3fa1FIk 
[53456] ADD,lLn3fa1FIk,81422.51 
[53491] BUY,lLn3fa1FIk,IHA,697.63 
[53638] COMMIT_BUY,lLn3fa1FIk 
[53649] ADD,lLn3fa1FIk,73024.46 
[53698] QUOTE,lLn3fa1FIk,HNO 
[53703] ADD,lLn3fa1FIk,78724.96 
[54197] SET_BUY_TRIGGER,lLn3fa1FIk,OAS,45.10 
[54368] SELL,lLn3fa1FIk,DFE,350.74 
[54448] COMMIT_SELL,lLn3fa1FIk 
[54479] SELL,lLn3fa1FIk,OPN,319.97 
[54760] CANCEL_SELL,lLn3fa1FIk 
[54839] QUOTE,lLn3fa1FIk,ZSV 
[54944] SET_BUY_AMOUNT,lLn3fa1FIk,SSF,76.47 
[55013] SET_BUY_TRIGGER,lLn3fa1FIk,QOD,62.93 
[55043] DISPLAY_SUMMARY,lLn3fa1FIk 
[55116] ADD,lLn3fa1FIk,44222.44 
[55290] BUY,lLn3fa1FIk,ZWZ,185.69 
[55354] COMMIT_BUY,lLn3fa1FIk 
[55434] SET_SELL_AMOUNT,lLn3fa1FIk,EBS,263.52 
[55472] SET_SELL_TRIGGER,lLn3fa1FIk,EBS,218.17 
[55656] SET_BUY_AMOUNT,lLn3fa1FIk,OPN,488.01 
[55669] SET_BUY_TRIGGER,lLn3fa1FIk,YMG,429.18 
[55784] SET_BUY_TRIGGER,lLn3fa1FIk,DJD,146.55 
[55825] QUOTE,lLn3fa1FIk,EEG 
[55857] BUY,lLn3fa1FIk,JNO,262.98 
[55976] COMMIT_BUY,lLn3fa1FIk 
[56163] BUY,lLn3fa1FIk,WHR,700.25 
[56221] ADD,lLn3fa1FIk,46909.61 
[56572] QUOTE,lLn3fa1FIk,TTV 
[56573] BUY,lLn3fa1FIk,XER,479.19 
[56643] COMMIT_BUY,lLn3fa1FIk 
[56877] ADD,lLn3fa1FIk,102535.26 
[56928] BUY,lLn3fa1FIk,YCH,114.80 
[56965] SET_BUY_TRIGGER,lLn3fa1FIk,HEK,89.47 
[57011] DISPLAY_SUMMARY,lLn3fa1FIk 
[57013] ADD,lLn3fa1FIk,62798.48 
[57015] QUOTE,lLn3fa1FIk,NDO 
[57058] SELL,lLn3fa1FIk,MFX,93.96 
[57118] CANCEL_BUY,lLn3fa1FIk 
[57168] SET_BUY_AMOUNT,lLn3fa1FIk,QAX,183.67 
[57183] BUY,lLn3fa1FIk,JQG,122.04 
[57277] COMMIT_BUY,lLn3fa1FIk 
[57322] DISPLAY_SUMMARY,lLn3fa1FIk 
[57460] SET_SELL_AMOUNT,lLn3fa1FIk,BYA,56.44 
[57488] CANCEL_SET_SELL,lLn3fa1FIk,BYA 
[57527] BUY,lLn3fa1FIk,YIU,41.81 
[57816] COMMIT_BUY,lLn3fa1FIk 
[58110] SET_BUY_AMOUNT,lLn3fa1FIk,JZJ,393.53 
[58241] SET_BUY_TRIGGER,lLn3fa1FIk,VND,103.55 
[58443] SET_SELL_TRIGGER,lLn3fa1FIk,PVH,64.46 
[58580] SET_SELL_TRIGGER,lLn3fa1FIk,PIE,65.24 
[58594] ADD,lLn3fa1FIk,82240.45 
[58657] QUOTE,lLn3fa1FIk,NUL 
[58668] QUOTE,lLn3fa1FIk,CWA 
[58752] CANCEL_BUY,lLn3fa1FIk 
[58868] DISPLAY_SUMMARY,lLn3fa1FIk 
[59126] DISPLAY_SUMMARY,lLn3fa1FIk 
[59153] SELL,lLn3fa1FIk,ZAN,261.92 
[59328] COMMIT_SELL,lLn3fa1FIk 
[59467] SET_BUY_TRIGGER,lLn3fa1FIk,BFL,32.43 
[59491] QUOTE,lLn3fa1FIk,FLY 
[59508] SET_BUY_TRIGGER,lLn3fa1FIk,QJZ,83.77 
[59621] BUY,lLn3fa1FIk,IFC,604.29 
[59694] CANCEL_BUY,lLn3fa1FIk 
[59731] ADD,lLn3fa1FIk,66016.01 
[59805] QUOTE,lLn3fa1FIk,LLE 
[59870] ADD,lLn3fa1FIk,53849.99 
[59880] CANCEL_SET_SELL,lLn3fa1FIk,KTU 
[59962] SELL,lLn3fa1FIk,VTY,459.05 
[60025] SELL,lLn3fa1FIk,QGE,299.68 
[60099] SET_SELL_TRIGGER,lLn3fa1FIk,VOU,78.58 
[60205] QUOTE,lLn3fa1FIk,FQR 
[60242] BUY,lLn3fa1FIk,WYD,253.50 
[60385] COMMIT_BUY,lLn3fa1FIk 
[60409] BUY,lLn3fa1FIk,KKI,375.91 
[60508] COMMIT_BUY,lLn3fa1FIk 
[60588] SELL,lLn3fa1FIk,CEC,589.43 
[60634] COMMIT_SELL,lLn3fa1FIk 
[60695] SET_BUY_AMOUNT,lLn3fa1FIk,SSF,530.57 
[60696] SET_BUY_TRIGGER,lLn3fa1FIk,DNJ,149.64 
[60729] CANCEL_SELL,lLn3fa1FIk 
[60741] SET_SELL_AMOUNT,lLn3fa1FIk,XQC,110.66 
[60746] SET_SELL_TRIGGER,lLn3fa1FIk,XQC,83.61 
[61074] SET_SELL_TRIGGER,lLn3fa1FIk,GSW,11.67 
[61092] SET_BUY_TRIGGER,lLn3fa1FIk,WRJ,42.24 
[61095] DISPLAY_SUMMARY,lLn3fa1FIk 
[61250] QUOTE,lLn3fa1FIk,LPR 
[61300] SET_BUY_TRIGGER,lLn3fa1FIk,ZAV,199.77 
[61426] SELL,lLn3fa1FIk,JZJ,680.99 
[61575] COMMIT_SELL,lLn3fa1FIk 
[61629] ADD,lLn3fa1FIk,48810.08 
[61645] BUY,lLn3fa1FIk,YGK,70.00 
[61920] COMMIT_BUY,lLn3fa1FIk 
[61939] CANCEL_BUY,lLn3fa1FIk 
[62128] SET_SELL_TRIGGER,lLn3fa1FIk,AOU,143.28 
[62198] QUOTE,lLn3fa1FIk,ZEG 
[62230] COMMIT_BUY,lLn3fa1FIk 
[62417] SET_SELL_TRIGGER,lLn3fa1FIk,OTD,110.82 
[62581] BUY,lLn3fa1FIk,OAS,527.95 
[62630] CANCEL_BUY,lLn3fa1FIk 
[62767] DISPLAY_SUMMARY,lLn3fa1FIk 
[62811] DISPLAY_SUMMARY,lLn3fa1FIk 
[62912] SET_BUY_TRIGGER,lLn3fa1FIk,AAC,120.85 
[62927] BUY,lLn3fa1FIk,FOV,539.47 
[62958] CANCEL_SELL,lLn3fa1FIk 
[63059] ADD,lLn3fa1FIk,85493.62 
[63084] QUOTE,lLn3fa1FIk,AVI 
[63173] BUY,lLn3fa1FIk,TVI,137.74 
[63287] COMMIT_BUY,lLn3fa1FIk 
[63401] SET_SELL_TRIGGER,lLn3fa1FIk,QNW,30.67 
[63438] DISPLAY_SUMMARY,lLn3fa1FIk 
[63543] DISPLAY_SUMMARY,lLn3fa1FIk 
[63692] SELL,lLn3fa1FIk,FQP,571.79 
[63729] COMMIT_SELL,lLn3fa1FIk 
[63885] ADD,lLn3fa1FIk,76481.57 
[63951] BUY,lLn3fa1FIk,LSG,297.08 
[64140] COMMIT_BUY,lLn3fa1FIk 
[64182] QUOTE,lLn3fa1FIk,FKI 
[64196] ADD,lLn3fa1FIk,84456.81 
[64343] COMMIT_SELL,lLn3fa1FIk 
[64395] BUY,lLn3fa1FIk,NOP,296.99 
[64484] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,508.20 
[64631] SET_BUY_TRIGGER,lLn3fa1FIk,XYV,42.09 
[64900] BUY,lLn3fa1FIk,GTB,150.28 
[64923] DISPLAY_SUMMARY,lLn3fa1FIk 
[64963] SET_BUY_TRIGGER,lLn3fa1FIk,SAJ,153.99 
[65006] ADD,lLn3fa1FIk,94567.20 
[65101] QUOTE,lLn3fa1FIk,NDO 
[65143] QUOTE,lLn3fa1FIk,PYB 
[65174] BUY,lLn3fa1FIk,CBK,584.98 
[65186] COMMIT_BUY,lLn3fa1FIk 
[65359] DISPLAY_SUMMARY,lLn3fa1FIk 
[65402] DISPLAY_SUMMARY,lLn3fa1FIk 
[65631] QUOTE,lLn3fa1FIk,XLI 
[65706] BUY,lLn3fa1FIk,DRP,343.45 
[65927] COMMIT_BUY,lLn3fa1FIk 
[65955] SET_SELL_TRIGGER,lLn3fa1FIk,OOR,175.00 
[66076] QUOTE,lLn3fa1FIk,UTL 
[66088] SET_BUY_TRIGGER,lLn3fa1FIk,KAO,179.40 
[66216] SELL,lLn3fa1FIk,UTV,209.05 
[66267] CANCEL_SET_SELL,lLn3fa1FIk,VVV 
[66442] BUY,lLn3fa1FIk,UZZ,380.73 
[66452] COMMIT_BUY,lLn3fa1FIk 
[66466] DISPLAY_SUMMARY,lLn3fa1FIk 
[66482] QUOTE,lLn3fa1FIk,TQX 
[66488] DISPLAY_SUMMARY,lLn3fa1FIk 
[66670] QUOTE,lLn3fa1FIk,QOQ 
[66759] SET_BUY_AMOUNT,lLn3fa1FIk,DFE,208.15 
[66818] SET_BUY_TRIGGER,lLn3fa1FIk,XXQ,200.60 
[66906] BUY,lLn3fa1FIk,ALG,512.79 
[66979] COMMIT_BUY,lLn3fa1FIk 
[67166] ADD,lLn3fa1FIk,74298.74 
[67257] QUOTE,lLn3fa1FIk,JXR 
[67383] SET_BUY_AMOUNT,lLn3fa1FIk,JRJ,34.61 
[67438] CANCEL_SET_BUY,lLn3fa1FIk,ZEU 
[67636] BUY,lLn3fa1FIk,HSH,340.90 
[67647] CANCEL_BUY,lLn3fa1FIk 
[67775] BUY,lLn3fa1FIk,NFQ,703.10 
[67842] COMMIT_BUY,lLn3fa1FIk 
[67851] CANCEL_SET_SELL,lLn3fa1FIk,KRX 
[67932] QUOTE,lLn3fa1FIk,FFI 
[67956] COMMIT_BUY,lLn3fa1FIk 
[68058] ADD,lLn3fa1FIk,83271.62 
[68113] BUY,lLn3fa1FIk,YTO,460.60 
[68375] CANCEL_BUY,lLn3fa1FIk 
[68440] BUY,lLn3fa1FIk,XZO,643.94 
[68491] CANCEL_BUY,lLn3fa1FIk 
[68510] SELL,lLn3fa1FIk,GYF,605.98 
[68548] COMMIT_SELL,lLn3fa1FIk 
[68585] SET_BUY_TRIGGER,lLn3fa1FIk,BFL,33.70 
[68734] SET_SELL_AMOUNT,lLn3fa1FIk,OPN,647.88 
[68848] SET_SELL_TRIGGER,lLn3fa1FIk,OPN,333.31 
[68880] ADD,lLn3fa1FIk,69141.24 
[68887] BUY,lLn3fa1FIk,BMQ,721.42 
[69075] COMMIT_BUY,lLn3fa1FIk 
[69227] BUY,lLn3fa1FIk,EGX,407.35 
[69305] COMMIT_BUY,lLn3fa1FIk 
[69404] BUY,lLn3fa1FIk,USW,193.93 
[69438] COMMIT_BUY,lLn3fa1FIk 
[69731] BUY,lLn3fa1FIk,IIX,97.23 
[69861] DISPLAY_SUMMARY,lLn3fa1FIk 
[69957] ADD,lLn3fa1FIk,56426.19 
[70005] QUOTE,lLn3fa1FIk,DGA 
[70024] QUOTE,lLn3fa1FIk,ZMA 
[70025] CANCEL_SELL,lLn3fa1FIk 
[70053] DISPLAY_SUMMARY,lLn3fa1FIk 
[70104] BUY,lLn3fa1FIk,LLD,44.97 
[70165] COMMIT_BUY,lLn3fa1FIk 
[70225] SET_SELL_TRIGGER,lLn3fa1FIk,YMG,174.34 
[70571] BUY,lLn3fa1FIk,SIK,586.20 
[70580] COMMIT_BUY,lLn3fa1FIk 
[70582] ADD,lLn3fa1FIk,55082.37 
[70663] QUOTE,lLn3fa1FIk,XLK 
[70679] DISPLAY_SUMMARY,lLn3fa1FIk 
[70680] SELL,lLn3fa1FIk,CBO,70.38 
[70760] SELL,lLn3fa1FIk,ZAN,332.09 
[70824] BUY,lLn3fa1FIk,TKG,395.42 
[70967] DISPLAY_SUMMARY,lLn3fa1FIk 
[71081] QUOTE,lLn3fa1FIk,CXW 
[71118] BUY,lLn3fa1FIk,DXQ,403.55 
[71146] COMMIT_BUY,lLn3fa1FIk 
[71328] BUY,lLn3fa1FIk,MFX,234.98 
[71426] COMMIT_BUY,lLn3fa1FIk 
[71567] QUOTE,lLn3fa1FIk,FCH 
[71775] QUOTE,lLn3fa1FIk,YPL 
[71903] QUOTE,lLn3fa1FIk,LUD 
[71973] ADD,lLn3fa1FIk,77125.72 
[72026] BUY,lLn3fa1FIk,XAN,685.33 
[72071] COMMIT_BUY,lLn3fa1FIk 
[72187] SET_BUY_TRIGGER,lLn3fa1FIk,CDF,181.82 
[72468] SET_BUY_TRIGGER,lLn3fa1FIk,AIN,110.26 
[72526] DISPLAY_SUMMARY,lLn3fa1FIk 
[72767] ADD,lLn3fa1FIk,56190.22 
[72854] QUOTE,lLn3fa1FIk,HTD 
[72903] ADD,lLn3fa1FIk,55540.72 
[72937] BUY,lLn3fa1FIk,URA,69.96 
[73134] CANCEL_SELL,lLn3fa1FIk 
[73328] DISPLAY_SUMMARY,lLn3fa1FIk 
[73422] SELL,lLn3fa1FIk,SQI,511.58 
[73425] COMMIT_SELL,lLn3fa1FIk 
[73465] SELL,lLn3fa1FIk,XQC,646.32 
[73652] CANCEL_SET_SELL,lLn3fa1FIk,AOU 
[73672] BUY,lLn3fa1FIk,CDF,101.46 
[73702] QUOTE,lLn3fa1FIk,OSC 
[73748] COMMIT_BUY,lLn3fa1FIk 
[74025] SET_SELL_AMOUNT,lLn3fa1FIk,RUN,511.70 
[74113] CANCEL_SET_SELL,lLn3fa1FIk,RUN 
[74162] QUOTE,lLn3fa1FIk,APY 
[74273] BUY,lLn3fa1FIk,KEV,683.57 
[74545] CANCEL_BUY,lLn3fa1FIk 
[74637] BUY,lLn3fa1FIk,GCL,195.22 
[74900] COMMIT_BUY,lLn3fa1FIk 
[75070] QUOTE,lLn3fa1FIk,LLF 
[75078] BUY,lLn3fa1FIk,JGG,641.46 
[75150] COMMIT_BUY,lLn3fa1FIk 
[75208] DISPLAY_SUMMARY,lLn3fa1FIk 
[75291] CANCEL_SET_SELL,lLn3fa1FIk,XQG 
[75571] DISPLAY_SUMMARY,lLn3fa1FIk 
[75575] DISPLAY_SUMMARY,lLn3fa1FIk 
[75733] SELL,lLn3fa1FIk,OPN,324.62 
[75767] COMMIT_SELL,lLn3fa1FIk 
[75769] SET_BUY_AMOUNT,lLn3fa1FIk,SQI,147.75 
[75971] BUY,lLn3fa1FIk,MHQ,19.69 
[76478] COMMIT_BUY,lLn3fa1FIk 
[76515] ADD,lLn3fa1FIk,67437.09 
[76643] BUY,lLn3fa1FIk,QWC,627.84 
[76774] COMMIT_BUY,lLn3fa1FIk 
[76908] SET_SELL_TRIGGER,lLn3fa1FIk,YWK,108.14 
[76956] CANCEL_SET_SELL,lLn3fa1FIk,PCK 
[77041] CANCEL_SET_SELL,lLn3fa1FIk,KVK 
[77068] CANCEL_SET_BUY,lLn3fa1FIk,UTV 
[77216] SELL,lLn3fa1FIk,IFN,620.50 
[77272] COMMIT_SELL,lLn3fa1FIk 
[77524] SET_SELL_AMOUNT,lLn3fa1FIk,UIE,102.04 
[77658] SET_SELL_TRIGGER,lLn3fa1FIk,UIE,38.90 
[77679] SET_BUY_AMOUNT,lLn3fa1FIk,LZV,747.44 
[77755] SET_BUY_TRIGGER,lLn3fa1FIk,NRY,737.01 
[77767] CANCEL_SELL,lLn3fa1FIk 
[77988] SET_SELL_AMOUNT,lLn3fa1FIk,KES,162.88 
[78059] SET_SELL_TRIGGER,lLn3fa1FIk,KES,85.12 
[78074] DISPLAY_SUMMARY,lLn3fa1FIk 
[78260] BUY,lLn3fa1FIk,ZDB,489.38 
[78375] ADD,lLn3fa1FIk,83972.13 
[78396] DISPLAY_SUMMARY,lLn3fa1FIk 
[78462] ADD,lLn3fa1FIk,76127.15 
[78663] CANCEL_SET_SELL,lLn3fa1FIk,NTB 
[78721] SET_BUY_TRIGGER,lLn3fa1FIk,DWU,94.45 
[78915] ADD,lLn3fa1FIk,75313.20 
[78976] BUY,lLn3fa1FIk,FYR,15.54 
[78988] COMMIT_BUY,lLn3fa1FIk 
[79016] DISPLAY_SUMMARY,lLn3fa1FIk 
[79046] SET_BUY_AMOUNT,lLn3fa1FIk,GYF,80.51 
[79129] QUOTE,lLn3fa1FIk,HGG 
[79182] BUY,lLn3fa1FIk,XUY,158.40 
[79398] COMMIT_BUY,lLn3fa1FIk 
[79455] BUY,lLn3fa1FIk,CTS,37.36 
[79472] COMMIT_BUY,lLn3fa1FIk 
[79520] ADD,lLn3fa1FIk,60307.84 
[79946] BUY,lLn3fa1FIk,JNO,237.89 
[80020] COMMIT_BUY,lLn3fa1FIk 
[80171] DISPLAY_SUMMARY,lLn3fa1FIk 
[80296] SET_SELL_TRIGGER,lLn3fa1FIk,HYX,30.48 
[80450] SET_SELL_AMOUNT,lLn3fa1FIk,UTV,710.54 
[80632] SET_SELL_TRIGGER,lLn3fa1FIk,UTV,272.69 
[80656] SET_SELL_TRIGGER,lLn3fa1FIk,SJZ,171.10 
[80950] ADD,lLn3fa1FIk,76610.43 
[81132] BUY,lLn3fa1FIk,JLK,511.20 
[81190] COMMIT_BUY,lLn3fa1FIk 
[81275] SET_SELL_AMOUNT,lLn3fa1FIk,EBS,663.00 
[81375] SET_SELL_TRIGGER,lLn3fa1FIk,EBS,537.40 
[81412] SET_BUY_TRIGGER,lLn3fa1FIk,URY,1.41 
[81419] SET_BUY_TRIGGER,lLn3fa1FIk,GJQ,28.03 
[81466] ADD,lLn3fa1FIk,84242.88 
[81554] BUY,lLn3fa1FIk,FDI,437.28 
[81695] COMMIT_BUY,lLn3fa1FIk 
[82313] CANCEL_SELL,lLn3fa1FIk 
[82446] QUOTE,lLn3fa1FIk,SQO 
[82712] QUOTE,lLn3fa1FIk,SYU 
[82762] SELL,lLn3fa1FIk,XXQ,704.44 
[82788] COMMIT_SELL,lLn3fa1FIk 
[82908] SELL,lLn3fa1FIk,VDP,491.36 
[82929] COMMIT_SELL,lLn3fa1FIk 
[83261] DISPLAY_SUMMARY,lLn3fa1FIk 
[83297] QUOTE,lLn3fa1FIk,DBS 
[83337] SELL,lLn3fa1FIk,CBO,522.13 
[83348] COMMIT_SELL,lLn3fa1FIk 
[83429] DISPLAY_SUMMARY,lLn3fa1FIk 
[83476] QUOTE,lLn3fa1FIk,GSW 
[83669] DISPLAY_SUMMARY,lLn3fa1FIk 
[83880] DISPLAY_SUMMARY,lLn3fa1FIk 
[84052] COMMIT_BUY,lLn3fa1FIk 
[84136] SET_BUY_AMOUNT,lLn3fa1FIk,JQO,305.76 
[84192] BUY,lLn3fa1FIk,MAX,524.70 
[84335] ADD,lLn3fa1FIk,81096.84 
[84338] COMMIT_BUY,lLn3fa1FIk 
[84475] BUY,lLn3fa1FIk,NGG,405.96 
[84495] COMMIT_BUY,lLn3fa1FIk 
[84581] QUOTE,lLn3fa1FIk,HPN 
[84649] QUOTE,lLn3fa1FIk,ILT 
[84692] CANCEL_SET_SELL,lLn3fa1FIk,SPP 
[84845] SET_SELL_TRIGGER,lLn3fa1FIk,YOQ,180.43 
[84847] SET_SELL_TRIGGER,lLn3fa1FIk,SAN,20.76 
[84875] ADD,lLn3fa1FIk,36808.56 
[85045] QUOTE,lLn3fa1FIk,RKY 
[85064] BUY,lLn3fa1FIk,SXB,60.03 
[85142] QUOTE,lLn3fa1FIk,VNO 
[85181] BUY,lLn3fa1FIk,MUN,284.09 
[85255] COMMIT_BUY,lLn3fa1FIk 
[85276] BUY,lLn3fa1FIk,CUZ,381.56 
[85313] COMMIT_BUY,lLn3fa1FIk 
[85415] SET_SELL_TRIGGER,lLn3fa1FIk,ZGN,74.31 
[85469] BUY,lLn3fa1FIk,NIR,685.46 
[85602] COMMIT_BUY,lLn3fa1FIk 
[85932] ADD,lLn3fa1FIk,66325.28 
[86125] BUY,lLn3fa1FIk,USW,399.77 
[86161] CANCEL_SELL,lLn3fa1FIk 
[86191] SET_BUY_TRIGGER,lLn3fa1FIk,NGH,162.34 
[86215] DISPLAY_SUMMARY,lLn3fa1FIk 
[86546] DISPLAY_SUMMARY,lLn3fa1FIk 
[86607] DISPLAY_SUMMARY,lLn3fa1FIk 
[86648] QUOTE,lLn3fa1FIk,FFZ 
[86662] QUOTE,lLn3fa1FIk,MDZ 
[86887] QUOTE,lLn3fa1FIk,WRN 
[86926] SELL,lLn3fa1FIk,VDP,102.11 
[87159] COMMIT_SELL,lLn3fa1FIk 
[87174] SET_BUY_TRIGGER,lLn3fa1FIk,NUV,123.77 
[87333] SET_BUY_TRIGGER,lLn3fa1FIk,YAV,147.22 
[87395] DISPLAY_SUMMARY,lLn3fa1FIk 
[87532] SELL,lLn3fa1FIk,XLK,143.56 
[87738] SET_SELL_AMOUNT,lLn3fa1FIk,TKM,529.52 
[87841] SET_SELL_TRIGGER,lLn3fa1FIk,TKM,414.02 
[88054] SELL,lLn3fa1FIk,CUZ,470.58 
[88263] CANCEL_SELL,lLn3fa1FIk 
[88379] SELL,lLn3fa1FIk,CZQ,228.36 
[88462] COMMIT_SELL,lLn3fa1FIk 
[88596] DISPLAY_SUMMARY,lLn3fa1FIk 
[88720] DISPLAY_SUMMARY,lLn3fa1FIk 
[88722] ADD,lLn3fa1FIk,75992.59 
[88724] BUY,lLn3fa1FIk,DVA,740.66 
[88866] SET_SELL_AMOUNT,lLn3fa1FIk,FQP,397.03 
[89017] SET_SELL_TRIGGER,lLn3fa1FIk,FQP,78.26 
[89137] CANCEL_SET_SELL,lLn3fa1FIk,MOM 
[89237] SET_SELL_AMOUNT,lLn3fa1FIk,CSZ,556.93 
[89315] SET_SELL_TRIGGER,lLn3fa1FIk,CSZ,195.09 
[89342] ADD,lLn3fa1FIk,66337.44 
[89406] QUOTE,lLn3fa1FIk,ROW 
[89482] QUOTE,lLn3fa1FIk,WTD 
[89594] DISPLAY_SUMMARY,lLn3fa1FIk 
[89670] SET_SELL_TRIGGER,lLn3fa1FIk,RRT,178.26 
[89716] QUOTE,lLn3fa1FIk,JNO 
[89976] SET_SELL_TRIGGER,lLn3fa1FIk,IUN,136.37 
[90160] QUOTE,lLn3fa1FIk,TOZ 
[90237] BUY,lLn3fa1FIk,MRH,92.55 
[90303] BUY,lLn3fa1FIk,WKT,574.66 
[90309] COMMIT_SELL,lLn3fa1FIk 
[90562] ADD,lLn3fa1FIk,67882.00 
[90658] BUY,lLn3fa1FIk,TGY,413.54 
[91068] COMMIT_BUY,lLn3fa1FIk 
[91076] BUY,lLn3fa1FIk,QPX,295.00 
[91168] SET_BUY_TRIGGER,lLn3fa1FIk,JTY,25.11 
[91208] SET_BUY_TRIGGER,lLn3fa1FIk,MMY,51.58 
[91317] SET_SELL_TRIGGER,lLn3fa1FIk,JIO,58.18 
[91429] DISPLAY_SUMMARY,lLn3fa1FIk 
[91716] ADD,lLn3fa1FIk,84493.10 
[91753] BUY,lLn3fa1FIk,QPX,47.95 
[91815] CANCEL_BUY,lLn3fa1FIk 
[91917] SET_SELL_TRIGGER,lLn3fa1FIk,MLI,0.45 
[92102] ADD,lLn3fa1FIk,73835.08 
[92277] QUOTE,lLn3fa1FIk,GUB 
[92390] SELL,lLn3fa1FIk,CUZ,507.12 
[92405] COMMIT_SELL,lLn3fa1FIk 
[92419] SET_BUY_AMOUNT,lLn3fa1FIk,PTP,56.91 
[92442] SET_BUY_TRIGGER,lLn3fa1FIk,ZOZ,17.32 
[92465] ADD,lLn3fa1FIk,77991.16 
[92485] BUY,lLn3fa1FIk,KJD,71.09 
[92607] SET_SELL_AMOUNT,lLn3fa1FIk,SQI,702.80 
[92641] SET_SELL_TRIGGER,lLn3fa1FIk,SQI,579.40 
[92808] BUY,lLn3fa1FIk,WSR,486.90 
[92927] COMMIT_BUY,lLn3fa1FIk 
[92939] SET_BUY_AMOUNT,lLn3fa1FIk,SSF,240.21 
[93022] CANCEL_SET_BUY,lLn3fa1FIk,DHA 
[93031] SELL,lLn3fa1FIk,CUZ,66.18 
[93053] COMMIT_SELL,lLn3fa1FIk 
[93754] ADD,lLn3fa1FIk,95506.91 
[93865] COMMIT_BUY,lLn3fa1FIk 
[93908] DISPLAY_SUMMARY,lLn3fa1FIk 
[93937] DISPLAY_SUMMARY,lLn3fa1FIk 
[93968] BUY,lLn3fa1FIk,HFI,467.81 
[94048] SET_SELL_TRIGGER,lLn3fa1FIk,BFL,122.40 
[94064] BUY,lLn3fa1FIk,QAX,293.10 
[94112] COMMIT_BUY,lLn3fa1FIk 
[94326] ADD,lLn3fa1FIk,40839.05 
[94705] QUOTE,lLn3fa1FIk,CDF 
[94960] BUY,lLn3fa1FIk,YNY,600.63 
[95027] COMMIT_BUY,lLn3fa1FIk 
[95065] SELL,lLn3fa1FIk,QAX,207.14 
[95124] COMMIT_SELL,lLn3fa1FIk 
