[206] ADD,LAu7ZpcWWv,48692.02 
[46241] DISPLAY_SUMMARY,LAu7ZpcWWv 
[46473] CANCEL_SET_BUY,LAu7ZpcWWv,FPP 
[46515] SELL,LAu7ZpcWWv,ZTI,86.79 
[46590] CANCEL_SELL,LAu7ZpcWWv 
[46598] ADD,LAu7ZpcWWv,71527.00 
[46633] BUY,LAu7ZpcWWv,YGK,521.40 
[46991] SET_SELL_AMOUNT,LAu7ZpcWWv,QAX,609.23 
[47023] SET_SELL_TRIGGER,LAu7ZpcWWv,QAX,297.88 
[47050] SET_BUY_TRIGGER,LAu7ZpcWWv,PFK,90.22 
[47076] SELL,LAu7ZpcWWv,RUN,467.93 
[47155] COMMIT_SELL,LAu7ZpcWWv 
[47194] SET_BUY_AMOUNT,LAu7ZpcWWv,RGH,618.59 
[47330] SELL,LAu7ZpcWWv,FQP,174.47 
[47424] DISPLAY_SUMMARY,LAu7ZpcWWv 
[47500] DISPLAY_SUMMARY,LAu7ZpcWWv 
[47550] ADD,LAu7ZpcWWv,81849.36 
[47622] QUOTE,LAu7ZpcWWv,KKI 
[47682] BUY,LAu7ZpcWWv,TQX,339.72 
[47823] COMMIT_BUY,LAu7ZpcWWv 
[48026] ADD,LAu7ZpcWWv,73601.65 
[48156] QUOTE,LAu7ZpcWWv,EED 
[48298] BUY,LAu7ZpcWWv,NKC,149.36 
[48299] SET_BUY_TRIGGER,LAu7ZpcWWv,FWW,239.92 
[48413] ADD,LAu7ZpcWWv,70691.69 
[48511] CANCEL_SET_SELL,LAu7ZpcWWv,GMS 
[48570] DISPLAY_SUMMARY,LAu7ZpcWWv 
[48702] SET_BUY_TRIGGER,LAu7ZpcWWv,GUW,53.78 
[48815] SELL,LAu7ZpcWWv,LFU,367.46 
[48877] CANCEL_SELL,LAu7ZpcWWv 
[48979] SET_SELL_TRIGGER,LAu7ZpcWWv,JII,91.66 
[49009] ADD,LAu7ZpcWWv,75052.01 
[49129] BUY,LAu7ZpcWWv,IAV,694.78 
[49245] COMMIT_BUY,LAu7ZpcWWv 
[49335] SET_SELL_TRIGGER,LAu7ZpcWWv,XLI,6.86 
[49477] SET_BUY_TRIGGER,LAu7ZpcWWv,OIV,77.86 
[49515] SET_SELL_AMOUNT,LAu7ZpcWWv,EBS,424.63 
[49691] SET_SELL_TRIGGER,LAu7ZpcWWv,EBS,304.59 
[49814] DISPLAY_SUMMARY,LAu7ZpcWWv 
[49846] CANCEL_SELL,LAu7ZpcWWv 
[50224] DISPLAY_SUMMARY,LAu7ZpcWWv 
[50226] CANCEL_SET_BUY,LAu7ZpcWWv,GPM 
[50244] SELL,LAu7ZpcWWv,CUZ,572.65 
[50261] CANCEL_SET_SELL,LAu7ZpcWWv,ROW 
[50277] SET_BUY_AMOUNT,LAu7ZpcWWv,YJK,477.77 
[50460] SET_BUY_TRIGGER,LAu7ZpcWWv,FKX,382.52 
[50713] ADD,LAu7ZpcWWv,68441.38 
[50977] QUOTE,LAu7ZpcWWv,NXU 
[51414] QUOTE,LAu7ZpcWWv,EJW 
[51452] BUY,LAu7ZpcWWv,GAN,122.39 
[51476] SET_SELL_TRIGGER,LAu7ZpcWWv,SYM,21.70 
[51846] DISPLAY_SUMMARY,LAu7ZpcWWv 
[52095] SET_BUY_TRIGGER,LAu7ZpcWWv,MDZ,100.23 
[52097] SET_SELL_AMOUNT,LAu7ZpcWWv,ZAN,523.56 
[52230] CANCEL_SET_SELL,LAu7ZpcWWv,ZAN 
[52295] ADD,LAu7ZpcWWv,62723.63 
[52790] QUOTE,LAu7ZpcWWv,OEX 
[52819] QUOTE,LAu7ZpcWWv,NLP 
[52898] BUY,LAu7ZpcWWv,IFU,315.12 
[53061] SET_SELL_TRIGGER,LAu7ZpcWWv,VEE,131.67 
[53094] QUOTE,LAu7ZpcWWv,YKB 
[53179] BUY,LAu7ZpcWWv,BMQ,148.04 
[53277] COMMIT_BUY,LAu7ZpcWWv 
[53315] SET_SELL_TRIGGER,LAu7ZpcWWv,TQE,77.85 
[53370] ADD,LAu7ZpcWWv,62336.30 
[53459] QUOTE,LAu7ZpcWWv,ZJQ 
[53889] QUOTE,LAu7ZpcWWv,URI 
[53951] ADD,LAu7ZpcWWv,63239.78 
[54153] BUY,LAu7ZpcWWv,YZH,485.59 
[54363] COMMIT_BUY,LAu7ZpcWWv 
[54422] QUOTE,LAu7ZpcWWv,HEJ 
[54464] BUY,LAu7ZpcWWv,TJL,538.51 
[54687] CANCEL_BUY,LAu7ZpcWWv 
[55108] BUY,LAu7ZpcWWv,ZMK,640.45 
[55190] COMMIT_BUY,LAu7ZpcWWv 
[55195] BUY,LAu7ZpcWWv,SKY,245.64 
[55211] COMMIT_BUY,LAu7ZpcWWv 
[55370] DISPLAY_SUMMARY,LAu7ZpcWWv 
[55651] SELL,LAu7ZpcWWv,RUN,740.41 
[55690] SET_SELL_AMOUNT,LAu7ZpcWWv,JQO,250.58 
[55871] SET_SELL_TRIGGER,LAu7ZpcWWv,JQO,148.23 
[55873] QUOTE,LAu7ZpcWWv,RQL 
[56091] SET_BUY_AMOUNT,LAu7ZpcWWv,JRJ,424.12 
[56338] SET_BUY_TRIGGER,LAu7ZpcWWv,FYR,246.73 
[56380] ADD,LAu7ZpcWWv,62338.46 
[56408] BUY,LAu7ZpcWWv,KAS,273.34 
[56428] COMMIT_BUY,LAu7ZpcWWv 
[56623] DISPLAY_SUMMARY,LAu7ZpcWWv 
[56655] SET_SELL_AMOUNT,LAu7ZpcWWv,KDA,21.57 
[56742] BUY,LAu7ZpcWWv,MQH,693.18 
[57117] COMMIT_BUY,LAu7ZpcWWv 
[57140] SET_BUY_TRIGGER,LAu7ZpcWWv,ZJQ,181.35 
[57164] BUY,LAu7ZpcWWv,NUL,675.48 
[57182] SET_BUY_AMOUNT,LAu7ZpcWWv,KES,670.26 
[57516] SET_BUY_TRIGGER,LAu7ZpcWWv,RFC,333.99 
[57651] DISPLAY_SUMMARY,LAu7ZpcWWv 
[57682] SET_BUY_AMOUNT,LAu7ZpcWWv,KES,318.26 
[57810] SET_BUY_TRIGGER,LAu7ZpcWWv,UBJ,31.26 
[57873] SET_BUY_AMOUNT,LAu7ZpcWWv,KDA,385.76 
[57933] SET_BUY_TRIGGER,LAu7ZpcWWv,YIU,365.20 
[58071] SET_BUY_AMOUNT,LAu7ZpcWWv,CSZ,455.66 
[58172] DISPLAY_SUMMARY,LAu7ZpcWWv 
[58177] SELL,LAu7ZpcWWv,OPN,242.08 
[58244] SET_BUY_TRIGGER,LAu7ZpcWWv,KJM,309.54 
[58275] SET_SELL_AMOUNT,LAu7ZpcWWv,JCQ,352.43 
[58337] SET_SELL_TRIGGER,LAu7ZpcWWv,JCQ,296.90 
[58391] ADD,LAu7ZpcWWv,80187.92 
[58551] DISPLAY_SUMMARY,LAu7ZpcWWv 
[58605] SET_SELL_TRIGGER,LAu7ZpcWWv,KYX,133.50 
[58720] SELL,LAu7ZpcWWv,JRJ,459.36 
[58797] SET_SELL_AMOUNT,LAu7ZpcWWv,ZTI,187.44 
[59049] SET_SELL_TRIGGER,LAu7ZpcWWv,ZTI,148.96 
[59278] COMMIT_SELL,LAu7ZpcWWv 
[59282] DISPLAY_SUMMARY,LAu7ZpcWWv 
[59720] SET_SELL_TRIGGER,LAu7ZpcWWv,JLK,189.23 
[59796] SET_BUY_AMOUNT,LAu7ZpcWWv,KDA,227.41 
[59821] SET_BUY_TRIGGER,LAu7ZpcWWv,WQC,173.68 
[59854] BUY,LAu7ZpcWWv,IFQ,618.16 
[59856] CANCEL_SET_BUY,LAu7ZpcWWv,ZCG 
[59936] SELL,LAu7ZpcWWv,OPN,9.75 
[60020] CANCEL_BUY,LAu7ZpcWWv 
[60046] ADD,LAu7ZpcWWv,87787.57 
[60130] QUOTE,LAu7ZpcWWv,TXB 
[60238] SET_BUY_AMOUNT,LAu7ZpcWWv,GYF,744.25 
[60267] SET_BUY_TRIGGER,LAu7ZpcWWv,LKV,161.06 
[60481] BUY,LAu7ZpcWWv,TGY,418.82 
[60523] COMMIT_BUY,LAu7ZpcWWv 
[60595] QUOTE,LAu7ZpcWWv,JFJ 
[60643] SET_SELL_AMOUNT,LAu7ZpcWWv,LFU,364.06 
[60840] BUY,LAu7ZpcWWv,BXH,246.19 
[60860] COMMIT_BUY,LAu7ZpcWWv 
[60897] DISPLAY_SUMMARY,LAu7ZpcWWv 
[60982] SET_BUY_TRIGGER,LAu7ZpcWWv,BHQ,85.44 
[61111] ADD,LAu7ZpcWWv,81696.89 
[61149] SET_BUY_TRIGGER,LAu7ZpcWWv,IQZ,122.95 
[61184] ADD,LAu7ZpcWWv,68368.10 
[61223] QUOTE,LAu7ZpcWWv,NUV 
[61349] ADD,LAu7ZpcWWv,72080.75 
[61390] BUY,LAu7ZpcWWv,VNN,554.55 
[61588] SET_SELL_AMOUNT,LAu7ZpcWWv,SUS,121.76 
[61892] SET_SELL_TRIGGER,LAu7ZpcWWv,SUS,53.77 
[61898] SET_BUY_TRIGGER,LAu7ZpcWWv,FPI,107.53 
[61937] COMMIT_SELL,LAu7ZpcWWv 
[62164] ADD,LAu7ZpcWWv,63089.63 
[62202] BUY,LAu7ZpcWWv,BWL,169.33 
[62236] COMMIT_BUY,LAu7ZpcWWv 
[62250] CANCEL_BUY,LAu7ZpcWWv 
[62328] BUY,LAu7ZpcWWv,OEY,306.30 
[62462] SET_SELL_AMOUNT,LAu7ZpcWWv,JRJ,248.45 
[62600] SET_SELL_TRIGGER,LAu7ZpcWWv,JRJ,241.38 
[62718] DISPLAY_SUMMARY,LAu7ZpcWWv 
[62740] DISPLAY_SUMMARY,LAu7ZpcWWv 
[62801] DISPLAY_SUMMARY,LAu7ZpcWWv 
[62973] ADD,LAu7ZpcWWv,82062.11 
[63018] ADD,LAu7ZpcWWv,58782.68 
[63035] COMMIT_BUY,LAu7ZpcWWv 
[63230] ADD,LAu7ZpcWWv,79953.81 
[63266] DISPLAY_SUMMARY,LAu7ZpcWWv 
[63325] SET_BUY_AMOUNT,LAu7ZpcWWv,BYA,497.46 
[63363] SET_BUY_TRIGGER,LAu7ZpcWWv,BVN,485.52 
[63509] CANCEL_SET_SELL,LAu7ZpcWWv,ZZD 
[63935] BUY,LAu7ZpcWWv,XXQ,441.16 
[64090] COMMIT_BUY,LAu7ZpcWWv 
[64164] SELL,LAu7ZpcWWv,UBJ,280.61 
[64215] COMMIT_SELL,LAu7ZpcWWv 
[64276] DISPLAY_SUMMARY,LAu7ZpcWWv 
[64311] DISPLAY_SUMMARY,LAu7ZpcWWv 
[64404] SET_BUY_AMOUNT,LAu7ZpcWWv,JRJ,39.10 
[64466] SET_BUY_TRIGGER,LAu7ZpcWWv,NDO,34.34 
[64486] BUY,LAu7ZpcWWv,CNN,48.20 
[64604] COMMIT_BUY,LAu7ZpcWWv 
[64705] QUOTE,LAu7ZpcWWv,QEO 
[64892] SET_BUY_TRIGGER,LAu7ZpcWWv,YBP,189.41 
[65209] DISPLAY_SUMMARY,LAu7ZpcWWv 
[65333] DISPLAY_SUMMARY,LAu7ZpcWWv 
[65516] SELL,LAu7ZpcWWv,KDA,264.60 
[65863] SET_BUY_AMOUNT,LAu7ZpcWWv,GRM,462.06 
[65902] SET_BUY_TRIGGER,LAu7ZpcWWv,IOY,69.96 
[65949] CANCEL_SET_BUY,LAu7ZpcWWv,XER 
[66161] SET_SELL_AMOUNT,LAu7ZpcWWv,DFE,595.54 
[66167] CANCEL_SET_SELL,LAu7ZpcWWv,DFE 
[66217] DISPLAY_SUMMARY,LAu7ZpcWWv 
[66237] SET_BUY_AMOUNT,LAu7ZpcWWv,CSZ,260.95 
[66313] CANCEL_SET_BUY,LAu7ZpcWWv,YWK 
[66383] SELL,LAu7ZpcWWv,XLK,658.21 
[66456] CANCEL_BUY,LAu7ZpcWWv 
[66513] CANCEL_SET_BUY,LAu7ZpcWWv,XBL 
[66617] ADD,LAu7ZpcWWv,68446.80 
[66618] SET_SELL_AMOUNT,LAu7ZpcWWv,DFE,621.53 
[66683] QUOTE,LAu7ZpcWWv,GDF 
[66718] BUY,LAu7ZpcWWv,JGY,325.63 
[66723] COMMIT_SELL,LAu7ZpcWWv 
[66738] SET_SELL_AMOUNT,LAu7ZpcWWv,OPN,256.58 
[66776] SET_SELL_TRIGGER,LAu7ZpcWWv,OPN,243.16 
[66967] ADD,LAu7ZpcWWv,45982.57 
[66990] BUY,LAu7ZpcWWv,ZEU,29.74 
[66994] SET_BUY_TRIGGER,LAu7ZpcWWv,JII,63.03 
[67012] BUY,LAu7ZpcWWv,OOI,445.34 
[67368] COMMIT_BUY,LAu7ZpcWWv 
[67412] QUOTE,LAu7ZpcWWv,GXT 
[67460] SET_BUY_TRIGGER,LAu7ZpcWWv,SBT,74.37 
[67519] QUOTE,LAu7ZpcWWv,XSS 
[67670] QUOTE,LAu7ZpcWWv,LGL 
[67764] ADD,LAu7ZpcWWv,70156.04 
[67778] BUY,LAu7ZpcWWv,KJM,582.23 
[67947] QUOTE,LAu7ZpcWWv,GDO 
[67995] DISPLAY_SUMMARY,LAu7ZpcWWv 
[68092] QUOTE,LAu7ZpcWWv,GTX 
[68127] BUY,LAu7ZpcWWv,BHJ,668.51 
[68182] COMMIT_BUY,LAu7ZpcWWv 
[68200] BUY,LAu7ZpcWWv,MLT,607.25 
[68249] COMMIT_BUY,LAu7ZpcWWv 
[68584] BUY,LAu7ZpcWWv,QOD,29.17 
[68731] COMMIT_BUY,LAu7ZpcWWv 
[68743] ADD,LAu7ZpcWWv,77132.95 
[68755] COMMIT_BUY,LAu7ZpcWWv 
[68786] DISPLAY_SUMMARY,LAu7ZpcWWv 
[68864] DISPLAY_SUMMARY,LAu7ZpcWWv 
[69017] QUOTE,LAu7ZpcWWv,FTJ 
[69090] ADD,LAu7ZpcWWv,57629.13 
[69145] BUY,LAu7ZpcWWv,YQC,3.66 
[69292] SELL,LAu7ZpcWWv,CEC,199.40 
[69300] CANCEL_BUY,LAu7ZpcWWv 
[69520] SELL,LAu7ZpcWWv,ZYR,149.11 
[69787] CANCEL_SELL,LAu7ZpcWWv 
[69825] SET_SELL_AMOUNT,LAu7ZpcWWv,UBJ,433.69 
[69829] DISPLAY_SUMMARY,LAu7ZpcWWv 
[69882] SET_SELL_AMOUNT,LAu7ZpcWWv,FQP,204.17 
[70119] SET_SELL_TRIGGER,LAu7ZpcWWv,FQP,21.24 
[70148] CANCEL_SET_BUY,LAu7ZpcWWv,OOR 
[70366] SET_SELL_TRIGGER,LAu7ZpcWWv,DTG,54.19 
[70404] QUOTE,LAu7ZpcWWv,UJC 
[70414] BUY,LAu7ZpcWWv,PZE,246.84 
[70429] COMMIT_BUY,LAu7ZpcWWv 
[70996] SET_BUY_AMOUNT,LAu7ZpcWWv,CUZ,397.31 
[71017] SET_BUY_TRIGGER,LAu7ZpcWWv,RXO,361.35 
[71124] BUY,LAu7ZpcWWv,KJH,542.62 
[71213] COMMIT_BUY,LAu7ZpcWWv 
[71331] ADD,LAu7ZpcWWv,76398.07 
[71469] BUY,LAu7ZpcWWv,UTL,469.80 
[71474] COMMIT_BUY,LAu7ZpcWWv 
[71490] CANCEL_SET_BUY,LAu7ZpcWWv,LPB 
[71611] DISPLAY_SUMMARY,LAu7ZpcWWv 
[71753] SET_SELL_AMOUNT,LAu7ZpcWWv,EBS,185.64 
[71790] SET_SELL_TRIGGER,LAu7ZpcWWv,EBS,16.99 
[71814] ADD,LAu7ZpcWWv,98085.00 
[72058] QUOTE,LAu7ZpcWWv,KQZ 
[72133] CANCEL_BUY,LAu7ZpcWWv 
[72288] SET_SELL_AMOUNT,LAu7ZpcWWv,NHG,736.01 
[72339] DISPLAY_SUMMARY,LAu7ZpcWWv 
[72482] DISPLAY_SUMMARY,LAu7ZpcWWv 
[72797] DISPLAY_SUMMARY,LAu7ZpcWWv 
[73081] SET_BUY_TRIGGER,LAu7ZpcWWv,KLY,57.35 
[73112] ADD,LAu7ZpcWWv,85611.44 
[73169] QUOTE,LAu7ZpcWWv,QEO 
[73470] CANCEL_BUY,LAu7ZpcWWv 
[73712] SET_BUY_AMOUNT,LAu7ZpcWWv,CBO,602.36 
[73782] SET_BUY_TRIGGER,LAu7ZpcWWv,PGV,551.60 
[73829] SELL,LAu7ZpcWWv,UBJ,17.93 
[73921] COMMIT_SELL,LAu7ZpcWWv 
[74062] BUY,LAu7ZpcWWv,KDG,418.14 
[74127] COMMIT_BUY,LAu7ZpcWWv 
[74192] SELL,LAu7ZpcWWv,BCQ,286.78 
[74242] COMMIT_SELL,LAu7ZpcWWv 
[74276] ADD,LAu7ZpcWWv,53540.32 
[74323] QUOTE,LAu7ZpcWWv,VSE 
[74340] BUY,LAu7ZpcWWv,MQF,144.26 
[74400] COMMIT_SELL,LAu7ZpcWWv 
[74411] DISPLAY_SUMMARY,LAu7ZpcWWv 
[74425] ADD,LAu7ZpcWWv,63473.66 
[74479] BUY,LAu7ZpcWWv,PST,55.25 
[74528] COMMIT_BUY,LAu7ZpcWWv 
[74676] SELL,LAu7ZpcWWv,KES,252.85 
[74730] COMMIT_SELL,LAu7ZpcWWv 
[74866] SET_SELL_AMOUNT,LAu7ZpcWWv,JQO,575.99 
[74905] SET_SELL_TRIGGER,LAu7ZpcWWv,JQO,133.78 
[74934] BUY,LAu7ZpcWWv,RVZ,691.57 
[75006] DISPLAY_SUMMARY,LAu7ZpcWWv 
[75096] QUOTE,LAu7ZpcWWv,CTT 
[75271] BUY,LAu7ZpcWWv,MXD,242.15 
[75380] CANCEL_BUY,LAu7ZpcWWv 
[75407] SET_SELL_TRIGGER,LAu7ZpcWWv,PIC,177.41 
[75581] DISPLAY_SUMMARY,LAu7ZpcWWv 
[75639] SET_BUY_TRIGGER,LAu7ZpcWWv,AAC,153.45 
[75640] SET_SELL_AMOUNT,LAu7ZpcWWv,YJK,107.02 
[75713] SET_SELL_TRIGGER,LAu7ZpcWWv,YJK,103.87 
[75749] BUY,LAu7ZpcWWv,UHO,498.84 
[75961] CANCEL_BUY,LAu7ZpcWWv 
[76004] BUY,LAu7ZpcWWv,ZHB,49.82 
[76109] CANCEL_SET_BUY,LAu7ZpcWWv,ZSV 
[76117] SET_BUY_AMOUNT,LAu7ZpcWWv,JZJ,687.01 
[76136] SET_BUY_TRIGGER,LAu7ZpcWWv,EUC,188.35 
[76218] SELL,LAu7ZpcWWv,QAX,55.10 
[76237] CANCEL_SET_SELL,LAu7ZpcWWv,NXU 
[76308] QUOTE,LAu7ZpcWWv,ZNL 
[76347] BUY,LAu7ZpcWWv,ATW,628.89 
[76353] COMMIT_BUY,LAu7ZpcWWv 
[76385] SELL,LAu7ZpcWWv,PTP,118.38 
[76492] CANCEL_SELL,LAu7ZpcWWv 
[76670] SET_SELL_TRIGGER,LAu7ZpcWWv,GTB,63.59 
[76707] SET_BUY_TRIGGER,LAu7ZpcWWv,GYT,178.48 
[77008] SET_BUY_TRIGGER,LAu7ZpcWWv,ARP,84.85 
[77013] ADD,LAu7ZpcWWv,64476.14 
[77056] BUY,LAu7ZpcWWv,LGL,225.51 
[77156] CANCEL_BUY,LAu7ZpcWWv 
[77247] BUY,LAu7ZpcWWv,AEM,568.60 
[77305] COMMIT_BUY,LAu7ZpcWWv 
[77312] BUY,LAu7ZpcWWv,JUJ,278.10 
[77347] COMMIT_BUY,LAu7ZpcWWv 
[77525] BUY,LAu7ZpcWWv,VUS,679.03 
[77549] COMMIT_BUY,LAu7ZpcWWv 
[77625] SELL,LAu7ZpcWWv,EBS,245.95 
[77648] CANCEL_SELL,LAu7ZpcWWv 
[77686] SET_BUY_AMOUNT,LAu7ZpcWWv,SSF,226.27 
[77839] SET_BUY_TRIGGER,LAu7ZpcWWv,DLX,195.96 
[77855] SET_BUY_AMOUNT,LAu7ZpcWWv,IFN,99.75 
[77879] SET_BUY_TRIGGER,LAu7ZpcWWv,OOT,42.46 
[77963] QUOTE,LAu7ZpcWWv,KIP 
[78093] BUY,LAu7ZpcWWv,KEO,297.94 
[78265] CANCEL_SELL,LAu7ZpcWWv 
[78380] CANCEL_SET_BUY,LAu7ZpcWWv,CLH 
[78401] SET_BUY_TRIGGER,LAu7ZpcWWv,PHZ,94.75 
[78407] SET_SELL_AMOUNT,LAu7ZpcWWv,QJZ,437.52 
[78487] SET_SELL_TRIGGER,LAu7ZpcWWv,QJZ,34.37 
[78638] QUOTE,LAu7ZpcWWv,JMX 
[78938] BUY,LAu7ZpcWWv,PJW,159.07 
[79038] SET_SELL_AMOUNT,LAu7ZpcWWv,OPN,30.19 
[79058] SET_SELL_TRIGGER,LAu7ZpcWWv,OPN,25.77 
[79068] CANCEL_SET_SELL,LAu7ZpcWWv,OOV 
[79165] SET_BUY_AMOUNT,LAu7ZpcWWv,LZV,687.29 
[79247] SET_BUY_TRIGGER,LAu7ZpcWWv,OIV,551.36 
[79276] ADD,LAu7ZpcWWv,38378.95 
[79333] BUY,LAu7ZpcWWv,FPI,558.79 
[79356] SET_BUY_TRIGGER,LAu7ZpcWWv,LSK,150.87 
[79528] ADD,LAu7ZpcWWv,61243.06 
[79566] CANCEL_SET_SELL,LAu7ZpcWWv,XPX 
[79593] SELL,LAu7ZpcWWv,IFN,277.41 
[79669] COMMIT_SELL,LAu7ZpcWWv 
[79969] BUY,LAu7ZpcWWv,SYT,221.55 
[80091] COMMIT_BUY,LAu7ZpcWWv 
[80118] ADD,LAu7ZpcWWv,57248.95 
[80156] BUY,LAu7ZpcWWv,UHO,164.64 
[80272] COMMIT_BUY,LAu7ZpcWWv 
[80359] SET_SELL_TRIGGER,LAu7ZpcWWv,BVN,109.85 
[80725] QUOTE,LAu7ZpcWWv,FYA 
[80970] CANCEL_SET_BUY,LAu7ZpcWWv,FIW 
[80973] SET_BUY_AMOUNT,LAu7ZpcWWv,JVT,749.49 
[81200] DISPLAY_SUMMARY,LAu7ZpcWWv 
[81392] SET_BUY_TRIGGER,LAu7ZpcWWv,GAV,235.68 
[81402] BUY,LAu7ZpcWWv,RQF,545.77 
[81493] COMMIT_BUY,LAu7ZpcWWv 
[81548] ADD,LAu7ZpcWWv,46011.33 
[81654] CANCEL_SELL,LAu7ZpcWWv 
[81837] DISPLAY_SUMMARY,LAu7ZpcWWv 
[82020] SET_SELL_TRIGGER,LAu7ZpcWWv,QJC,96.59 
[82042] SELL,LAu7ZpcWWv,TVI,613.45 
[82097] DISPLAY_SUMMARY,LAu7ZpcWWv 
[82225] BUY,LAu7ZpcWWv,SCK,622.96 
[82242] CANCEL_BUY,LAu7ZpcWWv 
[82249] QUOTE,LAu7ZpcWWv,VAT 
[82251] COMMIT_BUY,LAu7ZpcWWv 
[82296] DISPLAY_SUMMARY,LAu7ZpcWWv 
[82387] CANCEL_BUY,LAu7ZpcWWv 
[82422] SET_SELL_TRIGGER,LAu7ZpcWWv,IPH,147.68 
[82478] SET_BUY_TRIGGER,LAu7ZpcWWv,WZY,40.05 
[82835] ADD,LAu7ZpcWWv,77639.88 
[82965] BUY,LAu7ZpcWWv,KBN,239.69 
[83025] CANCEL_BUY,LAu7ZpcWWv 
[83089] SET_SELL_TRIGGER,LAu7ZpcWWv,MOM,191.38 
[83220] SELL,LAu7ZpcWWv,TVI,697.75 
[83308] COMMIT_SELL,LAu7ZpcWWv 
[83451] BUY,LAu7ZpcWWv,FCM,119.33 
[83571] CANCEL_BUY,LAu7ZpcWWv 
[83639] SET_SELL_TRIGGER,LAu7ZpcWWv,JRJ,84.40 
[83827] CANCEL_SET_SELL,LAu7ZpcWWv,GRM 
[83842] SET_BUY_TRIGGER,LAu7ZpcWWv,ATE,188.47 
[83875] SELL,LAu7ZpcWWv,CEC,397.54 
[83936] CANCEL_SET_SELL,LAu7ZpcWWv,SYL 
[84012] ADD,LAu7ZpcWWv,80785.16 
[84155] QUOTE,LAu7ZpcWWv,JFF 
[84188] QUOTE,LAu7ZpcWWv,NSW 
[84194] QUOTE,LAu7ZpcWWv,JUV 
[84217] BUY,LAu7ZpcWWv,SQS,715.06 
[84482] COMMIT_BUY,LAu7ZpcWWv 
[84697] SET_SELL_TRIGGER,LAu7ZpcWWv,GSW,59.70 
[84954] COMMIT_SELL,LAu7ZpcWWv 
[85042] SET_SELL_TRIGGER,LAu7ZpcWWv,BFB,91.49 
[85043] SELL,LAu7ZpcWWv,KES,674.56 
[85051] COMMIT_SELL,LAu7ZpcWWv 
[85073] ADD,LAu7ZpcWWv,58698.32 
[85285] QUOTE,LAu7ZpcWWv,JUV 
[85530] SET_BUY_TRIGGER,LAu7ZpcWWv,HSJ,52.43 
[85534] BUY,LAu7ZpcWWv,XME,308.31 
[85557] DISPLAY_SUMMARY,LAu7ZpcWWv 
[85595] ADD,LAu7ZpcWWv,77226.03 
[85611] BUY,LAu7ZpcWWv,URI,164.97 
[85688] SET_SELL_TRIGGER,LAu7ZpcWWv,VTY,53.21 
[85810] CANCEL_BUY,LAu7ZpcWWv 
[85814] SET_SELL_AMOUNT,LAu7ZpcWWv,MFX,383.64 
[85945] SET_SELL_TRIGGER,LAu7ZpcWWv,MFX,9.85 
[85968] SET_SELL_AMOUNT,LAu7ZpcWWv,XLK,615.16 
[86216] SELL,LAu7ZpcWWv,ZYR,269.07 
[86231] SET_SELL_AMOUNT,LAu7ZpcWWv,QVK,237.36 
[86498] SET_SELL_TRIGGER,LAu7ZpcWWv,QVK,120.26 
[86567] ADD,LAu7ZpcWWv,78854.61 
[86569] COMMIT_BUY,LAu7ZpcWWv 
[86602] ADD,LAu7ZpcWWv,36798.57 
[86622] QUOTE,LAu7ZpcWWv,PWK 
[86699] SET_BUY_TRIGGER,LAu7ZpcWWv,WYR,54.69 
[87000] SET_SELL_TRIGGER,LAu7ZpcWWv,DHA,141.45 
[87042] DISPLAY_SUMMARY,LAu7ZpcWWv 
[87093] DISPLAY_SUMMARY,LAu7ZpcWWv 
[87209] SET_BUY_TRIGGER,LAu7ZpcWWv,WRJ,74.71 
[87259] DISPLAY_SUMMARY,LAu7ZpcWWv 
[87268] ADD,LAu7ZpcWWv,68679.18 
[87722] BUY,LAu7ZpcWWv,QWC,574.57 
[87733] COMMIT_BUY,LAu7ZpcWWv 
[88267] DISPLAY_SUMMARY,LAu7ZpcWWv 
[88336] SET_BUY_TRIGGER,LAu7ZpcWWv,QPX,67.52 
[88403] SET_BUY_AMOUNT,LAu7ZpcWWv,KES,273.56 
[88406] SET_BUY_TRIGGER,LAu7ZpcWWv,AMI,17.08 
[88427] QUOTE,LAu7ZpcWWv,WZY 
[88668] QUOTE,LAu7ZpcWWv,OTQ 
[89065] SET_BUY_TRIGGER,LAu7ZpcWWv,QPZ,175.79 
[89226] SET_BUY_AMOUNT,LAu7ZpcWWv,EBS,665.54 
[89299] SET_BUY_TRIGGER,LAu7ZpcWWv,TQX,445.01 
[89438] BUY,LAu7ZpcWWv,HCN,305.34 
[89479] SET_SELL_TRIGGER,LAu7ZpcWWv,RXO,168.65 
[89682] SET_BUY_TRIGGER,LAu7ZpcWWv,DBS,147.50 
[89688] SET_BUY_AMOUNT,LAu7ZpcWWv,LFU,48.25 
[89706] SET_BUY_TRIGGER,LAu7ZpcWWv,ESN,33.10 
[89856] ADD,LAu7ZpcWWv,79680.68 
[89936] BUY,LAu7ZpcWWv,JUE,32.00 
[90000] COMMIT_BUY,LAu7ZpcWWv 
[90021] DISPLAY_SUMMARY,LAu7ZpcWWv 
[90097] BUY,LAu7ZpcWWv,KVJ,372.10 
[90180] QUOTE,LAu7ZpcWWv,KGV 
[90231] BUY,LAu7ZpcWWv,VOY,106.19 
[90382] SET_BUY_TRIGGER,LAu7ZpcWWv,NQU,156.53 
[90516] BUY,LAu7ZpcWWv,OEY,17.96 
[90524] COMMIT_BUY,LAu7ZpcWWv 
