[118] ADD,XwKSBoZ6lO,73378.95 
[44102] DISPLAY_SUMMARY,XwKSBoZ6lO 
[44215] SELL,XwKSBoZ6lO,UTV,402.25 
[44232] COMMIT_BUY,XwKSBoZ6lO 
[44362] ADD,XwKSBoZ6lO,92501.81 
[44435] QUOTE,XwKSBoZ6lO,IOY 
[44517] SET_SELL_AMOUNT,XwKSBoZ6lO,DFE,529.53 
[44540] SET_SELL_TRIGGER,XwKSBoZ6lO,DFE,420.95 
[44601] ADD,XwKSBoZ6lO,65596.81 
[44863] QUOTE,XwKSBoZ6lO,TXB 
[45091] SET_SELL_AMOUNT,XwKSBoZ6lO,YJK,412.74 
[45114] SET_SELL_TRIGGER,XwKSBoZ6lO,YJK,212.51 
[45177] ADD,XwKSBoZ6lO,82077.95 
[45278] BUY,XwKSBoZ6lO,BEG,435.60 
[45314] COMMIT_BUY,XwKSBoZ6lO 
[45599] DISPLAY_SUMMARY,XwKSBoZ6lO 
[45634] SET_BUY_TRIGGER,XwKSBoZ6lO,NFV,32.05 
[45764] QUOTE,XwKSBoZ6lO,KMZ 
[45944] BUY,XwKSBoZ6lO,RXO,171.44 
[46021] QUOTE,XwKSBoZ6lO,KHY 
[46050] COMMIT_BUY,XwKSBoZ6lO 
[46228] DISPLAY_SUMMARY,XwKSBoZ6lO 
[46244] SET_SELL_AMOUNT,XwKSBoZ6lO,JCQ,210.49 
[46303] SET_SELL_TRIGGER,XwKSBoZ6lO,JCQ,198.14 
[46365] DISPLAY_SUMMARY,XwKSBoZ6lO 
[46442] ADD,XwKSBoZ6lO,88885.34 
[46454] SELL,XwKSBoZ6lO,BCQ,730.88 
[46505] COMMIT_SELL,XwKSBoZ6lO 
[46568] ADD,XwKSBoZ6lO,82421.99 
[46717] CANCEL_SET_SELL,XwKSBoZ6lO,FIC 
[46740] DISPLAY_SUMMARY,XwKSBoZ6lO 
[46915] SET_SELL_TRIGGER,XwKSBoZ6lO,PUU,47.17 
[46921] SET_BUY_TRIGGER,XwKSBoZ6lO,JZJ,56.09 
[47176] QUOTE,XwKSBoZ6lO,GTN 
[47238] BUY,XwKSBoZ6lO,PBV,229.58 
[47290] QUOTE,XwKSBoZ6lO,JMG 
[47317] SET_BUY_TRIGGER,XwKSBoZ6lO,SYU,169.24 
[47626] DISPLAY_SUMMARY,XwKSBoZ6lO 
[48099] SET_BUY_AMOUNT,XwKSBoZ6lO,RUN,343.56 
[48117] SET_BUY_TRIGGER,XwKSBoZ6lO,XXP,283.23 
[48195] SELL,XwKSBoZ6lO,XXQ,660.75 
[48703] SET_SELL_AMOUNT,XwKSBoZ6lO,JVT,247.72 
[48811] SET_SELL_TRIGGER,XwKSBoZ6lO,JVT,65.20 
[49032] DISPLAY_SUMMARY,XwKSBoZ6lO 
[49052] SET_BUY_AMOUNT,XwKSBoZ6lO,QJZ,572.43 
[49094] QUOTE,XwKSBoZ6lO,RUN 
[49125] BUY,XwKSBoZ6lO,LPW,81.18 
[49218] CANCEL_SELL,XwKSBoZ6lO 
[49317] DISPLAY_SUMMARY,XwKSBoZ6lO 
[49448] DISPLAY_SUMMARY,XwKSBoZ6lO 
[49490] ADD,XwKSBoZ6lO,64456.17 
[49606] BUY,XwKSBoZ6lO,ALG,258.33 
[49773] COMMIT_BUY,XwKSBoZ6lO 
[49826] ADD,XwKSBoZ6lO,66698.84 
[50026] CANCEL_SET_SELL,XwKSBoZ6lO,YMG 
[50043] BUY,XwKSBoZ6lO,NAR,57.66 
[50145] COMMIT_BUY,XwKSBoZ6lO 
[50427] DISPLAY_SUMMARY,XwKSBoZ6lO 
[50499] QUOTE,XwKSBoZ6lO,NFQ 
[50618] ADD,XwKSBoZ6lO,70634.40 
[50646] QUOTE,XwKSBoZ6lO,OYW 
[51108] BUY,XwKSBoZ6lO,PLA,95.11 
[51120] COMMIT_BUY,XwKSBoZ6lO 
[51234] DISPLAY_SUMMARY,XwKSBoZ6lO 
[51235] ADD,XwKSBoZ6lO,93891.88 
[51279] BUY,XwKSBoZ6lO,OEX,126.13 
[51305] COMMIT_BUY,XwKSBoZ6lO 
[51435] SELL,XwKSBoZ6lO,QJZ,272.05 
[51464] COMMIT_SELL,XwKSBoZ6lO 
[51528] SET_BUY_TRIGGER,XwKSBoZ6lO,RNK,280.27 
[51590] QUOTE,XwKSBoZ6lO,CTI 
[51599] BUY,XwKSBoZ6lO,VEE,412.89 
[51811] COMMIT_BUY,XwKSBoZ6lO 
[51867] SET_SELL_TRIGGER,XwKSBoZ6lO,OGR,76.49 
[52157] QUOTE,XwKSBoZ6lO,OGB 
[52242] BUY,XwKSBoZ6lO,RVU,285.29 
[52268] CANCEL_SELL,XwKSBoZ6lO 
[52525] BUY,XwKSBoZ6lO,XXT,142.55 
[52718] COMMIT_BUY,XwKSBoZ6lO 
[52845] SET_SELL_TRIGGER,XwKSBoZ6lO,ZCQ,91.55 
[52868] DISPLAY_SUMMARY,XwKSBoZ6lO 
[52955] COMMIT_SELL,XwKSBoZ6lO 
[52995] ADD,XwKSBoZ6lO,74419.60 
[53000] QUOTE,XwKSBoZ6lO,STO 
[53023] CANCEL_BUY,XwKSBoZ6lO 
[53227] DISPLAY_SUMMARY,XwKSBoZ6lO 
[53322] BUY,XwKSBoZ6lO,RKQ,486.00 
[53505] SET_BUY_AMOUNT,XwKSBoZ6lO,JZJ,501.92 
[53717] SET_BUY_TRIGGER,XwKSBoZ6lO,VVW,455.50 
[53738] DISPLAY_SUMMARY,XwKSBoZ6lO 
[53886] BUY,XwKSBoZ6lO,MSV,606.13 
[53896] COMMIT_BUY,XwKSBoZ6lO 
[53956] SET_SELL_AMOUNT,XwKSBoZ6lO,EBS,297.77 
[54480] SET_SELL_TRIGGER,XwKSBoZ6lO,EBS,114.97 
[54495] ADD,XwKSBoZ6lO,109052.02 
[54551] QUOTE,XwKSBoZ6lO,WBL 
[54713] BUY,XwKSBoZ6lO,IPJ,5.54 
[54799] CANCEL_SET_SELL,XwKSBoZ6lO,AAC 
[54896] ADD,XwKSBoZ6lO,75043.22 
[54962] BUY,XwKSBoZ6lO,ZRJ,526.53 
[55037] COMMIT_BUY,XwKSBoZ6lO 
[55379] CANCEL_SET_SELL,XwKSBoZ6lO,PPW 
[55506] SELL,XwKSBoZ6lO,NHG,198.58 
[56016] COMMIT_SELL,XwKSBoZ6lO 
[56076] ADD,XwKSBoZ6lO,99320.79 
[56198] SET_BUY_TRIGGER,XwKSBoZ6lO,NIR,47.26 
[56227] SELL,XwKSBoZ6lO,JQO,273.41 
[56238] COMMIT_SELL,XwKSBoZ6lO 
[56381] ADD,XwKSBoZ6lO,45529.17 
[56420] QUOTE,XwKSBoZ6lO,APY 
[56616] SET_BUY_AMOUNT,XwKSBoZ6lO,YJK,536.69 
[56679] BUY,XwKSBoZ6lO,YBP,512.59 
[56719] CANCEL_BUY,XwKSBoZ6lO 
[57000] SET_SELL_TRIGGER,XwKSBoZ6lO,VEE,73.99 
[57009] COMMIT_SELL,XwKSBoZ6lO 
[57093] DISPLAY_SUMMARY,XwKSBoZ6lO 
[57209] SELL,XwKSBoZ6lO,ZTI,51.18 
[57413] DISPLAY_SUMMARY,XwKSBoZ6lO 
[57431] DISPLAY_SUMMARY,XwKSBoZ6lO 
[57508] CANCEL_SET_SELL,XwKSBoZ6lO,ZNL 
[57540] SELL,XwKSBoZ6lO,FDI,446.49 
[57789] QUOTE,XwKSBoZ6lO,VJV 
[57815] CANCEL_SELL,XwKSBoZ6lO 
[57921] DISPLAY_SUMMARY,XwKSBoZ6lO 
[58004] SET_SELL_AMOUNT,XwKSBoZ6lO,AVX,126.27 
[58122] CANCEL_SET_SELL,XwKSBoZ6lO,AVX 
[58151] SET_BUY_TRIGGER,XwKSBoZ6lO,MLU,490.99 
[58231] BUY,XwKSBoZ6lO,JIO,0.80 
[58319] COMMIT_BUY,XwKSBoZ6lO 
[58388] SET_SELL_AMOUNT,XwKSBoZ6lO,ZAN,569.50 
[58463] CANCEL_SET_SELL,XwKSBoZ6lO,ZAN 
[58473] DISPLAY_SUMMARY,XwKSBoZ6lO 
[58582] ADD,XwKSBoZ6lO,55695.86 
[58806] BUY,XwKSBoZ6lO,WBX,704.15 
[58992] CANCEL_SET_SELL,XwKSBoZ6lO,HSJ 
[59015] SELL,XwKSBoZ6lO,QAX,117.97 
[59272] CANCEL_BUY,XwKSBoZ6lO 
[59403] SET_SELL_TRIGGER,XwKSBoZ6lO,TVX,97.93 
[59521] ADD,XwKSBoZ6lO,64822.30 
[59528] QUOTE,XwKSBoZ6lO,KBI 
[59740] QUOTE,XwKSBoZ6lO,OZW 
[59759] QUOTE,XwKSBoZ6lO,SAJ 
[59905] SET_SELL_AMOUNT,XwKSBoZ6lO,RGH,428.32 
[59928] SET_SELL_TRIGGER,XwKSBoZ6lO,RGH,240.78 
[60129] DISPLAY_SUMMARY,XwKSBoZ6lO 
[60180] DISPLAY_SUMMARY,XwKSBoZ6lO 
[60276] BUY,XwKSBoZ6lO,CTT,70.00 
[60401] CANCEL_SET_BUY,XwKSBoZ6lO,JJW 
[60457] SET_BUY_AMOUNT,XwKSBoZ6lO,XXQ,605.36 
[60545] SET_BUY_TRIGGER,XwKSBoZ6lO,GCL,78.54 
[60556] ADD,XwKSBoZ6lO,70332.91 
[60602] BUY,XwKSBoZ6lO,DJD,749.31 
[60730] COMMIT_BUY,XwKSBoZ6lO 
[60812] DISPLAY_SUMMARY,XwKSBoZ6lO 
[60820] SET_SELL_TRIGGER,XwKSBoZ6lO,WKL,13.03 
[60853] BUY,XwKSBoZ6lO,PYB,667.29 
[60865] SET_BUY_AMOUNT,XwKSBoZ6lO,JQO,688.26 
[61101] QUOTE,XwKSBoZ6lO,KGV 
[61114] QUOTE,XwKSBoZ6lO,WJP 
[61239] QUOTE,XwKSBoZ6lO,NXU 
[61397] BUY,XwKSBoZ6lO,XNZ,99.28 
[61616] COMMIT_BUY,XwKSBoZ6lO 
[61618] SET_SELL_TRIGGER,XwKSBoZ6lO,FUF,34.99 
[61809] SELL,XwKSBoZ6lO,JVT,38.47 
[61871] COMMIT_SELL,XwKSBoZ6lO 
[61885] SELL,XwKSBoZ6lO,BCQ,520.14 
[61903] DISPLAY_SUMMARY,XwKSBoZ6lO 
[61921] SET_SELL_AMOUNT,XwKSBoZ6lO,JCQ,298.31 
[62065] DISPLAY_SUMMARY,XwKSBoZ6lO 
[62170] ADD,XwKSBoZ6lO,59037.98 
[62425] BUY,XwKSBoZ6lO,RQL,340.90 
[62457] CANCEL_BUY,XwKSBoZ6lO 
[62472] ADD,XwKSBoZ6lO,89904.37 
[62523] BUY,XwKSBoZ6lO,HZE,28.58 
[62626] COMMIT_BUY,XwKSBoZ6lO 
[62666] SET_SELL_AMOUNT,XwKSBoZ6lO,JCQ,234.47 
[62745] SET_SELL_TRIGGER,XwKSBoZ6lO,JCQ,209.54 
[62957] SET_SELL_AMOUNT,XwKSBoZ6lO,JRJ,571.89 
[63023] SET_SELL_TRIGGER,XwKSBoZ6lO,JRJ,95.24 
[63052] SELL,XwKSBoZ6lO,GYF,87.46 
[63178] CANCEL_SELL,XwKSBoZ6lO 
[63251] BUY,XwKSBoZ6lO,FVZ,264.41 
[63351] COMMIT_BUY,XwKSBoZ6lO 
[63635] SET_BUY_AMOUNT,XwKSBoZ6lO,DFE,22.94 
[63657] SET_BUY_TRIGGER,XwKSBoZ6lO,OOT,0.43 
[63684] SELL,XwKSBoZ6lO,RGH,468.31 
[63930] QUOTE,XwKSBoZ6lO,YCH 
[64304] ADD,XwKSBoZ6lO,54490.14 
[64450] QUOTE,XwKSBoZ6lO,GPM 
[64606] CANCEL_SET_BUY,XwKSBoZ6lO,MOS 
[64708] ADD,XwKSBoZ6lO,80854.06 
[64847] SET_BUY_TRIGGER,XwKSBoZ6lO,ZEU,173.66 
[64941] QUOTE,XwKSBoZ6lO,VCN 
[64998] QUOTE,XwKSBoZ6lO,ZHB 
[65069] QUOTE,XwKSBoZ6lO,XXT 
[65104] SET_BUY_TRIGGER,XwKSBoZ6lO,LCP,196.36 
[65151] ADD,XwKSBoZ6lO,77007.40 
[65198] BUY,XwKSBoZ6lO,URY,420.83 
[65269] COMMIT_BUY,XwKSBoZ6lO 
[65274] ADD,XwKSBoZ6lO,69755.08 
[65291] QUOTE,XwKSBoZ6lO,GIK 
[65342] ADD,XwKSBoZ6lO,73863.06 
[65581] BUY,XwKSBoZ6lO,AXK,450.15 
[65709] SET_BUY_TRIGGER,XwKSBoZ6lO,WDC,99.44 
[65920] SET_BUY_TRIGGER,XwKSBoZ6lO,POE,47.82 
[66038] ADD,XwKSBoZ6lO,53443.89 
[66404] BUY,XwKSBoZ6lO,YRO,472.15 
[66429] QUOTE,XwKSBoZ6lO,AQO 
[66485] ADD,XwKSBoZ6lO,49548.16 
[66700] BUY,XwKSBoZ6lO,JUG,272.78 
[66701] COMMIT_BUY,XwKSBoZ6lO 
[66716] SET_BUY_AMOUNT,XwKSBoZ6lO,CSZ,682.83 
[66832] QUOTE,XwKSBoZ6lO,DJD 
[66877] DISPLAY_SUMMARY,XwKSBoZ6lO 
[66945] SET_SELL_TRIGGER,XwKSBoZ6lO,JPP,85.57 
[66966] SET_BUY_TRIGGER,XwKSBoZ6lO,ZCQ,60.16 
[66980] BUY,XwKSBoZ6lO,VEN,125.31 
[67013] COMMIT_BUY,XwKSBoZ6lO 
[67046] DISPLAY_SUMMARY,XwKSBoZ6lO 
[67075] ADD,XwKSBoZ6lO,59542.10 
[67083] QUOTE,XwKSBoZ6lO,JKX 
[67094] BUY,XwKSBoZ6lO,BRZ,689.80 
[67163] BUY,XwKSBoZ6lO,IKK,671.59 
[67178] COMMIT_SELL,XwKSBoZ6lO 
[67259] DISPLAY_SUMMARY,XwKSBoZ6lO 
[67373] DISPLAY_SUMMARY,XwKSBoZ6lO 
[67582] ADD,XwKSBoZ6lO,103265.00 
[67710] QUOTE,XwKSBoZ6lO,FTP 
[67865] BUY,XwKSBoZ6lO,MRH,172.37 
[68168] CANCEL_SET_BUY,XwKSBoZ6lO,MIY 
[68651] SET_BUY_TRIGGER,XwKSBoZ6lO,ZQC,135.10 
[69102] ADD,XwKSBoZ6lO,41930.07 
[69137] QUOTE,XwKSBoZ6lO,NFV 
[69281] SET_BUY_TRIGGER,XwKSBoZ6lO,YBO,155.97 
[69314] SET_BUY_TRIGGER,XwKSBoZ6lO,OQW,43.95 
[69396] SET_SELL_TRIGGER,XwKSBoZ6lO,JDO,166.81 
[69489] SET_SELL_AMOUNT,XwKSBoZ6lO,JCQ,59.67 
[69504] CANCEL_SET_SELL,XwKSBoZ6lO,JCQ 
[69524] QUOTE,XwKSBoZ6lO,IFN 
[69560] QUOTE,XwKSBoZ6lO,MAX 
[69590] SET_BUY_AMOUNT,XwKSBoZ6lO,QAX,499.67 
[69719] DISPLAY_SUMMARY,XwKSBoZ6lO 
[69726] ADD,XwKSBoZ6lO,62183.73 
[70033] SELL,XwKSBoZ6lO,ZTI,643.99 
[70061] COMMIT_SELL,XwKSBoZ6lO 
[70111] DISPLAY_SUMMARY,XwKSBoZ6lO 
[70190] BUY,XwKSBoZ6lO,SCK,183.36 
[70212] COMMIT_BUY,XwKSBoZ6lO 
[70247] SET_SELL_TRIGGER,XwKSBoZ6lO,KBP,191.41 
[70490] SELL,XwKSBoZ6lO,NHG,605.28 
[70614] CANCEL_SELL,XwKSBoZ6lO 
[70793] BUY,XwKSBoZ6lO,LKV,632.99 
[70819] ADD,XwKSBoZ6lO,70631.88 
[70848] SET_BUY_TRIGGER,XwKSBoZ6lO,BMW,113.79 
[70852] ADD,XwKSBoZ6lO,51757.64 
[70929] QUOTE,XwKSBoZ6lO,STQ 
[70953] QUOTE,XwKSBoZ6lO,ALV 
[71162] CANCEL_SELL,XwKSBoZ6lO 
[71252] ADD,XwKSBoZ6lO,57649.15 
[71580] BUY,XwKSBoZ6lO,PSJ,192.98 
[71604] QUOTE,XwKSBoZ6lO,PJW 
[71627] BUY,XwKSBoZ6lO,IRQ,300.05 
[71657] COMMIT_BUY,XwKSBoZ6lO 
[71916] SET_BUY_AMOUNT,XwKSBoZ6lO,VTY,166.82 
[72059] SET_BUY_TRIGGER,XwKSBoZ6lO,OQW,1.13 
[72466] DISPLAY_SUMMARY,XwKSBoZ6lO 
[72494] SET_BUY_AMOUNT,XwKSBoZ6lO,ZTI,413.25 
[72598] SET_BUY_TRIGGER,XwKSBoZ6lO,DPG,120.54 
[72624] DISPLAY_SUMMARY,XwKSBoZ6lO 
[72626] SET_SELL_TRIGGER,XwKSBoZ6lO,OXV,82.37 
[73334] ADD,XwKSBoZ6lO,69063.83 
[73339] BUY,XwKSBoZ6lO,SPL,171.49 
[73343] COMMIT_BUY,XwKSBoZ6lO 
[73527] SET_BUY_TRIGGER,XwKSBoZ6lO,PUU,122.48 
[73529] DISPLAY_SUMMARY,XwKSBoZ6lO 
[73537] ADD,XwKSBoZ6lO,65043.83 
[73840] SET_BUY_AMOUNT,XwKSBoZ6lO,UBJ,731.72 
[73909] CANCEL_SET_BUY,XwKSBoZ6lO,OTD 
[73938] SET_SELL_AMOUNT,XwKSBoZ6lO,PTP,50.55 
[74075] SELL,XwKSBoZ6lO,UIE,91.57 
[74097] COMMIT_SELL,XwKSBoZ6lO 
[74203] ADD,XwKSBoZ6lO,95215.83 
[74231] CANCEL_SET_SELL,XwKSBoZ6lO,PTP 
[74524] BUY,XwKSBoZ6lO,HDR,235.10 
[74555] COMMIT_BUY,XwKSBoZ6lO 
[74659] SET_BUY_TRIGGER,XwKSBoZ6lO,JFF,86.95 
[74796] SET_BUY_AMOUNT,XwKSBoZ6lO,QGE,625.02 
[74816] SET_BUY_TRIGGER,XwKSBoZ6lO,VWU,178.25 
[74830] QUOTE,XwKSBoZ6lO,AOU 
[74877] QUOTE,XwKSBoZ6lO,SCW 
[75011] BUY,XwKSBoZ6lO,JQO,225.92 
[75016] COMMIT_BUY,XwKSBoZ6lO 
[75261] SET_SELL_TRIGGER,XwKSBoZ6lO,VCN,131.17 
[75363] DISPLAY_SUMMARY,XwKSBoZ6lO 
[75505] DISPLAY_SUMMARY,XwKSBoZ6lO 
[75538] SET_BUY_AMOUNT,XwKSBoZ6lO,LFU,361.41 
[75600] CANCEL_SET_BUY,XwKSBoZ6lO,INB 
[75699] SET_BUY_AMOUNT,XwKSBoZ6lO,JZJ,185.91 
[75719] SELL,XwKSBoZ6lO,UBJ,177.59 
[75934] SET_BUY_TRIGGER,XwKSBoZ6lO,FTB,126.93 
[76012] QUOTE,XwKSBoZ6lO,OOT 
[76115] QUOTE,XwKSBoZ6lO,OEY 
[76116] BUY,XwKSBoZ6lO,YNH,339.07 
[76234] SET_BUY_TRIGGER,XwKSBoZ6lO,CUZ,40.93 
[76285] SET_SELL_AMOUNT,XwKSBoZ6lO,QAX,355.58 
[76325] SET_SELL_TRIGGER,XwKSBoZ6lO,QAX,34.68 
[76374] DISPLAY_SUMMARY,XwKSBoZ6lO 
[76495] ADD,XwKSBoZ6lO,86242.70 
[76723] BUY,XwKSBoZ6lO,VKB,690.62 
[76764] COMMIT_BUY,XwKSBoZ6lO 
[76822] SELL,XwKSBoZ6lO,CUZ,638.25 
[76833] CANCEL_SET_BUY,XwKSBoZ6lO,HHG 
[76871] ADD,XwKSBoZ6lO,81735.87 
[76904] CANCEL_SELL,XwKSBoZ6lO 
[76927] CANCEL_SET_SELL,XwKSBoZ6lO,VOU 
[76979] DISPLAY_SUMMARY,XwKSBoZ6lO 
[77106] ADD,XwKSBoZ6lO,107181.94 
[77251] QUOTE,XwKSBoZ6lO,AUX 
[77261] SET_BUY_AMOUNT,XwKSBoZ6lO,XLK,87.17 
[77296] DISPLAY_SUMMARY,XwKSBoZ6lO 
[77354] QUOTE,XwKSBoZ6lO,AED 
[77435] SELL,XwKSBoZ6lO,NHG,194.55 
[77551] SET_BUY_TRIGGER,XwKSBoZ6lO,VOU,39.40 
[77736] BUY,XwKSBoZ6lO,HNO,396.33 
[77812] COMMIT_BUY,XwKSBoZ6lO 
[77884] DISPLAY_SUMMARY,XwKSBoZ6lO 
[78017] SELL,XwKSBoZ6lO,RGH,610.93 
[78032] COMMIT_SELL,XwKSBoZ6lO 
[78097] QUOTE,XwKSBoZ6lO,SYU 
[78137] BUY,XwKSBoZ6lO,NNW,27.12 
[78501] SET_BUY_TRIGGER,XwKSBoZ6lO,JYV,195.97 
[78553] SET_SELL_TRIGGER,XwKSBoZ6lO,DBS,72.28 
[78585] DISPLAY_SUMMARY,XwKSBoZ6lO 
[78642] ADD,XwKSBoZ6lO,70359.55 
[78742] QUOTE,XwKSBoZ6lO,OGR 
[79249] BUY,XwKSBoZ6lO,LAM,531.37 
[79281] COMMIT_BUY,XwKSBoZ6lO 
[79378] DISPLAY_SUMMARY,XwKSBoZ6lO 
[79563] SET_BUY_AMOUNT,XwKSBoZ6lO,UTV,665.61 
[79656] SET_BUY_TRIGGER,XwKSBoZ6lO,IFI,655.08 
[80192] QUOTE,XwKSBoZ6lO,FVZ 
[80264] SET_SELL_AMOUNT,XwKSBoZ6lO,CBO,522.31 
[80308] SELL,XwKSBoZ6lO,PTP,69.36 
[80372] CANCEL_SELL,XwKSBoZ6lO 
[80516] ADD,XwKSBoZ6lO,58436.05 
[80586] BUY,XwKSBoZ6lO,IZS,491.23 
[80705] ADD,XwKSBoZ6lO,73973.08 
[80713] QUOTE,XwKSBoZ6lO,EGX 
[80753] DISPLAY_SUMMARY,XwKSBoZ6lO 
[80765] SET_SELL_TRIGGER,XwKSBoZ6lO,CBO,80.25 
[81075] SET_SELL_AMOUNT,XwKSBoZ6lO,EBS,499.63 
[81093] SET_SELL_TRIGGER,XwKSBoZ6lO,EBS,228.34 
[81183] SELL,XwKSBoZ6lO,SQI,564.71 
[81243] QUOTE,XwKSBoZ6lO,QID 
[81308] BUY,XwKSBoZ6lO,QSS,396.68 
[81396] COMMIT_BUY,XwKSBoZ6lO 
[81401] ADD,XwKSBoZ6lO,64393.74 
[81422] BUY,XwKSBoZ6lO,DES,409.29 
[81587] CANCEL_BUY,XwKSBoZ6lO 
[81702] ADD,XwKSBoZ6lO,56171.02 
[81818] QUOTE,XwKSBoZ6lO,TXB 
[81881] BUY,XwKSBoZ6lO,JOJ,73.50 
[81898] COMMIT_BUY,XwKSBoZ6lO 
[82060] COMMIT_SELL,XwKSBoZ6lO 
[82061] ADD,XwKSBoZ6lO,56093.06 
[82107] BUY,XwKSBoZ6lO,NDJ,74.58 
[82111] DISPLAY_SUMMARY,XwKSBoZ6lO 
[82217] BUY,XwKSBoZ6lO,SYM,66.21 
[82257] SET_SELL_AMOUNT,XwKSBoZ6lO,KES,724.98 
[82345] SET_SELL_TRIGGER,XwKSBoZ6lO,KES,569.97 
[82416] SET_BUY_AMOUNT,XwKSBoZ6lO,KYX,423.05 
[82465] SET_BUY_TRIGGER,XwKSBoZ6lO,HTD,57.14 
[82513] SET_BUY_AMOUNT,XwKSBoZ6lO,UTV,381.35 
[82678] SET_BUY_TRIGGER,XwKSBoZ6lO,HHC,80.31 
[82824] CANCEL_BUY,XwKSBoZ6lO 
[82980] DISPLAY_SUMMARY,XwKSBoZ6lO 
[83008] ADD,XwKSBoZ6lO,77544.73 
[83015] QUOTE,XwKSBoZ6lO,KBN 
[83246] SET_BUY_TRIGGER,XwKSBoZ6lO,KJD,28.85 
[83259] SELL,XwKSBoZ6lO,GYF,599.19 
[83266] COMMIT_SELL,XwKSBoZ6lO 
[83386] SELL,XwKSBoZ6lO,MFX,128.58 
[83423] COMMIT_SELL,XwKSBoZ6lO 
[83464] QUOTE,XwKSBoZ6lO,ATE 
[83723] QUOTE,XwKSBoZ6lO,HQU 
[83750] SET_BUY_AMOUNT,XwKSBoZ6lO,SSF,158.10 
[83839] SET_BUY_TRIGGER,XwKSBoZ6lO,ZAM,24.36 
[83899] ADD,XwKSBoZ6lO,79479.56 
[84279] COMMIT_BUY,XwKSBoZ6lO 
[84348] SELL,XwKSBoZ6lO,XXQ,697.50 
[84372] COMMIT_SELL,XwKSBoZ6lO 
[84389] SET_BUY_TRIGGER,XwKSBoZ6lO,KVJ,197.94 
[84760] CANCEL_SELL,XwKSBoZ6lO 
[85189] SET_BUY_TRIGGER,XwKSBoZ6lO,JIC,110.67 
[85227] SET_BUY_TRIGGER,XwKSBoZ6lO,SSF,63.32 
[85302] SELL,XwKSBoZ6lO,CBO,635.78 
[85421] CANCEL_SELL,XwKSBoZ6lO 
[85483] DISPLAY_SUMMARY,XwKSBoZ6lO 
[85526] CANCEL_BUY,XwKSBoZ6lO 
[85697] QUOTE,XwKSBoZ6lO,ZAM 
[85735] QUOTE,XwKSBoZ6lO,JQG 
[85826] CANCEL_BUY,XwKSBoZ6lO 
[85915] BUY,XwKSBoZ6lO,WGV,692.69 
[86063] COMMIT_BUY,XwKSBoZ6lO 
[86065] QUOTE,XwKSBoZ6lO,IGI 
[86237] BUY,XwKSBoZ6lO,NUL,107.07 
[86293] CANCEL_BUY,XwKSBoZ6lO 
[86327] BUY,XwKSBoZ6lO,SIK,65.68 
[86825] SET_SELL_AMOUNT,XwKSBoZ6lO,KES,442.52 
[86826] SET_SELL_TRIGGER,XwKSBoZ6lO,KES,329.39 
[86881] QUOTE,XwKSBoZ6lO,RFC 
[86931] DISPLAY_SUMMARY,XwKSBoZ6lO 
[86960] DISPLAY_SUMMARY,XwKSBoZ6lO 
[86964] DISPLAY_SUMMARY,XwKSBoZ6lO 
[87048] SET_BUY_AMOUNT,XwKSBoZ6lO,LZV,74.33 
[87084] CANCEL_SET_BUY,XwKSBoZ6lO,LAM 
[87108] ADD,XwKSBoZ6lO,96198.33 
[87187] BUY,XwKSBoZ6lO,LVT,82.70 
[87242] COMMIT_BUY,XwKSBoZ6lO 
[87250] DISPLAY_SUMMARY,XwKSBoZ6lO 
[87266] BUY,XwKSBoZ6lO,EDM,537.62 
[87282] COMMIT_BUY,XwKSBoZ6lO 
[87598] ADD,XwKSBoZ6lO,70759.75 
[87883] QUOTE,XwKSBoZ6lO,BEG 
[88103] QUOTE,XwKSBoZ6lO,WRJ 
[88401] BUY,XwKSBoZ6lO,RGM,600.31 
[88405] CANCEL_SET_SELL,XwKSBoZ6lO,FVS 
[88411] SET_SELL_TRIGGER,XwKSBoZ6lO,QOQ,37.17 
[88415] ADD,XwKSBoZ6lO,68127.79 
[88420] BUY,XwKSBoZ6lO,GPM,680.80 
[88858] COMMIT_BUY,XwKSBoZ6lO 
[88958] CANCEL_SET_SELL,XwKSBoZ6lO,TTV 
[89038] BUY,XwKSBoZ6lO,MWV,292.59 
[89072] COMMIT_BUY,XwKSBoZ6lO 
[89085] SET_BUY_AMOUNT,XwKSBoZ6lO,AVX,288.45 
[89104] SET_BUY_TRIGGER,XwKSBoZ6lO,VBO,120.77 
[89196] SET_SELL_AMOUNT,XwKSBoZ6lO,KDA,675.30 
[89271] SET_SELL_TRIGGER,XwKSBoZ6lO,KDA,133.14 
[89273] CANCEL_SET_SELL,XwKSBoZ6lO,RKY 
[89310] BUY,XwKSBoZ6lO,DWC,119.93 
[89383] QUOTE,XwKSBoZ6lO,TKM 
[89401] QUOTE,XwKSBoZ6lO,PVH 
[89447] CANCEL_SET_BUY,XwKSBoZ6lO,SBT 
[89469] SET_SELL_TRIGGER,XwKSBoZ6lO,MZT,98.09 
[89585] BUY,XwKSBoZ6lO,UGT,449.97 
[89718] COMMIT_BUY,XwKSBoZ6lO 
[89772] SET_SELL_TRIGGER,XwKSBoZ6lO,SWJ,140.67 
[89878] SET_SELL_TRIGGER,XwKSBoZ6lO,ZWB,133.29 
[90119] SELL,XwKSBoZ6lO,KDA,119.73 
[90122] COMMIT_SELL,XwKSBoZ6lO 
