[19] ADD,3mEsf51UBo,43717.20 
[46321] SET_BUY_TRIGGER,3mEsf51UBo,ZMA,89.89 
[46785] ADD,3mEsf51UBo,78806.29 
[46808] DISPLAY_SUMMARY,3mEsf51UBo 
[46849] ADD,3mEsf51UBo,89077.04 
[46873] BUY,3mEsf51UBo,OQZ,146.89 
[46919] QUOTE,3mEsf51UBo,HYX 
[47088] DISPLAY_SUMMARY,3mEsf51UBo 
[47112] QUOTE,3mEsf51UBo,FXT 
[47232] SET_SELL_AMOUNT,3mEsf51UBo,QJZ,358.90 
[47311] SET_SELL_TRIGGER,3mEsf51UBo,QJZ,254.72 
[47349] ADD,3mEsf51UBo,58608.76 
[47362] QUOTE,3mEsf51UBo,IPJ 
[47372] SET_SELL_AMOUNT,3mEsf51UBo,KDA,65.56 
[47605] CANCEL_SET_SELL,3mEsf51UBo,KDA 
[47706] QUOTE,3mEsf51UBo,DJD 
[47863] CANCEL_BUY,3mEsf51UBo 
[47891] SET_BUY_AMOUNT,3mEsf51UBo,CUZ,427.70 
[47943] QUOTE,3mEsf51UBo,MHR 
[47997] SET_SELL_TRIGGER,3mEsf51UBo,BFB,136.32 
[48078] DISPLAY_SUMMARY,3mEsf51UBo 
[48106] QUOTE,3mEsf51UBo,PUU 
[48152] ADD,3mEsf51UBo,53817.61 
[48202] QUOTE,3mEsf51UBo,YVS 
[48203] QUOTE,3mEsf51UBo,WRJ 
[48441] ADD,3mEsf51UBo,65497.72 
[48630] QUOTE,3mEsf51UBo,OTD 
[48857] SET_BUY_AMOUNT,3mEsf51UBo,AVX,186.00 
[48860] SET_BUY_TRIGGER,3mEsf51UBo,FPP,19.58 
[48888] BUY,3mEsf51UBo,FRB,42.48 
[49074] COMMIT_BUY,3mEsf51UBo 
[49106] ADD,3mEsf51UBo,93395.88 
[49152] BUY,3mEsf51UBo,YDD,223.94 
[49242] CANCEL_BUY,3mEsf51UBo 
[49341] ADD,3mEsf51UBo,82759.36 
[49469] SELL,3mEsf51UBo,XLK,195.87 
[49488] COMMIT_SELL,3mEsf51UBo 
[49598] SET_BUY_TRIGGER,3mEsf51UBo,NGZ,14.00 
[49738] ADD,3mEsf51UBo,80685.31 
[49920] QUOTE,3mEsf51UBo,HDR 
[49985] BUY,3mEsf51UBo,ZYR,698.59 
[50099] CANCEL_SELL,3mEsf51UBo 
[50109] QUOTE,3mEsf51UBo,ALV 
[50307] DISPLAY_SUMMARY,3mEsf51UBo 
[50404] BUY,3mEsf51UBo,YOQ,288.15 
[50578] QUOTE,3mEsf51UBo,LLZ 
[50775] QUOTE,3mEsf51UBo,CBQ 
[50830] BUY,3mEsf51UBo,MFY,626.74 
[50877] COMMIT_BUY,3mEsf51UBo 
[51770] QUOTE,3mEsf51UBo,KBP 
[51840] BUY,3mEsf51UBo,SKV,690.87 
[52200] CANCEL_SELL,3mEsf51UBo 
[52261] SET_SELL_TRIGGER,3mEsf51UBo,RWY,146.74 
[52504] SET_BUY_TRIGGER,3mEsf51UBo,QJC,143.65 
[52884] QUOTE,3mEsf51UBo,FWW 
[53072] ADD,3mEsf51UBo,50531.69 
[53120] QUOTE,3mEsf51UBo,QPE 
[53148] SET_SELL_AMOUNT,3mEsf51UBo,BYA,353.31 
[53228] SET_SELL_TRIGGER,3mEsf51UBo,BYA,298.84 
[53773] BUY,3mEsf51UBo,UDM,99.59 
[53953] COMMIT_BUY,3mEsf51UBo 
[54035] SELL,3mEsf51UBo,PTP,692.16 
[54154] CANCEL_SELL,3mEsf51UBo 
[54232] SET_BUY_TRIGGER,3mEsf51UBo,DXQ,147.20 
[54303] QUOTE,3mEsf51UBo,ADY 
[54542] QUOTE,3mEsf51UBo,XLI 
[54552] COMMIT_SELL,3mEsf51UBo 
[54660] BUY,3mEsf51UBo,DOI,175.18 
[54696] QUOTE,3mEsf51UBo,BPK 
[54708] SET_BUY_AMOUNT,3mEsf51UBo,XXQ,162.18 
[54734] CANCEL_SET_BUY,3mEsf51UBo,LQN 
[54857] ADD,3mEsf51UBo,49033.33 
[54960] QUOTE,3mEsf51UBo,JYV 
[54980] SET_SELL_AMOUNT,3mEsf51UBo,YJK,395.58 
[55078] BUY,3mEsf51UBo,WUF,488.04 
[55136] DISPLAY_SUMMARY,3mEsf51UBo 
[55137] QUOTE,3mEsf51UBo,JCL 
[55218] BUY,3mEsf51UBo,FUR,556.65 
[55286] SET_BUY_TRIGGER,3mEsf51UBo,IKK,131.97 
[55298] SELL,3mEsf51UBo,DFE,722.62 
[55314] CANCEL_SELL,3mEsf51UBo 
[55337] DISPLAY_SUMMARY,3mEsf51UBo 
[55460] DISPLAY_SUMMARY,3mEsf51UBo 
[55608] DISPLAY_SUMMARY,3mEsf51UBo 
[55820] SET_BUY_TRIGGER,3mEsf51UBo,PHZ,45.98 
[56073] SET_BUY_AMOUNT,3mEsf51UBo,BCQ,730.65 
[56081] CANCEL_SET_BUY,3mEsf51UBo,MGO 
[56231] SELL,3mEsf51UBo,JCQ,606.38 
[56282] COMMIT_SELL,3mEsf51UBo 
[56348] BUY,3mEsf51UBo,VWU,705.05 
[56425] COMMIT_BUY,3mEsf51UBo 
[56737] ADD,3mEsf51UBo,42473.35 
[56805] SET_BUY_TRIGGER,3mEsf51UBo,KPP,0.46 
[56992] DISPLAY_SUMMARY,3mEsf51UBo 
[57184] SET_SELL_AMOUNT,3mEsf51UBo,QJZ,712.57 
[57232] SET_SELL_TRIGGER,3mEsf51UBo,QJZ,131.18 
[57356] ADD,3mEsf51UBo,56715.10 
[57388] QUOTE,3mEsf51UBo,FRB 
[57586] BUY,3mEsf51UBo,ZGN,717.48 
[57705] DISPLAY_SUMMARY,3mEsf51UBo 
[57792] ADD,3mEsf51UBo,63794.29 
[57862] QUOTE,3mEsf51UBo,JFJ 
[57931] CANCEL_BUY,3mEsf51UBo 
[57967] DISPLAY_SUMMARY,3mEsf51UBo 
[58015] SET_SELL_AMOUNT,3mEsf51UBo,GYF,137.26 
[58051] SET_SELL_TRIGGER,3mEsf51UBo,GYF,107.29 
[58085] SET_SELL_TRIGGER,3mEsf51UBo,PST,90.76 
[58086] DISPLAY_SUMMARY,3mEsf51UBo 
[58129] ADD,3mEsf51UBo,61582.10 
[58142] BUY,3mEsf51UBo,WTD,73.48 
[58173] DISPLAY_SUMMARY,3mEsf51UBo 
[58293] SET_BUY_TRIGGER,3mEsf51UBo,AUT,144.76 
[58344] SET_SELL_AMOUNT,3mEsf51UBo,GRM,453.80 
[58367] CANCEL_SET_SELL,3mEsf51UBo,GRM 
[58396] SET_SELL_TRIGGER,3mEsf51UBo,NNW,93.94 
[58415] DISPLAY_SUMMARY,3mEsf51UBo 
[58424] DISPLAY_SUMMARY,3mEsf51UBo 
[58450] SET_BUY_AMOUNT,3mEsf51UBo,JQO,2.83 
[58483] SET_BUY_TRIGGER,3mEsf51UBo,PFK,1.37 
[58524] SET_SELL_TRIGGER,3mEsf51UBo,LGL,86.65 
[58585] ADD,3mEsf51UBo,61040.73 
[58608] QUOTE,3mEsf51UBo,LUT 
[58724] QUOTE,3mEsf51UBo,FTP 
[58771] DISPLAY_SUMMARY,3mEsf51UBo 
[58817] BUY,3mEsf51UBo,AOH,399.79 
[58824] CANCEL_SET_BUY,3mEsf51UBo,SYN 
[58844] BUY,3mEsf51UBo,AJL,108.25 
[58920] SELL,3mEsf51UBo,NHG,746.32 
[59249] BUY,3mEsf51UBo,ECL,150.39 
[59269] COMMIT_BUY,3mEsf51UBo 
[59324] BUY,3mEsf51UBo,IZJ,682.14 
[59348] COMMIT_BUY,3mEsf51UBo 
[59409] SET_SELL_AMOUNT,3mEsf51UBo,BCQ,536.13 
[59535] BUY,3mEsf51UBo,OAS,129.64 
[59579] CANCEL_BUY,3mEsf51UBo 
[59618] SET_SELL_TRIGGER,3mEsf51UBo,BCQ,388.81 
[59767] SELL,3mEsf51UBo,BYA,508.84 
[59779] SET_BUY_TRIGGER,3mEsf51UBo,DLX,174.07 
[59808] SELL,3mEsf51UBo,CUZ,229.12 
[59853] COMMIT_SELL,3mEsf51UBo 
[59864] SET_BUY_AMOUNT,3mEsf51UBo,QJZ,224.40 
[59868] BUY,3mEsf51UBo,VKP,421.36 
[59939] CANCEL_SET_SELL,3mEsf51UBo,DIX 
[60018] BUY,3mEsf51UBo,HGG,248.92 
[60076] CANCEL_BUY,3mEsf51UBo 
[60319] ADD,3mEsf51UBo,46632.74 
[60333] BUY,3mEsf51UBo,ZSV,436.88 
[60426] SET_SELL_TRIGGER,3mEsf51UBo,IUN,199.24 
[60499] BUY,3mEsf51UBo,GPC,228.84 
[60678] CANCEL_SET_BUY,3mEsf51UBo,NXF 
[60869] ADD,3mEsf51UBo,52697.71 
[60904] BUY,3mEsf51UBo,RQS,343.23 
[61003] CANCEL_BUY,3mEsf51UBo 
[61072] SET_BUY_TRIGGER,3mEsf51UBo,CLH,189.23 
[61168] SET_BUY_AMOUNT,3mEsf51UBo,NHG,383.08 
[61237] QUOTE,3mEsf51UBo,QAX 
[61311] ADD,3mEsf51UBo,70723.50 
[61646] BUY,3mEsf51UBo,DED,312.19 
[62223] CANCEL_SET_BUY,3mEsf51UBo,GMS 
[62337] QUOTE,3mEsf51UBo,KZZ 
[62501] BUY,3mEsf51UBo,ZLY,381.71 
[62806] COMMIT_BUY,3mEsf51UBo 
[62847] ADD,3mEsf51UBo,62539.81 
[62896] QUOTE,3mEsf51UBo,OEM 
[62985] BUY,3mEsf51UBo,NJI,412.13 
[62992] COMMIT_BUY,3mEsf51UBo 
[63020] SET_BUY_AMOUNT,3mEsf51UBo,XXQ,206.45 
[63121] SET_BUY_TRIGGER,3mEsf51UBo,LSM,136.61 
[63161] ADD,3mEsf51UBo,78719.76 
[63264] QUOTE,3mEsf51UBo,VFH 
[63269] QUOTE,3mEsf51UBo,JLO 
[63353] BUY,3mEsf51UBo,JJW,727.39 
[63416] SELL,3mEsf51UBo,VTY,258.90 
[63471] COMMIT_SELL,3mEsf51UBo 
[63661] DISPLAY_SUMMARY,3mEsf51UBo 
[63711] ADD,3mEsf51UBo,68046.28 
[63793] COMMIT_SELL,3mEsf51UBo 
[63825] BUY,3mEsf51UBo,UGG,608.74 
[63964] COMMIT_BUY,3mEsf51UBo 
[64080] BUY,3mEsf51UBo,UTL,151.99 
[64301] ADD,3mEsf51UBo,55610.29 
[64375] QUOTE,3mEsf51UBo,YDS 
[64446] SET_BUY_AMOUNT,3mEsf51UBo,ZAN,73.66 
[64633] DISPLAY_SUMMARY,3mEsf51UBo 
[64675] DISPLAY_SUMMARY,3mEsf51UBo 
[64791] CANCEL_BUY,3mEsf51UBo 
[64796] ADD,3mEsf51UBo,73991.63 
[64894] QUOTE,3mEsf51UBo,NXF 
[65031] BUY,3mEsf51UBo,THH,452.91 
[65355] CANCEL_BUY,3mEsf51UBo 
[65496] BUY,3mEsf51UBo,TVP,552.52 
[65677] DISPLAY_SUMMARY,3mEsf51UBo 
[65680] CANCEL_SET_SELL,3mEsf51UBo,CNN 
[65792] SET_BUY_TRIGGER,3mEsf51UBo,NBX,33.50 
[65882] COMMIT_SELL,3mEsf51UBo 
[66158] ADD,3mEsf51UBo,72059.22 
[66234] QUOTE,3mEsf51UBo,OXV 
[66289] CANCEL_SELL,3mEsf51UBo 
[66678] SET_SELL_AMOUNT,3mEsf51UBo,GRM,708.45 
[66688] SET_SELL_TRIGGER,3mEsf51UBo,GRM,442.46 
[66736] DISPLAY_SUMMARY,3mEsf51UBo 
[66755] ADD,3mEsf51UBo,73066.28 
[66757] COMMIT_BUY,3mEsf51UBo 
[66856] SET_BUY_AMOUNT,3mEsf51UBo,UBJ,65.47 
[67068] SET_BUY_TRIGGER,3mEsf51UBo,UTV,20.82 
[67213] QUOTE,3mEsf51UBo,PXY 
[67220] BUY,3mEsf51UBo,AZN,321.63 
[67361] COMMIT_BUY,3mEsf51UBo 
[67461] DISPLAY_SUMMARY,3mEsf51UBo 
[67473] QUOTE,3mEsf51UBo,NDO 
[67497] BUY,3mEsf51UBo,FMJ,470.40 
[67668] CANCEL_BUY,3mEsf51UBo 
[67684] ADD,3mEsf51UBo,70499.67 
[67989] BUY,3mEsf51UBo,OSA,106.29 
[67998] COMMIT_BUY,3mEsf51UBo 
[68077] SELL,3mEsf51UBo,IFN,747.88 
[68661] COMMIT_SELL,3mEsf51UBo 
[68989] ADD,3mEsf51UBo,62778.87 
[69180] QUOTE,3mEsf51UBo,WTD 
[69185] QUOTE,3mEsf51UBo,RUN 
[69195] SET_BUY_AMOUNT,3mEsf51UBo,OPN,286.97 
[69225] SET_BUY_TRIGGER,3mEsf51UBo,XLK,90.86 
[69274] SELL,3mEsf51UBo,QJZ,600.79 
[69357] COMMIT_BUY,3mEsf51UBo 
[69415] SET_BUY_AMOUNT,3mEsf51UBo,CUZ,633.34 
[69458] SET_BUY_TRIGGER,3mEsf51UBo,QBD,239.94 
[69872] CANCEL_SET_SELL,3mEsf51UBo,EBS 
[69899] SET_BUY_AMOUNT,3mEsf51UBo,KDA,375.81 
[69961] SET_BUY_TRIGGER,3mEsf51UBo,WAI,24.60 
[70034] SET_BUY_TRIGGER,3mEsf51UBo,KMZ,35.97 
[70081] SET_SELL_TRIGGER,3mEsf51UBo,XLK,159.89 
[70108] SELL,3mEsf51UBo,MFX,276.04 
[70116] CANCEL_SELL,3mEsf51UBo 
[70150] SET_SELL_AMOUNT,3mEsf51UBo,UIE,23.06 
[70164] BUY,3mEsf51UBo,OYW,36.23 
[70207] CANCEL_SET_SELL,3mEsf51UBo,UIE 
[70329] DISPLAY_SUMMARY,3mEsf51UBo 
[70356] SELL,3mEsf51UBo,PTP,21.30 
[70398] CANCEL_SET_BUY,3mEsf51UBo,MHR 
[70611] DISPLAY_SUMMARY,3mEsf51UBo 
[70672] SET_BUY_TRIGGER,3mEsf51UBo,XER,7.14 
[70675] COMMIT_SELL,3mEsf51UBo 
[70723] ADD,3mEsf51UBo,73714.74 
[70989] QUOTE,3mEsf51UBo,SOT 
[71008] BUY,3mEsf51UBo,KAR,471.97 
[71088] BUY,3mEsf51UBo,SSF,209.86 
[71105] COMMIT_BUY,3mEsf51UBo 
[71190] SELL,3mEsf51UBo,VTY,237.80 
[71216] COMMIT_SELL,3mEsf51UBo 
[71624] ADD,3mEsf51UBo,47524.78 
[71651] QUOTE,3mEsf51UBo,VTY 
[71716] COMMIT_SELL,3mEsf51UBo 
[71804] ADD,3mEsf51UBo,74849.90 
[72170] QUOTE,3mEsf51UBo,NFQ 
[72261] SELL,3mEsf51UBo,DFE,748.52 
[72497] DISPLAY_SUMMARY,3mEsf51UBo 
[72532] ADD,3mEsf51UBo,82387.79 
[72552] BUY,3mEsf51UBo,QTH,351.91 
[73266] COMMIT_BUY,3mEsf51UBo 
[73524] SET_BUY_TRIGGER,3mEsf51UBo,SQI,107.20 
[73709] ADD,3mEsf51UBo,75905.54 
[73812] QUOTE,3mEsf51UBo,GQV 
[73873] BUY,3mEsf51UBo,CDF,594.26 
[73972] COMMIT_BUY,3mEsf51UBo 
[74079] SET_SELL_AMOUNT,3mEsf51UBo,UTV,549.08 
[74136] SET_SELL_TRIGGER,3mEsf51UBo,UTV,102.79 
[74169] SET_SELL_TRIGGER,3mEsf51UBo,XBL,107.30 
[74184] SET_SELL_TRIGGER,3mEsf51UBo,OZW,44.06 
[74221] ADD,3mEsf51UBo,55531.60 
[74250] BUY,3mEsf51UBo,VTY,340.92 
[74288] COMMIT_BUY,3mEsf51UBo 
[74472] ADD,3mEsf51UBo,86328.13 
[74529] QUOTE,3mEsf51UBo,GSW 
[74616] ADD,3mEsf51UBo,88653.79 
[74874] QUOTE,3mEsf51UBo,GLJ 
[74911] SET_BUY_TRIGGER,3mEsf51UBo,WOJ,66.79 
[75004] SELL,3mEsf51UBo,GYF,142.82 
[75010] CANCEL_SELL,3mEsf51UBo 
[75401] SET_BUY_AMOUNT,3mEsf51UBo,ZYR,694.75 
[75539] SET_BUY_TRIGGER,3mEsf51UBo,ZLY,601.57 
[75632] BUY,3mEsf51UBo,PCR,351.29 
[75642] COMMIT_BUY,3mEsf51UBo 
[75764] CANCEL_SET_SELL,3mEsf51UBo,FMJ 
[75886] QUOTE,3mEsf51UBo,KMZ 
[75912] BUY,3mEsf51UBo,VND,495.85 
[75948] COMMIT_BUY,3mEsf51UBo 
[75982] SELL,3mEsf51UBo,JCQ,321.71 
[76006] COMMIT_BUY,3mEsf51UBo 
[76219] SET_SELL_AMOUNT,3mEsf51UBo,OPN,296.91 
[76351] SET_SELL_TRIGGER,3mEsf51UBo,OPN,20.05 
[76403] SET_SELL_AMOUNT,3mEsf51UBo,MXD,731.69 
[76433] BUY,3mEsf51UBo,TXB,112.60 
[76466] COMMIT_BUY,3mEsf51UBo 
[76502] BUY,3mEsf51UBo,SPP,107.62 
[76519] COMMIT_BUY,3mEsf51UBo 
[76556] SET_SELL_AMOUNT,3mEsf51UBo,LZV,663.51 
[76827] SET_SELL_TRIGGER,3mEsf51UBo,LZV,482.92 
[76947] BUY,3mEsf51UBo,BZH,412.35 
[76951] COMMIT_BUY,3mEsf51UBo 
[77017] DISPLAY_SUMMARY,3mEsf51UBo 
[77107] SET_SELL_AMOUNT,3mEsf51UBo,KDA,513.02 
[77226] SELL,3mEsf51UBo,CUZ,603.32 
[77460] SELL,3mEsf51UBo,TVI,245.10 
[77496] COMMIT_SELL,3mEsf51UBo 
[78006] ADD,3mEsf51UBo,54998.24 
[78022] CANCEL_SET_BUY,3mEsf51UBo,XOM 
[78067] BUY,3mEsf51UBo,VBO,394.39 
[78106] SET_SELL_AMOUNT,3mEsf51UBo,XQC,478.98 
[78134] BUY,3mEsf51UBo,MLI,213.32 
[78154] CANCEL_SET_BUY,3mEsf51UBo,TSS 
[78176] CANCEL_SET_SELL,3mEsf51UBo,XQC 
[78222] QUOTE,3mEsf51UBo,CBV 
[78349] SET_SELL_TRIGGER,3mEsf51UBo,PCR,64.39 
[78492] DISPLAY_SUMMARY,3mEsf51UBo 
[78499] ADD,3mEsf51UBo,60601.95 
[78552] BUY,3mEsf51UBo,KBN,366.76 
[78667] SET_BUY_TRIGGER,3mEsf51UBo,VVW,86.27 
[78886] SET_SELL_TRIGGER,3mEsf51UBo,MOF,52.96 
[78981] ADD,3mEsf51UBo,66096.78 
[79119] QUOTE,3mEsf51UBo,PXS 
[79131] CANCEL_SET_BUY,3mEsf51UBo,PMX 
[79366] DISPLAY_SUMMARY,3mEsf51UBo 
[79510] SET_SELL_TRIGGER,3mEsf51UBo,KJD,111.37 
[79625] SET_SELL_TRIGGER,3mEsf51UBo,DJD,167.82 
[79631] SET_BUY_TRIGGER,3mEsf51UBo,FPV,10.54 
[79699] QUOTE,3mEsf51UBo,WGV 
[79728] SET_BUY_TRIGGER,3mEsf51UBo,YTY,80.93 
[79926] DISPLAY_SUMMARY,3mEsf51UBo 
[80009] SET_BUY_TRIGGER,3mEsf51UBo,DJD,99.31 
[80133] SET_BUY_AMOUNT,3mEsf51UBo,JVT,382.25 
[80134] SET_BUY_TRIGGER,3mEsf51UBo,SJH,204.62 
[80163] QUOTE,3mEsf51UBo,XFW 
[80266] DISPLAY_SUMMARY,3mEsf51UBo 
[80293] DISPLAY_SUMMARY,3mEsf51UBo 
[80298] ADD,3mEsf51UBo,87300.83 
[80332] BUY,3mEsf51UBo,GMF,186.15 
[80479] COMMIT_BUY,3mEsf51UBo 
[80623] DISPLAY_SUMMARY,3mEsf51UBo 
[80704] SELL,3mEsf51UBo,LFU,61.83 
[80749] COMMIT_SELL,3mEsf51UBo 
[80917] ADD,3mEsf51UBo,84884.53 
[81040] QUOTE,3mEsf51UBo,GTX 
[81167] DISPLAY_SUMMARY,3mEsf51UBo 
[81191] DISPLAY_SUMMARY,3mEsf51UBo 
[81322] ADD,3mEsf51UBo,69263.24 
[81342] SELL,3mEsf51UBo,SSF,180.80 
[81369] COMMIT_SELL,3mEsf51UBo 
[81805] BUY,3mEsf51UBo,IFQ,421.70 
[81848] COMMIT_BUY,3mEsf51UBo 
[81862] QUOTE,3mEsf51UBo,CBV 
[81880] ADD,3mEsf51UBo,76533.85 
[81892] QUOTE,3mEsf51UBo,MXN 
[81984] DISPLAY_SUMMARY,3mEsf51UBo 
[82016] DISPLAY_SUMMARY,3mEsf51UBo 
[82159] BUY,3mEsf51UBo,SJG,16.38 
[82185] COMMIT_BUY,3mEsf51UBo 
[82297] ADD,3mEsf51UBo,46485.20 
[82311] QUOTE,3mEsf51UBo,LQN 
[82329] SET_BUY_AMOUNT,3mEsf51UBo,JCQ,128.63 
[82450] DISPLAY_SUMMARY,3mEsf51UBo 
[82609] ADD,3mEsf51UBo,41251.15 
[82615] QUOTE,3mEsf51UBo,FUF 
[82623] QUOTE,3mEsf51UBo,MMF 
[82637] BUY,3mEsf51UBo,ZFV,593.45 
[82679] CANCEL_BUY,3mEsf51UBo 
[82718] SET_SELL_AMOUNT,3mEsf51UBo,OPN,108.41 
[82830] SET_SELL_TRIGGER,3mEsf51UBo,OPN,60.16 
[82878] SET_SELL_TRIGGER,3mEsf51UBo,BUL,61.98 
[82995] CANCEL_SET_BUY,3mEsf51UBo,JUV 
[83200] SELL,3mEsf51UBo,YJK,343.23 
[83370] COMMIT_SELL,3mEsf51UBo 
[83404] SET_BUY_AMOUNT,3mEsf51UBo,UIE,1.78 
[83490] SET_BUY_TRIGGER,3mEsf51UBo,VZB,1.72 
[83809] QUOTE,3mEsf51UBo,TCP 
[83938] CANCEL_BUY,3mEsf51UBo 
[84167] SET_SELL_AMOUNT,3mEsf51UBo,KDA,160.53 
[84190] BUY,3mEsf51UBo,EAK,433.31 
[84362] CANCEL_BUY,3mEsf51UBo 
[84470] SET_BUY_AMOUNT,3mEsf51UBo,OPN,555.36 
[84484] SET_BUY_TRIGGER,3mEsf51UBo,EED,16.75 
[84626] DISPLAY_SUMMARY,3mEsf51UBo 
[84700] DISPLAY_SUMMARY,3mEsf51UBo 
[84970] CANCEL_SET_SELL,3mEsf51UBo,KDA 
[85146] SET_BUY_TRIGGER,3mEsf51UBo,YPL,134.94 
[85198] SET_BUY_AMOUNT,3mEsf51UBo,KES,706.15 
[85277] QUOTE,3mEsf51UBo,DNJ 
[85279] CANCEL_SET_BUY,3mEsf51UBo,AVI 
[85350] DISPLAY_SUMMARY,3mEsf51UBo 
[85383] SELL,3mEsf51UBo,YDS,589.68 
[85446] CANCEL_SELL,3mEsf51UBo 
[85450] BUY,3mEsf51UBo,MMY,507.33 
[85462] COMMIT_BUY,3mEsf51UBo 
[85546] SET_SELL_TRIGGER,3mEsf51UBo,YTT,101.15 
[85584] ADD,3mEsf51UBo,79060.47 
[85603] QUOTE,3mEsf51UBo,YNH 
[85687] SET_BUY_TRIGGER,3mEsf51UBo,QJC,109.30 
[85721] ADD,3mEsf51UBo,75574.56 
[85778] QUOTE,3mEsf51UBo,NHB 
[85870] CANCEL_SET_SELL,3mEsf51UBo,CWA 
[86185] SELL,3mEsf51UBo,QAX,577.00 
[86192] COMMIT_SELL,3mEsf51UBo 
[86540] CANCEL_SELL,3mEsf51UBo 
[86580] SET_SELL_TRIGGER,3mEsf51UBo,KRY,156.34 
[86620] BUY,3mEsf51UBo,RRZ,108.12 
[86621] COMMIT_BUY,3mEsf51UBo 
[86677] SET_SELL_TRIGGER,3mEsf51UBo,PDB,147.02 
[86725] BUY,3mEsf51UBo,ILT,152.04 
[86741] SET_SELL_AMOUNT,3mEsf51UBo,CSZ,472.34 
[86815] SET_SELL_TRIGGER,3mEsf51UBo,CSZ,370.78 
[86891] ADD,3mEsf51UBo,79927.48 
[86932] COMMIT_BUY,3mEsf51UBo 
[86993] SET_BUY_TRIGGER,3mEsf51UBo,DXL,40.88 
[86996] SET_BUY_AMOUNT,3mEsf51UBo,MFX,559.83 
[87296] SET_BUY_TRIGGER,3mEsf51UBo,NAW,40.73 
[87303] SET_SELL_TRIGGER,3mEsf51UBo,NAR,63.32 
[87347] ADD,3mEsf51UBo,68146.00 
[87487] SET_BUY_TRIGGER,3mEsf51UBo,XLI,125.93 
[87516] COMMIT_BUY,3mEsf51UBo 
[87632] SET_BUY_AMOUNT,3mEsf51UBo,JRJ,75.27 
[87650] SET_BUY_TRIGGER,3mEsf51UBo,TAR,61.81 
[87756] SET_SELL_AMOUNT,3mEsf51UBo,AVX,514.70 
[87854] SET_SELL_TRIGGER,3mEsf51UBo,AVX,234.02 
[88110] DISPLAY_SUMMARY,3mEsf51UBo 
[88209] ADD,3mEsf51UBo,65345.08 
[88353] QUOTE,3mEsf51UBo,HTD 
[88355] QUOTE,3mEsf51UBo,NGG 
[88523] BUY,3mEsf51UBo,CBO,194.31 
[88680] CANCEL_SELL,3mEsf51UBo 
[88701] DISPLAY_SUMMARY,3mEsf51UBo 
[88781] CANCEL_SET_SELL,3mEsf51UBo,IVV 
[89050] ADD,3mEsf51UBo,44542.07 
[89092] BUY,3mEsf51UBo,JUG,670.40 
[89173] BUY,3mEsf51UBo,LZV,75.97 
[89405] COMMIT_BUY,3mEsf51UBo 
[89409] SET_SELL_TRIGGER,3mEsf51UBo,GTB,107.86 
[89413] BUY,3mEsf51UBo,TQX,106.83 
[89428] BUY,3mEsf51UBo,NDD,55.52 
[89554] CANCEL_BUY,3mEsf51UBo 
[89814] SELL,3mEsf51UBo,JQO,286.48 
[89871] CANCEL_SELL,3mEsf51UBo 
[89979] ADD,3mEsf51UBo,98509.84 
[90032] BUY,3mEsf51UBo,CTS,605.10 
[90220] QUOTE,3mEsf51UBo,AUT 
[90250] SET_SELL_AMOUNT,3mEsf51UBo,VTY,694.68 
[90411] SELL,3mEsf51UBo,CSZ,565.25 
[90606] COMMIT_SELL,3mEsf51UBo 
[90876] CANCEL_BUY,3mEsf51UBo 
[91111] SET_SELL_TRIGGER,3mEsf51UBo,VTY,317.83 
[91254] SET_BUY_TRIGGER,3mEsf51UBo,PDX,191.09 
[91361] SET_SELL_TRIGGER,3mEsf51UBo,NXU,30.38 
[91733] BUY,3mEsf51UBo,DVA,308.14 
[91875] COMMIT_BUY,3mEsf51UBo 
[91951] ADD,3mEsf51UBo,73646.58 
[92044] QUOTE,3mEsf51UBo,NLT 
[93100] COMMIT_BUY,3mEsf51UBo 
[93103] CANCEL_SET_BUY,3mEsf51UBo,YOQ 
[93483] ADD,3mEsf51UBo,67122.90 
[93509] SET_BUY_TRIGGER,3mEsf51UBo,CVV,57.61 
[93615] SET_BUY_TRIGGER,3mEsf51UBo,MQP,87.48 
[93920] SET_SELL_AMOUNT,3mEsf51UBo,EBS,666.13 
[93976] CANCEL_SET_SELL,3mEsf51UBo,EBS 
[94006] DISPLAY_SUMMARY,3mEsf51UBo 
[94034] SET_BUY_TRIGGER,3mEsf51UBo,EHF,68.28 
[94075] DISPLAY_SUMMARY,3mEsf51UBo 
[94447] SET_BUY_AMOUNT,3mEsf51UBo,BYA,367.85 
[94758] SET_BUY_TRIGGER,3mEsf51UBo,XQC,311.63 
[94770] DISPLAY_SUMMARY,3mEsf51UBo 
[94993] DISPLAY_SUMMARY,3mEsf51UBo 
[95089] SET_BUY_TRIGGER,3mEsf51UBo,OIV,169.91 
[95143] QUOTE,3mEsf51UBo,OTI 
[95270] BUY,3mEsf51UBo,HYX,210.01 
[95289] COMMIT_BUY,3mEsf51UBo 
[95319] ADD,3mEsf51UBo,67658.23 
[95546] BUY,3mEsf51UBo,AVX,540.72 
[95586] SET_SELL_TRIGGER,3mEsf51UBo,ARP,30.74 
[95665] CANCEL_SELL,3mEsf51UBo 
[95705] ADD,3mEsf51UBo,53086.00 
[95853] QUOTE,3mEsf51UBo,DRO 
[95954] SET_BUY_TRIGGER,3mEsf51UBo,WCY,182.73 
[95969] BUY,3mEsf51UBo,NGB,468.73 
