[65] ADD,kryOHlcACM,69868.50 
[47640] SELL,kryOHlcACM,JRJ,661.72 
[47707] CANCEL_SELL,kryOHlcACM 
[47920] ADD,kryOHlcACM,82354.69 
[47948] QUOTE,kryOHlcACM,ZWB 
[47965] SELL,kryOHlcACM,CUZ,581.60 
[48172] COMMIT_SELL,kryOHlcACM 
[48287] SET_BUY_TRIGGER,kryOHlcACM,DBS,90.51 
[48314] BUY,kryOHlcACM,FOV,502.59 
[48417] COMMIT_BUY,kryOHlcACM 
[48509] DISPLAY_SUMMARY,kryOHlcACM 
[48514] DISPLAY_SUMMARY,kryOHlcACM 
[48723] ADD,kryOHlcACM,81197.93 
[48774] BUY,kryOHlcACM,ALG,96.13 
[48997] COMMIT_BUY,kryOHlcACM 
[49045] SET_BUY_TRIGGER,kryOHlcACM,ERF,103.99 
[49166] SET_BUY_TRIGGER,kryOHlcACM,VNN,130.65 
[49233] ADD,kryOHlcACM,66250.66 
[49313] ADD,kryOHlcACM,52358.42 
[49332] QUOTE,kryOHlcACM,VCN 
[49421] BUY,kryOHlcACM,LFU,566.88 
[49884] CANCEL_BUY,kryOHlcACM 
[50011] DISPLAY_SUMMARY,kryOHlcACM 
[50232] SET_BUY_TRIGGER,kryOHlcACM,ATE,132.23 
[50658] SET_BUY_AMOUNT,kryOHlcACM,FQP,555.23 
[51032] SET_BUY_TRIGGER,kryOHlcACM,EBS,403.34 
[51040] SELL,kryOHlcACM,UTV,537.30 
[51353] COMMIT_SELL,kryOHlcACM 
[51448] SET_SELL_TRIGGER,kryOHlcACM,BZX,165.27 
[51554] SET_BUY_TRIGGER,kryOHlcACM,PXX,181.07 
[51629] DISPLAY_SUMMARY,kryOHlcACM 
[51788] SET_BUY_TRIGGER,kryOHlcACM,AVX,163.59 
[51870] SET_SELL_AMOUNT,kryOHlcACM,BYA,646.10 
[52162] SET_SELL_TRIGGER,kryOHlcACM,BYA,181.97 
[52303] ADD,kryOHlcACM,48150.56 
[52458] DISPLAY_SUMMARY,kryOHlcACM 
[52615] SELL,kryOHlcACM,JZJ,300.59 
[52756] CANCEL_SELL,kryOHlcACM 
[52805] SET_BUY_AMOUNT,kryOHlcACM,LFU,526.11 
[52820] SELL,kryOHlcACM,NHG,300.68 
[52912] COMMIT_SELL,kryOHlcACM 
[52981] DISPLAY_SUMMARY,kryOHlcACM 
[53059] SELL,kryOHlcACM,BCQ,692.31 
[53089] COMMIT_SELL,kryOHlcACM 
[53107] CANCEL_SET_BUY,kryOHlcACM,WUF 
[53303] SET_BUY_TRIGGER,kryOHlcACM,CXB,147.59 
[53405] ADD,kryOHlcACM,79342.75 
[53460] CANCEL_SET_BUY,kryOHlcACM,KJD 
[53498] DISPLAY_SUMMARY,kryOHlcACM 
[53520] DISPLAY_SUMMARY,kryOHlcACM 
[53539] DISPLAY_SUMMARY,kryOHlcACM 
[53632] CANCEL_SET_SELL,kryOHlcACM,QVK 
[53711] SELL,kryOHlcACM,RGH,201.30 
[53715] SET_BUY_AMOUNT,kryOHlcACM,FQP,467.10 
[53727] SET_BUY_TRIGGER,kryOHlcACM,VSE,33.19 
[53760] SET_BUY_TRIGGER,kryOHlcACM,BWR,187.74 
[53837] BUY,kryOHlcACM,SOA,643.48 
[53898] COMMIT_BUY,kryOHlcACM 
[54166] COMMIT_BUY,kryOHlcACM 
[54394] ADD,kryOHlcACM,71837.14 
[54401] QUOTE,kryOHlcACM,UMN 
[54574] BUY,kryOHlcACM,EVR,12.79 
[54625] CANCEL_SET_BUY,kryOHlcACM,VEE 
[54627] ADD,kryOHlcACM,79909.50 
[54664] QUOTE,kryOHlcACM,GTN 
[54703] QUOTE,kryOHlcACM,YUR 
[54824] SET_SELL_TRIGGER,kryOHlcACM,SHP,11.20 
[54837] SET_BUY_AMOUNT,kryOHlcACM,YJK,38.74 
[54877] SET_BUY_TRIGGER,kryOHlcACM,KVK,12.05 
[55072] ADD,kryOHlcACM,95145.51 
[55075] QUOTE,kryOHlcACM,LLO 
[55307] QUOTE,kryOHlcACM,OZT 
[55396] QUOTE,kryOHlcACM,LSM 
[55585] BUY,kryOHlcACM,RLS,451.00 
[55723] COMMIT_BUY,kryOHlcACM 
[55739] ADD,kryOHlcACM,62722.84 
[55746] QUOTE,kryOHlcACM,WBL 
[55876] SET_BUY_AMOUNT,kryOHlcACM,SSF,729.56 
[55949] SET_BUY_TRIGGER,kryOHlcACM,IHA,49.95 
[56019] ADD,kryOHlcACM,70971.06 
[56027] BUY,kryOHlcACM,LLF,64.78 
[56042] QUOTE,kryOHlcACM,MER 
[56166] QUOTE,kryOHlcACM,FMJ 
[56553] DISPLAY_SUMMARY,kryOHlcACM 
[56691] COMMIT_SELL,kryOHlcACM 
[56706] DISPLAY_SUMMARY,kryOHlcACM 
[56826] DISPLAY_SUMMARY,kryOHlcACM 
[56840] DISPLAY_SUMMARY,kryOHlcACM 
[57001] BUY,kryOHlcACM,BDX,191.84 
[57055] COMMIT_BUY,kryOHlcACM 
[57143] BUY,kryOHlcACM,ZJG,153.74 
[57309] BUY,kryOHlcACM,VZB,558.34 
[57703] BUY,kryOHlcACM,OFP,30.79 
[57824] CANCEL_SET_SELL,kryOHlcACM,JVT 
[57907] DISPLAY_SUMMARY,kryOHlcACM 
[57996] QUOTE,kryOHlcACM,SKW 
[58003] SET_BUY_AMOUNT,kryOHlcACM,OEY,115.34 
[58125] SET_BUY_TRIGGER,kryOHlcACM,QJC,102.13 
[58155] SET_BUY_TRIGGER,kryOHlcACM,WNX,86.23 
[58180] SET_BUY_TRIGGER,kryOHlcACM,ZGN,59.23 
[58317] CANCEL_SET_SELL,kryOHlcACM,ZJB 
[58421] ADD,kryOHlcACM,86532.60 
[58490] BUY,kryOHlcACM,FOV,223.35 
[58603] COMMIT_BUY,kryOHlcACM 
[58690] ADD,kryOHlcACM,55074.98 
[58700] BUY,kryOHlcACM,IHA,412.32 
[58722] COMMIT_BUY,kryOHlcACM 
[58741] ADD,kryOHlcACM,48644.56 
[58861] QUOTE,kryOHlcACM,MQP 
[58951] BUY,kryOHlcACM,BPK,409.33 
[59057] COMMIT_BUY,kryOHlcACM 
[59120] ADD,kryOHlcACM,54956.00 
[59128] BUY,kryOHlcACM,LLE,165.75 
[59390] SET_SELL_AMOUNT,kryOHlcACM,UBJ,127.58 
[59980] SET_SELL_TRIGGER,kryOHlcACM,UBJ,55.93 
[59998] DISPLAY_SUMMARY,kryOHlcACM 
[60057] SET_BUY_TRIGGER,kryOHlcACM,TVP,28.74 
[60213] DISPLAY_SUMMARY,kryOHlcACM 
[60236] SET_SELL_TRIGGER,kryOHlcACM,ZRJ,191.73 
[60294] SET_BUY_AMOUNT,kryOHlcACM,SSF,242.04 
[60345] SELL,kryOHlcACM,FDI,15.13 
[60383] BUY,kryOHlcACM,MQX,625.22 
[60391] COMMIT_BUY,kryOHlcACM 
[60435] SET_BUY_AMOUNT,kryOHlcACM,QGE,314.38 
[60524] SELL,kryOHlcACM,BYA,18.94 
[60857] COMMIT_SELL,kryOHlcACM 
[60885] ADD,kryOHlcACM,45438.92 
[60948] QUOTE,kryOHlcACM,CTI 
[60966] CANCEL_BUY,kryOHlcACM 
[61133] SELL,kryOHlcACM,EBS,564.89 
[61217] COMMIT_SELL,kryOHlcACM 
[61493] SELL,kryOHlcACM,SSF,299.92 
[61576] COMMIT_SELL,kryOHlcACM 
[61654] SET_BUY_AMOUNT,kryOHlcACM,NHG,576.38 
[61656] SET_BUY_TRIGGER,kryOHlcACM,SQO,23.89 
[61708] DISPLAY_SUMMARY,kryOHlcACM 
[61838] BUY,kryOHlcACM,ZYR,449.83 
[61845] CANCEL_BUY,kryOHlcACM 
[61968] BUY,kryOHlcACM,MRK,636.72 
[62123] SET_SELL_TRIGGER,kryOHlcACM,KAO,162.85 
[62169] SET_BUY_AMOUNT,kryOHlcACM,PTP,691.43 
[62256] SET_BUY_TRIGGER,kryOHlcACM,CAX,217.91 
[62298] SET_SELL_AMOUNT,kryOHlcACM,BCQ,182.35 
[62565] SET_SELL_TRIGGER,kryOHlcACM,BCQ,106.99 
[62699] BUY,kryOHlcACM,IRQ,499.81 
[62769] CANCEL_BUY,kryOHlcACM 
[62841] SET_BUY_TRIGGER,kryOHlcACM,QQI,98.75 
[62883] SELL,kryOHlcACM,SUS,708.96 
[62965] SET_SELL_AMOUNT,kryOHlcACM,ZAN,307.91 
[63017] CANCEL_SET_SELL,kryOHlcACM,ZAN 
[63075] ADD,kryOHlcACM,79126.22 
[63100] BUY,kryOHlcACM,QAX,264.11 
[63232] COMMIT_BUY,kryOHlcACM 
[63562] DISPLAY_SUMMARY,kryOHlcACM 
[63893] SET_BUY_TRIGGER,kryOHlcACM,KRY,139.03 
[63926] SET_BUY_TRIGGER,kryOHlcACM,IFU,49.31 
[63948] BUY,kryOHlcACM,HEK,233.88 
[64021] COMMIT_BUY,kryOHlcACM 
[64052] SELL,kryOHlcACM,FDI,668.92 
[64084] QUOTE,kryOHlcACM,PUC 
[64268] QUOTE,kryOHlcACM,FLD 
[64316] ADD,kryOHlcACM,60050.05 
[64332] BUY,kryOHlcACM,HEJ,329.56 
[64550] COMMIT_BUY,kryOHlcACM 
[64942] BUY,kryOHlcACM,VMK,496.16 
[64981] COMMIT_BUY,kryOHlcACM 
[65040] BUY,kryOHlcACM,JPD,503.51 
[65138] CANCEL_BUY,kryOHlcACM 
[65152] BUY,kryOHlcACM,ZQW,532.63 
[65212] COMMIT_BUY,kryOHlcACM 
[65897] BUY,kryOHlcACM,BBD,339.28 
[65983] COMMIT_BUY,kryOHlcACM 
[66194] QUOTE,kryOHlcACM,WDJ 
[66295] QUOTE,kryOHlcACM,KDG 
[66390] BUY,kryOHlcACM,NLP,122.58 
[66545] COMMIT_BUY,kryOHlcACM 
[66664] ADD,kryOHlcACM,59534.99 
[66756] SET_SELL_TRIGGER,kryOHlcACM,IFI,128.15 
[66806] QUOTE,kryOHlcACM,SWJ 
[66824] CANCEL_SET_SELL,kryOHlcACM,ALV 
[66886] SET_SELL_TRIGGER,kryOHlcACM,VDP,114.54 
[66923] CANCEL_SET_BUY,kryOHlcACM,UBJ 
[67079] DISPLAY_SUMMARY,kryOHlcACM 
[67170] QUOTE,kryOHlcACM,DWU 
[67530] BUY,kryOHlcACM,JOJ,212.35 
[67753] COMMIT_BUY,kryOHlcACM 
[68042] ADD,kryOHlcACM,77571.75 
[68056] QUOTE,kryOHlcACM,YWC 
[68300] SET_BUY_TRIGGER,kryOHlcACM,ZQS,192.56 
[68355] SELL,kryOHlcACM,LFU,688.42 
[68502] COMMIT_SELL,kryOHlcACM 
[68599] SELL,kryOHlcACM,KBN,2.58 
[68713] CANCEL_SELL,kryOHlcACM 
[68724] SET_BUY_AMOUNT,kryOHlcACM,LZV,563.27 
[69036] BUY,kryOHlcACM,OXK,549.79 
[69083] COMMIT_BUY,kryOHlcACM 
[69136] DISPLAY_SUMMARY,kryOHlcACM 
[69313] ADD,kryOHlcACM,33357.16 
[69348] BUY,kryOHlcACM,HIN,500.24 
[69487] COMMIT_SELL,kryOHlcACM 
[69711] DISPLAY_SUMMARY,kryOHlcACM 
[69729] ADD,kryOHlcACM,77767.11 
[69907] BUY,kryOHlcACM,XOA,359.77 
[69939] COMMIT_BUY,kryOHlcACM 
[69948] SELL,kryOHlcACM,GYF,58.52 
[70016] COMMIT_SELL,kryOHlcACM 
[70196] SET_BUY_AMOUNT,kryOHlcACM,IFN,119.90 
[70314] SET_BUY_TRIGGER,kryOHlcACM,YPW,69.04 
[70382] BUY,kryOHlcACM,RWY,179.90 
[70542] COMMIT_BUY,kryOHlcACM 
[70567] ADD,kryOHlcACM,82208.95 
[70607] COMMIT_BUY,kryOHlcACM 
[70676] SET_BUY_TRIGGER,kryOHlcACM,MVI,14.64 
[70770] SET_SELL_AMOUNT,kryOHlcACM,MXD,239.26 
[70787] SET_SELL_TRIGGER,kryOHlcACM,MXD,10.92 
[70918] SET_SELL_AMOUNT,kryOHlcACM,QAX,267.57 
[70950] SET_SELL_TRIGGER,kryOHlcACM,QAX,0.75 
[70995] BUY,kryOHlcACM,JQO,613.16 
[71054] COMMIT_BUY,kryOHlcACM 
[71131] SELL,kryOHlcACM,YDS,449.41 
[71171] COMMIT_SELL,kryOHlcACM 
[71308] SET_SELL_TRIGGER,kryOHlcACM,CUQ,84.09 
[71405] DISPLAY_SUMMARY,kryOHlcACM 
[71458] ADD,kryOHlcACM,74360.17 
[71492] QUOTE,kryOHlcACM,XZO 
[71507] SET_BUY_TRIGGER,kryOHlcACM,LZV,191.72 
[71666] SET_SELL_TRIGGER,kryOHlcACM,WGV,176.32 
[71801] SELL,kryOHlcACM,CBO,672.34 
[72096] COMMIT_SELL,kryOHlcACM 
[72196] SET_SELL_AMOUNT,kryOHlcACM,NHG,35.10 
[72210] CANCEL_SET_SELL,kryOHlcACM,NHG 
[72272] SELL,kryOHlcACM,KBN,358.97 
[72345] CANCEL_SELL,kryOHlcACM 
[72413] SET_BUY_AMOUNT,kryOHlcACM,JCQ,420.24 
[72573] DISPLAY_SUMMARY,kryOHlcACM 
[72675] ADD,kryOHlcACM,68204.55 
[72729] DISPLAY_SUMMARY,kryOHlcACM 
[72839] DISPLAY_SUMMARY,kryOHlcACM 
[72972] SELL,kryOHlcACM,VTY,634.49 
[73019] COMMIT_SELL,kryOHlcACM 
[73105] SET_BUY_TRIGGER,kryOHlcACM,FMJ,72.48 
[73235] DISPLAY_SUMMARY,kryOHlcACM 
[73267] ADD,kryOHlcACM,61073.21 
[73297] QUOTE,kryOHlcACM,CLQ 
[73426] SET_BUY_AMOUNT,kryOHlcACM,ZAN,45.15 
[73627] SET_BUY_TRIGGER,kryOHlcACM,DDH,0.98 
[73629] ADD,kryOHlcACM,91973.36 
[73949] QUOTE,kryOHlcACM,FCH 
[73954] SET_BUY_TRIGGER,kryOHlcACM,LPS,193.47 
[73994] DISPLAY_SUMMARY,kryOHlcACM 
[74114] ADD,kryOHlcACM,74836.77 
[74185] BUY,kryOHlcACM,ENQ,620.14 
[74249] COMMIT_BUY,kryOHlcACM 
[74318] SELL,kryOHlcACM,XXQ,359.24 
[74356] COMMIT_SELL,kryOHlcACM 
[74374] BUY,kryOHlcACM,CWA,110.94 
[74559] COMMIT_BUY,kryOHlcACM 
[74682] ADD,kryOHlcACM,81961.57 
[74732] QUOTE,kryOHlcACM,IZJ 
[74766] BUY,kryOHlcACM,DPG,295.45 
[74813] COMMIT_BUY,kryOHlcACM 
[74901] SET_BUY_TRIGGER,kryOHlcACM,LAM,91.00 
[74966] SET_SELL_AMOUNT,kryOHlcACM,SSF,577.83 
[75024] DISPLAY_SUMMARY,kryOHlcACM 
[75239] BUY,kryOHlcACM,ZMA,439.84 
[75248] DISPLAY_SUMMARY,kryOHlcACM 
[75258] SET_SELL_TRIGGER,kryOHlcACM,SSF,94.25 
[75494] ADD,kryOHlcACM,88724.46 
[75557] CANCEL_SET_BUY,kryOHlcACM,FKZ 
[75688] SELL,kryOHlcACM,LZV,211.31 
[75746] COMMIT_SELL,kryOHlcACM 
[75804] SET_SELL_TRIGGER,kryOHlcACM,JJW,154.91 
[75821] QUOTE,kryOHlcACM,FUR 
[75977] BUY,kryOHlcACM,WUF,409.45 
[76000] SET_SELL_AMOUNT,kryOHlcACM,BCQ,562.72 
[76091] SET_SELL_TRIGGER,kryOHlcACM,BCQ,215.62 
[76102] DISPLAY_SUMMARY,kryOHlcACM 
[76185] DISPLAY_SUMMARY,kryOHlcACM 
[76262] QUOTE,kryOHlcACM,RQL 
[76561] DISPLAY_SUMMARY,kryOHlcACM 
[76617] ADD,kryOHlcACM,72120.65 
[76794] BUY,kryOHlcACM,NGB,14.58 
[76879] COMMIT_BUY,kryOHlcACM 
[76984] ADD,kryOHlcACM,82586.50 
[77145] QUOTE,kryOHlcACM,MIR 
[77149] QUOTE,kryOHlcACM,YLZ 
[77370] QUOTE,kryOHlcACM,QXE 
[77464] BUY,kryOHlcACM,PVZ,424.09 
[77707] COMMIT_BUY,kryOHlcACM 
[77770] SET_SELL_AMOUNT,kryOHlcACM,TKM,342.32 
[77917] SET_SELL_TRIGGER,kryOHlcACM,TKM,255.00 
[77921] SELL,kryOHlcACM,SUS,163.64 
[78098] SELL,kryOHlcACM,ZYR,520.78 
[78113] COMMIT_SELL,kryOHlcACM 
[78131] BUY,kryOHlcACM,NDD,454.98 
[78304] COMMIT_BUY,kryOHlcACM 
[78368] DISPLAY_SUMMARY,kryOHlcACM 
[78537] ADD,kryOHlcACM,88945.32 
[78556] QUOTE,kryOHlcACM,XZO 
[78614] CANCEL_BUY,kryOHlcACM 
[78760] SET_BUY_AMOUNT,kryOHlcACM,UTV,371.71 
[78770] SET_BUY_TRIGGER,kryOHlcACM,JPD,200.36 
[78947] DISPLAY_SUMMARY,kryOHlcACM 
[79024] DISPLAY_SUMMARY,kryOHlcACM 
[79059] SELL,kryOHlcACM,JRJ,366.72 
[79100] CANCEL_SELL,kryOHlcACM 
[79421] ADD,kryOHlcACM,74499.53 
[79464] QUOTE,kryOHlcACM,UHO 
[79532] BUY,kryOHlcACM,MIU,562.87 
[79537] CANCEL_BUY,kryOHlcACM 
[79612] BUY,kryOHlcACM,TFZ,441.21 
[79619] COMMIT_BUY,kryOHlcACM 
[79683] SET_SELL_TRIGGER,kryOHlcACM,LJZ,40.88 
[79738] ADD,kryOHlcACM,80016.80 
[79842] QUOTE,kryOHlcACM,JQG 
[79892] SELL,kryOHlcACM,MFX,17.12 
[79948] COMMIT_SELL,kryOHlcACM 
[79963] DISPLAY_SUMMARY,kryOHlcACM 
[80353] QUOTE,kryOHlcACM,GUB 
[80415] SET_BUY_TRIGGER,kryOHlcACM,HNW,168.18 
[80521] DISPLAY_SUMMARY,kryOHlcACM 
[80619] ADD,kryOHlcACM,69647.90 
[80720] ADD,kryOHlcACM,65250.10 
[80784] BUY,kryOHlcACM,GIK,473.13 
[81014] COMMIT_BUY,kryOHlcACM 
[81086] SET_BUY_AMOUNT,kryOHlcACM,EBS,271.12 
[81145] SET_BUY_TRIGGER,kryOHlcACM,ALM,103.03 
[81163] DISPLAY_SUMMARY,kryOHlcACM 
[81185] SET_BUY_TRIGGER,kryOHlcACM,WQC,168.08 
[81216] ADD,kryOHlcACM,60641.30 
[81295] QUOTE,kryOHlcACM,QPE 
[81403] SET_SELL_AMOUNT,kryOHlcACM,KYX,671.46 
[81451] SET_SELL_TRIGGER,kryOHlcACM,KYX,147.90 
[81581] DISPLAY_SUMMARY,kryOHlcACM 
[81679] SET_SELL_TRIGGER,kryOHlcACM,BVN,106.32 
[81723] BUY,kryOHlcACM,NUL,432.50 
[82002] SELL,kryOHlcACM,JCQ,123.35 
[82105] BUY,kryOHlcACM,VIK,633.75 
[82117] COMMIT_BUY,kryOHlcACM 
[82301] CANCEL_BUY,kryOHlcACM 
[82499] DISPLAY_SUMMARY,kryOHlcACM 
[82562] DISPLAY_SUMMARY,kryOHlcACM 
[82633] COMMIT_SELL,kryOHlcACM 
[82774] SET_BUY_AMOUNT,kryOHlcACM,QPR,609.35 
[82888] SET_BUY_TRIGGER,kryOHlcACM,GMF,33.66 
[83002] ADD,kryOHlcACM,54331.39 
[83112] SET_SELL_AMOUNT,kryOHlcACM,SZI,683.36 
[83244] SET_SELL_TRIGGER,kryOHlcACM,SZI,674.98 
[83477] DISPLAY_SUMMARY,kryOHlcACM 
[83607] CANCEL_SELL,kryOHlcACM 
[83642] ADD,kryOHlcACM,76005.58 
[83650] QUOTE,kryOHlcACM,RYU 
[83765] ADD,kryOHlcACM,29027.10 
[83801] SET_BUY_TRIGGER,kryOHlcACM,JXW,169.18 
[83894] CANCEL_SET_BUY,kryOHlcACM,GZQ 
[83966] SET_SELL_AMOUNT,kryOHlcACM,TVI,267.36 
[84065] SET_SELL_TRIGGER,kryOHlcACM,TVI,21.14 
[84134] DISPLAY_SUMMARY,kryOHlcACM 
[84145] ADD,kryOHlcACM,82324.76 
[84152] QUOTE,kryOHlcACM,YBP 
[84364] ADD,kryOHlcACM,71927.32 
[84415] BUY,kryOHlcACM,OOT,44.54 
[84594] COMMIT_BUY,kryOHlcACM 
[84663] ADD,kryOHlcACM,81538.46 
[84857] BUY,kryOHlcACM,XUY,611.26 
[84886] SET_BUY_AMOUNT,kryOHlcACM,ZAN,580.05 
[84906] QUOTE,kryOHlcACM,HZP 
[84927] QUOTE,kryOHlcACM,KPU 
[84935] ADD,kryOHlcACM,61750.06 
[84991] BUY,kryOHlcACM,ZAN,103.98 
[85107] COMMIT_BUY,kryOHlcACM 
[85172] QUOTE,kryOHlcACM,MDZ 
[85185] BUY,kryOHlcACM,ATE,287.26 
[85307] COMMIT_BUY,kryOHlcACM 
[85322] DISPLAY_SUMMARY,kryOHlcACM 
[85333] SET_BUY_AMOUNT,kryOHlcACM,QVK,518.68 
[85378] SET_BUY_TRIGGER,kryOHlcACM,AAC,244.63 
[85514] SELL,kryOHlcACM,PTP,629.82 
[85539] SET_BUY_AMOUNT,kryOHlcACM,TVI,589.60 
[85571] SET_BUY_TRIGGER,kryOHlcACM,KAO,541.93 
[85651] ADD,kryOHlcACM,64016.51 
[85782] BUY,kryOHlcACM,RUN,586.10 
[86021] CANCEL_SET_BUY,kryOHlcACM,SAJ 
[86134] ADD,kryOHlcACM,71836.68 
[86256] QUOTE,kryOHlcACM,KQZ 
[86338] COMMIT_SELL,kryOHlcACM 
[86372] SET_BUY_TRIGGER,kryOHlcACM,ZAO,80.57 
[86381] SET_BUY_AMOUNT,kryOHlcACM,UBJ,468.10 
[86403] SET_BUY_TRIGGER,kryOHlcACM,WSG,84.35 
[86530] BUY,kryOHlcACM,YUL,83.47 
[86729] COMMIT_BUY,kryOHlcACM 
[86730] SET_BUY_AMOUNT,kryOHlcACM,HTD,630.95 
[86883] SET_BUY_TRIGGER,kryOHlcACM,XTH,449.76 
[87148] SET_BUY_TRIGGER,kryOHlcACM,AOU,77.69 
[87170] SET_SELL_TRIGGER,kryOHlcACM,WCR,97.13 
[87299] DISPLAY_SUMMARY,kryOHlcACM 
[87330] SET_BUY_TRIGGER,kryOHlcACM,JNO,34.14 
[87350] QUOTE,kryOHlcACM,DTG 
[87358] QUOTE,kryOHlcACM,JUN 
[87473] BUY,kryOHlcACM,YVX,20.59 
[87512] COMMIT_BUY,kryOHlcACM 
[87539] CANCEL_SELL,kryOHlcACM 
[87593] SET_BUY_TRIGGER,kryOHlcACM,FCM,94.73 
[87627] SELL,kryOHlcACM,UIE,708.09 
[87808] ADD,kryOHlcACM,42236.58 
[87878] QUOTE,kryOHlcACM,YZC 
[87889] ADD,kryOHlcACM,80205.79 
[87898] SET_SELL_TRIGGER,kryOHlcACM,KES,185.25 
[87938] ADD,kryOHlcACM,51037.47 
[87999] QUOTE,kryOHlcACM,FFI 
[88201] BUY,kryOHlcACM,FFI,365.50 
[88222] COMMIT_BUY,kryOHlcACM 
[88224] SELL,kryOHlcACM,PTP,510.59 
[88358] COMMIT_SELL,kryOHlcACM 
[88408] DISPLAY_SUMMARY,kryOHlcACM 
[88558] SELL,kryOHlcACM,RGH,439.12 
[88599] QUOTE,kryOHlcACM,ZWC 
[88650] QUOTE,kryOHlcACM,VNO 
[88681] QUOTE,kryOHlcACM,OYX 
[88763] BUY,kryOHlcACM,ZLY,200.48 
[88877] CANCEL_BUY,kryOHlcACM 
[88879] SET_SELL_AMOUNT,kryOHlcACM,DFE,390.99 
[88936] DISPLAY_SUMMARY,kryOHlcACM 
[88968] SET_BUY_TRIGGER,kryOHlcACM,JGY,134.60 
[89016] ADD,kryOHlcACM,80249.17 
[89215] BUY,kryOHlcACM,ARP,434.65 
[89267] COMMIT_BUY,kryOHlcACM 
[89290] ADD,kryOHlcACM,59956.10 
[89514] CANCEL_SELL,kryOHlcACM 
[89601] ADD,kryOHlcACM,77813.10 
[89643] QUOTE,kryOHlcACM,MJU 
[89651] COMMIT_SELL,kryOHlcACM 
[89702] DISPLAY_SUMMARY,kryOHlcACM 
[89725] SET_BUY_AMOUNT,kryOHlcACM,KES,284.18 
[89770] CANCEL_SET_BUY,kryOHlcACM,BEC 
[89860] CANCEL_BUY,kryOHlcACM 
[89885] SET_BUY_AMOUNT,kryOHlcACM,KYX,342.82 
[90292] SET_BUY_TRIGGER,kryOHlcACM,YTY,73.47 
[90408] SET_BUY_AMOUNT,kryOHlcACM,VTY,238.03 
[90437] SELL,kryOHlcACM,BCQ,514.02 
[90490] COMMIT_SELL,kryOHlcACM 
[90494] SET_SELL_AMOUNT,kryOHlcACM,VTY,169.43 
[90596] SET_SELL_TRIGGER,kryOHlcACM,VTY,117.38 
[90612] SET_BUY_TRIGGER,kryOHlcACM,OBO,164.33 
[90639] SET_SELL_TRIGGER,kryOHlcACM,WTD,67.91 
[90663] SET_SELL_TRIGGER,kryOHlcACM,UTV,80.56 
[90737] SET_SELL_TRIGGER,kryOHlcACM,ATW,24.62 
[90787] ADD,kryOHlcACM,46732.63 
[90825] QUOTE,kryOHlcACM,GYF 
[91029] QUOTE,kryOHlcACM,MWJ 
[91157] CANCEL_SET_SELL,kryOHlcACM,JTX 
[91186] CANCEL_SET_SELL,kryOHlcACM,YVX 
[91274] ADD,kryOHlcACM,53094.54 
[91574] SET_BUY_TRIGGER,kryOHlcACM,GZQ,133.55 
[91597] SELL,kryOHlcACM,BJL,623.17 
[91752] DISPLAY_SUMMARY,kryOHlcACM 
[91859] QUOTE,kryOHlcACM,YNH 
[92038] SET_BUY_AMOUNT,kryOHlcACM,PTP,474.30 
[92114] SET_BUY_TRIGGER,kryOHlcACM,JGO,105.05 
[92235] ADD,kryOHlcACM,98526.52 
[92261] QUOTE,kryOHlcACM,DMW 
[92289] DISPLAY_SUMMARY,kryOHlcACM 
[92439] CANCEL_BUY,kryOHlcACM 
[92646] QUOTE,kryOHlcACM,RNK 
[92722] QUOTE,kryOHlcACM,CGW 
[92820] ADD,kryOHlcACM,63727.10 
[92829] BUY,kryOHlcACM,KES,54.37 
[92937] CANCEL_BUY,kryOHlcACM 
[92974] QUOTE,kryOHlcACM,CVK 
[93183] QUOTE,kryOHlcACM,BEG 
[93367] BUY,kryOHlcACM,TXB,311.60 
[93473] COMMIT_BUY,kryOHlcACM 
[93618] SET_SELL_AMOUNT,kryOHlcACM,ZAN,117.39 
[93634] SET_SELL_TRIGGER,kryOHlcACM,ZAN,64.51 
[93650] BUY,kryOHlcACM,LSG,211.16 
[93969] COMMIT_BUY,kryOHlcACM 
[93988] DISPLAY_SUMMARY,kryOHlcACM 
[94045] SELL,kryOHlcACM,OEY,721.99 
[94073] COMMIT_SELL,kryOHlcACM 
[94806] CANCEL_SET_SELL,kryOHlcACM,GMS 
[94838] SET_BUY_AMOUNT,kryOHlcACM,CBO,508.20 
[94950] SET_BUY_TRIGGER,kryOHlcACM,UUJ,467.38 
[94988] DISPLAY_SUMMARY,kryOHlcACM 
[95570] SET_BUY_TRIGGER,kryOHlcACM,YTY,167.94 
[95876] ADD,kryOHlcACM,98503.90 
[95935] BUY,kryOHlcACM,IZS,265.60 
[95978] COMMIT_BUY,kryOHlcACM 
[95995] SET_BUY_TRIGGER,kryOHlcACM,XRK,197.46 
[96021] COMMIT_SELL,kryOHlcACM 
[96075] QUOTE,kryOHlcACM,XFH 
[96160] BUY,kryOHlcACM,DQW,5.56 
[96280] COMMIT_BUY,kryOHlcACM 
[96312] ADD,kryOHlcACM,76128.85 
[96408] BUY,kryOHlcACM,EIK,537.72 
[96440] CANCEL_BUY,kryOHlcACM 
[96536] QUOTE,kryOHlcACM,JFF 
[96620] BUY,kryOHlcACM,YAV,126.56 
[96699] SET_SELL_TRIGGER,kryOHlcACM,YJK,8.81 
[96983] ADD,kryOHlcACM,54600.67 
