[12] ADD,F3iruDCI8F,102869.70 
[50519] SET_BUY_TRIGGER,F3iruDCI8F,HWO,99.39 
[50683] SET_SELL_TRIGGER,F3iruDCI8F,KLY,164.40 
[50705] ADD,F3iruDCI8F,107270.97 
[50720] QUOTE,F3iruDCI8F,OEY 
[50841] QUOTE,F3iruDCI8F,BBD 
[50904] CANCEL_SET_BUY,F3iruDCI8F,YUL 
[51152] SET_BUY_TRIGGER,F3iruDCI8F,LUT,156.92 
[51293] BUY,F3iruDCI8F,JPP,605.20 
[51337] COMMIT_BUY,F3iruDCI8F 
[51375] SELL,F3iruDCI8F,UTV,717.11 
[51626] BUY,F3iruDCI8F,SYN,551.98 
[51729] COMMIT_BUY,F3iruDCI8F 
[51773] BUY,F3iruDCI8F,NBX,348.01 
[51860] QUOTE,F3iruDCI8F,NAW 
[51951] QUOTE,F3iruDCI8F,NJI 
[52051] ADD,F3iruDCI8F,80029.22 
[52076] BUY,F3iruDCI8F,APY,618.90 
[52255] COMMIT_BUY,F3iruDCI8F 
[52324] BUY,F3iruDCI8F,WAO,577.66 
[52443] ADD,F3iruDCI8F,71657.68 
[52502] QUOTE,F3iruDCI8F,QJZ 
[52526] QUOTE,F3iruDCI8F,OZW 
[52535] QUOTE,F3iruDCI8F,XAN 
[52543] BUY,F3iruDCI8F,MRH,469.25 
[52555] CANCEL_SET_BUY,F3iruDCI8F,WCY 
[52577] QUOTE,F3iruDCI8F,TYV 
[52759] COMMIT_BUY,F3iruDCI8F 
[52905] SELL,F3iruDCI8F,FDI,747.25 
[52933] COMMIT_SELL,F3iruDCI8F 
[53010] SET_SELL_TRIGGER,F3iruDCI8F,ATW,40.06 
[53050] ADD,F3iruDCI8F,83374.92 
[53506] DISPLAY_SUMMARY,F3iruDCI8F 
[53796] SET_BUY_TRIGGER,F3iruDCI8F,NXU,145.08 
[54233] SET_SELL_TRIGGER,F3iruDCI8F,TWJ,78.83 
[54245] SET_SELL_AMOUNT,F3iruDCI8F,RUN,328.50 
[54320] SET_SELL_TRIGGER,F3iruDCI8F,RUN,246.35 
[54330] ADD,F3iruDCI8F,86481.25 
[54506] BUY,F3iruDCI8F,BYM,376.28 
[54717] COMMIT_BUY,F3iruDCI8F 
[54753] SET_BUY_TRIGGER,F3iruDCI8F,FFN,189.92 
[55131] SET_SELL_TRIGGER,F3iruDCI8F,PUU,118.29 
[55281] DISPLAY_SUMMARY,F3iruDCI8F 
[55365] BUY,F3iruDCI8F,VDP,438.31 
[55422] COMMIT_BUY,F3iruDCI8F 
[55660] SET_SELL_AMOUNT,F3iruDCI8F,FDI,381.11 
[55747] CANCEL_SET_SELL,F3iruDCI8F,FDI 
[55787] ADD,F3iruDCI8F,73933.99 
[55817] QUOTE,F3iruDCI8F,TFZ 
[56067] QUOTE,F3iruDCI8F,ZAM 
[56098] QUOTE,F3iruDCI8F,PTC 
[56103] ADD,F3iruDCI8F,77467.76 
[56315] QUOTE,F3iruDCI8F,LQN 
[56664] DISPLAY_SUMMARY,F3iruDCI8F 
[56675] SET_BUY_AMOUNT,F3iruDCI8F,PTP,653.13 
[56735] SET_BUY_TRIGGER,F3iruDCI8F,OQW,246.63 
[56879] SET_SELL_TRIGGER,F3iruDCI8F,XMA,111.80 
[56946] SET_SELL_AMOUNT,F3iruDCI8F,SSF,319.73 
[56968] SET_SELL_TRIGGER,F3iruDCI8F,SSF,85.16 
[57076] SELL,F3iruDCI8F,DFE,733.13 
[57148] SET_BUY_AMOUNT,F3iruDCI8F,BYA,636.07 
[57153] SELL,F3iruDCI8F,FDI,420.44 
[57308] COMMIT_SELL,F3iruDCI8F 
[57320] BUY,F3iruDCI8F,ENQ,30.13 
[57468] CANCEL_SET_BUY,F3iruDCI8F,QOD 
[57856] QUOTE,F3iruDCI8F,JXW 
[57896] CANCEL_SET_SELL,F3iruDCI8F,MAX 
[58049] ADD,F3iruDCI8F,104702.66 
[58237] BUY,F3iruDCI8F,TOL,155.03 
[58238] COMMIT_BUY,F3iruDCI8F 
[58258] BUY,F3iruDCI8F,JGO,598.50 
[58296] CANCEL_BUY,F3iruDCI8F 
[58359] CANCEL_BUY,F3iruDCI8F 
[58522] QUOTE,F3iruDCI8F,TOL 
[58756] BUY,F3iruDCI8F,GHE,226.08 
[58846] COMMIT_BUY,F3iruDCI8F 
[58859] COMMIT_BUY,F3iruDCI8F 
[58914] SELL,F3iruDCI8F,RUN,347.46 
[58960] DISPLAY_SUMMARY,F3iruDCI8F 
[58968] SELL,F3iruDCI8F,QJZ,305.81 
[58989] COMMIT_SELL,F3iruDCI8F 
[59163] SET_SELL_TRIGGER,F3iruDCI8F,JII,92.04 
[59194] DISPLAY_SUMMARY,F3iruDCI8F 
[59330] SET_SELL_TRIGGER,F3iruDCI8F,GDF,150.31 
[59331] DISPLAY_SUMMARY,F3iruDCI8F 
[59395] SET_BUY_TRIGGER,F3iruDCI8F,MHR,151.76 
[59436] DISPLAY_SUMMARY,F3iruDCI8F 
[59487] SET_SELL_TRIGGER,F3iruDCI8F,SDW,9.56 
[59605] BUY,F3iruDCI8F,JVT,109.91 
[59620] CANCEL_SET_BUY,F3iruDCI8F,WYD 
[59640] CANCEL_SELL,F3iruDCI8F 
[60041] SELL,F3iruDCI8F,KES,33.63 
[60074] COMMIT_SELL,F3iruDCI8F 
[60442] ADD,F3iruDCI8F,114705.34 
[60475] BUY,F3iruDCI8F,PST,297.90 
[60485] COMMIT_BUY,F3iruDCI8F 
[60516] BUY,F3iruDCI8F,DWC,165.01 
[60624] CANCEL_BUY,F3iruDCI8F 
[60759] DISPLAY_SUMMARY,F3iruDCI8F 
[60929] DISPLAY_SUMMARY,F3iruDCI8F 
[60985] SELL,F3iruDCI8F,JQO,564.35 
[61016] SET_BUY_TRIGGER,F3iruDCI8F,UIE,130.45 
[61244] SELL,F3iruDCI8F,YJK,586.39 
[61408] CANCEL_SET_SELL,F3iruDCI8F,DES 
[61482] SELL,F3iruDCI8F,ZTI,522.34 
[61513] SET_SELL_TRIGGER,F3iruDCI8F,RWM,68.62 
[61578] ADD,F3iruDCI8F,54730.51 
[61584] QUOTE,F3iruDCI8F,LSM 
[61633] COMMIT_BUY,F3iruDCI8F 
[61660] SET_SELL_AMOUNT,F3iruDCI8F,RGH,121.63 
[61768] SET_SELL_TRIGGER,F3iruDCI8F,RGH,52.94 
[61946] SET_BUY_TRIGGER,F3iruDCI8F,ZAN,79.53 
[62017] BUY,F3iruDCI8F,JVT,321.27 
[62078] CANCEL_BUY,F3iruDCI8F 
[62176] QUOTE,F3iruDCI8F,KES 
[62241] DISPLAY_SUMMARY,F3iruDCI8F 
[62273] DISPLAY_SUMMARY,F3iruDCI8F 
[62356] ADD,F3iruDCI8F,61972.85 
[62466] BUY,F3iruDCI8F,QVK,16.13 
[62608] SET_SELL_AMOUNT,F3iruDCI8F,ZTI,476.69 
[62832] SET_SELL_TRIGGER,F3iruDCI8F,ZTI,162.56 
[62906] SET_SELL_TRIGGER,F3iruDCI8F,MOM,117.14 
[63114] SET_SELL_AMOUNT,F3iruDCI8F,VTY,83.80 
[63283] SET_SELL_TRIGGER,F3iruDCI8F,VTY,62.07 
[63293] DISPLAY_SUMMARY,F3iruDCI8F 
[63608] ADD,F3iruDCI8F,88178.40 
[63695] BUY,F3iruDCI8F,UHO,215.34 
[63719] SELL,F3iruDCI8F,CUZ,437.57 
[63730] COMMIT_SELL,F3iruDCI8F 
[63780] ADD,F3iruDCI8F,63840.96 
[63838] DISPLAY_SUMMARY,F3iruDCI8F 
[63990] BUY,F3iruDCI8F,KLY,59.15 
[63996] SET_BUY_AMOUNT,F3iruDCI8F,LFU,71.30 
[64142] SET_BUY_TRIGGER,F3iruDCI8F,JDO,49.05 
[64174] COMMIT_BUY,F3iruDCI8F 
[64187] BUY,F3iruDCI8F,TTV,49.58 
[64424] QUOTE,F3iruDCI8F,HFI 
[64503] BUY,F3iruDCI8F,LLE,283.11 
[64594] DISPLAY_SUMMARY,F3iruDCI8F 
[64692] QUOTE,F3iruDCI8F,OLH 
[64704] ADD,F3iruDCI8F,63089.84 
[64713] QUOTE,F3iruDCI8F,HMR 
[64808] SET_SELL_AMOUNT,F3iruDCI8F,VTY,485.27 
[64834] SET_SELL_TRIGGER,F3iruDCI8F,VTY,377.66 
[64914] ADD,F3iruDCI8F,74868.96 
[64925] CANCEL_SELL,F3iruDCI8F 
[64984] BUY,F3iruDCI8F,YDS,629.53 
[65041] COMMIT_BUY,F3iruDCI8F 
[65187] DISPLAY_SUMMARY,F3iruDCI8F 
[65356] SET_BUY_TRIGGER,F3iruDCI8F,EDV,49.84 
[65367] ADD,F3iruDCI8F,88068.76 
[65384] QUOTE,F3iruDCI8F,DES 
[65453] QUOTE,F3iruDCI8F,EDM 
[65583] ADD,F3iruDCI8F,70815.57 
[65603] BUY,F3iruDCI8F,XMA,660.00 
[65612] COMMIT_BUY,F3iruDCI8F 
[65654] SELL,F3iruDCI8F,RGH,436.56 
[65974] ADD,F3iruDCI8F,58697.89 
[66096] CANCEL_SELL,F3iruDCI8F 
[66105] BUY,F3iruDCI8F,BTA,151.31 
[66226] COMMIT_BUY,F3iruDCI8F 
[66400] SET_SELL_TRIGGER,F3iruDCI8F,IRQ,0.44 
[66468] SELL,F3iruDCI8F,RUN,585.21 
[66627] COMMIT_SELL,F3iruDCI8F 
[66679] BUY,F3iruDCI8F,JLK,244.94 
[66783] COMMIT_BUY,F3iruDCI8F 
[66794] ADD,F3iruDCI8F,91266.35 
[66837] BUY,F3iruDCI8F,WBX,225.21 
[66843] COMMIT_BUY,F3iruDCI8F 
[67017] QUOTE,F3iruDCI8F,SWJ 
[67076] QUOTE,F3iruDCI8F,FQG 
[67134] QUOTE,F3iruDCI8F,JLO 
[67252] BUY,F3iruDCI8F,PYM,470.84 
[67260] COMMIT_BUY,F3iruDCI8F 
[67345] BUY,F3iruDCI8F,HYX,138.88 
[67439] COMMIT_SELL,F3iruDCI8F 
[67449] SET_SELL_AMOUNT,F3iruDCI8F,CBO,664.53 
[67977] BUY,F3iruDCI8F,YPL,259.88 
[68147] CANCEL_SET_SELL,F3iruDCI8F,CBO 
[68245] SET_SELL_AMOUNT,F3iruDCI8F,JVT,215.86 
[68256] SET_SELL_TRIGGER,F3iruDCI8F,JVT,51.79 
[68281] DISPLAY_SUMMARY,F3iruDCI8F 
[68417] SET_SELL_TRIGGER,F3iruDCI8F,AHO,53.83 
[68500] SET_BUY_TRIGGER,F3iruDCI8F,WYO,76.58 
[68542] ADD,F3iruDCI8F,91053.15 
[68609] BUY,F3iruDCI8F,OZO,15.86 
[68839] DISPLAY_SUMMARY,F3iruDCI8F 
[68850] QUOTE,F3iruDCI8F,FDI 
[68869] CANCEL_SET_SELL,F3iruDCI8F,IHW 
[68966] BUY,F3iruDCI8F,OZW,164.91 
[68992] COMMIT_BUY,F3iruDCI8F 
[69069] COMMIT_BUY,F3iruDCI8F 
[69099] SET_SELL_TRIGGER,F3iruDCI8F,HMR,196.74 
[69126] ADD,F3iruDCI8F,54827.22 
[69143] COMMIT_BUY,F3iruDCI8F 
[69381] SET_BUY_AMOUNT,F3iruDCI8F,JRJ,263.62 
[69390] SET_BUY_TRIGGER,F3iruDCI8F,MWV,48.33 
[69712] SET_SELL_TRIGGER,F3iruDCI8F,KWP,40.69 
[69757] SET_SELL_TRIGGER,F3iruDCI8F,IUN,122.90 
[69781] SET_BUY_TRIGGER,F3iruDCI8F,IJO,33.91 
[69791] DISPLAY_SUMMARY,F3iruDCI8F 
[70021] SET_SELL_AMOUNT,F3iruDCI8F,IFN,544.46 
[70233] BUY,F3iruDCI8F,WKG,725.67 
[70286] COMMIT_BUY,F3iruDCI8F 
[70349] ADD,F3iruDCI8F,60719.15 
[70411] QUOTE,F3iruDCI8F,UIE 
[70498] SET_SELL_AMOUNT,F3iruDCI8F,JCQ,699.67 
[70545] SET_SELL_TRIGGER,F3iruDCI8F,JCQ,387.59 
[70618] SET_SELL_AMOUNT,F3iruDCI8F,RNK,29.26 
[70689] SET_SELL_TRIGGER,F3iruDCI8F,RNK,18.92 
[70715] ADD,F3iruDCI8F,89336.35 
[70772] QUOTE,F3iruDCI8F,DNJ 
[70782] QUOTE,F3iruDCI8F,DTG 
[70791] ADD,F3iruDCI8F,72288.38 
[70903] BUY,F3iruDCI8F,VXY,264.76 
[71015] SELL,F3iruDCI8F,BYA,185.16 
[71125] COMMIT_SELL,F3iruDCI8F 
[71160] CANCEL_SET_SELL,F3iruDCI8F,VKB 
[71320] SET_BUY_TRIGGER,F3iruDCI8F,FGF,8.26 
[71324] SET_BUY_AMOUNT,F3iruDCI8F,RUN,646.25 
[71373] SET_BUY_TRIGGER,F3iruDCI8F,BXH,350.89 
[71417] DISPLAY_SUMMARY,F3iruDCI8F 
[71537] ADD,F3iruDCI8F,74198.31 
[71552] BUY,F3iruDCI8F,FFZ,558.22 
[71596] BUY,F3iruDCI8F,DBS,304.33 
[71598] BUY,F3iruDCI8F,EGB,579.95 
[71736] COMMIT_BUY,F3iruDCI8F 
[71901] SET_SELL_TRIGGER,F3iruDCI8F,HZA,114.03 
[72021] ADD,F3iruDCI8F,60071.06 
[72022] SET_BUY_AMOUNT,F3iruDCI8F,JRJ,218.79 
[72023] SET_BUY_TRIGGER,F3iruDCI8F,MMF,156.49 
[72025] SET_SELL_AMOUNT,F3iruDCI8F,PTP,8.93 
[72080] SET_SELL_TRIGGER,F3iruDCI8F,PTP,2.15 
[72279] CANCEL_BUY,F3iruDCI8F 
[72320] COMMIT_SELL,F3iruDCI8F 
[72323] BUY,F3iruDCI8F,KHD,253.44 
[72356] COMMIT_BUY,F3iruDCI8F 
[72403] SET_SELL_AMOUNT,F3iruDCI8F,LZV,248.71 
[72417] SET_SELL_TRIGGER,F3iruDCI8F,LZV,67.58 
[72467] BUY,F3iruDCI8F,IQZ,747.41 
[72470] COMMIT_BUY,F3iruDCI8F 
[72586] ADD,F3iruDCI8F,49319.11 
[72773] BUY,F3iruDCI8F,WBX,511.78 
[72842] COMMIT_BUY,F3iruDCI8F 
[72867] SET_BUY_TRIGGER,F3iruDCI8F,OGB,22.26 
[73011] QUOTE,F3iruDCI8F,IDN 
[73072] QUOTE,F3iruDCI8F,QSS 
[73176] COMMIT_SELL,F3iruDCI8F 
[73202] COMMIT_BUY,F3iruDCI8F 
[73234] BUY,F3iruDCI8F,RJG,616.35 
[73398] COMMIT_BUY,F3iruDCI8F 
[73483] ADD,F3iruDCI8F,66628.36 
[73501] QUOTE,F3iruDCI8F,IFI 
[73606] BUY,F3iruDCI8F,UIE,250.68 
[73646] COMMIT_BUY,F3iruDCI8F 
[73705] DISPLAY_SUMMARY,F3iruDCI8F 
[73716] DISPLAY_SUMMARY,F3iruDCI8F 
[73726] SET_SELL_TRIGGER,F3iruDCI8F,VTY,124.29 
[73868] BUY,F3iruDCI8F,WGV,542.53 
[73885] SELL,F3iruDCI8F,MFX,712.34 
[73887] COMMIT_BUY,F3iruDCI8F 
[74041] DISPLAY_SUMMARY,F3iruDCI8F 
[74247] ADD,F3iruDCI8F,79567.94 
[74329] BUY,F3iruDCI8F,KEO,732.07 
[74366] COMMIT_BUY,F3iruDCI8F 
[74499] SET_SELL_TRIGGER,F3iruDCI8F,FPV,84.49 
[74710] COMMIT_BUY,F3iruDCI8F 
[74808] QUOTE,F3iruDCI8F,ZHB 
[74879] ADD,F3iruDCI8F,48743.13 
[75127] QUOTE,F3iruDCI8F,VOY 
[75171] BUY,F3iruDCI8F,GWS,451.80 
[75198] COMMIT_BUY,F3iruDCI8F 
[75264] ADD,F3iruDCI8F,50787.51 
[75560] CANCEL_SET_SELL,F3iruDCI8F,VBO 
[75696] DISPLAY_SUMMARY,F3iruDCI8F 
[75957] SET_SELL_TRIGGER,F3iruDCI8F,AXK,188.40 
[76344] SELL,F3iruDCI8F,AVX,506.45 
[76363] COMMIT_SELL,F3iruDCI8F 
[76640] ADD,F3iruDCI8F,41395.50 
[76828] QUOTE,F3iruDCI8F,XZN 
[77061] QUOTE,F3iruDCI8F,MWV 
[77189] BUY,F3iruDCI8F,ZZN,269.55 
[77282] SET_BUY_AMOUNT,F3iruDCI8F,MXD,477.62 
[77293] SET_BUY_TRIGGER,F3iruDCI8F,BFL,104.19 
[77732] SET_BUY_TRIGGER,F3iruDCI8F,XWZ,128.32 
[77804] DISPLAY_SUMMARY,F3iruDCI8F 
[78212] DISPLAY_SUMMARY,F3iruDCI8F 
[78382] QUOTE,F3iruDCI8F,VEE 
[78384] QUOTE,F3iruDCI8F,SXB 
[78433] BUY,F3iruDCI8F,TQX,23.31 
[78504] ADD,F3iruDCI8F,59940.64 
[78639] ADD,F3iruDCI8F,65648.54 
[78732] BUY,F3iruDCI8F,FGI,592.50 
[78749] CANCEL_BUY,F3iruDCI8F 
[78878] ADD,F3iruDCI8F,44976.25 
[79189] BUY,F3iruDCI8F,YTY,588.90 
[79416] COMMIT_BUY,F3iruDCI8F 
[79636] SET_SELL_AMOUNT,F3iruDCI8F,KYX,376.66 
[79891] SET_SELL_TRIGGER,F3iruDCI8F,KYX,62.85 
[80209] BUY,F3iruDCI8F,CBY,196.13 
[80654] CANCEL_BUY,F3iruDCI8F 
[80777] SET_BUY_TRIGGER,F3iruDCI8F,JZJ,118.65 
[80891] BUY,F3iruDCI8F,XMA,434.16 
[80990] COMMIT_BUY,F3iruDCI8F 
[81141] CANCEL_SELL,F3iruDCI8F 
[81307] SET_BUY_TRIGGER,F3iruDCI8F,RGM,193.23 
[81517] BUY,F3iruDCI8F,WQE,97.62 
[81531] SET_BUY_TRIGGER,F3iruDCI8F,ZWC,5.73 
[81559] SET_BUY_TRIGGER,F3iruDCI8F,JSM,174.79 
[81561] SET_BUY_TRIGGER,F3iruDCI8F,XER,103.20 
[81610] BUY,F3iruDCI8F,YWC,239.32 
[81734] SET_BUY_AMOUNT,F3iruDCI8F,MXD,250.37 
[81899] SET_BUY_TRIGGER,F3iruDCI8F,DBR,202.37 
[81910] CANCEL_SET_BUY,F3iruDCI8F,QOD 
[81993] SET_BUY_TRIGGER,F3iruDCI8F,BDX,18.87 
[82246] DISPLAY_SUMMARY,F3iruDCI8F 
[82341] DISPLAY_SUMMARY,F3iruDCI8F 
[82344] BUY,F3iruDCI8F,XAN,88.82 
[82369] COMMIT_BUY,F3iruDCI8F 
[82484] SET_BUY_AMOUNT,F3iruDCI8F,KYX,443.09 
[82554] SELL,F3iruDCI8F,BCQ,666.81 
[82610] COMMIT_SELL,F3iruDCI8F 
[82750] ADD,F3iruDCI8F,90246.23 
[82866] BUY,F3iruDCI8F,SXB,130.68 
[82895] SET_SELL_AMOUNT,F3iruDCI8F,NHG,106.51 
[82977] DISPLAY_SUMMARY,F3iruDCI8F 
[82988] SELL,F3iruDCI8F,MFX,485.58 
[83372] COMMIT_SELL,F3iruDCI8F 
[83409] SELL,F3iruDCI8F,XQC,260.87 
[83583] SET_BUY_AMOUNT,F3iruDCI8F,NHG,716.12 
[83638] SET_BUY_TRIGGER,F3iruDCI8F,PUO,238.96 
[83654] ADD,F3iruDCI8F,55246.98 
[83738] BUY,F3iruDCI8F,BTP,586.13 
[83854] CANCEL_BUY,F3iruDCI8F 
[83857] SET_SELL_TRIGGER,F3iruDCI8F,NHG,29.53 
[83862] DISPLAY_SUMMARY,F3iruDCI8F 
[83917] SET_BUY_AMOUNT,F3iruDCI8F,FDI,447.29 
[84207] SET_BUY_TRIGGER,F3iruDCI8F,QXE,122.11 
[84271] ADD,F3iruDCI8F,88837.03 
[84351] BUY,F3iruDCI8F,EDW,634.07 
[84417] CANCEL_BUY,F3iruDCI8F 
[84425] SET_SELL_TRIGGER,F3iruDCI8F,WGP,61.11 
[84591] SET_BUY_TRIGGER,F3iruDCI8F,DXL,141.37 
[84625] CANCEL_SET_BUY,F3iruDCI8F,PBV 
[84727] ADD,F3iruDCI8F,67956.36 
[84818] QUOTE,F3iruDCI8F,GHE 
[85125] CANCEL_SET_BUY,F3iruDCI8F,YCH 
[85239] ADD,F3iruDCI8F,43959.53 
[85356] QUOTE,F3iruDCI8F,HVE 
[85359] BUY,F3iruDCI8F,WHR,582.13 
[85369] COMMIT_BUY,F3iruDCI8F 
[85540] DISPLAY_SUMMARY,F3iruDCI8F 
[85597] DISPLAY_SUMMARY,F3iruDCI8F 
[85675] DISPLAY_SUMMARY,F3iruDCI8F 
[85685] ADD,F3iruDCI8F,59799.94 
[85750] BUY,F3iruDCI8F,ZGR,44.14 
[85831] CANCEL_BUY,F3iruDCI8F 
[85860] QUOTE,F3iruDCI8F,LEA 
[85888] BUY,F3iruDCI8F,OKK,318.18 
[85901] CANCEL_SET_BUY,F3iruDCI8F,WUF 
[85902] ADD,F3iruDCI8F,77712.78 
[85986] BUY,F3iruDCI8F,VMK,522.57 
[86022] COMMIT_BUY,F3iruDCI8F 
[86108] SET_SELL_TRIGGER,F3iruDCI8F,IIX,46.77 
[86175] SELL,F3iruDCI8F,XQC,359.51 
[86300] COMMIT_SELL,F3iruDCI8F 
[86439] SET_SELL_TRIGGER,F3iruDCI8F,KLE,69.92 
[86544] QUOTE,F3iruDCI8F,NFO 
[86549] BUY,F3iruDCI8F,KAF,204.07 
[86595] CANCEL_SET_SELL,F3iruDCI8F,OEN 
[86682] ADD,F3iruDCI8F,66759.18 
[86765] QUOTE,F3iruDCI8F,DFE 
[86861] BUY,F3iruDCI8F,WCR,36.39 
[86905] COMMIT_BUY,F3iruDCI8F 
[86965] DISPLAY_SUMMARY,F3iruDCI8F 
[87024] SET_SELL_AMOUNT,F3iruDCI8F,SUS,226.54 
[87133] SET_SELL_TRIGGER,F3iruDCI8F,SUS,142.67 
[87252] SET_SELL_TRIGGER,F3iruDCI8F,ULL,27.07 
[87324] BUY,F3iruDCI8F,ZNZ,299.17 
[87352] COMMIT_BUY,F3iruDCI8F 
[87399] SET_BUY_TRIGGER,F3iruDCI8F,HIN,152.61 
[87620] SET_SELL_AMOUNT,F3iruDCI8F,CBO,516.39 
[87623] SET_SELL_TRIGGER,F3iruDCI8F,CBO,381.97 
[87660] SET_BUY_TRIGGER,F3iruDCI8F,SXB,90.76 
[87669] SET_BUY_TRIGGER,F3iruDCI8F,SJG,96.47 
[87926] SET_BUY_AMOUNT,F3iruDCI8F,KES,416.60 
[88190] DISPLAY_SUMMARY,F3iruDCI8F 
[88244] SELL,F3iruDCI8F,QAX,671.86 
[88301] QUOTE,F3iruDCI8F,STQ 
[88335] SET_BUY_TRIGGER,F3iruDCI8F,JQJ,369.46 
[88370] BUY,F3iruDCI8F,YZC,239.24 
[88394] BUY,F3iruDCI8F,XAN,5.82 
[88630] CANCEL_BUY,F3iruDCI8F 
[88772] ADD,F3iruDCI8F,79227.86 
[88925] CANCEL_BUY,F3iruDCI8F 
[88969] ADD,F3iruDCI8F,99230.14 
[88984] BUY,F3iruDCI8F,MVY,510.85 
[88993] COMMIT_BUY,F3iruDCI8F 
[89150] SET_BUY_TRIGGER,F3iruDCI8F,YVS,86.00 
[89246] SELL,F3iruDCI8F,ZAN,189.90 
[89410] COMMIT_SELL,F3iruDCI8F 
[89508] QUOTE,F3iruDCI8F,EGX 
[89520] BUY,F3iruDCI8F,IPJ,490.58 
[89595] CANCEL_SET_SELL,F3iruDCI8F,NOP 
[89683] DISPLAY_SUMMARY,F3iruDCI8F 
[89704] SET_SELL_AMOUNT,F3iruDCI8F,KBN,272.62 
[89735] SET_SELL_TRIGGER,F3iruDCI8F,KBN,19.27 
[89848] BUY,F3iruDCI8F,NGB,733.27 
[89877] COMMIT_BUY,F3iruDCI8F 
[90191] SET_SELL_AMOUNT,F3iruDCI8F,LZV,593.21 
[90244] DISPLAY_SUMMARY,F3iruDCI8F 
[90258] BUY,F3iruDCI8F,GPL,151.51 
[90344] COMMIT_BUY,F3iruDCI8F 
[90392] SET_SELL_TRIGGER,F3iruDCI8F,LZV,445.70 
[90563] ADD,F3iruDCI8F,86383.64 
[90645] BUY,F3iruDCI8F,KRX,530.32 
[90683] COMMIT_BUY,F3iruDCI8F 
[90703] SET_BUY_AMOUNT,F3iruDCI8F,OPN,660.66 
[90790] SET_BUY_TRIGGER,F3iruDCI8F,VAT,516.30 
[90811] DISPLAY_SUMMARY,F3iruDCI8F 
[90923] BUY,F3iruDCI8F,GHE,554.60 
[90930] COMMIT_BUY,F3iruDCI8F 
[90940] ADD,F3iruDCI8F,71595.90 
[90987] BUY,F3iruDCI8F,PST,249.59 
[91247] BUY,F3iruDCI8F,FVD,174.61 
[91305] COMMIT_BUY,F3iruDCI8F 
[91441] DISPLAY_SUMMARY,F3iruDCI8F 
[91489] DISPLAY_SUMMARY,F3iruDCI8F 
[91652] ADD,F3iruDCI8F,61612.05 
[91662] CANCEL_SET_BUY,F3iruDCI8F,FIW 
[91672] SELL,F3iruDCI8F,GRM,251.93 
[91692] ADD,F3iruDCI8F,81731.52 
[91730] QUOTE,F3iruDCI8F,SYL 
[91835] BUY,F3iruDCI8F,JIO,667.44 
[91916] CANCEL_SET_SELL,F3iruDCI8F,WUL 
[92014] QUOTE,F3iruDCI8F,VEX 
[92130] BUY,F3iruDCI8F,QPE,708.66 
[92207] COMMIT_BUY,F3iruDCI8F 
[92311] SET_BUY_TRIGGER,F3iruDCI8F,MIU,162.47 
[92345] ADD,F3iruDCI8F,74985.51 
[92608] BUY,F3iruDCI8F,ZLY,181.06 
[92917] QUOTE,F3iruDCI8F,OEM 
[92961] QUOTE,F3iruDCI8F,KES 
[93161] SET_BUY_TRIGGER,F3iruDCI8F,BSZ,42.71 
[93175] QUOTE,F3iruDCI8F,OYS 
[93258] ADD,F3iruDCI8F,79936.37 
[93273] BUY,F3iruDCI8F,RVU,599.96 
[93278] COMMIT_BUY,F3iruDCI8F 
[93428] SET_BUY_AMOUNT,F3iruDCI8F,DFE,243.74 
[93452] SET_BUY_TRIGGER,F3iruDCI8F,DLQ,28.20 
[93496] QUOTE,F3iruDCI8F,AJR 
[93500] SET_BUY_AMOUNT,F3iruDCI8F,LZV,253.55 
[93694] SET_BUY_TRIGGER,F3iruDCI8F,WFR,141.60 
[93845] SELL,F3iruDCI8F,AJR,724.77 
[93949] SET_BUY_AMOUNT,F3iruDCI8F,SZI,49.43 
[93994] SET_BUY_TRIGGER,F3iruDCI8F,ZZD,42.56 
[94126] ADD,F3iruDCI8F,71764.96 
[94146] COMMIT_SELL,F3iruDCI8F 
[94276] DISPLAY_SUMMARY,F3iruDCI8F 
[94341] QUOTE,F3iruDCI8F,URI 
[94453] SELL,F3iruDCI8F,OEY,136.91 
[94507] SET_SELL_AMOUNT,F3iruDCI8F,GSW,582.51 
[94582] DISPLAY_SUMMARY,F3iruDCI8F 
[94611] SET_BUY_AMOUNT,F3iruDCI8F,CSZ,115.53 
[94697] SET_BUY_TRIGGER,F3iruDCI8F,UMN,100.64 
[94796] ADD,F3iruDCI8F,83050.31 
[94942] CANCEL_SET_BUY,F3iruDCI8F,GTB 
[95009] SET_SELL_AMOUNT,F3iruDCI8F,ZTI,326.53 
[95030] SET_SELL_TRIGGER,F3iruDCI8F,ZTI,123.13 
[95365] ADD,F3iruDCI8F,89726.62 
[95457] QUOTE,F3iruDCI8F,SYU 
[95748] BUY,F3iruDCI8F,FVS,339.21 
[95819] COMMIT_BUY,F3iruDCI8F 
[95953] SET_SELL_AMOUNT,F3iruDCI8F,QVK,376.26 
[96085] BUY,F3iruDCI8F,MHQ,616.38 
[96208] COMMIT_BUY,F3iruDCI8F 
[96250] DISPLAY_SUMMARY,F3iruDCI8F 
[96299] ADD,F3iruDCI8F,77455.94 
[96441] BUY,F3iruDCI8F,JDW,655.31 
[96455] SELL,F3iruDCI8F,FQP,133.73 
[96542] COMMIT_SELL,F3iruDCI8F 
