[76] ADD,vRUafgIjuV,104692.95 
[50142] SET_SELL_AMOUNT,vRUafgIjuV,DFE,235.25 
[50175] SET_SELL_TRIGGER,vRUafgIjuV,DFE,152.36 
[50416] SET_BUY_AMOUNT,vRUafgIjuV,JRJ,486.80 
[50490] DISPLAY_SUMMARY,vRUafgIjuV 
[50597] ADD,vRUafgIjuV,74979.87 
[50712] BUY,vRUafgIjuV,BEC,432.80 
[50734] QUOTE,vRUafgIjuV,AUX 
[50873] QUOTE,vRUafgIjuV,YLZ 
[51146] ADD,vRUafgIjuV,70268.18 
[51170] BUY,vRUafgIjuV,LVT,218.29 
[51399] COMMIT_BUY,vRUafgIjuV 
[51511] CANCEL_SET_BUY,vRUafgIjuV,ENQ 
[51547] DISPLAY_SUMMARY,vRUafgIjuV 
[51769] ADD,vRUafgIjuV,74772.52 
[51783] QUOTE,vRUafgIjuV,ZEG 
[51790] SELL,vRUafgIjuV,KDA,152.33 
[51791] COMMIT_SELL,vRUafgIjuV 
[51969] ADD,vRUafgIjuV,70615.08 
[52020] BUY,vRUafgIjuV,ALG,399.92 
[52576] CANCEL_SET_SELL,vRUafgIjuV,CLQ 
[52804] SELL,vRUafgIjuV,YJK,521.28 
[53055] COMMIT_SELL,vRUafgIjuV 
[53286] BUY,vRUafgIjuV,DJD,416.82 
[53499] COMMIT_BUY,vRUafgIjuV 
[53524] SELL,vRUafgIjuV,JZJ,338.70 
[53574] COMMIT_SELL,vRUafgIjuV 
[53669] CANCEL_SET_SELL,vRUafgIjuV,EWP 
[54082] COMMIT_BUY,vRUafgIjuV 
[54218] CANCEL_SET_SELL,vRUafgIjuV,KJD 
[54221] SELL,vRUafgIjuV,CSZ,582.95 
[54318] SET_BUY_AMOUNT,vRUafgIjuV,KDA,669.47 
[54362] SET_BUY_TRIGGER,vRUafgIjuV,VEN,416.71 
[54391] SET_SELL_AMOUNT,vRUafgIjuV,JCQ,309.61 
[54711] SET_SELL_TRIGGER,vRUafgIjuV,JCQ,43.90 
[54807] SET_SELL_TRIGGER,vRUafgIjuV,OZT,73.61 
[54952] DISPLAY_SUMMARY,vRUafgIjuV 
[54963] QUOTE,vRUafgIjuV,PHJ 
[55212] BUY,vRUafgIjuV,CIP,648.10 
[55410] BUY,vRUafgIjuV,FZU,126.63 
[55468] COMMIT_BUY,vRUafgIjuV 
[55539] SET_BUY_AMOUNT,vRUafgIjuV,NHG,518.23 
[55791] DISPLAY_SUMMARY,vRUafgIjuV 
[55935] SELL,vRUafgIjuV,JVT,658.39 
[55940] QUOTE,vRUafgIjuV,WAO 
[55974] SET_BUY_AMOUNT,vRUafgIjuV,XXQ,459.09 
[55985] QUOTE,vRUafgIjuV,KCS 
[56108] QUOTE,vRUafgIjuV,AAC 
[56150] SET_BUY_TRIGGER,vRUafgIjuV,GIX,420.47 
[56162] CANCEL_BUY,vRUafgIjuV 
[56273] DISPLAY_SUMMARY,vRUafgIjuV 
[56274] ADD,vRUafgIjuV,75365.42 
[56328] COMMIT_BUY,vRUafgIjuV 
[56508] SET_BUY_TRIGGER,vRUafgIjuV,ZER,51.04 
[56568] ADD,vRUafgIjuV,72183.09 
[56867] BUY,vRUafgIjuV,LNJ,415.90 
[56980] COMMIT_BUY,vRUafgIjuV 
[57152] SET_SELL_AMOUNT,vRUafgIjuV,RUN,520.15 
[57623] SET_SELL_TRIGGER,vRUafgIjuV,RUN,97.64 
[57678] ADD,vRUafgIjuV,89898.19 
[57753] SET_BUY_TRIGGER,vRUafgIjuV,ALG,48.01 
[57777] DISPLAY_SUMMARY,vRUafgIjuV 
[57936] SET_BUY_TRIGGER,vRUafgIjuV,YOG,137.31 
[58024] QUOTE,vRUafgIjuV,WGP 
[58031] CANCEL_SELL,vRUafgIjuV 
[58182] SELL,vRUafgIjuV,JQO,405.66 
[58268] COMMIT_SELL,vRUafgIjuV 
[58283] SET_BUY_AMOUNT,vRUafgIjuV,AVX,737.25 
[58335] SELL,vRUafgIjuV,RGH,537.04 
[58477] SET_SELL_TRIGGER,vRUafgIjuV,SAN,38.44 
[58598] SET_SELL_AMOUNT,vRUafgIjuV,YJK,340.62 
[58689] SET_SELL_TRIGGER,vRUafgIjuV,YJK,151.13 
[58721] QUOTE,vRUafgIjuV,ZEU 
[58812] SELL,vRUafgIjuV,ZYR,643.54 
[58853] COMMIT_SELL,vRUafgIjuV 
[58907] SELL,vRUafgIjuV,GYF,383.28 
[59064] COMMIT_SELL,vRUafgIjuV 
[59074] DISPLAY_SUMMARY,vRUafgIjuV 
[59142] SET_BUY_AMOUNT,vRUafgIjuV,ZTI,344.78 
[59516] SET_BUY_TRIGGER,vRUafgIjuV,QPR,67.34 
[59529] SET_SELL_TRIGGER,vRUafgIjuV,NOP,1.20 
[59734] DISPLAY_SUMMARY,vRUafgIjuV 
[59989] SET_SELL_TRIGGER,vRUafgIjuV,GQV,137.31 
[60102] ADD,vRUafgIjuV,90231.61 
[60292] BUY,vRUafgIjuV,JGG,85.78 
[60366] COMMIT_BUY,vRUafgIjuV 
[60469] SET_SELL_TRIGGER,vRUafgIjuV,LZV,135.42 
[60487] ADD,vRUafgIjuV,68264.40 
[60520] SET_BUY_AMOUNT,vRUafgIjuV,SSF,436.71 
[60561] SET_BUY_TRIGGER,vRUafgIjuV,UFX,421.71 
[60563] SET_BUY_AMOUNT,vRUafgIjuV,YJK,460.83 
[60793] DISPLAY_SUMMARY,vRUafgIjuV 
[60796] DISPLAY_SUMMARY,vRUafgIjuV 
[60905] ADD,vRUafgIjuV,96970.98 
[60924] BUY,vRUafgIjuV,CTT,652.05 
[60994] COMMIT_BUY,vRUafgIjuV 
[61006] ADD,vRUafgIjuV,71423.74 
[61124] BUY,vRUafgIjuV,XQC,637.07 
[61151] COMMIT_BUY,vRUafgIjuV 
[61167] ADD,vRUafgIjuV,79486.83 
[61170] QUOTE,vRUafgIjuV,NJT 
[61222] CANCEL_SET_SELL,vRUafgIjuV,SYT 
[61256] SELL,vRUafgIjuV,JCQ,308.07 
[61477] CANCEL_BUY,vRUafgIjuV 
[61504] SET_BUY_AMOUNT,vRUafgIjuV,KDA,150.69 
[61524] SET_BUY_TRIGGER,vRUafgIjuV,JHY,65.89 
[61528] SET_SELL_TRIGGER,vRUafgIjuV,IZS,11.70 
[61531] COMMIT_BUY,vRUafgIjuV 
[61912] DISPLAY_SUMMARY,vRUafgIjuV 
[62130] DISPLAY_SUMMARY,vRUafgIjuV 
[62262] BUY,vRUafgIjuV,BTA,688.74 
[62386] CANCEL_BUY,vRUafgIjuV 
[62613] DISPLAY_SUMMARY,vRUafgIjuV 
[62686] ADD,vRUafgIjuV,88149.35 
[62990] QUOTE,vRUafgIjuV,PUN 
[63076] BUY,vRUafgIjuV,ZAV,319.51 
[63167] COMMIT_BUY,vRUafgIjuV 
[63200] SET_BUY_TRIGGER,vRUafgIjuV,ZHB,88.92 
[63577] ADD,vRUafgIjuV,97963.77 
[63587] BUY,vRUafgIjuV,XLV,512.24 
[63593] CANCEL_SET_SELL,vRUafgIjuV,TFZ 
[63629] SET_SELL_AMOUNT,vRUafgIjuV,RUN,241.80 
[63632] SET_SELL_TRIGGER,vRUafgIjuV,RUN,241.78 
[63757] DISPLAY_SUMMARY,vRUafgIjuV 
[63786] SET_SELL_TRIGGER,vRUafgIjuV,GCL,128.81 
[63815] SET_BUY_TRIGGER,vRUafgIjuV,UIE,148.70 
[63928] BUY,vRUafgIjuV,XFH,675.49 
[63955] CANCEL_BUY,vRUafgIjuV 
[63982] SET_BUY_AMOUNT,vRUafgIjuV,JZJ,550.89 
[63999] SET_BUY_TRIGGER,vRUafgIjuV,QBD,185.22 
[64037] COMMIT_SELL,vRUafgIjuV 
[64137] DISPLAY_SUMMARY,vRUafgIjuV 
[64138] BUY,vRUafgIjuV,KKI,341.73 
[64167] SET_BUY_TRIGGER,vRUafgIjuV,NLT,10.63 
[64236] ADD,vRUafgIjuV,31999.83 
[64358] SET_SELL_TRIGGER,vRUafgIjuV,GCW,175.99 
[64632] SET_SELL_AMOUNT,vRUafgIjuV,ZYR,643.97 
[64636] CANCEL_SET_SELL,vRUafgIjuV,ZYR 
[64686] DISPLAY_SUMMARY,vRUafgIjuV 
[64727] ADD,vRUafgIjuV,54767.80 
[64932] SET_BUY_TRIGGER,vRUafgIjuV,PVH,171.76 
[64951] SET_BUY_TRIGGER,vRUafgIjuV,WKG,60.67 
[64997] DISPLAY_SUMMARY,vRUafgIjuV 
[65140] CANCEL_SELL,vRUafgIjuV 
[65197] ADD,vRUafgIjuV,112612.37 
[65230] QUOTE,vRUafgIjuV,QGN 
[65326] SET_BUY_TRIGGER,vRUafgIjuV,GZU,160.65 
[65368] QUOTE,vRUafgIjuV,NSW 
[65507] BUY,vRUafgIjuV,KNM,720.76 
[65645] COMMIT_BUY,vRUafgIjuV 
[65763] SET_BUY_AMOUNT,vRUafgIjuV,CSZ,66.94 
[65772] SET_BUY_TRIGGER,vRUafgIjuV,FUR,26.55 
[65834] SELL,vRUafgIjuV,NHG,488.49 
[65965] COMMIT_SELL,vRUafgIjuV 
[65977] BUY,vRUafgIjuV,LPR,116.34 
[66112] COMMIT_BUY,vRUafgIjuV 
[66144] ADD,vRUafgIjuV,39469.36 
[66189] BUY,vRUafgIjuV,CXN,343.02 
[66238] CANCEL_SET_SELL,vRUafgIjuV,MER 
[66324] QUOTE,vRUafgIjuV,ETJ 
[66537] BUY,vRUafgIjuV,FIC,226.03 
[66875] COMMIT_BUY,vRUafgIjuV 
[66952] BUY,vRUafgIjuV,ZGN,642.45 
[66992] COMMIT_BUY,vRUafgIjuV 
[67000] ADD,vRUafgIjuV,69309.64 
[67037] QUOTE,vRUafgIjuV,OKK 
[67051] BUY,vRUafgIjuV,JDO,446.96 
[67054] COMMIT_BUY,vRUafgIjuV 
[67240] DISPLAY_SUMMARY,vRUafgIjuV 
[67284] DISPLAY_SUMMARY,vRUafgIjuV 
[67309] BUY,vRUafgIjuV,RQS,701.94 
[67627] COMMIT_BUY,vRUafgIjuV 
[67709] ADD,vRUafgIjuV,49476.35 
[67774] QUOTE,vRUafgIjuV,WKD 
[68032] QUOTE,vRUafgIjuV,VMT 
[68076] SET_BUY_TRIGGER,vRUafgIjuV,TQX,162.59 
[68164] SET_SELL_TRIGGER,vRUafgIjuV,QPZ,29.29 
[68236] ADD,vRUafgIjuV,75486.50 
[68289] QUOTE,vRUafgIjuV,KHY 
[68396] SET_BUY_AMOUNT,vRUafgIjuV,RUN,5.90 
[68407] DISPLAY_SUMMARY,vRUafgIjuV 
[68438] DISPLAY_SUMMARY,vRUafgIjuV 
[68471] BUY,vRUafgIjuV,FKI,184.93 
[68476] COMMIT_BUY,vRUafgIjuV 
[68777] SET_BUY_AMOUNT,vRUafgIjuV,CUZ,577.39 
[68980] SET_BUY_TRIGGER,vRUafgIjuV,KMZ,383.12 
[68990] DISPLAY_SUMMARY,vRUafgIjuV 
[69000] ADD,vRUafgIjuV,64818.88 
[69021] QUOTE,vRUafgIjuV,SMS 
[69066] SELL,vRUafgIjuV,BCQ,161.84 
[69172] SELL,vRUafgIjuV,CEC,638.54 
[69345] SET_SELL_TRIGGER,vRUafgIjuV,UFX,142.88 
[69400] QUOTE,vRUafgIjuV,NFO 
[69405] QUOTE,vRUafgIjuV,QQW 
[69513] QUOTE,vRUafgIjuV,BZH 
[69598] SET_SELL_AMOUNT,vRUafgIjuV,OPN,345.67 
[69668] QUOTE,vRUafgIjuV,VEX 
[69853] QUOTE,vRUafgIjuV,PCR 
[69963] SET_BUY_TRIGGER,vRUafgIjuV,OPN,23.65 
[69990] DISPLAY_SUMMARY,vRUafgIjuV 
[69995] SET_BUY_AMOUNT,vRUafgIjuV,UTV,285.64 
[70039] CANCEL_SET_BUY,vRUafgIjuV,DWX 
[70160] SET_SELL_AMOUNT,vRUafgIjuV,ZTI,288.98 
[70186] SET_SELL_TRIGGER,vRUafgIjuV,ZTI,6.00 
[70245] SET_BUY_AMOUNT,vRUafgIjuV,LFU,141.52 
[70363] QUOTE,vRUafgIjuV,XAN 
[70403] DISPLAY_SUMMARY,vRUafgIjuV 
[70457] SELL,vRUafgIjuV,NHG,669.45 
[70459] CANCEL_SELL,vRUafgIjuV 
[70522] ADD,vRUafgIjuV,62974.34 
[70531] QUOTE,vRUafgIjuV,KWP 
[70693] QUOTE,vRUafgIjuV,FUR 
[70804] SET_BUY_TRIGGER,vRUafgIjuV,KBP,64.45 
[71052] QUOTE,vRUafgIjuV,IZS 
[71233] DISPLAY_SUMMARY,vRUafgIjuV 
[71368] SET_SELL_AMOUNT,vRUafgIjuV,VTY,161.73 
[71378] SET_SELL_TRIGGER,vRUafgIjuV,VTY,154.91 
[71400] ADD,vRUafgIjuV,73415.80 
[71407] BUY,vRUafgIjuV,GLJ,481.57 
[71534] COMMIT_BUY,vRUafgIjuV 
[71562] SELL,vRUafgIjuV,BYA,20.37 
[71648] DISPLAY_SUMMARY,vRUafgIjuV 
[71789] ADD,vRUafgIjuV,36027.77 
[71808] DISPLAY_SUMMARY,vRUafgIjuV 
[71854] BUY,vRUafgIjuV,NDD,31.76 
[71945] SELL,vRUafgIjuV,PTP,638.59 
[72166] CANCEL_SET_BUY,vRUafgIjuV,DBT 
[72238] CANCEL_SET_SELL,vRUafgIjuV,KHD 
[72427] SET_BUY_TRIGGER,vRUafgIjuV,BJL,195.48 
[72572] SET_SELL_AMOUNT,vRUafgIjuV,CBO,336.31 
[72574] SET_SELL_TRIGGER,vRUafgIjuV,CBO,210.23 
[72621] QUOTE,vRUafgIjuV,GPM 
[72632] COMMIT_BUY,vRUafgIjuV 
[72655] BUY,vRUafgIjuV,ZMK,403.32 
[72827] QUOTE,vRUafgIjuV,PPY 
[72939] QUOTE,vRUafgIjuV,NHG 
[73045] BUY,vRUafgIjuV,LTB,384.05 
[73073] QUOTE,vRUafgIjuV,GIX 
[73250] QUOTE,vRUafgIjuV,CVP 
[73364] QUOTE,vRUafgIjuV,XAB 
[73698] BUY,vRUafgIjuV,PHE,268.81 
[73759] COMMIT_BUY,vRUafgIjuV 
[73837] BUY,vRUafgIjuV,VVW,133.67 
[74159] SELL,vRUafgIjuV,CUZ,180.52 
[74258] CANCEL_SET_SELL,vRUafgIjuV,ZWZ 
[74315] SET_BUY_AMOUNT,vRUafgIjuV,CEC,386.28 
[74353] SET_BUY_TRIGGER,vRUafgIjuV,JLK,308.68 
[74386] SET_SELL_TRIGGER,vRUafgIjuV,KHY,94.02 
[74449] QUOTE,vRUafgIjuV,VIG 
[74516] QUOTE,vRUafgIjuV,UTV 
[74703] BUY,vRUafgIjuV,ENQ,519.51 
[74726] CANCEL_SET_BUY,vRUafgIjuV,JSM 
[74892] ADD,vRUafgIjuV,69815.01 
[74947] SET_BUY_TRIGGER,vRUafgIjuV,KCT,161.45 
[74985] ADD,vRUafgIjuV,47907.19 
[75033] SET_SELL_TRIGGER,vRUafgIjuV,ZNL,194.82 
[75041] QUOTE,vRUafgIjuV,MKE 
[75134] QUOTE,vRUafgIjuV,SVV 
[75227] QUOTE,vRUafgIjuV,KBN 
[75286] QUOTE,vRUafgIjuV,MIR 
[75313] BUY,vRUafgIjuV,SYU,648.68 
[75400] COMMIT_BUY,vRUafgIjuV 
[75517] SET_BUY_AMOUNT,vRUafgIjuV,AVX,687.71 
[75580] SET_BUY_TRIGGER,vRUafgIjuV,VIG,279.99 
[75655] SELL,vRUafgIjuV,GRM,622.79 
[75659] COMMIT_SELL,vRUafgIjuV 
[75693] DISPLAY_SUMMARY,vRUafgIjuV 
[75812] QUOTE,vRUafgIjuV,KBI 
[75871] SET_SELL_AMOUNT,vRUafgIjuV,CUZ,86.36 
[75959] SET_SELL_TRIGGER,vRUafgIjuV,CUZ,40.20 
[76044] SET_SELL_AMOUNT,vRUafgIjuV,CBO,357.08 
[76299] SET_SELL_TRIGGER,vRUafgIjuV,CBO,305.18 
[76378] DISPLAY_SUMMARY,vRUafgIjuV 
[76651] DISPLAY_SUMMARY,vRUafgIjuV 
[76787] SET_BUY_AMOUNT,vRUafgIjuV,JCQ,748.28 
[76854] SET_BUY_TRIGGER,vRUafgIjuV,MZT,415.23 
[76957] QUOTE,vRUafgIjuV,OOT 
[77225] SET_SELL_AMOUNT,vRUafgIjuV,VTY,287.36 
[77430] SET_SELL_TRIGGER,vRUafgIjuV,VTY,19.02 
[77609] DISPLAY_SUMMARY,vRUafgIjuV 
[77645] DISPLAY_SUMMARY,vRUafgIjuV 
[77733] CANCEL_SET_SELL,vRUafgIjuV,EAK 
[77760] SET_BUY_AMOUNT,vRUafgIjuV,JQO,491.31 
[78317] SET_BUY_TRIGGER,vRUafgIjuV,PMX,97.30 
[78409] SELL,vRUafgIjuV,QGE,411.65 
[78497] COMMIT_SELL,vRUafgIjuV 
[78513] DISPLAY_SUMMARY,vRUafgIjuV 
[78673] BUY,vRUafgIjuV,MPP,646.64 
[78683] COMMIT_BUY,vRUafgIjuV 
[78788] SET_SELL_AMOUNT,vRUafgIjuV,CBO,122.14 
[78828] CANCEL_SET_SELL,vRUafgIjuV,CBO 
[78834] ADD,vRUafgIjuV,59848.78 
[78856] QUOTE,vRUafgIjuV,IWL 
[78887] BUY,vRUafgIjuV,IDX,543.57 
[78904] COMMIT_BUY,vRUafgIjuV 
[78927] DISPLAY_SUMMARY,vRUafgIjuV 
[78984] DISPLAY_SUMMARY,vRUafgIjuV 
[79025] ADD,vRUafgIjuV,88648.70 
[79102] QUOTE,vRUafgIjuV,UFX 
[79171] COMMIT_SELL,vRUafgIjuV 
[79188] DISPLAY_SUMMARY,vRUafgIjuV 
[79304] ADD,vRUafgIjuV,89721.51 
[79345] BUY,vRUafgIjuV,EWP,113.40 
[79412] SET_SELL_TRIGGER,vRUafgIjuV,MQP,27.03 
[79468] COMMIT_BUY,vRUafgIjuV 
[79621] ADD,vRUafgIjuV,66540.25 
[79648] CANCEL_SELL,vRUafgIjuV 
[79704] QUOTE,vRUafgIjuV,PTP 
[79721] SELL,vRUafgIjuV,NHG,415.67 
[79745] QUOTE,vRUafgIjuV,YOQ 
[79778] DISPLAY_SUMMARY,vRUafgIjuV 
[79893] QUOTE,vRUafgIjuV,OTD 
[79976] CANCEL_BUY,vRUafgIjuV 
[80049] QUOTE,vRUafgIjuV,XPX 
[80176] BUY,vRUafgIjuV,IZJ,89.49 
[80195] CANCEL_BUY,vRUafgIjuV 
[80221] SELL,vRUafgIjuV,SQI,552.60 
[80275] SET_BUY_TRIGGER,vRUafgIjuV,UBJ,57.93 
[80300] SET_BUY_AMOUNT,vRUafgIjuV,LFU,489.83 
[80401] QUOTE,vRUafgIjuV,BYM 
[80475] QUOTE,vRUafgIjuV,HPN 
[80488] SET_SELL_AMOUNT,vRUafgIjuV,QGE,432.41 
[80649] SET_SELL_TRIGGER,vRUafgIjuV,QGE,399.22 
[80667] QUOTE,vRUafgIjuV,STO 
[80766] QUOTE,vRUafgIjuV,OOV 
[80833] BUY,vRUafgIjuV,VKP,216.45 
[80889] CANCEL_BUY,vRUafgIjuV 
[80927] SET_SELL_TRIGGER,vRUafgIjuV,WDJ,166.98 
[80936] QUOTE,vRUafgIjuV,UHO 
[80953] ADD,vRUafgIjuV,53824.91 
[81104] SET_SELL_AMOUNT,vRUafgIjuV,KYX,639.16 
[81460] QUOTE,vRUafgIjuV,DBS 
[81612] ADD,vRUafgIjuV,49954.04 
[81770] COMMIT_BUY,vRUafgIjuV 
[81866] SET_BUY_AMOUNT,vRUafgIjuV,BYA,324.27 
[81888] SET_BUY_TRIGGER,vRUafgIjuV,KQZ,16.40 
[82199] BUY,vRUafgIjuV,LSW,534.11 
[82390] COMMIT_BUY,vRUafgIjuV 
[82564] SELL,vRUafgIjuV,MXD,186.62 
[82670] CANCEL_SELL,vRUafgIjuV 
[82674] SET_SELL_TRIGGER,vRUafgIjuV,KYX,548.25 
[82682] SET_SELL_TRIGGER,vRUafgIjuV,TKV,44.18 
[82708] SELL,vRUafgIjuV,JZJ,107.89 
[82733] COMMIT_SELL,vRUafgIjuV 
[82808] SET_SELL_TRIGGER,vRUafgIjuV,STO,168.74 
[82837] CANCEL_BUY,vRUafgIjuV 
[82846] SELL,vRUafgIjuV,QJZ,208.63 
[83068] COMMIT_SELL,vRUafgIjuV 
[83226] DISPLAY_SUMMARY,vRUafgIjuV 
[83269] SELL,vRUafgIjuV,VTY,112.30 
[83276] CANCEL_SELL,vRUafgIjuV 
[83303] QUOTE,vRUafgIjuV,NBX 
[83375] SET_SELL_AMOUNT,vRUafgIjuV,SQI,595.94 
[83414] SET_SELL_TRIGGER,vRUafgIjuV,SQI,420.97 
[83431] DISPLAY_SUMMARY,vRUafgIjuV 
[83444] ADD,vRUafgIjuV,52237.69 
[83549] BUY,vRUafgIjuV,XOP,32.32 
[83641] CANCEL_BUY,vRUafgIjuV 
[83688] SELL,vRUafgIjuV,SQI,16.76 
[83787] COMMIT_SELL,vRUafgIjuV 
[83816] SET_SELL_TRIGGER,vRUafgIjuV,YBP,19.83 
[83853] ADD,vRUafgIjuV,86833.55 
[83886] SELL,vRUafgIjuV,XXQ,312.46 
[84181] COMMIT_SELL,vRUafgIjuV 
[84187] SET_BUY_AMOUNT,vRUafgIjuV,UTV,3.27 
[84233] SET_BUY_TRIGGER,vRUafgIjuV,AUT,2.06 
[84275] DISPLAY_SUMMARY,vRUafgIjuV 
[84287] DISPLAY_SUMMARY,vRUafgIjuV 
[84474] SET_SELL_AMOUNT,vRUafgIjuV,AVX,552.71 
[84508] SET_SELL_TRIGGER,vRUafgIjuV,AVX,139.06 
[84584] SET_SELL_TRIGGER,vRUafgIjuV,DBT,132.89 
[84688] SET_BUY_TRIGGER,vRUafgIjuV,BBD,70.67 
[85011] BUY,vRUafgIjuV,PST,689.02 
[85017] SET_BUY_AMOUNT,vRUafgIjuV,EBS,195.88 
[85024] SET_BUY_TRIGGER,vRUafgIjuV,YWK,40.87 
[85075] SET_SELL_TRIGGER,vRUafgIjuV,FFZ,16.50 
[85261] QUOTE,vRUafgIjuV,PUN 
[85351] ADD,vRUafgIjuV,62850.31 
[85355] BUY,vRUafgIjuV,JYV,324.69 
[85648] COMMIT_BUY,vRUafgIjuV 
[85674] CANCEL_SELL,vRUafgIjuV 
[85682] SET_BUY_AMOUNT,vRUafgIjuV,ZAN,642.75 
[85875] SET_BUY_TRIGGER,vRUafgIjuV,PTC,126.77 
[86035] BUY,vRUafgIjuV,DWC,475.40 
[86111] COMMIT_BUY,vRUafgIjuV 
[86141] DISPLAY_SUMMARY,vRUafgIjuV 
[86291] SELL,vRUafgIjuV,XQC,93.76 
[86320] CANCEL_SELL,vRUafgIjuV 
[86560] DISPLAY_SUMMARY,vRUafgIjuV 
[86651] DISPLAY_SUMMARY,vRUafgIjuV 
[86753] QUOTE,vRUafgIjuV,MVQ 
[87138] BUY,vRUafgIjuV,DBC,214.59 
[87149] COMMIT_BUY,vRUafgIjuV 
[87167] SET_SELL_TRIGGER,vRUafgIjuV,NHG,160.00 
[87188] DISPLAY_SUMMARY,vRUafgIjuV 
[87251] ADD,vRUafgIjuV,79566.68 
[87384] QUOTE,vRUafgIjuV,NKC 
[87504] SET_BUY_AMOUNT,vRUafgIjuV,QAX,577.71 
[87508] SET_BUY_TRIGGER,vRUafgIjuV,MUN,147.07 
[87514] COMMIT_SELL,vRUafgIjuV 
[87560] ADD,vRUafgIjuV,72956.95 
[87586] BUY,vRUafgIjuV,VTY,289.39 
[87605] DISPLAY_SUMMARY,vRUafgIjuV 
[87644] SELL,vRUafgIjuV,JVT,424.60 
[87653] COMMIT_SELL,vRUafgIjuV 
[87890] QUOTE,vRUafgIjuV,SHP 
[87949] SET_SELL_AMOUNT,vRUafgIjuV,JVT,474.75 
[87959] SET_SELL_TRIGGER,vRUafgIjuV,JVT,460.37 
[87986] BUY,vRUafgIjuV,BHQ,139.38 
[88024] SET_BUY_AMOUNT,vRUafgIjuV,JCQ,607.41 
[88294] SET_BUY_TRIGGER,vRUafgIjuV,QID,127.35 
[88324] ADD,vRUafgIjuV,89216.60 
[88637] BUY,vRUafgIjuV,PUO,328.11 
[88905] CANCEL_BUY,vRUafgIjuV 
[88920] SET_BUY_AMOUNT,vRUafgIjuV,UBJ,393.23 
[88972] SET_BUY_TRIGGER,vRUafgIjuV,PIE,329.43 
[89045] SELL,vRUafgIjuV,VTY,387.57 
[89141] SET_BUY_AMOUNT,vRUafgIjuV,JQO,574.07 
[89178] SELL,vRUafgIjuV,FDI,283.14 
[89296] COMMIT_SELL,vRUafgIjuV 
[89340] SET_SELL_TRIGGER,vRUafgIjuV,LJZ,158.92 
[89388] SET_BUY_AMOUNT,vRUafgIjuV,FQP,404.57 
[89492] SET_BUY_TRIGGER,vRUafgIjuV,HBF,158.99 
[89547] QUOTE,vRUafgIjuV,SJZ 
[89600] BUY,vRUafgIjuV,MOM,495.02 
[89622] COMMIT_BUY,vRUafgIjuV 
[89633] SET_BUY_TRIGGER,vRUafgIjuV,ZNL,186.56 
[89649] DISPLAY_SUMMARY,vRUafgIjuV 
[89658] DISPLAY_SUMMARY,vRUafgIjuV 
[89963] SET_BUY_AMOUNT,vRUafgIjuV,UIE,737.19 
[89967] SET_BUY_TRIGGER,vRUafgIjuV,SPT,687.58 
[90063] SET_SELL_TRIGGER,vRUafgIjuV,PZE,64.33 
[90095] SET_BUY_AMOUNT,vRUafgIjuV,JZJ,511.25 
[90157] SELL,vRUafgIjuV,KDA,579.87 
[90528] COMMIT_SELL,vRUafgIjuV 
[90725] COMMIT_SELL,vRUafgIjuV 
[90818] DISPLAY_SUMMARY,vRUafgIjuV 
[90855] SET_BUY_TRIGGER,vRUafgIjuV,PDX,489.90 
[90900] SET_BUY_TRIGGER,vRUafgIjuV,BPP,138.30 
[91035] SET_SELL_AMOUNT,vRUafgIjuV,PTP,153.73 
[91057] SET_SELL_TRIGGER,vRUafgIjuV,PTP,139.20 
[91204] ADD,vRUafgIjuV,35675.14 
[91246] QUOTE,vRUafgIjuV,JHY 
[91367] SET_BUY_TRIGGER,vRUafgIjuV,GSW,196.68 
[91382] QUOTE,vRUafgIjuV,PJW 
[91408] SET_BUY_TRIGGER,vRUafgIjuV,URY,173.32 
[91428] SELL,vRUafgIjuV,XQC,566.31 
[91495] COMMIT_SELL,vRUafgIjuV 
[91507] ADD,vRUafgIjuV,74003.50 
[91531] BUY,vRUafgIjuV,VKB,46.06 
[91571] SELL,vRUafgIjuV,JVT,403.72 
[91637] COMMIT_SELL,vRUafgIjuV 
[91807] CANCEL_SET_SELL,vRUafgIjuV,BCQ 
[91846] DISPLAY_SUMMARY,vRUafgIjuV 
[91983] QUOTE,vRUafgIjuV,KHY 
[91999] BUY,vRUafgIjuV,PWK,89.80 
[92562] CANCEL_BUY,vRUafgIjuV 
[92587] SET_SELL_AMOUNT,vRUafgIjuV,OPN,58.78 
[92614] SET_SELL_TRIGGER,vRUafgIjuV,OPN,2.14 
[92688] DISPLAY_SUMMARY,vRUafgIjuV 
[92843] SELL,vRUafgIjuV,ZAN,712.14 
[92874] CANCEL_SELL,vRUafgIjuV 
[92906] BUY,vRUafgIjuV,FQG,738.27 
[92926] COMMIT_BUY,vRUafgIjuV 
[93059] SET_SELL_AMOUNT,vRUafgIjuV,JVT,723.99 
[93133] SET_SELL_TRIGGER,vRUafgIjuV,JVT,261.54 
[93149] ADD,vRUafgIjuV,46836.46 
[93239] CANCEL_SET_BUY,vRUafgIjuV,PJW 
[93261] BUY,vRUafgIjuV,WCY,368.45 
[93740] COMMIT_BUY,vRUafgIjuV 
[94093] SET_SELL_TRIGGER,vRUafgIjuV,LJY,190.15 
[94271] BUY,vRUafgIjuV,WUF,513.63 
[94302] BUY,vRUafgIjuV,FZU,405.46 
